# From /Users/Daniela/Documents/CCG/extended_gus/TFs_RegDB/scripts/all_TRN_enzymes.pl on Mon May 14 12:52:16 2018
# f1 > Enzyme Ecocyc ID
# f2 > Enzyme gene name
# f3 > Reaction Ecocyc ID
EG10016	garL	KDGALDOL-RXN//
G6522	rutB	RXN-12896//RXN-12895//RXN-12894//RXN0-6460//RXN0-6451//
G6523	rutA	RXN-12886//RXN0-6444//
G6528	pgaD	RXN0-5413//
G6529	pgaC	RXN0-5413//
G6530	pgaB	RXN0-5414//
G6571	ldtC	RXN-16665//RXN-16664//
G6644	puuA	RXN0-3901//
G6645	puuD	RXN0-3942//
G6646	puuE	GABATRANSAM-RXN//
G6669	abgB	RXN0-5040//
G6670	abgA	RXN0-5040//
G6708	paaZ	RXN0-6511//3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN//RXNMETA-12672//RXNMETA-12671//
G6709	paaA	RXN0-2042//
G6710	paaB	RXN0-2042//
G6711	paaC	RXN0-2042//
G6713	paaE	RXN0-2042//
G6714	paaF	RXN0-6513//
G6715	paaG	RXN0-6510//
G6716	paaH	RXN0-2044//
G6717	paaI	RXN0-7104//RXN0-5065//
G6718	paaJ	RXN-3641//RXN0-6512//
G6719	paaK	RXN-10819//
G6798	lsrK	RXN0-5461//
G6804	lsrF	RXN-15943//
G6805	lsrG	RXN-15216//RXN0-6720//
G6806	tam	RXN0-2441//
G6845	ynfE	RXN0-2101//
G6846	ynfF	RXN0-2101//
G6847	ynfG	RXN0-2101//
G6848	ynfH	RXN0-2101//
G6906	sufS	RXN0-308//RXN0-279//SELENOCYSTEINE-LYASE-RXN//
G6940	astE	SUCCGLUDESUCC-RXN//
G6941	astB	SUCCARGDIHYDRO-RXN//
G6942	astD	SUCCGLUALDDEHYD-RXN//
G6943	astA	ARGININE-N-SUCCINYLTRANSFERASE-RXN//
G6944	astC	ACETYLORNTRANSAM-RXN//SUCCORNTRANSAM-RXN//
G6967	yeaE	RXN0-4281//
G7128	gatZ	TAGAALDOL-RXN//
G7145	preT	DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN//RXN0-6565//
G7184	alaA	ALANINE-AMINOTRANSFERASE-RXN//
G7185	yfbR	RXN-14161//RXN-14143//RXN-14142//THYMIDYLATE-5-PHOSPHATASE-RXN//RXN0-5292//RXN0-3741//
G7212	fadJ	RXN-7931//RXN-14393//OHBUTYRYL-COA-EPIM-RXN//OHACYL-COA-DEHYDROG-RXN//ENOYL-COA-HYDRAT-RXN//ENOYL-COA-DELTA-ISOM-RXN//
G7213	fadI	KETOACYLCOATHIOL-RXN//
G7234	yfdE	RXN0-7075//
G7236	oxc	OXALYL-COA-DECARBOXYLASE-RXN//
G7237	frc	RXN0-1382//
G7263	murQ	RXN0-4641//
G7265	yfeW	RXN-16649//
G7314	pdeF	RXN0-4181//
G7325	iscS	RXN0-308//RXN-14382//
G7350	patZ	RXN0-7160//
G7485	xdhA	RXN-7682//RXN0-901//
G7486	xdhB	RXN-7682//RXN0-901//
G7487	xdhC	RXN-7682//RXN0-901//
G7533	mltC	RXN0-5190//
G7544	glcE	GLYCOLATEDEHYDRO-RXN//
G7545	glcD	GLYCOLATEDEHYDRO-RXN//
G7593	yqjH	RXN0-6941//RXN0-6555//
G7624	tdcG	RXN-15125//4.3.1.17-RXN//
G7627	tdcE	PYRUVFORMLY-RXN//KETOBUTFORMLY-RXN//
G7631	kbaZ	TAGAALDOL-RXN//
G7676	nanK	NANK-RXN//
G7677	nanE	NANE-RXN//
G7858	ulaD	RXN0-705//
G7859	ulaE	LXULRU5P-RXN//
G7860	ulaF	RIBULPEPIM-RXN//
G7892	idnO	GLUCONATE-5-DEHYDROGENASE-RXN//RXN0-7101//
G7893	idnD	1.1.1.264-RXN//
G7920	nanM	RXN0-5329//
G7961	feaB	PHENDEHYD-RXN//
G81	uxaC	GLUCUROISOM-RXN//GALACTUROISOM-RXN//
G8221	ilvG_1	ACETOOHBUTSYN-RXN//ACETOLACTSYN-RXN//
G85	xapA	INOPHOSPHOR-RXN//XANTHOSINEPHOSPHORY-RXN//RXN0-7092//RXN0-5199//
M010	mhpA	RXN-10040//MHPHYDROXY-RXN//
M011	mhpB	RXN-12073//1.13.11.16-RXN//
M012	mhpC	RXN-12070//MHPCHYDROL-RXN//
M013	mhpD	2-OXOPENT-4-ENOATE-HYDRATASE-RXN//
M014	mhpF	ACETALD-DEHYDROG-RXN//
