#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ybdM//ptsG//mdtA//nanE//
GO_0008655_5	clpA//nikA//lipA//uhpT//cbrA//cycA//trpE//
GO_0009050_6	rdgB//fieF//
GO_0009052_6	rpsK//mngB//potH//ftsA//fklB//betA//pstB//
GO_0009056_3	livG//zupT//matP//gpr//glmM//gatD//moeB//uup//dcuB//chaC//glvB//yaaA//yhcF//yciF//proB//cbtA//flgM//pdxB//insF-1//glvB//aldA//nagD//rcsF//yfgJ//bluR//nrdI//oppA//tehB//rmf//puuE//rluD//bamA//malY//appC//recN//treF//bsmA//gntR//yfdR//pdxB//ulaC//nagD//mgtA//rcsB//trxC//gudX//metK//yeeY//gatD//pcm//kbaY//uspE//argG//ubiC//flgK//yjhC//dld//yidA//bolA//ompR//ade//uspG//fecA//ldrA//nrdG//gpmM//frc//ydiP//wcaJ//sgcB//ydbD//pstA//ada//yphF//acpT//cptB//ompF//pyrF//dtpD//cpsG//hisG//dcuS//glpD//yiiM//arfB//proW//eamA//mdtE//gcvH//rlmC//ybaL//prfB//yaaJ//glgP//dppD//pabA//cpsB//ade//leuA//metG//yhhY//trpC//potE//galU//rhaD//yfdO//rimP//lpxD//entA//smrA//ais//gpr//lplT//yobF//rfbD//rplQ//nikC//gatA//mobA//proV//ppsA//ompA//yhiM//lolE//melA//frlC//era//pheM//bamC//sucC//truB//nagA//chiP//topB//prpR//psuT//clpB//yeiL//yfaX//rlmI//astC//hprS//eutR//pflA//norW//paaB//dosP//aspS//kdpC//nanK//yihW//pitA//yceK//pflA//yejF//sufC//zraS//flgM//acpS//ascB//cynT//phoU//betI//mscL//cusR//fhlA//pbpG//aceK//envC//prpR//yieH//recD//ahpC//yjiR//flgE//guaD//flgD//yfhM//hpt//hicA//rluC//insF-1//gutM//cpdA//feaB//pcnB//adhP//radD//ybeY//pgsA//ppiC//yfaV//yjiQ//yigB//cas1//lspA//lptE//mdtK//rhaA//recF//uup//secD//mprA//folE//galM//yciE//bioD1//araG//cysS//bdm//tmk//fimZ//entC//efeO//ycbX//mazF//diaA//csiR//smpB//gltX//tolB//betI//ypdB//cusB//cysW//fic//guaC//cpoB//aroL//cyaY//xanP//hflX//yhcN//dgoT//queE//kdsA//rhoL//glcC//accC//thiL//rplI//higB//lapA//mdaB//proW//hycH//yfdC//ettA//acnB//zupT//sufA//ydiZ//rbsC//cytR//prmB//ilvC//aceK//rpoS//chbG//tyrB//rlmC//pcnB//paaG//btuB//ytfT//ftsE//zipA//prpR//tolA//thiP//creC//zinT//hofC//folD//emrD//yibA//glpF//lolA//mglB//rcsA//bhsA//yggF//dsbA//tufA//fadH//xylE//ybbN//ompA//yagG//yihV//ymdB//yqiI//macA//yciE//ampE//mukB//allS//nuoN//glyA//bioD1//nupC//pspC//raiA//ydaC//frlR//napF//xylH//kdpD//yohC//oppD//metG//flgG//corA//rusA//astB//ydjH//eutK//trpB//trmA//acrE//yobF//ravA//mutY//mntR//rusA//allS//phnM//hemB//csrA//flhA//ygbM//eno//dinJ//dsdX//dpiA//tufA//cynT//rfaQ//ispF//appY//nadB//pspC//cyoA//slmA//ghrB//ydcM//kup//trpA//nikE//insI-2//katG//flgG//ybaM//nanC//lipB//fadM//ynfK//hemF//glgB//thiI//sbcC//kdgR//treR//ortT//phnC//arnE//lplT//ydaC//guaC//kdpE//malY//aspS//folX//ymgF//rpnD//ybiA//zinT//adk//znuC//pgpC//slt//ygbL//nrdR//ldtC//yfiF//yejF//abgT//rutD//yjbE//ydjJ//queE//yabI//kdpC//frvR//topAI//entE//csiD//yhcD//paaH//fecC//gntP//cmk//fadL//trpB//priC//fdx//arnA//yehY//kefB//rfaG//insH-5//psd//entA//cydB//ccmF//ompF//
GO_0009057_5	alsE//ftnA//bioC//yhjA//yagF//holE//yhfS//agaD//recG//tldD//idnD//ppiA//cysN//nmpC//yjhC//yacG//uspF//yddM//pckA//yfbV//prfB//pal//flgB//udk//arnD//lit//araE//afuB//ycgR//fadL//gppA//potA//sfmC//entE//rrrQ//ydeM//dppD//ybaK//ttdA//torI//cysW//ampG//pspC//truC//ubiI//cspI//rbsA//evgA//yjgX//agaS//rpmF//aroB//opgH//ftnB//
GO_0009058_3	hofM//hofM//sppA//prfC//crr//frdD//ycjU//sgcR//ompW//selB//ubiE//btuE//allC//yegS//hypC//kduD//mrr//mdlA//putA//xylB//potA//lacY//pckA//thrA//ydhC//purD//mutS//rsmB//poxB//sucC//casE//waaO//modA//pspC//yfaX//yjbE//mepM//rpsM//wzb//hicB//secF//ppx//ynfK//guaD//betT//bfr//atpG//yafE//phoB//ruvB//gntT//yciF//thrL//fimB//ygeX//mngR//surE//hemA//glrK//dapB//hcp//gcvT//rutB//cirA//yidC//uxaC//yciK//yidE//tnaC//rimP//kefC//gmd//ruvB//dinG//ygiN//sgrR//narP//slmA//rluF//fcl//ldtC//ilvB//acpH//kbaY//lpxD//chbF//yggX//ravA//paaB//eutN//hscC//ompC//kefG//yifB//yadN//yihL//minD//nadB//fecC//malQ//fadK//mak//yiaB//nrfE//syd//entB//trmJ//hcaF//cpxP//yieE//dusC//treR//treF//aas//xerD//yjtD//paaH//rhaT//ldrA//yraK//rne//ygjK//ygjR//tsgA//flgC//ghxQ//ampG//rnlB//dgcJ//syd//mdtD//ydiQ//gltX//treB//ybaM//wcaC//ssb//fimB//garL//iraP//yfdK//paaC//osmF//rpnB//panZ//dnaG//zapC//symE//ykgA//narQ//tcyJ//zitB//xseA//gcvP//lyxK//rzoR//qorA//rzpD//trpA//alaC//dcuD//mdtD//glxR//dkgA//fruK//ruvA//prpR//abpB//gltP//livG//fhuF//satP//ygfX//rfaB//yggT//hprS//flgK//purB//cysG//moaE//sbmA//rnlB//ygbL//ddlB//pbpC//gsiA//dps//yfaX//rlmE//fruA//ytfP//rimO//nikE//dapF//cspI//ybhF//ttdR//ivy//hscC//gpmA//sstT//recC//aldA//gstA//hemL//frsA//hokB//codB//spy//ulaB//rpsS//udp//spy//ymgA//thyA//ycfJ//dnaE//yiaJ//ssuB//glgB//ispU//tusD//fadR//fliK//mscK//htrE//slyD//fklB//citX//ruvA//pepQ//ldtB//glsB//pspA//ygfI//ahpC//wzb//dtpA//ygjK//yjtD//hisG//rpoD//map//uup//uvrA//rpsN//ilvD//rdgB//ahr//dcyD//dgoT//argB//trpB//rclR//roxA//cyoD//zntR//yoaB//dgcF//fnr//ecpR//ytfE//yghG//ycfJ//dsdC//napB//recJ//arsC//menB//tehB//puuB//hinT//frmR//ygeW//nadA//mutT//srkA//glpX//sugE//poxB//prc//ybhD//yghW//rraA//mdtJ//deoD//bssR//obgE//nrfA//yiaF//ascF//yggE//rimK//mscL//sdaB//rrrQ//rimJ//yihU//selD//speE//mdaB//proA//rzoR//hisS//ydhJ//gadC//tabA//eutK//glnK//tdk//cobU//ompW//leuA//aas//patD//pal//aaeA//yaiV//rtcR//panC//xylE//focB//pphB//sspB//amiA//rhmD//yhfK//yedA//mppA//yehA//flgI//yajL//cyoE//fliA//pdxK//dld//mdtP//torD//sapA//tilS//rplP//ybdR//phoR//manY//atpF//alkA//proV//yibF//sgrT//waaC//trkA//sdaB//rffC//trpS//argR//aroL//metC//yciA//etp//gntT//fadD//acnB//yeaV//clsA//recA//rpsR//nagA//tdcB//manZ//map//yfbV//ftsN//rpsH//ykfM//prmA//yfiE//tmk//yfjV//nuoI//gspE//marR//gcl//frdA//dinB//hprR//pyrD//rpsN//bglJ//frwC//pdxH//insA-2//pnuC//rcsD//ugd//yfaE//hofN//pdxA//yebQ//mlc//gntP//gltS//proA//ampH//yqaB//leuB//hisM//nrfB//feaR//cynT//narY//rraB//ydbK//oppA//lpp//ykfM//kbaY//gsiA//dgcN//yeiL//sstT//tdh//rpoS//ccmD//mprA//kefG//manY//tdcR//phnI//rcsF//rayT//pspC//lpxT//mgtA//ccmF//garP//torZ//fecD//nmpC//yjhH//ulaB//ftp//mgsA//trpA//ybhI//menI//fadA//phoR//phoA//amiC//dkgA//tpx//paaB//mdtO//panC//ltaE//rpsJ//ycgR//pyrH//parE//paaA//prmB//cho//mlaD//allD//plsX//parE//hybO//sgbH//insA-2//pyrG//atpC//fimE//abgT//basS//rpiB//rfbB//bioC//fliM//ycbU//frc//msrP//prfB//mdtP//aroC//yjbF//srlR//acnA//tpx//nac//waaP//dnaC//nfi//thiQ//nimT//cusF//eamB//mrcA//folD//glmU//fucK//pitB//flhD//proA//rsmC//srkA//ptsH//rhlE//fau//agaV//tolR//caiF//pykF//yiaJ//trpC//fnr//ybaE//intA//waaA//prfC//dnaA//fimE//aroC//maoP//rplI//cpxP//tcyL//insI-1//cynS//recX//torS//dgt//mppA//ydcI//zur//feaR//fcl//rpmG//hyfA//fabZ//ybiV//ygbI//hslU//dtd//purC//ybgP//narG//csgB//yhiM//ppk//ampE//rpsL//yddG//zraR//rusA//tnaC//lpxT//fepB//pabA//yjiX//glcA//ygcO//lexA//torR//gmd//recN//cspA//ygbL//rpsA//malI//hslJ//prlF//fumC//pfkA//fabI//flhA//rfaF//elfG//ycgR//wzc//osmY//hofO//ynfF//patZ//ybcL//waaU//yefM//rcsA//uspF//pgpB//nagA//fhuC//yccS//rpnD//ypdF//yjjG//araA//basS//tqsA//tcyP//cbrA//glpK//yadK//selU//arsR//cedA//fbaA//rpmC//wecC//ttcA//ptsP//mnmG//rfaE//oppD//ydfG//ilvH//ydgA//yhjC//fruK//ackA//ftp//otsA//yjhH//rbfA//msrC//nimT//yfcG//yfgI//tmk//thiM//yhjA//kefG//mnmG//ygfZ//ygaH//caiT//yfiE//sgbU//yjbE//nuoB//ydeP//mioC//srlR//tsaE//nhaA//ydcT//lysU//hypA//mepH//proA//fadM//rmf//alsA//btuE//sfmH//flgE//abgT//yhhZ//nrdG//ydeM//plaP//uvrY//nrdA//rpnA//tauD//mdtC//arsB//ygbL//hcaF//preT//smpB//dinJ//uvrD//frwB//gcvH//macB//dtd//ymgF//intZ//cheZ//fepG//nanS//gcvP//yggP//gntR//deoR//uhpB//rssB//agaA//essD//recO//mepS//folM//nirD//hyi//treA//pykF//nagE//amiB//fnr//yqjH//narU//yjhP//mak//arfA//paaZ//sfsB//mdtA//fetB//rfe//kup//rbsD//iscR//yiaO//fliK//nikR//cspC//carA//ruvC//yraH//yfbV//yfaV//mdlB//entA//bcr//mog//rsmC//skp//rcdA//rplT//ppiC//ydaN//yieE//yfbU//nanS//fdhE//dnaT//cpsB//aspS//rhlB//cusC//ttdA//recC//amiB//ivy//ldhA//hyaC//amiD//kdpC//araE//yjeI//leuE//deoR//opgB//yjcS//trpA//nrdR//nhaR//hcaD//tolQ//alaS//ghoS//gcvA//rpnC//yfgO//rseP//yjiA//surA//
GO_0009059_5	dgoT//carA//nagE//ydfD//gltS//rpsA//gspE//dkgB//argC//prfB//intF//shoB//ydaN//rluF//phnG//gsiB//araA//rpnD//torI//ymjB//queG//oxc//yfcR//hemL//recX//cho//cobT//prlF//eamB//pepA//patZ//mdtK//comR//rpsN//mglC//fliG//fimH//ycfH//ydgA//speG//waaP//bioD//yjiX//curA//purR//yidC//nanT//ydeP//gspJ//prlF//agaD//rbsR//bioD//waaB//iscU//cysB//mazG//kilR//pgpC//ybdM//paaJ//aceB//pliG//dtpB//thiC//focA//pykA//ymgF//rplF//uspC//phnO//ilvM//mlaF//rpsD//tdcA//sthA//cyaY//yiaF//ddlA//ridA//ydiR//mepH//ldrD//dctA//xylG//zapA//ratA//phoU//rpnD//ydbD//dinJ//yeaD//tabA//pgaC//ihfB//ubiX//ygcO//ftsI//mglA//trmD//insA-1//yiaB//ldtA//rnpA//yghG//uxaC//rpsJ//fimD//sutR//yibH//fimB//malX//cynX//uspF//ortT//rcnR//upp//yhhZ//yidP//btuF//ubiJ//umpH//ascG//pgl//trmO//fecA//tldD//add//ydaN//gcvT//cdh//yciE//glpT//rpsE//bcsQ//ddpX//mepH//htpG//yjjW//sulA//hycH//cmtB//dcp//metK//uacT//pheS//ybdG//pabB//mdfA//tqsA//nusG//mfd//moeB//sufE//birA//csrA//rbsA//rihC//hexR//mglA//norR//cytR//kdpD//ccmC//flgK//tsaC//lpxC//prpC//phnH//pdeL//speB//argS//pinQ//ybeQ//phoB//zapE//ybbW//ftsK//argB//gatC//dam//xanQ//ynjD//acrZ//wecE//yciH//amiB//rclR//nuoB//asnC//yphD//frvR//rpsO//frwB//holD//sfmC//hofM//pdeH//rutE//ogt//yidQ//fecD//ispB//cspA//psuT//putP//ygfA//glgX//torI//rbn//lpxT//ymgF//yjiQ//fabG//zraR//ydiB//fkpA//mcrA//cmk//fecC//acpT//ldtC//pheP//srkA//dxs//bioD1//dnaB//mdtE//surE//ivbL//ilvN//leuC//aaeB//btuB//ghoS//tcyN//yjbB//tamB//folC//cynT//cbtA//ibsC//flgK//lsrB//yehY//trmA//ycbX//mdtF//radD//lsrC//yfcV//yhaO//citG//wecA//aspS//hemD//elfD//pntA//opgB//hycI//garD//lpxT//aaeA//ldtA//gntP//fumA//sdhA//lgoR//rrrD//rcnA//chaA//eutD//mazF//yedL//rbsA//waaU//pspC//ybjG//rplO//xanP//glnP//caiF//metH//uvrA//rnhA//cyoA//malY//hha//cbtA//lpoB//xseA//dtpA//mtlD//ruvB//ahpC//appY//cptB//uvrY//yedF//avtA//dgcZ//yihW//fadI//atpE//uxaA//bisC//paaE//agaV//lysC//ibsE//hemN//tolB//elbB//ycdY//yiiE//mdtO//kup//
GO_0009060_6	aslB//dgcJ//asr//lpxH//frwD//narZ//fecD//dinQ//dnaQ//proW//yfcU//ompT//ykgA//kefB//yjjI//mppA//fcl//puuE//ygiW//accA//yhbO//acpT//potI//sbcD//aspS//cspE//
GO_0009061_6	zapB//nrdF//thiH//ybfE//panC//ybdM//rihA//betA//fimI//yihL//gloC//yiaA//roxA//eco//insI1//tmk//afuB//nimT//grpE//hcaE//emrK//fcl//cvrA//rfaC//rhlB//ttdB//lldD//ychF//fhuC//frwC//tcyN//pgi//yieF//cynS//znuA//dsbA//dnaB//lpoA//ihfA//rplI//polB//ftp//glnE//tmk//dkgA//ahpC//flgE//adiC//citE//aas//trmI//rimJ//eutB//mscM//rsfS//
GO_0009062_6	yihI//gltD//yhjC//mreD//trkH//yigB//bcsQ//yfaU//gdhA//ilvN//yeaG//uhpB//tusD//cysQ//seqA//zapA//gabP//yqcC//frwC//xylG//gabP//
GO_0009063_5	icd//artQ//yagI//adeP//yjbG//yidQ//ompL//pnp//alkB//gapA//yieL//mtlA//yaiP//xapB//dauA//pyrB//yadC//ulaA//yceK//deaD//thrB//livM//mdtJ//frvA//ybiV//proS//sgcB//ldtC//cptB//ydcP//dtpA//creC//rpsJ//waaF//pinE//yehT//zapC//fkpB//prc//gmhB//araF//glcC//ptsP//hybD//ptsG//glxR//glgC//yraN//rayT//yhfS//atoS//ispB//ydiQ//glmU//entA//
GO_0009064_6	alpA//wecA//rlmJ//gldA//hcaR//rluF//lolE//degP//basS//mhpT//cobB//carB//mutS//modC//oppF//yciK//syd//dcuC//fruA//rpsR//moaD//pgpB//yodD//panB//csrA//holB//yqhD//entB//rbfA//puuR//trpE//sgbH//yciF//dacB//dmsA//eptA//paaJ//leuO//solA//cmoB//murI//prpD//artP//gspI//srlR//pspG//
GO_0009065_7	flgM//flgG//galU//ydbD//iraP//norR//bluF//pgaC//argG//paaC//wzyE//eco//ppx//kbaZ//dinB//frdB//yahB//yccA//
GO_0009066_6	tcyL//yqaE//yidH//glgC//hisD//lpxH//yadI//citT//hypE//brnQ//mreC//insA-2//melR//hiuH//ftnB//tsaD//yjcO//cas1//mlaF//ybiA//ssuC//uvrY//tusE//rpnB//yaaU//cysE//cdaR//sufA//agaB//lyxK//ftsL//yphB//rsmG//tqsA//metN//nrfF//yhfK//yjiQ//yaiP//cadB//pgaC//mrr//tilS//arnE//sapD//norR//insK//yehP//
GO_0009067_7	pphB//trmH//srlA//elfG//marR//lipB//torS//cusB//yidZ//glgX//iscR//abgA//ygeA//cydC//tus//ppsA//ybaQ//fkpB//lpxP//hscB//ynfF//ubiE//msrB//pbpC//erpA//msrB//
GO_0009068_7	glpK//sfmC//yggX//yjaZ//pbpG//oxc//ttdA//basR//dnaC//sodB//waaL//topAI//yjbB//
GO_0009069_6	ydiP//appB//rlmN//selU//narW//lsrA//yjiA//serA//serS//ycbU//lpxB//ldrA//garP//acrD//metQ//ybiA//yhjG//preT//trpS//leuO//degQ//sthA//mazF//curA//fetA//cysG//ydhK//frlB//hemD//fimE//cmoM//fepD//chbB//ydiQ//cysQ//yacG//
GO_0009070_7	ydiV//nrdR//metR//dmsC//maoP//guaA//pepA//ykgM//edd//pfkA//fbaA//hda//treR//sapA//aaeB//bcr//mntP//bamA//modC//yhdZ//
GO_0009071_7	xseA//mscM//garD//btuB//wcaC//uvrB//argI//grxD//frlC//hycI//ydcS//fdoH//yciV//ivy//
GO_0009072_5	yahF//minE//fabA//chbR//sfmF//ibaG//phnH//yjiQ//rimK//marR//nemR//tdk//nfi//ygiN//galF//gabD//rplT//ubiB//ydaN//deoB//lnt//rplA//gmk//fcl//
GO_0009073_6	cptB//astC//rnhB//mdtC//fadH//glnQ//rsuA//ispU//phnG//yiaU//pspD//epd//bhsA//tpiA//caiD//yajR//fadJ//frlC//yqhD//hybE//uspF//
GO_0009074_6	waaA//lpxP//ddlA//
GO_0009078_6	hicA//zntA//ssuB//rutC//dapF//ymjB//rlmB//
GO_0009079_7	lldP//htpX//fimC//cydC//
GO_0009080_7	livF//rpsK//nagC//
GO_0009081_5	rlmN//ribF//fixB//rplI//ogrK//ynfH//fimB//agaV//argP//aroF//kdsA//relB//gmhB//rarD//betB//sohB//cusR//folP//agaC//pepA//mdoD//yfaX//
GO_0009082_6	lpp//yhjG//ghxP//sutR//acrE//entE//ppsA//argE//dtpD//yagF//cpsG//helD//yahI//ulaD//allR//yhjC//yqeF//rimP//
GO_0009084_7	soxS//fimD//ytfT//cdd//yebQ//ybhR//bioB//lptC//ulaB//exoX//dacA//frwC//ppsR//feoC//yraJ//msbA//lsrK//rplX//artP//yabI//bioF//dhaM//thrA//ulaF//cysS//
GO_0009085_8	argT//ycdY//fdnI//btuE//deoD//xisE//hsrA//rhaT//yhbS//ugpC//yggD//tatC//
GO_0009086_7	gspF//sspA//ygcO//dgcJ//yebC//ftsI//ydeI//fruK//argD//
GO_0009088_8	hemG//uhpA//
GO_0009089_6	sgcC//rimK//dgoT//lolC//rsmG//sbcC//ortT//araD//tdk//
GO_0009090_8	rlmC//sbmA//insF-1//panF//
GO_0009092_7	eptB//rnr//yadN//cptB//sspB//pdeF//
GO_0009093_7	pheP//treA//mdtO//pspA//gyrA//
GO_0009094_6	hemC//melB//ibsD//mtlD//
GO_0009095_7	btuR//gabP//adeD//hdeA//
GO_0009097_7	torR//frdD//ulaA//betT//tcyL//ygbN//aroP//
GO_0009098_7	lysS//patZ//sbp//yejF//ydcM//yaiW//ybjC//
GO_0009099_7	cmoB//fabI//atpD//pnp//dtpB//gltL//fimZ//rffT//lsrK//hha//
GO_0009100_5	ilvA//uvrB//xapB//insA-1//fucO//
GO_0009101_6	yqeF//
GO_0009102_6	ftsH//ybcF//leuS//pyrH//dosP//queG//bglF//erfK//uvrD//ralR//emrB//agaC//yrbG//
GO_0009103_6	idnD//slyA//rpmB//elaD//insH-5//selB//yggN//bglH//clcA//narJ//mepM//
GO_0009106_5	ssuA//rfaF//
GO_0009107_6	nlpD//yadV//
GO_0009108_6	pflB//tomB//tdcE//yohD//casB//ydiR//hslV//uxuB//btuD//rfaB//sgcX//yhaC//xerD//dicC//frlC//cynS//rspB//xylG//fryA//cspG//casE//yhjC//ascB//hemE//rnt//mscL//rnr//lspA//aceK//ompL//arfB//yjcS//tsx//envZ//htpX//sbp//rplT//ybdR//ygjH//hsdR//slyA//pepA//puuP//mscS//acrA//mgtL//treF//tcyJ//kefF//ttdT//glpB//rluA//cdsA//aroC//malX//map//folX//rlmA//ubiA//aceB//proS//asd//ispA//astC//tusE//lolB//hisC//tpiA//ypdA//paaZ//mtlR//ompL//csiD//mgtL//tsaB//yqjH//bamC//sbmC//gppA//yeeO//casA//rho//prmC//leuA//bluR//glgP//dppA//ygiW//kgtP//cmtA//abpB//dmsA//hsdR//sohB//nemA//fiu//ispH//speE//baeS//proB//mqsR//comR//ybgQ//umuC//yhjA//nrfB//ribE//artM//fadI//yabI//
GO_0009109_6	secM//lsrG//cusC//ppx//cdgI//
GO_0009110_5	ybaT//yihR//pgaA//rfaH//radA//sspA//prlF//dauA//ygcO//mepH//elfA//bssS//gntU//melB//intS//sohB//yjbB//ilvD//idnO//cvrA//bioB//adeP//cspG//yeeY//murE//glpX//gudP//dcyD//phoB//ydbD//mog//dapD//mutY//feoC//elfC//citC//aldA//intF//ykgM//pdxY//sad//fumA//oppF//yecS//allB//insE-1//stpA//ftnA//pdeD//potG//folC//yfdC//tusC//hcaT//tcyL//dcuR//acrE//
GO_0009111_5	ghoS//rsmF//ydfK//nadB//
GO_0009112_5	rep//rrrD//ygbM//mdaB//lolE//malG//yiaT//dcp//dnaA//livM//pal//dgcM//lsrR//dsdC//waaZ//cobB//efeO//panD//gadB//topA//yjcS//cdh//moeA//flgB//dnaK//mdtF//rplI//araD//purC//astB//yhaO//rarA//mnmG//nrdA//yjjW//ybiS//
GO_0009113_5	yeiG//malQ//phoR//chbA//ydiF//
GO_0009114_8	mdtK//
GO_0009116_5	cysE//rzoR//fabZ//gadW//csdE//yfiR//yjbH//pykF//rpoA//xerD//ruvB//metC//yraH//baeS//nanK//flgE//narQ//aldA//murD//yihT//minD//paaD//fadE//rpmA//ydbD//glnA//rplE//codA//yneL//eutN//yigB//hisD//bioP//ybgQ//dacD//manA//dppB//ykgM//gntU//rssB//
GO_0009117_6	dapB//ybbY//zur//setB//nuoN//pgm//hdeB//yohD//tap//kbaZ//ynbD//dgcQ//mglB//pyrH//pntB//eutN//cusA//manA//mutT//nagD//sbmA//mrdA//hycI//betA//yhjV//ldtC//wbbK//cspD//ftsZ//amiD//nusG//hdhA//sbmA//uvrA//sstT//sbmA//deaD//htpX//nuoB//glgS//kdsA//lpd//dsdX//ybhP//oppD//ycjP//aspA//guaB//codB//dppD//cbtA//patZ//yhhY//tnaB//elaA//asnA//opgG//sfmF//mngB//chbA//atpH//yadV//cspB//hdfR//obgE//mtlA//wecE//gsiB//rhmR//ssuA//dsdX//dpiA//ampG//bdm//dcuD//tolR//ydcS//mdtF//ybiA//pabC//greB//cysA//purF//mrp//fsr//rfaE//csgG//roxA//ygjK//ompR//ddlB//nlpE//yfdR//intQ//cbeA//higA//hyaD//mdtN//yegD//mdtD//hyfR//rimK//rfaC//paaX//
GO_0009119_6	ibsA//rng//zraS//treR//ompW//pdxA//fimE//ydiB//yebS//ycfJ//relA//rpmG//yadN//rpsI//yegV//leuD//acrF//paaE//ratA//cynS//arnA//yfdO//cmoB//mdtF//hypT//gadC//gadW//mntR//bioD1//ybjN//fau//minE//mdtP//paaH//ypdB//
GO_0009120_6	gmk//ygaZ//caiB//yddM//
GO_0009123_6	ygiW//kdpE//kch//pabB//rseP//ynfH//ydeE//sbmC//aroC//dgkA//mngR//phnC//ybiH//rplX//speG//pyrF//gatD//mdtE//arfB//folM//ugpB//cysS//mdfA//sapF//yggP//fdhD//wzzE//cheY//yiaF//tsaB//nuoG//paaK//yciG//ulaC//yjfF//bepA//ttdB//phoB//aldA//amtB//wzc//argG//glvB//mdtG//yohD//holE//
GO_0009124_7	abgA//cpoB//betT//uspB//srlD//acpH//nadK//wecB//sodB//yggN//adiY//ghoT//sstT//mug//glpR//frwC//secM//holB//murF//oppD//rutC//yibF//nanC//yggP//fadA//fecA//gltK//betA//mtlA//yjiR//prpR//ygcO//rnd//ssuC//rfbB//hofO//argC//
GO_0009125_7	yiiE//yjaZ//fryC//glxR//purT//
GO_0009126_7	ppsR//zinT//hokE//rplS//rhaM//nadA//bluR//proS//yfcG//fimG//hybE//rimM//ygiB//rraA//ykgF//dgcF//mltG//ydhJ//relA//yjaZ//secE//yqeF//nhaR//pstB//hemN//napB//rapZ//poxB//uhpC//yicJ//pspD//yiaL//pheA//cydA//
GO_0009127_8	yphF//fadK//ydeT//agaB//ispG//hcaT//rpsQ//tolC//argC//yfcA//ybdO//ppsA//nrfB//bamA//exbB//ispB//aroF//solA//gadE//trg//tatD//argG//rplC//nemA//wzyE//ynaI//curA//lamB//gatA//rpnC//
GO_0009129_7	yafO//diaA//ydaN//aes//ybiJ//glnB//recF//uvrC//cvrA//yfcF//
GO_0009130_8	recQ//hemL//proQ//otsA//purR//
GO_0009131_8	ygeA//argC//yiaU//mlaD//dsbB//
GO_0009132_6	arnA//ilvH//add//trxA//yidK//csgF//moaB//yfdC//btuD//ybiX//ykgF//tauD//dsdX//sdaC//glpK//lgoD//rpoH//hycB//pspF//ydjJ//yeiL//rlmM//intQ//napD//hofC//
GO_0009133_7	eamB//yqjI//hybC//
GO_0009135_7	hemA//manX//yqjA//efp//hyfF//pbpC//gadW//gcvR//gadX//atpE//lysO//cmoB//glnP//rplY//entD//dtpA//leuD//shiA//kdsC//rluB//yagI//wecC//cheR//
GO_0009136_8	cpxP//
GO_0009138_7	ynfH//etp//
GO_0009139_8	atpA//yfeR//
GO_0009141_6	idnD//yajD//ygbI//lsrA//gpsA//ybfA//fepD//envR//rplB//purU//agaV//hemD//gcl//ycaN//yaaU//yqaB//yahO//purL//glcF//hflK//hypE//rpiA//flhE//zapB//yhjA//lysU//fiu//acrE//ybiV//yjhP//ybjN//rtcB//mtnN//yafO//fliT//frlB//recJ//ompC//
GO_0009142_7	ycgV//lolC//cspG//frmR//folD//treC//yhjC//tcdA//ldrB//yddM//gstB//ssb//citT//ompF//ydcM//flgJ//ddlB//yhjD//yfcP//sdiA//cstA//yajO//topA//maa//ribE//rbsB//yjcE//sgrT//
GO_0009143_7	zapE//lacI//yfeD//yihT//
GO_0009144_7	chbA//rbn//yhjD//ynaI//sspB//atpD//yiaN//eutN//hdeD//cysM//potC//rhaM//potC//mtnN//yadM//araA//ybaL//fau//ftsE//ecpR//pabC//dnaJ//lepA//dauA//artM//ghxQ//intE//rhaM//nuoI//clpA//betA//
GO_0009145_8	ssuA//gluQ//argD//ubiE//mutL//bglX//nudF//accC//cynT//rpsB//yheT//leuA//rutB//malY//pheT//iscX//bssS//menA//waaO//cysZ//mprA//hscC//yjjG//
GO_0009146_8	erpA//thiM//
GO_0009147_7	cadB//dmsA//ilvD//yhbY//
GO_0009148_8	parE//iscU//
GO_0009149_8	mgsA//argF//
GO_0009150_7	livJ//ypdI//pinR//cedA//norR//hsdR//prc//ydiK//glnP//dcyD//tnaB//alsC//yqjI//mmuP//mfd//chpS//yfcP//lasT//paaK//nagZ//ssuA//amiC//rpnD//phnI//apt//csgB//yahK//yebZ//fdoG//pgaB//ybcQ//yhfS//rzoR//lolD//yhhY//rlmF//yghO//glmM//yfeW//yggP//ycbX//waaL//hldE//deoA//lgt//rlpA//lyxK//umuD//
GO_0009151_7	ydaC//miaA//
GO_0009152_8	putP//livF//yraI//poxB//bioF//yiaO//fixC//trg//betA//lhr//mngR//secF//rplA//ydfK//mtfA//aroK//purC//mdtC//pykF//pstS//lit//ydfD//osmY//iscU//fieF//ybiS//ybeY//iraD//ttdA//nrdI//yfdK//lysS//mppA//yqgB//argG//tcyP//ydeT//
GO_0009155_7	entD//yaaA//
