#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	folD//adiA//phnC//modA//
GO_0006808_4	araB//ulaA//fdoG//
GO_0006810_4	treF//mutM//ykgF//gcvT//glk//gpmA//trmB//rimM//sgrR//pabC//lpxC//yqiI//xylE//fhuC//nanC//ilvC//epmB//sbcB//ybhI//dinD//kduI//yeaV//allR//gntK//ybhG//cdsA//ygiW//ung//gatD//nikB//aspS//msrA//pflC//gadA//upp//insI-1//pbpC//ispB//yagG//mrdA//ygjH//araE//waaB//gstA//ftsY//galF//opgC//fkpB//puuR//agaB//pliG//lptD//yghG//queC//mnmG//dgoK//yhaV//tdcE//waaB//argA//alaC//proS//diaA//ribB//elfC//mdoG//mliC//rusA//yedX//dmlR//pcm//rseB//yidE//ycgR//yccS//yeiE//nrdD//citX//nrdD//potE//ymdB//yhjA//tsx//leuD//hisF//nikE//yqjI//yphB//pbpG//rsgA//ypdI//cheR//ybaL//ispU//lpcA//leuO//bluR//yggW//thiD//yadC//pstS//ftnA//dcuB//hyaC//kup//fimI//holB//ygeA//dapF//potF//uxaB//purU//melB//clsC//aslB//yjhG//arnD//mngB//proS//proS//mdtB//mdtB//mlaE//nimT//fcl//yebG//yihS//yghB//csgD//cmoA//mutH//rsmD//plsB//ykfM//cheZ//parE//lplA//ecpR//yajO//dnaE//bcsA//metE//ykgO//sixA//avtA//napF//rfaD//yhdW//lepB//ubiH//puuE//epd//hypB//chiP//hisM//nrdD//pphB//ynfK//rmuC//basS//wecC//rayT//fliK//zapA//fabR//emrD//glgC//gadB//ybdG//rffC//yeaV//emrY//ygbL//cpoB//sgrR//ligA//nanC//idnO//rpmC//hfq//rfaB//mlaF//serB//rbsA//dut//ybaO//yjjB//cusF//marA//ynaE//rhtA//cynS//fcl//tilS//adiC//uvrD//puuE//kdsD//ycfS//ykfI//dedD//speB//glnP//ihfA//rhmR//lipA//araB//creC//kdsB//polB//norR//betA//pgsA//ycfS//panE//yjhH//ttcA//sufC//waaH//thrL//panE//cspA//yqiI//yfhM//tldD//yggF//ppiD//glnE//lysR//ycgV//cra//yfcQ//fadH//rzpR//dcuB//nudB//ravA//fabR//mnmG//ybiA//queG//ybcJ//rlmI//gor//dinB//appY//gshB//ilvA//fimG//sufS//aspS//hyaA//hupA//potI//yfiR//modB//clpS//nimR//atpE//pyrG//ydfG//rsmI//dgoR//tap//nikE//gnsB//prlC//bioB//yjeI//rbfA//glsA2//aceA//opgD//ybdR//mdtB//garL//ftp//idnD//rhaT//sufS//rsmJ//cysW//ribF//yraK//hybA//rhlB//recJ//bioD//gpr//dppC//ascB//acrE//xylA//sgcR//rplF//mtgA//hisP//rcnB//rplJ//torR//mreD//gpsA//sgcA//soxR//fpr//nuoN//insI-2//wzc//fryC//ybeY//rhmR//fadR//glnS//uhpB//prkB//elfC//fmt//waaZ//tsf//yihV//zraS//lysO//thrL//rplE//yjbF//soxS//sufC//ybjC//rfbC//hsdM//cvrA//yajD//ydgA//rcsC//entB//maa//citT//yjfF//rapZ//murQ//hscB//fimH//melA//purB//yigL//cra//tusB//diaA//cysP//araC//yjbH//ybhD//galS//ldtD//yebQ//relB//opgC//bglH//ybcQ//sgcX//yohC//ubiC//arnE//erfK//yciG//yibH//mlaB//ackA//dgcF//cueO//aceB//yegT//rzoR//ribD//proX//lgoD//yggX//dacC//sodC//tcyN//ymfA//ilvN//chbC//yidZ//casA//rlmG//fbaA//seqA//marA//lldD//yfhH//mglA//yfaE//dsbC//yidC//fau//tyrB//lgt//trkH//arfB//glpK//etk//pykA//pgpC//dapA//rffG//mepM//tdcE//galM//polB//ynfK//mdtJ//ykgO//yehC//yjbE//livK//yhjC//rstB//ftnA//moaA//glsA//lit//malQ//lptG//eutB//ybhJ//yaaY//pheP//ygjH//yedF//rihB//gcvR//bglA//yfaX//htpG//lipA//waaU//tsaB//basR//osmE//intA//speA//ybbY//aspA//ypdC//rpiR//maa//csiR//exuR//dld//yggW//rplW//ymgA//ogrK//tbpA//lptE//lolD//afuB//gntU//ettA//prlC//fumC//relA//astB//hpt//sfmD//rdgB//ftsP//glpR//melB//tag//agaR//yhaJ//hflX//groS//rpoS//dgcQ//fdrA//ybdG//yhcH//astB//arnT//codB//glsA//nusG//galM//btuD//clpP//abgT//uxuB//hyi//abgR//kdpA//pflA//nuoN//dmsB//csrD//rsgA//pmbA//kefB//lpcA//aes//ansB//npr//dapF//psuT//purT//rfaB//htrE//caiF//sdhE//yoeE//fieF//malG//yggF//ldhA//glnP//lptA//betT//ynhG//ybiI//pncB//rnc//lpp//mltA//pal//uhpT//creC//yciK//folC//ahpC//pepD//hyfF//nrfB//waaJ//pmbA//galF//nrdE//rof//yneL//dadA//cobT//endA//tolR//msrP//rffM//rlmH//rtcB//sufB//fruA//fau//gyrB//manX//mntH//yebC//mglB//frdA//hicB//menB//menE//yjtD//yejF//mtgA//glcB//rsmE//aroF//tusA//aer//fadE//yahB//csgG//dkgB//iraP//yceO//panE//surE//rhtA//tnaB//yqhD//shiA//ynjD//aroK//narI//pgpB//csgE//ppk//fucO//glyA//ulaD//rlmF//sanA//gabD//thrL//rplB//ypdC//yidH//adeD//uhpT//
GO_0006811_5	ytfQ//hdhA//intQ//mdlA//hrsA//ybaK//pdxB//glnA//kch//ompW//pal//dgcJ//dacD//cca//lpxL//kilR//truC//yidC//entH//frvR//hflD//yqjH//iap//nrdE//galE//yfiE//ydiQ//dsbD//ybcF//hyfR//mqsA//pstB//ygcR//plsC//folP//cpdB//oppB//ykfI//tktB//waaY//ybcJ//yhjC//uvrD//yagF//wcaC//proP//yfaL//rpmC//lpp//dtpD//rlmB//ydcO//dapB//pgaB//cho//actP//nmpC//cas3//mutY//ymgA//yjbB//fruK//modC//rbsA//rluE//fryA//panC//hybD//aaeR//phoE//glgS//allC//ybjL//hycA//arnB//ygbL//pal//corA//yccS//nrdD//acrZ//yjbF//yigL//yjcO//ackA//rtcR//hprS//insB-2//rpsK//deoC//rbsA//aaeA//yciA//yeiE//map//nrdG//mtn//flgE//ccmH//acnA//ymgA//murB//nupC//lgt//ybiI//skp//ygaH//fadJ//thiD//galT//fdrA//fecB//wzzE//ibsB//rfbB//yhfK//kdsA//folE//dgcZ//yneL//ybhR//serC//rpsJ//rpsQ//fryC//cysB//fes//hofC//mdtK//dxr//fucA//hyfF//waaG//chpS//pdxY//mlaC//yjhC//yfaE//osmY//cspC//relB//feoC//ydfG//yhdJ//insI-1//cspB//evgS//tktB//lysS//bioF//ycfH//entE//hslV//kdpE//artM//rihA//scpC//lspA//norR//rplK//pyrC//cyaY//ycgB//ygbL//ykgO//hyfF//aroP//hofC//tesB//proQ//tatE//gntK//yaiP//cysQ//gudX//aes//ykgM//srkA//folM//ompW//dtpC//mprA//glgB//tusA//glnS//torC//yfhM//sspA//metF//yagF//hyfC//lacY//cysP//chbG//ybjN//exoX//yafS//mntH//yihR//rpsI//gyrA//eamB//yfcS//cyoD//rpsB//ampE//yaaA//tdk//htpG//ftsY//skp//corA//rbbA//yciT//lpoB//rplS//ydgA//menC//rimP//msrC//tktA//sstT//fecC//purT//trpB//rffT//rhlB//rffM//lsrG//yjiM//trkA//lptG//dnaB//atpA//phoQ//curA//ybdH//hslO//nadK//thiM//yraK//hycI//ldtE//glcB//yfcS//prfC//hofO//cheA//minD//mdtB//mreC//nac//argO//yjgX//paaH//nmpC//pitA//ndh//tynA//trpC//oppD//sufE//ynfF//ygcR//tonB//cmoB//arnD//ibpB//aroL//rspB//cycA//tusB//radA//pmbA//xerC//dsbG//cptB//maeA//tsx//eutR//gstA//fecB//ybgP//ygjH//emrD//uup//yahD//
GO_0006812_6	mlaF//galU//dkgB//thiH//yheT//rclA//waaO//umpG//nemA//asnB//gstB//insI-1//thiE//acpT//arcC//hslO//ybiT//yqjH//ycdY//rnhA//paaC//nac//fnr//wecC//rsmF//fdnG//lysR//nuoI//nemA//tcdA//nirD//aroA//hycB//mdtA//yihP//agaR//yddA//ybeF//qseC//sfmD//sdiA//polB//hofP//tolA//basS//moaC//yiaF//pdeH//nrdH//pdxK//gutM//ydiO//rcsA//nikD//yfiC//pckA//gltL//pheS//epmB//nuoN//lplA//rlmB//ydeP//dsbG//yfgO//kgtP//rep//dsdA//mutS//ligA//yiaO//rlmH//tdcF//ruvA//yafN//hyfF//fadD//dcuA//crl//rutG//yegD//recB//mrp//aceB//ychH//allR//fepC//lptB//dapD//ugpB//glgA//pppA//leuA//sgbU//thiE//ydjL//ygbL//phoU//yaiP//lldR//yidR//melA//dsbG//malG//atpE//ytfQ//dapF//rtcR//rlmG//rffC//ybhP//ileS//dgkA//glnS//truB//thiI//mtr//hslO//mhpA//intF//mtr//rnd//nfi//talB//yafN//mepM//srlR//fdoH//ldrB//mngR//yphD//slyD//yehY//artP//dgcT//dcyD//manY//yahI//mtr//thiI//proB//dhaM//yggD//fixB//mreD//cadA//narZ//yhfS//ycjD//galS//cycA//yeeJ//argD//dapF//solA//fre//bglH//ihfA//ynjA//glcD//yaaU//pdxH//ydcS//fabA//nth//hypA//sfmH//rffG//hscA//sspA//sapB//
GO_0006813_8	deoC//fabG//yraI//ytfR//paaC//yfcF//napB//araD//ilvM//metK//yjfF//wzyE//srlD//ybcC//xylG//flgF//rplA//
GO_0006814_8	ccmE//kefC//narX//eutB//otsB//ynhG//kch//mrp//tolB//
GO_0006816_9	asnS//
GO_0006817_8	mdh//fur//tar//endA//ytfP//gcvR//envC//rluE//rpmF//
GO_0006820_6	wzb//bcsA//nikR//secA//tsr//cnu//ydjE//rutF//yciF//dtpB//fepB//sucC//dkgB//sgcA//xanP//btuR//bioD//rbn//sgrT//gltP//ribE//minE//csdA//rfaC//rnpA//yigB//yghW//yagI//eutA//cas1//degS//phoB//tsgA//yobF//setA//pabA//fucI//dauA//narG//rluA//pyrC//rluD//agaC//ilvH//pyrG//ydjM//umuC//galT//pck//torR//yhhY//ftsP//ribD//flhD//lasT//yhaO//glvB//zraS//fhuC//hldE//trmH//ynbD//yfaL//acpT//hdhA//cpxP//yihP//xylG//udp//murP//flgM//agp//argD//glgB//rnd//bioD2//caiT//relA//macB//dkgA//lipB//ykgF//skp//moaD//glpG//phr//flgK//uvrA//cdgI//yfcR//flgM//ais//treC//flgM//frlR//nagD//yahB//cstA//spy//ygeR//sgrR//frmA//evgS//dnaG//pntA//ybgI//pgpB//pncB//yehA//xseB//glgA//yceD//yggX//rlmE//lolD//hyfR//dnaQ//gltK//fhuF//metG//actP//nhaA//lpxP//ompC//ygcO//ansB//caiD//yghW//ydcT//uspC//zapC//atpB//dgcF//msbA//glnB//preA//maa//thiM//rihC//nuoI//btuR//rpsO//dnaQ//yajR//fecB//ilvD//rsmF//nirC//bamD//dhaK//guaB//yjjW//hycI//yjhI//ilvN//ytfQ//glvB//nagD//ygfI//aroF//aidB//rhaM//feoA//treC//ygaV//nrdI//mmuP//aaeA//gltP//lptE//gntT//fhuC//acrD//gcvP//melR//secA//norV//
GO_0006821_8	zntR//endA//truD//
GO_0006824_8	ppiD//argG//znuC//gmhB//
GO_0006825_9	macB//dapA//rnlA//mscM//glvB//mutS//ynaE//
GO_0006826_9	alsB//csgG//yieF//ybcL//yfcR//dhaK//ecpR//glxR//ypdA//alr//ldcC//uvrD//cusR//eptA//trmJ//frdC//aroG//
GO_0006828_9	yiaJ//smrA//greB//
GO_0006829_9	tonB//recT//dbpA//glnS//hybE//lsrK//ygfZ//psuG//folE//
GO_0006833_6	ompL//
GO_0006835_8	tig//yqeA//hprR//betA//ccmC//kefG//argI//hlyE//ssb//eamB//yhgH//ilvL//fepE//btuF//
GO_0006836_5	aaeR//entD//yoeE//thiG//envC//rpiB//mfd//fliL//pepN//secA//
GO_0006846_7	atpF//aroD//
GO_0006847_8	rclA//
GO_0006855_6	ydcS//yedF//fimF//ppiC//yeeA//rsfS//allS//fhuB//sfsA//ymgF//arnA//dtd//flgC//yagU//udk//nrdD//casE//alaA//nusG//yegT//epmB//yihI//ybdG//bioP//hisS//mlaB//gntT//hemC//gppA//pyrG//ygeV//bioC//lpxB//dppB//fliZ//ygiB//rhlB//mdtO//mscK//malK//tusC//acrR//murR//arsB//yhjG//dgoR//fecD//ydcP//fkpB//rnc//arnA//sodA//rcnR//cobT//cyaA//mepM//rlmC//umpH//
GO_0006857_7	cheB//pstC//ygeR//ibpB//dapF//rpnB//ivy//galF//tag//btuB//napC//murP//radA//yjjI//ymgC//spy//holC//nudF//eptB//proQ//glpR//yggE//btuD//yfcU//tdk//mutS//glpR//
GO_0006862_7	leuA//
GO_0006863_7	selD//rpe//trpL//dusB//rlmE//cobU//pgpB//mepH//
GO_0006865_6	nadD//mltD//narH//mepM//rplT//yidH//cho//ftsP//yfiC//rlmJ//treC//tauB//gntT//puuE//frwB//yddL//ulaR//bdcA//fliK//yfcP//feaB//dnaT//rsmH//yihI//leuA//tusD//adeD//zitB//uspB//yccS//tabA//ahr//ccmA//flgF//alsB//ibsA//yajL//fecD//gspI//osmY//flgK//phnP//gyrA//katG//dacD//yfaV//fecD//mrr//ymjB//potA//nirC//rapA//yrfG//menE//bamB//zitB//rpoD//glnP//atoB//ynaI//yrdA//ppx//ftsY//secD//mdtF//pgi//paaB//plsC//rhoL//ydbK//accC//sgrR//rnlB//
GO_0006868_7	atpH//casC//asnC//
GO_0006869_6	spoT//fabR//alpA//rbsR//nirD//argR//gspF//ycjD//insA-1//cnu//lysS//cvpA//syd//cpxR//greA//ybdO//dgt//xylA//fadM//glpC//btuC//ldhA//glxR//
GO_0006873_5	yhjR//copA//panE//zntR//araE//idnK//recA//yjjV//glxK//rplO//yehW//stpA//dtd//uhpC//mscK//norW//mprA//dppA//caiT//dctR//uspF//ldrA//yadV//rplQ//appA//emrB//pinE//gsiA//ftsN//lacZ//
GO_0006874_8	ynjA//
GO_0006875_7	nadE//acrZ//speA//aroK//gapC//gfcE//lon//ompL//yjtD//mntS//nuoN//ompR//kdpE//avtA//rayT//yciG//uhpT//uxuB//caiT//deoR//murQ//
GO_0006876_8	serA//
GO_0006878_9	sgbE//ftsA//trmO//yraI//mtlA//
GO_0006879_9	pheP//yieF//nimT//mltA//dctR//nagC//ycgB//rpmB//ygfZ//lsrK//norV//
GO_0006880_4	vsr//rlmJ//cspA//
GO_0006882_8	argO//
GO_0006883_8	nanA//elfD//yjjB//
GO_0006884_4	rutC//galF//gor//gluQ//psd//
GO_0006885_9	yeiL//mcrA//emrE//ompA//ybjD//hprR//insA-1//rnt//dtd//ompL//rpoA//
GO_0006886_5	dgcJ//ccmF//ynfH//argO//phoR//ribD//paaK//pykA//acs//garD//parC//
GO_0006928_3	insH-6//ybiI//fetA//gcvR//secD//thrA//phr//csiD//secA//pepQ//ftnA//ilvI//kdpF//lpxD//fucA//ribB//flgH//ybhJ//higA//dxs//yfhH//miaB//thrA//thiH//topAI//yfaV//panC//nrdH//ampD//zur//yhdX//yebQ//lpxD//aspC//yahN//narW//yohD//bglA//ykfM//gadA//murR//hdeB//rbn//yeeJ//
GO_0006935_4	mraY//bamE//emrK//lspA//holE//tcdA//rpmE//yccX//gltS//torA//hemD//rph//gutM//ybaO//mhpR//putA//
GO_0006950_3	nrfB//cmoA//yqcC//yidA//yfbR//ygdG//proA//ptrA//ubiF//yhfK//tolA//tcyN//yqjA//tatA//glk//ydeT//yadG//iscR//nuoE//ydjH//bisC//ptsI//yaiW//menE//shoB//glnE//csrA//yjjX//xseB//rarD//dam//tnaB//puuA//yqcG//sapC//cof//mscM//murG//dgcZ//ydjL//yedL//recC//basR//nsrR//nuoF//rnt//wzyE//tpiA//yajO//manY//ybiW//lysA//cedA//sthA//glpX//trpA//rpsG//yghG//uspB//artQ//ydcP//rfbX//rihB//grcA//rpnD//ptsI//fdx//tnaA//rpsO//hisI//uvrY//hokE//kdpC//tehB//gntK//cedA//trpL//fimD//cbpM//degS//sufC//waaG//sfsA//ulaB//deaD//eptB//atpD//waaP//rplA//deoD//manZ//rihC//pcm//radD//moaD//nikR//luxS//yohC//cysU//lpoA//uspF//ispU//higB//wecB//lsrA//yodD//cysN//sutR//ldtE//obgE//parE//lolA//rpmC//iraD//phnP//prlC//rapZ//clsA//yhjA//ilvB//nanS//tdcB//ybfA//nrfA//ygfA//ycbX//speF//mdtN//alsB//ygaH//recX//endA//mngB//cobU//nei//thiD//nikD//tsaC//uspB//appY//fdoG//lolD//recT//flgJ//waaC//alaE//pinE//cpxA//glvC//bioD2//uidA//murR//cmk//ybaL//topB//lsrC//csiD//mtnN//sufB//higA//yeaG//sodA//torZ//rplM//hypA//tag//gadB//rnt//asnA//dgcE//hcaB//tag//aes//mltF//lpp//ybjX//fliD//recQ//ykfI//cspC//napF//cyoE//rhmD//potD//pgpB//cyoC//argS//sad//cysW//rpiR//artQ//lpxM//yidZ//mepM//ccmD//dtpB//ynfE//yaaY//murJ//slyA//yajO//crr//yegS//lysP//metQ//ygbN//mraZ//deoA//ettA//uxuA//yiaL//mdh//wecC//grxD//trxC//napA//rpoA//dnaN//tqsA//mliC//frlC//ftsW//ogrK//pphB//tpx//dicB//ribB//napD//ampG//hcaR//fre//ycgR//htpG//menF//ompR//yehC//pyrG//gldA//chpS//fabA//rlmG//lptB//yafN//tomB//yqiJ//cyoC//pgaB//rffT//rpsG//frlA//dmlA//dgoA//ariR//csgD//panD//napC//fadH//yeeL//dinB//hypF//rffT//gabT//ydcP//accB//preT//yihS//csgD//hrsA//nrfD//dctR//srlD//fdhE//pncB//ytfT//ldrA//sgcE//hybB//tauB//umuD//wzyE//glmM//glxR//hycB//ulaD//ygiS//dinI//modC//entH//mngB//gudD//yhbX//mutL//argE//yidQ//yhbX//mglC//metC//narX//ilvE//nikA//hlyE//ttcA//malK//pck//araE//pdeF//rho//yfhH//lysU//pbpG//ispA//yajL//kefB//yaaY//yoeB//mltF//cca//opgE//gsiB//caiF//ygaZ//ygeW//rpsE//nimR//dcuA//phoP//yeiG//fsr//ttcA//aspA//phnG//ydcO//rpmG//emrY//djlC//tcyL//yraI//eamB//arnB//ybiX//ydeM//leuE//rfaD//setB//idnO//yjiR//cdgI//ampE//cydC//gltX//yjbE//ybdO//yeaV//ykgA//phoA//lysA//napB//tatD//glsA//dhaR//acpT//exoX//mltC//pdxY//aroB//ygbI//ydhQ//narL//cydA//yiiE//bamB//dnaA//atoB//argF//yjhH//gnsB//yebG//purR//napD//smpB//narI//pdxK//mepS//elaB//phnK//ccmG//cbtA//pphB//rpsP//eutR//xylR//yiiD//xylG//hofP//zntA//yidP//glk//insH-6//tmcA//murA//fdoH//mglA//dgcN//rfaC//mreD//rplF//cobC//mcbR//wcaJ//rpmH//surE//hslV//oppB//tmk//iraP//prpB//mntP//aroH//uhpT//folP//fryB//yhcH//argE//manZ//fimB//bamE//spoT//envR//uhpB//narK//yeaG//nrdF//yidK//nusA//birA//menE//mioC//hipB//lon//sbcD//rzoR//yqiJ//mutT//motA//menD//gcvP//iap//rimM//ycgR//ascG//ytfE//preA//lptC//ybiO//cheR//ghxP//cbrA//entF//dhaK//cysW//chbA//rpiA//valS//pncB//hemH//rfbC//eutN//rbsA//ibsE//rbfA//modC//dusC//yjbE//yjhI//osmC//dsdC//gltL//yjbH//zntA//ybcQ//argH//secM//
GO_0006952_4	ycdX//treF//menA//intS//yajQ//mdtJ//ybhJ//yhdJ//yghB//zupT//mdoG//deoB//
GO_0006970_4	corA//lpxB//yojI//ppiD//zntA//dsbD//dnaN//bioH//caiF//rhaA//cusS//gudD//cbl//helD//eutD//rtcR//seqA//yhbS//glpB//uspE//gabD//yadV//tolA//arnT//rplW//ibsB//ybaO//yhjD//scpC//hrsA//xylA//yiaF//yiiE//elbB//ftp//fabR//kduD//btuF//
GO_0006972_5	pflA//glnH//gudD//sbcB//yneL//gcvR//mntP//msrA//ykgF//iscA//nrdB//uvrY//frdA//decR//
GO_0006974_5	srmB//yhaC//nrfF//menB//yajL//ydjM//cmoB//sthA//glcF//argH//rssB//glnH//creB//gspF//yhdZ//prpR//torD//atoB//yidQ//guaA//cvpA//ogt//yegT//hfq//nadB//gadB//nagZ//yieK//ydjK//yraH//dacD//cysS//yjcE//rplP//hcp//yegV//yieK//fiu//waaQ//phnJ//scpC//asnB//cca//malY//nrfG//yfhH//dppC//caiB//lacY//cbrA//pta//yidK//gadB//rhaM//htpG//ftp//bisC//casC//sspB//gsiA//livM//yjiA//pal//amtB//gudX//leuB//mhpC//msrQ//hemF//gor//pdeK//ibaG//glmM//iap//trg//flgI//yehZ//tadA//atoB//fepG//norR//deoA//ycdX//ftsL//emrB//tehB//pncB//ygcW//yhaC//hemC//rutF//bamD//diaA//zapB//ilvL//yhdJ//rhaT//glcD//pflB//bssS//mppA//ndk//lptE//rclR//ffh//selA//nrdD//pagP//radD//fabA//nuoH//tsaD//bcr//ycdY//yjaZ//dsdA//rutC//pitB//ymfK//bglJ//nuoH//nrdI//ygiB//lysS//agaR//pgi//ydaC//hybE//yfcF//hyfA//cmtA//ykgF//oppF//fadJ//srlE//syd//cas2//yhgF//ycjD//rlmE//yhcF//fdhD//yjfP//xylB//yjcS//prmB//lon//ynfH//ygeW//lolA//pepA//rpnA//yehT//insI1//yfdC//lpcA//rlmJ//garD//lsrR//sixA//holE//rclB//ccmC//cnu//dam//cysK//aroK//tgt//coaD//nagD//tdh//uvrY//mngR//fryA//adhE//betI//cdd//lhr//fruA//ispA//dacB//pyrG//thrC//intA//csgF//ynbC//rimP//rcnB//yfaE//yggF//cspI//dxr//nagD//lipA//gntK//rrrQ//pgaD//ugd//bacA//yiiD//ygeV//yehA//thrS//fdnH//rluE//gpr//rppH//zitB//frvR//mtlR//ynfF//trxA//yqjI//ftsL//yfaV//gspI//ydjK//yobA//manA//mltB//deoR//sgcE//yhfS//viaA//abgB//yihP//rbsB//dacB//gsiC//tmcA//rhtB//csrA//evgS//hemG//nth//waaU//rimO//kdpB//yjiA//atpA//yfiC//yfiR//yjfF//dsdX//dcuC//yahO//
GO_0006979_4	atoB//secY//waaB//pdeK//ygfZ//parC//xanQ//asmA//cysW//glmU//yeiG//moaE//rsmJ//yfbS//glsA//gntK//glnD//tatD//ychH//dacA//ariR//rpiB//ydiR//nuoF//bioD//prpB//luxS//cadA//eno//ypjD//nmpC//dnaB//ybiW//recT//fecB//dcuS//ygiV//psuT//perR//nrfD//elaB//yhhZ//xanP//tmk//setB//yciE//yciT//deoB//aaeR//alsC//nikE//stpA//thiG//csgB//adiA//yeaE//ybiA//bepA//fhuD//rrrD//hybF//gspJ//fliZ//basR//tyrA//pheT//rnlA//kdgT//dapA//gltI//sfmA//mepS//guaB//dmsA//araA//rpe//rplY//aer//yadV//ynhG//fabD//iaaA//ycdY//msrQ//rlmF//eutR//
GO_0006986_5	garP//thiL//frr//talB//ytfE//carA//
GO_0006995_6	glpK//chbF//
GO_0006996_4	puuB//metQ//cynX//rpsJ//yhhZ//atpB//yjhP//emrD//glmU//rppH//yghU//thiP//idi//aidB//symE//yfaE//cusS//yahN//gcvT//nadC//glnD//tar//ychO//yagI//fimH//hldE//sgcB//nei//pinQ//mpaA//sdiA//preA//entC//fdrA//ulaB//glnH//yggN//ybiO//xanQ//
GO_0007010_5	mnaT//
GO_0007059_3	mcbA//rfaD//rlmJ//sulA//cysE//btuR//btuC//garD//insI1//ftsA//
GO_0007062_4	lolB//yhjV//tdh//dbpA//
GO_0007154_3	ogrK//nrdB//relE//yjgX//yqhD//ldcA//cpxP//tesB//cobT//modB//dgcT//pgrR//ruvB//xseB//tusD//livM//ibsA//umuC//rplE//yqjI//menB//shiA//sapF//zipA//rsmD//kdpD//pnuC//metF//allC//caiF//narI//yfjV//gltX//hybC//rffG//patA//amyA//icd//nth//ykgO//thiL//treA//sutR//dnaA//dinG//hupB//ybaT//yihP//aroB//lysA//yjaZ//basR//iscU//zur//dnaB//
GO_0007155_3	dgcF//lon//mutL//yhjV//pspD//purT//epmB//purR//purC//pmbA//nrdA//dapD//msrA//ulaR//feaB//macB//rseC//bhsA//ppiD//cbpM//orn//bamA//pstA//ydjM//yijE//yagU//yidC//yedX//pstS//nemA//yidP//ymdB//tyrS//aaeR//pepN//
GO_0007163_3	ubiJ//
GO_0007165_3	xseB//yddA//proP//ygfZ//nlpD//slyD//clpP//ypdI//hldE//tas//fhlA//grcA//yceO//gpt//mscS//ybgI//ispB//yfjV//yehX//def//tdh//btuR//skp//yibF//ybiS//kdpB//hypT//ybiV//mscL//sxy//thyA//malS//exbB//yfcG//lnt//flgG//mdtG//rcsA//mnmE//cysS//yeeO//folX//waaO//ibpA//cysH//lamB//frdA//ortT//hupA//yjiX//fecA//map//fabG//rpsS//tar//yqeA//yqhC//ydaV//yccX//lsrG//
GO_0007166_4	hprR//fkpA//entF//yfaV//
GO_0007215_5	yfeO//waaP//menB//oppD//
GO_0007231_4	ycjW//
GO_0007234_5	ribD//
GO_0007267_3	aroH//ygfZ//
GO_0007346_6	decR//yijO//murR//
GO_0007584_4	slyA//cas2//cytR//hofN//
GO_0008033_9	ybhI//cvpA//djlC//betT//yhbX//paaJ//nanC//iscU//cpsG//dmsC//hdhA//rffH//gpr//sufA//rplY//udk//cbeA//casB//thiH//yehP//feoC//dapD//cydC//rutG//xapA//tpx//ubiI//elfD//ygjH//rplJ//rffM//valS//cpsB//poxB//trpS//zntR//yfaU//yiiD//rlmB//pfkA//flgG//mlaF//uvrC//ydcZ//tsx//focB//yraI//kdgR//rnc//rplD//yddL//yggF//dcuA//yjgX//yjcE//gadB//
GO_0008104_4	yejB//ackA//galE//btuF//sdaC//frlC//agaW//preT//ydeE//crfC//iraP//secA//glgP//grxD//mzrA//rpsM//ubiF//pdxH//ydeM//tcdA//btuE//garD//yfeX//ybhI//ribC//asnS//hybF//rfaH//mlaC//yqcC//yqaE//atpB//glmM//moaA//yggE//fliD//leuS//frdC//chiP//carA//sufA//yhiM//fucP//alaC//speE//mepM//xapB//sodA//oppA//
GO_0008156_8	msbA//pstS//cheW//ftsB//intA//ftsL//
GO_0008202_5	ybbY//
GO_0008206_5	gloB//
GO_0008213_7	nrdG//yidE//gadE//proQ//mdtJ//folX//rcnA//lsrG//
GO_0008216_5	mhpB//bglF//ynaI//
GO_0008219_3	aroD//ugpC//ybcL//envZ//wzzE//tcdA//nuoE//rrrQ//kefB//fadK//yfbS//ybcL//ychO//infB//rplY//
GO_0008272_6	ybaM//yaaA//rsmE//tag//opgE//hinT//lgt//
GO_0008295_6	bioP//hns//emrE//
GO_0008299_5	dacC//yehD//ribA//gcd//djlC//yoeE//
GO_0008360_4	gudD//cbrA//pinQ//rutD//recQ//insB-4//yidD//yagF//rnc//crcB//sodC//lysR//rsmG//vsr//yjbG//mdtK//
GO_0008361_5	dppF//pdeH//sgcA//malI//ypdC//
GO_0008380_8	deoR//
GO_0008610_5	ybdH//nadE//cmtB//ftsH//uhpB//flgK//csgB//cynX//bioD//csgE//yfiE//ddpA//dauA//rplS//yrbG//acrR//tdh//pphB//rffT//araG//rdgB//yibH//narQ//yjjU//prmC//ldcA//mcbA//yrdA//nikD//yidZ//argB//ydjM//yfgI//accB//nupC//hsdR//selU//cirA//hyaB//zraR//yecS//cytR//crcB//malS//bhsA//cpdA//fpr//ychH//kdpF//gspE//insB-2//endA//gltX//pnuC//queC//lysC//pyrD//nagE//deoD//cysC//raiA//ydhJ//nrdF//hflD//bioP//lepA//rpiR//
GO_0008614_5	gmk//yciF//sapD//rfaD//rpnA//cydA//ibsB//
GO_0008615_6	thyA//cpdB//fdnG//ptsP//trxA//uhpA//intE//
GO_0008616_8	cpoB//ydeE//ppk//ilvC//mtlR//aroP//tpiA//
GO_0008617_9	allB//
