#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sgbU//recF//nrdH//cvpA//
GO_0009057_5	higB//suhB//panB//yggX//rlmB//lpoA//rplK//malK//lptB//yfcR//fimG//yojI//sdhE//uvrD//uspG//galP//yceO//sgrT//pstB//fabI//envY//lexA//cysZ//tsf//adeD//pgpC//fmt//pdxA//yieH//glgA//sfmH//rcnA//rpsK//tdcE//mltF//tonB//paaH//yieL//exbB//yahK//gutQ//tmcA//exuT//rzpR//nrdR//yrfG//recF//znuA//cusB//rplM//rfaD//rpnA//pepQ//dcuB//
GO_0009058_3	ybgQ//bdcA//nanT//frdB//insE-1//ynfK//pbpG//sucB//rpsI//mscL//nrdE//cyoC//yhaC//betT//potA//rpsK//adeP//lptF//glcC//cyoD//ilvM//groL//puuA//yicJ//hyaD//yqiJ//rhaT//udp//artJ//preT//rlpA//argC//rsmJ//creB//gcvR//barA//rplI//feaB//msrA//recF//narP//sgcB//yjjV//aldB//fimZ//pliG//ybbN//dsbD//mdtE//rnr//mocA//fadB//proQ//sbmA//csgE//ftsN//ulaA//ccmH//yjjV//barA//radD//guaA//ldcA//ydfG//yrbG//cra//argR//ybaT//cysS//sbcC//fruK//nanC//lpxC//ychO//nagB//dcyD//casA//yadC//ldrA//yddG//rsmJ//mzrA//yfiE//ugpA//yibH//dtpC//pepQ//ycbU//fhuD//xerD//yebC//sohB//mug//glmU//crl//truA//ycbV//yfbV//cobB//potI//iraP//lolA//betT//zinT//cyoA//glxR//plsC//pbpC//rimJ//nhaB//pyrC//yjbF//pfkB//rhaD//uspC//wecC//pstS//ftsQ//yfdO//cdsA//iscA//pflA//mug//narJ//ypdC//eptB//cedA//nadA//secG//hprR//garP//ynaI//mtlA//yqaE//paaZ//potG//gppA//nikD//rmuC//trmH//gldA//trpE//ftnA//yfeR//uhpC//fdx//ftnA//rcnR//asnC//narU//yjhC//dgt//yfcQ//phnO//ybcM//nadE//flgJ//fadA//yraH//gpp//cheB//eutB//hrsA//csgD//speC//gyrA//deoD//phnG//osmF//crr//pspF//mnmC//fadD//sapD//cyoC//speC//elfG//rcsC//dnaQ//glnP//ypdC//frvA//gcvT//yhaO//folA//sdhC//metC//ybbY//mcrB//livK//bipA//gatA//yfeR//yjbF//malI//tar//pntB//agaA//yddM//hycA//murA//tauA//dld//fnr//flgF//rfbD//yggT//yjiR//adiA//zitB//ribF//nuoB//aroE//entS//fepG//yhdJ//cdsA//frdB//truD//poxB//ymgF//cspB//yedA//caiF//kbaZ//potI//fabA//zntR//mepA//hisI//nagE//recC//spy//menE//fklB//arnF//yiiM//aroF//cheY//malQ//rplP//yghO//ada//dcuA//kgtP//trxC//ppsR//gnsB//ais//ribC//nrdA//thiG//ybiS//ycaO//skp//fepD//hns//prmC//yegV//pinQ//rutG//mhpB//argH//fklB//dsbG//hybA//ypdF//aroB//yneL//folX//trmH//xerC//rpsH//cysW//lsrK//osmY//yeiG//shiA//matP//yihO//panD//rihA//gpsA//ppiD//glpT//fetA//thiD//lpxP//cmtA//glrR//yjiM//yqiI//cpsB//crr//pck//ychH//iscA//asmA//yghU//yjbG//rsmC//mntS//fis//cusS//aldA//nfuA//nlpD//metC//adiA//gltK//bglB//rplJ//evgA//arnT//upp//yhhT//xdhB//ccmA//rbsC//proS//rimP//acrB//sufC//mnmG//yidD//acpP//fbp//gpmM//rmuC//macA//rnc//cpxP//higA//rcsF//rplM//mdtG//comR//cynT//entE//nikA//narH//metQ//holC//atpB//acrR//cheY//hsdM//gntP//pnp//trmL//hmp//grxD//yhbY//pitA//crcB//glnB//yafE//dsdC//yhiM//yhdZ//xylA//yccS//mdtE//tpx//mnmE//pgk//cptB//greA//tas//rnlA//rcnR//intS//clcA//ais//potI//rlmE//ydcI//cobS//gyrA//asd//ybbN//prlF//copA//glnH//sppA//leuS//chaC//fucK//serC//ibsC//ycfJ//cysN//cecR//ubiH//ycdY//entS//slyD//lasT//sgrR//secD//dtd//def//yiaB//rapA//nikC//metQ//fucI//greB//yfiR//fiu//hcaF//dacC//tyrR//aidB//holD//bamB//tcyJ//phoB//yiiM//yojI//degQ//argC//tolA//phoR//elaB//ybhJ//erpA//wzzB//entB//intZ//pdhR//cyoE//cas1//rpmJ//rnhA//rfbX//dinB//ulaF//yiiD//nrfE//bglF//cpsG//dgoT//crr//insB-4//rsmG//rnb//scpB//ugpE//allD//yedL//mglB//sufS//gadC//yjjW//rpmB//hfq//frvB//lysR//nhaR//setA//macA//yhaJ//csgA//yqaE//csgE//phoU//argH//uspF//ade//purN//accD//kdpB//ybhI//ftnA//aroL//dam//lacZ//alsK//ybfA//bdm//ydcO//yagG//atpC//rplW//poxB//argE//purN//sad//apt//pinR//hypC//ygfI//mdlB//cydD//yejE//gnd//thrA//nsrR//hisB//insB-4//yehZ//ydaV//hofC//tldD//ytfR//oxc//gmd//map//xylR//uidA//arcA//waaG//bssR//cysP//sufB//ortT//kch//yfgO//tdcR//cpxR//kdsA//cdd//cydC//rutA//fetB//serC//glnB//yiaU//apt//gpp//murG//lsrD//ssuA//cpxA//metF//lpxT//fliD//rpsP//tdcA//hslU//sgcA//ddpX//fis//yegV//endA//phnP//kefG//osmE//elyC//nikE//chaA//fliL//adeD//rplD//yhjC//yceO//gshA//umpG//tcyL//cspB//psuG//yhfS//wzyE//ulaA//exoX//ftsA//hycA//glk//ariR//pspF//fetA//dmsB//cspI//fabZ//umuD//gadC//ycbX//moeB//citC//valS//ycgR//arfB//ychH//hmp//yjjU//pta//fbp//pnuC//nrdR//frvR//gpmA//iscA//glnK//lpxC//mreB//recN//galT//phnN//yhbX//zapE//ygaZ//dapB//agaI//yhbY//rpiR//pstB//sgcB//apaH//yidL//cysP//artP//malP//fhuC//yfjR//ydhK//bioD1//yiaB//ydcI//potD//rarD//yccX//fhuC//borD//atpA//metL//yphF//yeiL//trpB//mlaD//proV//ydiV//ymgF//appY//ispB//pgpB//dgcJ//trkH//agaR//leuB//yjbG//rayT//nadA//narV//dosP//hrsA//fdnG//lolB//hscB//waaU//cheW//chaC//rffC//slyD//recJ//prkB//bdcA//ais//folM//ccmA//cueR//rarA//rayT//rpiB//ppsR//puuD//yobA//mltF//aroB//zraR//evgS//yehY//ibsC//nirD//truA//yiaB//rppH//mntP//hinT//csgA//insK//greA//yeeY//entF//menA//prmC//ytfE//pppA//topB//araH//qseC//aceF//yehW//ppsR//ansB//yihR//priA//rnhA//umpH//sufS//ykfI//mnmC//eco//yphD//mgsA//yegV//yadV//cpsB//yqgF//dapD//ytfP//garP//serB//yodD//mdtC//fabG//pmbA//cdgI//lsrG//araG//obgE//lldD//yjgX//gatD//kdgK//leuD//tolC//matP//ybdG//yqgB//amiC//tdcR//ugpC//yjfP//setC//yafN//thiD//agaD//ybaK//sbmA//frwD//argI//hscB//galS//fdrA//wzzB//ibsA//lysR//yciK//ygfX//mntP//arcA//mltD//betB//uvrY//hpf//narW//asnS//rsmJ//frlA//ppsR//dgt//mdoD//ravA//yibT//relA//feaB//
GO_0009059_5	yagF//rhaB//rsmI//ydhQ//mazF//aroL//rsmA//purC//rpoH//secE//yfcR//zntA//zntA//bglF//tusE//psuG//cycA//yjhH//ompL//ybdN//aceB//yoeE//oxyR//rpsJ//lldP//panD//yaiW//tusC//gstB//fruA//sbp//qseC//dsbD//sxy//mhpA//suhB//purF//osmY//mtn//atoS//phnJ//insH-6//ygaZ//lptF//endA//mltA//dxr//hfq//rpmE//ssuA//potD//tolQ//sdhC//kbp//yfeD//fkpB//yiaF//pflB//mepA//nadB//cyoC//trmB//artQ//rplS//cra//yafC//intS//epd//glyA//napA//rlmF//torR//hflX//lipB//dinG//curA//elfG//yjjB//ecpR//rdgC//ccmH//dnaK//yhjA//flgD//rclR//tsaE//thrC//ygbL//qseC//hcp//rluC//yhcH//yaiP//rluB//fsr//nuoM//waaG//rppH//yggN//uxuA//mltB//pgi//mdtL//hisP//ydeT//torS//ycjQ//lpoB//actP//rbsR//zapE//pgaB//betA//rhaB//mhpT//mdtL//pgi//ybgP//yghU//mdtK//aaeB//yraN//hybC//recB//ydcM//psd//rapA//acrR//iscS//ydjL//afuB//yehP//rutE//artQ//csrD//cysK//yrdA//rzpR//hscC//nagE//yieF//flhC//cmk//lysR//yieE//aspC//rnlA//rpsR//ydeE//argI//alsK//xthA//ygiN//ttdR//ybgI//chaA//mraY//pstA//mepM//srlR//yafC//yjjW//dtpA//rpsH//rsuA//yidH//rnt//kdsB//ogt//rzoR//dnaN//ppiC//yecS//araE//ybgQ//ccmE//sgbU//ybeF//insA-1//yibT//coaD//yafE//bcsQ//ibsB//sohB//potI//dcp//ffh//ycfL//livH//yjjW//ybdG//setC//secF//yefM//rffC//purA//tnaA//ltaE//nudB//nagK//yqeF//sodC//cdh//lgt//kbaY//ade//yajO//yadK//rbsD//yjcO//xisE//sbp//hisI//cmoB//yhjA//cof//ybfA//hupB//yafE//nupC//yhcF//proP//ssuE//eptA//pheT//ydiZ//zupT//nrdH//hsdR//xanQ//hpt//waaP//yidC//livJ//fdnG//arnE//cspB//glcF//sapA//gatA//tktB//grcA//ivbL//frwB//lapA//hycH//afuB//rlmG//ybcM//gshA//rluB//argB//fimC//btuE//flgK//yejA//opgD//trxC//csiR//zapB//zinT//nusA//uvrD//entB//ubiD//hpf//folM//sfmC//yidD//secA//thrL//epmA//pspC//yehA//sthA//sseA//mocA//fabB//cspE//lsrD//acpH//thrA//ybiO//lgoT//yjbB//galF//narJ//basR//yhhY//adiY//ulaC//fepE//lspA//hpf//livJ//rrrQ//aphA//dicC//mntS//yeeO//insK//dpiB//brnQ//fecD//queD//cas1//yahK//mdtJ//poxB//ybcM//tdcF//hchA//ccmH//rbfA//yoeB//fpr//
GO_0009060_6	rne//curA//yjiA//ydcR//yjbF//atpC//ugpC//rarD//patA//yfcR//sufE//cbrC//prlC//argG//hybO//syd//rsmA//yagU//iraD//ygfZ//yagJ//lldD//accB//flgK//cheZ//garK//
GO_0009061_6	sutR//sgbH//intF//bglJ//lon//nanR//yehP//yagU//queD//argC//sdaC//sdhB//gntP//ybiO//hemN//yfgI//rlmM//rssB//grxD//zapA//prc//psuG//cynS//yehD//yqeA//rho//rsmJ//yfbV//cfa//ldcA//abgA//trpGD//yihP//ytfQ//ssuB//hdeA//cysP//dgoD//yggD//nanA//yccS//yjhP//glxR//zapA//potH//clpB//dsbB//yohD//sutR//ygaZ//topAI//cysG//apt//mltC//ybbW//
GO_0009062_6	bioH//cvpA//aqpZ//ttcA//gatA//arnT//ettA//pth//hycI//cadC//napD//elaB//tusE//gudD//ompT//ygfZ//mprA//ldrA//mepH//sfsB//mreC//
GO_0009063_5	pfkB//mlaD//ydfK//galT//ulaR//ldhA//proP//glnP//thiC//ynjD//pgaA//uxuR//yraJ//lsrD//yihI//glnH//cheR//tdk//nrfC//ruvB//yghU//ycfS//yaaJ//uspG//prmA//zinT//yibT//borD//yeaK//yadN//kdpC//hflK//yagF//kbp//fabH//aes//ulaE//ppsR//ivy//ygeA//fepC//ribD//hyi//rppH//otsB//hns//rpiB//guaC//solA//eamA//pheS//rzpR//tyrB//hpf//yieE//
GO_0009064_6	cysD//satP//mdtD//cydA//cspB//hsdM//allD//sbcB//yieK//ansB//tyrR//rrrQ//aceB//zraS//degP//cpxA//ftsW//yjaA//yfcS//mdtK//ulaG//paaA//sppA//rnlB//aer//hyi//relB//dosP//yedX//mukB//cas1//mltF//mdtO//leuA//feaB//ompW//yqcC//yrdA//ygiV//hokE//mog//murE//ubiA//hisP//elyC//fecC//
GO_0009065_7	yfjV//plsX//ybdG//rimJ//smpB//cvrA//pgpC//dcp//sucA//nagK//ydiP//ynfH//cof//arsR//caiE//pagP//pgm//hyaD//
GO_0009066_6	lgoT//narH//ydiK//mocA//ispF//tufB//acnA//nuoH//narG//cmoB//aaeB//manY//pphB//mrcB//fhuB//acrD//dnaN//zupT//prpB//pyrE//oppA//fepG//ybaM//eutK//mgrB//hycI//yqaE//yraI//ybiV//priC//scpB//tolA//yojI//afuC//yfgO//pspG//curA//atpA//cmoA//ybjL//cmoA//fliT//yfbU//dusC//crcB//mdtG//hisH//rhaS//
GO_0009067_7	kdsB//gyrA//nupX//ydaC//btuD//yqjH//xthA//dgoD//leuA//lnt//ompF//pgm//entD//oppD//lpp//fliM//tehA//napD//garR//hypF//hypD//secY//mtlA//yneJ//thiD//nimR//
GO_0009068_7	lplT//aceA//ptsG//rluC//hflC//chaA//ubiB//srkA//yqiG//pntA//prmA//ydiF//dhaL//
GO_0009069_6	glrR//uacT//aslB//zapD//gltI//tktA//prkB//tnaC//rpsD//emrY//yciH//appY//ompW//frvR//aroG//ftsQ//gudX//nanR//trpD//nlpE//cspC//yhfS//fryA//yihT//uidC//bglH//lysS//rlmB//lpcA//tcyN//ygiN//holB//entS//rffC//srlB//leuO//
GO_0009070_7	chiP//ndk//rpsN//ftsZ//adeD//flgF//dnaQ//thyA//ghxP//mnmA//rsmA//yihU//asd//cysA//yfjV//hypC//trmH//speE//hdeB//potH//
GO_0009071_7	proC//pyrH//zwf//cpxA//mdlB//dgcZ//stpA//leuD//cytR//sucB//ynhG//ttdT//yqcC//yihU//
GO_0009072_5	ybeF//uup//gpp//gpr//ppk//cusF//leuD//yfhH//ydhC//yphC//ibaG//ydeM//metE//rclR//ynbB//waaG//yhjR//deoR//pabA//mltC//yieH//ilvA//cspI//ybaO//
GO_0009073_6	yafE//ubiA//acrR//sgrR//tolC//yeaG//nlpD//cydC//lamB//sbmC//yegV//pdeF//atpB//rcsB//elfA//menE//yphC//setB//uspF//bioH//hldE//
GO_0009074_6	queD//ileS//sbp//
GO_0009078_6	elfG//hybD//cusS//yahO//rpsP//flhC//phoQ//
GO_0009079_7	rnhB//ytfQ//yijO//csrA//
GO_0009080_7	trpB//insB-2//cutC//
GO_0009081_5	yidH//hofQ//minC//yiaL//gpsA//csgA//accD//zraR//insA-2//glpA//ubiI//ycfL//yifB//leuE//comR//ugpE//yhfK//ycfS//maa//setB//dacD//psd//
GO_0009082_6	yejB//lplA//ytfR//htpG//ulaC//clpS//alpA//uxuR//yfeW//lldD//glsA1//mutS//lamB//rstB//rsmA//htpG//holC//pphB//
GO_0009084_7	yjaA//yhaO//araA//ygaZ//uspB//napD//ldhA//kup//metQ//hslR//hisC//kdsC//ydiF//yaaA//tsx//gltK//hcaT//yfgJ//nrdA//malS//msrB//yciV//cpxP//glyS//cdgI//
GO_0009085_8	mlaB//dppD//yfgJ//gloC//gph//yeeO//tqsA//yedP//mraY//ydcZ//kdsA//lldR//
GO_0009086_7	setC//wza//kefF//agaB//tatC//ribE//ahr//yaaJ//fiu//
GO_0009088_8	lgoD//rsmF//
GO_0009089_6	rmf//ydaV//cbtA//tgt//glmM//prlC//yjhG//ade//viaA//
GO_0009090_8	aldA//torC//topA//hdeB//
GO_0009092_7	casE//purR//rsmD//ilvI//yjfF//cueR//
GO_0009093_7	lacY//lpxB//glpF//lipB//bioH//
GO_0009094_6	dgcE//yebG//wbbK//tolC//
GO_0009095_7	tcyL//nfsB//cysA//cmoB//
GO_0009097_7	purT//ybjN//murQ//ymfK//atpA//eptA//leuS//
GO_0009098_7	ghxQ//crr//bssS//codA//kdsD//fadA//opgH//
GO_0009099_7	cydC//caiE//yagE//yddM//lsrR//ampH//hda//rpsE//pheA//tabA//
GO_0009100_5	ettA//yfcP//aroE//gntU//dnaN//
GO_0009101_6	sppA//
GO_0009102_6	glpX//yajQ//xylR//mcbR//nuoE//udp//yccX//yfiR//rapA//relE//tatD//rnd//fhuB//
GO_0009103_6	rbfA//ybiI//nemR//mug//ldcC//eutK//tusA//folX//ynfK//arnD//uspC//
GO_0009106_5	yfbU//cbeA//
GO_0009107_6	purA//rpiA//
GO_0009108_6	yadG//glnD//bssS//ettA//pabA//fadJ//yeeL//nagA//wzzB//tyrA//glgC//sucC//udp//tktA//dgoT//dmsC//yadN//paaH//ycfH//ytfR//rtcB//mutM//galU//arnD//yejF//uup//purC//clpX//ychH//yidH//mglB//elaB//rseC//glgX//ybbW//ldcC//dinB//recO//agaD//wzc//plsX//pgpA//entE//fimI//intS//treF//viaA//bioC//ygjR//mtnN//yciT//rnr//amiD//elfD//ddlA//arnE//ldtA//yagJ//glpR//ypdI//elfD//rna//yggT//fimG//ygcW//cptB//lpxL//malQ//yidH//ynhG//ydcM//phr//sapA//srlR//dgcF//rhlB//rutC//cvrA//ispB//sufB//nuoH//gudP//yqhC//yggW//bepA//trkG//setB//phnI//aaeR//livH//guaC//elaB//yfdO//trmH//rhtC//aroK//yihS//pspC//yjgX//metE//psuG//yihQ//rpoE//phoU//trmI//thiE//ypdC//dmsB//rfaQ//ynhG//
GO_0009109_6	fkpB//fixB//prpB//yihX//fadE//
GO_0009110_5	tolQ//umuC//gatY//stpA//yfaU//modB//rpsJ//ratA//dkgB//appC//tktA//glnE//kup//rlmG//yidQ//tufB//dacA//dnaA//yeiE//hinT//recO//dppC//wecB//folD//abpB//hicA//arfA//yehU//gpr//tdcC//nrdB//dps//rplD//prpB//yjhC//znuB//mukB//kup//fecB//argS//essD//cobU//mhpA//ybiX//puuR//paoC//hisQ//ycbB//cynX//adk//queC//ykgF//hisP//purD//glnP//gdhA//mrdA//
GO_0009111_5	rpmE//yfiR//ybgQ//ybgQ//
GO_0009112_5	mmuP//ugd//viaA//ybiS//rhlE//qseB//yneE//lsrR//apt//ilvD//pncB//sspA//yoaB//arnE//ispH//rzoD//nuoN//iscX//htrE//pncB//nrdH//trkG//cra//pyrH//gspJ//yedL//ghoS//proX//wcaJ//perR//gph//narI//baeR//pdeF//flgF//pck//
GO_0009113_5	rhaT//puuA//ynbC//dhaL//fumB//
GO_0009114_8	mnmE//
GO_0009116_5	modC//sixA//hemD//exuR//yddL//bioP//gpsA//skp//yagI//sapA//mgtA//ybiW//dauA//ogrK//osmC//sgbU//elaB//allC//uxaA//ydhQ//ilvL//iclR//rpsT//appA//rhaA//insI4//nei//accC//secF//nrdH//ubiX//tolB//dacA//yjbF//alpA//metQ//paaF//rpmH//acpP//sppA//
GO_0009117_6	hokE//galM//trpA//mrcA//codA//ybdZ//mgtL//napB//mraZ//rbsC//nrdH//epmA//yehP//mltF//priB//rarA//yeeL//astC//frwC//ybhA//mnmA//wecE//kch//rlmL//nimR//nuoI//ybdZ//betT//tadA//hybC//ssuB//lapA//dpiB//cspB//trkA//nrdE//aaeR//yegV//cof//yfeX//rplS//moaA//ilvE//yheT//galU//pmbA//msrP//fdhF//metK//caiE//artM//agaA//cbrA//gph//ycaN//blc//yohC//rpnB//ygaH//cysU//ssuD//rrrQ//yeaD//ebgR//feaB//livH//xanQ//cadB//pmbA//ftsY//panF//bcsQ//clpP//relE//yiaB//aceA//clpS//fecD//dtpC//acrF//rpmC//aroE//nikR//crr//ppk//appA//insH-5//cbpM//opgB//aroH//ygcW//yghB//ada//ygcO//yjiR//yfjV//fruB//gstA//rnhB//ahr//yihL//gloB//tatA//hycI//
GO_0009119_6	groS//feoA//ribA//xseA//tag//rpsI//adhE//paaB//ppiC//rpmB//ydfD//arsC//secF//ybaT//puuB//puuR//norV//tdcG//yfjR//rlpA//entS//nagB//lpcA//yebC//ynhF//xylG//nagC//ibsB//pckA//fdhD//exbB//aspC//copA//rpoS//tcyL//
GO_0009120_6	rseP//rfaE//gudP//yahB//
GO_0009123_6	lgt//zraR//envZ//sgrT//yjbE//hprR//ydhJ//nfo//rpsG//thiH//hisG//yqeG//dinG//mgtA//nrdE//sodB//mgtL//cspD//ulaC//pdeH//rhaR//rssA//tatA//yfaV//rbsA//srlR//msrQ//ybjC//smrA//ybcM//hdhA//eutK//zapD//mntH//rcdA//trpD//rsmJ//thiG//appC//sad//ynaE//yahI//fabR//yhjD//rodZ//acrR//
GO_0009124_7	leuB//nlpE//ycjR//rplO//cspE//gltS//lsrD//focA//cmoB//yiaT//recG//yegD//ygiN//intZ//dcuB//uraA//sdaA//crp//rnc//yjfF//sgcX//yjcO//nanK//nlpI//dsdC//fadE//rna//hxpA//hokB//rhaD//acs//ybhD//pdeD//moaB//zapA//frwC//dosP//
GO_0009125_7	moaC//gudD//infB//tolR//yoeB//
GO_0009126_7	trmB//rzpD//nanT//ykgM//livK//atpA//yjhP//ybiJ//yecS//gltS//ybcL//ldtC//rcnA//mpaA//yeaK//rfaB//mazF//putP//gloC//pgrR//nirC//opgE//citT//hslV//actP//yihQ//ydeP//cydB//rsmA//purT//recT//entF//gntT//fimE//
GO_0009127_8	allC//accD//rlmI//ykgF//rpiR//sfmA//ykfI//rayT//hicA//fepG//yagF//mtlD//rhlE//yrfG//agaB//truD//ssuE//ulaG//nei//araH//yieF//murQ//clcA//sbcB//glgX//rlmG//putA//cspD//ygbM//talB//
GO_0009129_7	mdtL//rpoD//argC//nirB//xisE//xisR//yhjB//nadK//ycfJ//ribA//
GO_0009130_8	osmY//gmk//ygbI//ypdF//uidA//
GO_0009131_8	pinR//wzzB//gmk//mngA//artJ//
GO_0009132_6	gadC//dhaL//nusG//wcaB//wecB//cobS//idi//ybbY//lpxD//chbR//agaW//insB-4//yihP//pncB//trpL//alsA//rpnD//gpt//flgM//argD//feaB//casB//rffH//lldP//yhaV//
GO_0009133_7	mscK//yegT//lrp//
GO_0009135_7	lpxM//yhaM//yahB//napB//flgD//yjiR//chbA//deoA//zwf//nanS//rsmH//amiD//orn//rpnA//pinE//gspJ//alsK//dkgB//murR//glvC//frwD//kefB//uidC//
GO_0009136_8	ybaE//
GO_0009138_7	yehU//tcyN//
GO_0009139_8	gloC//xylE//
GO_0009141_6	aldA//glpT//marA//diaA//metF//acnB//mdlA//fkpA//nhaR//ybdO//ribD//truC//fdhD//cvrA//hupB//ispB//nadD//rbsB//lolE//fcl//zipA//kefG//gspJ//rplR//mnmE//recT//yghB//secB//hypD//thiG//aroA//ydjL//hdeD//fryB//rbsK//mglA//gpt//menB//
GO_0009142_7	tsaE//ybeF//dnaK//grpE//yggP//caiB//yfbR//nusA//rmuC//rplK//ydcR//lacZ//galP//xanQ//mazF//ldtA//rbsB//cysB//mltA//ybdG//flhE//alsK//yoaA//rlpA//pheP//secD//bamD//argH//
GO_0009143_7	secY//hemG//puuR//lptA//
GO_0009144_7	rffG//pheA//betT//ispF//araF//bioH//leuO//bioF//yfbU//putA//sbcB//gltP//uspC//mug//dcuD//iraM//hha//cspC//gntU//purR//paaB//setB//ilvD//mtgA//ybdR//ynfF//thiG//bssR//ybeY//ycjQ//yafS//
GO_0009145_8	zapC//yohD//umuC//rseC//metI//hcaT//malZ//sanA//ghxP//treR//curA//cdaR//ydhK//gshA//groL//hemN//sspB//rzpD//pinR//menH//rfaC//brnQ//asr//
GO_0009146_8	ycdY//queF//
GO_0009147_7	yieK//rplQ//ybaO//yeeO//
GO_0009148_8	trpR//sdhD//
GO_0009149_8	rffH//csgB//
GO_0009150_7	yibH//ybhF//rarA//flhC//moaC//dcuD//proB//manX//aroK//rpmG//yeeY//ymfA//potH//cpdB//yfdK//rstB//chbC//torD//rmuC//lolE//garK//uhpA//phr//yjbH//ilvL//wecA//cheZ//yfcS//ubiI//basS//ibpA//adiY//focA//fryB//oppD//insI-2//nupG//valS//hemC//osmE//patD//yibF//hpf//eptC//tmk//tdcA//mqsA//hisF//
GO_0009151_7	cpxR//rraB//
GO_0009152_8	ykgM//msrQ//zupT//btuC//ravA//tdcF//etk//lolC//cysH//eutK//yhaC//nuoL//bglX//rlpA//cysS//csrA//ribF//gatY//ahpC//talB//menC//rhtA//panE//yaiV//frwC//speD//rna//bssR//yafO//dsdC//marR//cbeA//nrdF//hisG//treR//fadM//gppA//
GO_0009155_7	dppA//cyoD//
GO_0009156_8	trpGD//ycjR//nanC//ycgB//gnsB//uvrY//ydjH//acrF//adiY//bdcA//shoB//galE//mtgA//clsC//glrK//pmbA//glnL//mdtC//yehY//ygjK//deoR//tag//yfdK//malI//prpC//fryA//mdoG//fdx//tusE//yhgH//uidA//kgtP//guaA//
GO_0009157_8	hisM//cyoA//rpnA//gpmM//
GO_0009158_8	rlmF//purN//gyrB//pgpC//mraZ//
GO_0009161_7	rsmC//rsmB//tesB//srkA//mntS//rhtB//cysK//prmC//appC//dauA//argE//yhfS//selB//ybiT//yggT//aes//waaZ//dnaJ//alsK//tynA//rlmI//insF-1//ptsG//rusA//exuR//exbD//ycjW//kdgK//paaB//gloB//cysP//lacZ//mtr//ybjG//yhjX//pphB//trpD//nagE//lolA//proC//cvrA//pgaC//
GO_0009162_7	baeS//puuC//icd//dam//
GO_0009163_6	rnlB//tcyN//fadK//rlmC//sthA//higB//cysS//mreD//yqaB//moaB//rzoD//phnO//rpe//gcvR//clpX//ispG//yraH//mngB//ahr//
GO_0009164_6	asmA//rssB//yafQ//maoP//prmB//purC//eamB//ybaQ//yfeO//copA//bamB//uxuR//rbfA//
GO_0009165_7	rhsD//lysP//aroK//mppA//envZ//rpmJ//araA//mhpB//cobS//fklB//htpX//yfcG//puuD//artM//narJ//ldrD//ompC//puuE//dnaB//pepD//appA//birA//spoT//setC//yghO//dadA//yfbS//gapA//yobF//dapF//cysM//folA//ridA//ybaQ//hipA//nrdF//ispU//hypT//tolR//intA//rimK//dsbC//glcE//mdlA//trpB//insA-2//malI//ycjP//mlaF//yphB//ydjM//hdeB//flgG//dcd//dgcF//rhaA//wecE//tag//fecD//folE//gpp//adhE//ynhF//ssuD//caiT//gudP//cyaY//pyrE//nanR//acrZ//potF//
GO_0009166_7	gspE//hha//ygeR//yfbS//ybjL//rimI//torY//nupC//fimG//selB//rplC//rnt//cutC//ftsZ//cof//amiD//ygaH//greA//mzrA//plsB//kbaY//thiH//queE//dmsA//gpr//cbeA//mepM//kch//mdtC//nfi//preT//
GO_0009167_8	casE//hsrA//entA//slmA//iscA//nagK//fadR//mutY//yqcG//hemF//tdk//soxR//sthA//arsC//hslV//ndh//ttcA//dacA//yahO//ulaB//dmlR//ispH//gmk//ampE//rpoS//mdtD//speA//ruvB//idnO//flgI//rutD//nuoF//yihI//phoU//
GO_0009168_9	lsrA//secM//parE//rpiR//araF//curA//yqhC//carB//pgpC//yedF//cheY//ydcI//pgaA//yjjQ//mipA//caiF//sfmH//mppA//nudG//ybeQ//yjjQ//asnS//ubiX//yaaJ//rlmC//arnB//citC//mutL//rbsC//tdcD//
GO_0009173_8	cdgI//zwf//rrrQ//sstT//paoC//dsbB//pnuC//
GO_0009174_9	rplC//tpx//
GO_0009175_9	yfcS//yjhB//ybhI//ccmD//sohB//
GO_0009176_8	insI3//rpoH//yggE//
GO_0009177_9	mngR//araG//ypjD//
GO_0009179_8	ldhA//yfaU//hexR//fieF//purD//tsaC//fdnI//frdD//relA//fliK//nei//nuoN//fliZ//gatD//mutL//greB//purL//yggX//frsA//cspG//ascG//pth//rplO//
GO_0009180_9	emrE//
GO_0009185_7	mscK//lamB//yeeL//rpmA//mtn//bdm//yqgB//kdpF//gstA//fau//murP//gcvP//priA//ulaC//ybbN//sbp//ynbB//rpmB//ubiC//bepA//gcvH//arfB//atpC//cysB//
GO_0009186_7	yqaE//
GO_0009187_7	yciK//ybdO//
GO_0009188_8	yhfK//pmbA//
GO_0009189_8	insF-1//
GO_0009190_8	metB//tpx//
GO_0009193_8	baeS//
GO_0009194_9	azoR//
GO_0009196_8	hsdM//
GO_0009197_9	qseC//
GO_0009199_7	ybfA//lysP//nrdE//casD//ade//ytfR//malX//ibsD//sohB//murC//yidD//rpsM//srlE//fecA//tsf//alkB//sodC//lptA//maoP//ydjM//nfuA//kdpA//yidE//allR//pykF//ygbL//aas//ynhF//grcA//hokB//oxyR//
GO_0009200_7	patD//rplQ//creC//solA//
