#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	pgpB//atoC//mntP//yieK//
GO_0010608_7	lpxC//ynbC//rlmF//iscA//pepD//dnaT//gltL//secD//rbsA//fadH//evgS//nemA//trpR//syd//elfC//ansA//uxuA//ftsI//aidB//rplK//bamD//hflX//suhB//nanT//yobA//cvpA//gph//srlA//narG//comR//ybaL//yfdC//recO//nrfF//nikB//plsB//rhoL//rsuA//flhA//hslU//trpE//glpK//hemG//rpmB//
GO_0010628_7	lacY//lysO//yicJ//crfC//aldA//ygfX//asnB//clcA//aspA//waaP//nuoL//pdeL//hisD//nanA//speG//cpdA//htrE//bamE//metB//ubiD//yhaV//lsrG//tsaB//clpA//uacT//bluF//malQ//baeR//phnM//rpmJ//chbC//fepA//abgA//plaP//tynA//yfcP//rpsH//sufC//hybO//lon//yibH//ydfD//ftsI//eno//yggT//glyS//phnN//xisE//dgcE//gpmM//parC//glmU//ldtB//gntU//rrrQ//modC//srlA//cspI//galF//yidP//baeS//tusA//menH//srlB//mscS//ynaI//mutH//rlmI//ykgO//wbbK//mdtD//alaC//puuB//deoD//fruK//allD//bglB//pepN//rpsT//mqsA//hycI//acrA//rsmE//
GO_0010629_7	gcd//eutD//prpD//pepQ//gor//decR//cedA//bamE//yfdO//elaA//smpB//yehP//xisR//mgrB//arsR//sgcE//rbn//setA//asd//ccmA//puuC//mdtO//xylA//basR//pdxB//sgcX//udk//purL//thiD//rutG//yjhI//amiA//nikD//mlaF//glpR//acrZ//gph//tnaC//ptrA//rspB//parC//znuC//lpxM//rrrQ//frmB//macA//fimD//rcnB//dgoA//rlmI//atoB//sdhE//adiY//phnL//rnc//cusC//patD//intE//rsmB//yoaA//gntP//cirA//lpp//melR//ybgQ//alsE//recT//nlpA//mog//sodA//yfcV//gpr//glgX//frdA//rlmJ//yiaM//zipA//arcA//yhjC//ushA//yfjR//yphD//yjeH//tdcC//yiiE//ptsN//recA//livF//yjjI//cho//menA//wbbK//proB//ydjK//yehP//infB//trg//aspS//lysO//napF//ydhK//amiC//entE//metK//nrdI//yjeI//bhsA//ynbD//mog//ispH//ftsX//hypD//argR//glpT//ymjB//tsgA//rho//trpL//crcB//topB//caiT//speG//cas2//yneJ//argB//ycjP//zraS//ydeI//
GO_0010638_7	fimA//entF//
GO_0010639_7	mazG//grxD//ravA//
GO_0010646_5	cobS//
GO_0010648_6	dhaL//
GO_0010675_6	yhdJ//borD//pdhR//mqsA//hupA//gstB//
GO_0010676_7	pbpC//gatD//
GO_0010677_7	rapZ//
GO_0010699_4	katE//yebS//
GO_0010810_5	pabA//cmoM//
GO_0010817_4	mepH//nudB//yagG//yraK//potH//lptE//lptA//ebgR//tas//rnpA//yohD//speB//wecE//acrB//
GO_0010827_7	mglA//
GO_0010829_7	clcA//
GO_0010876_4	yqaE//
GO_0010906_6	ynhF//hycH//
GO_0010907_7	aspC//
GO_0010911_5	pykA//zraS//hprR//
GO_0010921_6	trxC//rppH//arnD//ffh//
GO_0010941_5	ribB//
GO_0010948_7	ilvB//dxr//
GO_0010951_8	prfB//nagC//
GO_0010962_7	uraA//paaJ//
GO_0010966_8	qseB//
GO_0010967_6	phnL//
GO_0010974_7	fau//
GO_0012501_4	pgrR//yhfS//yahK//cobS//ygiN//yqjH//atpB//ccmE//yoeE//cusC//aceF//dgt//ccmD//
GO_0014070_5	chbR//oppA//
GO_0015031_5	gltI//ybaQ//kup//dmlA//narP//paaE//mdoD//mlc//yihR//yadK//yiiM//malQ//pitB//ndk//napF//rlmD//ispU//znuB//allC//surE//ydcT//osmE//rluE//ygbL//napF//yehB//araD//gluQ//ompW//yehY//soxR//bioD//hflD//hslR//ilvE//ybgP//lpxH//eno//topB//cobS//mhpA//
GO_0015074_6	appY//manX//tsf//fpr//pyrE//macB//upp//
GO_0015628_5	fhuF//pbpG//speB//bamA//codA//
GO_0015669_5	ytfP//
GO_0015670_6	galU//
GO_0015672_7	fabA//cspB//ibaG//iap//ravA//rffG//kefG//essD//ybjL//opgH//kdsA//ftsE//fumC//ydhC//murG//ligA//xseB//yafS//chbF//ghrB//murA//rluE//paaF//yhdZ//opgE//ibpA//radD//fadB//ldrA//bcr//greB//narH//glgP//yfaV//nadB//sapC//ogt//hemE//nuoH//prs//rplX//ratA//dnaT//
GO_0015673_9	yeiE//
GO_0015675_9	rplW//gltS//frlC//glpG//vsr//araF//parE//ybdR//
GO_0015679_10	gcvT//seqA//
GO_0015682_8	idi//acrE//guaD//bglF//intE//vsr//lsrK//secF//mlaF//rnpA//nadC//yceK//
GO_0015684_9	blr//ycjR//ftsY//entC//folD//
GO_0015685_8	crl//entD//mraZ//mioC//mrdB//nusA//
GO_0015687_7	wrbA//mntR//uhpT//fetB//
GO_0015688_6	hcaC//ubiX//dnaA//cusS//ygeW//epmB//moaD//lsrD//yahI//argT//ybdM//cbrA//cheA//yghG//pspA//prkB//rsmC//alsE//
GO_0015689_8	maeA//ptsI//rstB//
GO_0015691_9	tisB//sodC//glxK//lgt//
GO_0015692_8	leuE//
GO_0015693_9	evgS//entE//
GO_0015695_6	narH//yneL//lepA//tqsA//galK//ortT//rbsB//patZ//ybcJ//frc//gmk//tdcA//nikA//rimI//proA//lldD//gshB//metG//iraM//pykA//insF-1//rpnD//lolD//flgB//rhaA//yfcS//gltS//sucB//lyxK//ybdH//
GO_0015696_6	rlmN//proA//yhjA//tap//yegS//phoR//rcsB//dnaJ//agaC//bioB//gatZ//dnaK//alaE//yidD//galT//aroC//flgB//mltD//curA//iraP//uspE//dnaC//ompC//ycdY//yjbF//ybdG//glrK//arcB//degP//hrsA//mtn//
GO_0015697_7	trpB//artI//recR//cbrA//argP//marR//yneE//kdsB//frmA//chbG//nagE//yehC//tyrS//
GO_0015698_7	mdoG//gatB//xylH//dgoA//gspJ//mobA//ybjL//fhuB//mntS//trkA//rcdA//proA//moaB//nupG//hemA//ampE//cheR//rbsD//rpmE//pbpC//kdsA//yfiE//ribA//alsC//ubiG//ybgI//aspC//gatD//rlmA//mqsR//dgcJ//nrdH//mdoG//frdB//envY//fliT//wecA//bioC//rplA//uxaB//insI-2//
GO_0015699_8	ypdC//
GO_0015700_8	yceO//yibH//
GO_0015706_6	yeaK//selU//ybhG//
GO_0015707_6	yhdW//puuR//folE//phnL//yeeA//aroA//
GO_0015709_6	ftsP//
GO_0015710_8	mtlR//ymfK//
GO_0015711_6	ygeR//rplW//exbD//rhaM//argC//yafQ//ybhS//rpe//ymdB//araH//cheB//hyaA//mdh//yeiG//btuE//trmH//hmp//lgt//aceA//ymfK//pgaA//arcA//glnD//argI//relB//uspC//flgK//ugpB//nanT//folC//yegT//ibpA//tabA//rnhB//aroD//cysD//thiQ//yhhZ//frvB//ybaE//yibT//pfkB//yhjG//menF//entA//dnaG//yfdR//oppB//yeeL//ppk//nadA//btuD//fruB//dut//sbmC//tauA//menF//ycjP//trmJ//luxS//mnmA//sbp//fumB//sufA//ahpC//ybcL//miaA//csiD//rhaR//yegD//rpmB//aceK//mepM//glmM//menA//cpsG//trpE//ldrD//phnI//insB-4//moeA//cspD//sbcD//yidQ//fliZ//ushA//nlpD//mcrA//ymfK//rpmG//ddlA//manY//rrrD//nfo//pmbA//hybG//ravA//rsuA//dnaA//ypdF//yaaJ//pinE//nrdI//hprS//sfmC//waaZ//ybiJ//glnA//pykF//yfeX//fimF//nrdG//cedA//betT//ybdO//emrD//yfcU//pyrF//nfsB//rplC//dam//erfK//yraK//recX//ygiW//ycbB//hipB//hemC//cpoB//ansB//lacZ//sspA//lldR//fadJ//flgA//uxaB//nfo//dgcN//cycA//galE//iraM//thiP//ybdO//serA//
GO_0015712_7	lpxL//
GO_0015718_8	yqaB//pdxK//casE//uxaC//ygbN//dppC//appY//gsiD//puuC//acnB//mrp//cas2//wcaC//yafE//yceK//paaZ//glsB//ybcM//frmB//ycfL//yjhC//hslJ//yjjQ//lgoD//
GO_0015721_7	yadM//scpB//
GO_0015724_7	yjjQ//hokB//allC//
GO_0015726_8	manY//
GO_0015727_7	msrP//cspE//
GO_0015733_7	clpP//
GO_0015734_6	zapE//fimF//dmsC//
GO_0015735_8	yjcS//
GO_0015736_9	rcdA//
GO_0015739_7	fimD//
GO_0015740_9	cmtA//fadJ//uxaA//cpxP//nlpD//yggT//kdgT//kefG//nrdI//
GO_0015741_10	hypA//lpxM//
GO_0015743_10	iscU//
GO_0015744_6	truC//potG//rutC//
GO_0015747_6	hyaA//
GO_0015748_6	fkpB//uhpT//ftsW//proB//secF//miaB//murQ//gppA//yibF//birA//cheZ//lpd//kdpA//yhaM//ygeA//
GO_0015749_7	ebgA//yadI//yfcA//amiA//yjcE//ubiB//rlmH//pheT//yccA//alaA//rluB//yneJ//acnA//mdtN//insI3//csrD//bfr//abgB//bisC//kdpD//ytfP//wzc//gstA//pldB//mhpD//ftsW//sapF//murE//yieH//cysM//spy//sfmC//yheT//yghO//yneL//mtn//yhjD//sdhE//yeiL//yiaU//edd//uidC//tonB//tmk//atpA//
GO_0015750_8	uhpT//ghrB//gapA//ytfQ//cadA//rodZ//elaD//menB//clpP//ycdX//slt//yccA//dppC//
GO_0015751_9	yaaA//gntK//eptB//mtnN//gspF//acs//
GO_0015752_9	marR//pepN//fimG//mltF//yehX//panB//
GO_0015753_9	znuA//insA-2//ugpB//
GO_0015754_9	pstB//caiE//flgC//
GO_0015755_9	iraP//lpxT//lgoD//atoC//yieK//holD//yadM//waaF//dgoK//proB//btuE//
GO_0015756_9	rlmC//crfC//
GO_0015757_9	entA//fadA//gpmA//nanR//udp//alr//tdcB//
GO_0015760_8	yfdC//
GO_0015761_9	insB-2//gmhB//yjjQ//
GO_0015762_9	waaZ//
GO_0015764_7	ldrA//narH//xylE//yeiL//
GO_0015765_8	yhhZ//ilvA//fecD//cspB//
GO_0015766_8	fimA//sugE//bisC//symE//sspB//atoB//ligA//uhpT//abgT//ptsN//gabT//fimH//cycA//nei//
GO_0015767_9	ompF//yjgX//symE//sufA//
GO_0015768_9	tsgA//yfdS//aes//emrK//dsbG//viaA//
GO_0015769_9	paaH//
GO_0015771_9	ybiW//hofP//recD//yggW//
GO_0015772_7	yadG//tnaC//rapZ//yfeR//gshB//thiM//rbsB//csdE//phoP//phnO//narL//ynbD//ybiX//rnd//hybG//metB//glrK//
GO_0015774_7	hypC//gsiC//phnK//ybfE//yejE//oppF//
GO_0015778_7	dinJ//
GO_0015791_7	yceO//secA//rbsA//ftsH//gyrB//hycH//ihfA//exoX//
GO_0015793_7	metN//dinB//
GO_0015794_7	yqiH//rpsG//tadA//yidK//ihfB//
GO_0015795_7	narL//
GO_0015796_7	elaD//nuoG//citG//rutB//
GO_0015797_7	murD//maoP//
GO_0015800_7	mntS//sppA//ybjI//sgcX//
GO_0015801_7	yfeO//agp//dnaN//ubiC//secE//pckA//mdtD//dppA//
GO_0015802_7	yhjA//ycaN//sapB//ydeE//idnT//leuE//aroE//
GO_0015803_7	thrB//deoR//ttdT//cheW//tmcA//csgG//yjeI//tilS//dnaJ//ybhJ//arnB//
GO_0015804_7	fecB//secA//yddA//aphA//hemC//yfaE//nudF//greB//mutS//ymgF//ydiR//rpoH//rimI//tdcE//dsbC//mipA//ttdA//pnp//pykF//tolR//pyrF//nusA//wrbA//arnB//fabZ//comR//torY//betA//cyaA//aqpZ//fadR//rhaB//gcvA//
GO_0015806_6	ykgF//
GO_0015807_7	dnaN//yadV//zapA//ghoS//yehX//ompL//gsiC//menH//ytfP//yihO//aaeA//rlpA//lysU//nrfF//sgrT//rsmG//mdaB//melA//yihU//rnd//hybD//cbpM//selD//shoB//mdtB//lasT//mdtN//argS//araG//ampD//yhjX//dacC//yfbS//ccmE//mltC//speG//tcyL//thiI//
GO_0015808_8	rpsN//narX//
GO_0015809_7	caiB//trkA//cptB//dgoK//dgcT//lasT//
GO_0015810_8	dgcE//shiA//
GO_0015811_7	dcuD//shoB//cynT//narL//exbB//
GO_0015813_6	nrfD//modA//dcuR//
GO_0015814_7	bioP//
GO_0015816_6	lptA//
GO_0015817_7	erfK//
GO_0015818_7	lolA//patA//tsaC//nupC//tdcC//lgt//alaE//
GO_0015820_7	manY//hcaR//ugpC//tolQ//lpxT//nudB//recT//waaO//mutS//
GO_0015821_7	narV//csrD//nemA//rcsC//ygeA//
GO_0015822_7	rnc//csgF//
GO_0015823_7	glnH//yaiV//cysH//sufC//rfe//rseC//nagA//
GO_0015824_7	yadN//rhaA//
GO_0015825_8	lpxC//
GO_0015826_7	pbpG//yhhZ//bglA//
GO_0015827_7	ruvA//pth//cnu//
GO_0015828_7	tar//lpoB//
GO_0015829_7	emrK//psd//holE//uup//narL//hupA//rtcB//tdcA//hscC//
GO_0015830_7	ygbL//yjtD//yqjH//
GO_0015833_6	ycbX//yagI//ybgI//guaD//nhaR//yacG//leuD//elfG//cysP//glgS//gloC//moeB//focB//mrr//yiaA//rzpD//yjcE//betI//envC//rfaC//kch//torR//relA//rplF//pgpB//ftsA//yihW//cyaY//cptB//deoR//menA//manA//sodC//ftsQ//ycfJ//pntA//srlB//gatB//fabG//cusF//rpmF//rimP//map//narG//yiaJ//hns//nadE//asmA//secG//ygeW//edd//yiaA//fepB//mliC//dcm//paaA//hokB//ftsN//fepA//kefG//rhaR//trxC//gadB//hokE//dsbG//ybhF//nrfA//nikR//yjiX//gpr//ydjH//grxD//folE//truC//allR//kdgR//xisE//gfcE//
GO_0015834_7	accD//rlmL//ygaV//rpnB//xisE//
GO_0015835_6	waaY//gadB//hisG//dcp//
GO_0015836_7	sstT//folM//yibF//
GO_0015838_8	yicJ//ldtE//amtB//sdhA//rpmA//mmuM//mcrB//gsiA//sfmH//umuD//glnS//yfbS//nudC//
GO_0015839_7	fnr//
GO_0015846_6	leuD//yahN//potC//rfaE//yciE//ilvH//metK//priA//ygfZ//ynfF//tldD//dmsB//folP//sgbE//csgE//csrA//araE//
GO_0015847_7	nudF//minC//ruvB//fimA//mdtJ//ygaV//elfG//eamA//nemA//sgbH//nanS//mlaF//atpF//xisR//hcaF//
GO_0015848_7	rpoD//lpcA//agaI//dsdA//ccmA//nth//
GO_0015849_6	pstS//xapR//metK//pgl//ycbV//glyS//seqA//mntH//mhpC//hycA//ycjY//adeP//rsmC//ravA//lolA//leuE//yjbF//yghO//pth//yieE//yiaO//flgC//rpsA//glcA//topAI//ridA//mtgA//cbpM//wzzB//ycdX//rimJ//ydfH//bdcA//flgF//frc//rpsI//zapD//yedX//mdtF//marR//tolB//fepE//dppF//ubiC//rpsB//rsmC//gph//mukB//fsr//frc//tyrB//ibsD//yoeB//glnA//arnB//lamB//ynhG//lplT//yihU//ybaO//rarD//yigL//tldD//rlmG//cycA//cheW//dinJ//rapA//dut//yoeB//waaA//rpsQ//rplE//insI3//mnaT//btuB//miaB//manZ//rsmE//yghB//rlmM//menA//mdtO//tusB//norV//pntB//srmB//hybC//glnS//fabB//fhuB//yigL//wcaJ//cadC//cof//cheB//lptA//fis//pdhR//patZ//holA//tyrB//phnM//yfaL//pepT//patZ//eutK//fabH//btuF//hisG//dicB//kgtP//ydiQ//nadC//fucO//
GO_0015850_6	yrfG//hicB//ttdA//casA//yidZ//adiC//metF//rpiR//yoeE//yddL//yhiM//acpT//gfcE//gatY//katG//gspJ//rpmH//yafQ//flgB//leuD//actP//rseP//tnaB//
GO_0015851_6	ulaE//yhhZ//oxc//rmf//ydcM//rimJ//uup//ybiW//ispU//sanA//epmA//hypB//
GO_0015853_8	flgJ//hybE//
GO_0015854_8	ybbY//cysU//
GO_0015855_7	rhaT//tar//ybdR//
GO_0015856_8	rnt//
GO_0015857_6	sfsB//yiiD//
GO_0015858_7	gltL//yaaJ//tyrB//yphC//yeaE//ybcF//ompT//argP//ynfK//
GO_0015860_7	phnN//wza//
GO_0015861_9	narU//rlmB//
GO_0015862_9	shoB//flgF//
GO_0015863_8	accD//
GO_0015864_8	fryC//ffh//
GO_0015871_6	glsA1//cspI//nanA//araD//plsX//
GO_0015878_6	rnpA//
GO_0015879_9	yehB//
GO_0015882_7	rhtA//proW//gntP//
GO_0015886_6	ppsA//ivbL//cbl//dusB//hemB//dapA//ygcO//yfgI//leuD//
GO_0015887_7	ybeQ//
GO_0015888_6	pfkA//
GO_0015889_6	rutB//truC//cpdA//gshA//aroC//exuT//menD//
GO_0015891_6	ispB//narL//folD//iscX//rsmJ//ribE//galT//epmA//ralR//ygeR//ackA//dbpA//nrfB//cpoB//purU//
GO_0015893_5	tabA//ghoS//caiT//chbB//fic//mdtO//ftsP//arfA//rhaD//paaG//fdhD//csgG//ldrA//tolR//fsr//flgD//ybfA//puuB//rapZ//yfdR//rplK//rplE//puuD//yfiR//relE//cdaR//baeS//rrrD//yghG//pgm//add//araF//cydA//yegS//fliK//sgrR//mliC//rpmH//frwD//blc//rsuA//treB//mzrA//deaD//lon//ydiK//insF-1//alr//yedX//sdhE//glpT//uhpC//iap//yjjX//araH//rplQ//ycdX//fdnI//phnI//yihL//patZ//ompL//agaW//mazF//eco//priC//lpxC//tap//arfB//rpsD//ymfA//proS//truA//dcuS//gutM//ycgV//yiaU//yjiX//endA//uacT//hofN//btuC//acrR//yciF//opgE//gnsB//flhD//agaD//yadG//zapD//yhhY//mqsR//dxs//metF//pinR//ynfK//kbaY//
GO_0015906_6	ydeE//csiD//yfbS//rluC//csgB//
GO_0015908_7	fdoG//csgD//
GO_0015909_8	sodA//
GO_0015912_8	asnA//
GO_0015914_7	ybhR//casE//envY//yqeF//hemE//glsB//hda//
GO_0015920_7	glcD//rspB//malZ//tcyJ//yqaE//ldtA//mepA//trkG//msrA//
GO_0015931_6	gsiD//yphD//pdxY//rseB//xapR//paaC//glnB//yiiM//rpsK//potA//rfaB//cspA//
GO_0015936_6	yraI//pckA//aer//yeaK//
GO_0015937_7	fhuB//cas3//melA//cvrA//
GO_0015939_5	yphB//tatD//pnuC//ftsB//insI3//
GO_0015940_6	dsbB//ilvI//cmoA//yfcF//appB//
GO_0015942_6	yfbR//rhsD//hypA//opgE//ygjH//cadC//cdgI//paoC//mlaB//
GO_0015944_4	sucA//ruvC//yjbB//uidA//citG//yehD//mglA//
GO_0015949_5	rapA//rarA//yfiR//xisR//aroG//queC//mppA//ortT//gloA//amtB//leuE//ftsL//gcvR//yraN//pgpB//yojI//rraA//gsiD//frlB//fadB//fadA//ycbX//yfjV//tyrR//
GO_0015950_6	elfC//yobA//menA//
GO_0015951_7	acrZ//rpnD//
GO_0015968_6	cbrC//
GO_0015969_8	clpB//elfC//
GO_0015980_4	cobB//tqsA//yhjD//yagE//cynT//syd//phoQ//mhpD//astB//ddlA//abgA//ynaE//ptsG//argO//proQ//ybiI//fau//rlmC//evgS//yeeL//oppC//mraZ//ybiS//ybeF//tolA//ygiN//zntR//cytR//tynA//ygbM//dcuC//cbeA//yhcD//waaH//ybbY//mngA//gltI//gabP//pdeD//chiP//fklB//rnpA//degS//ybiA//yadM//dnaQ//lplA//xapA//rutB//mdtJ//lptG//avtA//cynS//yagU//ridA//rlmH//mqsR//ydaN//relE//sucC//fucP//ybjC//cydD//grcA//yqjH//dtpD//lhr//argK//rimK//yjeI//uraA//tdcB//yieE//ychF//gatB//obgE//dtpB//setB//yidP//uidC//fryB//ubiD//apaH//hicA//gltB//ycjD//
GO_0015985_9	ycfS//trmA//yidD//yaiW//
GO_0015986_7	ybhA//rdgB//zitB//ybgP//
GO_0015988_9	nikE//dsdC//tomB//yjhB//proP//yfcR//fabB//baeR//
GO_0015990_10	oppB//artM//galT//sgcA//yciG//rhmD//phoR//ybdG//
GO_0016024_7	cspD//
GO_0016032_5	waaG//mltB//hybE//yafS//rimK//pntA//ygeW//yhaM//gloC//psd//pntB//yraK//atoS//abpB//trpR//intZ//yidK//yqiJ//
GO_0016036_6	ycaO//yehC//bepA//fliG//cdh//yagE//
GO_0016042_5	allC//amiA//yfdK//tynA//pheS//crcB//hsrA//ygfZ//mrcA//pdhR//yjjV//ycjP//csiD//ymgA//pabC//srmB//yiaL//def//ftsL//fabI//pyrC//ygjR//thrL//yehB//
GO_0016043_3	glpA//yhhZ//frvB//galU//bfr//yhbS//sanA//sutR//ycjD//yahD//sppA//pliG//aceA//tonB//ydgA//gadX//mdtM//cobU//yebC//wzyE//yfdR//mcrA//smpB//yfhH//ribD//glmM//fliS//lsrC//bamA//gloC//psuG//ppiA//umuD//insI3//yehW//glpX//bioP//opgD//ggt//mutS//aaeB//cysE//yhfS//mngA//ytfE//pinR//rplW//ariR//hofO//mlaF//hemE//yjhG//chiP//lgoR//ilvI//agaI//rlmF//iscS//rseC//clcB//sapB//fabH//hyfR//ybjG//hcaB//kch//nagE//iaaA//pdxA//rapZ//ycgV//amtB//agp//mutL//mdtM//holB//phoQ//ycjW//relA//wzzB//rutB//sulA//mdtI//ychH//iscR//rpiA//yfcQ//bisC//yggN//fdhD//tehB//argD//rhaB//fkpB//tdcG//intS//mazG//folX//scpC//ycgB//cycA//yjfF//citC//chbC//potH//mlc//cytR//borD//slyA//gcl//radD//srlE//hupA//yfdC//rlmD//yeeY//uxaC//nupC//yjiM//ybhF//srmB//flgK//nuoN//treC//yjfP//nimR//fryC//yahD//rhtA//yahK//insH-5//katG//lepA//dapF//ynbB//cbl//kdsA//rplD//mrdA//nei//endA//frwD//topAI//fadH//fruB//fucI//feoA//yejB//aroA//yggW//ybhI//ahr//xylB//ung//ddpX//glpD//hcaE//topA//rpmA//nudB//azoR//bglJ//mtlA//ldhA//lpxD//ilvE//deoR//ushA//hcp//epmB//intS//amiD//wecA//acrD//chpS//yadG//waaU//mcrA//lolB//bglJ//dnaN//nrdG//yiaN//cmoM//yacG//potD//trmA//msrB//ccmA//nuoB//bcsA//ftsI//hscB//mioC//yqiI//hflK//htpX//murI//gpt//iraP//nrdG//appA//bepA//mglA//gadE//insI-1//asd//alr//yidE//xapR//
GO_0016051_5	ybhD//fbp//purU//rnb//dadA//otsA//argK//cydA//pagP//flgA//yejA//adk//mcrB//bioD2//glsA//cdd//solA//hslR//eamA//yphD//glcA//yojI//ygiW//nupX//yhjG//intE//lpp//thrL//trpE//truD//yjjX//coaE//dgcT//yidQ//ynhG//xerD//dgcM//yagJ//uxaB//gltD//patD//feaB//rlmD//ghxP//ompG//marR//yhjB//manZ//emrD//ydcO//artQ//hisQ//dicC//cdd//srlD//ybdG//caiT//trpR//yqeA//ilvL//grpE//dgoA//moaB//trkH//rhmD//bamD//yggP//secM//pgl//csgE//afuC//mzrA//ydfK//yjiY//purD//nikD//ilvA//yihQ//rpmH//tonB//artP//rfaG//gyrA//ispA//serS//feaB//tilS//rnt//moaD//fadI//hlyE//dsbB//hcaE//cusF//carA//lpxT//xerC//rhmD//infB//ubiH//dcuA//insI-1//srmB//
GO_0016052_5	ppc//idnK//gpr//uidA//mntH//yjhB//lnt//mcrB//yjiM//yqaE//sgrT//yafQ//qseC//argR//yadM//moaA//rimI//frsA//priB//tcdA//yafN//rtcR//fklB//nupX//bluR//nrfE//curA//cobT//livM//raiA//norR//ygbL//fhuF//xthA//pagP//eutB//dgoT//deoD//yjiM//hscC//uhpT//dhaL//yjbF//hupA//sdhB//hprS//hdfR//rimO//nuoE//lacI//ftsN//rlmF//patZ//mntR//elfC//yeiG//mdtC//moaB//xapB//fau//yafQ//frwB//deoR//yaaA//kup//yjhI//nagA//lpxP//zapA//entB//ivy//cobC//yfaL//iscA//sodB//crr//tdcR//yaaJ//ybdG//amyA//iraP//atpA//nrfF//thiP//ibsD//satP//aceB//tbpA//vsr//basS//maa//yfdC//yafO//atpG//ratA//bolA//pstS//yehZ//arcC//srmB//metQ//hslO//frc//ydhJ//yaaJ//ccmG//arnF//fruK//mdtD//fdoI//mntH//yijO//clcA//uspB//bioD//
GO_0016053_5	rihC//yidQ//arcA//ibpB//ycfJ//tnaB//phnC//dmsB//mdlB//ybcF//macA//potI//yafC//kdgK//yfcG//sulA//sbmA//osmE//rarD//mepM//ytfR//ybeY//matP//vsr//rplS//cas3//treF//cutC//kgtP//narH//csgB//murF//rpsP//rhmR//cysK//livF//proV//sapB//yehT//tktB//alpA//hxpB//dinB//rdgB//asnS//fimZ//tatA//pppA//sucA//mrdB//gcvP//hycH//basS//dppF//alaA//aspC//mntH//elaA//hscA//rpsH//ybgI//gspE//cysC//yqjH//xisR//yihT//gcvA//ilvA//umuC//sppA//thiH//lgt//ybcL//mutM//yqgF//cstA//guaA//kch//glrR//cusS//avtA//tdcG//tcyJ//entS//ynfE//yheT//gadC//deoC//paaD//ulaA//galF//rsmI//cysP//yihP//recE//corA//hcaD//pepA//rluD//frsA//puuD//paaK//fimI//katE//mltC//proX//citT//rluA//cmtB//tdcC//dxs//aaeB//dtpC//nrdR//mhpR//tdcD//dgcE//casA//dgt//ldrD//trpL//dnaJ//hofQ//yedX//lon//mnmG//ilvB//rsuA//gpt//entC//sapA//pheA//rcsA//kdpF//plaP//yieF//sufS//rimK//ascF//lplT//rhsD//pdeH//ygaH//idnD//tgt//leuO//dppD//pphA//ybhI//rihB//rbsB//pbpG//nikA//ycgR//fadH//paaZ//fetA//yajO//torY//yhbO//ybhF//nanT//nuoN//argS//thiG//rhaR//dnaT//nirC//lpxP//sgrR//ygcO//cirA//glsA//speE//trxC//yhdW//folM//sfmA//pncB//pabC//folX//aroA//nrfD//metL//hprS//msbA//tyrA//hinT//pepQ//
GO_0016054_5	xylF//tamA//yjcO//yahN//rfaF//endA//yagG//frlC//prc//miaB//fimF//pgpC//cpdA//idnO//ispA//paaB//elaA//nrdD//xdhB//yqiJ//paaE//kdsC//panF//bglX//lsrG//hofP//modA//phoA//intS//xerC//hisD//ybhG//bamB//xerC//pfkA//ybdH//rbsC//nadB//trmB//yciG//afuB//hslU//rpmE//zupT//rbn//pdeK//cbtA//tdk//yqjH//cedA//iscU//ftsY//sfmH//yacG//rnhA//dgcJ//gpp//recE//yagF//zapC//glnH//bcp//ygaV//mraY//dctR//tolB//ftsH//fecA//nrdE//cbrC//purA//msrC//cadA//yjjI//uxaC//iscA//yidR//phr//idi//rihB//ybcQ//pntA//chbF//adiA//argS//ascF//dhaR//ispF//fruB//entE//mraZ//cpxA//gapC//purT//ubiC//pstC//ssuA//tdcF//ldtD//lsrG//bglJ//rseP//yihS//bamB//mcbR//mgtL//ompT//rho//psuG//secY//ydbD//aceA//gsiC//frvB//queG//ortT//dhaM//dgcJ//era//uhpA//phnP//yraH//potH//napC//nuoN//galE//evgA//nanK//ccmF//rplP//yjbB//udp//truB//ygeW//ycjD//yaiP//tdcB//fucI//ralR//purT//fadA//ldtA//rimP//rpsO//yphD//atpG//kdsC//feoA//tolQ//ihfB//cusC//hemL//recQ//napC//acrR//
