#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	moaA//glgC//uhpC//rmuC//
GO_0006811_5	hcaT//ugpE//fetB//phnN//yfcR//pdeF//gshB//tus//gpr//atpF//apt//gluQ//pitA//lacY//lacZ//zapC//yneE//oxyR//orn//torR//pepD//elaB//gudD//ampG//gyrB//spoT//cho//ftsH//sgbE//fucP//allB//hyaB//yidZ//dsbA//aceB//feaB//betB//priA//ydcO//garR//paaK//hofP//yeeO//ghxP//rhaM//fklB//frwD//ydjE//recN//ybaM//dgcJ//ispF//hypA//prlC//chbR//cspI//cspC//acrE//betB//fabI//glmM//phoU//mcrA//symE//ltaE//iraP//ypdA//ybjG//ahr//gshA//nirD//aroC//mprA//cobS//paaX//rusA//yraH//modA//dld//oppB//sdaA//ycjW//ftnA//tktB//ydfD//cstA//dgoR//dauA//serC//kilR//yafO//rbbA//rof//yejB//ilvD//iraD//ytfR//feoB//ybiW//yiiD//uspF//mdtM//sdaC//tap//rbsB//hybG//sdhE//dsdX//rcdA//lysS//map//thrA//yihP//icd//envY//ydeE//ogrK//trpS//aroG//rlpA//ycfH//surA//fadR//yqeA//ftp//rraA//yiaL//arnE//hofN//acpP//yaiV//pstB//ybcC//yphF//ynjD//rcsA//parE//pmbA//rbsD//paaF//entH//lnt//adiA//fadK//tktB//dcyD//moaC//cmoB//rplA//ghxQ//prpR//puuD//ychF//rbfA//hyfA//caiE//rlmM//ycdX//cheA//paoC//fre//gsiD//ansA//yraK//rsmH//rhlB//yehB//yhcH//acnA//yciF//dapB//rcnB//surE//srmB//rsmD//glcA//srlE//lpxD//insI-1//yodD//mliC//ravA//gpmA//bioC//waaA//rsmH//tsaD//pinQ//tolA//dinD//hemF//murR//surE//rpmA//yeeY//nimT//yobF//yejF//agaI//setB//pcm//nimR//pspF//yfdC//ygeR//mrp//rfaB//malG//phoB//tauC//ybdG//pepA//mtgA//glnB//yjbB//fucO//yggE//yhdX//tktB//ihfA//cdaR//fdoG//tolC//pflC//fdrA//phnP//hcp//gapA//yfdS//fdoI//puuA//potE//dkgB//ppx//ycjP//dgcZ//lipB//pdeL//ptsP//yphB//ycbX//purC//dppC//pgsA//nanS//der//zitB//aldA//yqhD//orn//lptE//tadA//pcnB//rcdA//ihfA//umuC//fucI//sixA//rplF//prfB//aidB//lysU//pspD//phnC//pfkB//azoR//kdsC//macB//wzzE//map//mtlR//hicA//flgM//epmB//dcuC//ilvE//setC//rodZ//tag//nadK//ypdB//bdcR//fdoH//ackA//rsmB//epmC//yfgJ//
GO_0006812_6	paaK//gsiC//mlaF//thiD//dps//yqeG//dcuB//waaZ//mog//fecD//yjhG//fkpB//rlmE//yhbS//recD//hprS//ttdA//ilvB//kefC//cysE//hldE//dedD//melR//rffT//sdhC//pgpA//casA//hha//ssuE//rimJ//rcsB//flgA//secB//patZ//araD//znuC//frvR//rfbX//fes//pepA//eutN//hyfF//katE//ftsK//norW//bioB//ygcW//tyrS//accA//paaB//yfcR//ykfM//mraY//acs//yidH//tonB//ygdG//xisE//phoU//nadB//mltD//yhbO//opgH//rhaR//phnI//surA//miaB//truC//pspC//manZ//ygiN//dtd//ybhI//glnP//gstB//bglX//pyrD//nrdD//pyrL//thiG//mutS//gatD//murB//moaA//gadW//rffC//deoD//crfC//ptrA//ynaE//trmB//uhpT//ibsA//ychO//dmlA//yiaB//paaJ//hsdM//garD//rutB//ppk//yfdC//pspG//poxB//ssuB//xseB//iraD//rraB//cobB//ybbW//rluC//etk//fadK//hflC//tktA//ecpR//aspC//rzoD//mreC//prpD//phoB//kdpE//priB//yggX//mutL//artP//alkA//fimI//mdtQ//preA//proX//speF//arnD//fepE//ugpA//uidC//chbB//tyrR//nadE//potF//dnaB//yigL//fepE//afuB//fur//yedX//qseB//ygeR//dctA//aceB//chbR//sapC//xylB//pyrD//cutC//surE//fieF//yojI//cutA//yfiE//sbmC//fabH//trmJ//lolD//gcvA//rtcR//proP//yidC//potB//phnH//yehA//
GO_0006813_8	uvrA//basS//rclC//rpiA//crp//tdcG//torA//ecpR//xylA//yciG//yobF//clpB//ydiQ//moeB//cytR//tdcC//yfdG//
GO_0006814_8	srlA//ybcC//hcaF//recE//yraK//dut//ribB//recE//ybeQ//
GO_0006816_9	sdhE//
GO_0006817_8	ydcZ//hybB//nei//cynS//ydbD//ydaC//mltA//pyrF//ivbL//
GO_0006820_6	dps//bhsA//lysR//arnE//fimA//soxS//hofQ//lysP//melR//mcbR//surA//intE//dsbD//osmC//nrdI//qorA//dnaA//yifB//pdhR//hybD//yohC//rfaG//putA//ftp//narJ//yqaB//mdtM//dsbC//hokE//mdlA//ybiS//dhaM//lptD//thrL//treR//lplA//mepH//eutB//fdnI//iscS//queG//zipA//ybiW//dmlA//pheM//dam//rcsD//dicC//psd//entC//ygcR//mzrA//lolA//astB//yiiE//recN//ydcT//gstA//mraZ//mngR//rluA//fliD//yhjR//tar//fryA//yfiF//argC//ubiG//sgcX//ygfI//sfmA//rssA//xylA//ydcZ//atoS//ade//yadG//ypdC//envR//ybfA//rpoE//rseC//pckA//wzb//ftsQ//nlpE//lpoA//mutM//caiF//ybiO//recX//syd//glpB//argB//yfaU//ptsG//glnL//abpB//rfbX//sseA//bglH//cho//coaA//moaD//hdeB//ompR//fumC//argA//glpX//exuR//tdcF//mtlA//gntU//yfiF//yiaF//frvR//glcB//lolB//talB//aroE//xylA//thrA//yaaA//yiaF//rnd//mnmA//chaC//gltP//dnaC//rffH//fepB//birA//udp//rpmE//fadM//xylH//mhpT//puuA//csgA//opgD//ygaZ//hemC//opgB//rpiA//secF//yidQ//trmD//dicB//glsA//hycH//pntB//ycjQ//nanS//yeiL//phnJ//ybdN//phnJ//ybhJ//lldR//amyA//allR//panZ//eutR//kefC//qseB//yjiY//glgS//msrP//mhpT//rfaD//proV//nikA//ynhF//gspI//yqaB//flgG//tamB//
GO_0006821_8	sapF//acpT//ndh//
GO_0006824_8	truA//kbaY//yagJ//tsr//
GO_0006825_9	yfaL//ribB//ydcS//umpG//hslO//lnt//mnmA//
GO_0006826_9	rbfA//cheB//glgS//hofP//cvrA//ridA//malX//tamA//narJ//fadL//kdsA//yehB//yebC//fetB//mipA//lgoD//casA//
GO_0006828_9	ndh//norV//hisS//
GO_0006829_9	proW//recD//ssuA//wcaC//gcl//dnaC//xisR//yjjW//hybC//
GO_0006833_6	hisI//
GO_0006835_8	livH//yqiI//gmhB//pykF//gudP//nrfB//hybF//lpoA//ddpX//idi//yebZ//yafQ//ubiE//lplT//
GO_0006836_5	gloC//csiD//hcp//yajL//metK//yhgF//yfdR//dhaM//arnE//hypT//
GO_0006846_7	sfmC//dgcM//
GO_0006847_8	ygeR//
GO_0006855_6	ydaV//ymdB//dinD//atpA//nfo//tsaB//ahpC//ebgA//cobC//glk//treF//hsdR//yidK//glxR//flgI//fecB//nanT//dsdC//elfC//recG//dtd//mdtC//exuR//nupX//pdeK//yadG//exuR//rzoR//fadE//fhuD//sodC//rsgA//ypdC//dacB//ycjW//asnA//yagF//marR//folD//cusS//paaC//ynfE//cadC//idnO//murB//sixA//matP//nfo//sugE//ackA//rlmB//proP//artM//prmC//ygfI//nhaR//yjhP//zntA//
GO_0006857_7	rluE//aroE//suhB//fdoI//cstA//hemC//yegD//uvrB//raiA//pitB//ilvB//lgoT//csiD//cas2//casA//glrK//yjfF//argA//rpsO//garD//glpG//dsdC//yaaA//yhbQ//udk//topB//rng//
GO_0006862_7	tynA//
GO_0006863_7	ygcW//mtn//prkB//pdxA//umuC//prlC//pepN//mdtP//
GO_0006865_6	treC//glrK//mhpA//fic//lysA//cmoM//eco//trpL//stpA//ydfG//alaE//rsmJ//yibF//rihA//rpmE//yidP//xseA//yphD//yfiE//ycfL//hybE//livM//yfcQ//ycjP//kbaY//acrE//nlpI//ispG//clcB//yhaJ//lpxL//serB//yddM//fhuB//pldB//ydeO//ydfG//yidH//ybdR//rcnR//mnaT//kup//sgcB//pepA//sanA//xylR//cysK//phoB//argD//ycaN//dppC//ybgQ//caiT//agaB//lsrB//yaiW//aqpZ//cdgI//allB//uspF//kdpC//metE//melA//cmtA//prs//yjiY//gmk//tdcD//pnp//yqeF//nrfE//radD//dnaN//
GO_0006868_7	yefM//patA//yagF//
GO_0006869_6	ygeR//bioD2//iap//glmU//stpA//elaA//yedP//tcyL//glpB//nlpI//nrdI//melB//ccmH//yiaA//rlmC//gppA//yjhP//yhbX//lldR//ybiY//ribC//wza//pspG//
GO_0006873_5	aroG//rplX//mmuP//casE//baeS//ulaE//rplW//dinB//argR//eutN//pdhR//cysB//mglA//rfaE//hemL//ypdA//tonB//plaP//stpA//glnS//ymdB//rpsD//ais//paaF//prfA//fabG//tdcC//thiC//mdfA//ydeM//
GO_0006874_8	gntP//
GO_0006875_7	nemA//metR//rimJ//gapA//eamA//araH//eco//kdsC//gmd//fur//plsX//bsmA//pheA//yfgJ//tauB//yehX//tusC//cedA//rfbC//btuF//abpB//
GO_0006876_8	bioA//
GO_0006878_9	rpiA//cmoM//caiF//hofP//fecB//
GO_0006879_9	ulaR//carA//hybD//pth//degS//uof//orn//wzyE//cdd//yneE//aldB//
GO_0006880_4	sgbU//dkgB//ugpC//
GO_0006882_8	lysC//
GO_0006883_8	ahpC//gpsA//hcp//
GO_0006884_4	yajQ//yfhH//sfmF//dnaA//cadA//
GO_0006885_9	tolQ//artP//trpL//ydeP//rluF//gyrB//recF//mltB//lpd//sulA//cirA//
GO_0006886_5	entS//hyfA//gmhB//putA//treC//lacY//ydiK//yajL//dnaA//amiB//yagF//
GO_0006928_3	phnN//borD//yagE//nagC//yihU//yebQ//tmcA//proS//rimJ//menI//mscL//argR//essD//hslJ//tolA//wzb//yidP//btuC//chbG//pdeH//tomB//clpX//flgH//nrdB//tcyP//cysW//galU//uacT//dpiB//yjgX//add//livF//acrA//avtA//cmoB//yadV//sgcB//crp//aroA//arnT//cbtA//hscB//miaA//pflC//
GO_0006935_4	yoeE//argG//fimC//hyfR//rhlB//yhjV//garL//cptB//kgtP//cmoB//greA//fbp//tcyJ//murJ//uidR//prkB//
GO_0006950_3	rutG//ribF//yihO//fimC//nrdE//sspA//hyi//lsrC//pgpA//dusB//ydjH//rpnC//ribB//nrfA//opgE//nfuA//citX//fimB//ftsA//waaJ//nudG//yacG//serB//sanA//tolC//mgtA//puuE//rof//yiiD//yeeY//dapA//btuC//yoeE//ugd//frmR//treB//iscR//ymgF//bioP//yafO//gshB//cpxP//rhoL//ldtC//queD//ubiI//proW//wecA//intQ//rusA//lit//hsrA//paaF//eutK//sodB//hcaD//tpiA//nanT//hofM//flhC//gltD//livF//rclR//insI-1//mdtC//hisI//gpmA//ycgR//cydC//glsA1//shoB//narP//ydfG//moeB//ycjU//nrdA//dapA//murD//prmC//rluD//gabP//sgbH//sfmF//ispG//yiaA//slmA//idnD//cydA//sstT//ptrA//cusC//torD//ytfT//ompW//ygfI//nhaR//pyrD//ompL//rlmE//smrA//pgsA//insA-1//ppk//asnC//yhaC//ycfS//glcF//gpp//cyaA//fhlA//yagI//yeaK//potA//yccS//hflX//lpxD//yhjB//dgt//hyfA//ybiO//glpB//yfcR//purU//sthA//groL//treF//pgaB//yhhZ//potE//bioD1//rpsD//frlB//ydiR//ydjL//feaB//citX//cvrA//aceF//gltK//znuC//malI//ynbC//yqiI//aroA//mdtG//dsbC//acpS//dgkA//yjeH//rclC//lldD//tauC//pdxY//rho//lldP//ubiX//rnd//yrdA//yfgO//mprA//flgH//ydiZ//ompG//yadC//murP//thiC//gadE//cmtA//hinT//hisS//pspF//murB//norR//phnI//tauD//hslJ//ypdA//aroG//ompC//cptB//fadE//yahK//fdoH//ttdA//hemE//malG//cmoM//hisA//ygeV//rpsB//napA//hcaR//yfiR//aer//acrD//satP//ugpC//yqcC//lnt//thiD//ftsP//gcvH//ralR//dgcN//nth//tisB//ccmH//lolA//yiaB//yhbS//rcsD//srmB//sseA//tdcC//trkA//xerC//ydaV//yadC//agaD//hicA//ykgF//rutF//alsC//hmp//cbrC//hflX//ynhG//yidL//polA//rof//yjjB//idnO//flgM//lysO//glnK//hisA//secM//sgcX//cheZ//ydeT//fieF//atpH//mdtQ//crl//flgJ//tatA//gcvR//yedX//sanA//waaY//deoB//uvrB//xapB//yegS//yhcN//ppiC//phnL//ilvL//dadA//rplF//def//ynfK//frwB//ybdN//mrcA//yjjW//intZ//tyrR//gltB//yhjV//phoE//emrD//gph//minD//artQ//manX//treA//pstB//ubiF//ahpC//eamA//yfjV//eptB//ydcP//yiaF//clpS//rhlB//prpD//orn//rutD//hsrA//yieK//thiQ//hpf//mppA//lldD//speG//patD//rhsD//asmA//prpD//gpp//gutM//tnaA//ynhF//pgaA//yeeL//rarD//narQ//evgS//hcaB//lpxD//nupC//ung//hofQ//zraR//ybiS//zupT//csgD//ydiB//gpmM//proQ//yedF//glpA//yehT//putA//modB//glnQ//ibpA//recN//purC//sucA//rutD//cspB//murJ//ycdX//adk//nusG//ompT//focA//dnaQ//nrdG//cysN//insI4//yajD//gltB//murI//yabI//pepA//yhhZ//serB//nrfE//panE//metK//prpD//murF//yghG//ybiH//mreB//ygiB//ybcJ//yfiR//mdtB//pdeR//ilvH//yhbQ//rdgB//yraN//shoB//accC//insI-1//scpC//rimI//agaS//ibsE//srlD//nuoB//yibF//pspA//sbcD//pflB//pgpC//kdsD//ybhF//ybeQ//ibsA//caiT//argK//yadN//mrp//ychH//ybaM//pepQ//acs//rne//lepA//solA//pyrG//lgt//chaA//ycgV//rluE//waaU//ydeE//adeD//dsdC//secF//ttdA//tatD//hinT//cpdA//yfcQ//ygbM//ridA//rcnA//modA//nfuA//mhpD//uvrA//ypdF//rffG//ompC//araF//bamA//ybdN//ccmH//recC//araE//ybfA//yjjQ//rutA//ybjL//hypB//ygeR//cysH//rnd//fliD//katG//ypdF//bdcA//rbsC//fadI//rlmE//yjjQ//upp//dgoK//secM//alaA//bepA//yadN//pspD//cdaR//murQ//ycjQ//yoaB//alsB//spoT//folM//atpA//hcaB//sfmD//citE//ydhK//yhjB//proC//trpR//yacG//yhdH//casE//hybA//rpmA//rayT//fimC//waaJ//cobC//murA//yhdZ//rzpD//frdC//mutL//paaJ//rseB//
GO_0006952_4	lsrR//higA//feoC//rpsE//rsmH//ybaT//sxy//narI//ruvB//appA//rimI//cynS//
GO_0006970_4	oppB//acrF//hupB//dfp//serC//rsmD//trpGD//gloA//tynA//lpxH//holC//selB//fucA//sppA//pheP//elyC//potB//fdnH//yegT//yefM//yedX//ygiN//ispH//nudF//lldD//hemG//rsgA//rbn//rzoR//yeaK//tabA//modC//glpA//decR//arnF//fabI//aaeA//araF//
GO_0006972_5	pflB//lysO//fucP//sfmH//ydcS//garK//menA//comR//insA-2//metB//yddG//ltaE//hypB//ymfA//
GO_0006974_5	rpsT//wecE//prs//holB//nagE//tqsA//dhaL//prfA//agp//zntA//lolC//yebS//rcsF//flgJ//dinD//uspE//yijE//msrC//tdcA//cueO//rtcR//ybcJ//speG//atpG//rplL//ygiN//kdsD//fadA//mutS//ybhI//rsmC//yedA//artJ//insB-4//yaiV//yjiR//ybiX//elaB//fliG//xylR//pdeK//asnB//argA//ynaI//rluB//tdcD//fliM//pphA//ygiN//tcyP//aroA//ymdB//nfi//gloA//ddlB//ynfH//waaQ//aldB//hycA//ychH//sapF//waaU//dgcE//rlmG//hxpA//yidL//nikR//moeA//tnaA//ghxQ//aspS//ffh//panC//nei//ymfK//mepM//thiH//osmY//gltD//galT//cydD//glnS//yciV//lpp//modB//pdhR//mltG//sgbH//glpX//nrdG//cmtA//cspA//bcsQ//rplX//amiD//truC//cysW//rlmD//rimI//sdaC//tatC//rpsP//rssB//yggN//gudP//rsmC//potB//mdtG//rplQ//gltI//yajQ//prpR//wbbK//pdxJ//ygeX//soxR//yjhH//ynfK//wcaB//aslB//etk//sgcX//nikC//uspC//atpA//hofQ//gnd//pinE//ybdH//cpxP//ghoS//gluQ//cheW//sspA//recN//rnhB//yggD//greA//prmC//nupC//malF//trmB//hisB//trpB//glpD//ygcR//rplF//priC//gltX//rlmE//rhlB//pgsA//uup//malP//recD//ortT//ttdB//slyA//lgoD//csrD//yrdA//ydiK//ada//cusA//yeaE//ynjD//intS//speF//macA//prmA//ccmC//nhaR//yebK//mltF//mepA//xanQ//yfcR//rplX//frmB//gloB//asmA//feoC//yqiG//dicA//yejE//ghxQ//ydcR//argE//kduD//tyrR//hdeB//rhaS//cysI//ynjA//proS//ydeI//cfa//uxaA//fadM//ubiG//melB//flgM//frdB//ychO//yjbH//cdh//sapC//yhdH//fur//sucC//ygcR//adiA//puuB//icd//fdrA//rluC//yhfK//yphD//elaD//cysC//msrC//ugpB//glvC//ggt//pinR//torA//znuB//flgK//yciF//ynbD//proC//yfdG//pfkA//rppH//etk//alaE//dnaX//ftnB//yjiR//moaA//ydcR//cysM//yhcF//ynfE//mlaC//yjiR//
GO_0006979_4	ygiS//ftsL//rapZ//insH-5//dgt//hcaC//phnP//birA//wzb//lptG//yhjB//aspA//aspC//rpoE//ydjL//menC//nhaR//yahF//uhpT//kdgK//kdgT//ttdB//srlE//emrD//prpD//dadA//murI//fliG//leuO//ydeE//fumB//pnuC//mntS//sdhC//fabI//dxs//crl//udp//selB//lpxK//acrR//ybgP//narI//pflB//fruK//ispU//ilvH//melR//ypdF//gyrB//pncB//recA//ynfL//csrD//ybfE//glpF//galT//rlmE//mdtJ//hofN//lsrB//rpsI//ybiX//wecA//hcaE//rfaH//flhA//cvpA//yqhD//fimG//rnt//rluD//phoU//cspE//yihP//lsrK//ycjD//ybdZ//fecA//hycI//cho//hcp//dauA//rhtB//dcp//rutG//
GO_0006986_5	ssuD//nagD//fkpB//ybiT//ybiI//dhaK//
GO_0006995_6	sapB//phnC//
GO_0006996_4	speG//livG//appC//rhaT//ybjG//dinB//fhuC//hemA//hokB//leuB//ymdB//yiaN//alsE//preA//der//phnK//rzpD//recT//glmS//yidA//pabC//iscX//gadC//chpB//hcaC//actP//thiG//fdoH//yhaJ//hypA//fadD//hypE//cydB//rlpA//pagP//mngR//glcD//feaB//fieF//
GO_0007010_5	ybjL//
GO_0007059_3	tag//narH//cytR//manY//gntP//tadA//srlD//entE//rbsD//yhjC//
GO_0007062_4	intE//atoC//yagU//insE-1//
GO_0007154_3	manX//rpnD//dld//dgkA//yfgJ//ansA//rhmR//pheT//frlB//viaA//dgcN//metH//rlmF//gpmA//cheA//rhaD//gsiB//yafN//mdh//cas3//mdtB//lolC//sulA//fabB//spy//ybfE//lolC//ldtC//recO//caiF//glcF//nimR//dhaL//serS//yjgX//alpA//hyfA//tsf//glcC//ymfK//yehD//spy//envZ//yceO//abgB//narV//mdtL//artQ//yebG//birA//ypdA//rhaM//xerC//gntP//dsbD//
GO_0007155_3	stpA//ihfB//treB//dinG//galF//recX//ybiS//zitB//spy//lgoT//atoB//yfiF//hypT//bamD//adeP//acpT//puuP//hipB//mdtP//lexA//bglJ//ybiO//proV//ygbL//tehA//cysI//acrD//topAI//yraR//umuC//uraA//uxuR//arsB//yghW//mepS//
GO_0007163_3	ompG//
GO_0007165_3	lolE//hypB//yfcV//smrA//yjgX//fadM//acrD//rbsK//yfbS//miaB//fdhE//xseA//pspC//waaF//tag//yciV//mdoD//yidL//paaC//minE//mltF//yidZ//narH//fepC//mrcB//setA//kefG//mdh//waaQ//glnS//flgE//phnN//nusA//pspA//nikD//yoaB//eptB//ptsG//cheY//fixC//yjjG//araF//ydiF//yahF//dedD//prlC//lptD//artQ//yfeO//yfgI//insI3//eptB//tbpA//ymgC//hdhA//purA//wcaJ//yedL//yahI//opgD//
GO_0007166_4	dcyD//dbpA//ralR//yagI//
GO_0007215_5	yrfG//hscC//alaS//rplO//
GO_0007231_4	elfD//
GO_0007234_5	degQ//
GO_0007267_3	znuB//phnL//
GO_0007346_6	paaJ//menF//truC//
GO_0007584_4	yciH//yrbG//nupX//viaA//
GO_0008033_9	glrK//tsaD//gdhA//tilS//bglF//yaiW//epmB//ycjD//dnaN//yihO//yidC//metC//gatC//dppC//lspA//lpxD//gltI//ybjG//vsr//yraH//ykgF//lpoB//rpsT//ribB//nrdI//hypC//infC//tolQ//puuE//yadM//patZ//rpsT//bamC//chbC//ymgA//ychF//frsA//zipA//gluQ//rplY//mhpT//tufB//fhuB//yafS//yjjW//mreD//araC//citT//pabA//secM//thiI//purN//bamD//ybiS//yjjQ//aroE//
GO_0008104_4	hyfC//amiB//yraR//yccA//nikA//pitB//ybhJ//rpsP//puuB//slt//yqcC//serC//pphA//ribF//yfcR//moeB//mazG//rplJ//phnK//tatE//coaD//cmtB//yhaJ//gpt//glgP//fixC//uspB//hpt//csiD//atpG//nlpI//nadE//sdhB//dppD//tdcR//pmbA//envZ//cpxR//mntS//agaD//bssR//mrdB//tar//alaC//yhfS//djlC//rplR//ravA//flgI//
GO_0008156_8	uvrD//patD//glrK//fabD//waaZ//mdtM//
GO_0008202_5	pflC//
GO_0008206_5	artP//
GO_0008213_7	alsC//metQ//yfaE//malK//ychH//cptB//phnL//folC//
GO_0008216_5	ydiF//ghoT//proX//
GO_0008219_3	ltaE//ibaG//narI//sdhB//ispA//rbsK//sdhD//ytfT//dbpA//relA//rhaT//ubiG//ybcJ//yoaB//purU//
GO_0008272_6	tmcA//hcaB//ynhG//ddpX//trmB//acpT//fliD//
GO_0008295_6	lysS//uspF//rbsR//
GO_0008299_5	lspA//narQ//prfA//phnC//fadK//hyi//
GO_0008360_4	gntP//yfbV//potI//rnd//yibT//atoB//thyA//mtnN//tusA//tdcC//ilvB//amiB//acnB//glvB//ihfB//tauC//
GO_0008361_5	rpmJ//yjjI//hcaE//tsaB//nimT//
GO_0008380_8	fau//
GO_0008610_5	crfC//putA//kgtP//lldP//panZ//adk//nrdG//fes//gpt//dnaB//pdeF//ydeM//talB//ybhF//priB//rplC//mazF//idnO//yddM//yehB//yfcV//rbsC//gltP//narX//syd//yiaL//metR//flgG//aroD//yfeO//nudF//frr//ykgM//napF//abpA//menF//ydcZ//cusF//msrB//malI//wcaJ//iscA//miaA//acrB//dusC//cydB//ibsE//rsmC//glnH//pdxB//sucA//ybiW//yqgF//nusA//ogt//yceD//yggX//baeS//ftsZ//sugE//nfsB//hdeB//ycbV//zapA//aroD//edd//pgl//
GO_0008614_5	maa//glyS//tsgA//pyrC//afuB//hsdM//zitB//
GO_0008615_6	araC//ulaC//amiB//phnN//dgcE//sanA//caiB//
GO_0008616_8	serS//trpD//tyrA//idi//ymfK//yijE//hcaT//
GO_0008617_9	minD//
GO_0008643_6	lsrD//nhaA//ubiG//aroK//gntT//mlc//yqaB//araD//malZ//fhuF//ispB//acpS//bdm//mnmE//envZ//dinD//rpoH//yjiR//ilvM//yqeG//yjhB//cspA//rpsM//btuE//yjbE//metE//lrp//clpX//uvrC//prlC//miaA//yfcU//copA//leuC//fryA//mraZ//clsB//rimL//yhaJ//hrsA//yajR//artI//fdoH//speC//eutA//rluB//yieE//pdxY//ispG//yeeJ//pgl//moaD//mreC//hypF//dpiB//clcA//hslU//mpaA//rlmM//pepB//tusE//mcbA//murE//trpL//queE//mtlR//pdeL//tnaB//maeA//ihfB//dppF//citX//hyaA//gltS//bglB//yciK//yiiD//ubiA//araH//hscA//psuG//waaY//cpsB//yfaE//ygeW//ompR//caiF//dmsC//fadD//minD//smpB//ynfE//tus//murQ//feoB//waaZ//yggW//hyaB//ileS//maa//chaC//arnF//iraP//sdhD//ydjK//yfeR//yebQ//mngB//rssA//roxA//insI3//mdtP//casD//nrfB//
GO_0008645_8	yrfG//yjjW//sstT//yhbX//ppiC//aer//rof//atpG//tauB//ecpR//kdpE//puuE//rhlB//lysR//tmk//acrF//spy//xylG//tsf//hcaT//queF//glrK//ppsR//yfbV//
GO_0008652_5	zntA//ppiA//cbl//yfaL//caiD//ytfP//aaeR//glpF//phoP//flhC//arfB//gatZ//mraY//hyfC//ada//gatY//kilR//frlA//slmA//yadC//ubiA//fdoH//phoQ//pntA//amiC//torZ//rutA//cytR//ligA//galP//ytfE//rspB//cysB//fabD//ilvM//phoA//mdtI//ygdG//moaD//ssuD//cobT//topB//pyrF//znuA//truA//yibH//flgM//rhsD//iraD//baeR//rnr//hdeA//dtpA//fes//idnD//mlaD//puuR//yjiY//rnb//nlpA//rnhA//fadM//fadJ//avtA//hyaA//csiD//ugpC//pepT//emrD//rpmB//ybcQ//caiT//rraA//arnE//fliL//ybdZ//hdfR//citC//pyrG//trkG//rpoA//adhP//hokB//accB//rpe//pabB//yjhH//cysH//rrrD//ydaV//trmO//cutC//lysA//lsrK//ydaC//yagU//dgcZ//yjjG//ralR//envY//nrdH//cadB//ssuC//degQ//waaZ//speB//mcrB//yfeX//gltD//entD//yibH//rbsA//fliM//pepQ//
GO_0008653_5	hipB//hxpA//ligB//gph//araE//torD//tnaC//sfsB//yghW//tatB//rpe//rbsB//agaI//
GO_0008654_5	yraJ//ynfF//tcyL//nadD//ibpB//mtlD//yqaB//atoS//acrR//dpiA//exoX//mrr//uxaA//asr//sspB//rplM//cspG//accA//wzb//hyaB//ygcR//yieK//bamA//uraA//csgE//ydfK//fimF//ybcC//eutA//yiaB//lldD//rutD//ynbB//fixC//yfaX//
GO_0008655_5	oppA//sgbH//rrrQ//yrfG//marA//atpA//ybcL//
GO_0009050_6	murA//ycjD//
GO_0009052_6	yahF//yafO//yfdS//ydcI//lipB//yedP//chbA//
