#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	mdtF//fkpA//hyaB//sufC//
GO_0009057_5	tcyL//gltI//rfaE//rbsB//nuoM//ampG//speE//cra//alaE//elaB//tsgA//aroB//rplT//rpmG//ispU//insB-4//yjjX//cysI//radD//focB//sixA//rplW//lon//trmA//coaE//yraK//frmA//rseB//fpr//ddpX//dbpA//uidR//sfsA//allR//ybiH//ydiV//mltC//intZ//ytfQ//frmR//rpsA//yhhY//rmf//rpsO//djlC//pdxH//ulaA//queG//uxuA//dnaG//ycjY//tcyJ//yegD//ung//
GO_0009058_3	puuD//ygdG//eutB//yejB//phnK//caiB//dicC//rffM//sbcB//narI//torA//yggE//mepA//hdeD//puuE//yagE//gyrB//cysN//ibpA//birA//ilvI//fabR//etk//tomB//hofM//hokB//kdsA//metQ//arcC//rhmD//ptsP//insI-2//phoR//tdcE//eamB//ldtB//ydcP//rplF//arnB//hemH//dauA//kdsB//artI//ddlB//tcyL//zitB//ybhR//clpA//cysU//oxyR//tauD//ymgC//radD//asd//gltS//amiC//rplD//yidQ//fabG//mug//glxR//nagD//katE//trmD//oppD//ompC//araC//rffG//yjjW//garK//rclB//erpA//yfhH//yjiX//mrp//mcbA//ispU//yjbH//ybhF//guaD//menD//phoQ//speD//gsiD//yihS//fecD//csdE//rssB//allB//yghO//narI//hisM//atoB//treC//tomB//gcvR//fecD//panE//yhhZ//iraD//cysQ//yciH//yahD//mngB//rlmJ//nuoL//clpB//ydbD//bamA//chbR//gapA//yieL//basS//pepN//cysU//tsgA//ogrK//acrE//crp//pdxJ//cusR//ltaE//yfiF//ybeY//folA//yfbR//yfcS//pck//glpF//rutG//cysZ//cysC//yejA//znuB//gltK//mnmC//yqaA//oppD//yaiV//yobA//nagK//frlC//sbcC//acrR//gcvH//radA//infC//insI3//dmlR//torR//ygaV//fadI//xylG//insI3//grxD//rffH//cusS//cpoB//manY//rstB//lolC//qseB//sufA//ydaC//yhdH//oppF//acnB//fadE//msrC//argO//dgcZ//yjiM//fucP//wrbA//intS//mltG//hycB//cadC//srlE//cbeA//treC//glpT//yfgI//cyaA//moaC//caiT//holD//rlmA//dinB//cadB//cusC//dnaA//mnmA//rimP//fryA//cas3//prc//dctR//yegT//lsrG//secG//elfC//lamB//barA//cbrC//gadE//nrdB//ymfK//btuE//lpxD//nadK//nanK//rdgC//sapC//phoP//eamB//rpmE//ftsQ//leuO//phnK//pykA//malF//ybjG//puuR//ldtB//nlpA//pheM//hslO//dxs//sulA//hdhA//yheT//aslB//tpiA//nusG//yphF//tktB//ynaI//tcyN//holB//avtA//rimO//rpsA//yhaO//dhaM//bssR//fimC//viaA//ibsD//lolE//clpP//smrA//pdeR//hybD//elaB//copA//cueR//dgoT//ybhI//sanA//purC//ymgF//fimF//recQ//ilvC//fhlA//yidC//thiP//ybbN//abgR//ydiO//fecB//yneJ//mdlB//dcuB//cusB//rclC//fabD//mrp//mutS//gpsA//menB//maa//prc//rplM//secE//rpoH//tusD//ynhF//galK//cho//xapR//cyaY//yggD//yqeG//dsbG//edd//ispG//cysC//efeO//ygfX//sfmF//panE//hemB//metH//narX//fadD//melA//yedA//mdtN//cysP//lon//csdA//gntU//yahB//ptsN//ycjQ//lacZ//rclC//lgoR//frr//pepQ//pheS//fliT//hcaT//nhaB//cbl//ung//phoR//gatY//coaD//yhcD//ydjE//dinJ//yqjA//lexA//ampD//yciT//rpsA//tdcA//yfiE//rhtC//cysQ//recX//hmp//cyoE//ygfX//glxR//rrrD//narQ//ybiV//ldrD//endA//rimJ//rzoD//dsbB//yhbO//dsbC//ptsP//cydC//lldD//rpmH//aroG//agaR//pyrC//tgt//chbC//tnaA//modB//cheB//livM//fucI//secY//glgS//bacA//arnE//rph//galP//lldP//sbcD//ytfT//glcB//phoP//ybiT//viaA//ymdB//zapC//kdpE//rssA//purB//proQ//tufA//lpxT//rlmL//alpA//ddpX//cydB//trpA//gspI//ydbK//yciH//ibsC//prfA//fpr//wecE//amtB//rnpA//gnd//hscB//hypT//epd//entS//frlR//opgC//betI//hcaE//grxD//acrD//ygiS//rnlA//hyaB//moeA//nlpE//manZ//ccmA//hypT//cmtB//mdh//lptD//feoB//yhfK//bamB//nfo//mocA//elfG//lsrA//tus//lyxK//ynfH//mdlB//iscX//ynbB//hypA//ynjD//ibpB//rluB//treC//hemL//cysP//dmsB//wbbK//yciE//npr//ttcA//mtfA//accC//dnaK//ddpX//hns//ybjC//kduI//pncB//nagB//fmt//lon//gltL//ruvB//dtpD//trmB//rdgC//ascG//rlmM//wbbK//ldtE//katE//frwD//tdcB//hxpA//tktA//entD//citC//mltB//birA//yghW//lgoD//nuoM//menI//dmsA//gabT//gatB//selA//cspE//ydfK//gspI//lpoA//narQ//ybiS//yejA//panF//ybhS//napF//rnd//rnhA//sucC//ptsP//glpR//ybcC//alkB//elbB//dnaK//proS//tnaC//epmC//wzb//frdA//fadA//ldcC//yajO//rbsR//atpB//yeaK//nlpD//lipB//ortT//rfbD//rluB//tehA//pcnB//fiu//cheR//rcnB//panD//dnaC//adhE//mepA//ydiF//atoS//mtnN//yneL//ubiC//moaE//xerD//yejF//ppx//acpS//hdeD//mdtK//lpxC//metN//metB//ampG//srkA//purF//csdE//rhaT//cbeA//murR//frdC//yggT//serC//yfbS//csgG//zitB//truB//ybdO//greA//rpnC//yadN//yajD//dmsB//cpdA//rcnB//yajR//alsA//tdh//agaA//tig//ribC//adiC//paaC//sdhE//ybjN//hflC//pcm//mscL//frdC//lsrR//araG//ybiS//yddG//fbaA//def//ubiD//rbsB//tolR//rph//kbaZ//citT//gsiA//rsmG//dnaB//yodD//accD//tauB//ilvB//cmoB//cspA//yieE//yaaA//ebgA//dhaR//paaB//cydD//pflA//rpoS//sapB//curA//ydcM//mliC//yqjH//ykgO//znuA//nrdD//amiB//wecA//yddA//yehW//clcA//wbbK//wzc//zinT//speG//dsbB//yraK//gadB//folX//aroL//nadB//yciF//amiB//hemA//rbsC//yfeD//speC//rpsN//yggX//lptG//mntR//cca//frvB//lepA//clsC//topA//opgG//gcvP//rhaB//nuoL//trkH//bioB//hybA//entA//csgD//atpH//frlC//mutS//yhaJ//frdC//pfkB//yehP//garR//znuA//artP//sapB//gshB//ygbM//allS//mobA//flgI//tus//yeaE//dgkA//adhP//ivbL//aceF//dgoK//yqiG//msrQ//queD//yieK//bglF//glcA//ptsN//araH//hycI//rsmE//rpsB//artJ//phnP//cysK//bipA//bioF//feaB//ftsH//dkgB//rcsD//waaB//mdtG//srlD//soxS//yhfS//amiB//cydA//ybaE//yehD//insA-1//dcuB//rbsD//purC//dtpD//nrdH//epmC//yehC//qorA//uspG//hda//pgrR//purB//opgD//nuoH//yijO//argS//insI-2//amyA//dnaQ//ibpB//ggt//yhgH//aspC//blr//btuR//hybC//xapR//cycA//opgD//abgT//murG//pcnB//tgt//ydcO//puuD//rlmJ//baeR//rsmB//crfC//cheW//uhpC//gadA//yjcE//ycjP//fdnI//ftsW//gloB//yidC//rluF//narV//ycdX//btuB//
GO_0009059_5	ybiW//rsuA//panF//prmB//fbaA//garR//moeB//aaeA//nupC//argI//mrcB//hflC//sdhD//aas//tauA//yhbS//selU//yhdH//bdcR//cyaA//rpsH//ybcF//mlaF//adiC//rhaR//atpB//rfaF//yphD//yjaA//rfaB//yhfS//hsdR//nanT//hsdM//tsf//speG//yijO//adiA//ybjX//rfaH//yiaT//gutQ//glcF//rsmH//lsrD//ybaL//cysE//flgJ//rplQ//speB//emrB//lolA//tdcF//slyD//epmB//thrC//potH//yrbG//torS//uspF//ada//gltK//dam//bioP//dpiB//frdC//paaH//pdeR//rutG//yegS//wcaB//exuT//metB//rpsQ//epmB//aer//rutD//trpE//endA//ftnB//nrdI//feoA//fhuC//borD//sfmF//tyrA//ynaE//artP//eptB//lacZ//yehY//amiB//glnH//vsr//apt//rtcR//idnK//cpoB//ddlB//msrB//proW//pyrD//frlB//cysS//nadK//pgaA//gudD//asnC//yddL//mlc//yfcA//tsaE//ccmD//yjiX//prlF//grcA//rplB//tolR//sucD//hybA//mqsR//pgaC//glnS//rffG//yiaU//pyrL//gmhB//yqiJ//yiaN//tolC//zapA//glnD//acrF//sbmA//hcaD//metH//dctA//recO//ymjB//tsaB//dusC//ttdT//rpmA//ydbK//rfbD//fabR//yihX//yaaU//dsdC//sppA//rhaD//yieF//yfbR//ftsW//ybaE//cpoB//yraI//cpsB//xisE//sdhE//menA//dtd//ilvN//glpX//crl//ihfB//pspC//fepG//hcaB//cpdB//fkpB//gcvP//xapR//sdaC//dctR//narU//hisF//essD//gabT//sutR//hscA//gluQ//ybiO//rcsD//hypT//degP//mdtG//sseA//hha//csgG//cvrA//sapB//rsmJ//chbB//gltP//eutN//yjiQ//polA//ybaQ//pbpC//iaaA//sseA//trmA//prkB//trpR//mreD//ddpA//bioC//zur//rbbA//psuG//yobF//iscX//tolA//arnA//rnhA//tqsA//ppx//paaX//zipA//gntK//glpA//secB//yciA//btuE//rna//hdeB//bisC//fadJ//eno//yjiY//fabG//relA//agaD//ypjD//waaO//minD//malZ//lsrC//otsB//hprS//yjhG//lysP//umuC//yedL//mog//rpoE//intS//lrhA//araE//feaB//rpsD//hcaR//cdaR//yhdW//yqcC//wzzE//hybD//hprS//ygjK//rsmD//dicC//arnA//yieL//tyrA//ybbN//rpsL//eutB//yadM//narL//cspA//clpB//nfuA//galP//fhuB//chaC//rpmA//selD//pabC//iraD//cpxA//mdtF//livG//thrB//hdeA//tolC//ralR//gloA//ygbN//fryB//frmR//recJ//recE//hisA//dtpC//ygaH//yjhC//waaP//gyrB//bisC//melR//ygeW//glsA2//ampG//rbsD//frlR//sbcB//tusA//fimF//icd//ygcR//bfr//ddpX//manX//adhE//uof//hcaB//
GO_0009060_6	yggP//yeeL//djlC//aroC//nadC//gfcE//fliT//prfC//yehY//artM//pgaD//yneL//tdcD//torY//xerC//gpmA//gatD//trpA//rhaB//arnE//ytfE//ompN//trkG//cyoE//yodD//mgtA//
GO_0009061_6	dkgB//manX//fetB//yaaU//cmoA//rbsC//pstB//ghxQ//amyA//cstA//hemN//trmA//ybhF//argR//mrdB//ybjN//dppD//rhmR//hcaT//dtpA//ydhK//hscC//ytfR//malP//insI3//treC//ygcW//trmJ//tus//arnA//rsfS//tag//htrE//tcyJ//yehB//aroG//ybeF//cysU//fadB//araB//nrdF//galE//ppiA//narY//yafE//pspA//zupT//hemB//rpsK//cutC//yagG//nirC//hemE//gadA//ebgA//
GO_0009062_6	nrfA//gloB//artI//dnaK//tdcG//narZ//mscL//pncB//yidH//hybD//argB//tktB//feaB//wzzB//ydjE//dapB//deoB//yghU//yjjB//yhjG//glgP//
GO_0009063_5	gluQ//epd//cyaA//malP//ybdR//puuR//ribD//ybhI//ydjJ//fhuD//scpC//yghB//bioC//brnQ//accD//fklB//dusB//eamA//yddG//dppA//aidB//umpH//mtlR//macB//dtpC//srlA//nadK//mdfA//ybiX//aceF//pstB//uacT//mltF//glcC//rapZ//spoT//araB//yfeW//tbpA//pta//pntA//tonB//sfsA//yajO//yeaG//ptsN//speC//glsA2//hdeD//lptF//gpmM//yhbX//wzc//nrdH//yfiF//
GO_0009064_6	pfkA//torS//crp//yifB//dppC//nth//hycI//sfmF//tabA//fdhD//maoP//betB//fucK//yihP//bamC//fhuF//ykgO//thrB//dinQ//fecB//csrA//higA//ydcO//yjaA//dtpB//recJ//pflB//allD//clcA//pfkB//setB//thiD//rstB//rcnR//rpnD//ybhI//torS//cas3//csdE//gudX//yafC//prpR//cadB//ygeR//insA-1//ubiB//
GO_0009065_7	ariR//nemR//tolA//ydfH//ppc//pitB//tnaC//btuB//ynjA//ycaN//hcaE//rbsC//yccX//osmC//dinQ//yiaL//gltD//mcrA//
GO_0009066_6	yadC//dppF//malY//yaiP//eco//aroC//mglC//yhaC//citG//aroC//cptB//ybeQ//greA//hokB//mnmE//yabI//ydeI//zipA//xerC//xisR//pnuC//intQ//ascB//kilR//ribE//cysS//cobT//gntP//yjbG//gstA//ulaR//hemA//sgbU//acnB//yecS//nac//fnr//ybhF//entF//zur//znuB//dmsA//hybO//ynaE//yoaB//hofC//rseC//lacY//
GO_0009067_7	flhA//gadB//rrrQ//ompW//thrB//gpmM//bglA//xylF//ompF//cobU//mnmC//yehA//arnF//aroB//sdhC//hybC//yfaU//ssuA//ybaM//gcvR//csgB//recE//yaaJ//zwf//prmB//prfB//
GO_0009068_7	mngR//greA//waaL//fecD//agp//xerC//betB//wzb//frr//umuC//intF//lysC//rnhA//
GO_0009069_6	lyxK//slmA//yicJ//hupB//pbpC//dgcZ//rapZ//ompW//queC//lipB//ybiT//rplM//narQ//ygfI//soxR//yqeG//ispG//agaV//sseA//ycgR//hcaR//fucK//cpdB//recR//artP//rplI//galT//fdhF//poxB//gutM//bglB//lyxK//tsaC//insH-6//zapA//yqjH//
GO_0009070_7	ydjK//sppA//glcA//hybE//bamC//eutD//mtlA//ubiA//dgcT//dxr//narZ//potB//flhC//ybcQ//hcaE//pyrE//yfaV//rihA//pgaA//kgtP//
GO_0009071_7	sfmH//yehX//grxD//ynfK//emrK//nhaB//moaA//yciE//entS//tsgA//tatD//fimG//cmk//yqhD//
GO_0009072_5	insI1//coaE//yoaA//putP//flgC//accB//uspG//waaZ//panZ//fixA//pdeH//lysS//fcl//srlD//tusB//rnlB//ftsZ//oppA//proA//aspC//barA//truC//yahN//sxy//
GO_0009073_6	ygeV//exuR//luxS//fryB//bglX//insH-6//nikD//phnG//cyaY//arnF//nrdD//mcbR//groS//yegV//glyS//aldB//yfcA//flgG//rfbC//spy//rhaM//
GO_0009074_6	ycgB//glpK//mlaC//
GO_0009078_6	yrfG//tamB//speC//rsfS//trpL//ttcA//nmpC//
GO_0009079_7	betB//yhbQ//trmJ//gltL//
GO_0009080_7	narV//rluB//ecpR//
GO_0009081_5	ybaK//dsdA//yfcR//fadE//uhpB//ttdT//blr//argD//aroL//holB//cobC//paoC//uxuB//cadB//rpsQ//dgt//fimA//mhpD//folE//ubiB//diaA//fre//
GO_0009082_6	fabB//gloA//garP//rplY//frlA//rnt//pepD//elaD//yjbF//mscS//dcuC//yhaC//nadB//hybD//yacG//mprA//recJ//torR//
GO_0009084_7	rpoE//ybfA//yhgH//malP//oxc//moaE//rssA//sbp//wcaC//yjjG//mgsA//yihX//guaC//rimO//htpX//glpD//frwC//fixB//rfaH//pepQ//fimE//xapB//dtpB//yiiM//hemD//
GO_0009085_8	clpP//insH-6//accC//uidC//xerC//rpoD//yfgI//atpC//ldrD//sufB//csgB//yohC//
GO_0009086_7	hycB//ompC//nusG//cspB//secA//htpG//yfaU//srlA//yciT//
GO_0009088_8	mhpB//mfd//
GO_0009089_6	scpC//purC//fdoI//metH//srlB//yahI//mhpB//ndk//glxR//
GO_0009090_8	pal//lysP//emrE//rlmC//
GO_0009092_7	yajL//yidC//pabA//ydiV//lolA//puuD//
GO_0009093_7	yhcN//uvrC//nepI//glnP//kdpB//
GO_0009094_6	dinD//yneL//fadI//feaB//
GO_0009095_7	aceK//yahK//wzzE//fic//
GO_0009097_7	intF//nrdG//adiY//rsmJ//prpR//pflC//hofP//
GO_0009098_7	dxs//yibA//yehP//ftsW//cutA//yidE//uup//
GO_0009099_7	rbsK//glgX//sdaA//mdlA//ybdR//mraZ//oppA//nuoE//dcyD//insI-1//
GO_0009100_5	mntS//xthA//mhpR//ulaC//pgaA//
GO_0009101_6	cheW//
GO_0009102_6	melR//tbpA//ybeQ//alkB//gyrB//yiaJ//torI//sdaB//potF//dinJ//nadE//torR//maeA//
GO_0009103_6	hisG//ung//sdaB//glnP//argI//lpcA//glvC//bfr//dacB//zapB//gldA//
GO_0009106_5	fucA//yfcP//
GO_0009107_6	gspJ//rluE//
GO_0009108_6	atpH//mltD//ilvI//murA//panD//fhlA//ibsA//yijE//miaB//xerD//srlR//rnlA//opgG//avtA//rng//nanR//rihC//ygaZ//ydeI//menE//focB//murI//trpS//rihB//rmuC//ubiH//fabR//zntA//insA-1//ygdG//araE//yahN//lplT//torI//aroA//yhiM//motA//yhjD//waaC//phnP//ptsN//hsdM//hisS//aas//glxK//tufA//argD//chpS//lgoR//rpsS//holB//ftp//glpD//yhdX//rfe//fliG//ubiC//yaiW//cycA//mlaB//mscM//trmD//rpoE//yciE//gmd//betA//cynS//yehP//ypdB//opgE//cynT//ybjX//rplA//dppF//betB//elaA//hyaC//tap//ytfP//deoA//plaP//ygfZ//ycgB//lpd//yfcP//hxpA//cheB//rpsA//ubiX//tynA//sdaB//fhuC//cas2//lsrB//glgB//uspB//araA//shiA//atpB//yedX//lyxK//hha//yhaO//iscA//grxD//chbC//nuoM//def//kbaZ//potG//
GO_0009109_6	lnt//yfcV//ttdB//pntA//ldtB//
GO_0009110_5	ybhF//hprR//fliS//intE//pphB//rimM//nagB//rsmB//gcvA//cedA//ydiV//ymjB//hemH//ilvD//mrdB//ydaC//trmB//tdcC//ygfI//dsbA//norW//nepI//argI//dinJ//mutM//rpmF//pdxK//mdtP//atpF//sgcX//adiA//uup//ydhQ//leuA//lptD//mdtB//csrD//fryC//cusF//rpnA//focA//wzc//yabI//ompR//hypA//hisQ//aslB//fabH//ribE//folC//ycfH//abgT//rfbX//gatA//umuC//rcsB//dps//
GO_0009111_5	yoeE//entD//mreB//rhaR//
GO_0009112_5	ydeT//prfC//entD//cmoM//rraB//potB//rluD//dicC//rpsE//ydeO//fabB//clcA//prfB//kbaZ//yhfK//aroC//hslU//xylE//ttdB//ydcI//uraA//ymgA//nemR//fliM//yfcF//torZ//xylH//umpG//hycA//phnL//murC//ybbN//recG//flgK//tdcF//aceF//
GO_0009113_5	panD//spoT//feaB//chbB//gnd//
GO_0009114_8	yhjA//
GO_0009116_5	yfbR//yafC//cmtB//rfaE//exuT//fic//dtpB//yafE//lgoT//frlR//dhaK//comR//aspA//dnaT//selU//radD//purL//uspE//paaZ//fadJ//ybiO//dgoD//aaeB//slmA//torZ//ssuD//rfaF//wecE//ynfK//otsA//cadC//kbaY//dnaK//chbA//mltF//dxr//yeeJ//ygeW//ahr//rof//
GO_0009117_6	ppk//htpG//corA//dinI//gcvP//ftsZ//yqjA//ygeV//queD//fdnG//aaeR//gntR//yahN//uidC//rplQ//smpB//elbB//lpxP//rbsA//mdtJ//yejE//adiA//rpoD//sseA//csrA//ssb//yciF//accB//uvrY//recC//yhfK//puuB//ybcQ//pgpA//yiaT//radA//recD//secM//flgC//moaB//csgE//helD//umpG//mglC//yeeO//yibT//iscX//dcp//nupG//aspA//ybiO//intS//yeaV//gltP//flgB//potI//nikD//cdsA//caiF//gyrB//deoD//recA//pgaB//ybdG//gltB//ldrB//ralR//fryB//pepT//ivy//fruA//pdeF//plsX//ygcW//rng//katE//ybiT//nanT//yafC//bcr//tsaD//pgpB//dinB//secG//fliL//nudB//yhaC//yfbS//btuF//yehZ//yfaX//cecR//hdeA//gltL//brnQ//tufB//alaA//fumC//zapA//moaA//opgH//hprR//cspI//yhbX//
GO_0009119_6	nirB//ycaO//yjhP//cysC//zinT//chbB//gldA//murR//tilS//rzpD//tamB//emrK//ispG//cytR//galS//ykgO//rcsF//iclR//glsA//iscU//sufB//csrD//garL//sgrT//ybhI//yceD//surA//lit//ybjL//ulaR//dacC//yiiE//wzzE//nfo//yqhD//
GO_0009120_6	lipA//uxaB//nagE//yneL//
GO_0009123_6	mobA//gsiA//yegV//aidB//fhuF//pheP//kgtP//ydfK//yhhT//napC//sdaC//uspF//atpF//nrfE//lrhA//ybbN//ybaE//srlR//yebZ//ttdB//sdhE//tufA//nrdA//chbR//tyrS//sdiA//treA//yiaJ//wecB//hcaF//menH//bglX//gcvP//malF//garP//sdhB//hisM//ettA//dnaA//elyC//arnT//opgD//fdhF//dfp//yagE//yhdX//
GO_0009124_7	ssuA//flgA//elaA//pepQ//tyrS//rof//proC//macB//trpD//nanR//rpsL//degP//glsB//zupT//ddpA//fetA//yrdA//yajQ//hokB//ribE//ybhP//yneE//setC//hisM//rng//ptrA//cynS//lpp//rpsM//idnK//ibpB//torZ//yfcF//cbpM//yadV//aas//yjbH//
GO_0009125_7	yfgI//dinD//rcdA//pyrB//clpB//
GO_0009126_7	nadB//yihS//yqcG//yqaA//menC//emrB//atpD//trpR//rplR//ycgB//tcyP//araC//flhE//casD//hdeD//bhsA//pyrL//lptG//aspC//syd//hemA//ascG//yiaU//rseP//elfA//aroB//amtB//yafQ//uvrC//ubiE//dinQ//yhdH//ycfJ//fliL//
GO_0009127_8	mhpT//ygfX//pstC//mak//yaaU//lptA//leuD//otsB//yfdC//araA//glmU//umuD//ygbN//ycfS//rcsB//ampH//aceA//ygcW//def//soxS//ybbN//dusB//qseB//recT//rcnR//uhpC//ycgB//dbpA//tisB//ydbK//
GO_0009129_7	glpA//pgpB//queG//hycI//rzpR//guaC//pnuC//pspG//rseC//coaA//
GO_0009130_8	cdd//carA//dtpD//pcm//mcbA//
GO_0009131_8	malG//hipA//rpsR//ydiQ//clcA//
GO_0009132_6	raiA//yraR//rfe//ytfP//yibA//mglA//panZ//rplB//arcC//casD//cobT//gmk//abpA//yajQ//mntS//ydiB//cysP//rsmB//radD//yadK//melB//rsmC//recC//hycA//phoQ//
GO_0009133_7	bisC//ariR//minE//
GO_0009135_7	ybhR//ascB//menE//nrdI//yfbU//potF//arcB//lolE//rplP//rfaG//mltC//yagG//csgD//elfG//rpmG//eutA//insH-6//hypD//cbtA//bcsQ//insI-1//yhhZ//yfiE//
GO_0009136_8	trpR//
GO_0009138_7	yjhI//csiR//
GO_0009139_8	hypD//uxuA//
GO_0009141_6	hupA//aroL//zapB//nlpE//nagC//kdgT//flgD//yfjV//argG//alkB//ulaR//tnaA//yfdO//hslU//yraI//ralR//agaW//xylH//hybO//ygjK//rhaD//pheT//epd//rraB//ynbB//yfhH//arcB//ravA//pstS//ivy//folD//sanA//moaC//mtnN//yaiW//zapD//ycfS//dkgB//
GO_0009142_7	feaR//ispB//eptC//ynhG//yibH//yeeY//pfkB//mcrB//ralR//arnA//ibsA//yihR//fdnG//ada//insE-1//yqaB//ybjX//dnaG//gadE//yjiA//yegV//rsmD//thiM//secY//lamB//icd//cydC//yoeB//
GO_0009143_7	rpoE//cas1//aslB//yihQ//
GO_0009144_7	nagC//yqcG//curA//dinD//guaD//abgR//opgC//clcA//yhdW//rbsA//rpsO//queG//ascG//rarD//ispA//yajO//elaD//secB//frvA//feaR//livK//kdsC//citT//yihR//acpH//yohD//iap//yagU//rsgA//nadB//melB//
GO_0009145_8	queA//yoaB//yfcU//rbsC//ubiF//kdgK//plsC//napB//xylB//holC//pdeD//trpS//dapF//sdaB//aslB//hisP//insI4//ppsA//ftsQ//upp//wzzE//gadX//rcsB//
GO_0009146_8	opgB//flgH//
GO_0009147_7	uvrC//dhaR//cbl//mscL//
GO_0009148_8	rsmF//rfaF//
GO_0009149_8	csgB//ygeR//
GO_0009150_7	ybhP//ybaE//feoB//caiE//ycjR//chbF//norR//yjeH//uxuR//etk//glmU//ppc//yhbX//ynhF//mtlD//lolA//cheZ//nuoF//apt//proA//zntA//glpC//rnr//ybeY//insA-2//aldB//hybF//queD//ygfZ//prkB//murF//dgoT//patA//gsiD//tktB//kdsB//mscS//lamB//uidC//phoP//cysS//ribB//tolR//agaA//fau//corA//dmsC//hdeD//
GO_0009151_7	yhjD//rimJ//
GO_0009152_8	cusC//ydcT//yqeF//narP//rplC//rsmA//rbfA//ychH//mlaF//malS//yfdS//zwf//hsdM//feaB//csgB//cysS//mdtD//ydeE//ybgQ//bioD2//yfcU//rzpD//cbrC//gor//ccmA//moaA//ibsD//emrD//fimC//sfmC//hisF//hprR//gyrB//fucK//fimZ//nac//yahO//
GO_0009155_7	fis//mtr//
GO_0009156_8	glpC//accD//ydjL//hisS//yneL//ycjP//rplW//yneL//mngB//puuD//wza//yfhH//nirB//mepS//yebG//kdgR//ybhD//metG//arcB//ilvC//msrA//metF//wecC//narX//agp//rbsR//yghO//gspI//rlmD//tatA//rbsB//frdC//fumA//
GO_0009157_8	hscB//yggD//lolE//hypF//
GO_0009158_8	cydB//hemF//fes//phoB//rpsO//
GO_0009161_7	pgaC//atoS//mprA//ibsD//coaE//wzc//yedA//ytfQ//rffH//yoeB//ftsZ//gnd//potH//dnaA//dcuC//cysI//pyrF//deoR//paaG//hycA//argC//tar//hprS//puuC//ptsP//thrA//fimH//murQ//prmA//yqjI//yahK//eamB//yjbE//dsdX//yhjB//hdfR//ybeY//narI//galT//glmS//waaC//recR//
GO_0009162_7	yihR//rseB//yahD//rclC//
GO_0009163_6	htpG//rodZ//ulaF//narV//surA//hyfA//yjhI//fliM//ycbU//nanR//ycfH//garD//hemN//ppiC//mscK//fliS//lsrG//waaO//pmbA//
GO_0009164_6	bioD//nfuA//cof//pgaB//yadN//hcaE//htpG//rplK//cutA//sdhC//marA//yqgB//yaaJ//
GO_0009165_7	yidK//pgpC//yieF//appA//sbcB//gcd//fruB//rutB//cysG//fadD//aslB//aaeB//dsdX//wzzB//trpL//ispF//rpmC//ycbU//pepN//chbF//mepH//ydiB//treB//ftsN//cheR//yfcV//mdtQ//yihI//bipA//carA//nadB//pinQ//yaaA//rsuA//ymdB//ompR//yidZ//cecR//setA//garD//malZ//hyaC//ibsE//mgrB//nadK//napC//sgbU//hscC//bioA//ydfG//yhjG//gadB//nrdE//fdhE//aceF//pepB//alkB//murG//ghoT//gspE//waaO//frlB//fabG//aroF//hybD//chiP//rfaG//rimL//fabI//dapD//cutC//
GO_0009166_7	gpr//greA//yjjG//yhjR//yebG//elaB//cyoD//agaA//yidZ//rutG//rpsS//sixA//fecD//glpR//yicJ//ydcS//ivbL//yeeO//pyrD//tatB//groL//gldA//yajQ//yqeF//pgk//kdsD//secF//eco//kdpF//fdrA//nhaR//
GO_0009167_8	ispB//lsrB//bcsQ//hflX//nuoL//ynbD//thiI//glmM//cydD//yafO//rpoS//pgpA//ivbL//yidR//mutS//waaL//ybhD//hybE//rplK//arsC//frlR//cpsG//fbp//add//fhuB//cspC//parE//dinB//hcp//fcl//nfo//uidA//appY//rihB//
GO_0009168_9	yhhT//yafC//uvrB//yiaN//ompG//opgH//sdiA//hybE//guaD//rpe//secD//frwC//purA//mug//eno//adiY//serA//lrhA//ftsW//dxs//dcd//nuoN//xapA//hinT//tsr//uup//cspI//ubiF//srlE//dcuB//
GO_0009173_8	frlA//ftsN//rnt//ypdI//nanT//priA//atpE//
GO_0009174_9	livM//mltF//
GO_0009175_9	rng//yibT//yceO//glgP//prmC//
GO_0009176_8	mppA//kbaY//aer//
GO_0009177_9	rhoL//ygaZ//fpr//
GO_0009179_8	hdeB//yieL//elaB//elaB//appY//trkG//alpA//tufA//crp//uxuA//ygbL//uxaA//bglJ//casD//yhcN//ykgM//rpmB//pdxK//ompL//gdhA//yciH//iscU//flgH//
GO_0009180_9	yeaD//
GO_0009185_7	phoE//flgG//ymfK//truD//thiL//ycjU//ydcI//livM//atpC//ydcP//rpsO//oppA//mdtO//arfB//ybjC//mtn//yjjW//rhaT//abpA//narP//nadA//gntK//yiaM//prfC//
GO_0009186_7	wecE//
GO_0009187_7	yijO//csgA//
GO_0009188_8	yiaL//groL//
GO_0009189_8	mhpA//
GO_0009190_8	yfhM//lysC//
GO_0009193_8	cfa//
GO_0009194_9	gltP//
GO_0009196_8	pepQ//
GO_0009197_9	rfaE//
