#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	gapA//ldcA//ynfK//mnmE//
GO_0010498_6	argK//
GO_0010501_7	rffG//hemG//rpe//pepA//gntP//ycbU//ilvE//shoB//pykA//
GO_0010528_5	garL//
GO_0010556_6	pdxA//rluA//hisH//fhuF//pgsA//thiI//dinB//ydiR//fliL//ubiG//agaC//rtcR//yeeO//cdh//hfq//rutR//mgtA//raiA//adhE//fryC//sufC//lspA//tufA//ygeV//gltK//yjcE//essD//pgl//ldrB//fepA//hcaC//bioF//avtA//mobA//rhaS//fadD//intA//kdgR//nadD//fliL//topA//mdh//yajL//ybcQ//yqjA//ygeW//fliK//tufA//fruA//rpnB//rayT//viaA//hlyE//cyoA//yiaL//prpB//yceK//aroP//fabG//hisP//hybO//yagI//yjhG//aroD//caiB//arnT//murR//ugpA//ldtB//hisB//mqsR//panC//bioD2//yajD//ymgC//chaA//lsrC//yciK//tcyJ//malK//cusF//ygaV//recG//glpG//umuC//gshB//yfaE//lepA//tatD//selD//kgtP//ecpR//btuF//ddlA//dusB//tdcG//ulaA//appB//hemF//elaD//ygeR//glmU//yhjX//pdhR//rzoR//cas2//ompG//dsdC//insI-1//gadC//lysO//yafQ//yqiI//tdk//ybcC//rlmF//yqaB//mntS//pspC//rbfA//yahN//ravA//chbA//yceO//insI-2//napA//amiB//psuG//dnaE//queA//folA//rpsG//rarD//dmsA//iap//ynbB//yfiR//rcnR//brnQ//ynbB//dgoA//frlR//dusB//cadB//aroP//norV//mutT//malP//ldrD//glpG//fixB//phr//dinG//gpp//lolB//queF//ygjR//rcsB//cdd//murI//glnL//puuE//fumC//ibpB//lpcA//ompL//pabA//yggD//sodB//yaiP//djlC//yfbR//yihX//tcdA//frdB//srlD//yidD//yphB//gpt//yhdJ//ecpR//dcp//frlR//tldD//relE//ybcC//aspS//rodZ//tsaC//cobU//csrA//glcE//sthA//lsrR//dtpB//ypjD//tadA//yaiP//idnK//yeiG//rimK//sbmC//yiaN//yeeL//pntA//iscR//tauC//endA//fruB//dnaC//cusR//yehX//nuoE//pflC//yqgB//lspA//yhdH//ravA//pgpA//oxyR//htrE//hchA//nimT//rlmG//tdcB//narP//higB//yjjQ//yhaJ//ssuE//yiaM//fliZ//rssB//pgpC//mtfA//ibsC//napC//yjjU//rclC//pheA//hycA//agaC//nagA//ydcS//hypB//xdhB//ydcI//hns//hyi//purA//nei//aroL//hcaE//csgB//dppC//dacB//rppH//setC//nadK//dhaM//livK//ydcM//rpnB//csgB//lpxL//fixB//degQ//yegT//yhdW//sufD//srlR//sufA//yaiW//nemR//yhdH//rpiB//kefF//fdoH//rseB//sfmH//secE//edd//hemC//gmk//yehX//ydcS//sufS//nepI//sfsA//leuD//hemN//ahpC//aldA//yehU//focB//nrfF//aroL//waaA//ldrB//preA//ygfI//paaA//shoB//treA//rhaM//cobB//slyA//tcyL//mraY//dicA//rluF//rpsB//
GO_0010557_7	sodB//feaB//elaA//dgkA//bluF//yehB//gloC//yfbR//argF//ansA//otsB//lrp//gpmA//hcaB//ydiZ//mscK//hprR//speG//dgcT//ampD//epmA//rayT//hybC//djlC//uxaA//alaC//frdA//dgcJ//nanA//flhA//yhbQ//cobB//ispF//smrA//kefB//ndh//fecD//yfaL//pyrH//puuE//ubiB//cysE//yciH//dnaT//lpcA//modA//yedL//yhaO//ubiB//sufB//ynfE//potI//lepA//yfhH//mdtB//relB//fabH//yedP//yjhC//pheS//blr//trpD//yggW//aas//rrrQ//nrdI//bcsA//gadW//waaU//rfbC//dicC//pflA//dinJ//cdd//prpC//yihX//hsdR//csrD//phnC//dapF//glgX//yhgH//
GO_0010558_7	nikC//obgE//ybhA//cysZ//sstT//ycfJ//csgG//glvB//ihfB//nikR//ymgA//tar//ibsA//gor//yfcU//lpxC//hisQ//tyrA//fimB//acpP//cusR//sgbU//radA//yedP//rcsC//ycfL//elaB//rzoD//rimM//treF//rbn//glpA//rsmF//tsgA//gltK//potH//mzrA//yhjA//waaU//yeaK//ytfP//ugpA//tdcA//aas//dnaT//yfiR//aas//pbpC//ddpX//mltG//ilvL//ydiZ//ynaE//pdeF//phnN//hisP//ybiJ//tar//btuB//mrp//clcB//lgt//nikR//greA//sgcC//frvB//mngA//cspD//yjbG//xseB//hemG//rbsK//pepA//insH-6//ansB//cpxR//nupG//ccmG//cynX//nikR//clsA//appY//ydcS//frlC//pstB//waaY//hcaD//lldR//mdtK//ftnA//sapC//tbpA//lolC//ispB//cirA//norW//gsiC//priA//purR//ompL//lpxD//yhhY//mdtP//ycbB//insB-4//fimA//azoR//panC//cusB//dsbA//serS//aroP//ybhP//uxuB//polB//guaB//proW//zipA//casA//tap//
GO_0010562_7	ispU//gntR//
GO_0010563_7	mazG//cdaR//
GO_0010564_6	insA-1//matP//accC//nrfB//yhcH//
GO_0010565_6	yecS//lldR//araE//phnC//tdcF//tehA//
GO_0010604_6	talB//hexR//lpxC//yibF//tdcB//mscS//rayT//yghU//srlB//atoB//xisE//ampD//mdoD//mdtF//murR//argD//degP//glnL//ybdO//paaE//pnuC//rpmJ//tauA//tdcC//yegD//cadB//cpsB//yibF//secE//ymdB//mzrA//cysI//lepA//ydgA//rlmC//plsX//mliC//pgrR//cvrA//yfdS//pyrE//nfsB//amiC//selB//alkA//ypdA//mntR//rfe//ddpX//dmlR//yeeO//rutF//glpB//umpH//hslO//aspS//fdrA//yahI//moaC//argB//infB//hyfR//recA//yjfP//msrC//ralR//mdh//ycjD//yjjQ//yadK//rfaQ//pspD//rsmH//mltC//degQ//gcvH//aceA//yqeA//citC//yraR//cynX//rluD//garR//thrL//ubiJ//ldtE//yiaO//yiiE//yjjU//torR//alsA//hybG//clpX//
GO_0010605_6	guaA//fliT//aroF//ribD//cysQ//yhjD//ybiY//gcvT//eutR//mltG//gspI//rfe//torI//tnaB//ftsB//lon//yjbB//frvR//rnhB//ybjD//ybcC//ldtE//dmlR//ybhP//sstT//mlaC//yhcD//psd//uvrA//intF//sdhD//diaA//hipB//cmtB//gudD//dapA//ccmA//yiaF//insE-1//ybiH//epmA//yfbU//hofN//yggN//kdgR//dnaB//ybdG//dgoT//rutE//csgF//hycH//topB//rnb//hdhA//ybiA//lpxC//ariR//pphB//araC//yhbQ//hemA//rstB//wecC//minD//sstT//mhpT//btuC//umuC//sdaC//folP//wcaJ//nusG//yfjV//yidZ//ubiF//waaH//xseB//sodA//dppC//hicA//ltaE//aspC//yccS//fdoI//rodZ//ybiV//tatA//menA//fimC//ytfT//rfbC//treB//sgbU//sfsB//ibpA//yedP//trpR//kilR//znuB//sxy//rclA//aroF//degQ//prfB//mrp//narY//narV//yhaV//yfcG//clcB//purD//yqeG//kdsB//rstB//gabD//narG//fimA//ycjD//wzc//nagB//dmlA//nadE//sulA//betT//otsA//selD//prc//arnB//aldA//dinG//lolA//speB//pcnB//ghoT//perR//wrbA//entE//rseP//recG//ybhP//gapA//nrdA//msrP//recC//
GO_0010608_7	kch//pflC//ycjW//yqaB//hypA//yehA//livF//acpT//yhcD//crp//hemB//lysR//amyA//acrD//pphA//yhfS//birA//yidP//dgt//pepD//proW//treB//gatB//bamB//entH//rfaD//dgcN//sugE//narH//rffH//pth//plsX//insA-2//dppB//yciE//glpD//rcsB//preT//thiC//sgbU//bglX//crcB//mscS//yfaU//
GO_0010628_7	mtn//ydjK//prlF//rfbX//dcp//kefC//hisD//entH//surE//ypdI//sufE//atpA//yeeJ//gpr//pgaC//ilvI//uxaA//deoD//hcaD//nadE//malF//minE//fimF//pmbA//acpT//yjhB//hemH//rsmF//dgoR//sfmD//yhjB//rmf//prmC//eamB//lpoA//yqiJ//cysS//pheT//dxs//livM//yidR//glmS//nrfD//dcuA//waaY//ydaN//glsA1//phnI//hyfA//ade//cspA//pepB//tatE//allB//tamB//ldtE//malX//yehW//ghoT//cspA//ycgR//guaD//yadK//cynS//afuC//hdeA//pgi//mqsR//metK//cyoB//ynjD//glnS//pmbA//narK//insB-4//csgD//dkgB//yeeL//ais//thiG//iscX//elbB//yadC//
GO_0010629_7	fic//rplF//kch//srlA//entF//glpA//yejF//yggT//yihR//gloA//mngR//corA//dppD//coaE//ydeM//fdoH//nagE//uacT//ycjR//xapA//lysS//artI//gadC//nhaR//serS//cpoB//gabT//yhfK//sufA//rssB//thrC//nemA//ybdH//yebS//pepA//mliC//iclR//ybdO//ttdR//rpnD//srlB//asnC//dpiA//yddG//spoT//cydD//cusR//pheT//xapB//btuB//hyaD//ydcM//gabP//yaiV//recA//gshA//pbpC//rpoH//rsmD//entS//trkH//fimE//acrD//gcl//pnp//yafE//ygfX//frvB//malP//dtpA//mdtB//speD//codA//mdtF//ushA//aspA//ortT//sfmA//csgF//ahpC//puuD//lplA//ybiY//caiE//cspC//yiaT//metB//ddlA//ybjI//yeeY//yjhB//menE//nrfB//topB//ynbB//afuC//mocA//recB//caiF//nlpA//tufB//fabI//nuoF//yjgX//acpT//sfsB//moaC//lolC//yahD//napB//dapF//dmlR//rutA//recN//yadN//mnmA//hscB//ydiO//eutR//hupA//ybcJ//basR//yefM//pbpC//waaQ//fixB//mdtM//patD//
GO_0010638_7	recG//tusB//
GO_0010639_7	lpxT//dnaA//aroK//
GO_0010646_5	frmR//
GO_0010648_6	yhdW//
GO_0010675_6	recD//waaO//eutB//clsB//erpA//grxD//
GO_0010676_7	cysQ//ilvC//
GO_0010677_7	yafO//
GO_0010699_4	glgP//aroK//
GO_0010810_5	adk//tdcE//
GO_0010817_4	potI//rcsC//asmA//yhaM//slt//cueO//yfeX//nimT//yfaE//pstC//nagA//cysD//flgI//map//
GO_0010827_7	mhpD//
GO_0010829_7	alaE//
GO_0010876_4	yjcO//
GO_0010906_6	slmA//kbp//
GO_0010907_7	sanA//
GO_0010911_5	bluR//potD//mppA//
GO_0010921_6	gcvA//birA//tdk//sufS//
GO_0010941_5	tar//
GO_0010948_7	ybaM//garL//
GO_0010951_8	nrfC//hdeB//
GO_0010962_7	lolA//paaG//
GO_0010966_8	csgA//
GO_0010967_6	cusF//
GO_0010974_7	yccS//
GO_0012501_4	metN//phnK//yqaE//hinT//ybjI//ribE//adiA//chaA//sucA//ybiH//lysA//yrdA//pheT//
GO_0014070_5	manX//gpmM//
GO_0015031_5	fimH//creC//yhhZ//ygjR//slmA//rfbX//hybC//ybcC//yfcS//rlmN//mmuP//ycbB//folP//hscB//blc//trmA//folC//nadB//fimZ//gadW//rssB//yjjI//ihfA//mscK//glgC//tsx//lptE//galK//thrC//ogrK//qorA//xanQ//cusB//allS//elfG//ypdF//yoeE//baeS//potB//ymjB//mntS//
GO_0015074_6	mdtK//cobT//hdeB//garL//ybjC//feaB//hokE//
GO_0015628_5	hemG//accB//ydaV//yehY//dgcQ//
GO_0015669_5	nuoE//
GO_0015670_6	murI//
GO_0015672_7	serA//bacA//yqaB//baeS//csiD//rlmL//ompF//ycbB//pepA//caiD//menI//napA//tmk//yacG//dnaJ//yiaN//nagB//nrdH//phnL//ynhG//ilvA//hxpB//rpmA//hcaT//yceD//higA//zapA//degS//hcaR//menA//ycdX//ptsI//osmY//rsmJ//rseC//dicC//ycbX//nrfD//ompT//trmI//torS//tamA//rrrQ//
GO_0015673_9	greB//
GO_0015675_9	norR//kdgK//abgA//bdm//envC//rrrD//bcr//rcnA//
GO_0015679_10	trkA//etp//
GO_0015682_8	ldhA//proS//yeaG//pphA//dhaR//argR//uhpC//yejA//ppsA//entA//narU//dcuD//
GO_0015684_9	yhgF//xylH//greB//nikR//rihB//
GO_0015685_8	ompL//yqiI//dxs//pck//gfcE//prpC//
GO_0015687_7	yagE//topA//yjiR//deoC//
GO_0015688_6	rfaE//norR//phnO//atpE//uspB//fliD//bdcA//insA-1//narP//fabH//mak//udp//proA//glnP//dinD//gltL//nanS//nuoM//
GO_0015689_8	wecA//yfdG//melA//
GO_0015691_9	cydB//secG//livM//tusC//
GO_0015692_8	hybD//
GO_0015693_9	hisQ//ruvC//
GO_0015695_6	gapA//dusB//rhmD//glpC//ccmF//chbF//nrdH//atpE//cdgI//dacA//lhr//ydbD//fepB//hdeD//yigB//glmU//pntA//trpGD//hemE//rbsA//tktB//sodA//rdgB//metR//proS//dicA//rluB//waaH//sohB//frlR//
GO_0015696_6	rpoD//rpiR//pabA//ilvM//yphB//ygfZ//citT//lpxT//yagG//waaU//solA//ynhF//yqeA//ybhA//yohD//yehC//cdd//alsA//xylH//glmU//hemF//ydeT//rhtC//hofQ//truD//yrfG//fes//ybcQ//kdpB//speD//perR//
GO_0015697_7	mntS//frr//ymgF//rpsI//trmJ//kdgT//glpX//emrE//edd//ulaE//endA//narZ//frlC//
GO_0015698_7	ppk//nsrR//fnr//frdB//yghB//msrA//aidB//nanT//ymjB//ltaE//nhaA//kdsC//dgcN//cecR//ftsW//glnP//ompR//uhpT//emrK//ybaK//yeaV//fadB//puuD//prpD//wzzB//phnH//cspA//yhaV//moeA//dgoD//galT//fadE//miaB//adiC//hybG//cusC//hcaD//nudC//ycaN//epd//mdtJ//
GO_0015699_8	kbaZ//
GO_0015700_8	dkgA//pyrE//
GO_0015706_6	rutG//ubiA//yagJ//
GO_0015707_6	menA//dmsA//pgaB//paaX//mioC//ttcA//
GO_0015709_6	fdoI//
GO_0015710_8	yfdR//rplI//
GO_0015711_6	pgpC//rluD//mqsA//pliG//eutR//tmk//macB//lolB//nrdI//gshA//folE//ybdZ//mukB//tcdA//yajR//ymfA//tamB//rmf//rbbA//ppsR//torD//ynhF//moaA//yfdK//mhpR//lptC//metQ//ulaB//arsB//gudP//rnlA//iscR//rlmL//ydjH//ilvB//glnL//ybiS//ygjR//rpiA//ortT//insA-2//gstB//ygbL//eutB//trmI//rtcR//aes//speD//ettA//xseA//hyaC//dppB//lysO//azoR//yphF//hupA//rsuA//ygdG//proB//rplE//rplE//dnaE//yjjX//dps//mioC//creC//purR//rlmD//waaP//gntT//mtn//bcp//astC//uvrC//leuO//gpr//rpoH//panF//preT//ydiB//rpoH//abgB//rfbD//glnE//potD//pheT//insH-6//rhtB//deoR//zraS//kup//eutD//rfe//pliG//ydiB//yhbS//csiR//rusA//yebQ//yggD//rihB//ygaV//astB//lsrK//hisB//ampD//ttdR//phoP//yoaB//gltL//rpnD//insA-1//ais//srlD//fdoG//proA//acrZ//ompA//yijE//arcC//prpB//artJ//patZ//otsA//pncB//cvpA//pldB//nrdR//allR//yoeB//hicB//nuoH//yceK//truB//uof//glnH//idnK//artM//recE//kdpD//ppiD//yjtD//dnaK//ligB//
GO_0015712_7	holC//
GO_0015718_8	yceD//mrdA//trkH//ftsY//nikR//grxD//nupX//norW//mrr//fdhE//rsmF//uhpA//cyoC//eamB//lolC//ycjW//mdtE//trkG//cpsG//yjhH//rraB//nfo//ldcA//hlyE//
GO_0015721_7	yihW//adeQ//
GO_0015724_7	ybaE//mnmE//hcaD//
GO_0015726_8	insH-5//
GO_0015727_7	cysC//dacD//
GO_0015733_7	mdoD//
GO_0015734_6	uidC//rzoD//blr//
GO_0015735_8	hdfR//
GO_0015736_9	manX//
GO_0015739_7	rhaB//
GO_0015740_9	srlA//ibsB//degP//yfgO//mdtD//garD//rbsC//sfmA//ydfD//
GO_0015741_10	yghB//araG//
GO_0015743_10	rfaH//
GO_0015744_6	satP//metG//hipA//
GO_0015747_6	napC//
GO_0015748_6	adeP//plaP//glgX//kdgR//rlmN//malX//mglB//glsA//yfcU//yhhZ//wzzB//hofP//ydaN//recE//ispH//
GO_0015749_7	lsrB//srlR//glcA//rodZ//nfo//uidR//hyaB//luxS//rplJ//prfC//crr//ugd//pflB//proX//ydjH//hyaC//dicB//lamB//pgpB//pdxJ//yagF//dsbG//fkpA//gatZ//paaZ//dapF//ydaC//moaC//yicJ//hdeD//dmsC//avtA//yihI//cobB//ydiV//accD//yaiV//rnr//ybiW//pheM//rplT//ydjK//recA//ldtD//cyaY//
GO_0015750_8	efeO//mdtB//fau//puuB//thrA//yadG//ugpC//lolC//amiA//ftsA//hyaB//gnd//tusA//
GO_0015751_9	pdxA//yedP//yceK//ybdH//hofC//solA//
GO_0015752_9	yafE//dcuA//mliC//ydeO//lacI//hns//
GO_0015753_9	btuB//pheM//hinT//
GO_0015754_9	hscA//yfdC//yggW//
GO_0015755_9	mhpA//cutC//kefF//paaC//hypF//eptC//menC//nudG//nikB//motA//yidZ//
GO_0015756_9	mcrB//rfaE//
GO_0015757_9	yhhY//secG//mlc//corA//tap//cspA//blc//
GO_0015760_8	rraA//
GO_0015761_9	nadK//ygaZ//dcuS//
GO_0015762_9	ydjM//
GO_0015764_7	ascG//ybaM//ygiV//hxpA//
GO_0015765_8	murI//narL//sxy//psuG//
GO_0015766_8	qseC//dsdA//fbaA//trpL//aroP//fimI//rfaE//dgt//zapB//matP//gudP//hldE//upp//ycjW//
GO_0015767_9	ubiC//fadD//ybdN//clsB//
GO_0015768_9	manY//sgcB//ybgQ//glsA//pgl//pyrH//
GO_0015769_9	ppiC//
GO_0015771_9	fecB//yjjW//arsB//gmk//
GO_0015772_7	blr//hemE//ilvH//yibT//tldD//secB//nepI//iscX//abgT//yieL//ydfK//torC//sthA//cvrA//idnT//tldD//bcsA//
GO_0015774_7	ynbB//crp//pflA//mrcB//hdeD//ung//
GO_0015778_7	casC//
GO_0015791_7	ansB//purL//glgA//potE//nudC//phoU//otsA//pspC//
GO_0015793_7	nrdB//tamA//
GO_0015794_7	lolE//uspC//yefM//yebC//ftsX//
GO_0015795_7	ybeY//
GO_0015796_7	uraA//yadG//hyaC//fdhF//
GO_0015797_7	emrE//endA//
GO_0015800_7	truD//alsC//citX//srmB//
GO_0015801_7	nepI//gltD//rplW//uvrY//lysC//mpaA//fumC//yihV//
GO_0015802_7	cysK//glmU//yadM//mutT//mdlB//ybcF//araD//
GO_0015803_7	mdtG//ppiA//ybiW//pheM//adhP//paaA//yidQ//nsrR//mdtQ//csdA//ybjI//
GO_0015804_7	ortT//cusB//ftsW//dnaA//ydjK//iscR//nrfD//mdtG//trpGD//ydiP//dicA//rhtA//pdxY//motA//mutM//aroP//ybjL//epmA//accA//ptsH//hchA//yehY//chbC//rapZ//dnaB//sugE//csiR//pmbA//gsiB//yfdR//nagD//umpG//rsmB//
GO_0015806_6	mltB//
GO_0015807_7	yfgI//gatY//gnd//waaG//mntR//cyoB//pdxY//mltF//ygdG//yiaL//phoB//ygbL//yagU//rsmF//yjgX//nuoF//cpxR//yneL//fdrA//acrD//yfgJ//ybiX//cydC//puuC//pitB//dgoK//ymjB//elfD//ppiA//mscS//nadB//insB-4//hexR//ybaQ//ybaK//pliG//nikC//dinD//
GO_0015808_8	ycaO//chbC//
GO_0015809_7	uvrC//rplN//argD//trpL//murR//tsf//
GO_0015810_8	mdh//serA//
GO_0015811_7	ydiZ//uhpB//agaW//lpcA//napF//
GO_0015813_6	elfD//entS//xdhB//
GO_0015814_7	sthA//
GO_0015816_6	trmO//
GO_0015817_7	ypdF//
GO_0015818_7	yobA//yiaB//paaD//csiR//ackA//yqiH//yqcC//
GO_0015820_7	gatB//ydiV//mdh//ydiP//nrdA//purL//dapF//rhaT//sgbU//
GO_0015821_7	rsmB//serC//uvrC//hemA//xseA//
GO_0015822_7	acnB//xylH//
GO_0015823_7	djlC//acpH//wbbK//ynbD//spoT//yrdA//emrB//
GO_0015824_7	rutE//chiP//
GO_0015825_8	yebZ//
GO_0015826_7	yahI//hisC//ybiA//
GO_0015827_7	caiB//dpiB//cdd//
GO_0015828_7	purC//ycjP//
GO_0015829_7	acrR//ortT//ratA//cysH//cobB//rffH//feoA//trkA//bluF//
GO_0015830_7	arfB//yaiW//pgl//
GO_0015833_6	yadN//puuR//nlpI//trmD//yfdG//rbfA//cmoM//eutA//ymfK//fabH//phoU//rplQ//pflB//eptC//dgcM//yhbY//yfcV//betI//speA//ade//recN//bioC//lit//ddpA//deoD//qorA//tdcD//rpmC//sfmF//yfaE//yhjR//gltL//insH-6//opgH//hipA//iscR//ybhD//fabA//yeeO//tdcD//queE//yagF//gcvT//folP//yjiY//bcp//prmB//higB//metN//yqjA//frmR//moeA//puuR//caiT//nikD//bglA//yidZ//acrF//dppD//ssuB//rpoD//yqaE//polB//phoB//ybcQ//truA//pheM//crr//torI//cmoA//mntH//paaE//purB//pheT//pta//ybaM//dgoT//yhhT//
GO_0015834_7	glnQ//panZ//uof//glxR//hslV//
GO_0015835_6	mhpC//flhC//abgB//yaiV//
GO_0015836_7	tusC//rutD//yciA//
GO_0015838_8	ribD//yaiP//fdoG//rarD//udp//bhsA//yoeE//yqiI//folM//dppD//eptA//prpD//exbD//
GO_0015839_7	yadN//
GO_0015846_6	rbsD//sapF//cho//copA//dicA//cmoM//baeR//sdhA//tatD//cobB//tdk//tpiA//emrB//fepD//menD//ymdB//gntU//
GO_0015847_7	slyD//osmC//ugpB//waaA//xisR//ydeP//perR//rimI//ampG//fabZ//yhjV//truD//hyfA//hisC//setB//
GO_0015848_7	rmuC//tadA//mntS//nrdI//thiG//yqcC//
GO_0015849_6	phoU//yibH//nei//glgX//ssuC//fumB//secY//lgoD//uacT//adeQ//insA-2//rayT//rluE//wrbA//pdxH//yccX//mntR//cyoE//acs//arfB//gcd//fucI//ydeI//cspE//xanQ//mgtL//argG//fepD//ydiR//cas3//ykgO//rpnB//ruvB//upp//ibsA//carB//ybfA//ybaT//sgcA//yfcS//narQ//rayT//pdxK//infC//araB//hcaF//ydiR//hofO//mioC//rbsD//cusC//yqeA//selA//lpxB//dfp//hcaB//yajO//yiaN//yihQ//sufE//abgR//ycjW//sohB//hycI//pepQ//yihS//minE//ruvB//rimL//entA//yciA//sfsA//frc//nanA//pdeK//fabD//cobC//pgrR//topB//nupG//yhjX//rpsT//pdeL//ydjK//yheT//ybcC//rcdA//narK//ulaC//manA//yagG//sseA//pgaC//gltI//metH//ygfZ//rpnA//blc//exuR//insH-6//aroK//fecC//hfq//napA//dnaC//poxB//dsbB//yccX//slt//seqA//waaF//lsrG//dppA//hflX//ybdN//
GO_0015850_6	yqgB//osmE//ulaE//ubiF//waaJ//rpsA//yqhC//accC//phnL//rpsN//ptsG//glcC//pflA//insI-1//yajR//pliG//yafC//nikE//ybeY//argD//rfe//flgD//rpsM//
GO_0015851_6	epmA//xthA//nsrR//xapA//zipA//xapB//hcaB//pepQ//apt//hisP//dhaR//hsdM//
GO_0015853_8	fadM//yhdJ//
GO_0015854_8	yejB//ychH//
GO_0015855_7	hslU//insI1//ydcZ//
GO_0015856_8	ybcJ//
GO_0015857_6	sapF//glgS//
GO_0015858_7	metH//ybfE//cysH//setB//kbp//yddL//nirD//yaiW//azoR//
GO_0015860_7	trpS//rraB//
GO_0015861_9	ftp//phnP//
GO_0015862_9	codA//gluQ//
GO_0015863_8	menE//
GO_0015864_8	alpA//rsmJ//
GO_0015871_6	rbsK//dnaX//gsiA//mdtO//asd//
GO_0015878_6	potA//
GO_0015879_9	dhaM//
GO_0015882_7	rtcB//glpC//uxuA//
GO_0015886_6	clpP//hyaA//atpC//iclR//tolB//osmE//intQ//nfsB//atpC//
GO_0015887_7	pepN//
GO_0015888_6	acrB//
GO_0015889_6	ydcT//fruB//ycdX//rluA//skp//yddA//pdhR//
GO_0015891_6	yjfF//nsrR//yieE//xylA//nrdD//zapD//hyaC//talB//mutM//thiL//puuD//tilS//yoaB//cnu//mltC//
GO_0015893_5	fdhF//dapF//nupC//rpiA//rbbA//thrL//fixC//mrcB//oxyR//holC//yhaC//yceK//yfcV//betT//rfbD//rfaG//exoX//paaH//yiaB//osmE//recF//dapA//bglA//ldcC//tdcB//glsA2//chpB//rof//glrK//rbsD//dppB//rfbD//gcvH//sbmC//acnB//sohB//ompW//yggE//mreD//hemD//ydjM//bcp//wzzB//ccmF//accB//zitB//ghxQ//ygaZ//treA//plsB//ompG//parE//ahr//ftsE//pgm//yiaN//btuF//ileS//speE//uspC//ttdA//higB//mdtA//tmcA//dadA//elfD//rhaD//tusA//menF//ompF//fpr//aceK//csgF//ychH//ffh//prpR//yiaF//fdhF//norV//ygiV//uacT//iscA//ycjU//curA//efp//tsaB//pdxB//mntR//trg//rpsA//htrE//hemH//pyrC//ypdF//mcbA//ygcW//ypjD//
GO_0015906_6	cyoA//yjbG//yfiE//araF//phnO//
GO_0015908_7	folC//flgI//
GO_0015909_8	kdsD//
GO_0015912_8	fdoG//
GO_0015914_7	tyrA//yagU//glpR//rpnA//fkpB//ydhQ//tsf//
GO_0015920_7	yghB//fhuF//emrE//ybhF//asd//hicB//envC//artQ//pstS//
GO_0015931_6	fnr//yddM//mdtE//rnlB//ybiY//glgS//hldE//wecA//ydaC//rpmA//speD//murE//
GO_0015936_6	yaiP//yfeR//dusB//recF//
GO_0015937_7	yhdH//alr//yehU//yidA//
GO_0015939_5	narG//minD//znuC//trmB//aspS//
GO_0015940_6	yqjH//menC//paaH//ydcR//paaH//
GO_0015942_6	guaB//rtcR//dacC//rffG//fimH//yfgI//yihU//creB//kdpA//
GO_0015944_4	atpC//dcm//ralR//yqaE//exuR//flgH//barA//
GO_0015949_5	yjjX//gltP//pinE//relB//waaG//entD//dinB//sapF//murR//glgC//ycjW//norV//trmB//atpC//dpiA//cspB//yoaB//codA//ssuE//panC//amiB//dnaB//yafS//glpC//
GO_0015950_6	gltS//recJ//rpsA//
GO_0015951_7	yidD//ftsE//
GO_0015968_6	cspG//
GO_0015969_8	yjjQ//yfaE//
GO_0015980_4	gmd//yeiG//nuoH//galP//yihP//sgrT//fdhD//casC//rhtC//serC//tolC//garD//epmC//tcyN//ybiI//hcaR//cadA//recD//abpB//waaP//dicA//menF//yqiJ//tyrB//chiP//aqpZ//potB//hofP//ygiW//ymgA//cysN//yjeI//feaB//mtlA//yiiD//mug//ycbB//yijE//napD//flgB//tsaD//insA-1//motA//trkA//rssA//yggT//dpiB//ltaE//rplJ//kch//dusC//allR//galT//yhaC//argA//ycaO//hypA//rpsI//mglB//erfK//evgA//mscL//elfA//arfA//accB//gph//rpsO//recC//murC//nrdI//mrcA//argA//yhbY//cpxP//fecD//prlC//ycbB//aes//maeA//yebS//pgl//hxpB//lpxC//rimL//mepH//ybdZ//
GO_0015985_9	ygeA//nrdG//torD//phnO//
GO_0015986_7	yacG//slyD//relB//nudB//
GO_0015988_9	ppiC//cdaR//yqhD//sad//mrcB//entA//plaP//yfjV//
GO_0015990_10	yqjI//menF//frlC//clpB//sdhD//cas2//napF//narI//
GO_0016024_7	cca//
GO_0016032_5	yhiM//rplN//caiD//yheT//rimJ//mutH//panD//pyrH//mdaB//ykgM//malE//macB//gltP//sufA//fliL//ldrA//lysP//lolB//
GO_0016036_6	yciV//chbA//melB//uup//slt//elaA//
GO_0016042_5	gntT//ybaE//secE//cydA//rsmC//yfcF//yraR//hybA//maoP//napC//folP//trpB//rmf//elyC//clcB//rpoD//mltA//mnmC//malS//yedA//fimD//ruvB//relA//dsbC//
