#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rsmJ//trmB//hldE//iraP//
GO_0006796_5	arcB//citC//ftnB//lepB//ybjC//lit//yiaB//pabC//idnK//flhE//seqA//gudD//rtcR//napF//yfeR//aroH//kdsB//puuE//sxy//sppA//cmoM//pyrF//narP//asmA//gapC//nanC//suhB//afuC//puuC//coaE//fhlA//ssuC//uspG//orn//hycA//treA//bioA//ibsC//citG//ymfK//rfbD//ybjI//dcuB//acpS//eutN//ldrA//rplK//parC//yccS//nagZ//cpxA//astC//pgpA//bssS//glpR//yobA//dgcE//yraR//chpB//pstA//ygeX//crcB//flgB//intE//ttdB//dpiB//ynaE//yafC//phnL//coaD//lyxK//pabA//mdtG//trpS//opgH//greA//frwD//ydcT//gspE//yneL//torS//avtA//argP//allB//holE//rihB//bioD2//tag//hipB//uhpA//fryA//fucI//zur//dtpC//ygeR//ulaF//caiD//glgP//zitB//rnd//bamD//yibA//lpxD//bolA//nanS//ldtC//rhoL//viaA//folX//yedX//opgE//narV//tdcA//dedD//accC//pntB//bdcR//ydiO//miaA//hipB//argF//cycA//metK//mltA//dusC//fieF//bisC//envZ//citE//araH//mltD//idnD//rimK//exbB//fadB//betB//menF//bssS//citG//rlmC//fdoH//intA//rhsD//rplP//cysM//radD//lplA//yihS//focA//paaZ//ybaK//sbcC//ssuD//serS//garR//abpA//eco//bioP//flgE//lysS//fliS//mqsR//tsf//fdhF//lgt//ptsN//tolR//osmC//hemD//bdcR//hipB//rodZ//mdtN//erfK//yehD//smrA//waaZ//ydhK//ygjK//pnp//hisI//dcm//ydjE//hofP//ypdB//tatD//trg//mdtG//polB//evgS//thiH//eno//fklB//lrhA//setA//ymgF//ldtB//citG//parC//nlpI//rzoR//yqeA//osmY//ytfE//bcp//rffM//ybhF//yqiI//tcyP//pfkB//ariR//aaeB//acrD//epd//trkA//malY//opgD//hsdM//clpA//mscL//ebgR//polB//yahI//metE//lsrA//ygeW//hldE//cvpA//rrrQ//yehD//zapE//yoaB//alr//rpsE//ydeI//casB//ung//iraD//pstB//rsmG//tcyL//hdeB//ymgA//narK//clpB//rplO//purA//gldA//dgoD//tcyP//frwB//yjjG//smrA//yajL//cirA//folC//ychO//mntH//galP//trmI//fadD//cas3//sulA//uhpT//ftnA//yihR//panB//gshB//metQ//yicJ//cysC//pflC//feaR//pepA//casD//lnt//dhaM//fadA//soxS//yciT//mltG//dut//potD//rpnA//ptsH//yieH//speA//macA//nhaR//nuoH//yjfF//cvpA//torY//puuD//nagC//uxuA//yfcA//gltD//sugE//relE//nemR//ubiJ//fdhF//tcyL//rlmN//tsaC//nmpC//hokB//mhpB//cvrA//ydfG//
GO_0006797_5	potI//truB//
GO_0006798_5	ebgA//
GO_0006799_5	yihP//
GO_0006801_5	hemB//pstS//tsaC//
GO_0006805_4	gudD//fdx//ybiS//cusS//ahpC//pyrB//rfaE//lgoD//rlmL//aceK//yjgX//ygiV//puuD//alkA//diaA//aaeR//acrA//hofN//rfaD//dgcZ//rpiA//pphA//marR//moaE//
GO_0006807_3	ldrA//rsmF//yebS//amtB//acnB//yagI//mdtB//fadM//surA//yhdZ//cspD//der//uidA//uvrB//nrfG//pth//ynjA//araG//prc//lolE//hpf//betT//yieH//yedA//ptsI//ribE//rhaS//trmB//ynbC//nadC//ycgB//mutS//cpxP//cas2//lptF//ychF//dsdA//atpB//rhaD//paaE//treB//tsf//intF//kbaZ//waaU//cmoA//norV//rplO//dsdX//bcsQ//tsaC//mug//tbpA//rppH//glnK//hda//tolB//yciH//pheA//osmF//yciE//rpnC//dppA//fdhE//hscA//pepQ//ybcF//fabB//nrfB//srkA//ilvB//mlaD//lysU//yoaA//yraI//ybeY//lptF//def//znuB//fimE//ttcA//sxy//rnhA//ypdA//dnaG//znuA//ccmF//gyrB//msrA//yafS//glvB//aspC//hypE//pagP//zapC//ppiD//mscK//ulaA//ridA//frvA//fpr//uxaB//cheB//ubiF//gph//rpsT//ybiJ//parC//sspB//yihW//shoB//speD//gspF//nrdR//yfiR//yhjR//htrE//rsmI//cysI//yegD//ldtA//bcsA//xanP//hisC//rplC//ychO//waaP//sdiA//uraA//hflK//zipA//ilvI//dppA//rnhB//mtlD//cas1//ytfP//murP//queE//modA//insB-2//cusR//rbsK//cheY//mntS//ycgR//ychO//mdtF//wzzB//ung//tauB//galP//holE//tag//alsK//eutR//mog//sfmA//prpB//cusC//yjcS//topB//cspG//yfcU//tolC//dcuC//lpcA//yjcE//oppD//hyfC//bsmA//pcnB//ycjD//tamA//dcp//gapA//feoB//cyoA//pyrF//pal//mdtM//bcsA//yebC//ygeA//lysA//mltD//clsB//sthA//phnC//arsC//yjjG//thiG//topA//nimT//pheS//motA//ttdT//malE//dtpC//cyaY//yahD//yceO//pepB//ycjU//infB//sgcB//iraD//hns//yidH//yfcA//insI1//rhtC//pheT//cdgI//yebZ//sbp//tynA//yhjV//phnG//rpe//mhpR//dmlA//nrdB//pyrB//rpmF//glnP//kdsD//frwC//sfmH//mreB//elaD//nupC//ftsP//adeP//ykfI//hokB//yehX//rsmA//tsaC//opgG//fdhD//ispF//elfA//mug//bioF//rhsD//trpE//yjhG//lasT//barA//artP//rpnB//ribD//trmJ//potH//yhdJ//nrfC//yhjD//ddpA//cysA//fruA//chaC//tdk//hrsA//tynA//fdoH//ribC//ppsA//nadA//ygaV//sgcE//zapD//galR//sucD//dnaB//rffM//frvR//yggE//trkG//matP//dcuC//aidB//rdgC//rstB//ygbN//proW//hprS//truB//atpA//yfcQ//ndk//topAI//tilS//norW//cysK//phnM//potE//chbA//sad//uxuR//rppH//lptB//lysU//mfd//rnc//uxaB//fimE//chbR//rof//hns//nagC//yegV//tsaB//hybC//cobC//ybgP//lsrC//cynT//ackA//ybhJ//atpC//pitB//sucD//rfbX//ygeV//ileS//thiC//skp//gadC//yrbG//ugpE//rnhA//prc//chbB//ghoT//insB-2//frmR//ynhF//frmB//tusE//cusA//ybbY//yajL//mutM//rne//entA//yafO//melA//betB//uof//xylA//torD//aqpZ//dxr//glnB//pitB//araF//intF//artP//aroL//solA//ais//ydhC//adeQ//glmS//rplX//mltF//yfcU//yjiA//tilS//rbsA//yrdA//ascB//gloA//mdoD//metG//pmbA//eutD//lysR//groS//tynA//sfmD//yiiE//ggt//fliL//ycjY//galE//mdtN//sfmH//rhaR//rffC//rsmG//kdsC//yraJ//sgcB//htpX//abgR//rfbB//rpmF//yaiP//glmU//ydjL//rimJ//aqpZ//glcB//idnT//chaA//yieK//rnpA//bcr//rpmC//ybbW//glnD//speC//rfaC//yhhT//holC//rcdA//higA//ilvB//ihfA//lpoA//mlaB//hdeD//trmA//fau//mdtB//ilvB//fabA//trpD//insI4//yagE//yajD//miaA//ligA//ybiS//waaL//tdk//narG//arsB//glmS//ymgC//glnD//mqsR//alpA//gpr//dhaR//ybcQ//prkB//rutC//ilvN//yrdA//ynjA//nrdE//yjcS//nfi//copA//thiD//aspC//iraM//gabP//citX//cspE//pykA//asnC//dapB//adk//exbD//mobA//pspG//fkpA//flgI//fabG//uxaA//mscS//proS//erfK//pgm//frvR//ydiB//bamC//fliM//mazG//ygiN//ybfA//ung//frvB//rutC//ahpC//rayT//ytfQ//gsiD//rsmA//phoR//yeiG//codB//yciA//garL//lsrA//atoC//rimI//marR//mltC//rsuA//ubiI//mtlR//fadL//ybbW//uvrB//minC//higB//ygfI//torI//csdA//ilvN//gabD//yqjI//tnaA//sbcD//sbmC//yigL//gadC//rplW//yphB//ptsG//insI1//rhtA//gltB//katE//mscK//yabI//ydjM//sdaC//pmbA//dapF//creC//cptB//relB//cusR//umpG//pinQ//fimF//mdoD//fucO//rhmD//ydiO//yafE//lpxP//gcvR//lpp//ftsY//rnr//msrQ//elaA//gltL//insB-2//ybjN//dhaM//rffH//menA//fhuB//azoR//yrbG//yebG//fimC//kgtP//chbB//rffM//araG//preT//envY//cpxR//yieF//ribF//groL//yebZ//relB//yahI//hofN//lpxL//hybD//yfiC//yebZ//ybiA//yiaJ//yahI//elbB//narH//bipA//gltX//sstT//mrr//yfhH//sucA//accD//hybE//tsaB//sspB//avtA//cspB//serC//menA//tehA//gspI//malY//ahpC//speE//kbaZ//alkA//aceF//ycjQ//nadK//narG//ycgV//mzrA//hdeA//epd//yeiG//nikD//mtgA//dam//rhaS//mdtQ//zapB//yiaJ//fruA//ypdI//cyaA//insI-1//citX//serS//artM//mppA//rraB//sapB//livF//potH//dpiA//mngB//chiP//rcnR//udk//ansA//cspI//fucI//yfcR//dtpB//gfcE//symE//hinT//argC//roxA//mgrB//tcyJ//ybhJ//pdxB//shoB//ycjW//lysA//cas3//bioH//topA//phnG//birA//tauA//ftsN//minD//asd//rayT//waaZ//mhpR//mlc//ribC//essD//bamB//gloB//kch//yihX//sodA//yajO//asr//rfe//spy//fucI//htpG//rsmI//nrdF//treC//pgaA//rpsO//cbtA//folC//recC//speF//glyS//ssuD//plaP//alsK//lon//tcyJ//glcB//uspF//yqiG//ydcP//lgoD//yieE//cbpM//yccA//hemN//ccmG//hxpA//luxS//era//gcvH//alaS//rpoH//yfaX//opgE//chbA//srlE//yneL//preA//chpB//xseB//abpA//yebC//pheT//malI//lspA//rihB//gabT//flgA//livF//kilR//leuA//araC//rclA//rspB//mioC//entF//yfdK//rplA//prlC//wrbA//gcvR//ugd//pheM//hinT//fruA//rcsF//insB-2//mdtF//recB//livJ//rcsD//bglH//yegV//tusB//yjjU//recQ//mhpD//aroE//hdeA//dgoK//talB//glgP//pepN//dnaK//glgB//ppiC//ppiC//lpxB//napC//rplM//glcD//narI//rpsD//allB//csiR//treR//trpGD//tomB//alsE//rimJ//rpnB//xerD//ppsR//rpmC//metH//truC//uxuA//fdx//cheY//ymdB//lyxK//leuD//arfA//napC//rnd//yhdX//fdnI//iaaA//aceB//cysK//yidZ//mcbR//nuoI//fkpA//ymfA//norW//alsA//ycbB//mmuP//ycjQ//uhpB//yraH//rssB//dnaC//bamE//araF//nagE//citG//miaA//yjeH//tsgA//asnS//gcvR//holA//mrcB//hemA//xylR//ibsC//ygbM//waaZ//accA//argT//rclR//yoeB//mutS//gcvR//gpmA//dinJ//menH//bglX//rpnB//yagI//pldB//opgH//malE//rzpR//ydcZ//gatC//purU//gor//adeP//hyfC//bglH//era//rimP//kdgK//deaD//clcA//cusA//icd//mdlB//mcbR//rstB//fdoI//secM//cusC//hokB//yhhY//mdtF//dapA//trkG//lpd//pphA//leuE//sucC//helD//eutR//fhuD//adiC//parC//yjbF//folA//ynbB//rarD//leuE//ydcS//gshB//gcvP//ybiX//yggW//rutC//mtfA//argE//rimK//yjbH//murR//napA//dsbA//sgbE//nrdH//ygfX//bioD//pdxB//yajQ//mdtE//fdnG//ynjD//pliG//gstA//bcsA//rbsR//ynjD//hcaD//yihP//nrfG//ddlA//ppiA//manX//ftsQ//dppB//folC//glnA//cycA//dgcE//yceD//rpmC//acrF//nadB//yadG//yjjW//xylE//metK//ybeQ//rbsK//recA//lolC//bioD1//glnK//narK//surA//yfiC//queC//potF//aroL//galM//intQ//glgS//moaE//yibF//mraY//ldcA//waaS//recT//alr//ugpC//yihV//ykgF//mliC//mepM//efeO//yibA//gstA//tag//osmY//alr//yjjG//dgcZ//yhaC//rihC//glvC//rluB//csgF//sapF//uxaB//ortT//aceA//panZ//ptsH//rsmD//mdtB//mutY//yadK//hemL//mlaE//yiaU//ydeI//accA//csdA//yjbE//pyrD//kdpC//cbtA//cptB//opgD//yidA//ybhF//yfaX//phnJ//ybdO//envC//mdlB//ybhD//hofP//phnH//srkA//bamC//ugpB//ftsP//ybiJ//glrR//tehA//cobU//manY//bcsQ//tufB//mak//scpB//afuB//entC//rplW//lptE//tgt//livF//hemF//pstB//hycA//eutA//idnD//hlyE//ygjK//ttdT//hybF//bluR//glmM//uvrD//mukB//pspA//proW//ytfQ//nfo//narV//deoC//rcsD//yqaB//yhcF//nuoL//gmd//rhmR//grxD//flgB//casC//cynS//ettA//yaaJ//nth//menI//yqjI//dsbG//hdfR//insF-1//uvrD//ubiI//rpoE//gph//ftsI//hipA//hdfR//elaD//ptrA//pfkA//iscU//cutC//pgaC//dhaR//hybO//fnr//fau//rpsD//bglB//fliS//ygiW//mltD//gfcE//cspD//glmS//dgoT//lrhA//essD//nanR//arnT//ybiX//thrL//yqgB//cyaA//pgpB//mdtN//hcaT//bglH//metK//hrsA//wcaC//paaA//yghU//amiB//ygaH//manY//aroG//yjiX//aldA//yaaA//cobS//tehA//glgC//grxD//trpB//sbcB//murG//ygjH//ppiC//rpsG//dnaJ//asd//rbsB//hisC//yajR//hemG//ybcF//eptB//pdxA//mntH//amyA//rhtC//ogt//rpmH//malZ//pflC//cysD//tdcE//pta//bglB//uspE//aaeB//essD//yegD//cobB//potC//shoB//cysB//pspD//leuD//yfeX//dcd//holE//yeiL//mnmG//rna//glnH//malK//tolA//kefF//mreC//ybaQ//degP//yfcG//clsB//lldR//yqaE//murQ//kefC//yghU//rfbD//agaB//envR//kdgR//yahN//nac//mipA//yjfF//ispU//rpsQ//zntA//folP//sdaA//ybhD//srkA//glpD//ydiZ//idi//cadB//uhpT//rplK//ypdI//mfd//purU//bioD//yiaA//yfcA//
GO_0006808_4	mtlA//aer//yodD//
GO_0006810_4	insI-2//dgoA//rpoD//argI//exbD//rpe//trpA//dcm//ompG//lrp//argH//soxR//ispH//yajR//stpA//chbB//tesB//yghW//hypC//ybdO//malE//trmB//ascF//fsr//rseB//cbtA//pyrG//clcB//fepC//arfB//ubiD//fliS//yjbH//hmp//btuE//shoB//ydhQ//yhaO//dinI//tbpA//ygiB//manA//yciF//glsB//ndk//fadH//pdeD//yiiD//aroL//artI//argS//thiQ//pykF//ycjY//glpK//paaE//ompT//xanQ//iscU//mscM//phnH//xanP//ygjK//chbA//frvA//ispF//gpp//thyA//fepD//cpsB//mdtO//waaB//paaD//galK//hypT//ydaC//ycfL//nanS//ybiY//ycjP//dctA//btuE//agaA//uvrB//abpA//mgtA//eno//efeO//pgm//yobF//ulaE//yjjG//rseB//ulaE//yicJ//ygdG//hypA//yccS//fis//srmB//btuF//bglJ//yceD//cbeA//cyoC//preA//appC//smrA//csgB//dauA//znuC//folD//mdtA//csgF//rpsM//hyaB//intA//mdtO//dctR//ompN//caiB//tcyN//yhbQ//pyrF//rseP//lexA//treB//yhdZ//fhuB//betI//hokE//yiiE//poxB//eco//yidK//udp//gpt//entD//moaD//menI//waaH//nikD//sbmC//baeR//yhjR//hemL//nhaA//glpA//citT//kdsB//map//nirC//yihU//hxpB//ycjY//purR//yneL//rpsG//preT//yfeR//ccmC//bioD2//hypT//entS//yiaN//hypF//yfdO//rlmN//otsB//gsiB//cysC//kefB//fetA//yahN//yfiC//yehC//ybaK//dapF//cspG//yieL//narY//alsC//rplA//yneE//yejA//yadV//ybjL//uvrD//yejE//hisG//dhaM//acrE//rcdA//cobB//raiA//yhfS//adiY//hisB//yidR//ltaE//ygfZ//yagJ//pntB//eutB//dhaR//hupA//putP//fabI//atpD//kefG//frr//dam//ygiS//dauA//yedL//potF//yejB//metI//kdpB//sucC//yfiF//rimL//xylG//mdtB//tcyL//lnt//dcp//exuT//yihU//mukB//mlaC//sgcX//rplW//purR//fabG//sdiA//atpB//hexR//map//mug//cobU//ydgA//ybdO//queE//ybiW//torI//queE//ydaC//lyxK//rnlA//ydiV//sugE//arsC//intQ//nlpA//metQ//tcdA//yjjQ//tbpA//yagU//ybiV//fdhE//yraH//ygbN//ycjW//yhaC//hyfR//mlaF//yfdC//glnD//torY//glcA//lolC//rpsR//rihA//birA//yheT//hyfR//fis//paoC//dnaX//rutA//flgI//sucB//yfaV//yiaL//mepS//fabD//kbp//nrdE//yibH//dadA//bssR//csgD//lpd//adiY//pyrF//ldcA//degS//ddlB//nrdI//hypC//ygeR//ybhI//hns//mrcA//cho//fryB//potG//gsiB//glnQ//crp//dusB//yjbE//epmB//rbsR//trpE//rnpA//rpsG//ldrA//rlmG//ybhG//aroP//bioA//adhE//yciH//yhhT//ybdN//bioF//ilvE//pgpB//prc//rzpR//nuoB//yqeG//ymfK//yfbR//dnaX//fabD//dnaG//waaO//folD//fdnH//cobS//wzb//icd//preT//thrA//ais//moaB//hypE//dtpB//glxR//malS//msrC//lysS//aas//rcnA//glpD//pepB//ygbI//bioC//obgE//yeiL//frdD//yjhH//argS//rplL//lpxD//ascG//lptB//gltX//ftsI//tolC//sfmH//hpt//gltL//ompT//menB//dut//sgcX//eamA//ygfI//arnE//tatA//yciK//hybB//lplT//gloA//atpG//fhuC//ygaZ//mutT//fryA//fdrA//ydcZ//mdtG//flgA//yecS//mutT//aas//hemD//yfcV//hdeB//mreD//insI-1//napB//mrdA//murA//cas2//topA//pal//yhjV//trkG//atpG//yddG//def//focA//ratA//rihC//trpD//cdaR//msrP//tag//mcrB//tnaC//skp//coaA//kefB//sspB//matP//wzb//yihR//cdh//yjiR//pspG//rpmF//ilvI//fhuC//glk//yjbG//nikE//yahF//psd//yhgF//allC//nlpA//dacA//fdhE//corA//csrA//mrp//yfcR//cvpA//glnD//ybdG//ilvN//ydcR//gudP//hofO//mdtA//agaR//nadE//sufE//secD//crr//serC//csgD//mlaD//puuR//xylR//speG//citX//glcB//smrA//yeaK//pppA//uup//hybC//araB//flgJ//atpC//glgP//mdtE//yhjG//dusC//mdtO//rarD//rclR//yehZ//tisB//tsaB//zapD//pstC//bacA//fadD//rpsA//tnaB//dsbC//lolC//tesB//potE//yedL//yoaB//aslB//thrB//udp//fumC//yhbO//marA//kilR//tdcB//yigL//dsbD//atpB//ibsE//ykgF//hisD//glgA//polB//ppsA//argH//purD//aslB//ulaG//cpdA//basS//yebZ//cpdB//ccmF//cydD//gapC//caiE//feaB//rusA//ybaO//yagE//nikA//ydeP//pagP//ampG//nrdF//waaA//nikB//glnA//tisB//phnI//cysD//argO//amyA//ubiI//tdcG//uvrA//fetB//metH//adiA//sgcX//atpB//yfaL//ratA//recX//ubiJ//yjcE//yahK//insB-2//ygiB//bioD1//yedL//serB//rplX//araC//gyrB//ilvM//purR//afuB//yhjR//intA//yciA//aroF//poxB//mobA//tusE//argF//glpT//yheT//lgt//otsB//glcE//rplS//phoR//moaD//mutS//ispU//potA//pstA//iraD//yqhC//yrfG//
GO_0006811_5	ptsP//lacY//gadC//creB//ompC//mtfA//pgm//rluE//yfcV//rsmA//yeeA//ddlA//osmC//trpE//lgt//lpxP//rfbB//groL//gltX//insI1//yoaB//cpxP//zipA//nudG//speB//alsC//cycA//xylG//uup//fadE//prpR//kduI//waaS//yhdJ//rutE//borD//sgcE//yddA//ftsH//def//rplF//insK//rbsA//gppA//yggP//recE//rclR//potH//artJ//ygfZ//hipA//ribE//leuB//lgoT//nrdG//ydaV//yccA//acrE//fis//rseP//yiaO//pppA//yehW//tonB//crl//dgcE//bhsA//glpA//acrB//acrD//yidP//cynT//hslJ//yfcV//citE//uxaC//treR//secG//kdgR//rbsR//galS//yjhB//oxc//mltD//ribA//ompA//ftsB//ubiI//aslB//pbpC//yicJ//glnP//xthA//glgS//mutL//sdaC//pheS//rnhA//rutD//mutS//sucA//rcnA//murE//napA//tdcR//lsrG//frwC//yiaJ//fucO//era//purL//cobT//dacA//nfuA//chiP//rpsS//endA//motA//yjiY//yihX//deaD//hypC//nlpD//nadA//nuoG//torA//alr//ybjL//yciV//hcaD//garR//mtnN//malQ//rfaQ//rlmF//yajR//yahD//yhjD//sodB//rpmB//aaeR//lysR//zapB//fecA//puuC//mutT//alaS//metE//yhbX//ygfI//adk//mngB//ycjD//yajL//satP//yejB//atpC//fabB//yqeG//tatB//yqaA//bluF//torS//ybaO//yqgF//glsA1//lysR//bcp//hscB//bioD1//bioA//birA//treB//bioB//glpX//dinJ//metF//murQ//hcaE//mdtD//purA//yajL//ftsH//fryC//rarD//tdcF//pgsA//lnt//mltF//aceB//yajQ//holD//rspB//rssB//iscS//fpr//tbpA//yjiY//fucA//ssuC//asd//trpL//galE//lysP//gadW//rbsA//bluF//abgB//rihB//frlR//aldB//entF//ybgI//livF//avtA//sixA//fruB//ydeE//metN//ydgA//ibpA//hyfA//cspG//mcrB//rsmB//glmS//dhaK//copA//fimH//proS//ypdB//bamD//cheB//yibF//mngR//btuC//pgpB//tdcB//pinR//yeaV//trxC//hcaB//dgkA//sppA//hda//maeA//yajQ//sapB//phoQ//proX//yjjB//elfG//cutC//argA//mdtM//ybbW//patA//yqiI//yjiM//phnP//sfmD//purF//nudC//yhbS//pmbA//lepA//torZ//hypD//yraR//yggX//ybdZ//nlpA//nagC//melR//abgA//asmA//glpC//mgtL//essD//kup//bepA//coaE//spoT//yojI//kdsD//yfdG//matP//
GO_0006812_6	wzzB//rffT//glcA//luxS//gspF//ilvD//rpsJ//dfp//tatD//yahD//napF//ackA//ynbB//rpoH//ybeY//moeA//hxpA//gsiA//ydeO//nadE//nlpE//dmsB//ydiP//rbn//puuP//purF//ydhC//bglB//hypA//metR//mdoG//hokB//malQ//yahN//ftnA//uidA//nuoI//smrA//truC//ompG//nudC//nlpI//guaA//gcvH//menI//galS//mutM//yddG//csrA//sdaC//ypdA//phoP//rhtA//yccX//lgoR//cbpM//gcd//qseB//hscC//selB//rzoR//ulaB//cptB//ycjW//yjtD//mobA//ypdA//yqeF//csgG//insH-5//dinQ//kilR//frvR//hupA//yihR//yiaN//sthA//yeeL//ynaI//lhr//blc//higB//xanP//yiaB//alaS//ttdA//wrbA//uspC//prpD//pitA//symE//casB//dppB//murJ//dapF//hprS//ampH//phnG//cas1//yeiL//cdd//hisC//pntB//atoS//citE//ptsI//rhtA//rcsF//sodC//hdeA//ilvD//ulaE//yibA//arnD//lolD//ackA//prfC//mraZ//yhbO//eno//yeaD//uvrA//narU//tusB//hyfF//umpH//adiY//ygeX//frlA//symE//artI//gpr//cysI//ydaN//tisB//pcnB//lpxL//mlc//rnpA//pspA//comR//pabC//mprA//rfbB//ptsN//phoA//yiaB//tonB//yjiA//tusD//tisB//nupC//tauD//ldrB//glyA//yfcA//yggP//intF//opgC//glnL//mqsA//rlmF//yehW//glnA//hns//treR//phnL//proQ//accD//yajQ//mrr//
GO_0006813_8	rfbC//yiaU//rluE//secM//cydB//rnr//ydhC//modC//rplJ//moaA//thiG//cysU//crl//recO//feaR//fimH//mdlA//
GO_0006814_8	ydiZ//ygaH//lpoB//xisE//pgk//cysZ//mliC//argK//bssR//
GO_0006816_9	selD//
GO_0006817_8	waaQ//rbn//dcuB//tusE//flgB//hcaR//pppA//mfd//bioD//
GO_0006820_6	glnA//elfG//psuG//iscR//nanS//glnA//arcB//fiu//nrdA//dtd//cadB//hpf//yeeJ//truC//tyrS//ibsD//argE//hexR//insI1//rbsD//minD//yfdR//gcl//rimM//dmsB//hypB//nagE//lhr//copA//yeeL//tus//purD//yafO//glxR//betT//htrE//rnc//glsA1//lgoR//cysM//flgA//pgaC//mltA//insA-1//pyrG//yqeA//uidA//mdoD//tufB//cutC//tusA//yhaM//fadD//ftsL//cnu//yehP//ilvC//glcF//ydiB//hdfR//ybjD//pheA//paaH//ynbB//sdiA//frr//dnaJ//apt//ubiB//cobU//yggT//mglC//malE//fimH//ptsN//nadE//chbG//bioP//ygaH//patA//hldE//ygiW//ilvA//gadE//yjhB//srlR//yddA//ygeX//soxR//nagD//ilvD//dkgA//sdhE//tktB//norV//ldrA//ihfA//exoX//kdpB//elfD//fadM//osmF//ndh//yaiW//dcuA//rfbX//uidA//narL//djlC//fixC//yihP//yobF//ybaK//lon//emrY//arsB//pabB//xerC//leuA//ydhC//gudP//rcsC//hokE//yghU//nudB//glnD//ldtC//yajQ//gatA//minC//yafS//rplX//dcuS//queG//dusC//gspF//folP//rhaT//waaL//ydcS//dsbC//cdh//galS//leuC//hdeA//lptE//kdgT//eno//dcd//sgrR//dgcF//amiC//fieF//phoE//yhcF//pgpA//ansB//gor//ubiJ//dgoA//malP//aroA//yhgF//phnK//aroD//yqhC//kefG//tusE//pfkB//iscU//gsiD//uhpA//yidL//metF//coaD//asnA//smpB//
GO_0006821_8	ispA//sfmH//phr//
GO_0006824_8	tyrB//torR//wzb//tqsA//
GO_0006825_9	ykfM//kduI//ygiS//waaH//sufB//cysP//rlmM//
GO_0006826_9	glnE//hha//znuA//cysI//opgD//secF//uvrB//yciE//cpxA//uxaB//ygjH//phoB//rfe//moaB//yehY//yjjU//cyoA//
GO_0006828_9	pdxA//znuB//osmF//
GO_0006829_9	htpG//trpD//lsrD//rlmB//efeO//yihV//yahF//ydaN//sucD//
GO_0006833_6	atpH//
GO_0006835_8	appC//yhjR//mreC//asmA//csgA//ptsH//gmk//serC//tar//thiM//potD//nuoM//adk//pspG//
GO_0006836_5	glsA2//yfdK//ypdB//ydfG//kefF//brnQ//scpB//acpP//secM//panZ//
GO_0006846_7	dppD//yiaO//
GO_0006847_8	ptsH//
GO_0006855_6	ybaT//aer//motA//bacA//yddL//cysI//ygcR//waaA//elfA//ebgA//aaeB//symE//msrP//frlA//htpX//entE//mnmA//ackA//aspS//sfmF//pnp//rpmG//gntU//hyaD//ytfT//tsf//rraA//yjcO//pitA//smrA//macA//ygcO//ymfK//btuB//yajR//potI//bglH//appB//afuC//lsrA//ycaN//phnN//cdgI//alkB//melR//narX//chbB//fliS//wzzE//dppC//yrfG//wzzE//pstC//yhaJ//nusG//mrdA//ppc//yjiX//
GO_0006857_7	uvrD//cvrA//modB//rnd//ydcS//eutR//rplP//yfcS//narI//ykfM//dppD//ydeE//phnM//rsuA//rpsJ//rutG//sgbH//trpD//dcuR//recB//rpsD//greB//dnaT//selB//gcvP//lptF//sucA//
GO_0006862_7	ycbV//
GO_0006863_7	metG//ubiJ//hemC//nmpC//proB//citE//nirB//lysC//
GO_0006865_6	rpsL//rclB//mraZ//glpC//fadR//dapD//ubiI//cydB//hflX//napF//sbmC//fepC//cvpA//ygiS//mliC//puuD//ybjL//feaR//rplI//bamD//mtfA//fhuF//dppB//yebK//recO//hipB//frr//trmA//yhhZ//pdeD//polA//ybdH//nemA//ybiW//icd//mcbR//yggF//ynfE//ssuC//yibT//wzb//dgoR//chiP//ycbV//yibH//trkA//katE//tolB//nei//rimJ//rfaE//gshA//msrA//nusA//ycjD//cmtA//artJ//yieE//arsB//casD//fadH//ibsE//rplY//kefB//queE//zinT//hyfR//lapA//acrF//kdsC//lepA//ptrA//ldrD//
GO_0006868_7	ccmG//murI//speB//
GO_0006869_6	argP//fhuD//mgtL//yahI//yjbE//thiM//truA//hisQ//puuE//ynfK//qorA//msrP//casC//cutC//miaA//narQ//cyoE//glyS//gloC//gyrB//hslU//yeaE//ahr//
GO_0006873_5	otsB//clpB//ygiV//cutA//uacT//ubiJ//ydcT//sbcB//guaC//hsdM//rhaT//yfdK//gutM//csgB//xylR//holB//mdtB//fnr//rpsK//pdxA//rnr//tadA//mdtB//ybdR//rplM//lpxL//pckA//dcuD//yibA//cvpA//
GO_0006874_8	pheP//
GO_0006875_7	murJ//secB//thiM//clpX//yijE//cysC//dpiB//yagI//intQ//norW//clsC//flhC//epd//gspJ//ybcF//chaA//diaA//mdtK//csiR//ydfG//hda//
GO_0006876_8	artP//
GO_0006878_9	hyfF//ybbN//htpG//preT//lldR//
GO_0006879_9	fepA//mhpR//garR//ppx//yfcF//aceF//potD//aroE//ybjI//mscS//malK//
GO_0006880_4	chbB//dpiA//tesB//
GO_0006882_8	intF//
GO_0006883_8	gapC//ilvC//ftsH//
GO_0006884_4	ilvC//rho//ydiP//idnO//elaA//
GO_0006885_9	nrfD//nrdB//sodA//envR//ydaN//coaA//yihV//fumB//narK//rlmL//kdgR//
