#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	cmtB//lgoD//sucA//rluB//
GO_0006749_5	infB//casD//eamB//cydC//yhhT//malP//aaeA//
GO_0006750_6	fkpB//mgsA//
GO_0006751_6	yfcQ//bluF//
GO_0006753_5	yfaL//ivbL//yjiX//hypD//fixA//dedD//yadN//intZ//tynA//fadB//mutM//clsA//aaeB//arfA//ratA//glnL//prs//sdaC//manA//yihW//ybaE//abgA//tyrB//rplX//recC//rzpR//add//nagB//setC//lspA//dinG//hicB//iscR//adeD//purU//lhr//yigB//yghB//glmM//yeiL//ampG//xthA//gadC//uacT//xylG//ulaB//ybcC//alsA//yibA//ubiD//rhoL//tmk//nei//glnH//tesB//purT//purD//tonB//yieH//fdhF//yajL//torD//cbpM//prmA//adeP//essD//purU//pabC//ndh//acrR//gshA//allC//aslB//yhaV//rplB//glxR//nudB//recE//dhaR//casA//yfbS//mepH//mdtB//mlc//paaX//thyA//ftsY//abpA//fdx//tyrA//gspF//mdtN//ycfL//cysA//ydiR//rpiR//yggN//dacC//msrA//rhaA//yihW//mqsR//mdtQ//xerC//ydeM//fucI//yeeJ//ghoT//prlC//
GO_0006754_6	mhpC//mdtC//yggD//yciK//ynjA//dkgA//rph//pflC//fabD//yccA//yjiA//betT//lpxD//creC//greB//sad//murD//yjiX//ybhF//lrp//yhcN//rsmB//
GO_0006757_5	nrfA//parC//nuoB//recO//creB//greA//nudC//rsmG//ihfB//gatY//ymjB//hipB//bglX//rutB//ubiC//ais//pdeF//brnQ//appA//
GO_0006760_5	yhcH//dacD//cmk//pgpB//nudG//ybcM//flgI//sapF//lpxP//ychH//asd//cusA//truC//ydiK//manY//polA//
GO_0006761_7	rpnB//
GO_0006766_4	dacB//rclA//yfeR//nrdB//lon//ydcP//ycbB//frc//npr//phnH//dinG//xylE//gmk//hslR//yahB//thrA//sdhD//chiP//rfaE//adk//hslU//agaV//rlmJ//elaD//gadB//cpsG//moaB//yadN//dapF//selU//mfd//ydjE//sstT//kbp//panB//dhaK//nlpE//csrA//clpA//ubiH//phnI//folA//waaO//pepQ//prkB//dinQ//mltG//hiuH//ynfE//dmsC//yccX//nadE//pinQ//crl//dut//cheB//citC//cdaR//insE-1//yihT//adiC//creC//cfa//clpS//priC//murB//fecB//
GO_0006767_5	ygfA//narH//kduI//gltL//orn//rluC//dcuR//ymgC//yphD//kdgR//dhaR//phoQ//ycbX//yjtD//aspC//cysB//ispH//queC//ydjM//fepG//prlF//oppD//yagE//pheM//ybaO//ybeF//cusS//agaA//ilvD//mgtL//greA//leuA//yjjX//lptF//rraB//allB//yhbX//gmk//gutQ//rspB//rpsE//rcdA//dcuC//tadA//ygjR//dcp//pabB//ygfX//ftp//dnaX//opgH//dkgA//fes//gcl//menC//fucK//rfaC//acs//nagB//deoB//rclR//nfuA//gloB//ytfP//tauB//xanQ//
GO_0006768_5	msrC//ybdR//phnC//ypdI//idnD//rdgC//sodA//malE//ruvA//ydcO//yfeR//nadE//glk//
GO_0006771_5	caiD//paaC//pheS//pliG//cusS//rpmF//nagB//atoS//
GO_0006772_6	apt//sgcX//phoP//ymgC//intQ//yoeB//gltS//pfkB//potA//orn//fkpA//serB//
GO_0006775_5	waaY//
GO_0006777_5	alaS//yddA//frdC//rpoD//curA//alaS//menE//ppiA//cmtA//
GO_0006778_5	yihT//nrdG//rssB//tauD//yahD//alkA//creC//acs//rlmD//rffG//proW//speB//dxr//ybhD//yoeE//
GO_0006779_6	xthA//nrdF//rsmJ//yeeL//uxaA//mscK//ydcP//dsbD//sgcR//waaO//hofP//ascG//asmA//sufC//recJ//
GO_0006780_7	hupA//
GO_0006782_7	mhpT//lpcA//yfaX//ydeE//dgkA//sufB//hscA//
GO_0006783_5	dnaC//rplK//yfdC//bdcR//nuoH//proW//tadA//rapZ//lasT//
GO_0006790_4	asd//hipA//astC//yjtD//lolD//yfaE//wcaC//pheA//infB//dgoA//ydhJ//yqjH//mreB//queC//ttdA//frlB//qseB//panC//pdxY//ydiP//cynX//entB//asnA//cobB//ldtE//waaC//yfjR//nrfF//yigL//sgcR//ydiF//torZ//mltA//astC//yqaE//manX//lpoA//narK//der//tyrB//fliL//sdaB//ydjL//acpH//fdnG//eptC//narI//bglX//yhjD//yihP//ycbB//guaD//rarD//hemD//lpxB//mrdA//kup//ppiC//nlpI//ldtA//fumB//rsmA//cspG//thiP//fixC//malK//napC//hyaD//frvB//alsA//aldB//mrcB//trkA//asd//gldA//ybhD//yfdS//adiC//lsrB//mdtA//ydeE//pbpC//bioC//ftsK//acrF//glrR//rplR//sspB//yegS//lhr//lolD//yajQ//ydiZ//dnaT//mhpB//cadB//coaA//psuG//glnE//yoeB//yeeL//queF//tnaA//ssuE//
GO_0006792_4	narJ//
GO_0006793_4	efp//atoS//ldtC//aceK//cstA//putP//creB//borD//htrE//fimE//tsx//ybaM//lacY//phoB//patZ//ygiV//tktB//ttcA//fmt//kefB//ndk//talB//bdcA//rpsM//aaeB//mpaA//cnu//tdcC//thiM//malS//proX//cdh//yidP//rtcR//gsiB//ddlB//galK//dgcJ//kdpB//guaC//hslJ//fdnI//tcyJ//yneL//ubiF//rbsD//ynfL//gspE//nikD//tabA//ccmC//caiF//cysM//ybhI//livF//hslO//glgS//mngR//ybhF//pphB//ldtD//yggT//rapZ//rarD//cas3//ydeO//cfa//fieF//ybaL//dtpD//hyaA//hslV//glpX//tig//glnL//yggW//dgoR//cysH//lepB//yjjB//mfd//nuoF//lsrR//purB//eamA//arnA//rcsB//ung//speF//ygcR//rpiA//rplE//hfq//nrdH//glpC//yeeL//sdiA//dadA//gnsB//yhbY//tolC//lpxL//xerD//yadC//ascF//yphC//eutD//asnB//yeaD//ygfI//glnQ//yjhH//srmB//clpP//cnu//holB//rfaE//livG//yggD//ppiD//ybhA//ybiH//yrdA//smpB//yibF//ygfI//soxS//sucB//ymdB//mlc//argG//torS//holB//abgR//dnaG//patA//opgH//chbF//rpmE//pyrF//hisG//tisB//ygcO//kdpF//zntR//speG//murB//yfaU//secY//sstT//uidR//hypE//tar//priC//mdtI//yggE//yebS//crr//trpL//rcnA//phoB//ychO//ftsZ//aaeB//yihS//cirA//zipA//yddA//ydcO//pphA//tatE//ndh//yfjR//kbp//priC//blc//prlF//pinQ//phoR//yqjA//cadB//ydgA//dgoK//ygfZ//ybeF//rpiR//dld//ispG//fdhE//rutD//yqgB//yfcV//hcaC//yoeB//tadA//nrdF//alsE//waaA//maoP//cpsB//dxs//flgH//mfd//sufC//slyD//tdcD//hyfA//yhhY//acnA//yeeL//hokE//katG//guaA//edd//pepD//purA//yraJ//rclB//hda//fadD//thiC//hyaC//yggW//spoT//xylB//maa//ung//yrbG//rpnB//sulA//yqhC//otsA//dosP//rnhB//rlmA//recT//thrC//yagJ//folX//ydcO//gabD//yrbG//tyrB//serA//yjfF//prmC//cspE//rpsI//rpmC//maeA//dnaA//lpxT//adhP//adk//rluF//yqiI//yiiD//ppiC//phnN//hisF//mntR//tauB//rpsN//chbR//ykfI//ykfM//npr//ypdF//glcA//betA//rutE//kbaY//dkgA//gppA//fadA//psuG//prpB//pal//yhdJ//napC//sgcX//hslR//pepQ//prs//ubiI//prmB//gatY//yiaB//yoeE//ftsK//ycaN//mngA//ogt//mtn//dsbA//ppiC//htpX//sapD//phnM//eutA//ubiJ//sfmA//panC//phnM//murJ//murQ//ruvA//rplR//trmD//phnH//rhtB//manY//pepB//yjjV//qseC//aceK//talB//ygcR//ynjA//aroG//ibsA//rluE//relA//recT//metE//dctR//fliD//yadV//metG//agaS//mepS//gabP//leuO//mtfA//
GO_0006796_5	ychH//ybgI//torD//nadD//opgD//ispU//mscS//dut//cdaR//nirD//elyC//aceB//yedL//cpsG//yhjC//ridA//etp//hcaD//tig//ligA//setA//phnC//gltP//intE//yhbQ//nrfG//rbsB//mltG//galT//ppx//ynhG//fadI//psuT//ybgQ//tisB//dhaL//rbfA//ilvC//glpF//xapA//hslR//dacC//ackA//artM//rarD//pfkB//deoB//tehB//ileS//rclR//dsbD//hemN//patZ//araH//argT//cysP//rna//opgD//fdhD//rffM//agaI//ebgR//ftsA//yfeD//ftsZ//yjiY//waaP//ybbN//cobU//rffH//ygiW//nikE//ulaF//hisA//ivbL//cysE//yfbU//slmA//rnc//ubiB//tdcB//elbB//trpA//gdhA//ybcM//ygbL//rpsB//tolB//yeaV//nadC//sdhD//yneJ//priA//ybdO//add//recX//yhaV//abpA//dxs//torS//iraP//treB//yhcN//azoR//stpA//galK//nirB//nepI//waaO//mdtB//argA//mutS//yfdS//selU//nrfC//ydcP//ydcS//spy//lamB//opgG//tyrB//asnB//acpP//yehY//tehA//metR//mdh//chbB//ybiH//yhcD//prfA//napF//entH//mdtQ//ubiX//bioD//tgt//pliG//dicB//norW//ispF//rplK//citX//accC//polB//trpC//pflC//speG//ybaT//cueR//mpaA//nadC//argG//ymgC//fabA//rplN//ygjH//purT//chbA//hyaA//csrA//tatE//murG//ahpC//cysU//ybiH//sfmA//yciG//flgJ//pgrR//bcr//leuB//yciE//ackA//yebS//brnQ//yhjC//trpE//fepG//ulaG//fnr//dgoT//ispB//waaB//metN//maeA//rutC//yeeL//ybgP//phnO//menB//rlmL//livH//rbsC//pflA//ygeR//dacB//iraM//lysO//uhpB//rapZ//fic//livF//ahr//rtcR//ydjE//elaB//ribA//ybdH//fruB//yhjC//cysS//lspA//rimK//ybcL//guaB//uvrB//tsf//rplQ//norV//yfcF//pyrG//yqhD//recQ//rbsK//copA//nhaR//dgcZ//rffG//aroK//tehA//nuoN//dfp//yaiP//yehU//adhP//yfdC//yijO//rhtC//emrE//mdlB//tdcG//yqaE//cpxR//rpmE//mutM//gcvR//pnuC//bdcA//viaA//pstB//uhpC//ykgM//ldcA//trpB//yeaD//nrdE//fimB//idnT//nudF//waaP//ybhF//nfo//kgtP//yajO//dgcE//acrF//yaiV//rpoE//glsB//btuF//gadB//yfaE//deoD//ybaM//ymfA//kdpF//btuD//bioF//slt//atpF//dcuR//mdtF//rseC//rtcR//ackA//secA//dnaT//tehA//rpoE//ruvC//agaR//tcyL//glpA//dppA//gltB//sbp//ydfH//rhtB//ybiY//emrE//sucC//holB//fhlA//arcC//mfd//yagG//tolQ//pepT//mtlD//cpxA//
GO_0006797_5	tauC//prpD//
GO_0006798_5	ftsH//
GO_0006799_5	ykfM//
GO_0006801_5	cdaR//sodC//truC//
GO_0006805_4	adeD//yhbX//atpE//ahr//ybiJ//cspD//tauB//gnsB//frlA//murG//gcvA//yphF//uraA//yjbH//pgi//ybhR//tnaB//acpH//metN//ldhA//mglC//rlmB//paoC//panZ//
GO_0006807_3	degQ//sppA//opgE//arnT//treR//ssuA//valS//rpiA//ghxP//ompC//ldcC//hyfC//dosP//tqsA//yihS//napA//dgoT//yiiM//cysS//dppD//rclC//bioC//psuT//recC//yidA//sspA//rlmJ//yibH//spy//maoP//alkA//narW//rplA//rhaS//norR//yiaU//pyrL//pdxH//adiY//deoA//rraB//ytfE//ompG//viaA//dxs//frwD//insB-2//moaB//norW//trkH//dnaB//ykgM//groL//holC//folA//rssB//rnpA//ynhG//osmY//ogt//glrK//fhuD//osmC//zitB//leuD//ycfH//bglH//dinD//aaeB//rffH//frvA//fis//mdtQ//epmB//rimM//livH//ppsR//rimO//xylG//zwf//zipA//bcsA//purN//dacD//yehA//ybdZ//menA//tatD//thiC//satP//intF//sbcB//tsf//ascB//xapB//pabC//frdA//rplR//rplT//rsmF//yahB//yeeY//lolE//basS//accC//rfbD//hflD//rlmN//rpsG//qseB//otsA//sbcD//ybiY//trpA//mltF//frwD//ybaT//qseB//prlC//ygiW//ygeX//trmH//sodB//proP//nei//ahpC//amyA//cysM//eutR//rhaT//yjhB//ygeW//lpxL//yggW//nirD//cptB//rpsQ//efeO//tauB//yjfF//ibpB//folA//tgt//astB//metG//cyaA//mdtL//hrpA//yidZ//ygdG//mntP//lamB//yddL//yidK//frdB//fiu//galE//secE//mhpR//mntP//ybeY//yggW//sbmC//araE//emrD//upp//bsmA//ynjA//metE//uidR//erfK//yjbG//ytfR//glgX//aroB//mug//tsx//pinE//grpE//lysR//rhtA//yidD//rsmH//xanQ//waaQ//yeeJ//yjhC//ybcC//ygbI//aceF//yidQ//fiu//yihX//cmtB//cytR//hisQ//ydjK//arsB//thiG//potI//gloC//narP//dadA//yejE//mltC//srlD//ccmH//srlA//arcC//ynfE//nuoG//metH//arnT//ulaA//oppB//udp//rpsN//tpiA//ftsA//cheY//tamA//mltF//cfa//ycbB//recF//fadK//fixB//nrdE//aaeB//ftp//selB//garD//hisF//exuR//dgoK//oxyR//tyrB//torC//nfsB//dgcZ//flhE//araE//sucD//rplF//yobF//ycjU//pdeL//ettA//frlA//rrrQ//bssS//hslJ//tatC//eco//mutL//era//mlaF//yqgB//hscA//ribA//cpxR//hisH//ubiC//tdcC//hda//entA//ygaZ//yecS//yoaA//ydcO//agaC//nagD//grpE//kdsB//appY//rplN//gsiC//ybiY//yqjH//pnuC//ampE//rplS//adiC//glpX//sgcA//dnaK//fepA//mscK//rpmB//gcvH//nlpE//nmpC//lgoD//bipA//ttcA//alr//deoD//yieE//ecpR//yggT//allD//dsbD//sixA//ibpA//adeP//ygcW//kefC//lit//arcC//lolA//dctA//umpG//mrcB//murC//rnb//ycjU//rfaH//smpB//ybdO//gsiC//glmU//yadN//dsdX//gatB//yccX//yjeI//lptG//gyrA//yqjI//secA//yccA//srlB//araC//yacG//murC//mntH//paaC//tesB//phoA//rdgB//mutY//yjbE//adiY//frmB//glnD//casB//sapD//wecB//acrA//eutA//tusD//gcl//minD//npr//rutD//moaD//idnD//yhjX//lolA//cysP//evgS//ypdF//ybcJ//asnB//prpC//acnA//chpS//phoB//speG//trpS//acs//ibpB//nadC//garD//nrdF//mdtP//nuoN//recA//tmcA//iscX//cyoD//rluC//flgD//rffM//idi//ycjQ//paoC//hsdR//ung//frdC//sgbU//btuC//ilvC//chbC//recJ//fmt//nrfA//pheT//potF//yfgO//pepN//lhr//metB//motA//purF//rpoA//yraJ//creB//rsuA//secE//gmd//ftsQ//acpS//lldD//tisB//yagF//murB//menB//glcE//proX//def//sucA//rutB//lolA//folD//cspB//pgl//ygeW//secD//aas//asmA//ygcR//dgcQ//cysE//fumA//csgA//epmB//cynS//yebQ//acpH//csgD//rseC//ftsW//ydhC//ydiQ//ydbK//mdtL//rfaG//menI//leuC//torA//ampD//groL//ydcR//cadA//asnS//dcuC//mtlR//pldB//mscS//lpxM//hemG//araF//sfsB//ibsC//gfcE//hexR//nrfF//amyA//sdaA//narK//trpR//pinR//aroK//glpR//yfdC//ribF//dcp//mdh//tesB//lspA//ydiZ//glcD//yadM//betI//mepH//frlC//tusB//hda//holE//livH//ydcO//nrfB//speF//yihL//coaD//rpnA//puuC//cueR//alsA//glxR//yohC//rfbB//gyrA//afuC//orn//yccA//lptF//amiB//lsrA//trmB//ibsD//yqjH//yqgF//sbcB//pabC//glgX//uxaA//yfeD//katE//xerC//lexA//fadB//mtlA//cca//rpmG//feoA//cas3//malK//kdpD//lyxK//ygeW//pepN//clsA//yhjX//frlA//proQ//bioA//thiH//ccmF//aroC//mhpA//rsmD//yahN//gudX//rihB//ettA//yeaG//panB//frlB//guaC//glnS//rho//fau//arnD//fecA//tauA//sbcD//yehX//dctA//mrdA//ftp//ydhJ//xylF//kbaZ//yfdO//yddG//yeeA//rlmN//gatY//dppC//seqA//rutR//qseB//pta//rclB//rhaS//truC//cusF//dosP//garL//accB//mdaB//arsR//leuS//recT//artP//bamA//malI//cycA//rnr//ybaQ//folP//nfi//csdA//efp//lhr//cusB//fliL//aspS//creC//araB//rzoD//sbcD//yhdJ//potI//waaJ//satP//seqA//zraS//ilvA//ygbI//fadE//moeB//oppF//yphD//moaE//aldA//csgB//folX//ybhD//soxR//gcd//trkG//hofN//ampG//secM//yfaX//hofP//ung//yqgF//dcuA//wzzB//yeaG//bssS//ftsE//tag//mgsA//menI//zipA//nagE//basR//msbA//selB//viaA//pyrC//ykfM//ugd//nuoM//metN//insI-1//prfB//dinG//ybbW//hscB//elbB//crr//uspF//fruA//dicA//nupX//rlmJ//udp//sfmA//bioP//trmH//yciK//pinR//ompC//agaC//dsbG//mlaB//mltA//ppiC//hcaB//cheA//ndh//thiP//cyoD//pflB//cysK//thiD//tisB//glpB//yhbX//rfaC//cspG//fadK//leuD//fliA//alsK//nrfB//sohB//nanA//kgtP//mioC//yieF//uhpT//pdeH//ydeM//entD//ydcS//fau//yehT//yehT//uvrC//sapF//serB//fadL//acs//elfA//rutA//phnG//prfC//ybfA//rpsH//ybfE//potH//ttdT//hupA//zntR//puuC//proX//ynaI//yraI//fadJ//tonB//secM//rpe//tdcD//tmk//exuT//htrE//uup//hsdM//cstA//iraM//ddpA//dcuA//dauA//glsA2//proS//eutN//baeR//gmhB//artM//fliZ//pphB//rseB//amtB//yqiH//atpD//glnH//bepA//selD//cas2//endA//yehA//yqaE//rfaF//acpP//ycgV//murI//plsB//sohB//hcaE//yfgI//ilvC//sucB//yahB//acrZ//pheS//miaB//yhjA//wza//dpiA//ftsL//ybaT//eno//nuoG//rbsC//dmsB//flgK//gshA//yjbG//parE//hslR//cpxA//ynjA//ygbL//sdaC//adhP//dxr//metH//prlF//adiA//caiT//yehD//ampD//ygeA//yfaX//betA//phnI//yciK//ybaK//nrfD//ssb//yahK//potE//ptsP//gadA//pdeK//rbsB//lolE//ynfK//ompG//afuB//glyS//galR//eco//galU//proW//ccmC//glpT//narJ//ybhA//menC//ycaO//purU//ispG//abpB//putA//pdeD//rsuA//ada//hokE//rclB//ymgC//mngB//rplM//wza//yjjW//bcp//ypdF//rfaG//mazG//upp//rusA//bioD//dinB//mcrA//asnB//yfaE//ompW//maoP//glnE//wecE//hdeA//yiiE//yedF//pflC//yjiA//gstB//rplF//yddM//pdeK//creB//pdeF//rlmE//umpG//proW//ycjY//pstA//puuE//rplA//yiaU//lptC//ybaL//clpA//relB//fadM//fadJ//idnD//frlA//dcp//cyoB//dmlA//iaaA//phr//yhjV//der//amtB//insB-2//cpsB//glsB//epmC//ybhR//livK//yfbU//rfaD//proP//sixA//emrB//leuE//amiB//cra//lsrB//nirB//rhaB//glnB//opgH//uspB//proC//ssuB//gudX//kefC//nikC//osmE//mukB//ybgP//maeA//fau//galK//xseB//surE//rimJ//dinQ//metF//lsrC//cyaY//nagB//amiA//uhpA//ybjD//ybdM//yfhH//leuD//rusA//yifB//glnA//amiB//ivy//ppx//hisS//asr//rpsJ//ynfH//panE//mrdB//fucO//ydiR//clsB//mdtP//ihfB//fdhE//fabZ//lolC//hprR//ycbX//yehB//ygeA//hda//bipA//yeiL//sad//rpsH//clpP//ydcI//uidC//emrB//intQ//bcsQ//asmA//rutF//ftnB//yiaL//yjeH//phoQ//cheR//cydA//flgB//cysU//rpiA//asnC//xapA//rnlB//rpsS//menB//tktB//hemB//yfbS//yrbG//yfaU//ygeW//thiI//yjjW//potF//tatA//polA//yihS//rsmC//mdtM//ribD//arnE//rluF//bglF//mltB//blc//csgD//der//iscR//rssA//pykF//yddM//ebgR//pdxJ//yhgH//arcB//sgcX//rbfA//nrdE//entE//tolA//wzb//decR//artM//ispB//bglX//ptrA//ribE//csdA//sapC//mgsA//cysD//dgcZ//thrA//iraM//glpX//wzzE//yigL//setA//ispB//dnaK//coaD//rutB//relA//glgX//livH//pgm//ydjL//argO//xylE//ydeP//aes//tomB//eutK//yidR//symE//iaaA//rimK//cbtA//mdtL//nei//fliK//glrK//proA//exbB//modB//yeeA//ibsD//gor//ppiD//thrL//aroL//allR//zapD//nrdA//yodD//btuB//yidQ//exuT//fabD//pbpC//kbaY//rzoD//rplT//yejA//narL//insK//gapC//yhbY//rfe//alkA//galF//yaiW//yiiE//zapD//gcd//ydeP//ydeO//cusF//yceK//rhlE//gpt//cbrA//ybeF//cptB//rimI//nrdI//murC//gloC//lpxK//secE//creC//argC//yidP//nudC//mhpR//thiH//ydiZ//ftsX//ileS//metQ//rpnB//gabT//yrdA//fimZ//syd//ydhC//kdgK//clpA//rph//fabA//aspC//phnG//yiaB//narK//ybgQ//dcuA//speB//leuB//ykgM//proB//yfhH//ynbD//waaP//bluR//pepN//insF-1//ilvE//srkA//flgC//napD//ompR//yieF//ydbK//brnQ//nagA//ilvE//thiQ//sbmC//ulaR//cbl//ycbX//yneL//fpr//ftsK//yfiC//arcA//ssb//kup//sgcA//malZ//yhcH//guaC//insF-1//mdtL//ubiF//efeO//puuR//waaU//yraJ//ybbN//poxB//yiaJ//aaeR//tsgA//dsbG//ybcJ//mtr//tyrS//hcaR//hybF//gltI//prpB//mglA//htpX//ygfZ//yneJ//ebgR//rluF//
GO_0006808_4	rihB//fdhF//fdhD//
GO_0006810_4	rpiR//mazF//ybiT//hyaC//nikC//fsr//glnB//nikE//ibsD//csgD//rpnC//dnaK//rplQ//gapA//rof//cmoA//ralR//aceF//hyfF//ftsQ//nlpD//alkB//rffT//nei//leuE//coaE//narV//diaA//galP//clpS//sufA//aroH//yjfF//fmt//yhdH//ubiD//xerD//nikE//yjbG//infB//ortT//yjjU//ahpC//dedD//tap//ftsP//cysM//recO//arnB//yebS//thiQ//dnaC//sgbU//panF//pbpC//cvpA//btuR//ompT//gpp//ydeI//galU//ydcR//potF//fdnI//aas//dppF//argD//pspG//mlaF//kefF//bglX//mrdB//gadC//ygjR//yefM//rlmD//gltK//yecS//crcB//tcyN//tnaC//napD//glpR//cdaR//ftsW//gntR//cmoM//sucB//pyrD//dcuC//ybhD//hypA//ileS//nikD//yraR//narJ//caiE//wzc//ompL//chbR//flgH//rbsD//fdnG//mobA//menE//cynS//tisB//znuC//ydaV//glmS//hycB//ftp//mppA//azoR//rplP//perR//cysU//tusD//fcl//glrK//mrp//csdE//cas3//baeS//glcF//nhaR//leuA//bioA//ycbV//atpE//pdeR//ptsP//chaC//umuC//ulaR//eutR//solA//dnaX//glsB//mutT//yafN//perR//ibpB//phnM//btuC//thrB//paaA//mpaA//murD//dcp//gloB//ugd//prfB//msrA//sgbH//fecD//ralR//sfsB//yphD//serC//queE//uvrA//yhjB//nikB//yraR//sapF//gabT//basS//wrbA//trmB//ygeW//fimB//acrE//eptA//hprS//mmuP//znuB//menI//sbp//cysZ//lpoA//ldrB//ssuD//yjjV//msrC//argB//fadM//mglB//araA//azoR//sodC//rfbC//fdx//sgcX//ptsG//nimR//uspG//ypdI//panZ//deoD//zapC//yfcU//ycjD//hypC//hslJ//yqaB//iscS//chaC//patZ//elbB//rluF//hybD//phnM//dnaX//yejA//fecC//pgrR//hisM//dtd//ydeT//glgP//rsmB//mtn//narQ//bssS//yacG//csgA//metN//nhaB//fdx//fur//kefF//sstT//rhtC//yghO//gcvH//rnr//infB//fadK//mntS//talB//tgt//ydhC//secF//rfaD//moaA//guaD//pdxB//rcsD//fadK//infC//rhaD//fimF//rpmC//sufD//pck//purD//manY//dfp//ygjK//araA//pfkB//rbsR//ascG//ynbB//rep//sanA//ygeV//mgsA//mog//gmk//rplX//ldtD//aer//ssuE//btuD//asd//appC//prlC//csiR//ycdY//uxuA//ycaO//mngR//ompF//ompT//tcyP//fryB//yajQ//cyoB//ycjD//queF//yfcU//xseA//ulaG//glpG//stpA//icd//nhaB//valS//dgcQ//ychO//ydiQ//metN//recX//malQ//casD//gstA//relA//yghG//nikR//ybcJ//miaB//msrQ//gldA//ruvA//insI3//gatD//parE//otsB//fadK//greA//murG//uxaA//pgaA//yebK//smpB//mrcA//recJ//gcd//bioB//rpsK//glpF//ygjK//trkA//ygaV//tsaD//prfA//cas3//basR//hinT//idi//hisM//napF//opgD//atoC//mdaB//queC//lsrR//nmpC//ybiI//tdcA//dfp//gatZ//ftsE//ybhJ//cyaA//ftsB//plaP//arnB//ansB//agaD//waaZ//cvpA//oppD//flgJ//dgcZ//argB//wza//fepC//ydfK//ompL//atpB//eptA//tdcD//tomB//xylA//fimI//puuR//ypdB//ycjP//wecE//yjbG//sseA//sseA//sufB//cas2//mazF//trpA//ybaK//fumB//yehU//sucA//sodC//ybhR//rcnR//yjjV//hcaC//tolR//hprR//rlmN//fdoG//fdnH//entB//gnd//yifB//atpD//yjeH//rcnA//tusC//potC//betB//pyrC//intE//crcB//paaX//malS//blr//setA//ydfK//rhaS//yhgF//pepB//fruA//ftsL//iaaA//rsmF//citC//fabR//menD//cysW//ilvL//yafS//rplO//araF//zraR//maa//ftnA//ilvM//ymjB//kdsC//yneE//ydjH//yijO//eutR//yqcG//feoC//cusR//rpsM//glrK//bsmA//mdoD//gcvH//bamB//bhsA//mmuM//ackA//lolD//ydfH//fliZ//minE//yheT//xylB//rhoL//hcp//tusD//recG//yfaX//gor//gltS//potC//tusA//sodB//tusD//ydaC//yjjV//yabI//glpB//wecE//xisE//holA//purF//intF//iscS//yjbF//ybiV//acpS//yjjQ//tqsA//lrp//ccmF//tsx//atpE//glpA//lptC//ybdH//adeQ//fis//yiaA//ybeF//tdcG//ebgR//intE//rplT//fimA//lpd//dicC//fetA//araB//glnQ//ilvM//ykgA//ddpX//gltB//rpoS//bglX//pfkB//hdhA//acnB//ybgI//grpE//mrdA//waaG//crp//kdpD//nikA//sfmA//greB//atpE//fhuC//metI//ftsN//mltD//gmk//rcnA//fhuB//manX//uhpB//rhaA//dkgA//yafE//yrbG//prmC//rpoE//ilvN//msrQ//dcuR//fdnI//pnp//hyaB//hemD//rhmD//ynaI//rnlB//nrfB//ulaF//yaiP//sugE//htpX//nuoM//lsrA//tyrR//ribB//hokE//pyrE//recC//pliG//dusC//pinR//rhaA//yehP//fadL//pfkB//cysP//fadR//fetA//uhpB//ychF//elbB//nanR//trpC//cdaR//dsbB//nadE//panE//cusB//ldcA//ompA//tus//nanC//rihC//iraP//dedD//yieH//kdpA//phnP//hns//nsrR//
