#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ydhJ//yeiL//mug//eutD//
GO_0009261_6	lasT//hdeD//ftsK//ychH//ytfR//clpS//
GO_0009262_5	idi//flgH//aphA//yahI//yjaA//mutT//yagE//cptB//intA//ybhF//symE//yfaU//rpmC//
GO_0009263_6	lpxT//pdeH//fsr//amiB//dld//holA//ldtD//dnaX//secY//
GO_0009264_6	cpoB//yhcD//gabP//ybaK//mcbR//
GO_0009265_7	hrpA//rsmJ//kch//nuoE//appA//
GO_0009266_4	ydaN//sspB//nth//ptsP//yadM//srmB//paaC//talB//menH//ygiW//rpsO//tatA//bcsQ//rluC//glpD//garP//hisG//nth//srlB//nfuA//xylF//mtfA//yfdK//gfcE//malZ//gntP//garL//baeS//secY//sgcB//rpsB//yhcN//rlmG//yehU//treB//pepB//stpA//panE//rplW//tmk//trpR//xylG//lsrA//dsbC//dusC//ybhP//sfmF//yjhI//nikB//gltK//yadG//arfB//dhaM//cusF//yciE//chpB//fliM//mtlA//menB//fiu//insI4//pth//betB//chaC//dppA//pheM//pabC//secD//fliL//glnH//tdcG//ydiV//fumC//ralR//degQ//tolA//frvR//adhE//ratA//yfhH//ygcO//proX//
GO_0009267_5	uvrA//yraK//actP//arnB//rplC//ydiB//torI//allB//argT//ispH//rpsQ//lplT//rfaG//trpS//greB//ydcI//mazF//mdtG//tatA//mqsR//ftsE//yedL//cspI//waaL//amyA//ydaC//
GO_0009268_4	leuA//cdh//ompN//ppiA//tmcA//mdtK//prpR//rsmB//hemH//oppA//mlaE//rplI//ynhF//yefM//fabZ//yicJ//surA//entA//bluR//ppc//ycbU//yfeO//nmpC//paaH//yidL//ebgA//aceA//
GO_0009271_4	torR//yjjB//agaS//
GO_0009273_5	ndh//elfG//bioD2//lapA//yjcO//dctR//rna//guaC//oppA//hycI//
GO_0009290_6	dcuB//alaE//
GO_0009292_4	mraY//dps//
GO_0009294_5	cobB//pspF//
GO_0009297_6	acrD//flgA//idnK//yhjC//yiaF//appB//pckA//hslO//tsaE//mutT//yojI//entB//uhpA//gudP//
GO_0009298_7	soxS//casE//pcm//
GO_0009305_7	cpxR//
GO_0009306_4	coaD//rhaM//ybhP//mhpC//patZ//nuoB//rpiB//
GO_0009308_5	mrp//ybcL//glpX//insA-2//yajO//sspA//allB//ribE//pheS//yejE//rssA//yjiM//mdtD//yigB//murC//zapA//nuoF//ttdA//ybhR//ttdT//yphC//minC//coaE//torS//zapD//tdcE//phnP//
GO_0009309_6	hemE//ftsP//dgoD//poxB//phnI//xthA//aaeR//ampG//ycaO//gpt//ydjE//yjhG//yjbB//yigB//
GO_0009310_6	hyi//hupB//xseB//dsbB//trpL//pstS//fryA//mmuP//ybiO//tynA//yjcE//mdh//bioD1//
GO_0009311_5	pyrG//aroP//nadB//mnmE//sufA//chpS//yggF//narW//ychO//gadE//ilvH//dacC//rhoL//envC//dacA//chaA//yegS//prpB//ihfA//mtlR//yihP//hyfF//chaC//insE-1//yohC//ymgF//rssB//moaA//ybiW//pinR//cyaA//bioD2//rsmG//rcsA//thiQ//metR//yfaU//rrrQ//ygfA//uspC//aroC//yijO//ompC//dtpB//rayT//yafS//queE//rluA//dnaX//pspC//yafS//tesB//priB//
GO_0009312_6	xthA//cheA//mepM//yddM//pncB//glpR//gldA//arnT//cptB//yhdJ//fabZ//zntA//fimA//ynhG//murD//btuD//yibT//xerD//mrcA//narU//hokE//gpp//insB-2//rhlE//glmM//dnaG//nanR//mgrB//hofP//eutR//leuE//greA//mdtN//narW//ybdH//yibA//torD//yieE//mug//ebgA//dgoT//hprR//
GO_0009313_6	sbp//srlE//opgC//ilvN//hcaB//argD//znuC//ebgR//ynhG//lpxP//
GO_0009314_4	asr//setB//lptA//ydhC//sufE//lacZ//exoX//lysS//fic//tas//sfmF//phoB//ycgR//aroE//rfaQ//znuC//cyoC//ynfK//galS//atpH//iraP//rna//tynA//tap//yobF//clpS//adhP//hchA//rstB//aroH//yecS//glnB//mqsA//yidK//yhaM//trg//cyoE//yfgI//moaB//modC//aroK//livK//opgH//ydbK//rclC//sufE//mdtL//cvpA//malY//ydeP//rpoA//mdtP//malZ//ypjD//ygdG//yigL//rcsB//yjbE//cirA//iscX//setB//mhpC//cysD//proW//yadG//rhoL//bdcR//proA//dctA//umuC//yidA//lapB//eutN//panD//queF//mdtA//yjbB//yihW//narG//pepD//yfhH//dinG//coaA//argI//ldcC//nemA//mukB//ychH//ytfQ//queD//eco//feaB//
GO_0009372_5	yjhI//rpsD//waaF//
GO_0009394_6	nlpD//yfeW//insE-1//flhE//yihU//frvB//fumA//
GO_0009395_6	dpiB//
GO_0009396_6	rho//rplL//apt//speF//dsdC//yehC//sufS//ybcC//treF//thiG//phoU//
GO_0009397_6	yjbG//yjcO//
GO_0009398_7	emrY//
GO_0009401_7	nusG//sucD//dsbD//aidB//mepA//ftsY//ybhF//yhcF//sfsB//hypC//yehX//yqeF//allR//tsr//hemE//dauA//uspC//plsC//rimM//fklB//avtA//lpxC//mqsR//treC//purU//lptG//rpsP//kdpD//aer//glgB//nanC//pgaC//serB//cusB//pfkA//yagU//arsB//ibsA//glpK//uvrA//malG//nudG//ghoS//flgE//yghW//entC//ydjM//afuB//sdhD//ilvL//hdhA//rplX//
GO_0009403_5	rarD//
GO_0009404_4	umpH//pitA//leuE//yfcS//rnd//yjhC//htrE//arnB//fdnI//aroE//ispA//argO//ycfH//betA//yqjH//yaaA//recN//yggN//clcA//
GO_0009405_4	nimT//ftsH//yejB//
GO_0009407_3	gcvT//ndh//rpsP//gapC//iraP//lysS//kduD//ghxP//pgpC//ushA//eptA//rzpD//fliA//emrD//spoT//glvB//
GO_0009408_4	livH//yabI//coaE//oppF//yedP//yqeF//yfeO//dnaC//ybiH//pepB//opgD//caiB//narU//atpB//yihQ//yfeD//rbn//rlmI//yjjQ//glnK//dgoK//insK//rutA//ybaQ//ruvA//ompG//atpG//rlmI//gatB//yehZ//phoA//rhaB//osmC//trpS//rclC//tusE//leuD//yahD//casB//nusG//galP//hdfR//nupX//crcB//envC//rcnR//tar//ybiJ//glpF//selD//yjbE//aldA//zapE//csgB//fhlA//yrbG//ade//uvrD//era//adhP//
GO_0009409_4	yidP//sodC//cusF//hemL//cysS//xylA//yihV//waaC//yciV//dxr//galP//hisA//der//ftsY//yhcF//ybeQ//tnaA//ulaC//
GO_0009410_4	nepI//
GO_0009411_6	cspG//yqhD//guaA//argC//yiaN//yafS//hcaE//mltG//rbsK//nrfA//ddpA//ulaG//recX//fliS//envZ//ruvB//
GO_0009415_4	cirA//
GO_0009416_5	pabC//fimI//rpsQ//hupB//ygiB//talB//mdoG//fadL//lrp//adiY//fetA//recR//nhaR//purU//fimE//hslR//yfjR//btuB//pdxB//
GO_0009423_8	rffC//djlC//insI1//hmp//
GO_0009432_5	ftsL//yahO//intA//rpsK//flgH//aspC//yihQ//hldE//mlaD//ynhF//yqjI//napA//topB//rclC//rbsR//yajR//mntR//trmJ//galF//chbC//frwB//etp//
GO_0009435_9	gltL//roxA//ppk//cptB//ompR//hicB//cspG//emrD//frc//
GO_0009436_6	yieH//rlmH//yadI//cpxR//
GO_0009437_5	iscU//ahr//alsK//epmC//ldrA//gdhA//araD//
GO_0009438_5	yjhH//miaA//aroE//aroG//csgB//hycB//pdxA//ytfE//yqhC//prmC//rfbD//torA//ydaV//dnaQ//pntA//ltaE//yfeW//ecpR//glpG//dnaG//pspD//der//lysO//dtpB//yafQ//yfbS//speF//pckA//gpsA//cyoD//
GO_0009439_5	wzzE//yhjG//hypD//
GO_0009440_6	ynaI//flgA//aroB//
GO_0009441_5	yggF//mreD//pinE//pstB//appC//
GO_0009442_7	yoeB//dcuD//puuD//tdcR//secY//
GO_0009443_5	cspA//ybhR//ybhD//
GO_0009445_5	oppB//yqgF//araB//mdtQ//ftsQ//ilvH//clpS//chaC//ybjC//prpC//
GO_0009446_6	ybgP//fdnI//
GO_0009447_6	syd//mepM//cysC//selA//nrdR//fruB//stpA//cyaA//
GO_0009448_5	pdeD//gatY//xylR//ydiP//
GO_0009450_6	galM//yfhM//acpP//gapA//
GO_0009451_6	yehC//ycjR//dhaL//artM//atpG//artI//yabI//nlpE//iscU//paoC//uvrB//yraI//tcyN//fryC//nrfG//artQ//ptsH//eutD//napD//dppB//truD//purC//hslV//ymfK//degQ//flgM//ybaL//yehB//ftsE//kbaZ//yhhZ//znuA//dicA//ybhD//ycbV//casB//yeiE//bamD//yihO//mngA//glgB//eutK//upp//fadJ//artQ//tauC//fixC//arnE//hipB//mdtB//torC//rlmG//dxs//caiD//fepC//clpS//pgpC//hokE//mepH//aroF//ykgM//evgS//leuB//murQ//gsiC//tnaC//sgcR//nrfD//pntA//hybB//sspA//mhpB//dtpD//ascF//asnA//fklB//orn//oxc//ccmF//dsbA//mglA//murA//livM//
GO_0009453_4	cpsB//
GO_0009454_5	agaC//
GO_0009593_4	arnT//ileS//
GO_0009597_5	gnd//
GO_0009605_3	pgl//ygjK//recO//bioD2//lepB//nhaR//sdhC//sxy//dtpD//ychF//bacA//fadD//ygjH//fdhF//cobB//cbrC//cspG//ykgM//trxC//dcuS//ybdM//yghG//kdpC//uxaA//solA//xapR//mdlB//secB//ypdI//mazG//prmA//narX//gcd//gadC//ghoS//aroP//dusB//prmB//epmC//yfaV//uof//uof//scpC//menC//torD//sdhB//flgI//sapD//rpe//lolB//carA//tatD//gloA//dsbB//fixC//recJ//cspD//pntB//caiD//murJ//torA//yehA//ygjH//cpdA//gpsA//cyoC//gudP//ampG//cheZ//exuR//torS//cusC//ttcA//fimE//rspB//mtlA//yfiE//
GO_0009607_3	gsiB//bioH//kdgT//lgoT//modC//tufA//yebG//yehZ//xanQ//casC//fdnG//lysR//glnL//citC//
GO_0009615_4	livH//rhaD//hslR//clcA//oxc//yihW//btuE//gspI//cysA//raiA//yfbR//gspE//fau//cstA//
GO_0009628_3	pta//dfp//yfcP//tcdA//hokB//ftsE//thrB//yifB//cusF//tusC//yiaA//nrdE//gcvR//dinG//garD//rayT//metC//hdeD//rhaT//yiaJ//kefG//yidR//alsA//ygjH//galS//srlA//ygjR//hlyE//talB//mak//yagI//mntR//mrdA//yqiH//phoU//gutQ//dmsA//paaB//pheT//lysP//dicA//gatC//ybfE//ybbW//yadI//ydcO//araB//glnQ//rnc//ybiY//pheP//yhaM//mrp//fecC//ydiR//erpA//frc//nanE//truB//fucI//leuE//ybiJ//ibsC//fryC//ydcT//yjcO//yneL//yihR//yjcE//rutF//cspI//tdcC//purC//cobU//sxy//eutR//tufA//fic//manY//norR//nikC//dcuB//uxaC//menF//glcD//mglB//cyaA//dgoK//aspS//narL//yfbV//glmM//yfjV//priB//glgC//abgA//yebC//zraR//aas//appY//grcA//wzyE//ynfL//focA//pdeD//uof//bioC//corA//yehC//roxA//yiaT//dkgB//yajQ//hpt//nrfD//pgpB//yddA//yjjU//stpA//gpmA//chbC//cusB//rfbC//ybiS//csdA//proC//fepE//cynX//aroB//zntR//intF//yneL//ymfK//yehD//ygiW//pepD//yqhD//serC//yadG//hscA//amyA//envR//hcaD//eamB//ruvC//flhD//mdlA//betA//rimJ//iscU//cbrC//ydeT//yjjX//envC//ugpB//yeaK//ybdO//nth//panF//ytfR//yejE//pagP//lpoB//yfaX//insA-1//atoS//fes//ccmC//rpnA//cdgI//syd//barA//tsf//cobC//paaH//trkG//tmcA//hscA//tap//aroG//gatD//sgcA//ahr//ybiT//envZ//atpB//yohC//pepN//ybiJ//yaaJ//dicC//pepQ//ghxP//mdtJ//fdnH//ydiR//dkgA//nrfF//pdxJ//actP//xanQ//tolA//trmL//hinT//rplM//bepA//ldcA//ybeY//nrfE//kbp//ybhG//elfD//gldA//yqeG//yiaA//eutD//ybhP//pabB//fumB//aspS//yciE//casC//rhaB//cobT//flhD//fdnI//hemL//prmC//iscX//soxR//
GO_0009635_4	uhpC//
GO_0009636_4	srlB//smpB//ptsI//ubiG//fucI//entB//waaO//plsX//gmk//gltB//tpiA//lpxB//pheS//miaB//clpP//yjjV//hisA//aroE//bioA//mtr//yghW//wbbK//ypdF//ldcA//speC//agp//yejF//hofO//nuoI//cra//paaG//
GO_0009637_6	rluE//
GO_0009651_5	rlmA//ygiS//rutC//lipA//lexA//pnuC//
GO_0009653_3	luxS//
GO_0009696_4	ydeI//
GO_0009697_5	bamA//
GO_0009698_4	nuoB//
GO_0009712_6	ybiA//hslJ//yjjB//glnQ//araC//ansB//baeS//ybiX//rpoS//uvrY//
GO_0009713_7	yajL//wecC//mppA//livJ//mreD//lexA//exbB//mliC//thiH//
GO_0009719_3	yghG//chpS//puuB//
GO_0009730_5	ihfB//
GO_0009743_5	agaS//
GO_0009785_5	ybgQ//
GO_0009850_4	yicJ//solA//lgoT//fur//queE//sulA//intA//dacC//trpGD//cbrC//pphB//rplD//pepT//
GO_0009852_5	purN//narV//cysB//mak//ggt//mdtN//thiM//rhoL//yfiR//mtgA//sspB//rcnA//fsr//
GO_0009889_5	yodD//dbpA//tusA//ybeY//ydfH//dfp//acpT//kefB//hemG//aldB//groS//yihX//kefF//rpsJ//ygiB//tauB//yidL//acpT//cheW//gadB//rclB//torD//ispB//accB//pabB//elaA//metI//yjbF//ptsH//atoS//hemE//tyrS//lpxP//ygeA//wecE//gltL//mepA//melR//wbbK//iaaA//yggX//phnM//hisF//dusC//uvrC//rpsK//psuT//ybhI//yfjV//araD//metE//arfB//htpG//treC//speB//chbB//fixC//murI//slyD//ulaE//lspA//hiuH//rng//yihX//frc//guaD//cobS//mntH//degS//yibT//tatB//tonB//rutF//metQ//hscB//secE//phoE//tamA//fadD//cynT//yebG//eco//yqeA//livH//gntT//appB//atpD//pgsA//narV//feoC//ynfH//mfd//yehD//sdhC//yfgI//ybiX//tbpA//hofP//gadB//glpG//rplL//ilvM//aroH//gfcE//yraK//yihI//dusB//ribC//rpnB//pinQ//recN//hybB//trpGD//ccmD//ybiJ//ubiB//yejA//iraP//gltP//rcnR//prlF//priB//dsbD//tusE//phoA//thrS//htrE//glsA//paaE//menD//ynfK//ybiT//grcA//gor//umuC//flgF//thiL//nlpD//atpB//trpR//kdgR//ybeY//epmC//ynfF//aes//recD//cheR//argP//prpD//htrE//hemB//epmB//yhdZ//ygeV//araC//queD//allR//dacB//kefB//cobC//pfkB//puuR//insE-1//ugpC//cyoC//yehC//lpxP//insE-1//fieF//gloC//yibA//rcsB//tas//fruB//manA//menB//udp//lptE//kdpD//hisG//folX//argG//yqhC//cysK//cysK//thrA//infB//ebgA//glrR//ssuC//ftsB//rhmD//fimZ//rnd//chbG//fadM//dmsB//gfcE//ybfE//wzb//srlE//lpp//yghB//ddlB//ygfI//chbA//yedP//creB//ispA//yfbU//eutB//yibH//pta//mpaA//proP//kbaZ//flhA//sgcA//yfcF//zur//pgi//ybaO//adeP//lptC//ruvA//accD//panB//gadX//yqgF//ydgA//yadG//nuoI//hypF//rpsI//norW//lsrC//ydfH//rimJ//sbmA//rnr//rhmD//fkpB//iraD//ybhG//yejF//malI//sgcR//nagK//moeB//truC//pfkA//yobF//caiF//epmC//flgE//yiaL//yafC//dtd//nemA//aroH//deaD//cpxA//flgH//mppA//betT//relB//murI//recE//pheS//srlD//nudG//cfa//yjiX//cysK//panB//treB//torD//bdcR//btuE//nmpC//prfA//ttcA//hisS//ycjP//pheM//pntB//yeaD//mutM//galS//pgaC//mobA//ypdF//norV//glnL//rsmA//higA//dppD//hypT//agaA//argP//tdcD//tatA//fimC//murR//yidZ//nimR//speB//lpxM//emrD//ogrK//rihB//higA//torZ//yddL//fucA//metH//
GO_0009890_6	rbsR//rimP//yabI//yidA//upp//ycfS//exbD//sgcC//uxuB//hemN//rpsT//trg//mutS//potC//idnT//mglB//cheW//dnaE//nrdB//pphA//hycA//sucA//actP//rlmM//map//rluF//yhgF//ldtB//cvpA//moaE//agaR//ibpB//uidA//ybgQ//nhaR//dacD//hisC//lysC//lrp//ccmA//era//tauA//pgpA//ydaC//uhpT//ibaG//lpxD//dkgA//rsmF//yqjA//gntT//rfbD//mdoG//yegV//yecS//pitA//cspD//fdoG//trpE//insA-1//ilvN//treB//dfp//sodB//zntR//glcF//nimT//bioC//deoB//malY//insB-4//argD//ralR//yhiM//sgcC//cfa//yraI//yeaG//umuC//sgcC//menI//sfsB//eutD//fepC//yoaA//glyS//bamE//ypdF//pmbA//phoR//pflB//udp//mgsA//gpt//mdtM//ychO//stpA//deaD//ykgO//caiD//sfmA//fepD//ansB//gcd//mglB//paaJ//yrfG//chbB//evgS//pspC//cpoB//yedF//kefC//pheM//panE//ulaR//erpA//fdhF//blr//creC//iscU//
GO_0009891_6	hisF//copA//ydeI//yrbG//holA//aaeR//mraY//slmA//wcaB//ybiS//yddL//csgB//hprS//adeP//valS//pliG//nsrR//metN//elbB//yphD//sgrT//fetA//yaaU//galE//ddlB//frlR//dgoK//sgcB//hemD//flgC//ribD//agaI//ldtB//csgD//insI-1//ppiA//znuB//btuB//hflD//gntP//waaP//folE//modC//prpB//rplX//tehA//yfhH//gor//mngB//ybjN//coaE//hsdR//rluA//ibsC//apt//ulaB//pagP//pdxK//era//rlmF//tdcR//panZ//appA//trpL//ubiF//atpF//yadK//yigB//leuC//betI//acpH//ubiE//zntR//curA//narV//ghoT//chbA//degQ//narX//insE-1//cbeA//garP//acrE//
GO_0009892_5	yrdA//mntP//hemH//yacG//yagI//araF//ydiO//yehZ//uspC//avtA//purC//mcrB//sodC//speA//sohB//mtlD//rihB//dedD//bglX//ycgV//nfuA//phr//hycB//potD//cysZ//aphA//glsA1//napC//clpX//xylE//allC//leuD//map//nadK//pdxA//yefM//yjhC//speC//mdtP//cca//hisS//ompF//fes//nrfC//sodB//yajR//galK//hybB//rraB//hyfC//tyrB//ydjJ//osmY//mlaB//skp//agp//ytfT//argR//hisQ//mocA//rnr//ykfM//lpcA//pdeK//ecpR//fetA//insI1//ymgA//etk//intF//fecC//intS//mcbR//fliL//mdtL//hisQ//fadI//acrB//hmp//yjaZ//gatB//ampD//ydeO//lsrK//comR//waaQ//hisB//mdtE//ltaE//ycfH//accB//araF//leuC//yfbU//dmsA//secF//yehY//ydcM//caiF//epmC//cusC//ybiA//arsB//chbF//pgaD//eutB//corA//yehY//idnD//crr//dxs//entC//gshA//fabA//frwB//kdsD//abgT//yhcF//gpr//aes//ddpA//hyfC//mnmC//mntS//nfsB//oppF//nanT//yggX//deoR//nrfA//yaaU//araB//mdtC//yehA//ygcR//arnE//yahK//ahr//glcE//yjjV//ydaC//pflC//yiaF//rna//dnaK//ybjC//
GO_0009893_5	mraY//umpG//mlaE//tsaD//agaR//lpxK//hyaA//arfB//ispU//yphF//malS//bioD//mcrB//tusD//yidK//cyaA//cas3//hofC//deoC//yibT//fruB//xerD//yiaF//kdsA//yhdX//hybF//insI3//rssA//hisS//ybbY//dcm//mgsA//metC//ynfE//osmC//pmbA//mmuP//iscX//glnB//glpD//nmpC//yggX//yajD//dmsB//pspG//hupB//bioP//flgI//rpoS//ychH//yjfP//modB//recX//ruvB//yphB//sucC//ycbU//hslU//insA-1//edd//sbmA//mutH//dgoR//basR//wcaJ//birA//hybB//kdpE//tdh//yqgF//cmoA//galR//cysE//lgoR//nrfC//tdcC//mdtQ//afuB//tyrB//rsmJ//gsiC//thiD//napB//trmD//hscC//dppB//mobA//yjbB//lgt//cbrC//der//yraN//tsgA//sdiA//aspS//ddlB//casC//rcdA//arsB//
GO_0009894_5	aqpZ//yhdZ//melR//frc//dauA//ptsI//ispF//ychH//ftsW//narJ//arnE//asmA//hybD//yiaM//
GO_0009895_6	yehU//bdcA//fryB//ybiS//
GO_0009896_6	hemB//lplA//rplY//
GO_0009966_5	mscS//
GO_0009968_6	perR//
GO_0009970_6	fimA//ybdM//selD//
GO_0009972_10	purT//
GO_0009991_4	ynbC//clpB//valS//sfsA//lolC//focA//ygcO//menB//bglA//atoB//pdhR//aceK//aaeR//glnQ//metF//menC//hslR//yohC//btuE//dtpC//glvC//rluF//yegS//acnA//ybhG//glsB//ppc//ampE//yeiL//cbpM//rodZ//panD//hyaA//nanS//bssR//yiaA//ygeR//deoB//fdhD//yfaX//malZ//leuB//cysK//fecD//leuO//frmA//ompC//fucA//rutG//hmp//rseB//ygbL//pepB//phoU//zapD//hdhA//yidA//gntT//dld//uraA//carB//ompA//entB//
GO_0009992_5	yhgH//pinE//yiaL//dmsA//
GO_0010033_4	ftnA//ilvC//lysS//araB//malP//livM//marR//hdeB//pcnB//soxS//chpS//ydjJ//asnS//aldB//dnaJ//mhpA//pgi//frlA//pgpA//insA-1//cynS//cvpA//preA//rseP//yfdS//yfdC//yjcO//yabI//nikE//yifB//phnI//ygeX//spy//casD//caiF//thiM//pflB//glgP//dkgB//yjiR//mcrB//rtcB//trpL//
GO_0010035_4	yeiE//dtpA//mutH//fabD//ycdX//srkA//ftsI//setB//mtr//yebQ//melA//ybcM//mgtA//csgD//artJ//psd//ygfA//yjbB//rimJ//flgJ//ilvA//glpK//cynT//ymjB//tatC//tsr//glpD//envZ//rplQ//groL//nfo//ymjB//rhlE//yqhC//dpiA//yqgF//metQ//flgM//fdhF//mraZ//higB//cheR//mngB//insH-6//rffC//gabT//gpp//dapF//yhaV//zinT//trkA//galK//ygaV//kdpD//livF//ltaE//mdh//yidD//insH-6//ompA//ftsE//tomB//torS//ygjK//fimG//dosP//dinB//cmoB//chiP//iraM//ybiA//tsaC//gloB//ftsE//argK//csrD//
GO_0010038_5	metE//pinQ//purN//glrK//rnb//yfaU//bioD//phnJ//nrdD//adeP//zupT//ydiR//rpsJ//clsB//truC//thiE//waaZ//ycjD//bipA//hisI//gudX//umuD//waaJ//malP//ygiN//ybdM//wzyE//dgoT//dxs//fetA//kbaY//queC//phnC//dam//dpiA//upp//dsbG//ghxP//yciT//yihV//trpC//wcaJ//yfjV//gntP//ycbV//
GO_0010039_6	dps//yddL//hxpA//yehZ//hflX//pitA//gshA//
GO_0010041_7	intZ//fruA//ydcO//fdoI//motA//rnc//
GO_0010042_6	ydfD//fruA//
GO_0010043_6	acrZ//fdnI//eptB//kdgR//glgS//sanA//
GO_0010045_6	bluR//serS//tap//
GO_0010106_6	yegT//
GO_0010124_4	ydiQ//rnhA//eno//rpsT//ycfH//sdaC//fadJ//insB-4//ribA//kbaY//yieF//rplX//rclA//
GO_0010133_7	aroL//
GO_0010139_7	prfB//
GO_0010165_6	yihU//yjbB//clpB//plaP//narK//ycbU//asmA//aslB//ycjP//cynX//dcyD//gmhB//ftsB//citC//rhoL//yehX//
GO_0010167_5	hemH//cysW//
GO_0010212_5	idnD//nrdH//srlB//yhdJ//rffT//betB//xylE//gatY//pepN//aroF//eco//yejE//ygjK//bfr//arsB//appY//gabT//ppx//slyA//mdtO//lpxD//pfkA//aspS//ghoT//rhoL//ybjN//recR//ldcA//
GO_0010226_6	gpmA//
GO_0010243_5	fliD//oppC//msrC//dfp//syd//ybiH//agp//btuR//frlR//yphF//nrdE//lpp//mdfA//astC//lsrA//queE//
GO_0010269_5	insF-1//
GO_0010272_6	ptrA//bglX//ygfX//fruK//mrcA//gor//
GO_0010273_4	ftsQ//recN//betT//manZ//yjbB//ychO//
GO_0010288_6	yajO//
GO_0010312_3	aes//
GO_0010332_6	ghoT//
GO_0010350_6	yqaE//waaQ//
GO_0010438_6	thiQ//paaD//nemR//slmA//
GO_0010447_5	gudP//trpGD//proS//ispB//dapA//ugpB//ytfQ//rspB//hybC//aroF//rsmJ//ddpX//asnS//lpp//astB//tmk//emrY//yidK//mglB//hdeD//phr//
GO_0010466_7	allB//paaZ//
GO_0010468_6	fadH//aaeB//grpE//dmlR//yajQ//entE//hcaC//cheR//leuC//mutM//alaS//ykfI//gstA//fadH//ybdH//yhhY//ppiA//lacY//yciG//glsB//bacA//mntR//yhcD//gor//pgaD//cecR//ppsR//pspD//recC//cnu//yhjA//yehX//yidH//yeeL//kefF//yiaM//yfgJ//sgcE//pgk//lacZ//narI//hisS//hypT//waaL//mreC//kefF//uvrB//ybdN//yfaX//ygeV//dacC//ybaK//rcsF//yggX//tsaE//mdtB//ybfA//paaF//queD//proP//atpG//kch//hipA//ompF//glcB//yccX//cpoB//cdsA//waaS//dapA//priB//secA//yjbH//yhjX//gatY//ispB//pgaC//ddlA//tdcA//ihfA//kbaY//chbC//folE//mtr//carB//chbA//agaA//fre//mdlA//eutD//yhaM//crl//mtr//uspE//yadV//uvrD//nsrR//ugd//intE//gspE//fabB//arcC//pyrC//ygiV//fdhF//aceF//puuB//mhpR//alsA//yfdS//ygfA//atoS//tolB//lsrC//rplO//uxaB//upp//opgG//sad//fimA//agaV//ada//prlC//ycbU//iap//yidA//btuD//gspJ//yhbY//polA//yieE//potE//yjhI//rhaS//ppsA//yhdJ//hyfF//ybbY//yfiF//phoB//dicB//hdeB//ydeO//rhaT//dppD//hemG//ribD//aldA//dmsA//sgbE//tnaB//cadC//lplA//yciK//pdeK//yjbG//mhpD//recT//gabT//secE//ccmF//yraJ//yraR//srlB//mreB//ypdC//nepI//aroL//dnaJ//yeeO//cbpM//paaZ//yidR//rfaH//bioP//ribD//yibT//ispB//yhdH//bioF//mdtG//alaC//yddG//yraK//cpxR//yeeJ//abgB//mtnN//rnr//ltaE//ribC//adeQ//yfaL//argS//dppF//yciF//ybhR//ybjX//proA//hypF//mglA//pphB//kdgK//mreC//gluQ//sdiA//ydeM//flhD//pmbA//chpB//def//ais//ybhR//hchA//prmC//trpB//queA//glmU//cobU//coaA//yghG//atpF//btuR//yciT//rrrD//cheB//glyS//ydjE//ubiB//gltP//talB//yfeO//lysU//ybjI//pgl//creB//yjiX//rplQ//preA//glrR//eutA//cydA//pspF//cbeA//tufA//nudC//dicA//yajL//btuD//iclR//pgsA//argH//pyrF//ydcP//sucC//truB//ygeX//folA//panF//torI//sbmC//xapB//marA//zur//secE//pstA//glnB//torR//lolB//torC//tdcA//yqaA//murB//pyrE//proX//higA//ribB//pgpB//hemN//modC//gadB//rsmI//tpiA//qseC//fhuB//yghO//trmA//grcA//yfbR//mrcB//lysC//cadB//paaB//orn//ligA//entD//wecE//ygiW//yajD//rhaT//rplD//kbaY//ratA//eutA//exbB//ttdB//dacD//ydeM//sgcX//pdxA//queE//ompA//cheR//ybhP//waaH//yedA//fur//ampH//
GO_0010498_6	gspJ//
GO_0010501_7	garL//arcC//tnaC//chbR//agp//argE//thiD//ispG//ppx//
GO_0010528_5	manZ//
