#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	hflD//ygiS//fepA//ravA//
GO_0010557_7	gcvR//phoB//eamB//pheA//chpS//tdh//entF//rplM//mntS//tcyJ//yjiR//ygbL//apt//ygiN//ygeX//rsmC//purD//znuC//sodA//opgG//soxR//leuB//agaC//ycbB//rluA//insE-1//dicB//srmB//ydiQ//rpnC//ydfK//sucD//srkA//narY//cmoA//cynT//yjhB//bamD//dcp//gadX//kefG//vsr//tolC//aroF//edd//ybeY//ygbM//tomB//fnr//waaG//ykfM//prkB//rbsC//uxaB//lpxL//intF//bcsQ//pepN//greA//borD//asmA//yigL//rlmM//ynaE//hflD//pspC//fklB//lgoT//metH//aroH//secD//yciT//nuoE//hchA//yahN//insB-4//dacB//parC//ftsH//ydfK//yggP//cutC//
GO_0010558_7	phnM//hdhA//nuoN//yjtD//thrS//dxr//rssA//folP//yjhG//fimB//nadE//phoB//queD//yjjV//guaA//ygbI//ycjY//yqaA//insI-2//yggP//nlpE//cptB//lspA//nlpA//katG//ldtC//metB//livF//paaZ//cyoD//fimC//ybbW//mipA//yjbF//intA//yodD//ribD//glcE//potC//pfkB//chaC//eptB//mntR//ibsA//pdxK//pinR//phoR//recJ//rimP//dapB//insE-1//sucC//ybhR//glpX//thiC//proW//ptrA//cydB//nirB//mdlA//malQ//htpX//dtpA//queG//rep//ydhQ//metR//oppC//fimI//clsA//tatA//zapA//kefC//carA//tusC//btuB//lipB//barA//ybbW//srlE//ftsL//yjhC//copA//gnsB//mhpT//rodZ//agp//casB//rcsA//argI//ppsR//arsB//kgtP//rplK//cyoE//ybfE//gpmM//dacA//queD//purR//cmtB//yddL//hyfC//dpiB//actP//ada//ccmD//ptsG//dgcM//cho//mepA//bsmA//nlpE//fimZ//dmsC//frvR//yegV//yihS//dauA//yhgF//
GO_0010562_7	ppx//bioD2//
GO_0010563_7	tktA//cmtA//
GO_0010564_6	ftsN//insB-4//rne//flhC//gltL//
GO_0010565_6	rhaT//leuC//hcaC//glnA//yafQ//hypA//
GO_0010604_6	hldE//minE//torC//ynbB//mngA//sufC//acrB//ibaG//btuR//chpB//yjgX//fecB//betA//dnaC//ibsB//abpA//mhpA//hxpA//insI-1//nei//frdC//moaA//ruvC//viaA//tag//menH//cstA//ycjY//rpsO//gloC//fecB//tcdA//dhaR//yidP//gadB//cspE//livG//metL//folC//frlA//pmbA//waaJ//pphA//xanP//prpD//yqiJ//yihU//pspF//ydiQ//yiaN//cydD//ydiP//yraJ//cysD//insK//fabR//priB//kdpE//hisH//yhjX//murF//nrdF//kbaY//ybjC//nrfB//btuF//rplM//yhdZ//ypjD//cdsA//mraZ//mreC//dinD//exbB//ppiD//hlyE//ytfP//hda//yqeF//panC//rlmN//dppB//kefB//clpP//folM//yfeR//malZ//ghoT//phnO//ybhP//ynbD//fdnH//ccmE//
GO_0010605_6	codA//mltD//hrsA//ubiI//yigL//ilvH//tas//gapC//trkG//pfkB//degP//moaC//rstB//yphB//srlA//cbeA//rna//sucA//tktA//menE//fliS//thrS//ulaD//sapA//gltD//ybiY//rplB//dsdC//serC//ycdX//rnlB//rplM//shiA//entE//mtlD//xdhB//yajO//yidH//lon//mltC//selU//ldcC//nrdR//lamB//mgtA//emrE//ascB//rfbD//nagA//phnO//metK//ymgA//mdtP//pal//yghO//rnlA//yafO//fadR//wzzE//arnF//metF//dtpB//gloB//thiL//tatE//nuoE//tynA//rpmF//yebZ//mtlA//sdhC//cmoA//sufC//puuR//ydhK//insB-2//rof//ybjC//fkpA//tamB//rfaH//yihI//yqeG//yidA//priA//rpoS//secF//pnuC//yiiM//aceA//folE//fetB//yebK//yjjV//yodD//ebgA//fliK//ppsA//rimO//nupG//dut//lptE//ltaE//mobA//cheR//yohD//rluC//ymjB//gdhA//speD//pepD//lpxL//acpS//yfcR//ygaZ//rutE//araC//glsA//ampH//ybcM//potD//treC//wrbA//katE//hyaA//potA//preT//cmk//aceB//rcsB//nudF//lhr//ybgP//argR//zupT//araC//flgB//aroA//atpF//trg//bglH//nhaB//rimM//bioF//
GO_0010608_7	fimZ//glk//ugpC//hisP//yafS//caiD//ftsW//tmcA//mscM//exuT//yedP//ybfE//yahN//cysS//lldD//truA//allB//mscL//priA//lysA//gltX//lapB//sbp//rnr//ygbM//pdeR//frlB//sufS//yceO//allC//rcdA//nudF//glcF//rclC//gadA//mutH//yqcC//pyrC//ygjR//cydA//yabI//dosP//yhjV//acrD//
GO_0010628_7	zntR//kbaY//hcaB//yeaD//ybiH//uxaB//fadH//yjfP//adeD//yfgJ//pyrF//waaO//ybcL//mocA//mazG//speC//ribC//gcvT//rtcB//kefB//hpf//melA//smpB//yceO//fimB//purC//ttcA//yfiR//arcC//tyrS//yhdJ//adiA//ydeE//aldB//chaC//cysA//tcyL//hcaD//pflA//uxaB//yehB//hiuH//nuoM//glcF//mprA//tolB//murR//yajD//dnaC//rutR//malQ//hybG//xdhB//ybdH//mnmE//pheS//lpxH//yghO//msrQ//sgrR//cspE//pgpC//lspA//degP//ugd//uhpC//yeeA//deoB//recC//ilvE//symE//tktA//ykfI//cmk//fryC//afuC//polA//sbmC//dusB//deoC//degS//nrdE//yhjR//
GO_0010629_7	yqaE//bioD1//gntT//fliM//oppF//tesB//mgtL//fhuD//chpS//sstT//glgC//narZ//rbfA//rplT//arcB//higA//mhpB//mltA//dadA//ssuC//xanQ//blr//rhtA//xylE//rpoE//slt//ykgM//glpA//cspA//mutH//ymjB//ybbW//hcaT//yciG//fimH//rbsC//ftnB//tnaC//fucP//srlA//manA//mnaT//ybiO//acpP//udk//gyrA//hprS//rfaQ//prpD//adk//ydcT//nimT//yibT//tdcG//uspC//oppB//mdoD//wza//gadB//tktB//aroE//galT//holE//fadL//alsB//rsmA//nrfA//hxpB//soxS//cusC//yhhY//topB//fmt//sufE//eutK//vsr//ycfL//ydfD//yiiE//kdgK//srlE//qorA//tdcD//eutK//xylR//slyA//cdsA//uxaB//tusB//ydjM//tyrR//fes//rraB//rpsE//yidK//yeeL//allB//raiA//gcvT//ascF//uhpA//cca//ilvI//ygaZ//pyrE//cnu//rnr//aroF//mglB//yejB//gcvR//ybjC//gatY//glpG//paaX//lptB//fepG//chpS//apaH//speF//rcdA//bglA//yadN//thiP//sgbE//nuoE//cyoC//mutS//
GO_0010638_7	narI//marA//
GO_0010639_7	priB//wcaJ//ynfK//
GO_0010646_5	deoB//
GO_0010648_6	trmO//
GO_0010675_6	mlaC//rffG//ghoS//osmY//ndh//ytfP//
GO_0010676_7	yaaA//elaD//
GO_0010677_7	cpxP//
GO_0010699_4	surA//mppA//
GO_0010810_5	tauA//fimA//
GO_0010817_4	alaE//yhcN//yggP//yegD//pdxB//ubiC//msrQ//hemG//fepB//dgoT//pdhR//ybdG//dgcM//metH//
GO_0010827_7	cmtB//
GO_0010829_7	yadC//
GO_0010876_4	rmf//
GO_0010906_6	folP//ybdN//
GO_0010907_7	nrfC//
GO_0010911_5	ogrK//leuD//recB//
GO_0010921_6	dcuR//ygjK//yihP//garL//
GO_0010941_5	dtpD//
GO_0010948_7	fepG//mngA//
GO_0010951_8	entS//fumB//
GO_0010962_7	ynjA//ygdG//
GO_0010966_8	btuF//
GO_0010967_6	csgG//
GO_0010974_7	ydcT//
GO_0012501_4	dgoR//yeaE//adeD//rplP//clpX//nrfA//amiA//efeO//yoaA//ugpC//csgG//tolQ//dnaC//
GO_0014070_5	qseB//fadK//
GO_0015031_5	hypD//yihL//fadR//mtlR//ygcR//iraP//yoeE//hemL//dapF//pyrH//entH//skp//yjhG//pck//treF//tynA//rsmC//rplF//rrrQ//ybeQ//cspI//prlF//moaE//hypT//agaV//apt//ppiC//pgaA//nagC//mhpB//narJ//marA//aas//dedD//argD//cof//yeeL//abgR//flgD//murJ//aes//
GO_0015074_6	ccmA//nudF//ompL//nhaB//ynfE//fdnI//rsfS//
GO_0015628_5	rutG//mgtA//yeaK//rplB//mreC//
GO_0015669_5	paaK//
GO_0015670_6	ratA//
GO_0015672_7	hcaT//rbsD//uspE//ybiV//pdeD//fecB//aaeB//pstB//hcaT//apt//miaB//chpS//zapB//tauD//narG//pal//yciA//rarD//casD//zraR//thiH//bisC//avtA//pyrC//fdnH//sspA//ulaR//ydjH//ghxP//pstB//trmB//sfmF//nudB//aes//agaW//hscC//cnu//metH//pckA//rhaA//nuoF//acrR//tpiA//
GO_0015673_9	phnP//
GO_0015675_9	argS//hofP//yfcU//polB//insH-5//idnD//yjhI//nuoB//
GO_0015679_10	ubiI//yigL//
GO_0015682_8	yidK//lysU//katE//miaA//ogt//glnA//hslU//lysA//phnG//mutM//ycjU//gsiD//
GO_0015684_9	raiA//ebgR//higA//minC//pdeF//
GO_0015685_8	hisI//elfG//ydbK//yddA//yhcN//torZ//
GO_0015687_7	paaX//rhtC//tdk//glmS//
GO_0015688_6	yhdZ//mntR//dgcQ//rutG//ydgA//kdgR//tolA//gudP//rraB//gltS//frc//yohC//glrK//dgcQ//hemE//yfaX//hyaA//ycfL//
GO_0015689_8	ygeR//yddM//rsmG//
GO_0015691_9	yiaF//nrdI//ilvA//yhdZ//
GO_0015692_8	mtlA//
GO_0015693_9	ompT//ybiS//
GO_0015695_6	hemB//yagU//yajQ//queE//opgG//ybjN//cspE//yjjQ//bisC//yiaA//rpmB//aroA//nlpA//cvpA//lptF//oppC//marA//pta//mnmA//hdfR//pitB//kdpB//hemH//ugpB//dgoR//sodA//frdB//potH//def//ybcM//
GO_0015696_6	gltB//prkB//casA//putP//rnt//ompA//btuR//hisS//mdtD//malS//mrr//ispB//hybA//fepC//ompF//nrfA//yjiQ//galU//bepA//glsB//insF-1//yfbU//hrpA//metC//atoB//ycgB//ygeX//trxC//nikB//dsbB//arfA//
GO_0015697_7	yegV//lepA//yidZ//bisC//cecR//atoS//ispG//narY//mepS//rsmE//dgcZ//ompA//rplO//
GO_0015698_7	ftsN//rarA//phoB//narJ//gapA//tehB//skp//glyA//cbtA//nlpD//dgkA//lolD//maoP//csiR//hybA//pdxJ//ymgC//yfiR//rplT//ftp//lpxP//ccmE//gadC//ytfP//rpmJ//alkB//yedA//gstB//alkB//galP//acnB//rsmC//udk//rbsA//purL//fabB//dmlA//narU//ugpC//maoP//fadE//
GO_0015699_8	rpmB//
GO_0015700_8	ynfL//cysA//
GO_0015706_6	gltL//hsdR//pgaD//
GO_0015707_6	fryC//yafQ//panE//cpxR//fiu//mioC//
GO_0015709_6	gatD//
GO_0015710_8	agaS//orn//
GO_0015711_6	bioP//lamB//dnaX//lplT//afuB//proB//mgsA//oxyR//yegS//lpxB//arsR//nuoL//yciK//caiT//asr//panF//xapA//yieH//lpxK//ssuC//yfiR//ybaM//phoU//ydcP//trpB//nadB//fnr//rsgA//rnt//cadB//sohB//narX//fieF//yfcR//rfbD//yggP//appY//yddM//insI-2//yafN//nrdF//rpsQ//patZ//gpp//hemH//rpoE//grxD//rffH//lysA//uxaB//cysM//caiF//umpG//ybcL//ihfB//ptsN//yfiE//leuO//speD//flgA//hybE//sfsA//ftsP//hchA//ykgF//menI//hdeB//cutC//prlF//pitB//lpxP//dsdX//fdrA//yfcP//frc//pdxA//yeaD//yeaV//pepD//ybjG//roxA//aceF//thiI//gapA//insI1//kch//alsA//tnaA//tdcA//iap//yqaE//lnt//borD//yhgF//yidE//ybhP//panB//rplC//ybcL//rlmL//garL//exbB//cysS//dhaM//ogrK//asd//ddpX//mdtQ//ahpC//hybO//tolR//phnM//cyaY//ydeI//lsrC//pepQ//ybiX//rapA//mdtP//yfdC//mprA//rplP//murF//fryA//ebgR//gnsB//ldtB//lysS//sapB//yfcR//ccmF//argC//cheW//sseA//ybcM//ydjK//ydjL//prlC//ybaO//garL//gcl//hprS//fepD//atoS//
GO_0015712_7	yjiM//
GO_0015718_8	sdiA//gloC//bdcR//fadJ//manX//fimG//agaA//pepD//artP//potD//dfp//yghO//mdtG//hyaB//ybiI//araF//ynbC//arsR//galF//pheT//nupX//cfa//ycaN//yadV//
GO_0015721_7	rpmE//torS//
GO_0015724_7	nsrR//ybfA//eno//
GO_0015726_8	fetB//
GO_0015727_7	rsmE//iap//
GO_0015733_7	eamB//
GO_0015734_6	yccX//galR//ygjK//
GO_0015735_8	tyrB//
GO_0015736_9	panB//
GO_0015739_7	mutY//
GO_0015740_9	etk//tsx//fhuD//yihU//mscK//rplN//sdaC//yhbX//ansB//
GO_0015741_10	leuB//ygeR//
GO_0015743_10	ybiV//
GO_0015744_6	fumA//ynfH//purF//
GO_0015747_6	ulaD//
GO_0015748_6	ydaV//minC//rof//garK//malE//bdcR//mliC//gpt//ssuB//dacD//actP//yfeX//guaB//gabD//rfaD//
GO_0015749_7	tehB//rfbC//yciG//rlmD//narP//gadB//yjaZ//yjjG//arnF//metR//sufD//relB//rpnA//narP//metL//glxK//argO//paaC//kgtP//caiB//fepG//cvpA//ssuB//gcvT//ybeQ//ybiI//frvB//cedA//ompW//frvR//pdxY//chbF//lepA//apaH//deoR//mlaC//mdtC//rihC//livK//dld//glpX//fabD//yigB//symE//fdoI//
GO_0015750_8	hybA//nanE//glmS//phnG//yojI//ybbW//tpx//tadA//hemF//nikD//dinJ//cysI//yibT//
GO_0015751_9	ybdZ//ygjK//yedX//vsr//ybhS//yqaB//
GO_0015752_9	gpp//glyA//rfe//casA//lpxM//nuoF//
GO_0015753_9	mltF//maoP//bglA//
GO_0015754_9	cynS//yfeX//gntK//
GO_0015755_9	lolB//yqiI//ilvN//rlmF//torA//cysG//ybjG//rpnD//ttdB//ibaG//mdtE//
GO_0015756_9	yhjD//yghU//
GO_0015757_9	yoeB//aspS//torS//uxuB//ptsP//gntK//bdcA//
GO_0015760_8	insH-5//
GO_0015761_9	frlA//yidP//xylB//
GO_0015762_9	atpG//
GO_0015764_7	moaE//queG//yagI//paaG//
GO_0015765_8	oppC//dacA//lysP//rfaE//
GO_0015766_8	rutF//yphF//bamE//yggF//fumC//narY//dgoD//kdgR//tcyJ//ariR//agaW//rrrQ//galS//tyrR//
GO_0015767_9	trg//rzoD//bdm//fucI//
GO_0015768_9	yphB//mtr//dcyD//rarD//dkgA//arsC//
GO_0015769_9	gspF//
GO_0015771_9	pdxJ//ydcR//puuE//lpd//
GO_0015772_7	osmC//amyA//idnD//ccmA//luxS//glpF//otsA//entC//mutY//mdtD//ydfK//bglH//dcp//dcuC//glpK//prpD//nikE//
GO_0015774_7	phnL//arcA//xylE//pabC//cadA//tdcF//
GO_0015778_7	yfjV//
GO_0015791_7	ycaO//yoaA//yjbE//aidB//ybiX//zapA//narY//modB//
GO_0015793_7	dps//yafE//
GO_0015794_7	rpnD//araA//ydcO//cra//yegT//
GO_0015795_7	yedL//
GO_0015796_7	erfK//nagD//ldtD//yagJ//
GO_0015797_7	carB//gldA//
GO_0015800_7	pncB//ydaV//araH//ssuD//
GO_0015801_7	tsf//ribC//hprR//ttdR//ftsK//adiC//yidL//fsr//
GO_0015802_7	hisA//grpE//dctA//fimI//ihfB//aas//chpS//
GO_0015803_7	deoR//rzpD//lsrG//nrfD//aldB//yddL//yaiV//lgoT//gmd//trmD//nrdI//
GO_0015804_7	nrfB//mipA//ldrD//rmuC//frmR//yhjD//tolQ//mprA//puuD//dppF//cyoE//chbF//rppH//rbsD//murI//accD//ebgR//htpG//murQ//rclR//fadH//nanC//potH//yfaE//cyoA//feoB//rimK//ldtA//adeQ//uspE//yfiF//ompF//ibaG//
GO_0015806_6	xapB//
GO_0015807_7	gudP//adk//prlC//ubiG//rutR//hisC//yraN//pgsA//soxR//sdhC//tap//mlaB//hypA//yidZ//rhlB//fadE//djlC//fimG//gor//frmB//sfsA//uvrA//leuS//nanK//cheW//livJ//argE//nrdH//tpx//pheM//fadL//dtpB//trmH//livH//yciA//gluQ//bfr//dapA//
GO_0015808_8	adhE//dxr//
GO_0015809_7	rpoA//yfiC//argI//hcaR//cytR//aphA//
GO_0015810_8	ychO//idnT//
GO_0015811_7	intE//sufD//sixA//glpK//yqeG//
GO_0015813_6	rffT//yrdA//ybjL//
GO_0015814_7	yhaM//
GO_0015816_6	srlB//
GO_0015817_7	mtlD//
GO_0015818_7	nanC//flgK//dppC//hypA//opgC//rsmD//metR//
GO_0015820_7	ynaI//nimT//ybiX//cyaY//uxaA//waaG//dctR//cysW//metB//
GO_0015821_7	gyrA//ndh//rbsA//rpmF//relE//
GO_0015822_7	cvpA//hisB//
GO_0015823_7	selD//potC//dinD//nfi//rplI//rlmB//tesB//
GO_0015824_7	ugpC//nirD//
GO_0015825_8	rpsO//
GO_0015826_7	dhaK//galF//bamD//
GO_0015827_7	phnN//galP//yghW//
GO_0015828_7	creC//ugpB//
GO_0015829_7	wbbK//yhaJ//fdoH//yqaE//argF//chbF//rplB//yneL//emrK//
GO_0015830_7	btuR//guaA//ruvC//
GO_0015833_6	dgoA//ldrA//pyrB//yagG//tufA//relA//yobF//degS//ftsL//yeaK//gpp//yhjA//rplO//rcsC//gltB//casC//elfG//ftsB//frwD//tehB//add//recJ//entF//yiaU//pta//ycaO//rfaC//ymgA//ydeM//efp//nfi//ttcA//mioC//glnH//fadJ//csdE//yadV//pepA//yhhT//yagI//rpoH//amiA//yfaV//phoU//yebQ//copA//ais//gatD//sanA//alr//trpA//ansA//glpT//relA//puuC//fieF//ybhR//rpsR//dcuD//rutD//yejE//idnT//selD//astC//ykfI//argB//arfA//flgA//gspE//rstB//ybiY//tatD//potE//lysU//ycbU//feaR//hofQ//ycgV//
GO_0015834_7	rluF//kgtP//araG//speD//paaJ//
GO_0015835_6	yehD//rpsB//ccmE//ypdF//
GO_0015836_7	cheA//yjbE//cysW//
GO_0015838_8	citG//ispB//ynfL//cstA//yiaJ//zitB//kdsD//treC//yaiP//tpiA//modA//emrY//yhbQ//
GO_0015839_7	hycI//
GO_0015846_6	ulaC//nagE//menF//waaY//prpD//ppk//rclC//cysU//hdeD//arnF//rhlE//rnr//rpoE//hscB//ssuA//ada//ugpE//
GO_0015847_7	btuF//cobT//moaC//yihP//waaL//dacD//sstT//tqsA//fadA//nrfB//pstB//amiC//mak//higB//mlaD//
GO_0015848_7	maoP//nuoF//waaF//infB//viaA//htpX//
GO_0015849_6	yrbG//flgH//frvB//torS//cheB//cnu//ampD//ghoT//rarA//mraY//pstB//iaaA//nusG//queA//adk//sanA//gldA//entS//insI-1//lsrD//lldD//kdsD//fadA//yebQ//yhjR//prkB//yahD//yijE//proP//hofN//yjcO//hyaA//mlaE//yjeH//yfcG//hemH//atpE//chaA//thiI//waaP//gntR//fepA//cho//ubiE//dfp//yaaJ//ulaE//ppk//torA//purB//rplT//yejF//hchA//pta//bamD//proB//pyrD//soxR//yjbE//mdtB//rppH//topB//sapF//sutR//hxpA//yagU//alsE//uxaC//bglX//atpF//htpX//gabT//uacT//fadJ//hicA//suhB//ilvL//yphD//wzc//frmA//accA//fadB//mdtM//plsB//caiT//dnaE//ygcR//hypC//adeP//fabI//dpiB//mdoD//rhaB//pgpC//yhdX//yaaU//rcsB//yjjG//csdE//macB//ftsX//yjeH//srlB//frmR//rpoE//appC//rcnR//araF//pgk//acrF//xylB//zapC//citE//flhA//diaA//
GO_0015850_6	allS//hldE//entH//umuC//yedF//metB//ldtE//yjjU//aldB//agp//murC//ibsC//ypdB//aroK//hdhA//cynX//rplM//napD//idnD//acpP//yidH//waaC//wbbK//
GO_0015851_6	ycaO//yfcS//ycbX//lolD//truB//pitB//ddpA//tamA//hemH//alaS//ydeM//ligB//
GO_0015853_8	rng//cadC//
GO_0015854_8	torI//copA//
GO_0015855_7	entS//yfdC//bioP//
GO_0015856_8	waaP//
GO_0015857_6	insI1//bamC//
GO_0015858_7	soxS//roxA//ldtB//hslJ//yjbG//acrB//nac//sthA//ynaI//
GO_0015860_7	caiE//dld//
GO_0015861_9	ybiO//cspB//
GO_0015862_9	pgaC//cyoE//
GO_0015863_8	agaD//
GO_0015864_8	rfbC//puuC//
GO_0015871_6	glcD//lsrC//znuA//phnG//holB//
GO_0015878_6	iraD//
GO_0015879_9	ascF//
GO_0015882_7	ligB//ddlA//hybB//
GO_0015886_6	queC//fimE//insH-6//rpsO//rpmC//livK//feaB//ycbX//dcuB//
GO_0015887_7	rlmG//
GO_0015888_6	atpD//
GO_0015889_6	kdgR//plsC//nhaA//betT//dsbB//folP//shoB//
GO_0015891_6	rhaR//ydcR//ebgA//yaaY//folM//hslJ//ogt//flgI//btuD//entF//rimJ//hyaD//hyaA//grcA//rihB//
GO_0015893_5	ptsG//narZ//pncB//tamA//moaC//ybiS//yjaA//dsbG//yjhP//recN//dosP//holB//cyoD//tyrR//frsA//tolQ//rfaH//cspB//yqhD//pdxJ//yjbF//uidC//dpiA//proS//gltK//nudF//ycdX//sufA//rluA//relE//aroD//glpX//rplA//coaD//ykgO//tktB//ppiA//mhpR//elfC//rfbX//yjcE//gsiD//hdeA//yieL//rutG//yhfS//uraA//acpT//suhB//thrL//ccmE//hyaA//ydeO//rpiR//creB//yhhY//ldcC//pgpC//malY//pitA//csgA//sulA//yaiV//yqjI//ilvN//mhpT//ydiO//yfdS//fabR//ade//cynX//ribC//aer//yedF//ydiP//ycjQ//aidB//agaV//waaC//csgA//fliM//opgH//ydiZ//srlA//narI//galU//phnH//mglC//idnD//mhpA//yfhH//argB//ygcR//yegS//yoeB//rcnR//galF//
GO_0015906_6	topAI//satP//fadB//ynbD//hscA//
GO_0015908_7	xisR//hha//
GO_0015909_8	tusD//
GO_0015912_8	ydbK//
GO_0015914_7	kdsC//yegT//cysB//rlmF//ykgA//dmsA//tdcA//
GO_0015920_7	flgG//trpR//ynfE//mrdB//yheT//rclR//spy//potD//fur//
GO_0015931_6	cysM//tyrB//ygiB//recD//rplO//glnP//csgA//clcA//ykgM//mobA//pheP//mdtI//
GO_0015936_6	yagI//rclB//dps//ydaC//
GO_0015937_7	metH//htrE//ybdG//ihfA//
GO_0015939_5	lpxK//potA//degP//ltaE//uspG//
GO_0015940_6	rfaH//yggD//lysP//hupA//tnaB//
GO_0015942_6	bolA//napF//ptsP//mrr//wecC//blc//sgcE//mgrB//tig//
GO_0015944_4	allR//pstC//yciH//cas1//yiiM//tmk//holA//
GO_0015949_5	ribD//dcd//rpnD//hybO//rffC//hypC//cfa//glrK//ssuD//ybcC//prmA//cusC//pbpG//fryC//narV//glgC//menC//paaK//ulaE//ulaC//nagB//cysA//glmU//pgl//
GO_0015950_6	smpB//dnaG//rpmF//
GO_0015951_7	creB//cysI//
GO_0015968_6	gadW//
GO_0015969_8	greA//torS//
GO_0015980_4	cmoA//aspA//waaU//ydcT//aaeA//tatB//satP//rhaA//mutS//ampG//yccS//ndh//tsr//paaX//yhcN//lldD//yfeW//ftsY//yieE//hrsA//glpK//tas//msrC//deaD//ulaD//rhaR//fau//dnaG//ygiN//cedA//yfjV//trpA//wcaC//yjjU//dapB//iraP//shoB//ebgR//zapC//rsgA//tolC//trmD//glpB//nac//mntP//fabI//ygbL//cyaA//sgbE//gntR//menB//wecA//hofM//ccmG//cyoB//ydgA//atpB//thiE//adiA//wcaJ//ydiQ//ybhA//flhD//ghoS//zur//yehY//torD//gadA//radA//casA//htpG//tesB//paaX//lacI//potE//hybC//queE//narH//baeR//gluQ//pldB//alsE//yhfS//pgaC//lptE//yfcQ//
GO_0015985_9	napA//nlpA//yhaC//fis//
GO_0015986_7	yibH//caiE//tdcD//pgaD//
GO_0015988_9	sbcB//sspB//aroH//lexA//fryB//cheR//frsA//yeiE//
GO_0015990_10	helD//cadC//glcB//mhpD//rpmC//mltA//pgaC//ilvD//
GO_0016024_7	ybhG//
GO_0016032_5	yjiA//rspB//selU//metH//aroC//sdaA//rsmA//ychH//xthA//rarA//cspI//ycjU//purN//rhmR//asnS//nrdH//nfi//csdE//
GO_0016036_6	yphB//norW//ltaE//ampH//puuD//bamD//
GO_0016042_5	fliT//hisB//ybhD//rtcB//hcp//rhaT//pntA//prc//ugpC//rsmJ//uxuA//rlmG//deaD//dppD//ygfX//cbrC//ynbB//bdcR//eutB//hypC//rdgB//ydeO//mdtL//rzoD//
GO_0016043_3	acs//maeA//tdcG//udk//yjeH//adhP//fadE//speE//udp//cas1//cpxP//slt//tusA//tdcB//yfcS//hofC//fbaA//kdsD//recE//potG//truC//zapD//rutG//dtpC//xerD//ydiZ//ydcZ//feoA//rpmA//ulaF//cspE//yfbU//fabZ//chpS//ulaA//gudD//folX//yafC//slmA//kdsB//pheT//torD//fadJ//gdhA//melA//trmL//nrdF//lpxB//nagZ//frvA//rplL//minD//cueO//sfsA//rsmG//endA//dmsA//fieF//ssuB//cheA//chbB//fur//ygjH//mzrA//carA//yfcF//flgD//tnaA//ynfL//ptsG//kbp//rlmD//sseA//hprR//hypC//grcA//accC//prfC//csgB//ybiY//yeeA//waaY//glgP//yiaB//idnT//ybaL//hofN//xerD//stpA//rhtC//paaE//yhhT//elyC//cusC//rpoE//deaD//narP//ibsC//pgaA//leuE//rpmA//nuoF//uhpT//tcdA//aspC//paaH//ubiI//cspA//ydcT//rna//acrA//holA//kdsB//dgoT//ugpC//msrQ//nanR//rpmE//qorA//glcB//der//basS//fliA//pcnB//bolA//yjiX//rbsA//aspC//yibT//ykgA//fadR//dcyD//folM//recX//gsiA//rihA//mdtQ//fdhF//cpdA//frlC//gadX//pppA//ycbV//alsK//nanE//rnlB//yahB//lpd//rbsD//nirC//yebK//tonB//tbpA//rpsL//selD//ispA//clsB//csgA//purT//dosP//speB//ybdH//gsiB//waaY//mdtK//cydD//umpG//sucC//lysS//sodA//tsr//wzc//ypjD//rplM//selD//opgC//fliZ//arnT//ygaZ//rplO//nac//ariR//rof//mdaB//proW//putP//pykF//xylG//rffG//putP//sbp//dctA//yeeY//fhuD//adk//cof//elfC//ispF//ygeV//cysP//pitB//yjjQ//moaB//thiC//qseB//yihP//hofC//uvrC//hyi//garL//
GO_0016051_5	dppD//narP//polB//rapA//sbcC//yfbS//rho//yphF//iraP//borD//bcsA//soxS//yejA//yhaJ//thrA//cusB//gltX//scpB//fadD//yghG//recG//ydcI//aroF//acrB//yphC//artJ//ygbN//rdgB//glgB//tag//yidH//narP//nikB//kdpD//amiC//malG//hybO//kdgR//nrdB//mhpT//dxr//elaD//nadE//yaaJ//hofO//dgcE//glpC//mscK//trmL//tcdA//mdaB//sgcA//rbn//yfcS//xanQ//ldrD//lgoR//tusB//glnS//dicB//fadR//nuoE//hemL//insA-1//mcrB//speG//mlaB//basS//bisC//glcD//yaaJ//ypdA//insE-1//nac//adeD//ybcQ//ghoT//zapB//cysD//pgrR//ybeQ//tsaE//pitA//ydhK//sdhE//exuT//melB//dnaC//mlaE//mcrA//lldR//yraK//paaE//yneJ//insI-2//preA//yqaB//ugpC//yghO//murE//citX//amyA//mscM//
