#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ibpA//rclB//yjiR//paaZ//
GO_0009890_6	mdtO//rcnB//hybE//yaiW//narL//lipA//eutA//kup//gntU//yijE//dgcF//rsmI//nadK//patZ//ydeP//cecR//ybbY//mtfA//purF//fucP//yhjG//sbcB//rpoA//aroB//fadK//nrfD//idnT//agaW//ubiF//rpiA//murC//paaH//amiC//ptsG//gluQ//gntR//ompG//yjcO//purD//eptA//ypdI//dkgA//paaG//yajQ//udk//higA//lpoB//etp//yjjI//cysQ//ymdB//holD//yfeD//csgF//yqgF//kdpC//rnlA//paaJ//cysH//hchA//yibT//tamA//asnS//mhpT//ypjD//cspC//sapF//hisP//hypT//parE//yggN//clsC//gmk//lgoR//malI//lspA//ykgM//ynbC//ydeE//ygbN//sdaB//hypE//ybjC//chaA//uxaA//csiD//srlB//mak//clsA//ulaB//thiQ//blc//cysA//cyoC//pphB//wrbA//mioC//topA//recX//mepM//hsrA//yfcR//cyoC//plsX//lysS//argP//treR//frdD//ybdG//guaC//hcaT//ddpX//cusF//zntR//speF//nsrR//hybE//yijO//cusC//gsiB//nadA//
GO_0009891_6	dmlA//murI//argG//tusD//rpoE//exoX//ybjL//yihL//yhbY//cusR//waaG//entA//relE//yeaV//lldD//tnaC//rfbX//rraB//ybiH//cpdB//ycjR//speF//uvrA//entF//fecB//pdxJ//tdh//ymfA//yihV//potE//mdtG//msbA//ccmF//ubiD//rpsG//insF-1//yjhG//atoS//yciE//chbA//ldtE//mug//hmp//glrK//dgcT//caiT//ftsL//slt//rrrQ//ruvA//ybeY//yddL//ydhQ//rpsT//cysD//queD//ymgF//ybfE//talB//ybbN//lptE//trxC//ybcM//kefB//dcuC//artI//rhaR//bioD//glpR//paaC//glpA//zipA//xseB//otsA//gcvT//ydaN//yagJ//sgrR//mgtA//qorA//rssB//fliD//yohD//
GO_0009892_5	pldB//yebC//hslV//yieF//rclB//ulaF//ymfK//dacA//dmsB//pepA//phr//fabI//yhdZ//queF//mtlA//orn//rhsD//mdlA//rppH//yihP//ydiR//zntR//thiH//allR//lolB//araA//coaD//csgA//yjbB//ygbN//glnA//parC//yhjV//casA//amtB//cysW//livM//sucD//hdfR//tnaB//ubiE//nrfF//ibaG//accA//yibH//yrbG//ycjQ//yciV//rzoR//ygiV//paaG//mglB//arfA//cysW//dcm//yjcE//artI//chbB//evgA//ubiD//yfbU//yddM//arsR//adeP//cueO//ascB//rapZ//galE//pgm//argK//ispA//rhaT//agaR//fepC//mdtJ//accB//zapD//fimG//rfbC//ushA//ssuC//yejF//yhfK//yihP//torZ//rpmB//sgcE//frmA//atoS//nagB//rpnD//nlpI//yajQ//def//sspA//cbrC//tyrB//hmp//dauA//yfaV//yaaA//amtB//tsaC//kdpD//eamA//ygaH//cbeA//manA//prmB//sgcB//ycjR//flgE//soxR//gyrB//yagJ//mdtA//potH//hyi//yidZ//hypA//napB//pstC//aroP//dgt//yciF//kefF//msrA//mdtK//recE//grcA//proQ//ycjQ//flhC//torC//chbF//dinB//appB//hyaA//hcp//coaD//ybaL//fau//sfmH//nimR//pckA//rutA//
GO_0009893_5	creC//yehU//bcr//yaiW//yqaB//sodA//gsiD//panF//yiaB//kup//narH//yggP//mdlA//prc//ghxP//hcaC//pagP//ulaD//agaA//eutN//waaA//mltC//zapA//nfo//lpxD//zapB//insF-1//ymfA//ynhG//fhuF//yhaJ//yfdC//yfhM//putP//fadL//yafO//fbp//mcrA//lolA//sfmF//radD//elfD//dusC//dnaN//dnaE//mdtL//nhaR//ribA//ariR//ppsA//yhdH//rpnC//yqcC//wcaB//yjjV//ilvE//ycaN//kdsC//yafE//kbp//gntU//metF//yfbU//ybeQ//afuB//yciA//yqeG//rffC//yfcU//abgA//glgB//glpX//hisA//rpsO//yegS//sdiA//yggF//hslV//waaQ//hofN//rbsC//rep//ykfI//ispG//adk//rutD//yjbB//pcnB//yjbG//yiaO//nirC//torZ//rdgC//rluD//gltL//insF-1//glgX//nac//sgbE//
GO_0009894_5	lptC//yhgH//cadB//cspA//kefB//nagZ//kdpE//ycaN//nhaA//gatZ//ftsI//pdeR//norV//tig//
GO_0009895_6	truB//uspF//cydD//potF//
GO_0009896_6	recG//thyA//bamB//
GO_0009966_5	dnaG//
GO_0009968_6	rpsB//
GO_0009970_6	garP//yeaD//yidR//
GO_0009972_10	yjiY//
GO_0009991_4	syd//uspB//ftsA//ybhG//cra//trkH//rsgA//ydeI//agaB//dgcJ//wcaC//entF//ygfX//tesB//ybcM//hslR//paaX//xthA//kdpD//sufD//mgrB//etk//clsA//insI-1//artJ//fetB//casC//sucB//focB//tauA//btuC//flhD//uxuA//fhuD//moaD//ispU//relE//yjhP//yjcS//gudX//allC//mdtL//ybdG//gstA//adhP//yafC//rlmC//xylG//nagZ//argK//fepD//entF//xylA//glnL//ubiH//asmA//fic//yhjX//tamA//tatD//ybdO//rnpA//nth//
GO_0009992_5	fhuF//thrA//arnD//plsC//
GO_0010033_4	glnA//thiG//ybjL//yggW//cpsB//fliL//ydiO//hcaD//agaA//yjjV//ymfA//yafN//pyrE//suhB//glgP//sulA//rsfS//gcvT//gloC//tdcR//rimL//setA//yhcN//ybaO//aas//yajO//hicB//yqeA//rimO//cusC//otsA//dpiB//phnK//ribD//yegV//bcp//speF//uspG//rnt//proQ//ulaA//wecB//dnaK//
GO_0010035_4	prmA//pdeR//fliM//potC//yjiM//hpt//yiaL//gpmM//truC//ybiH//elaD//trpC//glcE//dsbD//bcsQ//ybeQ//yahN//sstT//codA//mngA//yeiE//waaH//rpiA//speA//mepS//elaB//sulA//asmA//mdtJ//bioD2//gadC//ompL//gmd//ydiR//polB//gcd//yhaV//pabB//ygaV//wza//dtd//pepT//araF//dnaA//macB//yjjU//yehB//mak//ybjL//cyaA//hyaC//carA//ftsY//prfC//dpiA//lit//yehW//mlaD//ypdF//argF//pntA//yjjI//yiiM//acs//uxuR//yjjB//ibaG//uidC//tnaA//sufC//flgD//ppc//cysA//pdeH//asnC//yjiY//
GO_0010038_5	intS//yebQ//yjjX//rarA//chiP//adk//narY//nuoG//oppF//hchA//yfgO//truD//gcvP//alsE//lacI//garR//surE//ispF//glmS//tcyJ//trkG//pykF//napA//ynbC//leuD//yjeI//adeD//wzyE//acrB//fixB//ulaR//cyoB//rnlA//lpxC//nrdB//opgC//tcyJ//chpS//yghW//nepI//gatB//yohC//gspI//ybiO//rspB//
GO_0010039_6	manX//dgcZ//ilvD//ldcC//rhaA//mmuP//uidC//
GO_0010041_7	priA//ppsR//frr//frvB//gpr//etp//
GO_0010042_6	fetB//rfaC//
GO_0010043_6	dinJ//uspB//nikD//cbrA//yqiH//wrbA//
GO_0010045_6	ispG//yedP//dsdX//
GO_0010106_6	lsrB//
GO_0010124_4	amiB//yahI//ykfM//rraB//opgH//tdcR//narG//gpt//ykgA//glpD//hflX//ompF//scpB//
GO_0010133_7	aqpZ//
GO_0010139_7	rpsH//
GO_0010165_6	cbpM//waaU//yahB//mlc//adiA//murB//norR//pbpC//znuA//entC//btuF//sapA//prc//hofN//sthA//narQ//
GO_0010167_5	chbG//rplA//
GO_0010212_5	rfbB//rpsQ//diaA//fdoI//araA//yihU//rhtC//btuF//fbp//minE//ygaH//ptsH//avtA//uup//cyoC//ycfJ//fdhD//dsbA//yhjA//acs//caiT//ynfH//argK//gcvP//nadD//malP//glrR//yccA//
GO_0010226_6	ompG//
GO_0010243_5	araD//yedX//eutA//lysP//pabA//degS//fkpA//gcvA//udp//gldA//rsmD//ascF//yjiX//narJ//yfeR//nrdI//
GO_0010269_5	flgM//
GO_0010272_6	eutK//pitA//hflD//rfaB//waaJ//mlaB//
GO_0010273_4	pgi//glgS//napD//ilvN//trpA//kup//
GO_0010288_6	rbsK//
GO_0010312_3	uspG//
GO_0010332_6	murA//
GO_0010350_6	tdcC//arsB//
GO_0010438_6	mdfA//yafN//infB//hemL//
GO_0010447_5	ymjB//yehA//yihX//smpB//malY//casD//aroK//pagP//pcnB//narU//yneJ//skp//hdhA//yjtD//yqeA//yfcV//metF//cysN//moaE//yodD//hisD//
GO_0010466_7	hsdR//glmS//
GO_0010468_6	deoA//cheZ//aceK//yceK//folE//ycbV//lacY//yfgO//sfsB//hupA//cirA//ymdB//phnN//rimJ//yjgX//azoR//dgoD//cobU//pinQ//recC//dtpB//tatC//glpT//yqjH//pinQ//yfdC//rpiB//sdaC//chbB//wbbK//rutC//mprA//hybE//dppC//dadA//yraH//msrB//mglC//bglA//rffC//arnF//avtA//fucA//yehC//ydeP//prfB//mepA//ridA//glnS//yhdZ//topAI//fic//eutB//feoA//yafC//yjjB//moeB//surE//ettA//cpxA//coaA//thrB//manY//btuB//yobA//paaJ//aas//mipA//rsmG//yeeY//uxaA//purA//ykfM//xylE//alsK//yidH//rpoE//ydcM//rplK//ygjH//waaY//ybhG//umuC//lplT//ybeY//rffG//gltB//gyrB//rpnB//zinT//ycfJ//sbcD//chaA//cheR//ettA//yaaJ//iscS//phnO//opgE//otsB//paaZ//ycbV//bioD2//abgR//ilvM//ygaZ//insH-5//hdeB//potF//glnS//gadX//waaJ//rlmL//sufE//asnB//hcaD//zipA//yqaE//yahN//murB//glgB//emrY//rsmC//glpC//avtA//lgoR//yjeH//zwf//argR//ahr//menA//trpS//rplN//fimZ//murE//thiE//ycjY//tusC//glgA//fabD//fucI//lgoR//ycbV//mngR//appA//potF//ssuA//amiB//cysH//yjiR//wzzE//queG//wecB//pitA//lptA//selA//dnaG//glrR//ftsA//rimK//pdxK//argA//dpiA//fhuF//proW//rng//recX//cusA//glgS//gapA//nemA//tcyN//adhP//sfsA//intS//zwf//ftp//ptsN//btuF//ugpB//wcaB//modC//atpG//hha//glpF//nsrR//gltS//leuA//glnP//nupX//patZ//hicB//fimC//hemA//citX//aldA//yjjW//yggE//ygfX//rep//rhlE//lolD//fdoG//rpsT//hyfF//rpmF//ybiA//feaB//ybdM//aroA//mnmG//waaC//lldR//glxR//rfbB//kbp//napB//rpsD//yfcV//frvA//glnD//gsiA//matP//ybbN//yahD//ldtD//rpsO//epmB//yhjD//ycgB//murD//rbsR//yiaU//dnaC//nepI//zupT//gcvH//recR//aldA//rcnA//lgoD//oppF//uxaB//rnr//casD//yafO//atoS//dtpA//nuoI//truC//mcrB//yjhG//fimI//zinT//rpoD//phr//mnaT//ynjA//rraB//mug//nadD//cysS//surE//ycjR//glpX//xanQ//lsrK//yaaJ//phnC//hslO//fadK//cas1//crcB//nth//topA//queD//lamB//xylF//modA//bglX//raiA//panF//rspB//gsiA//nadA//yiaL//gfcE//yjbE//pnuC//srlE//rsmA//iaaA//mtlR//macA//agaC//mhpC//hypE//yhcN//frlC//ycfL//atpF//rfaH//kbaZ//yceO//trkA//osmC//secB//ybiJ//ycjW//greA//ribB//cysC//hisA//chaA//hflK//rbsD//dsbB//napA//
GO_0010498_6	rpsQ//
GO_0010501_7	putP//emrD//fdoH//alsE//rplQ//msbA//paaZ//nlpI//yraI//
GO_0010528_5	sgcE//
GO_0010556_6	yehX//polB//ydjE//hda//glnB//mzrA//nei//pppA//cysG//proC//yfeD//gspF//yiiD//dapA//pnp//ycgB//ymfA//rnhB//sapD//aas//btuF//sucC//yiaO//allB//cysH//fmt//envZ//lplA//murA//sufE//rpnD//argA//yraH//mprA//frdA//yoaA//fliA//nth//nrfC//accC//mraZ//rsmC//ribC//ycbU//ydgA//dinQ//fhuC//cheW//nrdA//chiP//bcr//bssS//abpA//ispG//accB//holE//fadB//fdrA//yqgF//rcsB//phoP//wrbA//rsmJ//fryA//nanC//cobC//yfbR//rpoA//macB//cusS//tisB//fis//atoS//rlpA//epmA//hcaR//arsR//decR//ycjP//gntP//rssA//acrD//rpsK//sgrR//tdcB//sgbH//ttdR//garP//slmA//bcsQ//casB//dnaX//rpoD//ypdF//pitA//rplJ//glgX//soxS//phnK//otsA//astB//ynbB//topB//cadB//speC//trmJ//metF//yhbS//yqiJ//yahO//betT//rffH//ndk//yihP//phoU//pflA//yagI//bglA//hypB//ycjR//lptE//fecB//pgpB//nagZ//umpG//lolE//wecB//rarA//sucD//uhpA//glpB//mepA//puuC//yfeW//ompT//opgE//ymfK//ribE//hypB//phnI//zapE//ydfG//nusA//rho//mgsA//yiaA//norR//artP//fepC//nagE//yhjD//flgD//wecC//kdgK//panF//tatC//viaA//ydaC//spy//ugpB//gcvH//artI//gapC//eamA//atoC//glk//yhbX//murG//hsdR//priA//gsiC//lsrD//kdpF//hisG//arcC//patA//sdhC//lysS//uhpA//rapZ//zinT//paoC//eutK//setC//rsmB//malP//yqiH//yhbX//sdhB//cysI//narI//aroF//rbsK//yafN//napD//wrbA//trpB//cspG//yhbQ//efeO//trpS//mhpR//purF//ybjC//bcp//era//yeaK//glgP//ybjC//phnJ//ybeF//pyrE//frdA//blr//tdcB//ralR//pgm//truB//cdh//gatA//hcaC//potH//yegV//frdB//aroF//dgoA//sgrT//puuE//yebK//yjbB//yahK//mdtP//degS//dsbD//hlyE//syd//atoC//yebK//rnr//zwf//folX//atpH//dppD//gloB//ccmD//ispA//purL//ilvB//mglA//higA//yhfK//cpsB//yhjA//ptsH//menB//glrK//narG//waaU//eamB//lapB//fimH//nac//pgaA//yjaZ//yiiD//gatY//yjhG//yadN//envY//lacZ//uidR//coaA//idnT//cpxA//sutR//rplA//yedP//glnH//fecA//yqjA//yiaO//panF//hybE//deaD//slt//gloB//potC//ycgR//cspC//prmC//rhtC//nadA//intS//mdtC//lspA//recT//lsrB//ycjP//cueR//ybaK//fixA//feaB//ssuA//tyrR//manX//menC//ldtC//prmA//yhjD//sutR//fnr//glgS//
GO_0010557_7	yojI//dcuD//hupA//lsrA//cpsB//narW//phnN//malK//waaG//hsdR//osmC//cspE//yjhI//secM//xseB//cysI//raiA//hxpA//lysR//ychF//ycbV//ybhD//aroD//npr//fimA//umpH//pnp//yidZ//hypF//ascB//ispH//mhpR//ygaV//atpH//lipB//apt//garP//folC//gloC//ftsP//ibsC//rusA//qseB//yiaA//deoC//accC//yiaF//pspA//dnaJ//hprS//puuA//hdeD//ydjK//proX//grpE//pyrG//uup//cpoB//lptA//emrB//hha//panB//preT//tyrA//mngR//lpoA//livJ//ldrD//agaA//ycfS//ompF//bglB//yjiQ//basS//ydjE//plsC//allS//trpA//tatA//yhfS//chaA//ampH//
GO_0010558_7	lrp//prmA//menE//mhpB//guaC//galE//yodD//nuoI//alaA//mmuP//ribB//yijE//arnE//tpx//nlpD//dsbG//ybdN//rhtA//rseP//yebG//pheA//bglX//galF//yhgH//ilvL//mngA//bamD//mscK//ugpC//holE//menF//ybdZ//yeaV//pabA//elaA//rpsD//accD//waaO//tmk//frwC//ilvE//caiT//hemB//rfe//yihU//yciE//hdhA//yibT//thiL//flhC//maa//ibaG//yjfP//csiD//bfr//dinJ//yehU//pntA//ravA//leuD//xdhB//yfjR//wecA//dmsB//bdm//metH//galU//rplY//ygbI//yjhI//menE//add//artM//glpK//queE//ygbL//yneE//prkB//fepC//modB//livF//yahD//ravA//ruvC//gor//pepB//appY//pheM//intE//mrp//manX//yciT//nudB//minE//clsB//perR//adiY//csgB//mdtQ//gutM//lpxB//lgoD//elfC//ibpB//rpmG//lepB//aroP//yiaT//yqgF//sutR//cobS//pth//ycbX//ycjQ//bglA//rsgA//argT//ygeW//yneL//kdsD//
GO_0010562_7	adhP//ruvA//
GO_0010563_7	dnaK//dtpB//
GO_0010564_6	trpD//phnG//adeP//xerC//pnp//
GO_0010565_6	serA//mlaC//rapZ//adiA//pphA//pgsA//
GO_0010604_6	sfsB//frdC//rnhA//ybjN//rpe//cyoA//nupC//ubiF//nrfE//rluA//bcp//sspA//yjeH//rpmG//rlmI//phoA//nikD//yfaV//bolA//eno//cheY//nadK//pheP//malY//ydjL//yidP//agaD//hypD//pgaB//ibaG//rhmR//yoeE//sufA//uvrY//nuoG//srkA//yhjA//tag//yfaE//pphA//fdrA//mntR//aceF//yeeO//ycfS//mcbR//rng//gstB//coaA//zapC//htpG//lpxP//bluF//rutR//cydD//ggt//serC//lptC//paaF//modC//gntK//bglA//scpC//ubiC//acrZ//yeiE//dgcJ//nagB//mprA//tilS//yjgX//rcdA//recJ//yphF//argD//nagK//murR//yghW//nadB//yhgH//ybdZ//panZ//yggD//phnP//ybcQ//yfcR//yeiL//sdhD//waaC//prmA//xapR//dnaX//yneJ//
GO_0010605_6	queG//flgF//obgE//metE//zapC//hisD//treB//yiaO//sapC//ydjH//pflB//ygiN//efeO//oppC//pfkB//phoQ//yjgX//glnE//minE//dadA//argC//hslU//rplA//idnD//ynfK//fruK//ydiR//rpoA//shiA//era//erpA//mnmG//cedA//gloC//serB//glsB//fklB//yiaA//pgk//preT//nrdF//rpsN//mtlD//cydD//pliG//tpx//ruvC//yobF//galT//glnQ//pgpB//napF//mazG//avtA//carA//tpx//yjbF//etp//mnaT//yggN//torZ//phnM//gudD//lgoD//cynT//btuD//glcF//ibsD//grcA//tas//yjfF//yajD//ligA//cheZ//rplC//dauA//acpH//bamE//chpB//rrrQ//lptD//cysI//alaS//uspC//rutE//ibsC//cyoC//rcnB//fmt//nsrR//gsiD//dnaA//glnP//fre//acpP//rlmH//leuB//yaaY//nirD//infC//dtpD//ubiD//nanK//rzpD//xylF//uof//yoaB//efeO//ccmC//infB//hypF//tdcC//clpS//ldcA//fucP//ndk//dpiA//uxaB//gltI//dppF//osmY//yhcD//mgsA//frc//cysQ//aspS//lolB//viaA//dadA//ispF//bipA//erfK//mdoG//ybcC//gsiD//rsmC//aaeA//vsr//sgcB//yhjA//kdgR//yqaA//mepM//dxs//
GO_0010608_7	menC//tsx//yafS//rpsK//sthA//cobC//nadA//yjhB//uspE//rcsF//mnmA//agaD//bamC//rsuA//yjbF//yghO//yieK//uhpT//dld//tatE//wecB//lacY//ttdA//manZ//eamB//gltL//ybiV//rbsK//pinR//rplB//der//betA//fepD//gstA//malG//modC//ribA//mngR//proQ//garP//yjjB//paaB//selB//pspD//
GO_0010628_7	puuA//ugpC//hemE//gltB//mdh//cyoD//ftsE//rfbD//bioC//pntA//lsrC//cadC//glpC//proX//gadX//umpH//casC//yehC//menF//ybdG//yddG//pflB//yjeH//asnA//entC//mtn//insI1//queE//kdsA//hypC//nupX//yjiY//puuC//nusA//cysK//zwf//frmA//gcvR//ynhG//dhaL//hcaC//hisS//acrB//malG//torI//cpsB//fbaA//ydhK//kdpB//lsrB//ycdY//ydfH//fdrA//yfaE//araB//ydcI//msrA//flgK//selA//mak//waaU//yahO//mdtL//gabP//srmB//pdxK//lsrK//yciG//yiaL//nhaR//garD//mmuP//oppF//ydcI//htpX//epd//lipA//entC//pckA//insA-2//fhuD//iclR//rapA//
GO_0010629_7	dkgA//rpoS//abgB//dacD//menH//psuG//dkgA//asnS//stpA//mtlA//yhcN//nac//focA//yodD//wza//ydjL//gntU//symE//rfaB//pntB//yccS//mdoG//infC//nrfA//add//waaY//ansA//glrR//ybhD//pspA//rfaD//ybiX//yecS//nrdH//argE//tufB//hprR//orn//symE//nrdI//aceF//phoA//ydcO//hdeA//yibH//ispU//cedA//alr//opgE//clsC//suhB//yegS//menI//sodB//dapA//hdeD//tcyN//tcyP//spy//coaA//tisB//rluC//glpF//cstA//waaF//glnA//hcaD//metG//queA//pcm//rnlA//pgaC//ilvA//etp//murE//psd//aas//kdgR//spy//argC//sapC//phoE//yadK//hpt//narV//arfA//sbcB//ulaE//yhhY//cusA//yjhB//aspC//parE//nagE//atpH//ygbL//lpxK//metE//ycjU//holD//mdoG//nrfF//purL//hcaC//lysS//dfp//cutC//purN//kbaZ//yehA//ulaR//bsmA//metC//yehA//gnd//rluE//ttdT//arsC//casA//tbpA//allB//fimF//fadJ//folA//arnA//yfjR//tolA//ybdN//
GO_0010638_7	pyrE//dicA//
GO_0010639_7	gph//setB//poxB//
GO_0010646_5	rclB//
GO_0010648_6	cueR//
GO_0010675_6	ccmE//hemH//bluR//tufA//proV//waaA//
GO_0010676_7	trmD//yebQ//
GO_0010677_7	mtn//
GO_0010699_4	afuB//tehB//
GO_0010810_5	thiC//ytfP//
GO_0010817_4	yghU//rlmJ//ynhG//nagZ//psd//recT//yhfS//chiP//trmH//sspB//acrF//sfmH//murF//radD//
GO_0010827_7	feoA//
GO_0010829_7	cspD//
GO_0010876_4	ydiR//
GO_0010906_6	nfuA//rcnA//
GO_0010907_7	mpaA//
GO_0010911_5	accA//glcE//lamB//
GO_0010921_6	galP//aer//ddpA//znuA//
GO_0010941_5	pagP//
GO_0010948_7	ddpX//yebQ//
GO_0010951_8	dhaL//fadJ//
GO_0010962_7	mntS//yfeO//
GO_0010966_8	corA//
GO_0010967_6	yhhZ//
GO_0010974_7	rimM//
GO_0012501_4	yraJ//ycdX//recO//appY//rbn//phoA//sucC//kduI//pstS//yoaA//ybjG//fepG//map//
GO_0014070_5	recC//nudB//
GO_0015031_5	yejB//alsE//yqeA//nimT//yejF//araE//waaB//thiD//amiB//hybB//arnD//mdtP//bglX//kdpE//mdlA//fimF//potG//aldA//glsA1//ynbD//rbsR//hofM//nmpC//gnsB//glsB//torC//yadG//ivy//yehY//waaF//frdD//cycA//yjaA//mraZ//rutR//yjiX//mscS//yejF//ribB//yihS//yabI//
GO_0015074_6	nrfA//aroP//mdfA//yeeO//cvpA//glnQ//cyoB//
GO_0015628_5	avtA//yfdO//tpiA//prpB//cynS//
GO_0015669_5	ilvL//
GO_0015670_6	kdgT//
GO_0015672_7	mtgA//abgA//insA-1//fepG//dacC//panC//araB//fieF//yfcP//yhcF//wzzE//asnB//yieK//dnaB//cbrC//ypdF//yneE//tdcD//fdoI//map//nrfB//abgR//ychF//rpsG//fliZ//sufA//cadB//yphB//uxaB//pnuC//entD//nei//yggW//pphB//yihV//pspD//brnQ//paaX//narZ//fadA//chbB//ridA//cadC//
GO_0015673_9	frwD//
GO_0015675_9	maeA//bepA//dmsA//gatB//ubiA//sgrT//zwf//argC//
GO_0015679_10	tatB//dacB//
GO_0015682_8	ubiD//ihfA//rph//gpsA//cyoD//pgrR//wrbA//mnmA//iscX//ybiY//yciG//ybeQ//
GO_0015684_9	murG//deoA//sgcA//rbsC//yfhH//
GO_0015685_8	yiaF//sufD//yajQ//epmC//nikE//ecpR//
GO_0015687_7	gsiA//endA//ybiA//xseB//
GO_0015688_6	gadB//waaP//dppA//btuR//ybaO//trpC//pgaB//ygiB//nhaA//hslR//treC//sufS//yraR//kdsA//abgR//gspJ//pepB//ygbL//
GO_0015689_8	potH//opgG//ygfA//
GO_0015691_9	yfeO//trpR//hycB//valS//
GO_0015692_8	surE//
GO_0015693_9	ycfL//yqaA//
GO_0015695_6	ynfF//ygbN//yfcU//bamB//mak//yeaE//pgaD//menH//flgE//waaZ//ydfK//nusA//apt//yfbV//ccmF//polB//cpxA//erpA//insK//phoB//caiE//ybaO//tus//rng//argH//poxB//lptD//cspA//ibaG//fhuB//
GO_0015696_6	lpxT//dgcF//rpmC//agaR//yejB//yihS//yidE//mtlR//yiaJ//curA//erpA//csrA//nac//araB//cbrA//selD//moaA//carB//rpsQ//yfiF//codB//mdtJ//rplP//rhaM//yfaE//paaC//yfeD//add//rlmB//speD//yifB//
GO_0015697_7	asnC//ftsA//dhaR//nanT//ccmC//htpX//yadK//feaB//gnd//yggX//bamD//ccmF//ygfZ//
GO_0015698_7	recT//cysH//intS//hisP//ndk//pyrE//araG//trpB//lptG//ltaE//rapA//citC//allR//ygjR//mdtM//yejA//kefC//nagE//ugd//ahpC//gatA//sstT//lpoB//tas//sdhD//lepA//gnsB//fur//hofQ//rtcR//proQ//galU//tbpA//def//yfbS//yejE//hemN//sbmA//cheW//gltK//sbp//
GO_0015699_8	gyrA//
GO_0015700_8	menB//rbn//
GO_0015706_6	wzzB//ycjY//mdtB//
GO_0015707_6	fadI//gluQ//endA//lsrB//nagE//mrcB//
GO_0015709_6	nikC//
GO_0015710_8	yiaN//uvrY//
GO_0015711_6	ybaM//malI//phoE//pdxK//yjgX//rcnA//lsrC//acnA//bcsQ//torZ//nudF//hyi//metR//pspD//ppiD//yahO//pgk//tar//nrfF//aroH//napB//glxR//ynfK//abpA//mglC//mdtB//gatD//ydiK//intF//galM//rplQ//clsA//yfeD//narH//cbrA//acrF//yedX//rmuC//pdxK//galF//bamB//thiM//hipA//garR//moeB//fadJ//nagK//dgoT//evgA//hcaE//murA//ruvA//lspA//mltB//ulaE//narP//yhiM//smpB//dctA//otsA//sodC//cbpM//yicJ//mobA//ynaI//ilvI//dnaX//cusS//rnhA//glcA//orn//gltL//pfkB//purC//nudF//waaP//feaB//gatZ//dpiA//argK//ygiW//yejE//yagE//hofC//cpsB//ybeY//fliD//yhiM//hipA//yjhI//fruB//mdtO//phnP//gutQ//ydfG//yebC//ghoT//paaH//phnN//asnC//ynfH//yhjV//curA//groS//gshB//nudB//yafN//chbG//rimK//pgaD//hxpB//tcdA//ldrB//yieH//trmI//nirB//yfdR//rffC//fabZ//ampE//fliM//ydgA//yobA//malQ//argG//galR//phoQ//ibpA//yfaE//cdaR//mpaA//ybaL//pdeD//astC//codB//holD//frlA//gabT//yqeG//yieH//metC//polA//ispB//crl//
GO_0015712_7	recT//
GO_0015718_8	leuS//yceK//yjjV//prkB//alaA//groS//setB//betI//kdpD//mcbA//fepA//wbbK//purB//yafN//yjhH//garK//gstB//yccA//ldtD//elaB//dgcE//narV//nikB//ybjG//
GO_0015721_7	frdA//alsA//
GO_0015724_7	gpsA//skp//tdcG//
GO_0015726_8	scpC//
GO_0015727_7	yheT//ybeF//
GO_0015733_7	ybcL//
GO_0015734_6	ycbB//pstS//citX//
GO_0015735_8	fimD//
GO_0015736_9	brnQ//
GO_0015739_7	glpG//
GO_0015740_9	aldB//rpmG//ampD//topA//zapD//fhlA//phoB//rffM//yfbR//
GO_0015741_10	yhjG//tcyJ//
GO_0015743_10	ftsP//
GO_0015744_6	nupC//yceO//argD//
GO_0015747_6	glrR//
GO_0015748_6	pheS//fecB//malZ//rne//recG//ynjA//glcB//recJ//cpdA//nadC//nhaR//ybeQ//arnT//rihB//dgcQ//
GO_0015749_7	kgtP//ispA//lldR//dacC//pntB//mrcB//ydaN//rhtB//nanE//yjhB//ilvD//deoD//barA//pepD//panD//dgcJ//deoR//paaX//deoD//yfdO//selD//yahO//rbsA//dam//ybiH//hisB//yhdW//cmoA//ulaF//gspE//cspD//sanA//yejB//csdA//ygeW//rlmL//citE//mzrA//ulaA//rsmE//yrdA//wzzE//pgk//bglJ//bglA//
GO_0015750_8	preT//bfr//ykfM//yjbH//cusS//lolA//fadR//aspS//rbfA//dsdA//metC//fdnG//pflC//
GO_0015751_9	mgsA//cca//araF//ubiF//dgcZ//yahB//
GO_0015752_9	pdeL//dtpA//dsdA//yiaJ//lsrK//tadA//
GO_0015753_9	tar//asnC//yccX//
GO_0015754_9	hycI//ubiG//glyA//
GO_0015755_9	paoC//mqsR//hyfR//mlaE//torS//selU//hypC//mdtF//gshA//efp//rmf//
GO_0015756_9	tolC//slyD//
GO_0015757_9	hslU//yfiR//nrdF//pinE//dgcN//fbp//ynfF//
GO_0015760_8	tsaE//
GO_0015761_9	bamA//fepC//leuO//
GO_0015762_9	elaA//
GO_0015764_7	ppx//msrB//paaK//nsrR//
GO_0015765_8	nadA//gadC//trmH//mdtL//
GO_0015766_8	fadA//gudX//mlaC//tqsA//nlpA//yijE//hisC//queD//glgS//ydjK//ydfH//gcd//tusC//smpB//
GO_0015767_9	casD//modB//bluR//nanT//
GO_0015768_9	tktB//yedP//yqhC//ycjW//ogrK//curA//
GO_0015769_9	ydgA//
GO_0015771_9	pspA//cueO//lptB//ydiQ//
