#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	entB//katE//ldtC//arcC//
GO_0009268_4	cynT//cdd//nuoL//malG//yhbQ//mepH//argP//araE//dnaG//panD//napA//secY//prfB//yqjI//hscC//dgcT//nudC//citT//pgaC//mdoD//yiiD//lptB//rhaR//ynjD//ribE//iscA//murF//
GO_0009271_4	yjeH//asr//dinB//
GO_0009273_5	gdhA//fliK//pepB//bcsA//yeeO//yhhT//ibsE//ybcF//glnH//aaeB//
GO_0009290_6	alaC//purA//
GO_0009292_4	higB//uspF//
GO_0009294_5	gph//purB//
GO_0009297_6	dinJ//prfB//ratA//dinG//rpsN//btuR//yihW//yqiG//xdhB//ruvC//eutN//ccmH//ruvC//ynaI//
GO_0009298_7	rnhA//sbcD//efeO//
GO_0009305_7	mlc//
GO_0009306_4	thrC//ydfK//higA//dcd//uhpT//iscA//guaC//
GO_0009308_5	hipB//yiaU//rmuC//ygcW//hprS//eco//ibsA//ampG//hybF//cyoC//cyoB//ubiF//trmI//rbfA//flgE//waaJ//yadG//deoD//yciE//fhuD//frsA//nrdI//nfuA//mdtF//fklB//qseC//mdtQ//
GO_0009309_6	wza//ybdM//idnD//yaiV//yadN//ygfZ//fadL//menD//pspF//ibaG//birA//def//ghxQ//rbn//
GO_0009310_6	yhhT//ihfA//frwD//gltB//pdeL//ypdI//rclR//metK//metI//speB//tqsA//atoB//amiD//
GO_0009311_5	elbB//pykF//pstA//ypdA//rbbA//galP//yciH//lapA//dhaR//infC//hisB//rhaM//caiB//dicB//miaA//copA//citC//rfaH//rsmB//atpE//ppiA//yodD//acpS//xylG//livM//actP//gntR//gpmA//glgC//aroG//cueR//cysN//hcaB//elyC//rmuC//kdpD//glpG//rlmH//ais//yehX//tamA//accD//hemD//yceD//tilS//lyxK//dpiB//ibsE//bluF//pbpG//yraI//ggt//skp//
GO_0009312_6	yjbB//rutA//rlmB//topA//yeaV//speF//viaA//yidH//hlyE//metR//tpiA//yjhH//rsmI//motA//cmoM//yhgF//rutA//xisR//ytfT//phoP//erpA//yabI//mrp//wza//rpsQ//aroL//rcnR//atpD//yhbS//cpsB//bipA//ompL//moaD//artQ//pldB//copA//csrD//dsbB//yihX//agaA//yddA//ypdB//
GO_0009313_6	mnmE//napC//glnD//frwD//cyoB//ampD//yhhZ//fkpA//rusA//cynT//
GO_0009314_4	ybhJ//flgA//trpGD//evgA//yafE//speA//ynfK//tomB//prpR//dinD//etp//xanP//fliZ//sixA//ygcW//speG//ybjN//moeA//yafE//pstA//gadA//hpf//queF//yidP//relB//cyaY//gcl//wecB//yjiR//idnT//rseP//ydiQ//dusC//codA//yfeR//pepT//kdgT//menE//waaG//nadC//perR//phoU//fucO//ybdM//rpsO//fadJ//waaQ//rffT//rluA//pinE//acrB//uacT//hemL//galR//pyrB//iaaA//priB//yigL//dnaK//chbR//glgC//acs//rluC//ttdR//mtfA//serS//kilR//scpC//pitA//lysR//osmE//yohD//ymfK//ydhQ//sdhC//osmY//ibpA//narQ//feaB//argF//hupB//nrdI//bcp//fadI//yqcC//ybiO//codA//rnt//yfaV//rmuC//fdnG//pabB//
GO_0009372_5	aroG//appC//glcE//
GO_0009394_6	nrdA//smrA//treA//lysU//ytfP//nupC//ompC//
GO_0009395_6	aroP//
GO_0009396_6	glpF//ubiB//nikD//narV//zapE//fliA//yeiE//casC//htrE//frdC//fkpA//
GO_0009397_6	smpB//artM//
GO_0009398_7	metH//
GO_0009401_7	hcaF//pdxY//shoB//yneJ//ydeI//paoC//yggX//zapB//udk//acrB//xylR//nudG//sufA//folM//hipB//ggt//trpD//waaB//uspF//fruB//rapZ//murQ//hyaC//mngR//ydcS//ariR//cobB//malK//suhB//mtnN//uspE//kilR//gadW//slyD//mrdA//rpoH//yihL//yjjX//leuS//yhaM//rhmR//yiaL//ymjB//sdhC//potA//uvrY//nudF//alaA//acpP//mdtG//ydcI//mscS//
GO_0009403_5	ftsI//
GO_0009404_4	pckA//mhpB//murC//prmC//xylH//yidE//rpsS//ldtD//yfgO//nikR//sutR//garL//gsiC//dinB//selB//bamD//gmhB//murA//nimR//
GO_0009405_4	yhjR//bsmA//mliC//
GO_0009407_3	xapB//dmlR//allC//yciH//soxS//kdpD//ugpE//yehW//manX//caiD//fucK//yjiM//gltL//fecA//moeB//hofP//
GO_0009408_4	rffG//rph//yjbH//dapB//hrpA//nrdB//fabH//csgA//ffh//ftsL//sbcB//gcvA//ydcM//oxyR//flgJ//bsmA//yehY//entS//thiP//nrdF//dacC//ydcT//ydfG//aroL//yihW//rpmC//npr//citC//bamB//garP//nuoM//citX//yadV//rlmM//dcm//xthA//ribD//moeB//tisB//chiP//yggX//casC//glcA//rpsS//pck//pinQ//proA//menF//fadM//mdtO//ttdA//fis//rplF//ycjW//yfaV//torR//ygcO//yfcP//hyfC//nrfE//
GO_0009409_4	rpoE//gutQ//uof//dppC//holD//srlA//thiE//alsA//deoA//clsC//paaK//hokE//truB//ykgO//ppk//cysZ//astB//ais//
GO_0009410_4	mdtD//
GO_0009411_6	sdaA//glpR//gcvT//uxuB//bipA//recE//mnmG//rppH//uhpB//phnG//treR//pckA//yceO//yagU//zwf//rpiR//
GO_0009415_4	pepD//
GO_0009416_5	waaO//fmt//ispF//zntA//ldhA//holB//dsbG//pagP//cobB//pyrF//ybcM//elfD//dinQ//eutN//radA//metL//hisQ//adeD//folM//
GO_0009423_8	yjjI//rapZ//rplF//hisD//
GO_0009432_5	maa//sufS//tatB//secG//ycgV//mdfA//zapC//ppk//hslR//bioP//ydfG//yidR//ftsL//aroE//paaZ//ybaO//ydcR//aaeB//yhhY//mnaT//dgoT//tufA//
GO_0009435_9	prpB//yphB//hrsA//chbB//feoA//uxuB//uhpC//wecE//yeeO//
GO_0009436_6	gpr//ydcO//ldtD//kgtP//
GO_0009437_5	iscU//symE//hflC//yacG//chbB//dgcJ//flgF//
GO_0009438_5	wzzE//sspA//dgoT//upp//asnS//ssuB//coaD//rarA//fimD//kdgR//hofM//relA//nagC//gatZ//araD//aes//fabI//hisF//intZ//ymfA//atpB//ubiC//yfdO//treB//fimE//ilvN//fdnI//xylG//patZ//ariR//
GO_0009439_5	yafO//fimF//mepS//
GO_0009440_6	ispA//nhaA//pdeR//
GO_0009441_5	rhtC//ilvH//eutN//gapA//rluF//
GO_0009442_7	frwD//narY//clsC//yihL//yghG//
GO_0009443_5	yjbF//selA//emrK//
GO_0009445_5	yaiP//ybgP//acrR//yjcE//galK//glxK//ydcP//rseP//dppB//ycaN//
GO_0009446_6	dnaB//polB//
GO_0009447_6	ybhF//etp//nhaR//ygeV//ftsQ//waaG//ycfH//dppB//
GO_0009448_5	mtr//ybdO//cysA//ompW//
GO_0009450_6	fadK//holA//tdcG//yjcE//
GO_0009451_6	rpsB//yfcV//ibsA//sufB//lgt//ybjG//galM//gadA//bolA//panD//fetA//kup//cydD//fadI//yeeY//yfiF//aphA//galR//ftsL//chbF//ansB//tpx//fimF//appB//araB//ompR//wzc//fabH//nlpE//yifB//argC//blc//ivy//rplK//yidQ//ompT//nrfB//acpT//ulaD//asnC//rhaD//ydjH//aspS//arsC//sapA//hdeD//kbp//ubiC//glcA//map//raiA//eutA//kdpB//yjfF//yebK//recJ//prkB//coaE//aroB//yqiH//truB//spoT//cobT//pheT//proS//pntB//mdlA//rraA//glvB//arnT//fadB//acpS//yodD//dmlR//garL//gutM//gadW//phr//cpxP//kbaY//yafC//rph//groS//
GO_0009453_4	ibsC//
GO_0009454_5	pmbA//
GO_0009593_4	sdaC//yeeL//
GO_0009597_5	speF//
GO_0009605_3	dnaK//ftsX//rfaQ//parE//bioF//dppD//ahr//yneJ//sbcC//nfi//ybdM//yfeD//acpS//thiD//betA//ybgI//gltP//fadE//gfcE//glmM//secD//arnD//cmoM//rplK//aaeB//proB//clcB//tsaC//smpB//hisC//murG//puuP//folM//sbcD//yhdJ//hfq//tatD//ygaH//cbeA//gcvA//ypdF//trkG//arnE//ldtC//gadB//tas//trg//yejB//caiT//arsC//rffH//cvrA//lptD//ycjR//yraK//dcuB//yehX//tdcD//fruB//lpxB//ycjP//yadK//acpT//copA//mdoG//degP//secA//rho//rutC//yeaK//rpsR//folE//ygcW//lolE//sfmC//ynfE//rsmJ//
GO_0009607_3	matP//ydhJ//feaB//ndk//rihC//osmY//gatC//cspA//rsmA//moeA//stpA//rpe//yehB//gspE//
GO_0009615_4	melA//ybaM//pheA//mdoD//yfjV//dgcN//ompC//puuA//tolB//bamB//iap//yabI//alsB//sdhD//
GO_0009628_3	metG//fdoG//yggW//yaaJ//waaQ//ydeE//erpA//yfiC//yhcD//emrK//nadC//pckA//speF//glcA//rluF//argF//dosP//lptE//cysD//gppA//adk//emrE//rplA//mreC//ybdR//ybcM//yieE//mraY//ltaE//yjaA//ribC//glxR//cpxA//serS//ribC//yfbV//fimE//nrdA//accD//menB//ybgI//rcnB//metL//yigL//aroG//envR//aroG//napB//gpsA//holD//rffM//yqhD//cmtB//yedF//hyaD//pntA//mmuM//rnpA//ftsN//rbsC//ymgC//chbF//ydiK//mreC//wzyE//actP//dsdA//livG//ycaO//yeeO//moaB//lipB//nudG//pflB//gstA//nikB//phoQ//gmhB//narK//ratA//hyfF//mmuM//hypB//rhaM//flgI//elaB//narW//yhhY//sgrT//yadC//oppC//tusA//rpsP//dnaB//yefM//entS//gmk//ybiY//afuB//fpr//csdA//uspF//lptE//fdrA//norW//dcm//ygfX//hypC//gcvP//tig//ecpR//dgcJ//yhgH//focA//nagK//der//trpE//dld//cas2//gabP//mtlA//ulaR//dgoK//msrB//gnsB//aes//pheA//glsA//mukB//wzzB//proX//ugpB//rhmD//cysM//cysD//amiA//ybjI//dtpD//gatB//yebC//ivy//nanC//yraR//ybaK//yceK//exuR//dcuS//umpH//fkpA//dppC//yidA//ugpC//uspE//msrQ//rpoE//yciK//ulaB//yqeA//nikA//zraR//ais//ymgC//ldtB//nac//ybaM//bioH//yphC//ihfA//rbsA//thiQ//frlR//xisR//cmtB//carB//mlaE//rpoH//phnN//rpsH//mdtB//hmp//argK//rhaM//gmk//ppk//yhbO//recD//yghU//ybjN//trmI//cbpM//yciT//mnaT//pyrH//murC//rfaB//ygeW//purB//rpnD//ampG//livG//yfaV//ypdC//mnmA//atpA//ulaF//ivbL//yibF//sfsA//parE//yafS//acrD//yhjB//preT//lpp//shiA//ilvI//ycjD//casD//ttdA//malK//ompL//icd//leuS//yehU//atpC//gshA//yeeJ//serC//ychF//ygjH//
GO_0009635_4	ccmG//
GO_0009636_4	yihT//rpsR//elaD//dsbB//proP//dsbG//ybhI//hpf//yagF//talB//lptA//ascB//kdsA//yajQ//yqiH//relA//fhuB//narX//ybhR//ampG//yccX//aldA//yihT//cpxR//rplM//lipB//folA//sufA//ynfL//yohC//citG//
GO_0009637_6	yrdA//
GO_0009651_5	ompN//envC//hisH//lon//yhaJ//glcE//
GO_0009653_3	yfcA//
GO_0009696_4	yjjX//
GO_0009697_5	sufB//
GO_0009698_4	mdtL//
GO_0009712_6	guaB//infC//hlyE//ppk//nlpD//ulaE//fhuF//tnaC//ymjB//yfdS//
GO_0009713_7	mutS//sfmA//lpxM//ybbY//cbeA//opgB//insB-2//yaaA//nuoN//
GO_0009719_3	corA//fdoH//wcaC//
GO_0009730_5	atpG//
GO_0009743_5	idnO//
GO_0009785_5	hscB//
GO_0009850_4	mgtL//metQ//phoE//citC//agaC//glnB//trmH//rutA//hypF//kup//glpG//argF//yjcO//
GO_0009852_5	mlaC//ttcA//ybjI//nudG//livH//rpsO//fimD//ispU//nudG//pinQ//eco//ybcQ//leuD//
GO_0009889_5	sdhA//srkA//tauC//garL//aceB//ssuD//trmL//ubiX//pbpC//galE//ynfK//lgoR//sspA//dacA//rfaC//glsA2//yihI//chiP//cspD//rodZ//mhpD//torY//sbcB//lpcA//tsaD//relE//wza//yjeI//ydfH//nanE//clsA//pyrG//recX//trpA//yadN//frmB//fkpB//rfbB//yahK//yfgO//ftnA//dinD//thrB//ymgF//yqeF//pyrF//ftsQ//lgoR//narV//cbl//moaC//pnuC//aceB//gcvT//yhcF//napB//wzzE//frdC//ymgA//frmA//ycjQ//menF//tauC//ispH//prfC//hrpA//nadA//yciT//secA//mscS//araD//dmlR//yciV//rfaE//puuD//nrdA//bamE//yieK//aroE//cspA//sodB//rhaS//panC//hcaD//tcyN//ftsZ//flhE//gfcE//uxaC//lsrR//mepA//acnA//yijO//yidE//cobC//tomB//waaG//mntP//ccmF//priA//pmbA//ycgB//sohB//rlmG//rseP//xapB//malK//phnP//dtpD//fbaA//ycaO//xylB//cas2//trkH//ybgP//potF//pitA//ptsP//uvrC//paaH//xseB//uvrC//treA//sufC//frwB//hypC//cspC//malS//acrA//bcsA//flgM//wbbK//ulaD//kduI//htpG//ghxP//hypT//osmE//ycfL//cydD//gatB//xylA//ybiO//rimL//purT//tyrS//recQ//bipA//glnB//citG//idnK//recC//potB//fadH//cfa//copA//ycjY//dcuA//yhdX//sucD//barA//clpP//agaC//hslO//ydfG//argA//phnK//phnJ//yjjX//sfmC//fetA//adeD//eco//argK//glnE//phoE//kdgT//bglJ//truA//topAI//yabI//kup//eutR//yqeA//ybhJ//degS//nuoH//blr//uspC//hxpA//insH-6//recE//fdhD//glpG//chaA//ubiB//glgA//kduI//rppH//leuC//lptB//ybeQ//mutY//dsbB//lacZ//ygeA//gyrA//lsrR//yphC//nrdI//rlmE//nrdH//dppD//lpxC//atoC//ynbC//ppsR//uvrA//cusC//rsmE//ampH//ychO//insH-5//tig//mscM//topA//glyA//uidC//clcA//mglA//mdtB//pliG//pgpC//infB//ybiO//ygaZ//tatD//flgG//sgbE//hcaE//lpxC//gsiC//flgA//metG//yhjX//holD//lolC//dld//dnaT//aqpZ//alsB//hda//ibpA//lrp//exbD//adhP//hycB//nhaA//ugpC//nuoI//yefM//gor//topAI//guaA//arnB//murG//pdeH//dicB//setB//tusA//zupT//yggF//umpG//flgF//otsB//clpX//ligA//ydiQ//torR//phoP//entE//priA//srlA//tyrR//fdoH//rplB//trpR//dkgB//guaB//gabT//ppc//sfmD//thrC//tcyN//pdeL//rpsO//gudP//rpsN//rhaR//mocA//kbp//asnC//hsrA//dgcQ//tdk//priA//tsaE//leuE//miaB//hha//rhtC//sixA//spoT//fecB//yefM//rppH//
GO_0009890_6	aaeB//znuC//gfcE//srlD//yqaB//hupA//gppA//ftsX//serS//ymfA//dctR//tktA//secF//lysR//ykgF//cycA//rzoR//yiaJ//lptF//xylA//yahI//topAI//hyfR//waaQ//atpA//araD//ydeP//helD//waaF//scpB//rimJ//secF//cysA//opgH//glpD//yabI//gsiD//serC//rhmR//nrfD//hyaB//gmk//hyfA//cysC//yedL//livG//ydiP//bcp//yehT//casC//cyoC//queC//tufA//adeQ//rpoE//feoC//tufB//yafO//dnaE//ulaE//carB//kbaZ//rnd//fis//galS//asr//btuF//adiC//glgC//wcaC//yhaO//moaC//rppH//ppiC//yabI//ykgO//pdeR//rzpR//gltL//lexA//uraA//pepB//dnaE//fdoI//yieH//dinQ//ybbN//treB//sppA//cytR//nuoM//tsgA//clcA//uxaA//yfcU//deoB//ydbD//lptF//frwC//yfdO//rlmB//pdxJ//hemF//yjjG//tdcB//gatZ//tamB//ycbU//cspD//yehX//cytR//rclC//psuG//ymfA//sdhB//uraA//yhaM//dhaM//fdhF//yajO//yidD//
GO_0009891_6	mazG//arsR//lsrA//rfbX//tcdA//bglF//dxr//ahr//glk//ypdB//tag//rpiB//appB//yqeA//rseB//lysR//yddG//yhbY//dmlR//nrfE//yajQ//fadR//yciK//insI1//mocA//yhhT//yhgH//yeeY//rplC//hexR//sbcC//hcaT//manZ//ansB//ydiK//mngR//ybaK//clpP//manZ//glk//ytfT//yhcN//lptA//pepB//rplA//rfbD//gcl//ftsQ//ycbU//ybjG//greB//yceD//mltG//rpmC//ydcZ//crl//hslU//cbtA//dgcM//mscS//norV//bssS//dkgB//opgD//yjbF//tusE//gpmA//nlpD//rhaB//secM//msrC//fadL//lsrG//rplQ//ybiS//phnN//yhbS//udk//pncB//dmlR//dsdX//rplP//rnb//
GO_0009892_5	ftsP//dinQ//bcp//lspA//arsC//yfdR//fadE//marA//rluD//atpG//zwf//yjhI//betB//ynfL//ais//ycfL//rpmC//tolA//malI//mtnN//yhdH//rbsB//maa//nepI//ycfJ//gstA//sgbU//add//rlmI//bglB//recE//ispH//potD//tisB//mltC//yodD//nadA//rep//mrcA//ulaA//rsfS//mipA//rluB//argF//pyrG//fruB//yhjX//yadG//tpiA//yagE//hprR//rsmA//mepH//msbA//ftsL//atpH//tpiA//nanE//rpsL//sdhD//pyrB//ilvN//ynjD//tktA//oppD//ebgA//rtcR//fimF//caiE//ispA//pntA//yqgB//dsbB//iscA//ycaO//ptsP//bcsQ//mntR//intA//ribC//glsA1//puuE//yidA//rpoD//moeA//yqhD//adiY//ibaG//yidC//garD//rpsE//paaF//mdtB//ogt//fdx//moaE//ybeY//srmB//ybiO//aroK//fepG//ulaC//pheP//artQ//manY//bioP//casE//bipA//glsA2//nuoN//ydeO//yqjH//nanE//yjjW//adiA//dmsA//casE//pflC//potB//folX//ftsZ//symE//sgcX//gph//satP//yibA//yjiM//tgt//cysN//acrD//yfeD//cysU//fdhE//murG//nuoI//asd//acpH//pabC//adeP//purN//ldtE//yehZ//gdhA//mltF//fdx//ptsN//
GO_0009893_5	sppA//clcB//artI//proQ//rfaQ//yjfF//dsbB//hcaC//comR//truD//syd//rrrD//rhaR//fadJ//csdE//acpT//hxpB//dppB//fumA//eptB//yadM//napF//mdtE//nemA//ccmH//arfB//tilS//yceK//sfsB//pheP//higB//fdrA//yegV//ilvI//tbpA//purN//ycjP//accD//sufD//norR//sgrR//rlmI//tpx//dnaC//deoB//mltD//lysS//rlmD//clpX//yohC//yahD//yoaA//bamE//yqeG//hycB//ybjD//tsgA//kduD//acnB//livG//yoeE//groL//arfA//dcp//murE//eptA//alkA//fimB//glmU//secF//yjbH//fimI//pdxA//tsaC//nlpI//mlaE//eptB//narP//cmtB//ykgM//torY//fabG//rfaB//puuC//ivy//ybiY//cysI//ptsP//carA//frr//rpsB//bolA//sapB//fabZ//rof//ytfE//yciK//insF-1//citT//
GO_0009894_5	allC//epmB//cheA//cas3//relA//ldrB//pck//ydhJ//narV//nupX//patD//yojI//sdiA//ispA//
GO_0009895_6	fdnI//efp//birA//ydcI//
GO_0009896_6	dacA//wecB//rnd//
GO_0009966_5	livH//
GO_0009968_6	ldtB//
GO_0009970_6	dsdX//clcB//ilvI//
GO_0009972_10	menI//
GO_0009991_4	clcB//pdxY//ugpA//yebS//lacI//ybaK//valS//curA//glyA//rplW//arcA//proA//narV//ubiF//hldE//yccA//yqiJ//carB//add//rof//trmH//lapA//phnO//aldA//fdnH//yaaJ//xylE//otsB//ybaT//livK//fimD//ftsK//flgD//galP//sugE//cstA//fecA//argA//csgF//menA//glcB//fryB//mltB//dcuB//mocA//btuR//modC//nikB//mcrB//kdsA//iscX//ascB//yneJ//ftsW//yfdC//uacT//rraB//hpt//cadC//glcE//rffM//ulaA//yggE//
GO_0009992_5	rplA//yjiM//yneL//cbl//
GO_0010033_4	uidR//insH-5//tag//ymgF//dgkA//ugpC//nemR//betA//leuS//tus//yehC//lacY//srmB//glpA//hda//obgE//aaeA//rbsB//nrdD//hprR//recF//yhjD//yadG//fieF//glrK//rcnB//yfeW//ydfK//tyrB//gadE//frmB//modB//fepE//dacC//viaA//nudB//trpGD//recO//ebgR//yigB//ftsI//yfeW//gnd//
GO_0010035_4	qseC//thiL//yadM//rpsI//hsdR//queD//hyi//kduI//hypD//adeQ//yrbG//metI//puuC//ygjR//ftsK//pabC//rnhB//mhpT//gntR//rutF//melR//aceF//yihO//bglF//vsr//nuoH//aroE//argD//dedD//phnK//rarA//yqgF//nirB//ompF//rsmB//intA//tktA//yneE//rnpA//rfbC//ychO//symE//mltD//ydeP//envR//artI//ravA//cmoB//nudG//mdtJ//pcnB//prlC//ettA//deoD//ldhA//ynbB//rpsO//ileS//dnaK//narW//gadA//pyrC//glcD//fecC//cysE//dtpC//glpC//rbn//aroL//sfsA//rihC//xylA//nuoB//yijO//lolA//thiE//
GO_0010038_5	dctR//nrfB//nanA//qseB//kdsA//hprS//oppA//lplA//astC//rcnB//tcdA//chaC//phoE//cspB//rep//dcuS//fimB//appY//ilvI//tdcF//yojI//paaD//ycjU//ulaA//yeeL//waaG//yehA//waaU//eptB//rlmN//hybD//norV//pspA//mltC//crr//lolB//sdhC//malZ//fadK//ygiS//nuoF//rcsA//yqiH//nimT//nrdI//
GO_0010039_6	nuoF//sapC//ydcP//argF//dkgB//paaB//cydC//
GO_0010041_7	greB//ppsA//ybcJ//yebQ//cspC//fumA//
GO_0010042_6	rutA//melR//
GO_0010043_6	gltX//mppA//pgrR//arnT//yehZ//ackA//
GO_0010045_6	lsrC//yhhZ//trmJ//
GO_0010106_6	nuoM//
GO_0010124_4	dgcF//yfbV//nimR//kdpB//allR//acnB//kefG//hlyE//lexA//secY//yaaU//osmY//tolR//
GO_0010133_7	cobT//
GO_0010139_7	flhC//
GO_0010165_6	purU//ogrK//yfjV//ygfA//ymgA//argT//umuD//speC//malI//pepQ//ribB//hrsA//sapF//sbcC//uhpB//ttcA//
GO_0010167_5	murG//dmsB//
GO_0010212_5	csgF//slmA//aphA//pspC//dapB//yihI//yjtD//mepH//ydhQ//yadC//pspC//yqeF//insA-1//rluB//yfbV//fecD//entC//paaC//hflD//narW//cobU//ycbV//rmf//lysS//nudG//insB-2//rluC//ubiD//
GO_0010226_6	ydaN//
GO_0010243_5	livM//pphB//fadH//tktA//nudG//glnP//fdnH//yojI//yhcH//pyrD//trmO//sufC//nfuA//pnuC//yiiM//vsr//
GO_0010269_5	yqjI//
GO_0010272_6	accD//fliA//ghoS//nmpC//yfgO//nanS//
GO_0010273_4	hisG//mutT//rpsO//cutA//puuE//arnE//
GO_0010288_6	lgoT//
GO_0010312_3	priC//
GO_0010332_6	plsB//
GO_0010350_6	rcnB//priA//
GO_0010438_6	treC//adhP//dgoK//pliG//
GO_0010447_5	metK//dsbC//ftsH//arnD//ilvI//asnS//rbbA//zapE//sufB//era//dcuB//bglA//nudF//rimL//mrcB//argT//lolE//lsrK//dnaK//alsE//patZ//
GO_0010466_7	sgrR//selD//
GO_0010468_6	recQ//speA//yehD//decR//rplS//ppiC//nusG//bepA//tolR//adeD//fdoI//rplE//yfcV//panD//lspA//cusF//phnG//ackA//lptF//yhcH//rluD//ghoS//ndh//yhiM//hslV//murG//rplM//hprR//yfaX//queG//ssuB//ytfE//ompL//fadA//yjjQ//yqjH//cusA//rpiR//ybiT//yaaY//trpL//galT//feaR//yfaX//plsB//slyD//flgA//dtd//rluB//hisI//xylE//dppF//nfuA//serB//btuE//ptsP//cedA//ampD//ybhD//bipA//hybF//narQ//eamA//fucI//ilvL//csrD//queA//proS//thrC//tpiA//yceK//yahK//opgD//mazG//yfcR//ulaB//ybjG//srkA//lgoR//clpS//yihW//rarA//bepA//yhfK//purA//waaG//ubiC//ghxQ//alsA//tdcG//mipA//rnr//lplA//rzpR//luxS//yfhM//plsB//xylR//diaA//melR//abgT//cheB//ttdA//yciE//cadA//tadA//rnc//bfr//ulaD//ybhF//baeR//atoC//zitB//bcsQ//mscM//yeiG//gabT//yjfP//yehW//yfaV//ynfL//waaL//ykfI//araE//clsC//lpoB//arsR//gpsA//rnlA//frlC//prlC//ppiC//pdxA//yihQ//mliC//tar//metG//yhdJ//glgC//flgC//pldB//dapD//aroC//rimO//ycjY//torZ//glnB//yqhD//phnG//bamC//rplB//ilvC//sufE//yghW//srlE//rpnB//gcd//deoC//betB//gadX//rplL//menB//cusF//dnaT//yqaE//mtlR//tmcA//sgcC//hfq//hchA//ftsW//tusC//mnmA//yhcN//flgJ//epmC//cdaR//bioD2//sodB//ygeA//dfp//waaC//moaA//rsmH//ybaT//sodC//caiB//topB//ydaN//yhcF//ftsL//fruB//argR//gph//bdm//clpS//sgrT//parC//yraI//rfbC//rluF//yhbX//yggW//sufB//nuoN//nuoN//yehP//arcB//abgA//entB//mdtM//flgK//rplT//cho//ompC//rlmI//deoR//tdcG//dhaM//fadL//degS//oxc//yaiP//nsrR//hyfF//wzyE//holB//prpC//cheY//fumA//leuE//blc//mdtC//araA//araG//yjiR//ffh//cueO//bglA//yqjH//yrbG//yajL//fis//pdxY//opgH//cdsA//soxS//cmtA//ubiD//uidR//trmH//cspG//arsR//mnmE//deoD//yieH//yeeA//acpP//ydeI//fur//yibT//yajQ//uspC//hflX//fimF//ybdN//nudC//dicB//flgJ//dinD//prpD//cadA//napA//speC//yidC//pldB//nanK//mzrA//prfC//ycfH//gltP//ispU//ldtA//rsmG//ybgP//entH//nrfG//cbpM//hypT//rzoR//torD//fpr//chaA//envY//cspG//pliG//baeR//yagU//yghB//tomB//kilR//ssuE//ubiI//pppA//nemR//yqiJ//chaA//agaS//paaJ//yhcD//nrfB//dinI//nuoG//eutA//araE//lldP//rhoL//hemN//
GO_0010498_6	appY//
GO_0010501_7	yjiQ//erfK//yiaF//hupB//tesB//yhaJ//ppsA//cydB//pepT//
GO_0010528_5	melB//
