#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	flhA//ppc//polA//soxS//
GO_0006821_8	rfaQ//narH//ftsB//
GO_0006824_8	pyrL//aphA//fryB//amyA//
GO_0006825_9	rpsK//mlaC//rplX//waaF//lit//nimT//accD//
GO_0006826_9	yfjR//ansB//ybgP//cnu//cdh//fucK//thiI//mocA//hemG//tsaB//ldrA//cbeA//ycbU//dgcM//ychF//intS//lysU//
GO_0006828_9	glpB//torD//macB//
GO_0006829_9	pyrD//ftsW//lldP//sutR//agaI//rhaM//tisB//entH//queD//
GO_0006833_6	pdeF//
GO_0006835_8	secG//preA//tatC//chbA//yabI//kbaY//yibA//ackA//nanE//ygjR//agaS//ldrB//fadM//purN//
GO_0006836_5	yggT//htpG//ynfF//proW//wcaC//rpmA//rlmG//pfkB//leuS//glgC//
GO_0006846_7	tatC//hypB//
GO_0006847_8	ubiF//
GO_0006855_6	dgcF//cysN//rpoS//yeiE//manY//waaB//iaaA//acrA//ykfI//lsrR//pgpC//ampG//uspE//yciT//yrbG//yieE//rutC//intE//epd//cdgI//tehB//eptB//ykfM//pspA//efeO//yqiI//parE//ybhF//srlB//fimC//rfaF//gstA//napC//ispU//pldB//nrdD//frlR//etk//iaaA//arsC//rdgC//yaaA//ybgP//trmA//dld//ytfE//yajL//thiH//secD//yceD//metG//yajD//pabB//dsbD//ycbU//aidB//yehP//avtA//
GO_0006857_7	glcB//phnK//bluF//sodA//deoD//caiB//fhuC//ubiA//ppk//ybjL//rcnA//truA//fucA//intQ//rarA//rplT//lamB//gudP//hdeA//csgE//norV//iraP//tufA//gspE//yecS//sspA//ybiJ//
GO_0006862_7	dgoT//
GO_0006863_7	flgA//hpt//yiaN//frlB//yehD//higA//frwD//purL//
GO_0006865_6	prkB//napF//flgJ//pck//dfp//rcnR//glgA//sgbH//rpsT//yiaT//ghoT//pphB//aroE//sgcC//nrdG//atpA//rpoH//ppsR//yibA//ynhF//frmR//truA//holB//qseB//mreC//elbB//alkA//yidA//torC//kdpA//tilS//cmtA//yjcO//frc//yfeX//mmuM//gspF//fdoG//rbsA//ybaO//leuS//pinR//pyrE//ycdX//uxuB//pgi//yebG//elfD//cvrA//frvA//yceO//hyaA//ravA//hisG//nemA//add//tilS//baeS//fhlA//ybiA//yjeI//chbR//rpnB//ibsD//ydiV//gloA//btuC//fimG//ycfJ//insI-2//acrD//osmE//yidA//
GO_0006868_7	ccmG//essD//wcaC//
GO_0006869_6	cspB//kdpE//dcuA//ilvM//melB//flgI//pheP//nrdF//lsrB//waaC//ftnA//dnaX//rpnC//yebC//perR//rsmD//csiR//viaA//gpmA//murD//cysW//sgcB//dgcM//
GO_0006873_5	fadD//lolC//elaB//hdeD//rhoL//rutR//nuoH//cecR//hyfR//cysG//nuoE//sapC//dnaK//iap//waaJ//lysA//nadE//yieH//srlR//galK//rbsC//ycjY//gltS//yiaT//uup//yifB//ubiB//artP//metQ//kdgK//
GO_0006874_8	citE//
GO_0006875_7	ivy//recR//nuoN//clpB//dgoD//yhcD//sdaB//kilR//malI//tbpA//minC//uraA//minC//prpB//atoS//agaR//actP//yieF//cysB//mdtG//cpxR//
GO_0006876_8	mepS//
GO_0006878_9	ppx//yhbY//yidQ//cptB//hprR//
GO_0006879_9	ompG//ydhK//yiaJ//mobA//lptF//tatA//ycbX//flhD//dnaT//paaZ//yehU//
GO_0006880_4	psd//rplM//mcrA//
GO_0006882_8	yqcC//
GO_0006883_8	gntT//sbmC//yegD//
GO_0006884_4	rpnA//glcC//lpp//qorA//guaD//
GO_0006885_9	treR//ybiX//ribD//ypdF//kefC//yjfP//accA//wcaB//eutD//yieH//dnaQ//
GO_0006886_5	lysA//yfdR//ygiS//insF-1//kbaZ//xdhB//yahN//spoT//frmB//frdA//mltD//
GO_0006928_3	proX//crl//guaC//bamE//yhbY//fadI//cdd//hslR//rpsN//ybjN//ribD//lysO//atpB//rtcR//pcnB//yihU//rna//mnmA//ygiV//cecR//fryC//prpD//dadA//uxaC//ccmF//cusC//epd//diaA//cbl//mltD//ybaE//puuB//hyfR//nac//frwB//znuB//yajR//yjiX//yeeA//ampD//panE//yidL//ddpA//arsB//
GO_0006935_4	rayT//pdeK//ileS//rffC//uxuR//cobT//macA//rclR//efp//rcnA//ppiD//bioB//arfB//murF//yccA//ulaG//
GO_0006950_3	aas//deoR//katG//gabP//murQ//prpD//uidC//djlC//kgtP//fimG//ansA//feoA//rcnB//galT//sdaB//ybcC//elbB//idnO//mepA//aslB//birA//rhtC//cdh//adk//rhlB//dsbD//truD//yddA//holD//gatC//yejF//rsmJ//ybeY//mdtO//basR//bglX//secA//norV//fimF//yegT//dusB//yjcS//nuoF//mqsA//tdcB//relE//ynaE//yiaB//sohB//nadC//exbB//tatE//gloC//ynfL//ygiV//agaI//arnT//recF//gspE//prs//bglA//rapZ//hprS//ykgA//citX//leuO//fimE//yojI//accB//mutM//ygeR//srlE//tpiA//mutL//frvR//ydfK//xanQ//ompR//frvB//degS//ydeT//yieK//hyfR//phoQ//fabH//atoC//gldA//hisI//murB//ftnB//yggP//rzpD//glpR//phoR//cdsA//lpcA//lsrR//bioA//lpoB//prkB//groS//trpB//rutA//hslO//rapZ//nuoL//cdgI//rsmD//artQ//tsaC//betT//frdB//citX//gpmA//htpG//xerD//elfA//araH//folD//wzc//ldcC//hisC//argF//rmf//nikE//mrdB//opgG//hypD//diaA//torD//tauC//cycA//umpG//sgbU//nanT//bioA//dadA//pstS//rnlB//pepT//gadX//murR//nlpD//mdtC//yraI//pta//fdnG//lysA//purN//speA//ydaC//tnaB//nanA//guaD//yddM//phoU//yhbS//lpxP//adhP//lepA//mepA//fabR//relE//ycaN//nirB//ftsL//yneJ//ldcA//edd//rpmF//ypdF//mnmA//chaA//acrE//cpsG//clpB//pntA//wcaC//yjbH//hlyE//aceA//puuP//rseB//rppH//rlpA//ptsI//hrsA//lapB//yahO//rpsD//thiQ//pdxA//eamB//metQ//atpD//pgi//yeeJ//serS//rpoA//chbC//ihfB//pstB//hofO//rppH//ppiA//kdpB//rffT//hcaB//ygiW//prpC//sapC//waaU//pflB//ldcC//ybdG//rpmA//menH//entH//atpH//ubiE//gltD//yqgF//ruvA//recE//yjiR//mltG//ftsY//mreB//ansB//yiaT//tnaB//sdaC//fieF//setC//gltP//rseP//dpiA//rlmG//lpxC//yhfK//yeaE//secF//yfaX//dtpB//uvrC//ybiX//ybhP//nlpE//nrfB//etk//comR//dpiA//gspJ//malP//paoC//gyrB//ileS//sspB//rnlA//dinB//fdhF//argO//rppH//kefG//glsA//uof//ascG//yieK//surE//yohC//dhaL//yghO//atpA//rclR//putA//cspB//xapA//yqgF//yjiA//hlyE//rplC//hofQ//mrcB//yefM//csgB//fimG//rbfA//hdeA//yfgJ//yohC//yehP//gatZ//nikC//wcaJ//srkA//yafN//proQ//sutR//puuE//zinT//ibaG//kbaY//patA//fhuD//pdxY//mntH//focA//rihC//rlmM//yidD//mgrB//ccmE//yahB//tyrS//gph//pspF//insB-4//nagB//nsrR//cysI//flgM//rfbB//ttdA//yehU//ldrB//ribF//tolQ//norV//btuR//thrC//aldB//trkA//ratA//dppF//aspS//leuD//hipA//murD//mngA//folC//araC//exbB//yijE//fliD//asr//rfaD//prfC//adiA//ada//ompT//ybiW//fadL//nlpE//glpR//wzb//yfaE//fadK//ssb//mazG//tdcE//def//yfcU//groL//napD//relA//ybhA//zinT//hyfR//alkB//rplR//cysH//yjjG//yddG//pstB//rplN//glnB//pyrF//phnH//argD//sgcX//narL//yidP//fimA//menC//plsC//murB//rraA//crcB//flhE//nlpI//def//dmsB//appY//sseA//hisI//yehC//mppA//sfsA//rhoL//pldB//tldD//metG//sfsB//rssA//mazG//yggF//prpR//oppA//deoR//bssR//hslR//potF//argA//ychO//ycfJ//mtlD//rfaE//rihB//aslB//afuB//fadI//fimC//yadM//glk//flgD//ibsD//appB//gudX//deoC//mdoD//fdrA//rcsF//ymgC//uvrY//purT//glpD//csgF//xisR//argG//csgA//thiM//kbp//nlpI//dinD//metK//lon//arcC//yigB//potF//moaC//yfdO//fimF//rssA//glpA//panB//yqeG//cheW//yfcP//lldD//srkA//envY//dhaL//rpsM//ycfJ//efp//allB//kdpA//sdhC//phoQ//glgA//queG//pheM//rhmR//nimT//elaB//yfcP//yhjG//thiQ//flgH//dnaC//yadM//maeA//
GO_0006952_4	ydeT//ydcO//iap//folM//rbsA//yifB//ycgR//yodD//zntA//yneJ//pdeL//yggN//
GO_0006970_4	ampE//osmE//ybjX//nirC//yfhM//rrrD//holD//ftsN//gnsB//mltA//rcdA//gstB//yabI//ybaT//purU//fdrA//rfbX//manA//ygbI//btuE//argH//thrC//citX//acrD//phnC//thiQ//gadX//cmtB//ddlA//rfbX//map//ascF//cueR//narW//yiaM//priA//tsf//uxuB//
GO_0006972_5	fadK//pepN//entH//cyoD//ccmE//def//sfmF//yehA//rfbB//pyrC//rfbC//hemN//ybfE//entA//
GO_0006974_5	yghO//rbsK//ibpB//tcyL//purR//pliG//ssb//mgtL//gspE//yfcP//tus//yeeO//lolB//csiD//dsbG//ldrA//pcnB//rcnR//ycjU//ribE//azoR//ydeM//potA//sgcB//hemL//fliM//rnb//yehW//msrC//glmS//sgbE//sgrT//rfbC//lpxL//atoC//ybcC//ygjR//rimJ//tas//sgcA//decR//agaD//metH//epmC//ampH//mliC//sthA//ynbB//hemL//sucB//yahB//kup//ygiS//zupT//btuR//cpxA//srmB//trpA//rfbC//yghW//tufB//adhP//bluF//nanC//otsB//tatC//ychF//pppA//glxK//yiaF//ftsB//nirB//gnsB//glvB//gltB//gloC//treR//yihO//purL//osmY//moaD//alkA//endA//rhaB//rpsD//glgC//ycbV//fumA//acrD//pgrR//yciH//sdaC//mtfA//mdtD//malI//yeiE//mscL//ldtB//glpX//cpdB//pdxJ//nadK//chbA//secY//sapD//gshB//hsdM//araF//clpP//fecB//glpX//cbrC//frdA//agaI//rhmR//ybcM//rppH//hofQ//acrR//betA//fumA//pheA//ftsN//djlC//rplP//metF//setA//fieF//macB//pnuC//chpS//yahB//lpp//ygeX//focA//yghW//metE//tsgA//citT//yjjX//pepN//hisB//yfcP//pspD//pdxA//tcyN//ybbN//yobA//ubiC//pyrC//eutA//rihA//yhaM//pinQ//topA//preA//hldE//phoP//cysQ//rfbC//rhaM//gshB//bamB//cpdB//hprS//cspE//pyrD//cdh//araE//garL//chaC//yfiR//dacB//mtlA//ydcP//tsx//ompA//fryC//cysI//gadC//yecS//yhjA//pdxB//ompF//atpD//rplQ//yhcH//paaE//rmuC//fliK//truC//yhaO//agaD//pflA//hofN//grcA//nsrR//lpxL//tsr//lamB//yneL//tap//moaD//araD//moaC//exbD//hycB//ygdG//cspG//glsB//mngR//truB//yiaB//rhaT//cusA//higA//yjjI//ymdB//rutR//ettA//nemA//mlaC//ytfQ//cobS//gstA//yggE//zwf//yraN//rluE//phoU//rhaS//yiaN//galE//kdpF//treB//uxaA//glcE//ubiE//mltA//pspF//yqaA//csgA//flgI//yciA//chpB//roxA//
GO_0006979_4	pth//nanK//csiR//flhA//pdhR//hycH//rplP//ispU//gadC//frwC//ppiC//yhdW//lgoT//ulaG//dtpC//ribB//nrfA//emrB//ydiF//menH//ybiI//murF//dgcM//uxuR//eno//yjiA//wcaJ//ugd//btuR//sodC//basS//ygfX//yaaU//ccmE//ldcA//pdxA//purA//tolR//dacD//fepD//uof//yjbG//yaaU//asnS//hisA//yjiY//phnG//hyaA//potH//cysQ//dnaN//yehA//lyxK//fabR//uvrD//phnO//glk//trpGD//yhaO//pgaC//mhpD//pfkB//rclA//rodZ//feoB//lgt//sucA//cspC//cadC//ybaO//yabI//tar//sgcX//pgpC//mutS//argR//osmY//mtlA//waaS//gspI//ftsE//panZ//ttcA//glnD//mdtG//xanP//
GO_0006986_5	clpB//rfaD//rbfA//mltB//narY//yefM//
GO_0006995_6	cyoC//holC//
GO_0006996_4	aspS//fecC//ybcQ//xylB//tdcG//ftsZ//waaL//ygiB//rcsD//cysW//treF//rsmA//thiI//aldA//fliA//cas2//fadM//insI3//paaX//ybgP//pgaA//hyaB//dpiA//pstB//yihS//envZ//nikD//iscX//mltB//pykF//nrfB//dacA//insI3//wecE//csdE//pstB//ulaR//nimR//yheT//
GO_0007010_5	yjjG//
GO_0007059_3	ytfT//mak//hlyE//yaiW//rffG//plaP//dinD//glvB//rpmG//glsA1//
GO_0007062_4	rstB//cyoB//ygjH//htpX//
GO_0007154_3	basR//flgD//ygfI//hflC//hslV//frdC//sxy//ilvD//mdh//tatE//ulaF//proA//rclB//ftsK//idnT//yefM//galT//rapA//prlF//zraR//carA//ydfG//holC//yjcO//fadI//rhmD//mhpA//ygcR//dam//mdh//gor//yjaZ//evgA//melR//tpiA//ldhA//mlaE//fecB//pgl//ligA//yjaA//rfaQ//murR//ydjK//clsA//rbsB//srlD//yhaV//hisH//apaH//speF//yfdK//aroK//rpe//rffG//
GO_0007155_3	rplL//malI//tynA//ymgF//rutR//yiiD//nimT//mreD//phnI//tdcG//groL//srmB//frlB//araC//kduI//metC//nikE//rpoA//lptB//priC//tilS//xerC//ndh//rsmH//nfi//afuC//thiC//yhcN//decR//prpB//fimH//yjtD//ibpA//tolC//pepD//
GO_0007163_3	agaA//
GO_0007165_3	napD//csrD//hprR//umuC//atpF//acnB//ulaE//pheM//sucA//fabA//dctA//elfA//fur//rpsP//ydfG//wcaC//rlmB//ygjH//aidB//gntR//hisI//nikA//ynbB//trmB//envR//tdcB//ttcA//gatB//yijO//minD//eno//fliK//speE//rplF//ptsG//elaD//leuE//insB-4//arsR//yojI//rdgB//frdB//hprR//tas//argD//glpR//dmlR//nadA//sgcA//puuA//hcaB//melR//ycbB//dacB//appY//tsr//rplT//ptrA//bioP//fucA//
GO_0007166_4	narG//cecR//ribA//ycaN//
GO_0007215_5	alaC//pgaD//ydeP//fnr//
GO_0007231_4	lepB//
GO_0007234_5	ndk//
GO_0007267_3	gppA//sapB//
GO_0007346_6	gudP//ompN//mglB//
GO_0007584_4	pbpC//nuoH//oppC//tsaE//
GO_0008033_9	yehU//ydiR//rnhA//appY//prmC//yihT//ydiV//mutS//rspB//umuC//gntR//sseA//yagF//argT//yibF//caiE//rpsO//citT//tolR//lipB//cutC//aldA//mepS//spoT//csiR//pheM//intZ//tynA//metE//ftsW//nth//tauD//nrdG//ivy//yfeO//atpF//yjjX//yhfK//fabI//icd//yfiF//glnP//panE//yigL//glgS//hisM//iclR//hofC//gppA//ortT//abgA//sapC//allR//elfC//gadA//mdtL//
GO_0008104_4	ccmF//flgA//pagP//galU//emrD//marA//fepB//yraR//rhaD//epd//torA//pdxA//pdeK//fimE//yeeY//bssR//acrZ//rho//ykfM//ahr//dinG//ybhF//gatD//moaE//metB//pyrC//atpE//coaD//entE//ynfE//yneE//rplF//mog//tdk//rpoH//cadB//casE//flgB//allS//rffH//metE//rfaG//deoD//mglC//rhaS//cynX//aspA//sulA//garR//
GO_0008156_8	fliD//ibsD//lptD//sucA//tsx//lapA//
GO_0008202_5	cobC//
GO_0008206_5	chaC//
GO_0008213_7	yggN//oppC//tdcG//cusF//xapR//yoeE//secD//yijO//
GO_0008216_5	epmB//feoB//cycA//
GO_0008219_3	kefG//lrp//agp//rdgC//rzpD//crfC//ytfE//thiM//mtnN//bioD2//serB//lexA//pinR//uspB//truB//
GO_0008272_6	aer//cnu//mtr//metL//ydiZ//ybcL//gspE//
GO_0008295_6	rseC//ortT//sfmC//
GO_0008299_5	gmd//ptsP//pflB//ftp//betT//glmS//
GO_0008360_4	gpmM//afuC//btuB//infC//ascF//tesB//fecA//ydjH//ampE//yehA//glcD//ompW//gsiC//torS//lacY//pheM//
GO_0008361_5	hsdM//gshB//dgcE//chbF//yhfS//
GO_0008380_8	yieH//
GO_0008610_5	alaC//yegV//yiaM//yefM//dsdA//selD//phnI//rluF//ptrA//ykgF//ulaR//rplT//topAI//rlmD//borD//dadA//yhcD//rutD//tonB//aroG//pepA//xseA//lldR//der//nfo//pal//yhbY//yehW//hcaF//cvpA//tauD//yeeJ//sthA//minD//yehZ//dnaA//ypdI//pntA//recO//rhaR//kbaZ//lysP//phnN//gspI//uacT//gnd//zapB//fucP//mutT//uxaA//arnB//acrA//ycgB//yggX//ampE//cspI//ycfH//lpd//msrQ//thiC//mltA//uvrC//asmA//guaC//csgE//yqgB//kefC//
GO_0008614_5	nadD//ykgM//rimK//secF//aroC//xdhB//mutH//
GO_0008615_6	sgcE//kbaZ//coaD//degP//ubiJ//fetB//galF//
GO_0008616_8	aroC//yqcC//purL//ygeW//yagE//ribC//flgJ//
GO_0008617_9	rseP//
GO_0008643_6	ilvA//ychO//lysC//yigL//rcsC//kduI//ubiI//ynjA//yfeD//hdeA//yojI//clsC//dnaK//cas1//ycjU//ygeW//nrdG//soxR//paaH//ais//yjiX//rna//surA//hofP//opgC//ldtC//yijE//serA//tehA//degQ//mdtM//cysK//ppsR//fpr//yfgJ//nagE//uxaB//folP//nuoM//ybeQ//pgaC//yddA//ydhJ//rraA//rhaT//glnH//hdeB//yedP//rbsK//pphA//thiI//yajQ//glpT//yqgB//cas1//fadB//rplA//hsrA//crfC//ilvE//proX//btuR//ubiF//coaA//glxR//gadB//rsmH//ompL//thrC//narP//hchA//argC//yddM//ugd//slyA//rutF//yfgJ//gspF//waaB//ldtA//prpD//tolQ//pagP//tsf//aspC//yciF//yajR//menI//hipB//rpiA//dinJ//lpxL//lpoA//ralR//rpsD//bluF//tsx//argG//cheZ//ydeP//gnsB//menC//lsrD//hcaR//fnr//hisQ//ydjM//yfbU//hcp//lsrK//fryC//lplT//mukB//tatD//
GO_0008645_8	prmC//ygeR//mfd//ddpX//clpA//ispG//hslO//rnr//ydeP//nrfA//amiA//deoB//smrA//yhaM//hisF//tadA//chiP//hupB//yhbY//nrdE//frdC//livH//nuoH//rapZ//
GO_0008652_5	cysI//prfA//galM//dmsA//nuoM//scpC//lipA//nikD//bamE//tisB//tsx//ygeW//sufB//sbcD//arsR//yihQ//rplE//gadC//yihP//yjhG//rbn//modC//rutF//waaJ//yeaG//yeaV//csgD//lexA//yraK//yehY//csdA//yedF//ebgR//tyrB//ydcO//cheB//setC//rpmE//prpD//ompW//manZ//appC//bdcA//panB//gpp//ybaK//yjfF//yajL//prmC//glnB//emrK//ytfE//dnaG//umpH//rpmG//waaJ//ftnA//aes//rpsO//dacD//aldB//yfaE//ppc//ttdB//mntP//ychO//ampH//ybjN//rsmH//alsB//trmD//yfcP//phoR//rsmD//ybhD//cysP//hisD//cyoC//dgoR//yceK//nagD//dinJ//uidR//entB//ybiI//argK//moaC//dacB//gadB//rutA//appC//tcyP//bsmA//treF//yhjB//purU//flhD//sapB//rraB//bamA//waaQ//fieF//yghO//uspC//dtpC//leuA//nuoG//fabI//aroG//holB//potF//wbbK//ybgQ//rcsB//
GO_0008653_5	glsB//cbpM//fabI//yhjC//yjiY//panZ//thiG//secG//dgoT//argI//ulaG//smrA//acnA//
GO_0008654_5	gatB//yhjA//yagU//ruvB//ade//hsrA//accA//sdhD//dcuB//yidC//rspB//srmB//cdh//focA//flhC//hyi//napA//rrrQ//trpA//yagI//waaQ//gph//ynfF//rcnB//yceK//rhaB//pdeF//insI-1//secA//rpoD//smrA//rsmB//cysA//psuG//kdsB//
GO_0008655_5	rfaD//cusB//entE//ruvC//rutC//ybhJ//epmC//
GO_0009050_6	dgcM//bssS//
GO_0009052_6	rplJ//yeeO//cheB//rof//kefG//holE//gcvH//
GO_0009056_3	elaA//yqhC//pinE//pgi//raiA//dld//potH//bluF//ansA//trpL//tnaA//elfD//tauC//raiA//astB//yiaU//nudB//mrdA//ybcC//chbR//cysS//yggE//citC//pheT//torA//ccmF//nadD//ldrA//yfeD//hupA//accC//sgcX//acpP//yfbS//fetA//yciG//coaD//asd//uvrY//mscM//citX//ynfH//astC//ascF//ppk//yfdK//adiY//adiC//recB//nhaA//arnT//murI//argG//waaU//mnmC//dauA//folE//dnaA//chbF//cheZ//basS//frwB//minD//gspE//pepA//envR//ptrA//ygfA//rsmB//speF//glpG//tufB//secM//yehU//glcF//ilvD//yhaO//eco//eutD//groS//dhaR//rbbA//aes//dgcT//fdnI//tauC//fiu//ygaV//msrC//galE//speA//secG//yahO//ibaG//dicA//phoU//ygfX//apaH//glrR//cysW//rcsF//nfo//rffM//thiL//argI//sodB//mutL//opgB//ybeQ//psuT//nrdB//ybcQ//cvrA//rpnA//yraJ//pdeK//deoA//hscC//cytR//yahD//yjiR//yafS//citC//kdpF//mtr//bioD1//mnmC//torD//yiaT//acrA//asnS//chpS//fimG//chpS//osmE//ggt//nrdB//pheS//ycfJ//evgA//thiP//btuF//alsK//yfaU//gyrA//tolQ//potH//lepB//rho//dppC//ghxP//suhB//tyrR//rhtC//folA//rplJ//allC//ghxQ//lolC//birA//dicB//pepQ//ccmE//argS//accC//dfp//hycB//diaA//yaiP//tsgA//pth//rpsN//pepT//agaV//ubiC//ubiE//yidC//sapA//yahO//rpsT//yjgX//wecB//rfaD//kbp//glpG//frr//ytfP//mcbA//sdaC//polB//hda//cyoB//xylE//dxs//cbtA//mnmC//rlmD//brnQ//yiaA//fhuD//miaB//yedA//rutB//atpG//amiB//fliD//nanE//gcvR//proV//gltK//tatB//thiM//hisM//essD//acpS//rfe//csgB//yfcQ//glcC//cheA//yraI//manX//argB//arnT//yagU//rof//ybaM//phnH//torY//pnp//rplC//kdpE//topB//btuD//tamA//queC//ycfJ//bglB//aroA//mioC//lolE//ybiO//ygiN//zupT//ycbU//umpG//ccmA//dauA//proC//glnE//tdh//stpA//wcaJ//betA//dusB//rppH//yceD//ydbD//pdeR//ppiC//rimI//gmd//hofM//emrB//narW//ybcC//potD//mfd//yoeE//mltA//lpcA//arcA//ppiA//surE//queE//fdhE//dppA//fecB//dcuA//casC//ypdA//putP//rayT//glrK//gyrA//def//yaaU//glgP//psuT//atpA//gntP//mioC//ygaH//gcvA//frvB//sgcE//metB//yafN//proP//rzoR//atpD//prlF//ribC//cysH//cbeA//cusF//dicA//glsA//sdaA//rpoE//cobU//csgG//ydjJ//purT//lit//ykgA//otsB//proV//galR//coaA//pcnB//fimZ//ppiA//bcsQ//yfhM//mtlA//ybiX//fabR//nikE//modA//flgM//yciA//ompL//modC//ygfX//preT//iraP//nikD//gadB//asr//ydfH//mukB//yohD//rihC//frdD//ynfF//ilvL//asd//galM//dkgB//mdlA//dpiB//yfiR//marA//dnaK//yoaA//gltL//rplK//eutR//trmB//murC//yihR//ypdI//ileS//secY//rhtC//hypC//fliZ//ribF//asnC//csdE//polA//uspE//oppF//sfsB//mhpR//mutL//uxaB//yciA//bssS//gadA//fabB//hypT//cho//rnpA//aroP//znuC//rseB//eno//znuB//ybjC//phoP//paaZ//araC//focB//gldA//acpH//hyaA//ugpC//matP//yeiE//lptG//mdoD//yafE//nikB//bioP//appY//srlE//ompG//dnaQ//hybE//ftsY//ybjL//yjhH//folX//torD//
GO_0009057_5	hscA//ldrA//rclR//deoR//znuA//betB//cspE//mdtI//hinT//ftnB//metH//lnt//bglA//fis//nuoM//alaE//ttcA//yejB//ybdM//yraK//cheZ//ssb//yraH//ybjG//codB//hyaD//zraR//sfmF//tusB//hemB//napA//pmbA//rutA//yieH//nrdA//uspF//ssuC//waaP//yebS//tehA//zntA//lptE//yfaU//argT//thiE//dnaE//rfaH//mngR//ynaI//yidR//ynjD//bioB//yoaB//paaX//
