#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	frc//yhcH//amiB//menI//
GO_0009409_4	glnL//atoB//ygiV//upp//waaS//rhaA//norR//purU//prc//yheT//rpoE//mdlB//mcrB//lpxP//prfC//fecA//rstB//fecB//
GO_0009410_4	prfB//
GO_0009411_6	lgoT//hypB//entC//uhpT//yehB//lexA//ldcC//mioC//pgaA//glvB//ykgF//patZ//hycH//cheY//pbpC//rplY//
GO_0009415_4	yfcP//
GO_0009416_5	gpsA//rseC//mraY//purC//metR//glnH//guaA//focB//glgS//cdd//rssB//yhhZ//treF//ccmF//prpD//dnaE//lysC//cysM//hybA//
GO_0009423_8	lasT//chbF//ghxQ//ybcL//
GO_0009432_5	rpiB//yfdS//rutD//trmD//fruK//yphD//dgoD//ssuC//zntA//recF//alaE//argE//ynfF//ampG//aceK//hcaF//garL//ygiW//atpE//dgoD//lpoA//rpmH//
GO_0009435_9	lipA//dinI//proS//xisE//xisE//fhuD//dctA//acrD//rbn//
GO_0009436_6	surE//uvrA//yfaL//modA//
GO_0009437_5	phnP//ymdB//rffG//ygfX//ampH//fes//recO//
GO_0009438_5	pphA//rstB//hsdR//rimP//grxD//yjfF//plsB//modA//ascF//btuB//ftnB//gntR//cmtA//dtpD//lpcA//azoR//topAI//eutN//cynS//entF//ascB//gyrA//aphA//coaD//garR//trpC//rplR//sspA//gmhB//ygaV//
GO_0009439_5	alaA//priB//basS//
GO_0009440_6	fadL//fixC//ascG//
GO_0009441_5	gabD//bacA//pheP//sgcX//ulaF//
GO_0009442_7	phnJ//trkG//prc//pal//recA//
GO_0009443_5	yfiF//cydB//rplD//
GO_0009445_5	tauA//rzoR//lpxL//yigL//yehB//pspG//recQ//ybjC//yjiX//agaV//
GO_0009446_6	mtlA//rpsK//
GO_0009447_6	nrfE//hofO//ulaB//fimI//hycH//dmlR//aqpZ//gpr//
GO_0009448_5	allS//dctR//ygbI//mdtB//
GO_0009450_6	nagK//lsrG//folA//hyfC//
GO_0009451_6	trpGD//agaD//acrZ//frlA//secB//uxuA//ugpE//fhuD//rfaH//pgpC//ydhJ//nimT//pspC//ubiB//potC//miaA//dacD//msrB//yjeI//atpE//macB//rluD//zntA//insA-1//acrB//mug//narQ//yqiH//galE//yjbG//ilvL//exuT//appC//ldhA//manX//hxpA//nadC//csiR//rhmD//tsaB//tktB//ynfK//fabB//yhbX//ssuE//gloC//ppx//fimD//insA-2//pinE//ydjK//gstB//menB//hscB//frr//feaR//yciK//yhcH//pgaD//sapD//sbcB//dgcM//yqeF//trmD//kdgT//yhaJ//rihC//csgD//glpB//hsrA//xylB//lptA//yieH//rihC//speG//bdcR//gadA//ldtE//intE//fhuF//rho//mltC//ais//
GO_0009453_4	tqsA//
GO_0009454_5	pgsA//
GO_0009593_4	ychO//yaaJ//
GO_0009597_5	ygeW//
GO_0009605_3	tgt//ftsY//yfdK//yjiY//gspJ//yjiR//xylG//fecB//ridA//dgcJ//yggP//ydiZ//rfaD//ribB//hprS//gcvR//yieK//msrQ//yrbG//cpxP//gcl//pepB//rpnA//rmuC//chpS//arsB//tehA//yhfS//bdcR//rpsI//flhC//adhE//efeO//sucD//mscK//trpL//mutM//ygeW//recO//fhuD//flgD//cyoE//amiD//fsr//adeQ//borD//rfaB//glgP//dbpA//ompR//recA//yiaB//ybjD//agp//yphB//ftsW//fimE//uhpB//glpD//fabG//yijO//rnb//kbp//lplT//caiF//atpF//eptC//aes//rnhB//yjjV//rpsS//glnD//wecB//ytfP//patD//frmB//nrdG//
GO_0009607_3	hypT//gltK//nepI//narW//oppC//roxA//tsgA//ettA//glyA//fepA//fixB//hycA//cvrA//fiu//
GO_0009615_4	alkB//rpsI//ydcR//yfcG//flgH//ulaD//hycI//folM//slmA//ybaM//yeaD//yihW//galP//udk//
GO_0009628_3	prmC//rpsA//cpxR//spoT//rnlB//yjbE//yjfF//rutB//soxR//yeeA//fsr//gatA//bdm//ygiN//umpH//trpGD//nemR//ycjW//ansB//mgtL//gntR//nuoH//ycfH//agaV//relE//recJ//arnA//ydhQ//dsdC//xseA//rplI//ptsH//appY//phnP//ygiB//gadW//rapA//lpoB//yjeI//rsgA//bhsA//pabC//pdxA//rpsN//narJ//mdtN//hisI//nikR//lpxB//mlaE//dnaC//ilvA//tyrS//tolQ//appC//speD//mntR//lolA//yehP//malS//agaR//mtr//yfcU//qorA//rsmB//cbtA//mrr//ubiD//purB//bcr//epmB//ftsP//pgpA//rplJ//xylA//kduD//pgaC//dgoD//topB//menF//ppsR//ybhS//ilvI//pitB//yfiC//bdm//eamB//pyrB//hslR//fucK//cueR//zntA//tatC//ssuE//yqeF//mntH//bglH//mmuM//dosP//pdeK//rpsB//prc//gpmM//yeiL//hyaC//hslO//pepA//fadL//lplT//yehY//pgsA//nrdF//queG//aidB//nemA//feoB//glyS//ybgP//rbsR//accB//fdoH//kup//atoS//ilvM//ygeA//flgM//cecR//flhC//nrfC//mdoD//malS//rfe//elbB//ldhA//bipA//cpsB//glcF//nrfA//cmoM//gpp//dtpC//frvB//puuB//eutA//yqcC//amiD//yjbF//umuD//ynfH//yccX//proW//dicB//ydfG//rarA//osmC//ygdG//ybdH//coaE//proV//yadM//hha//galU//fadA//sbcD//fruB//mtlR//queF//ypdI//lldR//bioD//pdxJ//kdpF//ade//cadB//rng//yhfS//frdA//ravA//ygbI//glnH//accD//gldA//pdhR//rsuA//pinQ//hdeD//casD//yagU//secY//amyA//iscA//cpxA//glnK//insA-1//dosP//yahI//ompL//selD//tsaE//slyA//rimJ//hemC//uspF//hybG//ilvN//ribD//aroB//rplX//cspI//dmlR//basS//wecE//polB//lptD//yadM//yjbE//grxD//mltG//tap//rfaH//yfdS//prmA//elbB//idi//csrA//rfbD//aldA//rpoD//mlaC//aas//
GO_0009635_4	fadD//
GO_0009636_4	ahr//pgpC//dinD//moaC//yhjV//ansA//katE//mdh//queC//waaC//speC//tdcR//mipA//ygdG//rcsC//fhuB//ldtB//pabC//elbB//envZ//rutC//napC//sugE//potF//insA-2//yihR//ybhD//phnN//sapB//eptB//aspC//
GO_0009637_6	yfcF//
GO_0009651_5	pck//yieF//rluB//cmk//emrK//nadD//
GO_0009653_3	yhbO//
GO_0009696_4	paaJ//
GO_0009697_5	ugpE//
GO_0009698_4	iraP//
GO_0009712_6	ygbL//proV//ycjD//wbbK//gshB//sfmF//dauA//agaA//rclC//prfC//
GO_0009713_7	glgA//asnB//metG//rsmC//dnaC//ftsB//ccmF//hisP//dicA//
GO_0009719_3	yeeL//ugpC//ygbL//
GO_0009730_5	araA//
GO_0009743_5	sixA//
GO_0009785_5	malF//
GO_0009850_4	bioC//hslV//ftnA//lpxB//bepA//wecC//yaiV//pagP//rzoD//shoB//adhE//ptsI//hyaA//
GO_0009852_5	tdcE//ydhK//ybhJ//hslV//ubiI//fcl//yciA//sspA//ftsP//glnP//yceK//fimA//diaA//
GO_0009889_5	pepD//nagC//ascB//mdtJ//yahD//treF//rutF//queA//arsC//sbp//tas//ugpC//trpE//mngA//dxs//cadA//yigL//paaF//ycgB//ttcA//nudF//uidA//frc//paaJ//yebC//yqiJ//csrA//ihfB//ydeO//ftsB//metL//ftsQ//nhaB//gsiC//ibsD//cedA//aroB//hha//pepB//frsA//ydhJ//parC//hscC//copA//asnC//rpmE//yahI//rpmG//sapB//ompR//yiaU//lspA//yqiJ//dgcJ//lapB//truB//yoaB//ade//crr//rihA//rfe//yqiJ//fadD//entF//ibsC//xseB//mutT//tus//iscR//fmt//prlF//ppc//lysS//fabA//galK//rpnC//ascB//rplL//nemR//moaA//dsdX//ttdR//cspB//narI//yfeW//ydhJ//exbD//manY//thiL//yiaA//mgtA//oppC//nirB//nirC//yagF//ispU//lysP//fryA//metC//dppD//ybgQ//fimC//ydhJ//malE//livH//dgcF//pdhR//ydeP//phoA//borD//rbn//cas1//mepM//tisB//hisP//cynX//tynA//ybdG//scpC//rplL//yieH//ycbX//nemA//aroE//mlaE//matP//xisR//hyfA//yjgX//glpX//yjcS//yphD//malE//leuA//ddpA//pphB//ompC//tktB//aroB//zntA//yggT//oxyR//rna//cdh//narZ//rpsE//yphF//polA//yidD//lldR//lacZ//tcyJ//srkA//udk//phnH//cobS//hscA//pyrF//yigL//mrdB//fecB//ivbL//hemG//rseB//evgS//emrK//hofP//rutB//rpsJ//yqjA//hemD//tdcB//birA//leuE//lpoB//yddA//phnH//gstB//fdhF//lldD//basR//ulaB//yiaT//fdoI//hemE//htpG//rpsQ//ftsH//hdhA//mdtN//csgD//nagZ//fbp//amiB//btuD//rpsI//hpf//lldR//ortT//dacD//ybdG//hupA//rpsG//acnA//speC//paaB//rpsK//nrdH//parC//mepH//bglA//lipA//dsdA//aroF//betA//lysR//ibpB//wecE//metH//pphB//appC//ttdA//ybbN//lysR//fucI//ytfQ//yagE//raiA//ftsK//moeA//gppA//cusR//gsiB//rcdA//cynS//hisA//dfp//ade//fryA//ftsK//ivbL//rseC//ykgO//proX//yejE//yadC//yidK//ubiF//sucB//ybdZ//yfaV//rzpD//frvA//oppB//intE//purT//thiC//glpC//envZ//lacZ//frmR//tmcA//rplA//speC//fryB//hprS//gadB//yhbQ//pepB//ynbC//fic//aceA//menF//hofN//arsB//abgR//htrE//ybaO//dppC//murJ//casB//tcdA//queC//ftsL//oppA//artQ//surA//topA//tnaB//fetB//recF//parC//ligA//mglC//paaK//hdfR//waaU//eptB//yjjQ//murA//yjaZ//bglF//tsaE//nrdG//mnmE//sfsB//yafQ//pheM//deoB//mioC//ldrA//garD//ulaF//rmf//tgt//elaB//
GO_0009890_6	yhaO//norV//yrfG//rnlB//bglB//opgC//uxuB//ascF//frmR//xapB//rzoR//aroL//ydbD//rplR//rimP//agaR//hdeA//sbmA//bioD1//zapC//oppB//erfK//yhaV//ydeP//mlaF//ulaG//hemH//hslO//rarA//puuC//cspB//yfhH//yedX//lgoR//casC//rbbA//dsbB//degS//phnO//rlmG//ybgI//fryB//sthA//galU//yjiQ//fepC//hemF//entS//nirB//ribD//gadW//truC//greB//fucA//mtgA//rzpD//nikA//gntP//cspD//ssuD//adhE//cho//aceF//torA//gltK//narY//fdoI//ompA//ispG//cptB//flgF//cmoM//prlC//hmp//ilvA//gloA//elfG//yggP//mraY//ldhA//abpB//tehA//mutS//yqcG//mmuM//eptB//mukB//thyA//obgE//asnA//torS//uspB//ybaO//ompW//ydfD//yagJ//ynhG//stpA//hisH//tufA//sfsA//speD//cvrA//lldR//rpsQ//pphB//selA//aspS//gsiD//gspJ//nirB//pstC//cheB//pgaB//rne//cspB//yhjX//hcaE//aer//dmlA//rplM//
GO_0009891_6	yihL//gsiB//pspD//srlB//dinG//pmbA//guaD//torR//pinQ//plsX//mdtA//sfmC//yjbE//grpE//hyaC//iraP//modA//ortT//sugE//ynjA//mdtQ//caiT//sbp//hyaC//tyrS//rph//menA//ogrK//yhhZ//lpxP//maa//ygbI//arsC//xylR//nadA//livJ//ydcR//nlpE//rfe//tdcA//lpxT//yfcF//metC//hyaA//emrB//exuT//aroG//napB//bssR//hycH//rssB//fadI//frmB//yieH//radD//hflX//mdtF//psuG//yddM//malQ//rplX//dsbD//hypB//sgbE//yjbF//pdxH//nemA//puuA//yhaV//hscC//gntK//ycjD//insI-2//lpoA//cysZ//fadE//murA//ypdB//ispA//yaaU//rpmE//mak//ompT//
GO_0009892_5	yneJ//yqaA//kdsC//hyfC//rapZ//agaD//hprS//bssR//nadE//dgcT//lptC//bfr//yihW//proV//insK//selD//waaB//casB//cyaY//rsmD//dapA//hokB//yeeO//aspA//glnQ//tamB//dnaT//wecE//radA//hisM//tamA//gntU//flgC//rfbX//yoeB//hofP//nrfA//ypdF//aroC//purU//ypdC//dinQ//ibsD//ssuD//insI-1//pgi//fliS//panE//guaB//uraA//trpA//insK//dmsA//yfhH//narX//cspD//abpA//yrbG//zapB//yiaN//proQ//hisD//proS//mprA//ygcO//bamC//hdeB//emrK//tdcR//ydjJ//kbaY//yhhY//iap//deoD//ynbD//mazF//pstA//hrpA//degP//ybcM//thrL//cobS//dinQ//gabD//basR//thiC//ftsZ//kdpA//intZ//flhA//iscU//rraB//npr//mntH//rutC//ilvE//rsmD//lasT//adiY//yrbG//ynbB//waaF//cadC//yiiE//pdeD//mltB//fau//rbsC//ycfS//fdhD//envR//lldP//dgcF//ybhG//ccmA//mcbA//ssuD//tdcE//slmA//pppA//ybiJ//maeA//hemL//ydiP//cfa//lolA//eamB//lpoA//lplT//rzpD//pheM//glnE//nimR//ftsZ//yadV//codA//ygjK//purD//pgpA//endA//recN//araD//rraB//hycH//dgcT//hisC//
GO_0009893_5	fpr//hisF//hisI//mltD//obgE//rusA//dinJ//epmB//rlmH//yajD//mdtA//ligA//edd//araC//sapA//yfcU//lipA//emrB//ttdT//rapZ//garD//ycjR//msrB//yhaV//yeeA//yidL//insI-2//tisB//yeeL//abpB//patA//mcrB//kefF//hcp//elfG//nrfC//napB//ybaO//clcA//hisS//yibA//recT//cdgI//hipB//tynA//flhA//lsrD//yhjD//yqeG//yfiE//yiaB//gatD//degS//thiD//ulaG//puuD//yihV//yibA//tatC//thrA//gspE//ampH//ulaB//chaA//truB//ansB//waaL//rdgC//rbbA//pbpG//tktA//hisD//recF//cmtA//nfuA//gsiB//ugpE//clpB//gspJ//wzzE//kgtP//groL//galR//polA//ftsA//rimM//ppiA//nudG//thrB//ybbY//nuoE//tsaD//nepI//yihL//yehC//hokE//araA//cysA//artP//
GO_0009894_5	ynhF//yfaL//otsB//lysP//yhhZ//ybbN//gsiD//ltaE//argT//iraM//aqpZ//rplP//agaR//fecC//
GO_0009895_6	mtgA//yahK//yjjW//cho//
GO_0009896_6	rsgA//tauD//glcD//
GO_0009966_5	pepQ//
GO_0009968_6	prc//
GO_0009970_6	fadE//yhaO//cecR//
GO_0009972_10	cheZ//
GO_0009991_4	ung//rihC//ygdG//ybbW//osmY//cdd//ldcC//fucI//soxS//caiF//ompA//lpd//zupT//ilvE//dgcN//norW//osmC//tdcR//cysQ//nac//glpX//yqiG//gntP//sgcR//yhaJ//gpmA//erpA//yajR//uspC//oxyR//surE//yrdA//frlA//rapZ//panF//guaB//ytfR//umuD//fklB//ftsQ//fruB//fecB//insB-4//apt//potA//mnmC//slyD//potA//tolQ//yphD//kdpA//mliC//coaD//ynjD//yagE//yfgI//gspI//ugpE//dhaR//waaH//ubiG//glrR//basR//
GO_0009992_5	kilR//ycjP//fucP//cheR//
GO_0010033_4	puuE//nrfF//chpS//ydhJ//yhbX//lysP//artI//flhA//kbaY//lasT//uvrD//dgoD//mlc//yaiV//yiaL//alaA//serS//rcsB//essD//waaL//mcrA//nadD//ybaQ//artM//sbmC//fau//yqgB//cho//xanQ//speA//rsmG//fimI//qorA//pitB//yebS//arsB//mnmC//rpmJ//rssA//yhjC//yihW//umuC//fkpB//
GO_0010035_4	ybdG//ftsQ//rzoD//sufE//cobU//cpdA//ygaV//mutT//nhaA//recC//uof//hsrA//alsA//leuD//rcsB//clcB//gltL//yciE//mgrB//srlD//msrC//tatB//gatA//ratA//casB//ilvE//dgoA//ttcA//moaA//alr//ydgA//trmL//ynhG//dtpB//ycbB//parE//sdhB//ydhC//yfcF//pgk//seqA//rbn//citE//rsmE//oxc//hns//ycjW//dld//gsiC//relA//ydhQ//fucI//hyaC//yhjC//rapZ//rpnC//yfhH//clpS//bhsA//hisF//dhaK//gadA//zipA//yjaA//tehA//etp//narW//ydjK//narU//recN//lipB//dut//ygbL//sfmF//rplJ//smpB//
GO_0010038_5	mdtB//btuC//setB//zraR//rcdA//qseB//aroL//metQ//matP//satP//prfC//dosP//rpiB//rhaS//trxC//eutN//pal//hycB//yaiW//maoP//yidQ//ymdB//hypA//pheS//msbA//hybA//amiD//iclR//csdE//eamB//baeR//tdcE//rhsD//fryC//hisF//yoeB//yqaB//pstA//nanT//entH//yobA//mak//hflC//aceF//acpH//
GO_0010039_6	ptsN//hcaC//mreD//dhaM//torD//fimF//tar//
GO_0010041_7	ileS//moaB//cysW//mhpB//dgcZ//lysU//
GO_0010042_6	fliT//nupG//
GO_0010043_6	nrfE//yohC//serB//ompN//mdoG//yraI//
GO_0010045_6	argS//ruvA//yhdW//
GO_0010106_6	rplJ//
GO_0010124_4	ihfA//sufD//fryC//yidK//guaD//rspB//maoP//aspS//cas1//yojI//dcp//gcl//deoA//
GO_0010133_7	ratA//
GO_0010139_7	yieK//
GO_0010165_6	prmC//ibaG//waaB//mnmE//dgoA//gntU//creB//bsmA//yiaN//lspA//ygfI//mazG//slt//nuoG//speC//mtgA//
GO_0010167_5	dsdX//gpr//
GO_0010212_5	fecB//mipA//trpR//feoB//ascF//phnM//uspF//rpsI//rhaT//ygcR//selD//nemA//galT//gcvT//casB//citE//nemR//rffH//galM//rne//fryA//eptA//ycjY//tauD//waaH//hdeD//sgrR//alsK//
GO_0010226_6	bluR//
GO_0010243_5	rluA//yjiR//dgcQ//cas1//birA//mntP//ibpA//kup//nusG//yneJ//ygcR//galU//thiG//yggX//proS//afuB//
GO_0010269_5	patA//
GO_0010272_6	hypC//wecC//gppA//tsr//gcl//pinQ//
GO_0010273_4	yagF//ygcR//rplB//yfaE//bssR//tldD//
GO_0010288_6	mdtE//
GO_0010312_3	ydeP//
GO_0010332_6	yphB//
GO_0010350_6	htpG//chaA//
GO_0010438_6	tar//paaC//frsA//acs//
GO_0010447_5	ydbK//ybcJ//yghG//yfhH//vsr//adeP//ihfB//dapB//pyrF//rfbX//mdtO//pspG//galT//dgt//acpH//ygiS//yihI//ldtC//rhaM//bioF//yhdZ//
GO_0010466_7	rarA//xapB//
GO_0010468_6	rlmG//sthA//fre//ycjP//yqiJ//gcl//ampE//allR//csdE//prpB//ebgA//aldB//opgH//galU//queA//puuC//rhaB//lpxD//rfbC//ybdH//psuT//malE//pgaA//rpsK//arcB//gsiB//lacZ//osmE//gatY//ppc//casE//dppF//argE//nanS//ybcQ//cspI//yjcE//aidB//pcnB//torY//ynjD//deoC//dnaT//argG//glnP//entB//yfcQ//mtnN//rplC//glpC//nuoE//yidL//ydgA//phnG//sdhE//melA//ygaZ//wecC//udp//rsmA//casD//recR//gcl//ccmD//uxuA//yhgH//kefG//argF//hisM//ydfK//insE-1//intQ//ascG//nadB//mglB//srlB//acrA//yidP//puuB//xerC//arnA//rutF//thiH//proA//torZ//pyrL//yecS//potH//ydjM//cpoB//carA//ytfQ//holA//hisC//ampG//cspB//fadJ//gadX//yeiE//hcaE//nikE//fur//ccmC//trkH//agaR//dbpA//speD//dmlA//mntS//yegD//frc//araC//wecB//ygiS//entA//kilR//casD//sdhB//rclB//yiiM//paoC//lpoA//iscX//rclB//holB//pdxH//trkH//ybiW//hslV//dcd//yjfF//rcsB//hemN//acrA//rof//rplT//rfaC//mltG//ybbN//yjbE//minD//abgB//glsA2//yciE//rseC//lpxT//yihT//zupT//yihI//aroK//nanC//xylB//decR//ydcZ//mtr//chaC//yiaM//kefF//xapA//ssuB//sdhB//dnaQ//osmF//ygcO//ftsZ//sdhA//hflD//recQ//waaH//wcaB//entA//hupA//entA//ydiO//manX//uspE//rcsF//ivbL//frmB//gatD//bioB//malS//ansB//paaK//suhB//chbR//cysU//sgcA//cytR//yoeE//uhpB//yfeD//ybjX//aceA//yfiC//feoA//yjgX//ribD//yiaN//frlA//bglA//sutR//entC//tsaB//phoB//dgoA//fdoH//rplM//garR//adhP//yhjB//ynhG//holB//xthA//mnmE//yjiX//glpF//focB//pheM//rbsR//ybcM//ttdB//yjjI//ycbX//qseB//tusE//tufB//tdh//eutR//ascB//ssuD//elbB//sixA//glpF//mepS//cutC//argK//sgbH//lsrK//malF//surA//srlB//nuoG//bcsQ//yhjD//ycfH//ynfE//appB//gadC//rsmJ//yadI//amiB//ypdF//yccX//rsmH//flgC//trg//sbcB//ygjK//gadA//asd//rusA//ybhA//mioC//rluB//bglF//gspF//casB//fis//apaH//hda//ydeI//ispH//rihA//nlpI//yobF//rplN//ilvH//yqjH//gntT//csgF//tamB//hycA//cobT//qorA//hscB//ftsH//pyrC//cueO//yoeE//yehU//rsmE//rpsK//ygaV//ybcC//pmbA//aroF//dhaM//fliS//tdcR//treB//exbD//curA//mepS//ygbI//arfA//soxR//narZ//metE//manA//sucB//rutB//wcaJ//kdpC//coaA//ybgQ//brnQ//agaW//
GO_0010498_6	pta//
GO_0010501_7	puuB//yqaB//bglH//dctR//yciE//ydeI//mltF//rpsT//mutH//
GO_0010528_5	mmuP//
GO_0010556_6	artP//spoT//srlR//hiuH//ansB//metQ//ghoS//dsbG//wecB//yhgH//cobC//otsA//dapA//hdhA//yecS//slmA//rpmB//lpxM//tsaC//priC//artP//thiC//ftsE//dbpA//yggD//agaA//fis//gyrB//fruA//norW//ptsH//bdcA//bamA//nhaA//lysC//exuT//fau//moeA//yaaJ//surE//apaH//alsB//rsmC//kdgR//adeP//pspF//yjhI//yibT//preA//yphC//fliT//tktA//mnaT//atpC//prpD//yeiG//yefM//ybcF//cbeA//yccS//hisD//yciV//glnB//hscB//ibpB//rpsD//mreB//pth//rplQ//glmS//yidL//rutC//adeP//deoR//rplB//patA//rutC//ygiW//hycI//mdtA//clsB//acpP//paaB//rplF//ibsD//mdtL//greB//relE//flgK//rihC//agaW//selB//rpsB//gabT//fepC//kdsD//murP//slmA//cvrA//cspG//xylH//yrfG//erfK//torD//rpoE//dhaL//acpS//fucO//paaZ//chpS//yhdZ//znuB//ldrA//flgE//xapR//mutL//rpsL//nagA//epd//ilvE//dtpD//aroG//ypdF//yoaB//trpL//ycfJ//nfo//cmtA//gcd//rpiB//yefM//dsdA//yafE//yciG//dnaB//degS//aceA//chpB//waaL//helD//acrA//thiH//ygjR//dctR//proQ//cfa//mdtM//yhbO//narZ//yfcV//queD//galP//ihfA//sgcC//fhuB//srlB//potC//entA//gpmA//gcl//rcnA//rfaB//rbfA//phoQ//ychF//fumA//tsf//baeS//yhfS//ybhI//ttdA//secA//fdrA//lptA//hyaA//uhpB//zinT//ftnA//yidL//menF//aaeR//ibsA//relB//envY//putA//mdtE//ugpE//napC//torS//yidR//speG//dgoR//udp//glpX//nadB//yjjQ//bsmA//ygaH//mlaB//rhtB//gatB//torI//fhuC//sgrT//rfaE//purL//xylF//ygdG//elaB//hcaB//ykgA//yibA//fixC//yphF//srmB//prpB//rplE//rhsD//lyxK//gcvH//secM//gatB//xylB//rsmB//mgtL//purD//trg//paaJ//infC//yeaD//cpxP//mqsA//rzoD//sstT//motA//leuC//gcvA//xylG//elaB//rfaH//sbp//aaeA//gdhA//ycjR//frmB//galR//ndh//yhjC//kdpD//ydjM//dgcT//era//hcp//yjjV//secE//ppsR//adiC//pdhR//prmA//cra//acpH//cecR//cheB//ftsN//sufB//cydC//prlF//ilvL//hypA//lldP//phoB//cynX//motA//fabA//ykfI//yqgB//mdtJ//yebG//tusB//ybjC//casD//moaC//glnE//opgE//valS//ydcP//yadN//yrbG//proA//oppD//moaE//nrfA//csgA//priB//cspI//deoR//ldrB//argD//flgD//cvpA//phoR//mdtE//plsX//yjiX//cysN//trkH//cadA//nadK//cra//yddM//zupT//ycjQ//
GO_0010557_7	mhpC//relB//rplA//basS//hofN//zntR//osmE//asnS//deoR//deaD//exuT//cmoA//arnF//rffT//yefM//acrE//rplC//cysZ//serC//ecpR//argK//srlB//paaZ//cpoB//yddM//rplA//dgoR//brnQ//gcvT//mdtI//mazF//yiaN//gltK//folE//trmA//rcnA//bioF//parE//ymfA//fis//narP//trpA//mnmC//ydcT//udp//agaI//rmuC//yeeJ//baeS//grxD//msrC//ybhJ//tas//folX//yejE//sstT//srmB//hisF//gltI//metK//argF//gfcE//cutA//ribB//entF//yggP//yhhY//yeaV//hypT//hdeB//ydhQ//idnK//narP//tsaD//yhaC//metN//asnS//tsaD//rihB//yjbF//thrC//waaQ//
GO_0010558_7	hyaA//ridA//yojI//topA//nrfD//ddpX//yicJ//torA//mqsR//ilvH//tatE//bioH//fhuD//djlC//dpiA//metB//fimA//qseB//tgt//pphA//lptG//casC//fliA//xerC//menE//lsrR//lapB//ttdA//prc//ddlB//fliK//rpsO//ulaD//yqjH//yfiF//mdh//ettA//glcF//panF//lyxK//ycjW//araC//casC//sufS//cecR//citE//yagF//aroF//minD//zipA//glrK//torS//fepA//gudX//mgtA//asd//narQ//yidA//hypA//def//rseB//nanC//ynfF//trpC//apaH//ubiE//yqaA//cadB//ybiA//yciG//xylA//sthA//asnC//betT//bamD//zapB//fliT//emrE//eptC//paaF//stpA//gntU//rpmA//tdcC//hcp//tsf//ybeF//ybeF//yedP//hupA//cyoC//accD//gltK//lrp//plsB//yajO//soxS//pepQ//paaB//tdh//lolB//hcaE//serS//deoA//frmR//lysU//clsA//ybhP//dctA//cpsB//yhjX//iclR//kbaZ//nrdH//gnsB//miaB//bamC//leuC//serB//ygeV//
GO_0010562_7	sutR//dctA//
GO_0010563_7	malQ//galS//
GO_0010564_6	fumA//ssuA//patA//yefM//nhaA//
GO_0010565_6	waaU//rpsP//yehU//yajO//ynbD//intS//
GO_0010604_6	yifB//pyrH//yiaB//sodA//wzc//ydjL//hycB//tesB//rbfA//priA//ilvA//yihX//betT//aroB//frsA//yfjV//yejF//yphC//menB//tcyP//prmB//csgG//afuC//folA//gsiC//yjeI//hybG//ribA//fcl//yjiX//fepG//evgA//agaB//glnQ//plsX//flgG//cedA//fadJ//ascB//rimL//modB//alsC//zapB//zinT//lplT//ftsB//gadX//yeaV//hokE//ampE//ogt//cydD//ykgA//dxs//rzpD//rrrQ//recB//ynhG//pagP//pphA//cysG//aceB//flhD//moeA//ynfE//cmoM//hyfC//paaG//trpE//lspA//aslB//adk//hslJ//fepD//frlR//yghO//qorA//ompA//insK//hprR//yijE//gatY//bdcA//cspD//eptA//tag//folD//yfhH//wecC//pfkB//gltD//adeP//rhtA//
GO_0010605_6	dgoA//rnt//hemH//fiu//cirA//dapA//ybiI//fhuC//ygjR//sfmA//alsK//satP//ybfA//pgpC//appA//mdtF//fruA//codA//csdA//bglX//speB//pphB//narV//adeP//speB//tehA//ydeE//wcaC//cobC//iraM//rplK//proB//insI-2//gltL//hybG//rplL//rluA//tusB//hicA//flgK//potC//narH//hxpB//rcnA//ybdM//pyrB//rfaH//bluR//yaiW//ydcT//mnmA//frdD//fryC//speF//raiA//yiaB//fis//gsiA//csrA//murA//malI//melR//cspC//hemN//decR//ydiZ//murR//argA//hofN//galS//ibsB//uup//murD//yraN//hyfF//wzyE//ubiD//torC//carB//ychH//cfa//xylF//ushA//mrr//accA//apaH//galE//tktB//insH-5//thiI//ybdM//alpA//yiaF//sbmC//ravA//yiaJ//caiT//pbpG//pyrB//rpsN//trmI//ugd//hypB//ybiH//yihP//znuB//truA//yohC//crp//intA//cspD//cydA//argC//yqiJ//glnE//fimH//ais//trmB//mrdB//gltX//xanQ//pdxA//ybgI//ydhQ//yhdH//csgF//kbaY//rplX//rffM//aroF//flhC//xylF//mdoD//thrL//ydfD//yajR//nuoH//apt//fecB//pgrR//cynT//sad//ygiN//ompC//
GO_0010608_7	sbcD//prlF//rseB//ompF//murR//ygeR//folP//rhaT//cyoE//gcd//ssuC//hflD//ubiE//ptsI//feaB//gpsA//ybaQ//mtn//tabA//tbpA//nfuA//lpp//yhdJ//suhB//yeaV//ccmH//flgC//ttdB//parC//phnJ//bsmA//mlc//patD//ugpC//sbmC//hipB//mltA//gntP//mltB//alsE//pyrF//frlA//ubiI//recO//
