#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	melR//cysU//pgpB//nuoM//
GO_0008156_8	bioP//ppc//accC//malQ//bamB//dadA//
GO_0008202_5	galP//
GO_0008206_5	secA//
GO_0008213_7	ybaM//crcB//cyoE//nadB//alr//mtlA//dxs//dnaN//
GO_0008216_5	gldA//ybeF//argS//
GO_0008219_3	yieK//ygjH//xylA//ydiF//mnmE//dgcM//ychF//rzpD//nudB//rraB//rsmF//nrdE//gudP//ybbY//flgA//
GO_0008272_6	rlpA//dmlR//ptsI//smpB//pal//nrdF//cmtB//
GO_0008295_6	hycA//yjjU//eco//
GO_0008299_5	trmB//rplJ//speG//abpB//crl//ubiD//
GO_0008360_4	ldcC//arsB//mdtI//menF//cspD//sufE//rfbX//gadB//ybcJ//yfjV//rnd//pdeL//gppA//idi//zapA//folD//
GO_0008361_5	cbtA//ybiA//nupG//clpP//trkA//
GO_0008380_8	djlC//
GO_0008610_5	lysP//malK//ycbU//leuE//csdE//mdh//mmuP//glcE//fabB//ndk//sufS//hflX//yahI//osmY//lapB//mtlD//ttdR//nrdG//ttdR//gluQ//gatD//hybB//agaS//asmA//proV//ybiY//nemA//kduI//abgR//ynjD//dhaR//kilR//ccmG//citX//yafE//bglF//yjcO//aslB//trpL//ynaE//holB//ccmA//yqgB//mngB//leuE//yajQ//ubiI//paaZ//lysA//fdoG//queG//rclA//ygeA//holA//mltA//nuoF//rmuC//ubiX//glsA2//glsB//nuoG//glpK//dgcF//caiB//yhdH//fmt//rrrD//
GO_0008614_5	glpB//mreC//agp//yfcP//araA//cdaR//dcm//
GO_0008615_6	gatY//nudG//fabB//uvrB//rlmE//lysS//dgoT//
GO_0008616_8	fadI//qorA//menB//rcsA//acs//yfdO//gltP//
GO_0008617_9	ybaM//
GO_0008643_6	tig//ycbB//nlpE//tqsA//metL//nrdE//trpC//yfcA//flgD//hisQ//hisH//norV//fcl//xylA//leuB//malG//tdcC//alaC//ptsN//rihB//rho//feoA//ftsE//insH-5//rsmF//basS//pgaC//stpA//yjhH//ulaA//btuF//fliA//glsA1//wzzB//dppA//hmp//yfaU//araH//ydhJ//iscX//uup//araH//yegV//ygjK//ppiC//gadC//uhpC//yeaK//ydeO//torZ//ldtD//glxK//glcB//yhaJ//aroG//yqeG//ileS//clpA//fimB//aceF//pgk//rhtA//sdaB//aidB//marA//basS//tcyP//alsE//ynaE//yqaA//uhpA//mscM//dgt//fdoH//pheS//waaH//prpC//zitB//speD//yoeE//ribE//nadC//yfcR//helD//ynaI//dnaT//bamE//ldrB//ybbY//fucI//ybiO//rplA//bssS//rclR//ubiG//acrZ//rzpR//cpxP//ybdR//ubiJ//ybbN//iscA//bioB//yhjB//nrdF//rnpA//oxyR//rlmE//flgG//sapF//hemF//perR//srlR//cdaR//
GO_0008645_8	dosP//alpA//asr//baeR//fetB//rseB//yfcQ//rplI//gudX//csgA//rplX//yfdC//tsgA//eutB//hrsA//ydjK//codA//fpr//maa//ispU//ribB//accD//alsE//groL//
GO_0008652_5	tisB//cbtA//araH//ddpA//msrP//tabA//ilvL//phnJ//idnO//ybdM//fruB//glnQ//dinI//ydgA//lexA//ybcL//phoR//sufE//intE//fdoI//envR//fsr//uspC//opgG//argH//nadD//pitB//cyoD//crp//yibA//betT//cynS//kdpA//rimM//gsiA//bsmA//ydiK//rspB//rsmJ//hcaE//cvpA//macA//agaW//ada//bluF//trkG//narG//cra//trkG//nimR//fabZ//glvC//yfdS//yfaX//frc//glcF//yejE//ytfT//frwC//pabB//rlmG//yrdA//agaI//rbsB//glvB//hfq//dcuS//betB//cpsB//yhaC//radD//patZ//yegV//ygbL//argS//mgtL//sdhB//yecS//acpP//ruvC//sdhB//rutG//yjiX//cysE//priA//ydiQ//ygjH//yidK//helD//moeA//yehP//nirD//leuO//cspI//rlmF//tbpA//mtlA//gudD//torD//ycdX//thiH//chbF//epd//mdtA//ldtE//ydbK//yfiR//dinJ//yjhB//ssuA//rnd//yddA//queF//garR//
GO_0008653_5	yeeA//flhC//xthA//ygcR//ybiH//ybjD//tldD//rpoS//rpsM//degS//astB//lpp//cobB//
GO_0008654_5	pgpC//cheY//etk//hdeD//ydjJ//hinT//hofC//wrbA//sgrT//rho//ynhG//hemF//rlpA//ibsC//yggW//ybdO//sucA//ycgR//yjiQ//yidL//ykgM//scpB//tus//rpsL//arfA//baeS//elfD//phnK//cpxP//cpdA//yfeD//bcsA//cdgI//smrA//mlaD//
GO_0008655_5	proP//aroB//atoC//insA-2//gntT//malI//hofQ//
GO_0009050_6	acrF//panE//
GO_0009052_6	rfbD//arnE//yjiM//melR//umpH//dgoK//ycfH//
GO_0009056_3	coaA//rpnD//pstB//ydcZ//ghrB//ydfH//nadC//relE//yciH//amiB//mtr//rarD//ydeP//hsdM//fdhF//paaX//nikC//hldE//frlC//uacT//yoeE//basR//argO//mdoD//rbfA//fetB//rlmG//ybaK//lit//atoS//pgaD//ydiR//atpH//yceO//nrdG//speF//hcaD//pyrL//murR//pgpC//hcaT//rlmC//glpF//glsB//appA//fumC//glpB//yfcS//pepD//yggE//higA//speF//mdtL//leuB//ispB//rpmA//csgB//yeaD//dnaN//rspB//ycfH//rpsK//alsB//ymfK//mhpC//deaD//gadW//glnA//yehZ//ssuE//glyA//speA//pnp//ftsE//sdaA//yhbQ//citX//cydD//torR//manA//fhuC//xdhB//hyfC//aroF//wzyE//phnK//rsmH//mcbR//ydjM//ndh//hemL//citE//kdpC//sseA//modC//yhjC//eutN//yegD//hisQ//rbfA//acpT//otsB//deaD//epmA//elfA//glnA//elfC//moaD//serC//agp//yqeG//ybbY//ihfA//rhtC//efp//yhhY//yqhD//hybG//pspA//ygdG//prpR//opgD//yejE//hinT//galK//narL//argG//aspC//essD//dppA//pinR//pdeR//rof//iscA//flgI//mhpC//aroP//atpD//aspS//helD//acrB//lpxB//thrB//mdaB//tdcR//exbB//elaB//asr//yadK//eutD//arnT//bolA//mgtA//ynhF//srlB//yhbO//ygeW//abgA//adhP//nuoB//helD//argS//tynA//yrfG//eutR//yabI//ftnA//chpS//nanS//yibT//hemG//frlC//yjcS//guaB//pfkB//dedD//ybiS//ybhG//recO//glgP//bdcA//cbl//yagF//afuC//ykfM//aspS//gpsA//evgS//phoR//ybcC//ykgO//idnO//pgm//ybiW//curA//rluE//arcB//dinJ//insI-1//exbD//yaiW//yghO//mscL//yabI//cysS//yqeG//greB//sapD//ariR//rdgC//recC//dkgB//tatC//yheT//rtcR//ugpB//torR//zntR//rplP//decR//ibsD//setA//paaK//ulaG//rbsB//ybdN//speE//mcbA//sdhA//ydbK//gntK//infB//ynfE//gpp//hyfC//mrcA//rcnR//holC//rpsQ//yjjQ//ymgF//dbpA//rplQ//kdpC//nanC//pheM//yqcG//ftsZ//yghG//clpS//yibA//insI3//secD//radA//yeaE//yehC//ygaV//slyA//purR//sthA//ydaC//mrcB//sfsB//mcbR//mntS//dgcE//bamB//setB//tcyP//yafE//erfK//ldtA//hybD//lpp//ybiT//srlD//tnaB//srlE//galK//bglF//nemR//ycjR//rpsO//yfhH//hybC//clpB//fadB//ulaG//serB//gutQ//tdh//matP//dnaT//greA//trkG//allS//kdpB//ihfA//tsx//iscX//waaQ//cyoC//idnD//yfaV//rnhA//tdk//glpF//ygeA//rsmG//ftsW//rodZ//lgoR//glcA//lptG//mtfA//pgpA//yqaE//mdtA//rclA//alsC//opgG//suhB//pdeL//betB//chaC//thrC//yrfG//tktB//gpsA//eno//rssB//hemH//potA//uidC//relB//prmB//yfdO//yhbX//mtr//artM//glk//cdh//ydcM//skp//ortT//yibH//greB//glsA//pepQ//cycA//rplE//pheT//ygfX//araA//lspA//sdiA//mcbA//rpmE//cusC//mocA//betA//rrrQ//degS//ttdB//msrQ//bsmA//kilR//yqiI//yeeA//gfcE//fimF//yhhZ//yqhD//glpX//ycjQ//gldA//cyoE//cheZ//mppA//pliG//yihI//ycjD//znuB//hybB//malG//puuR//hyfC//acpH//wzyE//ybdR//ogt//dgcM//lsrD//entS//motA//lpoB//groL//dpiA//yidD//hycH//galF//miaB//frdA//lacI//dicA//yqjH//zur//ygeX//gsiA//rutG//nuoH//melB//hrsA//frwC//pdxY//btuC//
GO_0009057_5	mutH//ybeF//ybiY//mdtA//rnlB//fdoG//gatZ//bioP//csgD//aphA//pagP//proB//nuoE//pdxJ//kbaY//dgcE//map//treB//murR//waaH//sfmC//xylG//dut//fhuC//rplF//murP//rhmD//yqaA//gspE//yqiG//sutR//glcE//nagC//rlmF//mdoD//hemE//ftnB//entD//murE//frvA//prpD//clpB//yagG//uspG//glsA//rlmN//yahO//kdsB//yijE//mltG//phoQ//gspJ//guaB//thrS//
GO_0009058_3	npr//acrZ//garL//norW//ybhF//tktB//ybiJ//flgC//hypA//yedL//fur//ycbX//secE//sufB//potF//ydhC//pck//rof//ybcL//oxc//kdpA//pflB//yadM//citT//rlmE//mutL//yhhZ//mtlR//proP//dinG//yrdA//rpmF//paaH//xylB//yahN//lgt//pabC//proA//ycfJ//murC//htrE//argB//rnpA//dgoR//wecB//htpG//puuA//ftnA//yfgO//narL//nanC//ubiF//yjbG//fucI//ptrA//sucB//clsC//mdtB//sapC//yqaE//proA//ydjE//rhtB//sapF//yjjG//artM//dsbG//acpS//ycjP//ydhC//rlmD//seqA//hha//nrfF//yiaJ//mdfA//argD//ugd//glvC//fabD//arsR//holA//argE//lldR//uvrB//tauB//baeR//priA//aes//ubiB//yfcA//chpB//alsB//yciE//narG//xisR//insH-6//cspE//glgP//ybhP//rpsL//rpsH//cynX//rcsD//nemA//tyrS//ynbC//ansA//yihR//glpB//hslR//feoC//allC//glsA2//tehB//dgoA//yagF//coaA//epmA//yagG//accC//rhaB//gadE//glrR//dcuA//lgoT//yhgF//fes//msrQ//nikA//yegS//yhjV//ycdY//sutR//yiiM//proQ//plsC//ridA//rfaF//plsB//minE//emrB//bdcR//lipB//nrfD//argP//ribA//rihA//ispA//amiC//etk//tcyJ//adhE//yfbV//rimO//hda//fliT//ilvN//ymdB//moaC//rsmA//mhpR//yfaE//ygbM//ydaC//gadC//dsdA//aceA//srlR//elaA//rlmF//nagE//der//ygiW//srlE//murE//mreD//cydB//ddlA//yqeA//sthA//dhaK//hflK//yodD//ydcO//gadE//fliT//cvpA//hdeA//lasT//hemB//tus//ycfS//yciE//glnB//marA//mnmE//metI//nuoB//thrS//yhjG//dgkA//tar//queC//artM//glnA//ycgV//smrA//pinE//appY//tap//pck//pbpG//rnhB//garL//yfeW//ybbN//modA//raiA//nac//ydfK//yodD//rlmD//osmC//caiT//yjcS//miaA//ridA//uspG//cadA//yhcD//yehZ//cheA//mreB//erpA//glcA//yhjX//rpoD//ybhI//cbeA//uxaB//cusA//wcaJ//hcaE//sfmF//cmtB//astC//ldcC//astB//tdcG//slt//rhaB//sufC//yrdA//ibsD//eutB//glyA//guaB//cysZ//yfbS//yieL//yiaN//dhaR//pheS//preA//insI4//bglX//arnB//agaA//elaB//actP//tdh//hisS//rutC//rpmE//pfkB//kdpF//yghG//focB//nrfF//ybhG//kbp//rapZ//aceB//hcaD//orn//menC//ilvI//gloA//csgA//chaA//fdoI//argF//bluR//ribA//mglA//yjjG//dnaG//bioP//fimE//xylR//rplT//ispG//yggE//rpoS//csiR//ahpC//paaH//epmC//dppF//fis//selA//atoC//yedF//yiaN//flgA//higB//ybhA//ulaE//ybiW//galP//dld//yehB//pmbA//yejE//mnmG//ydbK//tyrS//ftsE//intE//codB//nrdA//nemA//rlmB//ompT//yccS//thiP//phnC//pgi//hofC//nikC//tktB//ynjA//lpxD//setC//mdlB//iraP//lrhA//rhaT//lsrA//yoeB//ymdB//csgF//ybhD//ppc//waaO//higA//mazG//moaD//gloA//murG//pcm//plsX//yfcU//yegD//tomB//rzoD//fliM//nei//topB//dgoK//hybG//arcC//ftsH//nrdD//deaD//ptsP//xseA//insH-6//prkB//rhaD//argG//yfcA//cra//aceF//slyD//htrE//mutY//sucC//crcB//agaB//aroH//trpGD//mutT//yejE//cysA//trmH//mhpD//tus//ycaN//ytfT//tadA//gntR//aroK//lsrB//phoR//nlpD//dnaA//wcaB//argK//mdtO//qseC//artI//sfsB//umpG//crp//mmuP//gsiB//mqsA//gadX//recF//sbcB//dgoK//ygeV//ycbU//ygeA//yiaF//iscX//holD//hybF//entC//rpsP//pgi//slyA//pepN//ybcC//gfcE//rsuA//rpsM//argK//ihfA//artP//ydiV//nikA//fpr//manZ//nagE//trpC//srmB//thiD//yggN//glnQ//queA//aroL//hdfR//prkB//ribC//tauA//eamA//hprS//lipA//elfD//ompG//insA-1//prfB//rnd//ydbK//ibpA//ampD//waaH//insI-2//gabP//frvR//ydeI//ldhA//rhaR//panB//hsrA//hrpA//kdsD//mnmA//mnmC//pbpG//miaB//fliS//trmD//csgD//valS//ybdZ//insK//kdpD//glpF//uvrY//sdhE//hslU//garP//yjaA//ascF//murD//crr//insI4//yegT//fliZ//menE//ppiC//sgcB//guaD//yagI//mprA//sfsA//glcD//hns//dtpA//paaA//rpsR//rclR//rrrD//moaD//melA//azoR//csgA//insA-1//ftsE//yhcD//nuoB//rpe//ldrB//sufA//fdnG//pcm//intZ//relB//yfcP//yacG//mdtA//yadI//nlpD//yehW//folD//wzzE//mqsR//bdcR//lpoA//gltP//rplN//rnlB//proC//ubiD//pgl//feoA//lspA//rpsJ//hsdM//xerC//gltS//yihV//ftp//dppB//ydiF//dicA//ybfA//umuC//mscL//glpG//eutB//ldcC//yjeH//bisC//wrbA//rpnD//udk//ynaI//sxy//lrp//hiuH//prfB//bsmA//yabI//nupX//pal//nudB//ttdT//add//gloB//hokE//galU//ompF//thiM//dicB//uidC//yiaT//erpA//phnH//paaH//ibpA//aroL//yihU//gcd//ppsR//ftsB//dgt//uspF//narL//pncB//yihR//rpmB//pstA//narK//yraR//ybiW//frdA//aaeR//rsmB//polA//mutM//napC//rpsJ//plsC//rpmJ//bglA//ydhK//qseC//tesB//curA//rseP//motA//ydbK//rpiA//rluE//chbR//hns//proP//bluR//galS//exoX//bssR//mdtK//dxr//amiA//queA//yjcE//tatB//fimD//rhmD//paaX//deoC//queD//cydA//ybcF//rnr//rapZ//dtpB//ygcO//yijO//rplA//purA//glnK//fucA//scpC//ygdG//rph//rplK//purF//mpaA//cvpA//gatZ//dcuR//gcl//rpoA//elaD//dcuA//cysS//ibaG//nlpI//mtr//dcd//gudX//rhaS//bacA//tatA//der//pheP//insB-4//insK//lgt//rpsS//etk//nupX//torA//yiaF//mrdB//gmhB//yiiM//yhaO//kgtP//gntP//ycjY//sixA//gcvR//rplO//cydA//gnsB//ydcZ//ybcF//mtfA//rfbX//xylG//fabR//bamA//bamD//ynhF//lpp//rfaB//lsrB//yehA//rlpA//abpA//obgE//csiD//ymfK//ccmC//rhaR//elaB//hisH//clpB//kefC//eptA//rnlA//rhmR//torC//cyoA//insI3//fkpA//ydeI//opgG//yneE//puuP//yebZ//flgB//sohB//kdpF//lpoA//dpiA//fur//ydiK//yfgI//thiM//nrfC//ihfB//tcyP//arsR//surA//fmt//acrZ//arsB//mscK//yqaE//polA//aaeR//pdxA//rnt//guaA//proW//nrdG//panE//insA-1//rnt//
GO_0009059_5	kduD//ilvN//metG//mak//thiQ//ycbX//rof//rffC//serB//mdoG//ibpA//gntP//yphC//purD//flhC//yfcF//trmH//waaG//rnlB//rcnB//tktA//yphC//tpiA//ygjR//dicA//agaA//yhaO//adeD//fadM//afuB//alsA//udp//msrB//hipB//secE//rhaS//yafQ//yfdG//ridA//zraR//lacY//mcrB//garK//yjtD//ybaT//pdeK//fucA//deoC//rph//napF//metL//glnD//rsmC//trkG//araA//glpA//galF//cusF//ytfQ//folC//yjcE//moaC//osmF//sgrR//yibF//adeQ//fadE//ybiO//rpoA//narZ//ftp//ydiB//ung//yphD//pheA//nuoM//murJ//lgoT//pckA//pyrC//chaC//paaZ//mtlR//lit//yehY//mcbA//yraR//tpx//rutC//iaaA//rbsC//iscU//yijE//pyrB//yifB//nanT//csrD//argD//ybhG//tnaC//rhaM//lpxK//intA//lpxH//galK//menH//xseA//uraA//cspA//ydbK//yfeO//dnaN//argS//yraK//wecC//folM//gltS//dusC//ihfA//mhpB//ybbN//argD//eutB//ttdA//glyA//yfeR//lrhA//rdgB//nrfA//rcnB//adeP//hybO//rimP//secE//yehC//ilvM//yraI//wza//rpsT//panF//rfaQ//ychO//pbpC//yfaL//yceO//ligB//lrhA//dnaG//yiiE//helD//recX//wzzE//paaK//mgtL//srlA//nudB//tbpA//infB//aspA//gpmM//ydcM//elbB//eutR//kdsA//rhaS//hicB//hpt//putA//yehC//arnD//pgl//nlpA//ppiA//rluD//hycI//nadK//yohD//ecpR//narY//tgt//oppF//elfG//gudD//fklB//hflD//deoR//arnD//yhdX//yfdG//thyA//prlF//agaS//pckA//ftnB//flhA//pdeR//yfdK//ydaC//phoB//yhjG//arnF//moaA//wecB//mrr//aphA//ybhF//yohC//sgcE//nuoF//ydaC//paaZ//phoP//rluC//ydiQ//rlmH//nagE//fhuF//waaP//rfaE//avtA//rpsS//lipA//plsB//manA//yfcR//bioP//ansB//serS//treA//dapA//ppsR//rffG//nirB//yaaA//ynhF//yiaL//panZ//tolA//dicC//ybaL//yijE//fimB//pinE//pgsA//dmsA//folD//ghxQ//gcvA//ldrB//yfiE//iraD//ygbI//hldE//mdaB//sdiA//tesB//dmsB//psd//ggt//fepA//wzzB//yeiG//psd//cysI//gpmA//garD//yobF//apaH//fixB//amiD//hemC//frwB//yggD//eptA//yfgI//potG//hofP//gspF//mdtB//cusF//sad//mngR//pabA//ydhJ//yciA//mdoG//rplL//rhaS//ruvA//secE//ygaZ//gloA//dmsA//phnH//csgG//ruvB//trmJ//yahK//ibpA//dcuD//cmtA//hscB//mepM//minC//glcB//ydiV//lptF//yahO//ompN//nuoF//yajD//gadE//arnT//sucC//thiC//allD//spoT//
GO_0009060_6	cadA//rcnB//ptsH//flgA//pheP//ybhS//gcvH//csgA//rpsA//dapB//iscR//sapA//pheT//uraA//lpxL//ydcO//gstA//trxA//xisR//ibpB//trpL//msrB//rpoD//ldrD//ftsE//cysG//
GO_0009061_6	folP//nhaR//ldtB//glpK//cspB//gntR//mdtO//yfgI//sohB//glnB//dgt//pepB//entS//ygeX//coaE//frwD//yadC//nuoH//moaE//waaO//ssuE//tabA//ribA//ampD//dgcM//yhjR//rssA//glsA1//waaG//cobT//yfcQ//flgJ//hcaE//gltP//moaA//fdhD//yjhH//panZ//gfcE//ralR//bdcA//sapD//tcyL//fryA//trpC//ftsE//speF//tdcD//entB//gudX//ybhG//yeiL//tag//gspJ//proC//
GO_0009062_6	entS//rplA//xapA//polA//sgrT//corA//narH//cysW//ytfT//yhjD//mscM//nuoE//glmS//psd//ascG//citX//xanP//yhaM//artQ//cbpM//yfhM//
GO_0009063_5	speG//tadA//efp//wzzE//dnaE//citC//aspA//yphF//gudX//aaeA//ydhQ//entE//adk//waaA//cpxA//cmoA//yggP//ydfK//dnaK//glcA//fdnG//moeB//sgcC//sgcX//ybfA//aceB//maeA//zraS//argI//aroB//argE//trxC//ycgR//acpS//sdaB//chbR//ccmF//frlC//mobA//pstB//cysD//mobA//fabR//nfo//nadK//ytfE//nsrR//gadB//yaiP//hemB//uxuB//fliK//yjhC//argF//yhjR//
GO_0009064_6	araF//cspG//ggt//cspG//acpT//murR//wbbK//entA//ugpC//cspB//paaC//rpsS//yqiH//astB//pabC//yehT//menA//dtpA//eamB//uxaB//sapA//entS//nuoB//sgcX//cyoB//rplO//citT//ygeW//artQ//sfmD//chpS//rph//patD//nuoM//adiC//entF//hprR//wza//cobB//napB//gnsB//rhmD//oppF//hypE//mdtN//ygaZ//
GO_0009065_7	nirD//mdlB//yhjB//yoeE//sxy//lpxM//yhjC//ftp//gadB//higB//hycI//mdlB//ltaE//yfiC//cydD//wecB//fliT//hisF//
GO_0009066_6	ydjJ//ibsB//yccS//fruK//cydA//ccmH//acnA//cspB//ppc//glgC//aroE//ycbX//mlaD//epmA//prfC//yjtD//trpA//eutD//yidD//mlaC//glpR//ybbN//katG//mhpC//paaC//yghG//paaC//scpB//tsaE//ybaM//dgcJ//recB//yhgH//zraR//ycjD//qseB//insH-5//yjhC//pdeK//rimP//glpA//rmuC//hfq//yibF//dinG//pepN//chaC//yfcR//
GO_0009067_7	queE//raiA//sapB//npr//srlE//hyfA//yeaD//atpE//argP//hupB//nuoM//malS//rcsB//glnS//ynhF//nudB//ybgQ//bioP//sfmH//fdoG//rpmA//pheA//rnlA//caiD//otsB//yjjV//
GO_0009068_7	narI//clsC//bluF//iaaA//ftsB//solA//ompF//fkpA//rpmC//rhaA//dicB//yedP//kdgR//
GO_0009069_6	yadV//mdtD//nuoM//dmlA//btuF//yidA//glxK//hypT//adhP//metH//moaB//ftsY//fepA//lpxK//hisA//yjjV//mraY//hyaB//csdA//uspF//minE//yohD//moaD//lpd//ymfA//rapZ//infC//dinB//fabZ//acs//rutB//dctR//ytfE//thiC//feaB//yciG//
GO_0009070_7	tatE//ssuE//gyrB//ybhS//mnmA//sdhD//ybjC//glcD//moaE//flgF//pepQ//ubiD//blr//yqiH//elyC//prpD//rbsB//yeaK//yhaV//nrfE//
GO_0009071_7	fdoG//rbsB//yeaD//sgcR//gor//yggN//selU//ttcA//arsB//mlaD//recT//seqA//yddG//putA//
GO_0009072_5	yhaO//clpB//yjaZ//dcuA//ilvA//dkgB//yabI//ynfE//radD//mscK//ygeV//abgT//ymfK//glrK//pabB//glrK//lysO//sutR//gntK//phoB//ybcM//lyxK//ravA//yehA//
GO_0009073_6	dmlA//ligB//opgC//sgcA//thiE//luxS//rarA//ytfP//hisM//rtcR//sugE//mltD//ydfD//nadB//tauD//speE//ytfT//znuB//secG//rcdA//ada//
GO_0009074_6	rfbX//murI//glcC//
GO_0009078_6	pdxK//ycgB//frvA//kefG//ugpB//lpxD//yhcN//
GO_0009079_7	ypdB//wrbA//rfbB//yqeF//
GO_0009080_7	mpaA//hisA//ravA//
GO_0009081_5	hemH//yibH//zinT//cynT//recJ//tdcF//apaH//accD//mgtA//hipA//dcuS//ygeW//ymfK//topB//nrfE//narL//speB//lptA//bcsQ//dnaC//ppc//lysA//
GO_0009082_6	rng//treC//phnG//rpiB//murP//pepQ//uidR//alr//fadM//yraN//nac//queD//yieF//coaE//trmD//ybaT//sseA//bglF//
GO_0009084_7	dpiA//mlc//yidQ//qseB//clcA//opgG//ulaC//fliZ//ydhQ//selA//lysC//ytfT//uof//fkpA//ubiF//ssuB//insE-1//znuA//relE//yccX//modB//livK//deoB//yjcO//ubiB//
GO_0009085_8	leuA//metR//glcE//appA//elaB//srkA//yfhH//dsbA//waaG//yohC//bglJ//lpxT//
GO_0009086_7	sad//speA//flgB//phoU//narX//garK//mltF//clsB//yejE//
GO_0009088_8	panZ//ybjD//
GO_0009089_6	rlmJ//clcA//malQ//opgC//preT//flgE//ykfM//rhtA//glnL//
GO_0009090_8	ompN//epd//yacG//hmp//
GO_0009092_7	nadE//rcsB//mepH//dnaT//pyrG//glpR//
GO_0009093_7	bioD//rfaG//yobA//pppA//gsiC//
GO_0009094_6	mhpA//ftsY//eamB//rpsQ//
GO_0009095_7	mreC//bisC//lysS//csgG//
GO_0009097_7	fdnG//ycbU//leuD//iraM//hcaB//yihI//yjcE//
GO_0009098_7	waaJ//folD//gfcE//fabH//brnQ//dnaT//tadA//
GO_0009099_7	ilvL//hypC//nadA//yqcG//hemF//guaD//degS//arfB//agaA//citT//
GO_0009100_5	nusA//rsmA//rlpA//pdxK//narZ//
GO_0009101_6	torZ//
GO_0009102_6	argH//ybdG//mlaB//recG//sspB//aidB//rimL//ibpA//ilvI//rsmH//ldtD//mrcB//hcaD//
GO_0009103_6	arnB//ybaM//ybiT//atpC//ydcS//solA//gltX//ybjX//adhE//dmsC//hdeD//
GO_0009106_5	rpmC//mdfA//
GO_0009107_6	kdpD//yqeF//
GO_0009108_6	frwB//wzzE//ydiB//cysS//tmcA//diaA//bluF//yfgO//ydeP//hyfF//lptC//sbmA//appC//nadK//hofQ//nsrR//argP//argT//pldB//queA//asd//speD//osmE//ybiY//pykF//purB//yhjD//hflD//livK//oxc//preT//rimL//panB//yaaA//speF//mog//lon//thrA//msbA//ybdH//accC//eutD//malG//ytfR//ftsI//murG//oppD//yceD//wecC//dgoD//puuD//pepT//mtlR//flgC//argT//flhA//rbsK//ygcR//fdhF//gph//fimD//nrdG//gspJ//tonB//mngA//ybhA//frvR//torS//caiF//uidC//ada//yeeJ//hcaD//garR//miaB//yceK//yfiR//helD//rraA//iaaA//accC//rluE//mdtD//ydcR//frr//ccmH//leuS//garD//proS//thrC//murJ//corA//yaaY//argG//rlmD//miaB//yehA//livH//yfcG//ykgA//gltI//yihI//uspE//znuA//melB//rplM//ygeX//yidD//trpD//entB//
GO_0009109_6	wcaB//yegV//msrB//caiD//hicA//
GO_0009110_5	yphD//fdnI//csdA//ghxP//greB//clsC//thyA//nepI//rcnB//queC//ispB//miaA//glxK//soxS//metL//hyfC//clsC//yhcH//envR//xylF//yggP//lapB//yjaA//napA//pheT//ttdB//trkG//envZ//greA//satP//frmA//hipA//glpT//yeaD//truC//ypdI//yihO//amiC//prmA//napD//ydiR//aroK//gpt//artM//hisC//cysU//fliD//chpB//deaD//rzpR//nagA//torA//mntS//adeQ//murG//ypdA//copA//
GO_0009111_5	frdA//livJ//yhdX//waaS//
GO_0009112_5	yrbG//wecE//rimP//yjbH//hslJ//paaB//nagA//rsgA//fadH//hybC//lsrR//appA//artI//xdhB//dppB//fis//yfaL//yebK//queA//yhdW//mltB//rplN//trmA//acrZ//nuoM//rhaB//pinQ//zapA//amiC//chaA//rpiR//rplB//rplO//rzpR//ibsA//yebZ//
GO_0009113_5	tolC//radD//cheW//yggF//aspS//
GO_0009114_8	casC//
GO_0009116_5	abpB//mraZ//rfaG//rne//mrcA//ccmC//lpxM//yihU//ispF//atpD//amiD//ygbN//sanA//fsr//mscS//recC//clpB//dxr//shiA//nirC//hsdR//yihW//ompC//pbpG//alaA//yiaJ//ccmH//cheW//coaD//rpsG//ybdH//modA//znuB//arnB//ygfA//agaD//ompR//rsmA//rpiR//ralR//
GO_0009117_6	yhhY//deoD//uidA//norR//yaaY//ycjU//rna//ybaT//mukB//iaaA//leuD//uspC//cmtB//secY//cusC//ccmA//tdh//secB//pinQ//rlmM//gltK//perR//yihS//yjhI//cmoB//pal//rpoE//ybjD//ptsP//ybdH//osmF//cpoB//yhaJ//fecA//recC//purB//rnr//iraP//hexR//iscX//exoX//trpA//slt//bglJ//rimM//rpmJ//ydjH//hybO//proQ//alaS//gntK//yjhI//fepA//slyD//yihW//entF//phnJ//nadD//patD//aidB//ybiV//waaJ//feoB//hsdM//ftsP//rssB//yhbX//fimE//fruB//trmJ//dppA//deaD//ansB//umuD//leuB//rplF//frmA//cytR//yecS//alkA//nudB//garL//phoE//hexR//menD//ybiS//ftsQ//csgE//yahF//flgB//gpp//phoU//tolC//ahr//fsr//araF//glcF//ycfS//gadW//ihfA//ampG//tar//yfcF//epd//
GO_0009119_6	shiA//rfaF//idi//cysG//mlaB//trkA//srlE//hdhA//evgA//mdtM//alsK//ycbX//citG//cobT//cspI//hemC//cspC//yhdZ//flgC//argK//ycjY//yfdC//cbrC//ybhI//yadN//mngR//katG//perR//yidQ//xylG//cobU//hycA//prmA//ispU//fadB//
GO_0009120_6	elaB//zapB//mdtQ//garK//
