#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	wzc//intF//eutK//tamB//
GO_0006979_4	adeQ//ebgA//yjhI//secM//nirC//lgoD//ratA//uvrD//acpP//agp//dcyD//clsC//yciT//ybaT//cueR//phnN//ygdG//rstB//alaA//yihS//baeR//prpD//ytfE//paoC//lysO//yedA//ecpR//yfcQ//artJ//pspA//npr//yciG//yjhH//rhmR//sapB//btuR//alsB//ispU//hemA//fdnG//narY//glpK//yhhY//insI-1//fimE//opgE//envZ//greA//arnD//csgG//add//argD//hisA//lexA//rplC//rpsE//hprS//ytfP//proC//acpH//xisE//msrQ//tyrS//cynS//ugpC//glnB//mdtP//hypT//modA//rluA//ftp//nsrR//yiaJ//yciH//waaY//flhA//potB//agaW//yafS//fepA//hsdM//bioP//lpcA//cusB//yjiR//chbB//
GO_0006986_5	ccmG//ompA//rfaD//rutG//iscR//garD//
GO_0006995_6	lgoT//asnA//
GO_0006996_4	glgC//yiaO//rnb//hybA//yfaE//dhaK//tag//fabB//aroP//pheM//fetA//idnK//acpP//marR//mlc//xseA//cbpM//yieE//nirD//elfA//rimI//hpt//gfcE//yqaB//flgJ//fau//cysS//ftsI//yjjB//speB//argF//fhuB//yedF//torC//ubiH//hscA//malP//argF//purU//
GO_0007010_5	ybhD//
GO_0007059_3	fabI//rimI//pflA//queA//atpC//ebgR//clsC//aslB//mutT//rpsJ//
GO_0007062_4	ugpA//glnB//ygfZ//rfaQ//
GO_0007154_3	hypT//lexA//manX//cas1//ssuA//uhpC//hldE//yiaN//recJ//hyfR//nlpE//adeQ//aceB//yejE//hldE//secB//ybdZ//gfcE//atpD//dctR//hypB//ubiI//dcyD//cbl//ycfJ//tus//xylF//yphD//sufA//citT//ibsC//mgsA//ydcT//dsdA//nikB//kefC//yjhH//asd//amtB//panC//potB//topA//pdxB//ispB//ibsB//borD//yjaA//fecA//ydcO//djlC//lpcA//iraP//xylR//mreD//ybiY//
GO_0007155_3	rbsR//dinI//bisC//lpd//ftsI//yicJ//rutB//lpxB//argR//garK//yabI//slyD//yiaL//yqcC//cheY//glk//rpmJ//ydhJ//yjcS//ompG//phnL//cynS//acrE//thiD//afuC//cmoB//mutM//hyfR//yqgF//hybF//hybB//rcsA//atpB//trkA//nikA//
GO_0007163_3	ridA//
GO_0007165_3	yhbO//yehZ//xthA//nfsB//yieK//rusA//menI//yiaN//ybcQ//csrD//yehC//betA//trmD//araE//hcaD//ybiW//trmJ//cyoD//wecA//opgE//umuD//sgcA//rffC//yieF//rdgB//trpS//cdsA//norR//yfaV//fimE//elfD//chbG//amiD//sgrR//ascF//tcyL//ydiO//citG//ruvB//srlR//mraZ//cbeA//fbaA//malS//rimL//maeA//recT//lptF//mak//lacI//rbsR//otsB//ybjC//tomB//asmA//ybhA//torI//upp//glpR//tsf//
GO_0007166_4	chiP//rna//hypA//aspA//
GO_0007215_5	thiG//patZ//ppc//ubiX//
GO_0007231_4	serA//
GO_0007234_5	yggD//
GO_0007267_3	pepT//rpmH//
GO_0007346_6	tonB//dusB//rnt//
GO_0007584_4	appB//tas//cspE//araA//
GO_0008033_9	fixA//cedA//nanE//tehA//ansB//dtpD//sufD//ybaM//plsX//yhcN//uof//exuT//frr//relE//hypB//pntA//hypE//trpD//nagC//rsmG//galP//ldcA//ycjD//fepD//fdnI//purB//msrB//cydB//nuoI//sgcE//dnaK//ulaG//yfgI//dkgB//gspF//ptsI//insK//frwC//fau//yciH//yajL//yfcQ//casB//ybcM//abgA//yfiE//nadK//alaS//lptD//map//eco//puuA//yebK//ycjR//abpA//clsB//
GO_0008104_4	nuoL//malG//gloC//crl//ogrK//hyaD//uidA//prmC//arnE//yibH//bglA//lon//yciV//bamE//cmtA//purF//ilvB//speF//thiE//menF//holD//mscS//yihQ//mrr//lldD//uhpC//frmR//yraK//lpxC//rspB//panB//ydcZ//dam//torA//mqsR//ftsI//fimD//era//murD//envR//cyoE//yihS//yhjB//yjaZ//hinT//yhbO//mdtC//feaB//birA//
GO_0008156_8	yihX//ade//sgrT//dinJ//ykgO//yidC//
GO_0008202_5	rbsK//
GO_0008206_5	rbsC//
GO_0008213_7	yhgF//higB//allD//yidZ//sfmF//mtn//rimI//dnaQ//
GO_0008216_5	cysD//osmY//ascG//
GO_0008219_3	mdtC//frr//nadB//mutT//glnB//seqA//dpiA//yqiH//rseP//insI4//grxD//metB//lysU//arcC//cyoE//
GO_0008272_6	yhjR//rssB//nupX//arnA//galE//metH//sohB//
GO_0008295_6	malX//yedP//xylE//
GO_0008299_5	rcnB//purL//glpB//yoaB//ynfL//yjeI//
GO_0008360_4	livM//tusC//ybhA//prmB//hcaR//yddA//csiR//crp//cspE//envC//ftp//ubiC//dinB//glpC//emrB//fadD//
GO_0008361_5	araC//yeeL//pgsA//iscS//sfmC//
GO_0008380_8	tcyL//
GO_0008610_5	acrR//glnD//yeaV//oxc//dcyD//pntA//nrfF//glxR//yfhH//epmA//yjhP//relA//cvpA//rsgA//melB//fimC//yqhC//barA//cheZ//codA//rutR//yebZ//tufA//tpx//yciA//rnb//dicB//emrE//evgA//truC//barA//aldB//narH//rhlE//bssS//btuF//rbsA//srkA//glgP//cpdB//yhaM//argF//allS//yfjV//guaD//argG//argT//ompF//ariR//ydhC//icd//tusD//trmL//nikE//ygiV//ybfA//pgpC//rsmG//trkH//ydcP//lpxL//hsdM//mdoD//gabD//ydhQ//yjtD//sucB//
GO_0008614_5	pagP//nupG//zapB//tyrR//lptC//yjbH//rplP//
GO_0008615_6	aroA//amtB//pldB//fixB//cspD//puuB//speF//
GO_0008616_8	suhB//arnD//dinI//yeiE//phnC//thiQ//pgi//
GO_0008617_9	yidP//
GO_0008643_6	intE//dnaE//evgS//rrrD//dmlA//ychF//priB//gpmM//bssR//dsdC//recJ//wzc//yahD//cptB//yehC//ilvL//azoR//hypE//yeiL//ispU//amiC//slmA//cas2//yihT//fcl//ssuE//xylF//arnF//murR//sbmA//qseB//sspB//cpxR//yggN//ydbD//aldB//rfbD//clcA//srmB//glnA//ubiI//mglC//yhjV//copA//ymdB//fruB//fdoG//gutQ//pgpC//tufA//gltB//purT//yjeH//rihB//yidL//trpA//yagU//queG//yhcD//comR//rplK//hisH//patA//folE//exuR//motA//aroB//amiB//ymgF//gadE//ycjR//yihQ//cdgI//mazG//argK//queF//metF//frwD//yfeO//pgl//narL//yghB//glvB//uspG//pykA//tsaC//trpD//adk//proV//dsbB//pheM//aidB//yigL//trmL//ravA//pnp//yoaA//barA//aroD//rplK//rpsN//rplO//mgrB//sgcE//yibT//sgcX//emrK//ygeV//gspJ//folX//dinQ//uxaC//puuP//manZ//
GO_0008645_8	ridA//epmB//ydcS//insI-1//ybbN//ldrB//higA//ygjK//speA//yihS//yehB//insI-2//fimF//gadE//pppA//ybiY//lptF//motA//rplL//pyrG//yhaJ//mltF//dapA//sdhE//
GO_0008652_5	fau//yjhH//ilvI//sdhE//rlmL//aspC//hcaE//ptsH//ydjL//yghU//yrbG//dmsA//ldrA//fhuD//paaD//katE//pncB//rpoD//ldrB//lptC//topB//ubiF//yiaN//yagE//ftsE//marA//nudC//pdxA//phnN//glpC//ygiB//yccA//yfcS//ydiQ//iscA//hldE//torZ//ibsE//thrA//yihL//djlC//prmB//ascG//fliZ//rpoH//cobU//dxr//lptA//hofO//recD//ftsQ//kgtP//lolE//lpoA//dmsB//rutR//wecE//rhaT//pheS//opgE//ugd//yjjQ//aroF//yhdX//hycB//yahD//rhlB//yhiM//rnt//ftsB//waaS//folP//ortT//birA//pliG//xerC//srmB//proQ//tktA//yfgJ//rbfA//tgt//iaaA//pyrC//ybiH//frlC//diaA//yfcV//ygcR//nagE//araF//livJ//emrY//hofM//glgA//hybD//feoB//yhhT//hchA//sgcE//adhP//pphA//asd//thrB//artQ//fhlA//dtpA//rdgC//gabP//dacD//rpnC//ppiC//fbaA//yadK//
GO_0008653_5	ompR//xisE//galT//phnK//ompA//sbcC//pabC//prlC//ftsY//murE//deoD//ygbL//tsaE//
GO_0008654_5	ribD//mepM//feoA//prfA//chbC//glgS//lysS//lipB//menD//acrD//aroL//cusS//minD//yddG//yghU//rluF//mrdB//skp//nagC//rpmG//coaD//artM//ftsI//fruK//cas3//yddM//kbaY//speB//yjcO//uxaB//ydiZ//yjiA//serS//yciE//mmuM//
GO_0008655_5	dgcE//focA//glsA//chbC//bioP//waaG//fliZ//
GO_0009050_6	ymgC//glcC//
GO_0009052_6	cusB//rhaB//afuB//hsrA//dsbG//feaR//dnaJ//
GO_0009056_3	sfmD//dppD//livJ//ftsK//rnpA//rcsA//ydcM//lnt//cmk//yhbO//btuD//dinI//tusE//adeQ//pstA//proW//setB//ibsD//uxuA//ispU//htpG//sdhC//yneL//glnP//tehA//aroP//ygjH//iaaA//yghG//ibsC//ybcQ//yqeA//mtfA//pyrD//dmsB//hemA//pinQ//sbmA//frdA//wzzB//nagD//dgkA//rhaM//yaiW//fhuF//alkA//ygiV//nusG//sbcC//atoS//rarD//phnL//ybdZ//mgtL//rplK//lasT//chaA//yfeW//dgoT//lolD//aspC//hemG//wbbK//eutD//yhjC//fis//zntR//kdgT//bglH//hldE//intQ//deoA//glpA//hisS//msrA//argO//lpxL//birA//rsmG//epmB//puuR//xapA//intF//cspB//nuoE//ybaQ//sdiA//ispB//rzoD//yagF//yoeB//yfcP//aaeA//rapZ//ybfE//treB//flgC//yhcN//dauA//ssb//garK//nrdE//ogt//gpmM//ydiK//carB//fre//prfA//fryA//fadR//metL//hprR//yohC//yqiI//ispA//hlyE//amiD//ydbK//yeiE//ygeR//kdpD//livK//tdh//cysM//leuB//pstB//zntR//chbA//raiA//holE//ariR//frwC//fdnG//pgrR//apaH//emrE//rplP//frwB//insI-2//mdtK//pinE//rluE//fliZ//intQ//yfdR//ibsD//yiaL//yihI//mtn//decR//opgD//degP//hslR//ykgM//ygcW//mutT//birA//argT//iscS//lhr//rzoD//garD//pepN//rhaT//artM//yhjG//eptA//sgbH//ampG//deoR//mmuP//gsiC//norV//ydbK//pdxH//clcB//intE//potH//prpC//ecpR//allC//selU//elaD//yheT//bluR//rpnD//hupB//yggN//sutR//hycI//tsf//csiR//kefG//skp//panF//pstA//yjjB//yejF//rhaT//gyrA//evgA//ycjW//alaE//yphC//argI//citC//ybiH//lpd//dcuS//fucK//sapA//eptC//mhpA//dedD//mepS//cueO//nimT//ybeF//yidL//lapA//sapC//tcyP//mglB//rpsP//hrpA//ybiV//mppA//rutR//leuB//tmcA//lysP//kdsB//narU//macB//nemR//sufD//ugpC//nuoM//ykgM//ytfQ//rplF//ybaL//malK//tap//glyA//fdoI//elfC//nagK//nrfF//mltD//holA//araH//moaC//ssuE//rspB//wecA//yoeE//smrA//menE//bsmA//cmoA//uxaB//fepG//trmA//serB//yihI//gyrB//ghxQ//lolC//raiA//hlyE//glcF//mdtI//rnc//gntR//paaJ//rpsL//ydcP//gloA//pykA//argD//clsB//setB//yhhY//treF//cynT//cspC//holE//hyaA//cysN//nrfE//curA//yhaC//hyfA//proS//atpF//fiu//glgA//rluB//glxK//ydeI//xapA//ligA//xseB//cueO//metK//ppx//sgcE//hybF//relA//pitA//ftnA//uvrD//gatA//yaiP//asnA//cusA//scpB//hdeA//rho//bdm//lpcA//qseB//yiiM//yidC//rbsA//narU//dxr//bhsA//nrdE//amiC//tap//sseA//entD//ogrK//rplP//trpS//gpt//gltP//narG//recJ//pdxH//serC//yraK//narK//gltX//nupX//ybdM//uspF//gadA//rimK//uspE//umuD//sapB//uhpC//arnE//mdtB//ffh//prc//fadD//moeB//csdE//elfA//frvA//alaC//slyA//poxB//pheT//ldcA//mngR//fliG//lolC//fdrA//hemD//iap//hypE//yqeG//pinE//hypE//yhcF//mglB//fetB//fimH//ybgQ//paaC//mngR//polA//insI4//elbB//mtlD//adiY//msrA//fmt//cysP//yihT//pnuC//rpsT//mzrA//rimO//yhjB//yhbX//xisE//torZ//hisB//yaaA//yceO//tnaC//rpsK//malP//pfkB//trmD//potH//acpP//ompF//feoB//pdeD//
GO_0009057_5	lipB//srlE//lysU//leuS//csgF//zapA//glpR//gspF//acrZ//entE//rpmJ//cydD//hemG//nanR//rimI//tgt//argS//lpoA//yeaG//yhjG//tcdA//sucD//yqaB//ykgF//thiM//ubiX//cytR//lepB//hupA//ampE//trkH//rlpA//ptsP//gcvP//wecA//cadA//bhsA//chaA//ilvH//insI3//ubiE//eno//yhiM//yqaA//mdfA//casA//phoP//tdcE//dinI//nuoG//yiiE//dgcM//yjiY//csgA//
GO_0009058_3	ygbL//mntS//ycbV//folA//pphB//flgK//mnmG//yjjW//pdxH//yfjV//tyrR//bglX//matP//yijO//ompT//gpmA//yciE//ybaK//yfcR//chpB//marA//ybcQ//dcp//cmoB//pyrG//epmC//ruvA//ybcF//yddA//chpS//yihT//yggP//ariR//cirA//flhA//lpxC//amiC//prfA//astC//mscS//recX//ndk//pyrF//thiD//nikR//sbp//yihO//ybfE//yggN//galF//dsdA//pdeR//gmhB//lptG//feoC//ycgR//rfbB//fkpB//lptG//bamE//chbG//napB//csgD//zur//frc//cysS//malY//pinQ//exuR//ydjE//yghU//cho//tdcR//cysD//ftp//insK//yadK//lpd//nikC//rna//thrB//astC//yehD//prpC//yaiP//yjiA//ydeI//cmk//otsB//ompW//tynA//pal//cysW//glvC//rpnB//kefC//rlmE//dinI//rplN//chbC//prpC//mltA//recG//rfaG//nhaA//ybiV//mglC//shiA//truA//mqsR//ftsI//ygjK//frvR//pgaA//tatC//purT//vsr//patA//lpcA//rfaG//yfaX//radA//fepA//apt//nudB//nlpD//yibA//fetA//ybdM//parC//dicA//frlC//dmsC//glcF//yeaV//csgA//allC//hybD//nadA//ymgF//yjiM//uof//ytfQ//yggN//argA//dicB//dcd//lolA//tnaA//rsmJ//csiD//lldR//glnL//hha//sppA//nei//rraA//atpD//acnA//yqeG//yghO//metC//nagZ//dut//fdnH//mepH//ychF//ybhJ//paaZ//elbB//leuE//rlpA//recJ//efp//ppc//hrsA//gpmA//recN//rnhA//ybdO//pfkA//alaE//mrcB//yfcV//yehP//hofM//rhaR//etk//ibsD//envR//sgcC//atpH//arnF//galF//rimP//pagP//mntP//accB//sgrR//xylA//sseA//tusA//alsK//bluR//tisB//uvrC//rpmJ//eamB//amyA//nadE//yiaN//malF//yghO//rlmM//cynX//waaS//rzoD//yfcR//agaW//yneJ//sgbH//hisP//sanA//trpA//ttdT//yhjG//pepN//dgcE//mobA//rpiA//aroB//fucA//yihO//wbbK//sapF//glpC//agaD//metQ//btuD//ftnA//clcB//chbG//fadK//dnaT//lpd//ulaD//ynhG//rplC//fdnG//casD//sthA//csgG//gntR//rimK//kduI//fliM//sfmC//yghW//idnO//radD//yiaF//rbn//hemL//glnE//rbsA//ais//guaA//ansB//pgaB//speE//nlpI//cheW//sufB//ssuA//argH//glsA2//flgM//rsmB//fecD//astB//elaA//iscA//yiiD//tcdA//osmE//fabD//emrY//cecR//rodZ//truD//rhsD//yccS//ibaG//yahD//ompR//manA//rhaA//ibpA//plsC//cpxP//insH-6//ubiF//tdk//yjaA//rhaM//ppsA//ybbY//bioP//paaD//rhaS//folX//appA//rpoA//rseB//bepA//nikD//nuoF//rpsO//acpS//fabA//efeO//folP//tdcE//nrdF//bglX//clcB//csgD//ldtD//mukB//ttdR//moeA//tas//syd//glgA//endA//adiA//yqgF//rclC//arnB//decR//nuoN//dpiA//atpG//ybhP//puuA//nrdI//paaJ//polA//yhbO//ptsI//murE//bdcA//pstC//yoaA//uacT//nlpD//alaS//dgoT//yjjW//gdhA//hypT//eptB//entD//yhjX//ybhJ//aroA//adhP//dppF//flgI//atpF//brnQ//hcaC//rpsG//intS//preA//galS//cdh//trpS//glpD//torS//dhaL//fadM//recB//yciG//adiY//eutD//manZ//ydjL//gpp//tdcR//plsB//uspE//potE//allR//uxuA//ghxP//lsrD//gloA//yceK//icd//folE//nimR//yoeE//ldrD//fruB//insF-1//betT//fucA//rraA//spy//tusA//ftsY//cmk//maa//waaG//yhgF//fadB//tolQ//aslB//pykA//phoP//prfA//ycfS//betB//eutB//yafQ//speA//deaD//rzpR//frdA//dfp//fkpA//lacY//murC//ariR//treB//yfjR//mdlB//appC//manX//yjbB//allR//cmoB//fbp//rpsL//mreD//carB//tehA//yahN//queG//rph//yeeL//aceK//cas1//tdcD//rsuA//bioD//secA//lgt//ftsZ//aspC//rtcB//yajO//rplY//ftsH//yhjV//stpA//dgkA//ygaH//sdhE//thrL//focA//hemH//mtlA//zinT//rph//ratA//leuD//acpP//trpB//casB//hcaD//treA//rclC//leuA//kduD//hisA//nirB//tyrA//clsC//appB//glnA//wecB//glmS//mhpA//ycdX//chaC//fcl//tatB//ptsN//rpsN//caiF//aroP//malS//ydaC//yafC//zwf//hisQ//guaA//elaA//yraK//xylE//yfbS//folC//rfaH//hda//folD//cpoB//yjhB//plsB//ygeX//fecC//arnE//frlB//dcd//phnK//glsA2//rpe//cmk//dinQ//pepD//hisD//brnQ//pnp//hdfR//abpA//yegV//pheS//ghrB//tcyP//tdcB//ftsK//yiaT//spy//mrp//hcaC//amiD//lhr//leuA//rhaA//folE//secE//alsA//waaH//entD//fieF//yjjG//rplT//suhB//ydjE//dxs//ydcP//iraD//yafE//cmoA//yieH//stpA//entC//ycgV//srkA//nuoN//glmS//yoaB//flgJ//dcuS//dhaK//uvrY//phoE//menI//xisE//rnpA//clpX//folC//srlB//fryA//mmuP//umpG//ybjN//ynhG//fimD//kdsD//ppsR//dgoK//araG//rsmA//lpxM//murJ//ydcR//rplD//yibH//yqiI//pepA//arnD//selU//xthA//asmA//torS//intA//yggN//yejA//gmd//rpiB//puuB//uvrA//sgcX//mscM//uhpB//cysB//msrC//iscX//xylB//waaF//pgi//nanK//hybO//mdtF//hscB//tcyJ//fimH//ygjH//mscM//brnQ//pepD//sdaC//dnaJ//rhtA//ugd//yehU//dfp//appA//ybiV//hycI//lptD//paaJ//rraA//ghxP//tldD//yehD//ghxP//rnc//yhdH//uidR//ybdH//bioA//ydhQ//lolC//lspA//paaD//yagG//yohC//acrB//hemN//yjjU//ldrB//yjeI//phoP//ilvA//spy//alr//amyA//fimZ//fdnI//crl//insH-6//map//etk//grxD//pabC//fimF//argI//dapA//yibF//ampE//djlC//mscM//yafN//selD//glnQ//bssR//pdeL//prmC//chbC//nikR//argG//treB//mdfA//yjfF//waaJ//minE//lpxT//yieE//nanK//dgoA//ggt//mcrB//ribD//iraM//iaaA//mcbR//yojI//ibaG//mltF//tdcD//phnM//nanT//yahI//abgB//mlaF//umuD//acrE//narH//fliS//gltB//zapA//uhpT//ydfD//galP//yehW//alsB//torA//lldD//hdfR//slyD//fecA//arnB//yacG//dppB//mak//chbB//yfiE//yidC//nikE//kefG//higA//rpmJ//rutB//yghG//mdtJ//cysK//dtpC//sdaB//rlmG//cusS//puuA//ygjH//mlaC//lrhA//ung//yedF//yggW//ompW//satP//yfgI//ychH//tbpA//argO//pepA//
GO_0009059_5	yghG//ydiR//yjfP//thiI//mlaF//yfiR//uspC//bioD//hybA//flhD//frvR//phoP//gapA//dacB//arfA//frdA//dacC//cspE//yagI//gpsA//yfcR//yfaX//fpr//araF//agaS//phnG//mscM//rne//narX//dgcF//ygfA//basR//topA//comR//tbpA//hslU//aaeA//purC//tsf//ilvE//potD//leuA//ygiV//yraK//ldrA//rmuC//rsmB//sulA//speB//pdxK//araD//glgP//tmcA//narG//potI//fetA//pgi//insI4//acrF//ftsP//nagE//adhE//pphB//oppF//hycI//ptsP//dgcJ//ibsD//ftsY//pdeH//ptsP//rluC//ssuB//malZ//basR//rmf//ldtE//ldcC//paaK//mdaB//gpsA//caiE//trmA//yehC//gpr//yfaX//ydiR//hyi//zapB//flgH//cspI//pyrF//nsrR//uspF//speC//hybG//umuD//asnA//recF//abgA//fiu//xerD//creC//zupT//aroA//bglA//xseB//blc//pgk//yjhP//kduD//nadK//argR//cueR//cynX//glcE//gstB//rffG//ppc//tdcC//ygjR//kdsA//plaP//ynbC//gatY//ravA//mtlA//sapB//cyoD//rluB//pepQ//caiE//yidC//dapD//lolB//sixA//lspA//rhtA//sfmF//envR//edd//ypdA//relA//gutQ//dtd//pncB//yieL//rstB//dacB//glpK//rph//hiuH//baeS//yodD//hyfF//hofP//uxuA//aroK//cmoA//hybA//tynA//ilvH//yqiI//iaaA//nhaR//rhoL//rplI//cbl//paaC//cydA//cobT//agaB//rplF//paaJ//secD//pykF//pgaB//plsX//yeeY//scpC//oppD//gltX//waaF//btuD//ilvE//yadM//dnaJ//paaB//tcyL//fabH//nei//malZ//otsB//yjhH//cutC//acpH//msbA//serB//hemD//fabA//yfcS//mutT//glnH//pspF//lgoD//fliS//cyoA//mutY//polA//srlR//rplQ//mngA//yidC//alaA//setA//ftsQ//sufE//efp//mppA//yjhG//cysB//rtcB//deoB//tufB//ampG//spy//ybbW//hisB//yahD//ubiB//tsgA//hxpA//ybiY//rluC//aqpZ//proB//ybaO//tsr//ybiW//uidC//sbmA//mdtG//hisG//ymfA//insI-1//flgH//ycjQ//amiD//rbbA//ghxP//ulaG//hcaB//hcaT//plsB//waaG//dsdA//rho//purC//cspC//panC//abgT//atpG//ubiF//ackA//agaB//mqsA//gltD//yagU//degQ//lacY//eutK//ilvA//trg//hyaC//ygeX//allC//spy//yqiJ//nudC//metK//hrpA//yiiE//tldD//ychH//uof//lgoR//yajL//hybA//asmA//dgoA//yhaJ//argO//dhaK//dinD//arfB//cyaA//speG//spoT//secE//ydhC//rapZ//rlmE//nadD//nemA//yjhC//insA-1//yajQ//soxR//prmB//gspI//hyi//fadD//yraI//ptsN//bioD//ubiG//cynX//
GO_0009060_6	yhaC//torZ//betA//fepG//rzpR//gltB//hscB//rpsD//sdhE//asnS//murA//dnaE//lgoD//ybdG//fdhE//nagE//emrB//yfdR//ubiG//dcuR//lpxC//acrZ//yhcD//cysE//dnaB//tehB//
GO_0009061_6	rpsT//gltX//rnlA//phnC//recO//lolA//oxc//pckA//csgD//proV//lsrK//argD//araC//yggP//cobC//fumA//pdeR//fimD//setB//flhE//tatA//ybhJ//exuR//chbC//rffG//topAI//argS//actP//entF//atoS//hypT//elaB//btuD//rpsJ//ynfF//glgS//recA//artQ//ccmD//rsmC//yahB//pitA//ruvB//malE//ugd//hypA//yegT//ibpB//rseC//kduD//mprA//pinQ//rhmR//lapA//uvrD//
GO_0009062_6	ahr//hyaC//pdxB//bcsA//cecR//yhjX//xylA//uvrC//arcB//hycA//fimZ//zwf//rho//cydB//malS//csgA//erpA//rplO//lplA//yoeE//eutD//
GO_0009063_5	rpe//rseC//hisF//rlmH//gltK//slyD//rhaB//ybhR//rtcB//ruvA//osmE//pinE//casE//hybG//gutQ//casB//ygiV//moaA//mipA//pflB//ypdB//glyS//ydjM//ynaI//nsrR//carB//yrdA//ybeY//panC//nudB//malE//cobB//casC//yidZ//yheT//fabR//yggW//mhpR//hdfR//rlmC//potB//ndk//hslV//polA//sgbH//yieL//yciA//csgD//cheW//dgoR//mrp//yeeL//ybiY//rph//fimG//
GO_0009064_6	uxuR//pdeL//bglB//uvrB//nhaA//clcB//entD//rpoS//cysG//mscS//prmA//yfeX//yibF//ibaG//yafS//leuO//zinT//fliZ//kdsD//napA//ubiD//holE//dgcN//pheM//recO//yhgH//ycgR//mltA//yehU//sfmH//rsmF//diaA//nirC//gpmM//wza//yfbR//hisC//hcaE//opgH//lpp//dgoT//yehB//yfcF//fis//sdaA//ispA//
GO_0009065_7	ygeX//murQ//phoP//phnG//greA//rnlA//lipB//pckA//nikA//yghU//mmuP//menD//adeP//ybaM//agaS//rhtC//arnA//rplR//
GO_0009066_6	kefC//ugpB//nudF//yraI//dcuA//rplN//ybfE//hdeA//srlD//lpxD//mcbR//cpdB//tehA//uxaB//frlA//dsbB//comR//hrsA//yehA//comR//asd//rihA//paaJ//fliS//rbbA//glsA//topB//menE//moaB//yjcO//mraZ//crr//tnaA//npr//ynhG//argH//ydfK//panB//gltK//plsC//ccmH//yggF//viaA//gatY//trmH//arsR//leuE//dcuB//
GO_0009067_7	argC//perR//aceF//tatD//suhB//thiH//insE-1//dgoR//ndk//rluF//tatC//moaB//ivbL//frdD//dapD//yqjI//pyrE//phnH//hypE//shiA//yadM//yfhM//mgtA//dgcF//trpD//qseB//
GO_0009068_7	fepC//cpoB//dgoT//yadG//yfiR//yajL//rfe//ade//dsbG//nagB//preA//yejE//prfA//
GO_0009069_6	narX//yajQ//dhaL//gstB//murB//mdtM//dld//yigL//fimC//yafQ//lipA//cyaA//hflK//lnt//ycdY//birA//tsaE//ydeP//ymjB//vsr//ygbI//ycbV//kbaY//murE//yhdX//exuT//cyoD//hypA//crr//trpB//garR//fadR//pgpA//xanP//folM//ydhQ//
GO_0009070_7	glpX//elaB//nrfC//potG//yqaB//ndk//yadN//dsdA//sbcB//hdhA//yghB//hprR//trpS//gntR//cbrA//pheA//yafO//yadI//pspG//parE//
GO_0009071_7	gsiA//ompW//elfA//yhjX//fadR//adiA//aaeA//dacC//rluA//melR//dnaB//cyoC//rplI//argD//
GO_0009072_5	yaaY//ampH//ydfH//mioC//malZ//purR//ung//rfaF//mraZ//dnaJ//eamB//holB//fdrA//matP//purN//araC//dtpC//fabH//dnaQ//yjhH//bamD//dgoR//adhE//phnJ//
GO_0009073_6	sgbE//ybhA//ribA//pdeL//glpX//glnK//ygeX//pbpC//ettA//yeaE//ibpA//lacI//srlR//torA//entC//ibpB//yihU//dmlA//dauA//ygfX//nhaA//
GO_0009074_6	yicJ//osmY//sspB//
GO_0009078_6	gmk//nikA//ymfK//umpH//ytfT//tehA//betI//
GO_0009079_7	gcvR//yihX//mtlR//rpsL//
GO_0009080_7	murP//pphA//sgrT//
GO_0009081_5	glcB//xapB//yqiH//fliK//ydaV//purN//aroB//iscR//folP//yqiH//flhC//mscL//potE//arnD//rpmG//atpC//yihS//tamB//purN//yjhB//metN//ydcZ//
GO_0009082_6	npr//yeeA//bssR//cmoA//pgpC//speB//glrK//nlpE//csrD//ppsA//dgcJ//glpX//ygdG//rpiR//malK//aidB//yeaG//ybiI//
GO_0009084_7	fliL//yjjV//xylH//gatA//ubiH//nupX//cynT//ugd//garP//ybdZ//ygiS//ybcL//yqhD//sufS//asnA//gntT//kdpD//mnmC//nth//ftsZ//cysK//ftsW//pgaB//motA//ybjC//
GO_0009085_8	nadK//accD//rnhB//phoP//agaR//fumB//sdiA//appY//asd//yfiF//rplE//csgB//
GO_0009086_7	leuA//pepB//wbbK//plsB//otsA//acpP//hemE//argC//selB//
GO_0009088_8	gltK//evgA//
GO_0009089_6	ispG//fimH//argR//cadB//zitB//yqiJ//yjhG//mltC//ybhG//
GO_0009090_8	rpmF//dmsA//norR//mdtE//
GO_0009092_7	patD//fhuC//yqhC//cueO//cdh//hsdR//
GO_0009093_7	pinE//mltG//agaB//artP//frvB//
GO_0009094_6	nanC//napB//ydcT//msrA//
GO_0009095_7	tehA//hemL//csiR//alsA//
GO_0009097_7	ybgI//uspE//hslO//melA//rpmC//rlmJ//yaiP//
GO_0009098_7	queE//melR//yddM//ttdT//gsiB//pnuC//holC//
GO_0009099_7	pyrG//yagU//yjbG//ftsB//rdgC//sbmA//ymgA//osmF//bioP//mhpB//
GO_0009100_5	rraB//mprA//mraY//rimK//ppx//
GO_0009101_6	mhpR//
GO_0009102_6	yciG//frvR//hicB//cheR//araE//sbcB//ydiK//ynbB//guaB//uidR//yjbG//alaA//proS//
GO_0009103_6	motA//aroC//yeeO//yhcN//glnB//wza//opgB//epd//nikE//yahK//hrpA//
GO_0009106_5	yhjB//pppA//
GO_0009107_6	sgbH//lipB//
