#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	fdoH//ispU//flgM//ibaG//
GO_0009893_5	gspJ//gabT//cytR//parE//tcyN//yjhC//pdeK//hisS//bdm//alkB//cysI//mraZ//tomB//nuoF//mtfA//recF//rpiB//thiD//comR//gsiA//ybdO//treB//trkH//srlD//torC//araF//nanK//yijO//glnE//lpoA//sfmA//lysR//topB//soxR//rffH//rnlB//glgX//livF//sdiA//cas1//cysD//sspB//ogrK//wza//ampD//lptD//sdhA//potA//rpe//opgD//potI//mzrA//yegV//rplC//tqsA//thiI//znuB//rpsA//chiP//leuD//yhhZ//napC//luxS//ddpA//ubiH//stpA//acrR//fdx//waaG//fryB//yajD//sseA//yjhB//rimI//polA//paaK//rimO//paoC//fliT//ycdX//yidZ//cpdA//ibsD//cbl//cysP//bioP//gadC//hslO//acrE//mhpC//yiaM//caiD//nlpI//sanA//qorA//hemN//pgaA//torY//rng//
GO_0009894_5	hisD//hofO//ydiP//yifB//edd//ghoS//adk//elbB//ykgO//ydiV//fur//atoB//sdhE//rof//
GO_0009895_6	kdpA//ftsK//xanP//amyA//
GO_0009896_6	ydeO//yghW//yjiR//
GO_0009966_5	yebG//
GO_0009968_6	frr//
GO_0009970_6	ygdG//moaD//proS//
GO_0009972_10	motA//
GO_0009991_4	bcsQ//glpR//hldE//yhjC//ygdG//rcsC//waaQ//waaH//yihX//srlB//hemN//yadV//argR//ndk//opgC//hycI//mcrB//mltC//yhjC//potA//fimE//etp//tig//kdsC//ygiW//kdpE//rluF//pta//paaH//shoB//malQ//pgk//yjgX//rutC//bglJ//upp//ruvB//fliS//allS//pdxB//ygaZ//atpE//yfbS//ybiA//cvrA//yfhH//ratA//frdD//rplF//yhjR//allC//leuS//ynfF//ftsZ//alsK//malX//sstT//dsdX//deaD//ydiB//mtlD//wecC//mppA//
GO_0009992_5	cycA//hisD//mtlD//thiI//
GO_0010033_4	moeB//cvpA//chbG//pabA//napA//cbpM//yfbR//yehW//trkG//fes//phoA//aspA//rhaR//nupC//ade//fliT//rbfA//pfkB//frdB//cca//rpnB//aidB//mmuM//nupC//tmk//fdnI//hemL//nuoL//bioH//bioF//creC//rfaQ//holD//rplQ//ilvI//yfdR//ygaV//potC//ycjY//alaS//dcuS//mdtK//fabD//
GO_0010035_4	pgaB//mreD//murG//moaC//ugd//csgE//bioA//rpnB//ilvI//cueO//yidH//ygfX//rsmE//yfdG//dhaL//argD//dut//cysK//gshB//btuC//paaF//greB//pabA//kdgT//dtpB//ygjH//fliL//bluR//ccmA//waaB//pyrD//fixC//tdcB//ycfJ//nmpC//mngA//dtpB//yedX//phoQ//ssuA//yceO//rnlB//yjjB//yjaZ//sutR//hypT//livM//bepA//yjcS//ybfA//motA//gfcE//fumC//pfkA//gsiD//yfaX//dcm//ybiS//recQ//metR//yacG//fadD//cvpA//slmA//yfeW//rspB//ykfI//puuE//gatD//yciV//yehW//gltP//narK//rplB//yhjV//yahO//
GO_0010038_5	yqaE//galS//yhbQ//grxD//yfcF//glpC//murF//envC//waaH//hofO//wecC//mdtC//ffh//prlC//abgT//rlmE//mrr//ygbM//nirD//lptG//waaC//pykF//nhaA//ubiG//lipB//aspS//atoS//yqeF//fliM//yhcN//phnK//livF//yrfG//gltB//envZ//moaE//metC//hinT//emrK//aspA//nagA//pdeD//gcvP//sodA//astB//
GO_0010039_6	menI//lpxB//rbbA//mngA//araH//frlA//ompW//
GO_0010041_7	kduI//btuD//mdtK//fruA//yciF//lepA//
GO_0010042_6	yeaK//oxyR//
GO_0010043_6	rluA//dtd//fimD//zitB//ygcW//mrp//
GO_0010045_6	rpmB//acnB//greB//
GO_0010106_6	bluF//
GO_0010124_4	ykgF//ampD//alpA//gluQ//nuoF//yhiM//dnaN//narV//yiiE//dgoR//speG//narI//katE//
GO_0010133_7	uhpT//
GO_0010139_7	yciT//
GO_0010165_6	pepQ//uxaC//rpmE//yqhC//yhbQ//fhuB//fepE//carA//infB//abgB//pyrC//artP//xanQ//lolD//ybhG//patZ//
GO_0010167_5	argA//ung//
GO_0010212_5	ydiR//opgH//appA//nlpD//murE//acnA//ung//yebG//yfgI//dsdC//proB//deoD//arcC//lldP//purB//trpB//mdtE//yfjV//yaaA//rlmE//cbeA//yadK//tktA//potF//menA//aldA//pnp//tsx//
GO_0010226_6	murC//
GO_0010243_5	galK//ydfG//cyoB//yfeD//ecpR//sufC//surA//gltB//lsrK//narK//yhcD//obgE//asnS//mhpA//rtcR//fmt//
GO_0010269_5	hofQ//
GO_0010272_6	elaB//dgoA//rarA//gldA//gudP//alaS//
GO_0010273_4	pgrR//tabA//cadC//maeA//bluR//baeR//
GO_0010288_6	yidP//
GO_0010312_3	mraY//
GO_0010332_6	bamB//
GO_0010350_6	rho//guaB//
GO_0010438_6	pheP//kdpC//csgA//nuoI//
GO_0010447_5	recB//fecA//erfK//ogt//malG//prkB//ldcC//feoC//yegD//yqeG//aphA//insI3//glmM//hybF//endA//ybjI//pnuC//entD//yafN//ruvC//coaA//
GO_0010466_7	yciE//dcuD//
GO_0010468_6	uvrB//insA-1//chbR//feoB//btuE//fimI//kduD//frlC//artQ//borD//cyoA//yiaM//yggT//rimL//dgoA//tusA//hemC//rppH//narQ//agaB//potD//dinJ//ivbL//soxR//hyi//waaG//yrbG//ydjK//symE//wecE//ampD//glpX//sfsA//btuR//fes//menA//fadM//lpxM//dauA//rpsJ//sgcX//ykfI//fre//dauA//mcrA//ftnB//plsX//ynfE//msrA//hyfR//ybhD//rclC//rcdA//hybB//tolC//hcaT//pncB//prkB//ybfE//brnQ//ompN//yadI//paoC//dusC//iaaA//citC//xanP//sgrR//ltaE//sodC//rsuA//yqgB//tpx//dnaC//dsbG//nanK//yajL//greA//aroK//hybO//ispH//hisG//tar//dhaK//caiF//hpt//kdsD//gcvH//rlmB//mscK//lacI//glyA//bcsQ//cas2//tas//iap//recD//nhaA//mepS//pflC//yhaO//citX//mdtD//yagI//glnE//mraZ//ompA//rlpA//fucO//gadE//rclR//yihR//tdk//yfeX//rimM//mqsR//prmC//lsrA//tdcR//fimG//livM//yacG//exoX//treR//kefB//tynA//glnQ//clsB//rcsD//rhaM//smrA//entE//exbB//gadA//thiL//cmtB//hcaR//potF//yjcO//yeeA//iscA//topAI//ycjP//nrdE//cdaR//pgl//ppc//cueR//gshA//hisC//pgsA//araG//mutS//agaI//rffC//bioD//csgF//fliS//rseP//amiD//lpoA//fliL//dcuS//bglX//emrK//tbpA//ccmC//opgB//rplO//dppB//hupB//amyA//dcyD//mdh//bcr//yecS//yiaF//gntR//hemL//abgR//kduI//matP//npr//dicA//hslJ//recX//mntH//ycgB//rlmN//tonB//tcyJ//lon//cspD//ftsP//ynaE//paoC//yobA//cpxR//trmO//mdtO//yddL//aceK//mngR//yneE//dinJ//rbfA//dnaB//tonB//rlmE//ygcW//nuoN//nadK//envR//sapD//hupB//pflB//gntK//yqaA//epmA//mdaB//ybhG//rlpA//grxD//macB//infC//potF//amiC//rpmC//ygcO//hofO//pgm//apaH//yejB//truB//yqiH//nanC//caiF//ccmC//mtlA//msrP//minC//yeeO//cysB//ydhJ//rsmF//fliA//ydbD//ybgQ//trpGD//yahF//livG//rzpD//btuR//ybhR//lysP//opgC//ddpA//priB//dsbC//exuT//kbaY//clpX//puuB//pspD//ydiO//chbB//rutR//flhC//yqjH//yfcG//lacI//yadV//yieK//adeD//recO//entE//ygbN//purC//wzzB//purB//moaE//aas//fadB//dinQ//mglC//yhjB//cusA//bioC//trkG//fabR//chiP//arfB//soxR//paaD//pyrB//feoA//folM//rpoA//hisS//mrdA//ybhI//ydiF//ycdX//qseC//alsE//ygcR//fadH//higB//dnaA//mcrA//paaF//mdtL//asr//endA//pflC//ribD//evgS//flgE//
GO_0010498_6	nagZ//
GO_0010501_7	ydjK//cptB//mcbR//ymgA//aidB//dppF//fimA//zapC//rpmF//
GO_0010528_5	yhjA//
GO_0010556_6	infC//gpmA//rpsJ//yqiJ//xisE//cpsB//dgcQ//ydcI//osmC//yfeX//yjjX//hslU//gsiC//asnS//treB//sbmA//rimP//basS//fnr//opgB//cmoB//fabD//glcA//ruvC//dapF//nagK//dinD//amiD//fruB//dam//osmE//macA//cdgI//gpsA//araH//rimJ//panB//kdpD//torI//araB//feoA//focA//mnmE//fmt//yiaF//nagZ//yjeH//pdeH//rffH//ompC//ybjC//infC//fadJ//casE//msrA//acpP//prmA//paaF//clcB//manA//metL//dapB//cusR//trxA//murF//uhpT//uvrD//wzb//tdh//livG//exbB//speC//hypD//lldR//tbpA//ycjR//gdhA//proP//rutB//fliM//tdcG//acrR//tehB//arsB//ribC//yadC//kdpA//ptsP//pykA//yibA//rluD//perR//rhaA//rpsJ//cpdA//cysU//hemF//yceD//sdhB//yneJ//chbR//bioD1//kgtP//rutD//glnH//yihV//mepM//yjgX//mocA//rpmJ//yqjA//cbeA//rimI//gstB//ygcO//ycjP//cpoB//mutY//pdeK//msrB//elbB//tusC//mdtQ//focB//dinQ//mepS//mdtE//proP//emrK//leuS//pgaC//trg//ssuE//sgcC//yfcV//maa//folM//hscC//wzyE//dusC//yeiE//rlmJ//rho//cysZ//potA//nanT//ubiJ//ispA//kbp//msrB//uhpT//aroE//yhfK//tolC//mreC//pepB//hyaB//ybjI//trkA//fsr//argK//yciT//ymfA//yjiA//mutH//yhdJ//ugpA//ftp//fbp//csrA//narK//yciE//cysD//pspF//ybiI//bamD//ypdB//mngB//frmB//htpG//nirB//intQ//gntP//ygbL//insE-1//ldcA//helD//kdgK//yhcF//rihB//ftsN//thiC//rimP//mdtN//lysS//dacB//caiF//norW//mreD//pmbA//yejE//fucK//rimM//cmoB//gshB//hisF//galF//nanR//wzzE//ogt//zipA//osmE//torA//nagD//truB//fnr//rpsS//cmtB//phoB//gabT//menH//ybcF//preA//caiB//aceA//cmoM//sufS//yoaB//sgcB//mtr//waaZ//ygbN//nrdA//avtA//ygbL//rhmD//hyaD//acpP//ybdO//yceD//tatC//deoR//fhlA//ypdB//pdxJ//insI4//iap//yghU//pflC//pepQ//cynS//yahK//atpB//yejF//aer//uxuA//secF//rffT//mdtQ//nudF//nadK//wzc//ybeY//gadW//yibA//ppx//hybB//yhiM//purL//intQ//yoaB//araH//nanA//phnC//yahI//rstB//ydbD//miaA//spoT//rna//selD//gabP//yjaA//wzb//hemL//rfaQ//glgA//iscX//folE//mdtL//cydD//fhuD//hinT//rpoE//yidP//appC//fimC//yegS//kgtP//bglF//relA//hrsA//ygeR//cusC//sapC//dut//hflK//efeO//plsB//hypF//ivy//ssb//
GO_0010557_7	lpxM//hha//ariR//yedF//galT//yfaX//ispB//prfC//rnb//ydfK//ttcA//cobT//aas//ygjK//rhaD//yejA//gstA//wzb//aceA//adiY//grxD//ptsH//cynX//tesB//uidR//ettA//rihA//mhpD//argE//metH//torI//sfmF//lasT//nuoB//ldcC//iscR//epmB//flgM//mltG//trpL//cobU//ogt//minE//ortT//bdm//appY//tauD//fepE//hflX//ybjL//ulaF//yraN//uhpB//atoC//secY//apt//yehP//aaeR//fucI//proW//yidD//rho//yggP//fliA//cedA//ynjA//clpS//ulaE//clpA//aceK//ydeE//rapZ//csgE//appC//argK//nmpC//frdA//gcd//ycjP//yijE//pdeF//yfjV//
GO_0010558_7	csdA//cmoB//poxB//feaB//livM//cyoD//pspG//dsdX//paaB//rpmJ//psuT//cynX//flgK//cysS//rsgA//iclR//glpT//focB//cas3//arnF//nrdI//phnM//mrcB//afuB//prpB//hdeD//ghrB//kdsB//yahD//rihA//kdsA//rzpR//yiaM//narY//csgB//nagB//caiT//yebQ//ybhR//narI//araH//rluB//ygiV//uxaA//oxc//lamB//hemL//rfe//parC//rpe//fumB//waaZ//radD//potA//ypdC//nrdG//rplI//yjaA//mreB//ppiD//pstB//pheP//yhdJ//ydjK//purU//viaA//sgcA//yibH//ghxP//mepS//glgC//ygbL//yjtD//yjhG//asnA//clsB//deaD//yagI//exbD//secE//bcp//tufA//lysA//gapC//dmsA//ybjG//yigB//entD//potD//yiaO//dtpD//ispB//leuA//sanA//lysP//kbaZ//hyi//cheY//dcm//tatC//sdhA//sad//yciV//fadJ//cynX//yihP//yihS//yneJ//gor//gltL//fbaA//ybhI//yjjW//yihL//mutL//galU//yciK//appB//yibA//asnS//
GO_0010562_7	glgX//pykA//
GO_0010563_7	mdtC//casE//
GO_0010564_6	lpp//nrfE//malI//dtpB//ydjK//
GO_0010565_6	bamA//gatB//znuA//grxD//iscA//argB//
GO_0010604_6	fbp//rnhB//yqeA//glnL//rimK//hflK//btuR//minC//ygaH//chbF//flgE//ybaM//fdnI//ybfE//lepB//ybiV//holC//ddpX//ftsH//rffM//nagB//insE-1//gatC//paaG//oppC//crcB//asmA//yidH//asd//elaB//copA//gmd//araE//mutS//argH//asd//rne//xylB//mglA//aphA//fpr//allD//fabR//fimZ//thrS//gapC//fryC//hns//pgl//mcrA//yfcA//rne//mdtI//chbA//lgt//nanS//lyxK//fadJ//acrZ//dam//rplD//rlmH//tusB//mmuP//rlmH//pfkA//atpH//tas//fliL//dnaQ//rhmR//araD//ydbD//hofQ//pheA//mdtE//tonB//ihfB//fadB//mnmG//xylH//rpnA//glyA//puuR//insA-1//cyaY//thiP//acrZ//nlpA//rpsJ//iclR//yajO//appC//
GO_0010605_6	uraA//ggt//dam//ybeQ//rspB//groL//cydC//ybeQ//pldB//amtB//macB//spoT//flgK//tap//mdtF//yfaV//mtr//yidK//ydiZ//mdtQ//ldtA//hisA//manX//hypT//ypdA//mdtB//creC//kdsD//insB-4//atpF//yjcO//ygfZ//fadM//yfcG//sad//rzoR//cspB//cyoD//aer//envY//era//ygbN//mraZ//obgE//agp//umuD//idnD//ccmE//insI-1//aroF//envR//aspA//hprR//sucD//xylF//msbA//ftsA//ynbC//bioC//yhbX//ypjD//yegV//napA//rclR//gatY//ygcR//fklB//waaQ//malI//rfe//thiG//dnaC//mrp//atpC//ubiC//yqeF//apaH//yqjH//bglX//trpL//ftsL//rutE//sapD//phoQ//flgD//cspI//hisS//sapD//ffh//nadC//agaD//mrdA//mreC//frc//sstT//yeeO//yjjI//mioC//purF//yccS//moeA//kbp//cmtB//greA//selU//hsdM//csiD//moaE//flhD//yhbO//tcyP//rsmD//glpT//ygiW//pinE//tdcB//envC//gspF//ydiO//lpoB//xanP//sugE//rsmD//prmB//yraR//manZ//citT//asnB//yjiR//mgtL//ydiR//pth//fur//xylB//pgaA//ggt//casC//lysO//ygfA//sgbU//rsmA//yqiH//ptrA//speC//
GO_0010608_7	yphC//rsmB//speG//yqhC//ribA//gadB//bioF//hyfR//hcaF//kdgR//pnuC//yhcF//ftsH//nrdA//dapA//ygiV//rcsB//ybiS//zntR//bamE//kdpE//yiiE//sufS//katG//yijE//tdcD//yhgH//cdgI//pheP//rplJ//galP//ykgO//mdtC//aaeA//tamB//xseB//tus//yhjG//xapA//ompW//gudP//yddG//sfmH//flgM//
GO_0010628_7	zapC//dcuC//xylG//dtd//elyC//pykA//dedD//rlmG//ybjD//mhpR//mrcA//dgcZ//yqeA//btuC//ycaN//hns//waaY//tar//astB//fimI//phnM//ruvC//mdtD//pnp//ompG//gatZ//vsr//cysD//rplE//chbG//accC//ilvE//mtnN//iscA//fliK//yhaM//wcaJ//ydcP//soxR//csrD//aaeA//valS//sgcC//lapB//gapC//agaS//gadW//secM//ycaN//purT//elaD//nuoL//proW//hyfC//rraB//rng//ydjK//cutC//rclR//aceK//deoA//bioH//ychF//xylA//asnA//glvB//rpiA//rnr//oxyR//cas3//dsbC//zntA//nlpE//recN//guaC//intQ//leuA//ompF//lysS//ynaE//setB//leuC//rzoR//
GO_0010629_7	proX//ygaV//lsrD//fkpB//rpmH//rcdA//rsmG//roxA//folP//pgm//hisM//uvrD//yegV//cvpA//metF//prfA//tcyP//mtn//msrA//rcsF//xylA//cyoE//ybhA//queA//alpA//citX//selU//aspA//hdfR//preT//cysA//rpsK//dcyD//tpx//malZ//yjjX//clpP//chbC//yqiH//gltK//lsrB//yfdR//ydiB//nuoH//lamB//rcsC//rho//yceK//alaE//rplT//prlC//flgG//nuoI//rsmE//feoC//waaP//pntB//araD//rplE//dnaC//ydiP//metC//sixA//truB//pflC//deoC//ompF//cbrC//crp//yahF//torA//hcaR//zapA//araG//oxyR//fabB//puuA//dtd//rimK//rluA//nupG//metF//cpxP//fimA//rpsT//psd//prfA//kdsC//ileS//nhaR//rppH//astC//ubiB//hybG//accD//ybjX//ybcL//lpp//frsA//lolC//sgcB//fkpB//ftsH//yhaO//citX//caiT//purB//yjbH//fabI//malI//endA//ymgC//mrdB//mlaC//tusA//dacC//artJ//rseC//bioD//msbA//rarD//mepS//ettA//cpxP//potA//alkB//ftsW//aphA//
GO_0010638_7	fdoG//smrA//
GO_0010639_7	pinR//pphA//ccmG//
GO_0010646_5	glrR//
GO_0010648_6	mraY//
GO_0010675_6	yihS//narK//gntT//ybiW//uspB//ydhJ//
GO_0010676_7	hofQ//thrL//
GO_0010677_7	bsmA//
GO_0010699_4	sucB//coaE//
GO_0010810_5	mprA//queF//
GO_0010817_4	rplT//rbbA//wcaB//argO//csiR//bamC//panZ//otsA//maoP//ulaE//srkA//zraS//glpR//opgE//
GO_0010827_7	tauB//
GO_0010829_7	fimI//
GO_0010876_4	rsmF//
GO_0010906_6	lldR//allS//
GO_0010907_7	rhtB//
GO_0010911_5	sbp//acpS//yidD//
GO_0010921_6	ribF//greB//kdsB//yahI//
GO_0010941_5	grpE//
GO_0010948_7	yihR//malF//
GO_0010951_8	argA//dinB//
GO_0010962_7	xseA//napF//
GO_0010966_8	mdaB//
GO_0010967_6	deoA//
GO_0010974_7	queC//
GO_0012501_4	dgoA//lexA//yihX//cbeA//potH//pdxB//rplY//minE//ydfG//nrfE//rfaG//selU//ivbL//
GO_0014070_5	serB//tcyN//
GO_0015031_5	hinT//menC//yodD//fadJ//aroL//sdhA//phnN//malY//ptsG//yhjX//flgD//pbpC//rlmD//setC//srmB//hfq//aroG//pbpC//rlmF//feoC//mntP//cytR//fklB//tdcR//fepB//rmuC//htpX//cydA//gpt//yccS//ydaN//yefM//rplQ//elfC//livF//gudP//tolR//yehX//insB-4//yfbV//glcE//
GO_0015074_6	recE//ftsW//recN//cnu//bglJ//sdaC//fucI//
GO_0015628_5	murF//nlpD//rclB//ftsH//yiaJ//
GO_0015669_5	sfmF//
GO_0015670_6	endA//
GO_0015672_7	torI//parE//tldD//ycjU//recQ//rplX//ydeT//yiaL//cobB//folC//mlaD//mdtF//ampD//tolR//zipA//atpG//groL//yaaU//rmuC//yciV//sdiA//hycH//emrD//rnlA//mrdB//ugpC//yccX//ccmG//psuT//hyaC//fdoI//mprA//uxaA//era//csrD//syd//dacC//ghxP//rplW//lolE//rzpD//kdpE//yehZ//
GO_0015673_9	chiP//
GO_0015675_9	sdaC//ydeM//ybcL//rlmD//mglA//wecA//rpsQ//fucO//
GO_0015679_10	rffT//pcnB//
GO_0015682_8	galT//ompG//hemD//ftsE//cutA//rfaQ//rplY//potA//ppk//rbfA//argK//pfkA//
GO_0015684_9	focA//rayT//mglA//citC//ycjQ//
GO_0015685_8	pepB//mtgA//ydhQ//topAI//mhpR//waaQ//
GO_0015687_7	gadC//nudC//rhoL//bioF//
GO_0015688_6	chiP//rmuC//zapA//ynfF//sbmC//ycdY//dnaK//yfaX//purA//cysS//bamC//yhdJ//fieF//moaA//malF//kdpB//waaB//rfbC//
GO_0015689_8	oppF//lsrG//frc//
GO_0015691_9	gatZ//xylB//fklB//glpG//
GO_0015692_8	rsmA//
GO_0015693_9	cydC//pepB//
GO_0015695_6	xerD//zapC//yfdR//yjaZ//gadW//proQ//rclB//speD//lpxD//rmf//trmI//ygeX//lldR//gatC//nirB//pnuC//ychF//ydjL//glgP//yfiF//acpH//arnD//hycI//potC//accB//nfuA//entF//gltD//secY//fucO//
GO_0015696_6	dtpA//hprS//gcvH//rlpA//trxC//blr//potF//dgcN//cca//nupC//rpmE//arcB//pckA//napD//ycjW//nikA//yejB//zwf//xylH//dinB//mdtN//yiaT//mglA//ampH//evgA//glnL//ibsC//guaD//mgtL//fucK//msbA//
GO_0015697_7	gatD//cnu//yphC//xdhB//uspB//gyrB//murJ//dinJ//tas//nuoB//fimD//manZ//speC//
GO_0015698_7	prmC//ansB//galR//insA-1//aceK//grpE//sufA//yggF//ydaV//hybA//glpR//prfA//mntP//lgoD//yqaB//pgpB//uvrC//ybgI//rplF//pldB//recQ//iraD//nepI//mngR//insA-2//zapC//rpoH//gcl//deoB//cysS//gltS//gcvT//paaE//dacB//yebZ//pflC//satP//fre//rsmG//htpX//add//
GO_0015699_8	aroE//
GO_0015700_8	htpG//tatC//
GO_0015706_6	dgcF//dgcJ//abpB//
GO_0015707_6	uidC//elyC//pgaB//rffT//mazG//yoeE//
GO_0015709_6	yidR//
GO_0015710_8	uvrA//cyoE//
GO_0015711_6	betA//yidH//gudX//ndk//tabA//proW//ubiX//phoE//yjjV//acrE//yciG//uof//agaA//ycfS//yebG//argA//era//cvpA//yajD//ycfL//curA//yfaE//gshB//ascF//rlmF//rsmA//rffC//frmB//yhaC//lysR//ygiS//deaD//flgA//galK//lon//rluE//nikA//hybB//ssuE//rutC//menB//rhaS//rsmF//rplQ//ybaK//chpS//hofN//purD//entC//fabZ//rhtB//rffT//yccX//glgX//argT//rpsH//apaH//pgsA//yqaA//cspB//envR//pdeH//ybaO//glgX//ymdB//endA//lysO//cysZ//yedA//fetB//asnS//leuA//mdoD//relE//map//pntA//agaR//sdhD//uidC//nac//xylE//murI//trpR//patD//ssb//smpB//atpA//rbn//nagD//cspB//yceD//gnsB//hprR//xylG//hokB//flgD//gmd//ygaH//ydaC//sfmD//ybiJ//glnA//serA//nhaB//rpnB//hyfR//fhuB//zraR//rplP//lpxM//osmE//yghG//yedL//moaE//aspC//xylA//ubiI//ccmC//serA//yaaY//aphA//yraK//cspC//yibH//acpP//yjhI//plsX//mreB//uidR//dgcZ//fbp//sutR//waaO//rpsB//pepB//xseA//ygfX//lysO//rfaB//tnaB//fixA//ssuD//mdtA//baeS//
GO_0015712_7	ygfX//
GO_0015718_8	moaD//csdA//ansA//nadD//mak//sdiA//rhaB//yibF//hemG//yobF//sugE//rpmB//folP//astC//azoR//ybcL//alaE//ispG//hcaF//aroP//yedX//hslU//prc//torZ//
GO_0015721_7	hcaB//dcuB//
GO_0015724_7	aroG//cysA//insK//
GO_0015726_8	metI//
GO_0015727_7	yidP//recO//
GO_0015733_7	katG//
GO_0015734_6	gatB//insI-2//priC//
GO_0015735_8	dnaE//
GO_0015736_9	rihB//
GO_0015739_7	glmS//
GO_0015740_9	clpB//tar//yiaJ//ilvD//insH-5//insB-2//yiiE//gnd//ghoT//
GO_0015741_10	yiaF//hofC//
GO_0015743_10	fepB//
GO_0015744_6	dacB//pepN//rpiR//
GO_0015747_6	purL//
GO_0015748_6	lolE//ydjL//panC//mglB//rsmF//amiA//arfB//ulaE//tauA//yehA//ycjY//dgt//hprR//rhtA//thrB//
GO_0015749_7	dapB//rsmG//prlC//insI4//rnhA//ihfB//rep//dsbB//opgC//tusD//proC//radA//kdsD//ycgV//ldtC//fieF//rffC//ulaF//rbsA//ahpC//rhtB//fhlA//yhjG//cedA//mscM//pepN//bioF//rsgA//asd//acpP//kdsA//rluA//menD//yidC//gltB//cysC//bioC//deoR//gabP//rpmJ//insI1//ebgR//msrC//hofQ//tsr//
GO_0015750_8	moaD//paaG//yqjA//pbpC//rph//xapA//dapD//udk//citE//orn//secG//yneL//lpxP//
GO_0015751_9	lptC//trxA//lgoR//abpA//rluE//dsdA//
GO_0015752_9	parE//rpoA//tolQ//insE-1//leuA//tdcD//
GO_0015753_9	ldtB//yqcC//kbaY//
GO_0015754_9	nagE//cdgI//paaZ//
GO_0015755_9	ymfK//adeQ//groS//nadD//insF-1//polB//nirC//thiL//malI//feaR//mdtD//
GO_0015756_9	xthA//fdoH//
GO_0015757_9	eutB//yciA//allC//hybG//yfcR//prmB//thrC//
GO_0015760_8	dcuD//
GO_0015761_9	rplP//prpD//pgpC//
GO_0015762_9	trxA//
GO_0015764_7	rcnR//tusE//kdpE//ackA//
GO_0015765_8	copA//rhlB//tatE//cca//
GO_0015766_8	yedX//pykF//modC//yjfP//potG//holC//uvrD//yobA//chaA//pbpC//kdpB//bluF//dhaL//ytfE//
GO_0015767_9	rapZ//glsB//hexR//ybhG//
GO_0015768_9	recD//dcuR//gsiD//psuG//parE//nikB//
GO_0015769_9	lsrG//
GO_0015771_9	casC//rbsR//kdpF//phnP//
GO_0015772_7	lyxK//galE//zapD//afuB//yiiM//mdtF//uvrY//cstA//rrrD//trmB//zraS//fdnG//ybcL//mocA//yhjD//mocA//idi//
GO_0015774_7	fdnI//pflB//gspF//ygeW//kduI//rlmB//
GO_0015778_7	mutY//
GO_0015791_7	pheT//alaE//ftnB//mdlB//queE//rplX//fsr//yfdO//
GO_0015793_7	flgC//torY//
GO_0015794_7	proS//hiuH//yfiF//bglA//ybeF//
GO_0015795_7	yajR//
GO_0015796_7	tsr//waaG//fepG//sthA//
GO_0015797_7	ykgF//frwB//
GO_0015800_7	yjhP//yciF//yehY//yahN//
GO_0015801_7	elaA//wecB//uspB//fabD//gshA//marR//glgX//nanA//
GO_0015802_7	ais//bfr//fliZ//ulaC//pitA//matP//sad//
GO_0015803_7	tsr//feaB//sfsA//secB//rfbD//evgA//yneJ//elaD//yfbR//iap//atpD//
GO_0015804_7	rlmH//tisB//rlmF//rhaM//pppA//csdE//yhdH//gabT//dnaB//maa//abgA//mdtK//kefC//add//asr//dctA//rffM//rpsM//ycfJ//nrfC//idnK//kdpB//ftsP//fdoG//rihB//flgK//ubiA//cusC//fumA//csdE//glgS//spoT//kefF//
GO_0015806_6	mlaD//
GO_0015807_7	sseA//bglJ//metE//rlpA//crcB//fpr//rbfA//mcrB//phnI//ubiI//cca//plsX//dcuB//lsrR//nudF//rhtB//dicC//gatA//yqeG//glnD//yfdK//idi//ompA//astB//nfi//pepB//fic//trpR//rbsD//pinQ//nuoM//mraZ//yhcN//yecS//ynhF//rpiR//livG//ampD//
GO_0015808_8	melB//nudF//
GO_0015809_7	casA//mltA//ubiA//pckA//chiP//recC//
GO_0015810_8	yfbR//adeQ//
GO_0015811_7	lasT//pstA//epd//aslB//glsA1//
GO_0015813_6	ytfE//truB//flhD//
GO_0015814_7	pykA//
GO_0015816_6	gsiA//
GO_0015817_7	sapD//
GO_0015818_7	yqhC//fhuF//tpx//ydhQ//ygeA//yghO//paaB//
GO_0015820_7	ispU//arnE//rlmD//yjfF//zupT//allR//rbsC//ushA//pgsA//
GO_0015821_7	yqiH//pstB//melA//allD//xapA//
GO_0015822_7	yiaO//uspE//
GO_0015823_7	livM//dnaK//cbrC//ftsP//fnr//aceF//ebgA//
GO_0015824_7	rfe//sucC//
GO_0015825_8	ydeE//
GO_0015826_7	yaiW//ynfL//trmD//
GO_0015827_7	yegS//ybeY//aceA//
GO_0015828_7	ppiA//rffH//
GO_0015829_7	pdxJ//fimE//metI//grcA//ynbB//hokE//yhcN//recO//agaS//
GO_0015830_7	folX//lysA//zapE//
