#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	entB//dmsB//hyfA//fepD//
GO_0006797_5	apt//yhhZ//
GO_0006798_5	ccmD//
GO_0006799_5	cydA//
GO_0006801_5	nsrR//pgaD//dppD//
GO_0006805_4	dcd//gntP//smpB//ddpX//sbcB//yhjX//agaI//ppc//yieL//hokE//ascG//frr//gluQ//dppC//cof//yqaE//recD//yneE//nikC//leuA//ytfT//yfeD//modA//yobF//
GO_0006807_3	minE//artM//ydiP//gudD//recJ//rpoS//ykfM//yaaJ//yjjX//basS//csgD//tusB//yidQ//pfkA//mrcA//dnaE//mhpT//glgP//murE//lolB//ygaH//fepC//araA//ydcM//mdtE//sgbH//fixC//accC//pal//kefC//purA//bglJ//galT//fimG//tamB//nrdF//fimZ//deoA//rplP//yceD//yehB//gldA//sdaB//ycfJ//evgA//purB//nanS//fpr//yjjQ//yhbQ//yejB//nadD//yihI//rna//pheS//fabR//cspD//trmJ//mepM//panF//yehA//yfbU//cspD//allC//pgaB//ccmG//ygeR//hinT//ravA//yhfK//agaA//kdpA//lplT//ydfK//ygcO//ycjR//rplI//dsbG//ydiR//uspB//proA//yoaB//tauB//cspC//ugpC//yihL//tsr//rarD//ldcA//npr//cdd//ychO//gor//blc//umpH//stpA//yfdK//hyfF//nmpC//ftsL//tsx//hsdR//rsmA//manX//yjhG//zapC//torD//glsA2//pck//ftsL//xylH//intF//menF//nikR//ushA//gadW//fliZ//lysP//prpD//dinB//rpsQ//ybaL//raiA//atpH//mtgA//rraB//thiG//yggX//paaC//yagU//rimM//prlF//alsK//yajD//crr//kilR//mrdB//tdcB//nrdH//rapA//phnC//fdoI//nuoH//ilvC//ybaQ//mreC//mltA//bioP//yjeI//rimJ//proB//accB//nrfG//nrfG//hypE//ilvB//rbsB//ygcR//hiuH//yefM//abgR//kdpC//yghG//uhpA//mdtM//osmY//frlR//yqhD//cas2//mog//yhfK//yfdG//gadC//hcaR//speC//sgcA//ftnB//phnO//dfp//yfbR//ymgA//nanE//gntU//feaB//fadM//ybaQ//yhjB//yfgI//nupG//gabP//soxS//trpR//ompR//emrY//htpG//secA//amiA//trpL//yfeX//ybcJ//dgoR//hypD//kdsD//yhdH//oppB//nlpI//ycdY//yeeO//mnmG//ybdR//atpG//obgE//ligA//amyA//pal//glsA2//fucI//ibpB//ghrB//asnS//rlmC//ibaG//pepQ//rpmG//xanP//dcuB//yiiE//dnaA//fliS//rplJ//flhD//murD//amiA//rlmJ//glpF//motA//bssS//yehY//mnmC//sdiA//gpmM//insI4//cyoD//hyfF//srlE//frdC//gcvA//ybdG//ygaV//pgsA//ybdO//xapR//rplA//sucB//ybgQ//agaV//ydcS//yjhH//yoeE//bglH//arfB//yiaN//aceB//cca//tisB//glsA1//fadK//trmL//rimL//ccmE//pepT//clpA//ybdO//higB//rluC//nuoB//lsrA//waaJ//ycjW//elfC//iaaA//yciV//mukB//cydC//glmM//citE//xerC//mlaD//dcuA//ispF//hcaB//tehB//hicA//fiu//kefG//metG//mipA//avtA//atoB//tmk//yehY//hdeB//hcaC//cra//kdsC//ygfI//preA//hslJ//thiI//rodZ//bsmA//blc//yidD//tnaC//fadR//kduD//glxK//phoB//ulaR//lpcA//kbaZ//csgB//abgB//tolR//kefF//ykgO//ybbW//prmA//ybjI//bioD1//galR//uxaC//zur//miaB//mobA//ydcI//potD//pldB//hisS//pepN//puuE//putP//fdnH//cyoA//allC//bfr//gmk//ppk//yegV//dgcM//rpoA//folD//yjiX//tdh//dacA//torI//prfB//panF//yijO//ydeM//carA//rsgA//gadC//ssuB//aspS//gnd//ddpX//yjjU//aes//yfeR//rhmD//ytfP//pntA//ssuE//ybaQ//gudP//rne//valS//tnaC//fdhF//nanS//ydeE//adhP//sfmA//shoB//yebZ//agaV//crp//csgF//allR//yqeA//cheZ//dsbC//ydcO//alsB//cobT//xylB//chbF//ompL//nadE//rclC//wcaB//gltB//ampG//lsrR//yqgF//ybiV//topA//dctR//yidH//ymgF//hisB//fpr//trpB//bfr//melR//blr//ybaT//yhbS//acpH//ycbU//narQ//paaZ//dsbG//kdgT//ydhC//rnc//artM//cysD//clpS//ygjH//waaA//dhaK//birA//pyrB//kdgT//nanK//gadC//proB//gatB//pliG//tbpA//yadC//gcvR//hslV//pmbA//grxD//yehZ//kefF//phnN//tdh//pliG//lnt//ydcS//gstB//pdhR//rcdA//glcB//ykgF//sppA//patA//tusE//gatD//intF//rutG//hybO//folE//lexA//yfiR//dut//dinI//ldrD//yfjV//dgcZ//yafS//phoR//fadB//pdeR//ortT//cspC//puuR//ydiV//mliC//mntS//torS//prfC//pheS//ydjE//smpB//kdgK//dapA//rbfA//hha//ybdH//rzoD//envY//dtpA//yhcD//cusC//mltA//tabA//minC//htrE//yagF//fpr//livF//insB-4//yciF//ydcO//gldA//thiE//bglA//yehT//fepC//ldtE//gabT//bcsA//fklB//pstA//fliA//dkgB//frwD//clpX//moeA//cvrA//fliM//aroG//tyrR//hycH//bamD//hybD//ybgQ//bolA//dacA//yqiH//yjjG//queE//speC//secE//ssb//yhbY//yqjA//ivbL//fryA//hcaB//livM//rnlB//lrhA//ydjM//glmM//entE//pflB//priB//flgH//sapC//mltB//ppiA//yihQ//tldD//glpG//ssb//pncB//mtn//malY//fdhD//hslJ//nikA//ybhJ//mppA//rlmJ//pykA//potF//yecS//ptrA//zapB//nuoE//phnO//rclB//acpT//mdtJ//bglB//rplW//torC//pspA//groL//livG//metL//chbB//idi//napF//mprA//argG//greA//tcdA//ydcM//cysE//hemA//elaA//deoA//csiR//livF//hybA//thrB//yieF//ompF//hybD//yecS//glnB//tolA//alpA//narJ//yjfP//menC//purF//rhoL//fadH//rnlA//hsrA//caiT//alsA//htrE//btuC//ygiB//dsdC//paaX//ttdB//chbF//rppH//rsmI//bioP//thiQ//ebgA//mdtI//dnaA//citT//aaeB//fdhD//ycgB//mtlA//rcsC//dicB//trpGD//trpR//paaD//sgrT//yafE//rutF//uvrB//uhpA//asnS//sbmC//cdaR//fimG//oppC//thrL//ybiJ//katE//yphF//fliK//dppB//rdgB//hybF//yhbY//moaA//nuoB//araF//relA//fabZ//astB//glnB//bipA//rpnC//wcaB//insH-5//lsrB//relE//galK//yehY//ydhC//acpS//elfC//rsmB//macA//kdsB//hemN//zur//btuC//ilvL//lysO//yjhI//acrZ//ampD//puuD//ftsL//yjgX//rpsP//rutD//pinR//insK//ycfS//puuE//ycfH//ybhA//lspA//gudD//yagJ//yraI//rpsR//holC//psuG//evgA//satP//rplM//phoU//dnaG//yiiD//ascF//rayT//sbmA//ggt//gatC//phnK//dpiA//yehX//nlpE//yebC//dnaG//nlpI//artI//rpnB//lldD//ascB//yejE//hdeB//tdcD//phnM//msrP//modB//yjfF//recA//yjfF//chpB//rpmG//dgcZ//agaR//ydaC//yahD//leuC//yegV//spy//rfaF//mrp//dusB//malS//rbsD//metQ//rplT//fliS//glyS//mnmC//cdsA//ycfH//ygfX//tas//yceK//folC//sutR//rhaA//cusB//napF//yjiM//gabT//cedA//dgkA//dsbC//cpsB//pth//casC//ydfD//ycjU//fliT//rplL//ydcM//yjiQ//ycaO//sdhD//ccmF//tdk//trkA//ugpC//ubiA//narH//cmtA//sgrR//treR//rhlE//oppD//trpL//proX//focA//lysP//insI-2//rplF//tsaE//iaaA//rzoD//ygaH//ybiA//ulaB//ycgV//yibA//uspF//gspE//rcsF//sutR//torI//hinT//pdxB//yfgI//tufB//glsB//phnG//glcA//pitB//sapC//idnT//ubiJ//entE//xerD//tcyN//cobT//csiD//cobB//yfeW//hslO//rplY//torI//rapA//cirA//yhaV//napF//gudP//yhaM//yacG//ldtA//eutN//rpsR//ligA//erpA//yfgI//trxC//upp//yhjG//yhfK//ymjB//fpr//ydcO//ruvB//amiA//pstS//yiiD//rsmI//yddA//cedA//xanP//birA//hscA//rfaQ//yjjB//flgF//dacB//ygjK//hlyE//ompW//waaY//talB//leuD//yhdH//nadC//mutT//plsX//secB//lysC//aroK//dmsB//ldtB//katE//ygfZ//ftsW//dinB//xylF//purR//kdgK//murF//rlmE//mntH//gspJ//artP//mlaF//waaA//zntA//artI//cpxR//kbaY//cvpA//purC//rbsR//secD//yjeI//rpoH//folP//glrR//flhC//agaS//argO//sixA//mdtA//pdxY//symE//ssuE//argP//uxuB//nrdF//waaL//ftsB//insI4//tehB//narZ//sbcD//rof//menF//pta//yfdC//panD//coaA//yrfG//hcaD//glcA//rplC//lsrG//dgcE//artJ//cfa//nemR//fryC//rlmG//argH//rpsT//trmD//osmC//pliG//lptB//yejA//torR//dkgA//rplJ//hdeB//yhjA//cof//rcsC//coaA//ulaF//pinR//sfmF//fau//menA//seqA//nth//rfbX//arcA//gshA//bglB//fepE//aceF//elfG//aas//pykA//murG//cpsB//waaF//lon//yphC//sufA//tap//chbA//aceB//gspJ//pdhR//ispG//tnaB//trmI//yafN//oppF//ygfA//aroE//arsR//manZ//rmuC//tdcE//kdpB//agp//pdeH//menH//glvB//stpA//yfcV//sbmA//tsaC//zupT//yjiY//yafQ//pckA//agaD//fimG//fabB//hofC//rplD//yoaA//moaC//ytfQ//flhD//yghB//yehU//rbsB//flgF//ugpB//wcaB//cycA//intF//symE//topAI//hemF//adk//dgoA//udp//pspC//pfkA//mdtP//yadI//dsdA//acpT//prkB//dkgA//yciF//htpG//maoP//fixC//modA//ybjD//glsB//modA//dsdA//yeiE//rhaB//cysU//bdcR//dinB//cobB//hybC//yajQ//metE//tyrR//rffM//rusA//pheT//ydhK//sdhE//yfaU//fryC//abpA//ftsX//dsbA//sppA//sstT//gpp//allD//galU//symE//pflC//yhjV//ssuD//rlmN//xisR//glsA1//efeO//sucD//panF//napB//coaE//waaU//ydfK//baeS//tdcF//pgpB//nlpE//yidQ//uspF//ccmA//adeQ//argC//nuoE//citC//cyoD//abpB//rbsR//flgB//yciE//oppD//fpr//ybeQ//yedX//dbpA//atpH//phnL//eamB//mnmC//bcp//rfaC//pyrG//nanC//gyrA//kdgT//metH//pgi//tatB//mazG//emrD//rpsL//ccmD//tesB//puuR//oppB//macB//sapD//frdA//potH//hflC//yfdR//asnB//menH//betI//cysK//yqeF//yehY//nlpI//ydiK//ydjE//mrcA//dhaR//betA//yeiG//gadW//nimR//pyrB//qseB//yieL//yfdR//insE-1//mepH//rlmD//pfkB//iscX//hflX//htpG//yedA//kdgR//cspG//menF//radD//caiB//actP//ytfE//nhaB//cpsG//nadC//hpf//mscM//trxC//priC//cysD//modA//ygiB//pgsA//ftsA//rluC//feaB//yeaK//cmoB//fliS//pdhR//fliD//ydiF//hemC//syd//ulaF//uxaC//atpD//hycI//cynT//higB//mltC//
GO_0006808_4	selU//yidH//fimZ//
GO_0006810_4	yfcG//rspB//truC//torZ//melA//hlyE//ligB//tgt//atpE//lpxB//wzb//fadA//dcuB//dkgA//pth//srlR//mscS//ypjD//tehB//rpmJ//gapC//guaC//yoeB//glgA//alaS//lptC//rsuA//nanE//holA//secB//azoR//ftsB//rplJ//glnD//zipA//rtcB//acpT//gnsB//fadK//argH//yieH//cadC//ygaH//fimB//narP//yaiW//aaeA//relA//envZ//yihI//fabB//csdA//cytR//rlmE//dsbB//yqeA//gabD//yafQ//deoD//nagB//tdcD//mlaE//speA//proB//guaC//menA//yjjI//ubiG//ybbW//ybgI//hsdM//rpnC//aspS//casA//phnC//glk//acpP//ydjL//chpB//evgS//yfcV//yggN//hscB//malK//recO//rfaG//ubiG//yihX//yoaB//thrA//bcr//dnaC//pdeR//dnaE//galM//hxpB//hyaA//tyrA//ybaQ//gadE//hisH//baeR//pldB//lpp//lsrR//murJ//ttdT//waaU//apaH//xerD//casB//glyS//proA//xerD//metK//trkG//phnI//tdcD//bluR//narP//ygbM//apaH//wzb//yjbG//ralR//hexR//ydjJ//sxy//fadH//bamB//rbsK//ycaO//hflD//zipA//tag//mioC//rnr//truB//exuT//thiG//ybjG//hyfF//insK//phnC//ccmH//rrrD//pitA//waaL//pabA//ybiO//ygcW//cusC//ybiA//asmA//kefC//ihfB//hsdR//waaJ//yfaE//yfeW//talB//appY//ynfL//rsfS//mepA//dut//ibaG//dacA//cspG//qseB//rlpA//arsC//yjjV//secE//udp//yeeO//putP//rplD//ssuC//tsaE//insI1//hemN//murR//glcF//hisF//gspF//rbfA//ybjN//fliD//feaB//flgA//aaeB//ligA//sfsB//ygfI//yddM//add//garK//mhpA//ghxP//cyoA//trpC//mreB//narJ//zitB//ihfA//yceO//yihP//osmF//sdiA//glxK//dicC//hybA//lrp//pykA//ais//iraM//lacI//pykF//ftsP//narY//narH//rlmI//fis//sbmA//yciH//mak//fmt//gnsB//tilS//ppc//spy//ybiX//yobA//ypdI//ilvI//putP//wecA//aroB//hyfC//mlc//trmD//ycfL//tufA//ralR//nrdI//yfbV//ynfE//kdpC//oppD//cyoE//potF//ydjL//secG//eptA//dmsC//tdcE//raiA//yrdA//treF//folX//umpG//folX//djlC//pcnB//lldP//fdrA//rplP//pgsA//cobC//ydiB//rpmB//rfbC//cysD//yafN//aceA//ssuA//fabR//ampH//xylE//barA//uvrY//entB//cyaY//rbsK//oppA//ybdN//mdtA//fryA//cadA//uspC//yehP//hupA//ugpB//yhjR//alsK//hemG//ribB//gnsB//ycjP//lspA//fdnI//hofO//mdoD//ssb//nrfD//basR//glnA//hsdR//glpB//hrpA//yihT//hybA//hcaC//tldD//rbsR//potC//radD//dapD//chbC//tyrR//oppA//ccmF//srlE//yfbU//yhaJ//rimP//leuE//aroL//sanA//ydeO//bcsQ//nfsB//ytfR//bglB//ybcF//bsmA//yhhY//gspF//qorA//hflX//mhpC//cedA//hcaR//paaH//phnK//djlC//yfeD//fixC//pinE//glnA//znuC//hcp//gyrA//kefG//yeiG//ycdX//yneJ//torA//metN//amyA//uvrA//ldtD//ymgA//groL//tilS//rplN//ilvM//ydfH//cedA//ldtD//rluC//fetB//yaaJ//fkpA//kdpC//coaD//ydiR//ftsK//dhaL//wzzE//elyC//sufB//galE//tdcA//opgG//phnI//ykgO//hisM//yiaJ//dsdX//yghW//pdeK//treC//tauC//mdtI//ybdG//ftnA//malE//cadA//arnB//rhaR//pepT//mdtJ//narI//bsmA//pnp//chbR//torR//ykgA//yccX//thiM//xapA//fucA//rhlB//livK//ftsH//tusE//torD//sbcC//ttdT//era//mnmG//rplF//fumB//alsC//yieE//gspE//rnr//udp//yjbG//flhD//dxr//plaP//phoE//yqjI//murF//pckA//bamD//ilvN//argI//aspC//fucI//cmoM//rpsN//btuF//recG//rpsM//queC//ybbY//yjjQ//dmsA//kgtP//fbp//rsgA//waaA//rusA//mutH//rhmD//queF//garD//yneE//artJ//yhaM//ybdR//rsmG//xylG//rmuC//hmp//creC//fucA//scpB//ugpB//ddlB//yidQ//pntA//aroG//zipA//yejF//clsB//yghW//glcD//ppsR//artI//upp//zitB//ycjY//hypF//glgX//tdcG//modC//dtd//mtfA//abgR//clsA//ygeA//ydcT//nikB//mazG//yfaE//yhfK//aspC//srlE//glk//yqjA//metN//yadN//fliT//sgcX//bamB//phoR//uxaA//apt//fadH//bolA//priA//citC//puuP//rutB//pgm//entS//yqhD//zapB//yfbR//hybB//flhA//yaaY//ygiV//yoaA//cdh//atpA//feoA//lldP//yafS//ydaN//yoeE//tpx//cdd//mcrA//zapC//nrfA//tolC//pth//phoQ//soxS//ybbW//fdnI//ivy//thiI//yjfF//deoR//efp//flhC//leuA//mdtE//pdeR//thrA//srmB//dsbA//ybcJ//rtcB//hisF//lsrG//mraY//ibpA//mdfA//cas2//uvrC//fdhE//dgoK//yfgI//paaJ//priA//rpsJ//ydaV//fhuF//arsC//ycfL//yhdX//holE//insH-5//gudX//gmhB//nrdH//cbl//ihfB//hyaB//yfeR//ydfK//sugE//nadB//hcaD//arsR//ompF//prpB//rimJ//degQ//cbl//
GO_0006811_5	ydiQ//dnaX//yebG//lapB//tcyP//glxK//ygbL//ybaQ//ygfX//phnK//cysI//mmuM//nikR//fliZ//hyaD//ychO//tldD//yeeA//sbcC//yiiE//corA//napD//bdcR//ypdC//ybjX//ghoT//purC//ccmG//ldcC//hsdM//ldtB//tatC//ptsP//chbC//rseB//sugE//purD//purA//allD//alsK//yqjA//lsrD//tar//ftsQ//mdtQ//dedD//cysM//insB-4//yfdS//sfsB//pepQ//ribB//zraS//uidR//rho//dcuD//qseB//nuoB//recA//soxS//potE//comR//ackA//gudD//srlE//rpiA//narK//ivbL//gspI//cyoB//ais//yihU//menD//gapC//yaiW//betT//lptB//kduD//yhcN//ybdR//yagI//insB-2//frdC//yahD//araG//cstA//ymfA//ralR//sufC//glgS//mtr//yiaO//ycgV//panE//feoB//yohD//ldrA//ldcA//hpf//kgtP//araF//ptsP//yfcV//hybO//ybcL//mlc//cueO//yraK//yodD//pepB//nirD//trxC//fliZ//cyaA//yciE//pdxB//rppH//cspD//glnK//hemH//ybaM//ybiH//waaJ//kdpD//dcuS//maeA//purN//yraI//rhaM//uxuB//bcsA//nrfD//focB//holB//ssuC//degS//hofQ//ydiP//flgG//yijE//dmsA//wzb//purF//codB//kch//ascB//pheA//recN//entE//narL//mdlA//pgaB//lpxH//folD//ftsQ//nadD//ydcM//rplF//yiaO//mraZ//kdgR//adeP//paaE//yahI//gph//ddlA//garD//yfbV//ltaE//atoB//cyoB//rhlE//abgT//accA//insI3//gshB//comR//srlB//rffH//yoaB//yraI//mutL//agaC//eno//lspA//yahN//lolB//rpiA//argF//rsfS//ynfK//murP//chbG//ybfA//rfaE//ccmH//araG//iap//cmoA//hisM//yefM//ykgF//pdeH//pheS//dgoK//metQ//ycdY//amtB//phoB//znuB//hyfA//plsX//rppH//intS//hypB//intA//ibsE//acnB//sfmC//menI//ccmC//ugpA//msbA//rnhA//hisM//tktB//shoB//ftsA//frvR//arfB//thrL//rnhB//ygaV//narL//yghU//hypT//hscC//hicA//fimG//yahF//pldB//dnaT//hemB//kbaY//hisI//fepE//cheW//ffh//ppiC//bluF//thiE//topAI//mtn//soxR//rnpA//hemG//rzpD//glgC//bluF//rpsT//ybiO//rsfS//mfd//ynaI//ydcZ//yjhP//rimP//nudF//rcsC//nmpC//yfbS//mdtL//ybhD//cnu//frvB//dinG//xseA//srlR//sufB//waaU//nadB//plsX//hofC//dhaL//mreD//ybhA//rimM//
GO_0006812_6	rseP//cbrA//lpxB//insE-1//yohC//srlB//yiaM//aaeR//sulA//thiP//mraY//uup//brnQ//narI//tdcF//mipA//treR//purR//dbpA//ynbD//gpr//rna//rutD//guaB//cysI//yehB//rplB//ycfS//ybbN//corA//fabI//katG//yciA//poxB//yeiG//yfhH//pepN//upp//dsbB//casD//cytR//dcuA//exoX//garK//hcaR//phnN//yheT//lspA//trpD//yhjA//mog//agaS//adiY//rpnB//arfA//torI//appC//betB//cheB//gspI//iscU//alsC//pdxB//trkA//argE//kdsC//ubiX//dgoK//yciT//btuC//yqhD//pdeR//appA//prlF//gpp//sapB//yjiQ//bioB//alsK//fucK//frvR//hyaC//ytfQ//dam//ldtA//flgH//idnD//perR//iscU//dgcQ//blr//rnlB//ygcW//ydiB//dadA//yhhZ//dppF//rfbC//ulaB//rfaQ//gldA//cobS//umuC//lnt//dinQ//tnaC//opgD//sgcB//btuF//arsB//yafC//tatD//insI4//yhdJ//ldtE//rimP//lrp//mepM//yfbR//fdoI//sdaA//yhfS//thiP//yraI//ybbN//cusA//cptB//glnK//kdpB//narK//yjjU//ptsI//ada//asnA//yoeB//parE//yfiR//yedF//dgcE//gpr//hicA//mdtO//treF//rplM//yqhC//zntA//pgi//pgsA//yicJ//yjtD//gntU//katG//rzpD//selA//ybaL//rof//tsaC//yfaU//araH//cusF//cobT//pinR//uspC//fepC//mdtN//ftsA//gspJ//hyaA//bolA//yccA//opgC//
GO_0006813_8	potA//lsrC//hdeD//infB//pgk//dacD//pspA//rpoS//ypdB//ydjJ//frc//pdxB//yibA//flgH//rimM//borD//topA//
GO_0006814_8	yifB//priA//kduI//tktA//gcvR//fucI//dgcJ//ulaR//abpB//
GO_0006816_9	hcaE//
GO_0006817_8	raiA//cspB//ybdN//lhr//atpA//ybhG//yidZ//casD//hofO//
GO_0006820_6	mqsA//nth//prlC//hofC//ypdI//sugE//iscR//surA//perR//ytfT//yhbQ//blc//xapB//csdA//priA//zntA//holD//decR//csdA//narY//gcd//flgG//fucI//greB//ghoS//mltA//gspJ//lpp//yiaU//patA//btuE//nlpI//pgpC//rplQ//moeB//glnP//deoC//ygbN//fucP//paaJ//yehY//nhaB//dkgB//ispH//katE//yhhY//metK//holE//kefF//lgoT//yadI//dgcT//lysR//dbpA//dpiB//mnmC//yebQ//tyrS//dsbA//rlmD//nupX//chbA//yifB//eptC//fimZ//mdtQ//nagB//ddpA//tynA//glnB//recT//carA//patD//fau//fliA//ptsP//envR//yidP//yhjV//thiM//yjhP//gsiC//fryA//cysQ//yadC//etp//dadA//hybD//yagU//clpB//bssR//pspD//fcl//prlF//yagU//frsA//pgpC//mltC//xylF//acrD//recQ//sgcB//glvC//napF//kdsB//purT//uxaC//sxy//tauC//ybiI//cho//cydD//bioH//yaaA//ybcQ//cbeA//ydcS//deoC//etp//modA//ispH//msrC//ackA//ada//tomB//recE//gpt//ypjD//oxc//torS//rimM//mrdB//dmsC//envC//yhjC//mdlB//gadE//hldE//xylE//ampH//ygfI//mraZ//sfsA//fdoG//etp//fadD//trmB//glcD//fabZ//cysD//psuT//glgP//ydcT//ugpC//yghG//pabA//metE//fdoI//ypjD//rnlB//rtcR//ynhF//gatB//yjfF//bioP//rpmE//yfaV//dut//bdcR//araH//cusC//menD//dtpC//cbtA//glmM//ibsD//hinT//
GO_0006821_8	phr//waaZ//bacA//
GO_0006824_8	yhcN//cdd//dgoK//nuoB//
GO_0006825_9	yadN//yghW//rnpA//rpsP//rhtA//waaG//uspB//
GO_0006826_9	metN//bacA//edd//agaC//recO//rpsS//sdhB//betT//pbpC//rhsD//ychF//cadA//yiaT//lpxD//mscK//dacA//rutG//
GO_0006828_9	ibpB//fixC//acpT//
GO_0006829_9	malY//ansA//trg//kup//ogt//nadB//dtd//cusF//ybfA//
GO_0006833_6	fadJ//
GO_0006835_8	narZ//yagE//glpB//dinJ//tdcD//nanC//tsx//dppD//eutN//gltB//djlC//bepA//ycgR//hscC//
GO_0006836_5	cysC//rpmG//manX//bglB//uacT//trkG//malP//ynbD//ade//lrhA//
GO_0006846_7	rihA//mraZ//
GO_0006847_8	yeiL//
GO_0006855_6	glpD//pgsA//ftsE//rutF//flgI//atpC//hcp//xerD//nikR//yajR//dauA//yagF//ycaN//xylB//yhbS//dgcE//agaA//xylE//iscA//rsmG//hslR//cheB//pheS//minD//pppA//xdhB//yehZ//ilvL//caiF//yhbX//fes//phnG//glgC//yfgO//hofM//flgK//gadC//nanT//clsA//sdaB//ibaG//ldcC//osmF//map//gadB//argA//hdfR//xylF//cueO//dsbA//nanA//entH//pmbA//leuC//cheZ//selB//ydjL//folM//
GO_0006857_7	yhbO//thrS//uhpB//uvrA//ccmA//yegS//hybB//yaiP//fadJ//yhdX//mrcA//upp//ftsL//fliS//rpsR//pheM//kduD//tdcR//abgR//rlmD//rhaT//fadA//nrdI//uspF//dmlA//sgcB//ndh//
GO_0006862_7	casD//
GO_0006863_7	yhaC//hyfA//cynT//ispB//ydeI//acrZ//rpsD//pykF//
GO_0006865_6	ygcW//lysA//sgcE//asnS//holA//yaiW//tolR//allR//elfG//wzc//gshA//araB//tusD//yqiJ//purC//ygcO//sbmC//envZ//dgoR//tatC//ytfR//alaC//creB//aspS//atoB//kefG//yhjD//marR//afuC//yjhH//minD//carB//kdsA//mdtD//yihI//rpsD//secB//sdiA//aroA//rpsT//qseB//yfcU//menH//ycjQ//btuR//minE//elfD//queE//umpG//glnB//yfeD//fixB//ydcS//hybG//greA//katE//paaB//zwf//infB//symE//rpoS//rpmB//lptG//envY//ilvB//spoT//ydfG//ybbW//tusA//waaG//glcC//ycfH//eptA//
GO_0006868_7	entB//miaB//lacZ//
GO_0006869_6	ltaE//mutL//arfB//ydcI//wrbA//yebG//sxy//srmB//ggt//ftnB//rffM//trmA//ybhG//rutB//tpiA//exuT//aspC//opgB//yghG//fhuB//hscA//ybdN//gppA//
GO_0006873_5	ynfE//rcnR//glpX//cyaA//sodA//yhiM//gltS//hemF//chbG//accD//hsrA//uvrD//ackA//lpxM//menE//thiC//ubiE//fsr//glgS//fimG//prmA//ycjR//dicC//tusE//yjbE//serS//sfmH//rlmL//ompW//ydcO//
GO_0006874_8	yehP//
GO_0006875_7	eamA//gutQ//fumC//pstA//iscX//msbA//ccmF//grpE//bioF//asnS//dacA//rcsC//ssuA//treB//fhlA//cdgI//yihR//gabP//rsgA//yihT//cysA//
GO_0006876_8	thiH//
GO_0006878_9	gltB//mdoD//puuC//srlR//idi//
GO_0006879_9	cmoA//ybaQ//acpT//nrfC//ampE//nudB//yqaA//bioD//yhcD//argE//yiaB//
GO_0006880_4	secY//yegV//rpoS//
GO_0006882_8	mraZ//
GO_0006883_8	lysO//menA//gcvR//
GO_0006884_4	ppiD//ygaH//metN//acrE//yidH//
GO_0006885_9	thiC//ybiO//yedP//bamA//oxc//fryA//poxB//glgA//yjfF//setA//murF//
GO_0006886_5	alr//solA//ttdT//hslJ//thiI//yadC//tktB//xseB//hlyE//ydiP//thiM//
GO_0006928_3	mdoG//hokE//entD//erpA//xapR//infB//rmuC//puuA//upp//metE//macA//yehD//yhdZ//nrfC//cynT//panD//gfcE//rlmE//hxpA//fimC//chbC//yfjR//zapA//murB//hycB//yjhH//hicB//hprR//msrA//rplC//rplN//trmO//yhcH//cysS//yfeO//yfbS//mcrA//gpmA//rcnR//gpp//mqsR//deoA//nagE//argC//
GO_0006935_4	yiiM//dtpC//bdcA//cmoM//narQ//aaeR//umuC//gmhB//lsrC//putA//yfdS//ybiV//atoS//lsrA//mntR//ushA//
