#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	msrC//potD//hyaD//truB//
GO_0009059_5	dgoK//cyoA//ilvN//clpS//glnS//rplE//yfcQ//betT//leuD//hisP//ygfZ//ypdA//clsC//mtlA//yfgO//glcF//htpG//glcE//lldR//betA//nrdI//slmA//mraY//cysS//ftsB//xylF//crcB//tmcA//secE//yjiR//rhlE//nlpI//fhlA//lptG//obgE//exbD//nadE//btuE//wzyE//gdhA//nrdB//ymjB//yfiC//frdB//rplD//nuoI//rzpR//tktA//ebgR//msrB//proP//yidE//clcA//fdnI//yahI//ibaG//intF//rnhA//yaaU//yadK//yqjI//greA//ttdB//mrr//rplB//wcaJ//ydhJ//flgI//artM//nrdI//mfd//phr//nirB//pspF//hcp//ybdG//plsB//sbcC//napF//gspI//sdhE//lplA//yceK//araH//uvrA//dgoA//luxS//yobF//yfcP//rpsA//rplB//thiP//nhaR//ygaH//hypC//rffG//metL//ulaA//yehW//ynhG//cspE//sanA//yedA//ubiE//rutD//arfA//citX//ibsC//glnL//guaD//dgt//ccmE//pdeR//preA//rpsS//ftsZ//dppF//manA//ldrB//ftsA//yehT//astC//ppc//yehC//dbpA//bioP//adk//yehT//ydfH//emrB//abgA//priC//cusC//sad//bssR//ftsY//ptsN//ribC//ydbD//abgT//sgcX//dtpD//mdtF//zapB//dacA//mdfA//cusC//secY//ldrB//ugpB//gpr//yeaE//frvR//blc//ybgQ//alsB//pta//aceA//yadN//fliM//uspE//thiH//pdxH//waaH//pgm//ruvC//rlmG//mepA//appB//yafE//hldE//arcA//atpC//rihB//mscK//yidD//sgbH//msrB//lolC//csgA//ssuB//yfbV//lptC//ligB//artQ//malZ//ybiO//argD//abgA//rplF//yhaV//gatB//mdlB//cbeA//opgG//ppiD//dinJ//lhr//ygfI//glpB//barA//selD//slyA//yeeY//rimL//gspF//evgA//sfsA//yfbR//xseB//cof//rna//ariR//yafO//ybcF//tyrR//polB//ascG//ymgA//alsK//ompG//gntK//purC//hycB//ubiX//cdh//flhE//trmL//ftsI//yiiM//fadR//ybcC//opgE//ftsZ//bcp//gltD//frwC//araD//ilvL//narX//holE//fiu//yjiX//exbB//dsbG//cmoB//cbpM//fdoH//uof//murC//melB//rssA//glsB//marA//ybaE//ybhD//ubiC//lptD//ftsB//glpB//qseC//cydC//lepB//topA//exbB//ydiV//trmO//lpxM//dmlA//tyrS//ycfS//rcsA//yccS//pspC//fabG//cutA//rutF//ybfA//lhr//tusB//yebS//yjjV//tdcA//rsmF//pyrE//rcdA//tcyN//acpP//bioF//pyrB//ybhG//rsuA//ybeY//osmE//glsA1//plaP//malK//uvrA//kdsD//ydiO//fimB//cysS//sfsB//clpS//kefG//galK//torC//citE//fbaA//yfiR//hdeA//lipA//trpL//recF//elyC//lptD//topB//
GO_0009060_6	ldtD//dhaK//yphB//deoB//hcaE//avtA//bdcR//cdd//agaI//nupX//sixA//ubiA//glcB//yghG//hyaA//holE//gldA//gnsB//eutB//arcB//ubiF//ccmD//fumA//ilvE//leuB//bamC//
GO_0009061_6	ycgR//yjcE//yddA//rlmJ//agp//xseB//manA//alsC//cmoA//accC//ulaD//ompL//araH//argO//elbB//yfcA//insI-1//scpC//sfmF//wcaJ//rpoH//nagA//pgaD//tdk//rpiR//wza//glcF//tcyP//arnD//leuS//sstT//bcr//yfeX//glcB//dnaK//puuR//yihW//gadW//lpxH//ftsY//manA//argF//asnA//ydiV//rpsE//rnpA//yfdG//betI//proQ//cptB//ilvC//mukB//basS//sgcB//hdeD//
GO_0009062_6	hupB//hisA//serA//yafC//sufB//prpD//dkgB//treA//mscL//malQ//ldrA//ybjI//hcp//atoC//gltL//rzoD//tomB//nagZ//kduD//yphC//ibsC//
GO_0009063_5	lsrK//torA//xylR//poxB//ydaN//priA//gpp//bsmA//mcbA//panE//kdgR//metR//mlaB//mepH//yjaZ//ispH//ptrA//lysR//bssS//cysS//amiD//folD//elbB//feoB//fumC//intF//puuC//citE//clpS//flhC//cpdA//tsaB//dinQ//lysC//betI//emrB//kdpE//yphB//rpsP//fryC//fhuB//yihQ//yhgH//hisG//menI//ygbN//nagZ//uspC//rfaQ//ybdO//lptC//ygbM//yqaA//yiaU//yraI//
GO_0009064_6	gpp//moaA//plsX//fadI//mglA//tauC//proQ//sthA//kdgR//ytfT//lsrA//ychH//yejE//ycjW//ivbL//ybiW//insA-1//ybiY//rutA//sseA//fimC//yqaA//rpsI//yfgI//ribE//cdaR//sufE//bluF//yciG//idnD//fliG//dppB//rlmN//frwC//secD//gltL//prfB//rfaC//sodB//yjcS//focB//rsmD//rarD//motA//kup//alkA//
GO_0009065_7	hisQ//aslB//hflK//ypdF//nudG//phr//coaE//ghoT//miaA//paaB//efp//map//holE//hscC//mscM//yeiE//cadB//ftsI//
GO_0009066_6	arsB//thiC//yahF//rhaS//ubiG//clpX//cydB//yjhG//qseC//pykF//ybaO//intZ//ibaG//osmE//pflC//ychF//mhpC//acnA//mdtJ//nlpA//arcA//kduD//menE//cueO//yjjX//gudX//mug//livM//yphD//appC//yjjG//flgH//ortT//tatE//fsr//ycdX//dkgB//pgrR//uup//potH//cecR//torR//feaB//umpH//pgm//yeiL//glmS//fucK//
GO_0009067_7	atoB//sdhD//gudP//puuD//yhfS//ycjD//murG//yieH//fliS//hdfR//afuB//fimA//iraP//nlpA//insI-2//gatZ//proW//tolB//folX//fimF//yfcV//cysD//rcsB//prlC//ttdR//adhE//
GO_0009068_7	ybaL//pdeD//tdcC//selD//agaV//arnE//solA//dgoK//trpS//tag//psd//alkA//dgoT//
GO_0009069_6	selB//rsmE//tktA//yhcN//cysM//yjbF//sbcD//tehA//narQ//yjjW//aaeR//fepC//pnuC//dmlR//mdtE//treA//ycjD//rmuC//waaY//mltF//corA//yejF//yefM//sufS//iap//cysU//yjbG//pflC//ansA//tyrB//pdhR//yahD//purB//eno//yrfG//rnlB//
GO_0009070_7	rsmE//gpp//ybaK//cas1//yihS//ahpC//selU//glnK//osmY//ydcR//syd//msrB//mdlA//tsaC//tdk//nikB//malG//casC//gstB//dadA//
GO_0009071_7	argP//ada//clpA//pgaC//rfbD//leuO//nimT//ydiR//dhaM//pgl//pitA//tig//rplP//nirC//
GO_0009072_5	rpsQ//ascG//murB//zapD//nirD//lacI//ynfF//srkA//agaR//uxuR//rlmC//yegD//murI//pdxA//bacA//hybO//rplD//yqjH//dhaR//fimZ//putP//pheP//ybiX//napF//
GO_0009073_6	cyoD//rfaD//pstB//carA//borD//nikB//envZ//ybaO//fetB//potC//mntS//ugd//fadA//prs//uhpB//sdhC//rimK//mdoG//ddpA//mrr//baeS//
GO_0009074_6	rsgA//dgcN//chaC//
GO_0009078_6	phoE//uvrD//yjeI//kdsB//sanA//btuC//yehA//
GO_0009079_7	fadH//gcvA//mtnN//sapC//
GO_0009080_7	ubiH//ygbL//gpsA//
GO_0009081_5	yihU//casA//frdD//mraZ//ydfG//yggW//fimE//metK//recC//feoB//narK//narQ//ydeM//flgG//tmk//rpmJ//ibsE//cspG//frvR//ygeR//atpH//kdpE//
GO_0009082_6	gpsA//lon//kdpE//rcnR//znuC//allC//htpX//ogt//lldP//eutR//ddpA//queE//yjaA//glcD//ybeY//yneL//atpB//rhaT//
GO_0009084_7	rlmC//nrdB//malE//sdhD//yhgF//mocA//recR//bluR//rpsG//sgbH//rfe//yhdX//cbl//fklB//rsmC//thyA//yfeW//pflC//chpB//hemA//rcsD//add//hyaC//rpmJ//yehW//
GO_0009085_8	dcp//ibaG//mcbR//aroP//tktB//ruvA//paaG//hycB//yedX//glyS//rpiR//aspC//
GO_0009086_7	yjjG//nikE//etk//ycaO//dcuS//rssA//hcaB//rbsK//cusS//
GO_0009088_8	yraH//polB//
GO_0009089_6	secY//ykgO//bcr//nanC//yehT//araC//ygjR//adeQ//rhmR//
GO_0009090_8	hsdR//rapA//yejA//ispB//
GO_0009092_7	fliG//rluE//tomB//mazF//ssb//yjiY//
GO_0009093_7	ettA//pdeF//hinT//hxpB//ymgC//
GO_0009094_6	trpS//dtpB//yafO//ibsC//
GO_0009095_7	fadA//pppA//moaE//arcB//
GO_0009097_7	kefC//sgcA//cbl//rsmB//ynbD//idnK//ulaC//
GO_0009098_7	mobA//ivbL//ybhF//cheA//zraR//cobB//yjeI//
GO_0009099_7	ypjD//narG//ldrA//yhjA//mrp//trkA//pabB//treC//arnF//rluE//
GO_0009100_5	lpp//hybB//mgtL//rimP//tgt//
GO_0009101_6	eutD//
GO_0009102_6	mscK//yhhZ//rclR//sseA//zitB//yaaY//folE//thrL//ldtB//purB//mreB//hyfF//envY//
GO_0009103_6	minD//ldrD//nimT//potC//yhcD//ubiH//folD//yihX//dxs//sgbU//tgt//
GO_0009106_5	rffC//cheZ//
GO_0009107_6	shoB//srkA//
GO_0009108_6	rfaE//zapE//hemA//recG//leuB//queC//flgE//deoB//ilvI//dgcJ//rpiB//sodA//pdeK//cpxR//fucO//prpD//znuA//gcd//obgE//dbpA//yggF//lplT//msrQ//rfe//dtpD//csgD//waaF//ydiR//xylF//sucA//rsmE//gadX//rutB//endA//secM//nepI//nrfC//nrdD//agaR//ycbB//hpt//clpB//ybjL//crl//flgE//rplO//ygbI//dbpA//erfK//yebQ//rfaD//yaaY//rhlB//menC//rdgC//fucI//ldrB//mtlA//fliG//pgpC//lsrK//iscS//fliL//cmk//cysA//dhaK//uvrY//rfbX//rarD//narK//ydcM//abgR//nimR//tabA//adeP//hipA//rep//rffG//rseP//bioC//sohB//yjiX//cynT//corA//lsrD//npr//secF//sapB//selU//fucO//kbaZ//glgA//nikC//prlF//rssA//gapA//aspA//pgaC//zapD//glcD//rzoR//lpxB//lpxL//hyaB//rclA//citC//moaB//ydbD//radD//iraM//
GO_0009109_6	narW//nudG//yfdS//infB//uvrY//
GO_0009110_5	mglB//borD//rffH//hsdM//cysN//araG//mreC//yedX//eptA//acpS//paaX//def//ubiE//fliG//frmR//ompL//prpB//rcsA//flhE//rsmD//bfr//apt//hycI//crl//insI-2//rhlE//ompF//apt//rzoD//galS//malX//lgoT//leuD//ompL//aroL//accA//epmA//rusA//gltK//yieH//yhbS//sufD//yobA//puuC//nrfA//nanT//gstA//ybhG//ycbB//rbsD//atpB//ybgI//ftsP//narK//tcyN//yfaE//recX//
GO_0009111_5	prpB//phoQ//zupT//serB//
GO_0009112_5	hemD//hscC//yjjI//iclR//ompT//tsaE//metF//yqeA//hybA//cysP//truA//envZ//rpsN//lpoA//ulaB//yidD//mocA//modC//mazG//mgtL//galS//cheW//tatE//poxB//pyrL//etk//dgcZ//nrfB//intQ//glpX//ydjJ//yiaJ//mtlR//hcaB//hofQ//atpH//
GO_0009113_5	pgsA//xapA//hofO//kbaY//yihP//
GO_0009114_8	aaeB//
GO_0009116_5	recR//rlmE//rlmH//hicA//rpmC//ubiA//yhdX//gmk//ybjI//mreB//trmH//glxK//csgF//tauC//shoB//ascB//yibH//yddL//talB//rpmB//pykF//btuF//ybiT//idnD//lipB//yieK//ybdZ//hexR//flgE//ldrA//rcdA//ygeX//priB//secD//ggt//rfaD//purD//yfeW//hycA//csgD//
GO_0009117_6	psuT//rzoR//dcuC//cueO//metH//oppD//glyS//yjiY//yeaK//tdcA//yeiE//folC//pstS//yafE//bdcA//flhD//glcE//yqeA//yhaC//gmd//vsr//orn//gudP//atpF//hyaB//iscU//amiC//bacA//ftsL//rhoL//mepA//ppc//mltD//fucA//rpoS//rcsD//kdgK//hflK//ascG//yehA//fecB//pflC//ompR//yieE//dctA//yjbE//waaO//ulaA//dgoD//ccmH//gcvT//katE//yeaD//hybO//rpnA//gltP//uspB//speF//hemH//mtr//rpsD//yidR//yfeD//yrdA//rplC//yfeO//apaH//ugpE//pphB//zwf//crcB//putA//wecB//argF//rpsD//yidE//katG//tdh//marR//torD//aldA//tus//cheA//mscL//queC//dgcE//elbB//pbpG//frwB//yhdZ//abgT//betA//pdeR//intZ//mhpB//leuB//scpB//sanA//csgD//allD//erpA//menE//ybhR//atpC//
GO_0009119_6	glcF//ymgF//phnG//thiQ//mcbA//rseB//yfcA//intQ//syd//fryB//serB//vsr//tauA//ligB//cbpM//cydD//cspB//accA//sdaC//ugpE//ilvM//pal//yfeD//yhjD//lysR//casA//sbcC//ccmH//yqiI//betT//malF//yadG//rfe//hypC//intZ//
GO_0009120_6	mscS//thiQ//yddM//nirC//
GO_0009123_6	ssuD//rfbD//fabB//coaA//rpmB//fepE//pyrF//setA//idnT//ydcM//hokB//ycfL//atpC//yieH//dsdC//araE//grpE//umpH//potC//purB//ddlA//uspC//yciH//osmY//hexR//chbC//fdoI//mukB//ynjA//sufA//yedA//srlD//yagE//purF//glxK//cysU//ldtC//setB//bglB//yadK//thrS//rclA//dgkA//secB//dmsC//ruvC//
GO_0009124_7	yieH//citE//bdcR//yafN//rlmH//sufS//pheS//mdtF//cbrC//lptA//shoB//casD//mlaF//tdcA//cobC//agaI//clsB//gspJ//rpmC//oppC//tmcA//nrdF//kch//htpX//pstB//yhhZ//entH//clsB//dgcF//dapA//yehP//manZ//marR//uxuR//cutA//rbsR//rhaB//
GO_0009125_7	idi//arfA//rsmH//lpxP//ycgR//
GO_0009126_7	rapA//nuoL//ykgO//rpnB//rplO//marR//gadB//asnB//yjeH//ffh//moaD//mscK//ansB//yihW//alaS//ygeA//hipA//aidB//yajO//curA//cpsG//tsaC//coaA//nudF//syd//lit//mhpC//mgrB//purB//lptD//ldtB//bioF//yjhI//ptsN//
GO_0009127_8	ldrA//artI//dacA//crcB//ybcJ//lpcA//kdsC//ynhG//rsgA//yfcG//ligB//tilS//gadW//waaQ//potD//rep//cycA//minE//xylA//skp//gmd//tesB//lpxB//pyrG//osmY//gspJ//ygiS//lpoB//dps//bsmA//
GO_0009129_7	amiA//yhdW//yagJ//fixC//cvpA//ibsB//insE-1//cpsG//ynaI//bioA//
GO_0009130_8	dnaB//thiD//ruvB//csiD//ldrD//
GO_0009131_8	ygeR//mdoG//yjiM//yieE//ldtE//
GO_0009132_6	rluE//mdtI//trpD//ydiK//ybjI//queF//ptsH//polA//ycbU//ybdG//gadA//acpH//abpA//yohD//ugpA//torR//rluE//lrp//dut//murD//nrfF//rfaF//paaX//mtgA//rluB//
GO_0009133_7	pal//setA//actP//
GO_0009135_7	rplQ//cycA//pgpB//evgS//hiuH//gph//rcnB//guaA//aaeB//rpnA//rpoA//dnaK//ycjY//pepT//mdtN//trmO//hemE//eptC//yjeI//yfgJ//yeaE//abgB//ybiA//
GO_0009136_8	aroG//
GO_0009138_7	yfdK//dinG//
GO_0009139_8	yeeO//kduI//
GO_0009141_6	asd//ypdA//glgX//dkgB//rzoR//garK//nupC//narW//speD//yfeX//yadI//mzrA//mrcB//kdgR//ldtE//idnO//zitB//ygdG//yaaJ//dmlR//mazG//ygeR//metG//citE//yjbB//glnA//lptG//cspC//tdcR//tabA//rpnA//xylR//mlaE//rzpR//cheB//ybbN//trkH//yhhT//
GO_0009142_7	cynT//ycdX//dnaN//obgE//ycjD//atpD//htpG//rpmH//mdh//waaC//ubiD//macA//potF//ispA//pyrH//pabB//ybdM//treF//ispG//fetA//yhiM//obgE//norV//mlc//ybjN//rcnB//ydcM//hsdM//
GO_0009143_7	cyaA//putP//osmC//rssA//
GO_0009144_7	nadB//gatB//zapE//ydjM//mrr//pdxY//ybaL//selA//yabI//panF//yihT//rihB//fucP//lysO//yjgX//rplI//gcvA//torC//rna//mrr//rbsK//relE//moaD//mnaT//rep//mlaB//umpH//maoP//matP//thrA//citC//
GO_0009145_8	pspC//mscL//murQ//patA//ydfG//agaS//rtcR//rlmI//gadW//ccmA//nirD//mcbR//accD//murA//arnA//sucC//fryA//ldtE//yahD//yeiL//murE//greB//ycjW//
GO_0009146_8	yhfS//crr//
GO_0009147_7	creC//pspD//rep//yibF//
GO_0009148_8	flgJ//lptC//
GO_0009149_8	hofM//ydiV//
GO_0009150_7	insH-6//fliL//ascG//frdA//dcuD//yegD//metG//ynhG//sulA//fimB//nadB//fdnG//hcaF//tusC//hisH//tdcA//mlaF//ccmC//yeeO//rutA//yjeI//nadE//nirD//ilvA//rseC//narI//flgA//ttdA//livK//elaA//borD//mtr//ghoS//mog//dhaL//mtgA//dacA//yqaE//yehD//yraI//kdsD//chaC//menD//putP//greA//mngB//putA//alkA//
GO_0009151_7	flgG//ampD//
GO_0009152_8	apt//argO//yfcA//guaB//rclR//rcnB//potC//essD//gldA//thiE//uvrC//fdoH//ansB//gnsB//tolQ//aroP//abgB//ompR//dcuA//malS//hexR//aroD//uspF//msrC//baeR//ftsE//yhdJ//yhaJ//flgI//rimM//adeD//rplL//rluF//glsB//yqcG//evgS//infC//
GO_0009155_7	msrP//sbcC//
GO_0009156_8	rnt//tyrR//slt//malG//speB//fiu//nrfC//leuE//murQ//agaV//yfaV//ompG//clpA//torI//patZ//ssuB//yiaB//sstT//yijO//pabC//pliG//rpoH//yafE//srlD//ndh//allR//ftsQ//ddlB//tktB//yfcG//iscA//torI//ydbK//
GO_0009157_8	yciG//bglF//dsdX//yjhI//
GO_0009158_8	rna//narY//yeaD//cspD//glpK//
GO_0009161_7	yedL//nadK//ybhG//cpoB//alaA//lnt//lsrG//ascB//gsiA//proA//xylA//nadB//minE//cmoM//mioC//cysS//nrfE//rluC//cydD//agaC//fucI//ugpE//arnT//queE//mqsR//lptC//pdxY//yahO//ubiH//rhmD//csiR//cbeA//pfkB//matP//hemA//tsgA//umuD//cusR//elfC//chbF//ilvA//nadK//
GO_0009162_7	hchA//btuE//mgrB//hemB//
GO_0009163_6	fabB//mscK//cspD//ratA//rpsM//fepE//pyrG//appB//gloB//grpE//narH//kilR//yfdS//emrD//ycdY//ydeI//norV//eutB//cysB//
GO_0009164_6	moeA//fabR//btuD//ynjA//ybjN//hcaD//yagU//yhhY//cpxR//malY//abgT//yqaB//aqpZ//
GO_0009165_7	yhhT//trxA//cedA//ybhF//pstS//rcnR//mntP//rsmA//hslJ//baeS//ytfE//decR//uvrD//psuG//ycjU//ydcO//ybhJ//frwD//aroB//frsA//ybgP//gpt//waaC//citC//trmI//proA//nupX//phoP//acpH//yegV//insI4//napD//gdhA//fes//fucK//frlB//tamB//acrD//hofQ//cra//rapZ//yeaV//ynhG//arsB//lepA//hflK//mocA//prpR//ybbW//speF//paaB//tyrR//potA//cusC//ygfX//lpoB//dacB//fkpB//yjhB//purT//prs//cpsB//fcl//vsr//pgm//aaeB//ydgA//pppA//yhjB//ynfE//recF//
GO_0009166_7	aroB//yrdA//elaA//upp//secM//yfjV//nimR//yibT//ispU//pspF//ybjN//yehC//znuB//metI//ssuC//ccmG//coaD//emrY//mqsR//fdnH//cbeA//panF//tdk//pabB//serS//alsB//ybcJ//uhpT//mrcA//yihP//fepC//
GO_0009167_8	gltK//nlpI//nikA//flhC//chaC//dcuR//waaQ//lolE//rcsD//npr//nimR//insI-2//recG//yfcS//yidD//pgsA//ushA//parE//yecS//dgoT//rutD//yacG//tdcC//gspI//puuA//yhjR//rpnA//rplC//hscB//pgpA//pdxB//queC//hyfR//lptB//
GO_0009168_9	hha//dgcM//puuP//elbB//tauC//ykfI//pgaB//hemD//ydiR//speF//pabA//dld//trmD//argE//menF//arfB//ygeA//yifB//mscS//yejF//mdtG//dsdA//truA//sgcA//fhlA//umpH//nuoI//yojI//aspC//mutY//
GO_0009173_8	deoC//dgcQ//rffG//pppA//ymdB//ybiA//ribB//
GO_0009174_9	ubiX//rutE//
GO_0009175_9	mipA//fepD//napA//tpx//lsrG//
GO_0009176_8	gcd//rfaQ//yidH//
GO_0009177_9	glgS//cirA//mdtO//
GO_0009179_8	hdeD//rarA//ldtB//gcvP//fimI//panE//yfhH//rhtB//pepA//ybgP//moeB//hycB//gntT//pykA//rcnA//queF//argF//phnH//sbcD//yjjV//glnB//pnuC//entS//
GO_0009180_9	rihB//
GO_0009185_7	maa//ttcA//zitB//purL//dxr//glnE//recJ//mmuM//flhE//fliS//araB//amiC//iscR//mcrB//eutN//deoR//cusF//chpS//secA//rplS//adiA//ssuC//rnlA//recJ//
GO_0009186_7	erfK//
GO_0009187_7	ulaE//nuoF//
GO_0009188_8	tabA//fabB//
GO_0009189_8	uidC//
GO_0009190_8	appB//tdcR//
GO_0009193_8	mscL//
GO_0009194_9	recX//
GO_0009196_8	norV//
GO_0009197_9	shoB//
GO_0009199_7	ftp//osmE//yqeF//nrdB//yihI//blr//glmM//ybdN//nudC//ydcT//rfaC//araA//pnp//gnsB//bioD//speE//ybfE//umuD//fecA//dsbD//mprA//ilvE//nusG//apaH//nrdD//cas2//frwC//mmuP//narG//pfkA//nikC//
GO_0009200_7	barA//zur//yeiE//gltX//
GO_0009201_8	ssuA//lipA//proV//cutC//priC//ygbM//rplN//nrfG//glpR//rhaB//putA//flgH//trkH//fdx//glpA//frmB//pdxB//yccA//pspD//ybhI//folD//lapB//ndk//mazG//
GO_0009202_8	feoC//
GO_0009203_8	yfdG//
GO_0009204_8	yieF//rof//yehD//
GO_0009205_8	uacT//caiT//araB//mobA//sbcC//dhaM//potG//thrA//rfaQ//dcm//gsiA//gatA//xerD//nemR//barA//speB//ybgQ//pncB//ghoT//yfeO//gltL//thiC//yhhY//basS//nadA//bglF//yiiD//dacD//hybO//
GO_0009206_9	menE//yciF//mntH//phoB//rpnC//pheA//rnhB//aaeB//ydhQ//infB//ydiR//ftsK//hslU//ydeP//menF//gstA//secD//hisF//paaJ//deoC//elaD//dnaQ//dld//
GO_0009208_8	yeiE//rpmB//
GO_0009209_9	yqeA//
GO_0009210_9	acrZ//
GO_0009211_8	gyrA//proS//psuG//
GO_0009212_9	viaA//
GO_0009213_9	mlc//tyrB//
GO_0009215_8	aspA//glcD//
GO_0009217_9	torD//pdxA//
GO_0009218_7	ybgP//dppC//yojI//iaaA//gsiA//hyfF//alsA//rpsK//ybjX//pheT//argR//kdpD//
GO_0009219_7	pgpA//aspC//astC//dnaN//mcbR//
GO_0009220_8	rffG//eutB//sdaC//acrZ//arsB//garP//
GO_0009221_8	apt//yiiE//nrdD//yehW//
GO_0009222_7	yqiI//rhaM//yadG//yfbU//rraA//yqiH//
GO_0009223_7	dmsC//glcA//
GO_0009224_9	gpt//hypT//
GO_0009225_5	tktA//recA//xapB//agaI//hybF//cysS//creB//hypE//gabD//entF//prs//ahr//rpsB//cytR//nrfF//
GO_0009226_6	ihfB//rffC//yccA//cutC//cpxP//emrK//yhaC//valS//trmJ//mmuM//yjhG//ftsY//ftsQ//
GO_0009228_7	xanQ//bipA//hpf//mlc//yibT//rsmH//psuG//yahB//fruA//rluD//
GO_0009229_6	exbB//pliG//
GO_0009231_6	rimO//dcuA//moeB//ycbX//setB//mgsA//nhaB//
GO_0009233_6	sdhA//alsE//hybC//emrE//argD//abpB//pdxA//mrp//yhjR//ruvB//
GO_0009234_7	fumB//ansA//bcp//bcsQ//malP//insK//nhaB//arfA//ascB//radD//
GO_0009235_5	fruA//ruvA//hypF//fadR//moeB//ihfB//
GO_0009236_6	waaS//rpsK//rnb//tsaE//paaZ//aspS//
GO_0009237_4	garL//ycgR//nudC//ycjR//yfeW//ynjA//kdpA//diaA//gudP//
GO_0009238_5	thiI//udp//yibA//erfK//garR//nth//srmB//yghW//recD//
GO_0009239_6	fdoG//btuD//aslB//ompT//yciT//arnT//yciE//fepG//
GO_0009240_6	ybiW//cpdA//bioD2//mdaB//rplN//
GO_0009242_6	trpE//trmD//frmR//hdfR//hcaR//ynfL//cobT//ssuE//mobA//cmoA//bsmA//
GO_0009243_7	hybB//
GO_0009244_7	frvA//nanT//pheP//dppB//maoP//rpmE//yfiF//yebG//yiiD//xylF//yehW//gcl//yjcE//ytfQ//thrB//mltB//agaR//narG//bssR//queD//cheZ//hdhA//ycaO//tmk//rfbX//emrD//ygbI//glnQ//paaE//
GO_0009245_6	queF//hisM//yeeL//gpt//yjiA//eutA//glpC//csiR//cra//fhlA//
GO_0009246_6	rraA//fdoI//ybhR//hcp//oppB//yieL//holC//lptC//exuR//
GO_0009247_6	hypF//rseB//yoaA//mltF//yjiY//lsrB//fixC//pgaB//rclB//priA//gsiA//hyfR//
GO_0009249_6	yibA//menH//pcnB//
GO_0009250_7	mntS//pheT//pdxH//cutC//idi//ydhK//bsmA//yrbG//topAI//flgF//malQ//asnA//lpxL//ybhR//
GO_0009251_7	mhpA//ydbK//ttdT//glk//afuB//mreD//
GO_0009252_7	malE//hemN//ssuE//acs//rapZ//rlmD//yfcP//caiT//ccmC//prfC//livH//gcl//fhuF//yedX//fepG//yfeD//zur//sppA//ybdH//queA//alpA//ydaN//ygiB//marR//nagZ//norV//dcuA//yfiC//paaH//yhjA//yjeH//nuoF//hldE//recB//yefM//sbcC//setA//dhaM//yeiG//
GO_0009253_8	ydfH//fieF//galS//ygfZ//yfcF//baeR//rna//pyrL//cbeA//yqeF//
GO_0009254_8	malE//ypdF//yejA//thiH//tufB//glsB//phnM//tag//agaR//ubiB//
GO_0009256_7	prmC//pgm//queA//ybcF//
GO_0009257_8	maoP//adeD//ydjK//bglH//
GO_0009259_6	yfhM//ypdF//wcaC//secM//rlmJ//ytfE//cysQ//rnb//gmhB//folD//mlaE//rayT//dnaB//kdsC//glgP//phnK//fryA//ccmE//torS//prpR//nfsB//ftsQ//rpsB//rzoD//yghW//emrE//tcyN//lhr//yagG//eamB//serS//yccX//truB//hcaT//thiI//ispA//rluA//arnB//ilvD//potB//acrZ//rluC//iclR//xdhB//mreC//yqeG//ispU//yjgX//trpD//sgcR//yebC//rihB//mdtE//fdnG//ygcR//tpx//pepQ//yiaO//frvA//xapR//bssR//
GO_0009260_7	ldrD//pabB//hofM//pgpB//rlmA//mglB//treA//puuA//gatC//ackA//yggF//modA//oxyR//ygcW//pgpC//mdtE//wzyE//ygfA//entS//minD//yebK//btuF//mfd//dnaJ//fumB//yhdZ//xylF//gudD//insI4//rpnD//pgaD//dnaX//mug//yrbG//lpxM//yihQ//surA//abgR//sdhE//lysC//trmA//pheS//ihfA//yfcV//
GO_0009261_6	thiQ//cheW//dinQ//bglB//hxpA//yhjC//
GO_0009262_5	sfmD//nikE//ftsL//sucD//fucA//hisD//rffH//sfmA//yehY//aes//ygfZ//ftsA//cusC//
GO_0009263_6	araG//eutD//rpiR//rfbC//yebC//mgtL//rpsR//tusE//lpcA//
GO_0009264_6	glrK//abpA//cysQ//yfdO//narQ//
GO_0009265_7	secB//dsdA//sthA//ypdC//priA//
GO_0009266_4	rbsK//nanS//ycgB//nrdG//betA//eamB//cirA//nrdI//fetB//torZ//rpsD//feaR//nrdE//leuB//allD//yeaE//nagD//ptsN//rodZ//alsE//crr//nhaB//rcsD//queA//gatB//yhcH//yhcD//cspA//hybO//ccmC//ydbD//fecD//ygeA//nikA//hyaA//cspC//norR//yggF//rclB//fkpA//rutE//ptsN//murI//cyoC//pyrB//fabD//dadA//arnE//phnK//yfgJ//focB//tsf//add//moaE//tatD//rnhB//ulaB//fliL//gudP//fucI//rplO//pyrF//groS//garD//topB//patZ//gabP//fimI//yidR//garR//ydiV//elyC//cydD//glpT//ychH//mscL//acpS//citE//proB//araG//ftsX//araG//
GO_0009267_5	dsdA//moaC//dtpC//moaA//ydjM//rnpA//cbrA//polA//etp//acpH//manA//ttcA//lon//rayT//cdsA//fimZ//argI//pdxH//sufS//cmoM//yehZ//yajQ//yobF//yagE//hisP//miaA//
GO_0009268_4	srlA//yahF//glpA//ydiQ//lrhA//wecE//mltB//rcdA//aspS//nudG//mdtG//secY//dut//agaC//cusS//kefF//yibT//nupX//ascG//yceK//rsuA//alpA//tauB//guaB//mntR//lrp//ribF//
GO_0009271_4	yfcS//fetB//hypD//
