#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	yahI//yfbU//chbA//mug//
GO_0009719_3	lptD//yaiW//fbaA//
GO_0009730_5	argP//
GO_0009743_5	pabC//
GO_0009785_5	ompG//
GO_0009850_4	yhgF//yahO//gyrA//yahI//yhdX//ybdM//rfaE//ybaO//ycjP//bioD//htpX//cysA//waaH//
GO_0009852_5	rhaD//rsmH//yagG//caiD//ydcO//yddA//rplB//yjaA//fecD//aceK//wzzE//wzc//mltF//
GO_0009889_5	pyrC//apt//rnr//bdcA//phr//modC//nuoN//acpH//ydiR//gcd//iscX//ytfE//purR//rho//xthA//metQ//rutD//sbmA//scpB//hflX//acnB//lhr//rplR//hrpA//sucA//abpA//insI3//ybiW//yafO//trpA//ubiX//amiA//rraB//eutK//glmS//aceB//tdh//yidA//ccmE//yjbG//sspB//nusA//glnP//puuA//plsX//bioC//gstB//yjaA//tufB//ileS//mioC//adeD//tolC//ygbI//hipA//oppD//holA//dcuA//dacB//hokB//hsdR//ybfE//nupG//yqhC//hisB//cusR//adeP//nudF//dsbB//paaG//napC//yfgO//mdtF//rnc//rplB//flgM//rclA//csdA//curA//pinR//lpoA//fliL//fepG//holE//focB//fruK//rhaB//proS//nikA//ivbL//cydD//torD//ppsR//mlc//efeO//gcvT//murR//ybiW//purT//kdgK//dtpC//rplQ//waaS//yohD//yjgX//mdoD//yibH//cbtA//mdtG//surA//alaC//nudG//ushA//coaE//nth//lptE//tag//acnA//mdtO//slmA//yraR//nadA//glsA2//ygbI//hemB//ybiS//icd//opgC//zapA//rfbX//csrD//argS//hemN//kbaY//yoeE//hslO//sdaA//exbB//ulaR//malF//ygeA//ybaQ//nrfD//glrK//zapC//potC//ypdF//agaI//glpA//ycdY//cspC//yhgH//frdD//ybiX//appY//ogt//fruA//alsA//yhcN//orn//glsA1//rffG//yrfG//casE//thiC//frvA//era//yedX//rutG//aroA//ybiO//ygfA//sgcA//sthA//sufD//yohC//rplQ//dinI//sbp//proS//yacG//kilR//malK//ygcR//fdoG//emrD//mglA//yfdC//ybeY//glyA//lptD//evgA//glrK//phnO//fabA//viaA//ydiQ//lgoR//nhaR//ghxP//ssuC//tnaB//rsmD//rspB//rplC//xapA//paaE//ampD//moaD//mdtE//hyaA//rpsS//dxs//intE//yegD//ymjB//flhE//truA//menE//ygeW//lapB//ycfL//ydhK//tdcD//sgcE//ybgP//rpmF//treR//yihL//yajL//puuD//rrrQ//yjcO//gatY//yahN//cbtA//cusA//fetA//insH-6//cysI//rzpD//hyaB//yidH//katE//ytfR//cysS//groL//cobC//rpsP//tpx//paaJ//moaA//cysU//coaD//galR//rhaA//rpmE//paaB//matP//sbp//glsA1//ybcF//rep//mnaT//yejF//udp//nusA//tolR//sgcE//fucO//sgbU//ydfH//yidQ//ybaQ//prc//hemG//ulaC//paaD//ilvA//melR//gutM//kdpF//pabC//soxR//sapF//ybiY//iclR//deaD//ispU//sucB//cynS//lldD//ycjQ//malX//ligA//insI-2//acrB//uhpC//lysA//trpR//allC//mscL//ynaI//gltX//gadW//mdtI//thrL//luxS//atpC//secM//pbpG//elbB//rplC//rlmI//idnO//nanA//
GO_0009890_6	der//ssuB//yehU//dusB//hfq//queC//gatC//lpxT//abgT//yefM//yefM//aspS//ada//pflC//guaC//insI1//cusB//btuE//ilvA//pykF//yqcC//setB//rpmJ//ribE//ccmF//gloB//rpnD//csgF//fepD//rrrQ//rhaS//ihfB//chbG//srlA//ansA//casA//gluQ//ybiA//nanA//mglA//pck//allR//pspC//dnaN//hchA//cpxR//gntP//hupB//mdh//cobS//fadD//fliA//msrP//dtpB//yjjW//yojI//secA//yfdK//potH//yafQ//atpH//atpB//bolA//frvA//mrcB//metF//hsrA//rlmN//livJ//lpp//dicC//ubiE//gntR//glpB//zraS//mocA//dusC//cas1//ltaE//cvrA//fhuF//pgaD//gutQ//waaA//elfA//pdhR//mntP//nanE//tehB//setA//modC//ycdX//eno//coaE//roxA//tauB//tabA//lsrC//frdD//higB//menC//rlmC//relE//xylA//cvrA//emrK//phnI//ycgR//mdtF//fimZ//rraA//envR//yafO//yjiM//glnD//yfbR//kefC//codA//waaB//rpiA//ugpB//
GO_0009891_6	aaeB//dhaM//yhdW//amiD//potH//yidZ//tatD//nimT//nrdG//ruvA//casC//ygbI//yfbV//gudX//yghO//mscS//argP//nrfD//frvR//insB-2//cyaA//secD//ugpE//xapR//cysI//bluR//glpD//cutC//yghW//aspC//rssB//nadA//gltL//tktA//iscS//mrdB//tktA//tcyJ//slt//rzpD//ygjK//yraH//hsrA//yciE//ralR//sufA//panE//proX//dsbB//rssA//chaC//ycbX//cusS//tsaE//mdtP//hchA//melR//yjhG//ybbN//ybaM//uxuB//hsdM//dnaK//preT//nudC//purF//yejB//dnaK//yihP//lsrR//serC//chbF//iraD//lamB//creC//prmA//ppc//yneL//rffG//kefC//rpmC//ldrA//yahF//
GO_0009892_5	rne//alsC//glnA//opgH//glnP//ffh//dcuC//yfcU//yneJ//paaH//ftsP//rhtB//tcyL//yfaX//acrZ//ilvD//fepC//hrsA//radD//adeQ//phoQ//yeaE//ilvL//aroE//aas//acnA//kdgR//pgl//aroA//rnr//hemL//dgcT//pgrR//ldtD//sfsB//yddA//mdtN//yghO//mlaD//ftsE//yjhH//osmF//ibaG//glgC//fes//betB//ytfR//opgB//mazG//adiA//hipB//nemA//bcp//paaJ//glsA2//ycjW//trmJ//yacG//insK//ydiQ//rplF//fdhD//accB//gfcE//pabA//tauA//fur//coaD//chbA//kdsA//yfcV//sspA//speG//zapA//ahr//rluD//djlC//fadE//insI-2//glnK//ssuA//pbpC//ydhK//yefM//perR//holB//atpD//hycI//nikA//rpsB//bhsA//trmO//kbaY//patZ//tdcF//dnaQ//truA//panC//gyrB//yfdK//dicB//holA//uspF//hsdR//kdpA//arnB//cas1//ybaE//frmB//pdxA//garP//yiaO//dgoR//mprA//yfgO//ulaF//ddlA//elfG//otsA//yfgI//grxD//rzoD//ravA//fdnH//dicB//torZ//preT//fumA//yghW//fadD//cysG//cysP//murE//phnC//lon//yehC//rcsF//fdnI//rof//pgk//appA//lolA//rmf//tdcR//glnK//pgaB//
GO_0009893_5	ibpB//metL//ygcO//minE//acrF//yfdS//puuC//yjtD//dicB//ydcZ//sucB//fieF//agp//appY//tyrA//hemG//citC//mdtL//yraK//yraR//panD//thiE//rmf//galU//nusG//cadC//metG//sfmD//glrR//leuO//hypD//btuD//asmA//yadK//yihT//cysI//hfq//gltB//yajL//tsaC//dadA//sfmH//cca//yccX//sodB//sodB//hxpA//dgcM//ygaH//fcl//rapA//ttcA//hipB//yidP//yaaA//soxR//nfo//umuC//dapD//recF//cysH//yadV//otsB//mreC//tynA//yebC//glpC//insI-2//rho//cas1//fliD//leuC//fdhD//betB//chaC//leuS//rcsF//dxr//ydcT//pdeH//ybjI//yghU//ubiF//ulaR//cynX//rimI//rimO//napF//ruvC//purC//cbtA//pyrH//panF//mnmC//rnr//agaA//ampE//cysN//glyA//
GO_0009894_5	garK//edd//ompW//add//yfhM//ogrK//yidZ//garD//rbsC//yaaA//yfaX//mrdB//ybcJ//ybhR//
GO_0009895_6	dhaK//glvB//menI//rhaM//
GO_0009896_6	phnO//rlmM//rbbA//
GO_0009966_5	yhjD//
GO_0009968_6	ydeM//
GO_0009970_6	fepB//ldcC//ycjY//
GO_0009972_10	yidE//
GO_0009991_4	lpcA//syd//wecE//guaD//ghoS//gsiD//fepB//ynhG//ygiV//sstT//murB//alaS//rpsM//dmsA//acrF//comR//xylE//rpsN//ygfI//trpD//rpmB//hinT//ydiK//gmhB//ybjG//kdgR//gltS//bioB//mlaB//yehZ//xanP//uvrA//yjjV//tolB//rplT//entF//hcaB//ilvB//ydiO//ssuD//cheZ//yjfF//sfmA//ymfA//focB//dcuS//lacY//mmuP//fdoG//narJ//mdtB//proA//bioP//waaS//nagE//nagK//nadE//ccmG//bglB//trpS//uup//murA//elfC//
GO_0009992_5	pspA//gppA//rna//efeO//
GO_0010033_4	higB//agaI//uhpC//ompN//ispB//yjbB//thrC//dgt//otsA//truD//ycfS//rsmC//trpGD//hycH//pstB//yghW//nadC//ybcC//glnH//yibA//pepQ//apt//yccA//argE//napC//mliC//yaiP//cadB//yjjI//yjbE//lpxD//otsA//ybcQ//pstB//acnB//ompT//yfcU//recX//kdsA//yejE//lepB//eutD//trmA//
GO_0010035_4	xerD//ruvC//nanA//prs//cspI//cpxR//mhpA//treR//acrF//ymfK//mlaF//galU//gyrB//ykfM//rayT//pinE//ybiO//elfC//mdtG//pyrL//envC//ugpE//patA//ypdB//yeaK//ibsC//rihB//dicC//lpoA//cbeA//ftnA//hyaA//relB//rhaB//rbsD//mcrA//flgE//cynX//cysH//phnN//cbrA//rluE//rlmM//selA//rpsH//tktB//pspC//mdoD//msrB//pgrR//fliT//nikR//sfsB//dinD//yihL//metH//frwD//rihB//amiD//atpH//yaiV//emrE//otsA//ypdC//rspB//gabP//gyrB//murA//rarA//hypD//fdoI//add//ydhK//ydfG//phoP//rhlE//
GO_0010038_5	glmS//aphA//yehA//slyA//chaC//entE//yihU//cysQ//ybcQ//acrD//mtgA//mdlA//cheW//tcyL//yafO//nhaB//galP//yehZ//treA//cysB//yjiQ//clsC//ccmG//phr//paaE//rph//yfbU//der//ycaO//hemC//mdtG//cmoA//yjiQ//nagE//yebS//efeO//ftsB//pyrG//cysE//yihL//yihL//waaP//parC//proV//phnK//
GO_0010039_6	fecC//yjtD//yjjU//glnK//gspE//priB//trpGD//
GO_0010041_7	frlR//ygcW//acrA//trkG//gltB//nmpC//
GO_0010042_6	amyA//edd//
GO_0010043_6	lsrA//agaI//yfhM//curA//allS//yagI//
GO_0010045_6	uvrB//gnsB//sapB//
GO_0010106_6	iscA//
GO_0010124_4	insI-2//trmD//yhaC//ihfB//ompN//gloA//yfdC//nanR//hypC//nanR//rfaE//ackA//rpsL//
GO_0010133_7	ygeR//
GO_0010139_7	cysE//
GO_0010165_6	csgB//tktB//acpT//sdhA//melB//yadG//glpX//csdE//pppA//uidC//focA//rplC//mngA//exuT//dgcF//nadD//
GO_0010167_5	lnt//rhmR//
GO_0010212_5	yhgF//mraZ//dinI//phoR//mnmG//nudG//mglC//tpiA//ompW//aroE//brnQ//yeiG//trkH//ynhF//purA//pdxB//rlmA//yraK//uof//mrdA//nudG//hofM//araA//thiD//acs//pstB//eutB//moaB//
GO_0010226_6	caiE//
GO_0010243_5	lolB//diaA//yciA//tatB//tcyJ//rraB//insI4//rffM//xanP//ymdB//entD//mscL//hlyE//rpsR//ypdB//dppF//
GO_0010269_5	znuA//
GO_0010272_6	rcsF//aer//rsmA//eno//trxC//araD//
GO_0010273_4	torA//citG//fepB//rseC//dacA//elfA//
GO_0010288_6	dhaM//
GO_0010312_3	rssB//
GO_0010332_6	rng//
GO_0010350_6	epmB//nuoF//
GO_0010438_6	hypD//tdcE//ydjL//torS//
GO_0010447_5	purT//kefC//tsr//dinI//kbaY//potC//dtpA//gloC//gstA//rsmH//gloB//gudP//lpxM//yeaD//ymfA//yhjG//tsaE//lepB//phnC//gatB//ycdX//
GO_0010466_7	fdnI//xdhB//
GO_0010468_6	hyaD//ydeE//yphB//adk//fliZ//sufB//yneE//napA//holB//rplB//hrsA//sspA//glpG//insH-5//yidZ//fliG//msrQ//fliT//frwC//rfaD//pspC//glmU//yeaE//pdhR//panZ//lldD//iaaA//mhpB//lit//kdsB//trpE//frwD//dsbD//dnaT//fadK//agaC//sdhA//fau//mtlA//ilvA//patZ//narI//zipA//argB//glgC//lsrD//fetA//fkpB//rclC//trpS//yqcC//yajR//bluR//pitA//amiD//torY//abgB//abgT//sgbU//paaC//casA//yfeD//ydgA//alaC//gluQ//pyrC//insB-2//ilvH//osmC//ulaR//cycA//yefM//frwD//fepG//fadK//dnaT//ydiB//yjiR//malG//xseB//nlpD//rcdA//cydA//ssb//nudG//ldtB//efeO//glgX//glnE//rplY//nanA//prpR//nrdH//adiY//queD//paaZ//ilvA//leuE//bioD1//waaH//tauC//relA//ompW//ilvE//fadB//pinQ//gcvR//rodZ//glpC//yhjD//ychF//yhiM//guaB//nuoB//clpS//hdeD//tamA//trmD//ydcI//cspA//recQ//rfaF//npr//ycaO//dmlA//sucC//lsrR//asmA//mazF//yebS//sulA//nrdH//hcaE//ygeW//oppD//nuoH//ompW//phnI//recO//nsrR//dgoT//rodZ//tus//ybcQ//ansA//rutG//agaB//gntP//secD//rraA//tcyJ//dinD//dnaN//pntA//nikE//hdeA//metQ//hybA//ulaA//ytfP//marA//mreD//ansA//rrrQ//amiD//mglB//gntP//tabA//iraM//fepE//ybjL//ampH//frdB//yihS//holB//hokB//yedF//msrC//thiE//cptB//cspE//aldB//allR//frlA//rplF//yhcD//ybjN//ispH//rodZ//dapD//rssB//ymdB//rutR//fbp//thrC//aas//proQ//gabT//yneL//metC//torA//yciF//hdeD//rlmA//ilvE//lolE//hdeB//dcuC//hofM//rssB//rssB//slyD//rluA//arsC//dam//prkB//fliK//idnD//secB//kup//gsiB//moaE//kdsB//ptsG//hprS//rhmR//sdhE//rpmA//trkH//nikC//hcaF//prmA//hemG//ybjG//csgF//selU//yciG//wzyE//rihA//ftsA//fadM//eptB//bioC//fucP//gltP//sbp//yfdS//purR//proC//agaR//srlE//sgrR//fimA//rpsQ//ydhJ//mglA//paaF//yddM//yahF//atoS//creC//hipB//rnlB//potI//cysP//rplB//coaD//yggF//ypdI//yihV//lasT//higA//ibsD//nuoH//ybjC//recD//frdC//yadN//psuT//mglC//copA//yggX//insI1//paaB//chbR//hmp//thiQ//folC//treC//yeeJ//rcsF//znuA//lpxK//hpt//nuoI//phoR//yaaY//ibsC//rpoS//kduI//cnu//mdtP//putP//yfeW//hemG//ibsE//speB//rfaB//pstB//etp//gloC//mnmE//ispH//ttdR//ttdT//rfaE//patZ//nikD//
GO_0010498_6	eutD//
GO_0010501_7	kup//tomB//fepE//rapA//tsgA//pgaC//ybiT//nsrR//rhaM//
GO_0010528_5	ytfR//
GO_0010556_6	ygbM//nfuA//purN//cbrC//mtlR//proX//glnD//kdpB//insF-1//fabA//ccmH//tap//ulaB//ydiP//dpiA//cysA//yggT//yhhZ//fadH//ulaF//yciH//oppA//casE//fdrA//tktB//rluA//nudF//yjaA//lspA//menA//hisI//paaC//ycjQ//yihV//cho//lspA//prmA//ilvD//ldtB//ampD//nadC//yaiV//yciV//ugpE//nuoF//lpxC//dpiA//tdcD//holE//metL//talB//ydcT//menD//yfhH//lysP//yghB//rluC//fadB//fabA//ybaQ//mutS//pdeD//emrE//rplB//cptB//rzoD//rcnR//yidZ//torD//pflB//lsrD//cedA//lrp//opgH//cheA//cmk//emrB//ybdG//yjhC//rsmH//sseA//hslV//fimE//ahpC//ypdB//basS//csrA//gcvP//potD//yoeE//pfkA//trpA//apt//yqiH//menE//mdfA//chbB//dnaN//qseC//glcB//ompR//holA//sgcB//pgaD//trxA//fhuB//xylB//nmpC//mazG//pstC//pyrF//phr//recT//pepD//dgoR//yiaN//emrD//rluF//rzpR//yecS//dxr//ligA//alsK//recO//queA//eptA//cysW//yjhH//mglC//pinE//yadN//ybdN//exbD//ccmC//entD//yhbQ//erfK//yeaK//dauA//ogrK//aaeR//yagF//ymdB//ygcO//stpA//zapA//fbp//yidH//gcvA//flgA//yjjW//malY//deoA//hybO//yidK//mnmC//potF//mipA//cpoB//zapB//ugpE//yfaE//puuB//pheM//hflK//mnmE//yabI//cydD//yahB//seqA//mntS//lyxK//mscM//mrp//fimA//emrY//tsgA//yfbV//sspB//ptsI//umuD//znuA//gspJ//sgcX//leuD//qseB//ascB//atpA//cpsB//eamB//degQ//fucI//fimG//bioH//syd//rnhA//cysH//eutN//rpmH//waaL//pdeK//yeaV//fimG//waaB//prfA//truD//lamB//ydcS//holE//intZ//msrQ//rimI//ascG//dfp//speF//deoA//torD//mltB//groS//queF//ydiZ//thiG//gstA//dtd//ldtD//mtlA//ttcA//rnpA//oppC//rplF//yajD//sbmC//ftnA//pepB//setB//curA//hybC//hypF//nhaB//zur//ymgF//lipA//cysA//hokE//rihB//napC//psuT//argD//yoaB//skp//hisQ//rluE//ompG//clpB//rfaC//mppA//map//lptC//fadM//iscX//yiaT//dgcN//fabG//pepA//idnK//deaD//cueR//cadB//sapA//rpsN//rhsD//bssS//yfiR//rpsK//ribC//nrfC//lepA//adiC//umuD//fimB//aphA//mutM//bglJ//pdxB//galM//acrD//tdcC//yfjR//murJ//lacZ//abgA//xseB//pnuC//nrfB//ybaE//fklB//trpA//yoaA//yihU//yghU//nrfD//ybaL//prc//pgrR//yaiP//fucP//glcC//kefC//evgA//ygcR//ybiI//acpS//
GO_0010557_7	potE//seqA//ydfG//fadH//rihB//minD//treA//ldrA//caiF//phnL//uraA//rdgC//yiiD//feoC//csdE//bglA//thyA//dmsA//rfaG//yfcF//bglB//rfbX//umpH//ydeE//citT//yceD//mhpR//clcA//mtgA//pdxA//ung//dinI//accA//hha//waaG//trpD//ycjQ//dpiA//fucO//dacB//mpaA//dgkA//gmhB//ubiG//waaH//aroF//yacG//fimC//ybcL//uvrA//proS//nudF//sodB//macB//hyfC//lsrA//rutD//sdiA//ypdA//narQ//sdhA//glpR//glnH//fdrA//secM//ynfE//gloB//yihL//lpxC//hisM//ibsA//ybeQ//mdoD//rlmF//iraD//ybdH//sthA//mepS//ugpB//fdnI//yagI//holE//
GO_0010558_7	ydiV//narW//lrhA//intQ//ydiF//mtlD//elfG//bioC//viaA//mgsA//uxaA//waaU//ibsD//fdhE//bglA//arfB//yejE//mioC//gntR//rpsB//yqhC//plsX//ccmA//emrD//rstB//ppiC//yjcS//rpsM//envZ//metQ//mhpT//rhaD//purD//ftsK//btuC//yciT//entD//ydcM//ssuB//insH-6//exbD//yeaE//btuC//araG//recX//serS//allS//hxpB//pbpC//hprR//argH//otsB//frr//yjjX//nrdI//fucK//sdaB//pfkB//ecpR//rhlB//ybiS//tdcR//recJ//yhcN//yehY//pspC//hycB//bioA//ppc//purR//ruvB//tusA//poxB//dkgB//ppsR//mepH//deoD//gadW//nupX//rplL//flgG//cobC//yoaB//fliL//prpB//narH//katE//yiaT//murA//greA//epmA//entF//malG//ydhK//alaA//uxuB//ycdY//hslJ//mutH//glpR//waaS//dinB//hokE//btuR//iscR//ybfE//wecC//rpoD//dicA//yidH//arcC//hcaF//btuB//rlmD//macB//citC//rplQ//dicA//exoX//allS//
GO_0010562_7	mutS//xisE//
GO_0010563_7	rfbC//entA//
GO_0010564_6	hslU//yjbF//udp//scpB//zntR//
GO_0010565_6	ydeM//ybaQ//cdd//arsR//pdeF//priC//
GO_0010604_6	ttdT//gabP//hslO//phoB//atpE//insB-4//nrdR//ynfL//envC//smpB//alsC//ygbL//ilvH//menI//rpsG//yegT//purR//yhjX//nikD//acrA//mioC//rhaR//puuD//uspB//dgoD//kilR//entB//ychF//kbaY//fucI//tsf//rhsD//yiaO//hfq//pykA//hiuH//rihA//mntH//yicJ//rutD//agaI//queG//aceB//dgoK//rayT//rpmA//pheT//ompR//kbp//menI//umpG//nuoN//crfC//ydhQ//yjfF//nfo//malS//sfmC//holD//actP//apaH//puuR//cmoB//yidR//rplP//rutG//nhaB//bluF//rplB//insB-2//flgG//dppA//rpsJ//metB//phoE//cutA//greB//tauC//yibH//astB//csrA//yrdA//puuC//cobU//nlpI//dxs//frdC//rpsT//frdC//ygjK//paaJ//ybiH//aroL//
GO_0010605_6	yjhC//minD//flhD//rihC//rseC//yraR//nimT//hybE//ydcT//menH//yggN//astC//lolD//lptA//tauA//livK//ghoS//dnaJ//talB//iraP//ygcR//oxyR//yccA//ybaL//rhlE//frwC//queD//yceK//mcrA//yjeH//mocA//cspA//prpD//hyfC//atoS//gltP//tcyN//aroP//ptsH//tusB//fryB//ydeT//ccmF//pckA//rnpA//asr//dkgA//fepC//hybD//yqiI//rrrQ//bcr//fklB//yraN//dapA//hybO//secF//mraZ//wecB//yiaO//fdnG//hcaT//priB//birA//gutM//yjbF//lgoT//rnb//dapD//yafC//rusA//menI//rffH//folA//yehT//yhdW//ppiA//bepA//slyA//tnaB//appC//crl//hypT//glrK//rhaB//ycdY//fimZ//rclR//aspC//hprR//yqeA//rutD//carA//dcm//ygcR//rluA//rfaB//frc//iscU//lgoD//ftsN//fdhF//glxK//hpt//wecB//ycbB//leuO//dicC//cho//elfG//opgD//ybiO//tatE//treR//nuoE//lldD//ssb//hybA//frlR//ypdI//cas2//mcrB//uidC//comR//allD//plaP//yhcH//ycbU//pheT//yqhD//ycjR//hxpB//rlmH//dnaG//gutQ//ygcR//yqjA//cutA//nikE//hslO//yhfS//livG//glpB//baeR//
GO_0010608_7	rluA//artP//zraR//ndh//ypjD//yaaJ//yghW//fdoI//yjjX//wcaB//yhdZ//sapF//chbB//rssB//pyrB//gapA//tnaC//thrC//yehP//ybcC//rfaQ//accD//dkgA//hdfR//yhjA//cysI//pdeL//glgC//ydaV//bamE//intZ//djlC//proW//trmL//sodC//ygeX//torC//fieF//gltD//arcA//ycjD//ydfH//glnS//abgT//
GO_0010628_7	minE//pepN//dkgB//ytfT//ydjK//nlpI//yhgH//acrA//alsE//ubiJ//frmB//pabA//ycfH//cbtA//yqeG//mngR//panC//rplM//gloA//gyrB//insI3//yjaZ//sbcB//yajO//sapB//bsmA//cbpM//ppsA//dcuD//nrfD//ypjD//hyfA//uvrA//rsmE//zraS//iraP//yhbQ//cusB//acrB//yadG//pcnB//ydgA//ygiS//hdeB//lpxH//dgcQ//hcaB//betA//yhaJ//phnG//mog//rutF//rep//eutB//cho//xseB//mltG//livK//ygiS//ynfL//rpsI//exuT//nanK//kefB//panC//maa//fliD//entE//yaaU//ydjJ//nudG//ftsY//pbpC//dcuB//srkA//rhtA//rpoD//pdeR//nupG//ccmE//rfbX//fecB//pcnB//
GO_0010629_7	sfsA//amiB//slyD//pykA//ubiB//uhpB//relE//tktA//lolD//dsbB//yagG//ubiJ//roxA//rluC//patZ//ydiB//murG//rbsD//lolC//rpiR//sfmH//atoC//pgpA//ybhJ//acrA//trmH//aroG//ackA//yiaA//rplJ//paaE//pagP//ralR//endA//glnQ//alkA//fucO//trmH//pdeK//mtlD//yjfP//yrfG//pgaC//rffG//rihC//yegD//argC//xylB//lpp//mhpT//pnp//ybcQ//acrB//cstA//mrp//znuC//slyA//cmtA//gspE//potA//ivy//pcnB//nepI//insA-2//pyrD//malI//glgX//tsr//prfA//yieE//cysW//mngB//melA//glpF//mglC//wrbA//lipA//uspB//hypD//yoaB//grpE//opgC//insK//yoeB//alaC//yagU//rng//speG//pyrC//sucC//tatC//recQ//putA//tolB//mutT//yeeJ//nikE//rutB//livF//nac//yraH//yahB//trpR//birA//ybiA//yehT//yjbB//crcB//waaB//yfbU//cmoA//hmp//potD//phoE//rpsD//pepQ//caiT//recE//dgoT//sufA//ygbL//metE//rep//prc//pcnB//ygbI//qseB//dcuD//
GO_0010638_7	yfcG//birA//
GO_0010639_7	rfaB//cysD//srlB//
GO_0010646_5	nfuA//
GO_0010648_6	astB//
GO_0010675_6	artM//sgcA//yciG//ribA//ydhC//yggE//
GO_0010676_7	ygbI//ygbL//
GO_0010677_7	groS//
GO_0010699_4	ompW//ybaM//
GO_0010810_5	hslU//iap//
GO_0010817_4	envY//ldtA//dsdX//waaZ//nhaR//chpB//pgaC//yfgI//ycaN//pitA//melB//mdtE//moaA//sulA//
GO_0010827_7	paaC//
GO_0010829_7	yghB//
GO_0010876_4	polA//
GO_0010906_6	aldB//yjiX//
GO_0010907_7	oppA//
GO_0010911_5	rpnB//glgA//pheS//
GO_0010921_6	nupC//rnlB//setA//murG//
GO_0010941_5	sodB//
GO_0010948_7	prc//yahF//
GO_0010951_8	greB//citG//
GO_0010962_7	opgC//creB//
GO_0010966_8	rlmN//
GO_0010967_6	murG//
GO_0010974_7	hmp//
GO_0012501_4	ydiB//rplF//rplY//era//mak//yeiG//xylB//aphA//rplQ//sodA//ribF//ycfJ//pepT//
GO_0014070_5	ivy//aceF//
GO_0015031_5	ycfL//ydeE//npr//fmt//cydD//tcyL//oxyR//mutH//mntS//speD//otsB//rffH//ppsR//adk//dgcJ//purF//hdeB//yqeG//citE//cyaY//lolC//frlA//nudB//frlC//betI//gltS//dsbC//ydfH//kdpC//yciK//narP//zapA//mdtI//hemG//rnd//glcB//livG//lhr//ymjB//uvrB//proC//
GO_0015074_6	gsiD//rplF//recR//rmf//yieE//cbpM//fruA//
GO_0015628_5	soxS//ybhP//yadM//fliT//mltA//
GO_0015669_5	yciF//
GO_0015670_6	uhpC//
GO_0015672_7	dosP//sfmA//aceF//prpD//emrD//rfbX//gldA//gspJ//rsmG//garD//cbtA//yqgF//gudX//mtgA//rbsD//lolC//rpoH//mhpR//ycjQ//hxpB//bdm//yhhT//rplI//yiaO//ycfS//lyxK//bsmA//mdoG//hemN//btuB//shiA//narH//sohB//guaB//yagG//lsrD//sdaC//crfC//sgcA//eutB//xthA//glcA//cca//
GO_0015673_9	torC//
GO_0015675_9	ygiB//ytfT//bcsQ//ssuB//treC//iscU//slyA//yjiA//
GO_0015679_10	recG//alaA//
GO_0015682_8	csgF//cbl//acpS//hcaE//livM//rayT//murJ//pspG//cdgI//bglJ//prmC//ldtA//
GO_0015684_9	rimO//rpnD//cusR//yohD//metB//
GO_0015685_8	yadM//nanK//aqpZ//glcA//mtlR//fdx//
GO_0015687_7	ivbL//lysS//dcuR//yphF//
GO_0015688_6	ypjD//rnc//chbR//rplR//cyoB//frr//yfdC//kdsC//yhjC//ydcI//nlpE//ybcQ//lpxK//cbpM//hdfR//nuoB//znuB//gltL//
GO_0015689_8	ybeF//entA//fdoG//
GO_0015691_9	gltD//ilvD//zitB//hycI//
GO_0015692_8	rpsH//
GO_0015693_9	abgB//ribD//
GO_0015695_6	ssuB//dgcE//tcyL//hdeB//envZ//ushA//pnp//chbG//hipB//rpoA//ydcP//sdhE//torI//gudD//putA//livG//aspA//yqjA//hslV//rpnB//treC//mdlB//pcm//yhjR//yejB//bglA//ddpA//mdtF//cbtA//glnA//
GO_0015696_6	hyfC//gnsB//yafC//frwB//tehA//mak//fbaA//flgG//ydiP//accB//rof//waaP//sapA//pabC//metB//uup//rplE//ybiS//mutH//ydhJ//gltP//alsK//ygjH//hofP//gatB//frwD//ybcL//ftsZ//puuE//acpS//clsA//
GO_0015697_7	yfbR//rpiB//galP//paaA//ung//curA//flgH//yjhI//csiR//kgtP//aidB//rpoS//argS//
GO_0015698_7	glnP//tonB//xerD//opgE//ybeF//degP//leuE//intS//dxr//bcsA//cysE//yjjB//yihW//menI//yoaB//glnL//rnb//degQ//ascF//insA-1//appB//znuC//ubiF//agaS//modA//guaB//selD//yrfG//cbl//prmA//adk//lacI//dcuC//yhjA//yihP//ychH//chpB//hisS//ybdM//panF//kefF//
GO_0015699_8	ulaG//
GO_0015700_8	ibpB//idnK//
GO_0015706_6	yfaE//metE//ybhD//
GO_0015707_6	sanA//cyoD//hupA//cecR//nirB//otsB//
GO_0015709_6	nhaR//
GO_0015710_8	yijE//cmoB//
