#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	murR//ulaD//fumA//hemN//
GO_0010638_7	lpp//yidR//
GO_0010639_7	recX//ybhJ//etp//
GO_0010646_5	acrA//
GO_0010648_6	glpD//
GO_0010675_6	ftsI//yddL//yjhG//rplN//cusF//ybfE//
GO_0010676_7	folA//kbp//
GO_0010677_7	udp//
GO_0010699_4	chbF//rimL//
GO_0010810_5	amyA//rbfA//
GO_0010817_4	glgX//ilvM//mqsR//aceF//hisP//ftsB//yqgF//asr//grcA//mdfA//crp//ybhR//hyfC//fabA//
GO_0010827_7	flgG//
GO_0010829_7	xseB//
GO_0010876_4	psuT//
GO_0010906_6	chpB//pepQ//
GO_0010907_7	yrbG//
GO_0010911_5	fucK//matP//lolA//
GO_0010921_6	alr//bioD//ynjD//elfG//
GO_0010941_5	ycbV//
GO_0010948_7	sdiA//epd//
GO_0010951_8	gatZ//glpD//
GO_0010962_7	sppA//cysB//
GO_0010966_8	xapA//
GO_0010967_6	marA//
GO_0010974_7	cmtB//
GO_0012501_4	ubiJ//yhdJ//yabI//ybbW//rep//yfcS//smpB//yjaZ//sohB//queA//dnaB//dicA//hofM//
GO_0014070_5	ymjB//pcnB//
GO_0015031_5	hyaC//bisC//sdhE//yfaU//tomB//hisA//pdeL//ppiC//arnF//tyrA//abgR//insH-6//trmI//coaA//mpaA//arcB//hcaB//ybiW//flgC//tcyJ//thrA//lsrG//yfbS//ftnB//lolC//cysK//glrK//dsdA//ynbC//tsf//plsC//ydeI//mscL//hypD//glnL//nupX//raiA//recD//gmhB//ykfI//sppA//
GO_0015074_6	dinQ//waaY//thrB//yqeG//araH//kilR//ybcF//
GO_0015628_5	psuT//cysS//pppA//yihX//entC//
GO_0015669_5	agaS//
GO_0015670_6	yhbY//
GO_0015672_7	secM//ydjK//yoaA//metC//cdaR//dctA//ybjL//rng//yccX//lsrB//lolB//pgpB//ibsC//deoD//ptsN//cobS//yehD//tnaB//fecD//chaA//ynfK//dnaT//ybeQ//uxaB//perR//puuE//ydbK//ybfA//murG//nanE//hscA//trpL//yiaO//gntT//glgP//yheT//galE//yigL//yjbH//yqcC//ynjD//rzoD//uxuB//
GO_0015673_9	chpB//
GO_0015675_9	feoC//paaD//argH//queC//crl//dhaM//melA//mdh//
GO_0015679_10	amiC//alaE//
GO_0015682_8	speC//gudP//rnt//asmA//malP//sdhD//ydbD//lgt//ligB//cdd//garR//clpP//
GO_0015684_9	opgE//rnt//serA//acs//yqjH//
GO_0015685_8	yfhM//hcaR//acnB//kdpE//rbsR//ribB//
GO_0015687_7	dnaX//mlaD//ftsK//fes//
GO_0015688_6	fadB//ldtB//gstB//cynS//emrY//glnH//metL//livK//arsR//lspA//fmt//gadB//ibpB//rodZ//rpoE//ompR//rbsB//sgcX//
GO_0015689_8	hprR//fhuB//yedL//
GO_0015691_9	ypdA//casE//fsr//ftnB//
GO_0015692_8	prlF//
GO_0015693_9	pabC//dhaL//
GO_0015695_6	cspG//lacI//eutB//yraI//ydaN//hflK//dppA//frc//rplM//hupB//ygfZ//yciE//msrA//phnP//wcaC//yfeR//ygfX//ilvD//rfaB//arnE//napA//dusB//solA//speA//yifB//dhaL//tsgA//napD//flhD//ydhC//
GO_0015696_6	panB//caiF//yphB//metG//pinE//ftsH//treR//ybdM//yehY//fimA//nadB//pyrH//fis//smrA//creC//yoeB//flgH//dinB//yadM//gpp//chbB//hemN//fabZ//ydbK//ydiQ//glxK//sgrT//eutD//ssuD//tamB//fryC//
GO_0015697_7	casD//ldtE//dinB//csiD//tatA//tnaB//ldtA//tdcA//yfiE//ygbI//pyrF//pgaC//fepB//
GO_0015698_7	entB//frmA//yadC//astB//sodB//nac//argG//acpH//pinQ//ftsP//hxpA//tcyJ//tbpA//cheZ//osmF//bglH//ghoS//secF//yfcV//nmpC//mprA//caiE//chbF//mtnN//pagP//rhaD//asnA//stpA//argS//nagC//gluQ//ybeQ//rplC//kduI//pinQ//wcaC//lptB//ftsQ//ydcZ//ilvI//rsmI//
GO_0015699_8	yhbX//
GO_0015700_8	yqiH//ggt//
GO_0015706_6	gadA//rffC//rfbC//
GO_0015707_6	hxpA//sdhD//nagB//stpA//uidC//thrL//
GO_0015709_6	fliK//
GO_0015710_8	rph//flgF//
GO_0015711_6	speE//pdxK//arsC//mepM//lysO//secF//waaG//topB//rppH//yedL//rpnA//yahO//hslU//ynhF//mlaC//gnd//purB//purT//yihL//bsmA//murR//aaeR//mglA//rimK//yihS//hisS//exbD//fliL//xylR//nlpE//hsdM//acs//mdtM//yggN//hybE//afuC//waaH//uhpC//ycdY//ugpE//rzoR//prpB//fucO//yibT//acnA//yhjB//cheB//rof//insI-2//prpD//yccS//mepM//acpP//rsfS//secM//dacC//yjhC//fdx//gcvH//gadC//bamC//cusR//torD//mmuP//gatZ//trkA//fdoG//pfkA//wcaC//ugpB//ynaE//hycB//glgS//rffC//tusC//hldE//ynbD//ulaA//ygaV//sucD//pinE//ubiC//mutM//ydfK//cheB//miaA//pabC//purA//mmuM//waaU//ispU//bhsA//yeeL//rpnA//phnH//gspJ//clsA//mdtB//copA//torZ//mrcA//murP//phr//nadK//bamA//envC//phnJ//cas3//ybcC//aas//ybgP//ybdZ//metB//fhlA//gltI//ybaO//yfdG//ydiO//yjeI//rlmG//yjaA//yfgO//arnE//dgcN//pflB//speG//tsgA//carB//plaP//atpD//uacT//obgE//dacA//malX//ttdR//rsmC//hfq//tcyL//glnK//wzzE//ybdM//mcrB//ssuA//yehC//
GO_0015712_7	nanT//
GO_0015718_8	idnD//rplY//yibF//aroA//npr//adiA//pyrF//dnaQ//atpG//mdtM//arfB//puuC//gfcE//uidR//dusC//rraB//napD//rnhA//yjiM//recD//nagD//ydhC//serC//ybhR//
GO_0015721_7	ttdR//ydjL//
GO_0015724_7	lgt//nadK//alsB//
GO_0015726_8	yjjI//
GO_0015727_7	folC//flgF//
GO_0015733_7	hmp//
GO_0015734_6	kgtP//dpiB//yiaB//
GO_0015735_8	cas2//
GO_0015736_9	dppD//
GO_0015739_7	yiaU//
GO_0015740_9	yhiM//arnB//rpiA//lasT//yhbO//torA//rna//ycjR//metK//
GO_0015741_10	glnS//nrdA//
GO_0015743_10	serA//
GO_0015744_6	rne//yfcQ//yphD//
GO_0015747_6	fadA//
GO_0015748_6	flgA//ychH//guaC//fieF//ybaT//aidB//uspC//mdtK//rutB//osmY//fis//yieH//dsdC//yihO//purC//
GO_0015749_7	yiaL//mfd//yehP//thiE//manY//cbeA//ulaG//recG//yneE//alsE//ispH//nepI//ybaQ//araG//ppiD//yfeR//ebgA//lpcA//rhaA//metH//ybbW//cycA//bssS//lyxK//yeiL//baeR//dicC//tdcB//trpGD//pal//gatY//narI//ybhJ//atpA//ycgR//uhpT//sfsB//idnO//gltS//dppF//rplW//mglA//otsB//azoR//bamE//
GO_0015750_8	alr//yafN//xisE//pfkA//yegS//arnB//kdpF//serC//dsbA//ccmH//mcrA//dusC//yggT//
GO_0015751_9	fis//rplJ//fimA//yhjG//tyrB//rihB//
GO_0015752_9	fliM//yddG//tyrS//polB//recE//ade//
GO_0015753_9	mutT//ybeQ//yidQ//
GO_0015754_9	gnd//argF//lgoR//
GO_0015755_9	rplN//epd//artJ//paaG//yebC//pdhR//mdtE//rbn//rhaM//nagK//yiaO//
GO_0015756_9	ybhG//trpE//
GO_0015757_9	sufS//proP//chaC//hxpB//ybdR//tolR//ynfF//
GO_0015760_8	carA//
GO_0015761_9	proA//yddM//mipA//
GO_0015762_9	ydfK//
GO_0015764_7	yfaE//chpS//clcA//ccmC//
GO_0015765_8	zwf//gstB//arcB//ygjK//
GO_0015766_8	rlmG//pgpB//ydcR//hiuH//caiB//purC//dhaL//fis//murQ//yfcF//rlmI//dcp//cheY//uxuB//
GO_0015767_9	rnhA//ssuC//agaS//phoA//
GO_0015768_9	hslV//alkA//queC//gor//dosP//fabI//
GO_0015769_9	malZ//
GO_0015771_9	hdeD//metH//cpxP//codB//
GO_0015772_7	yfcQ//leuE//phoU//rsmB//paoC//pgm//rpmE//pgpA//hflD//uhpC//rfaD//rdgC//glyS//glmS//dxr//glnA//kdpB//
GO_0015774_7	pinQ//entA//ydjM//phoQ//speF//xdhB//
GO_0015778_7	yqiI//
GO_0015791_7	blc//potD//ldrD//tsr//pal//nhaR//cusF//tdcE//
GO_0015793_7	gapC//dfp//
GO_0015794_7	atpF//rmuC//msrP//mog//yraR//
GO_0015795_7	ychO//
GO_0015796_7	ybgI//hisP//nfi//fkpB//
GO_0015797_7	uspC//ykgM//
GO_0015800_7	epd//spy//yajQ//menF//
GO_0015801_7	hprR//atpC//moeA//fes//relB//flgF//pitB//malQ//
GO_0015802_7	tauC//xseB//leuO//pdeL//yfiC//hypA//rluA//
GO_0015803_7	hyi//glpD//yfbS//csgB//csgF//kch//yeeJ//insH-6//ycbV//cysB//yfdR//
GO_0015804_7	garL//gcvR//cueR//iraM//mdtQ//nemR//frdC//murB//bfr//oppD//dhaL//glpB//cpoB//gloA//murP//hcaB//bdcR//idi//yjhP//gntU//map//rusA//glgC//dsbC//modB//crp//rlmE//mepS//recT//aroP//mcrB//rbsB//blc//
GO_0015806_6	murB//
GO_0015807_7	cpoB//ydjK//adhP//uhpB//greB//yhfS//nadE//ycjY//aspA//rpsD//metI//yihT//basR//lon//dgoT//murG//fabA//hybC//yddG//fecC//metC//purN//tomB//purN//zapA//ydfH//insI-1//ttdB//rpnD//potH//yneL//nhaR//wzyE//yciG//asnB//rfbX//pepN//modB//
GO_0015808_8	moaE//modC//
GO_0015809_7	ribE//dut//yraI//thrC//dcuC//lpcA//
GO_0015810_8	ggt//pcnB//
GO_0015811_7	ybaT//clpX//leuS//nikE//ulaB//
GO_0015813_6	yoaA//ubiB//rep//
GO_0015814_7	mlaF//
GO_0015816_6	galR//
GO_0015817_7	argT//
GO_0015818_7	ugpC//accB//sgcE//valS//umpH//mdtM//rluA//
GO_0015820_7	gsiA//ybjX//cmoM//sdaB//rsuA//yphD//ybiW//sdhB//nusA//
GO_0015821_7	thrC//ydiF//mrr//ybcF//flgC//
GO_0015822_7	ybgQ//mhpC//
GO_0015823_7	uvrB//cusC//cspB//fdoH//dhaR//blc//hdeB//
GO_0015824_7	yrfG//epd//
GO_0015825_8	phr//
GO_0015826_7	caiF//lsrB//acrD//
GO_0015827_7	abpA//yqiG//yieL//
GO_0015828_7	ccmH//ftsK//
GO_0015829_7	gpt//trpD//panZ//yeaG//yheT//csgB//rsgA//kdgK//rhtA//
GO_0015830_7	yjhB//yafO//entF//
GO_0015833_6	pdeL//tauA//ytfQ//fliZ//dgcJ//ratA//kdpC//tsaD//trg//umuC//tqsA//nrfC//mglA//uspB//otsB//proV//ompW//ybdZ//glcB//dkgB//rpmC//ftnA//groL//yehT//intF//rnd//csdA//ycjY//betA//yfaV//csgF//rstB//narK//pcm//trkG//atpD//ycgR//kilR//rlmA//yeiL//gltS//rsmE//prmC//ampG//lpxP//napB//cadA//fadR//secG//ybcQ//nrdF//ybhP//pinE//ispG//appC//bolA//xthA//dgcN//rph//gltI//parC//yjbG//cra//mngB//caiF//proW//lpxM//mltG//dedD//dsbA//shiA//hybC//abgT//fes//potI//rng//rsmC//cydD//
GO_0015834_7	waaG//sulA//ycfS//fliD//purA//
GO_0015835_6	sodB//garK//rimL//uxuA//
GO_0015836_7	asmA//yidH//yadI//
GO_0015838_8	ydcO//ygcO//ddlA//mgtA//paaB//yqgB//thiG//rimM//djlC//rpsK//ydhK//atpE//lptF//
GO_0015839_7	prpC//
GO_0015846_6	glnL//cydB//ltaE//paaD//fruA//rhaT//dctA//sfmA//lipB//glgX//trmD//znuC//betT//insB-2//nhaR//sbmC//pyrB//
GO_0015847_7	intZ//sspA//patD//yphB//uvrC//ispH//nuoB//katG//ybdG//zntR//mdtJ//nupX//prlF//ydeP//arnA//
GO_0015848_7	ybdG//waaO//minD//cheR//gcvH//sodC//
GO_0015849_6	uvrA//eutR//mdtD//hypT//yafS//ubiB//uvrB//yefM//tar//efeO//radA//mnaT//flhA//nikC//ghxP//hinT//arsB//dicC//gdhA//cheB//rpnA//mtnN//metE//murB//menH//rcsA//emrB//rdgB//xseA//ssuC//entD//yebQ//thrS//lpp//feaR//proC//nac//tdcE//gpmA//rraB//lgt//htpX//glgS//tusD//bioF//dcuB//potI//purA//higA//tsr//gmk//hofC//yfbV//yfeW//dppF//gabP//fliD//yahN//xanQ//paaK//hemG//ydgA//trkH//adhP//acnB//kdgT//mmuM//yciH//yciG//mtnN//artI//cobU//mhpB//ubiD//yeaK//bioA//hofM//yejE//plsB//btuF//pyrF//nlpD//ppsR//hxpB//nrdB//zapD//coaD//endA//cbeA//fumB//yqaA//lplA//hexR//queE//mraY//treB//yhjA//atpF//zapC//aes//lsrD//wcaB//shoB//rplB//waaO//sgcB//lpxM//xthA//rhaM//hisF//cstA//aroL//rclR//bdcA//msrA//
GO_0015850_6	rho//rimJ//mlaC//frdA//ycjU//pdxJ//truC//guaC//allD//prmA//ssuA//gshA//fruB//puuE//yahF//dnaE//ratA//rnb//lexA//livG//abgT//rpsI//sufD//
GO_0015851_6	yrfG//prfB//yefM//rutC//yhdZ//insI1//proV//hyfR//rpsH//ldtE//dppA//pdeH//
GO_0015853_8	speF//ygbM//
GO_0015854_8	thiQ//bglF//
GO_0015855_7	kdsC//folE//rlmB//
GO_0015856_8	proQ//
GO_0015857_6	metI//fimZ//
GO_0015858_7	cbrA//iscS//ldcA//frdC//ftsZ//rpmE//fucK//moaA//era//
GO_0015860_7	pyrD//patZ//
GO_0015861_9	insI4//rpmF//
GO_0015862_9	priA//ubiF//
GO_0015863_8	mdtQ//
GO_0015864_8	yehX//ecpR//
GO_0015871_6	ptrA//yidC//hybG//serC//feoB//
GO_0015878_6	tdcD//
GO_0015879_9	yjjI//
GO_0015882_7	lasT//selA//aaeB//
GO_0015886_6	casC//hokB//hemB//aer//pdxA//galM//panF//alsB//fadH//
GO_0015887_7	pmbA//
GO_0015888_6	thiM//
GO_0015889_6	sfsB//ygbM//ychO//yjcO//yfgI//wzb//moaE//
GO_0015891_6	miaB//hcaR//srlB//pinE//yjcS//ftsI//rutC//treC//pdeF//tcyL//insI-2//mmuP//ybaM//clcB//uvrD//
GO_0015893_5	fimZ//melA//rapA//lpoB//ubiJ//ynfF//hycB//fliZ//zapD//betB//gshB//pal//rpmE//lysC//yhbO//ynbB//yhjB//fepG//aslB//tig//flgF//gatB//yhiM//gadE//gcvP//pgaA//pdxY//gcvH//hchA//hyaA//ybjN//minE//cydC//moaD//yeiG//essD//tig//rbn//atpD//puuD//yieL//hldE//umuD//sufS//sapA//ycjQ//cas1//fimI//paaX//bsmA//pitB//patA//acrB//ttdR//mutL//yigB//exuT//tesB//murJ//xisR//mtn//astB//dnaC//rsmB//yajR//hcp//bsmA//cspE//ccmH//ccmF//pspG//yjcS//araE//mrcB//arnF//gppA//lgt//ndk//rihC//smpB//ydiO//ansA//nanC//gltX//dgoD//tusD//yidK//ydeM//frwD//hda//ydcI//rutE//sbcD//queE//rlmG//soxS//chaA//
GO_0015906_6	rlmN//cyoC//ompC//gltI//ybaL//
GO_0015908_7	pepQ//def//
GO_0015909_8	murJ//
GO_0015912_8	hxpA//
GO_0015914_7	rplR//fepD//dinB//lpxD//ilvI//lsrD//ptsN//
GO_0015920_7	hrpA//garP//sdaA//rplQ//guaD//cbl//casB//tamB//pckA//
GO_0015931_6	prfC//ftp//ynbB//ugpA//rihB//higA//nhaR//proX//garL//rhaB//yfgI//menF//
GO_0015936_6	amiB//recC//entB//idnK//
GO_0015937_7	yadC//ycaN//ttdA//wzc//
GO_0015939_5	potF//ccmH//ompC//proV//ribA//
GO_0015940_6	erpA//topAI//treC//prpB//lldP//
GO_0015942_6	alsE//tsaE//malY//sdhD//ydgA//rsmI//ccmC//mdtC//flgJ//
GO_0015944_4	ybhF//hisQ//cadC//fimC//hycI//torY//polA//
GO_0015949_5	dgcE//ymgA//rfaH//ybjD//topA//treR//dgoR//mmuM//opgG//treF//ghoS//rarA//higB//yehC//murJ//ybiX//pykF//ftsQ//lysA//leuD//pbpG//sfsB//agaD//accC//
GO_0015950_6	uidC//mtn//metC//
GO_0015951_7	ldrA//gsiD//
GO_0015968_6	glnA//
GO_0015969_8	sdhB//flgE//
GO_0015980_4	betB//alkB//arnE//nrdA//yedF//xerC//cpxA//mnmG//rlmM//sgcX//hemB//hisH//icd//ycfH//xylH//ubiG//qseC//hcaF//lgoD//rlmF//xisR//guaD//fkpA//yejB//bamE//ssb//ygbI//pfkA//mlaB//glcD//mioC//fecB//zitB//fliZ//syd//adiA//moaE//aaeB//agaA//ycjW//phr//ade//gpr//hisA//katG//fabH//rpsE//mrcB//rpmJ//plsC//yihO//fmt//dnaB//ftsY//ydeP//cysD//insB-4//dgoA//ybhI//waaG//lldP//ybjN//nuoN//yiaL//fmt//ugpE//pheA//ddlB//lexA//tyrS//yehU//mrp//rspB//rpiB//mglB//lpxD//ortT//paaK//gspI//uacT//glgC//malP//ynbC//rlmM//tatC//macB//
GO_0015985_9	yfgJ//paaA//mdtD//mepS//
GO_0015986_7	ampD//mdfA//rfbD//cysU//
GO_0015988_9	nrfB//sdhE//sucC//yiaM//ygeW//mioC//gntK//metB//
GO_0015990_10	ssuA//paaK//mutH//rdgB//hyaB//fruA//dapF//agaI//
GO_0016024_7	kdsB//
GO_0016032_5	ffh//ompA//yebG//ccmD//fliG//lasT//rraB//fucP//lexA//fucO//rhaA//gcvP//xylH//frmB//pgaB//rimO//glpR//yfcG//
GO_0016036_6	moeA//sfmF//nadB//gabP//nagK//fadH//
GO_0016042_5	yeaG//glgB//uacT//glpX//fdnH//relE//potF//cheB//rusA//yjiM//cusF//fadH//wcaB//rfaG//rzoR//infB//nagK//dgoD//yidK//flgB//cusR//mglB//entD//pdeF//
GO_0016043_3	ydcM//poxB//rnr//wzyE//yraK//gabT//wecA//mntH//mnmE//mdtA//sapB//rhsD//selB//cmtA//agaD//cho//sgcC//ybcL//recQ//yfcG//ydcZ//rclA//fucK//maeA//fbaA//torI//hyfR//zwf//tig//iscU//tcyN//glnK//guaA//lptB//pyrC//ycjY//alaA//malK//waaP//rluB//priB//cysH//yafS//oxc//yebS//glk//mutL//cytR//alpA//ybdO//adhP//coaD//rbsB//mlaD//ung//cysS//tag//map//rhaM//ygeV//folE//trkA//yneJ//rpsI//ybfE//puuP//frdC//ykgM//rplY//qseB//mgrB//fdhF//yagG//bamE//ampE//yneE//entE//glnS//bioD//dmsA//yafE//dmlA//opgC//cvpA//tolQ//lpoB//waaC//ompA//norV//torR//yfiE//rimJ//panC//ybcL//mdlB//mukB//rhsD//sgcB//carA//zapC//fimI//fhuD//ribA//waaH//yieE//leuS//ddpX//sdhD//kefC//thiC//yhcD//srmB//folC//blr//entH//tynA//hslO//betT//glrK//zraS//rzpR//wcaC//ilvC//chbA//mazG//fadH//ilvL//lptB//hisS//exuR//nanK//cpsG//cyaY//queD//yggX//exuT//yehP//kdgK//eutD//ubiG//frwD//gshB//yjiQ//yjbE//gspE//menE//sgcB//hinT//fimD//hflX//fur//hybG//ftsE//paaC//mipA//trmO//nikB//oppB//ahr//ybiW//qseC//rof//recO//ilvL//ydhJ//purC//nudC//putA//yghG//elaA//lacI//caiF//manX//hycB//flgB//pfkB//glsA2//xapB//yahI//lit//caiF//ptsG//ymdB//orn//rpsB//modC//murG//maa//yghB//erpA//ygbN//yihP//aldA//ytfP//lldR//yneL//lysA//mepH//rpiB//lysA//tyrB//thiE//tatB//ispB//sgcB//coaE//yhjD//hsdR//pgpC//fliG//
GO_0016051_5	fecA//gmk//ybcJ//rne//rihB//cyoD//aroA//fieF//fumA//panF//ubiE//trpE//recR//minE//yebG//hofQ//hchA//acs//acs//yqjA//nuoG//panB//gyrB//trmA//yfcQ//gabD//mcbR//aphA//hybA//tufA//dcuR//cedA//ubiE//dctA//ilvL//sbp//cirA//rplE//bglF//mhpA//ydjL//agaD//csrA//fbp//purR//iscA//shiA//rfaE//aroA//sufA//cvrA//yojI//ubiC//cheR//ychO//yaiW//narW//asd//gpmA//recC//hokB//decR//nei//gltP//alkB//pmbA//livH//ssuA//avtA//icd//fruB//tamB//yfbS//clpA//dinJ//pabB//uup//yeeY//mrp//ubiA//rseP//nfuA//dinI//ydaV//nikB//tsx//tap//mgrB//rpsK//lgt//yegV//nfo//dbpA//hdeA//yahN//rpoA//rimJ//fdnI//parE//ompN//atpD//atpE//bepA//
GO_0016052_5	yfaE//ligB//flgJ//mprA//ruvB//dinJ//dppB//rssB//ulaA//intE//corA//mhpT//mlaF//rhaT//opgG//xylA//aroD//mepA//uhpC//ddlA//rluF//mmuP//chbB//fabD//ppk//flgH//sfmF//cheZ//ygiW//sbmA//argC//purF//rarD//rhlE//rhoL//glpR//fis//scpB//proX//mngB//alaA//sbmA//glpF//xylB//yagE//opgE//mlaB//purN//uhpB//glsA1//yebG//valS//dut//trkH//hslO//argH//rhaA//tcyL//ravA//frvR//hybO//hofP//garP//rpmE//yfaX//ubiG//hicB//proB//pyrD//paoC//rnb//ppsA//ompG//ycbU//tdk//gpsA//gsiC//lolB//paaD//rfaB//sucD//clpA//yidC//arnD//rpmE//yfdG//yciA//atoS//ortT//yiiD//abpA//prc//rfaE//citE//asmA//focB//ypdB//yqiH//intF//hlyE//potF//cyoC//rpsI//envZ//yrdA//oppB//ahpC//cheR//cbrC//glpT//asnC//waaQ//sfmC//yajL//secF//
GO_0016053_5	rnt//acnB//tdcR//dcuS//lrp//plsC//garP//trg//gspJ//yfbS//lysU//malZ//greB//bioD2//ghoT//pdxJ//ppk//ais//fepE//nhaR//rnt//cadA//ynjA//yhbO//ypdC//ptrA//fadK//lptF//bacA//cysU//rpmG//ybbW//nagB//ygfZ//yhjG//dsdC//oppB//leuA//rpsG//glxR//nudB//leuB//lpxT//argP//yahF//umuC//entH//trmH//ompL//recC//napF//yphD//glnA//rfbD//tdcC//rnhA//norV//ybfE//cpxR//ftnB//menD//rhtC//nuoI//psuG//ybcM//ycgR//mgtL//fpr//ycjR//glvC//yfbV//sfmF//agaD//cdh//yheT//gloC//paoC//hemH//lysS//thiE//gltK//yjjU//add//ybjC//hyfA//malZ//yhjD//glvC//amiD//hfq//adeQ//relB//murE//agaC//copA//cirA//mscS//tpx//mtlR//ybiH//accA//proA//mdtI//hisS//fryB//ushA//fadH//dgcM//ulaG//garP//cueO//pdxJ//atoC//smpB//ghoS//ybiX//gltI//ypjD//artP//rspB//uidA//hypA//yecS//yghU//cbpM//sdiA//yciT//lysU//ugd//fryC//ygbI//nlpA//sulA//rsmF//idnK//cbrC//gltS//slmA//hsdR//yfbR//trpE//mepA//glrK//intS//ibsB//adeD//sdiA//znuB//ydcR//lpxC//eamB//btuF//fabH//sdhA//aceA//rpsT//ogt//dpiA//paaH//amyA//napD//lysC//fucI//idnK//tolR//rplF//patZ//fumC//rbsR//cdaR//rimK//yifB//cyaA//ygjK//hcaR//acrE//dinG//pbpG//cycA//recJ//macB//ydeT//clsA//lplA//rbsK//lpxT//kbaY//artI//wcaB//
GO_0016054_5	tynA//yieK//ridA//gdhA//folA//yjfP//lipA//alpA//iraD//tdh//sucD//yeeL//pinE//ytfR//pheP//cmk//potC//mlaD//yjbG//hyfA//yidD//ompC//fabZ//torI//glnP//tus//wcaJ//mutY//nupC//btuF//eptC//evgA//mutL//ldtE//secF//rpiA//dcuR//mgtL//yaaJ//fucK//exuT//prpD//elaB//cyoA//ubiF//ybhJ//abgT//bhsA//rplK//yiaB//glyA//tag//fimG//mpaA//ubiB//tpiA//gpsA//lysU//moaE//ycaN//hrpA//ycfH//intE//ydcP//gloA//mhpR//flgK//nanK//dedD//gatD//narJ//truB//ydbK//yhjV//gcvA//ade//yegV//uxaA//yeeA//mlaE//glgX//insF-1//rfaC//folP//napA//ynaI//ytfQ//nuoF//xthA//araE//dosP//gabD//rfaG//dnaA//cvrA//fetB//shoB//bssR//ycaO//dgoR//ydjJ//nanE//cyaA//arcA//cspB//hemC//csgB//dsbC//pyrF//phoU//xisR//radD//rhaT//nfuA//pbpG//casD//xylF//yehY//ynbB//rpsD//pfkB//mngR//yedA//rplM//rpsA//truD//casE//insH-5//mcrA//mlaC//galU//bepA//yciT//endA//lysO//fepE//hyaB//bioD2//uxaA//lpxC//dcuC//recO//ppx//coaE//sufC//mioC//rihB//frc//flhD//yehU//zntA//sapA//dppF//tnaA//queF//
GO_0016070_6	speD//livK//yrbG//waaO//yphD//smrA//fdhE//yijE//ydeT//zwf//rimL//rpoE//ybjL//hdfR//ibpB//yobA//tamB//marA//amiD//aroK//epmB//waaL//pepB//mreB//dacB//yaaA//glcE//cyoE//nrdB//pepN//kefB//appA//prc//rpmH//gntK//tsaC//ilvC//ybdO//mdtE//rlmD//cyoB//bioC//hslV//livH//fdhF//hybA//iaaA//sdhE//agaV//ybiX//etp//yjjB//opgE//groL//accC//gatA//uxaB//zapC//cdsA//yhaC//trmD//glpX//thiQ//betA//rimK//dgt//sbp//ybgP//ssuB//thrL//dedD//rhtA//uvrA//ybdH//thiP//lptF//yieK//ygbL//rnlB//evgS//xapA//tyrB//waaB//rlmN//sgcE//ptsP//arnA//insK//amiB//argA//sbcD//aphA//rluC//pepQ//csiR//tatE//lolC//aroC//uof//thiL//tehA//ghoS//dapF//csgA//galR//leuA//elfC//kdpD//wzb//pspA//holD//narG//yjbH//flhA//oppC//mobA//hipB//hyfA//rutR//rlmH//ebgR//topA//ygbN//hisH//rhtA//yobA//exbB//ybaT//malE//waaH//endA//tatB//macA//nfuA//ydgA//yeaK//bcsQ//fur//yciT//hisB//gnd//yfcF//ompN//rcsD//rutC//modB//ygdG//rzpD//emrD//sufS//ispH//csgD//dnaB//tabA//hybG//galP//hsrA//efp//asnB//idnD//yagU//xerC//rbsK//cheB//yhgH//mtn//btuF//yddL//sutR//pnuC//copA//ilvI//frlR//uof//hisA//csdE//ydiV//bioD1//murF//marR//ydcT//yggD//ydiP//rplW//ackA//tnaB//cusS//aroP//ispU//glmU//yjfP//nanR//nrfC//prmB//ycjP//rsfS//flgC//uhpA//selU//yjbE//gatC//uxuB//yhaM//tatA//ndh//dsbD//fixB//frdC//dapF//livK//intE//yjcE//proV//ubiX//map//asnS//infC//wzzE//basS//torD//trkG//frvR//mqsR//dinG//tdcG//cysD//gatC//yicJ//mnmA//cysQ//znuC//ulaR//feoC//ygfA//dsbC//rsuA//etk//hexR//idnO//eutR//ldrA//ubiC//iraP//hcp//rpsK//baeR//entC//dhaL//decR//dapB//gapC//rlmD//atoC//frvB//bamE//dgcE//yibT//spy//nikC//rpmH//mfd//dmsC//yiaM//rplE//srlA//yeeL//pyrC//lspA//gltD//crcB//paaA//edd//cadA//exoX//glgP//purL//fliK//tonB//adhE//fryC//bamA//yhcH//metG//insI3//asnC//fumB//phnG//yeeA//gltK//metI//yiaA//era//bglJ//nrdH//
GO_0016071_7	putA//cusC//argK//phnM//asd//ydcO//murJ//bepA//yaaJ//mtfA//hemE//yahN//sufC//rfaH//argR//
GO_0016072_8	ydhC//pflC//hypT//yojI//yadV//atpB//yciV//moaC//tolA//aroH//yghO//tusD//recD//ydbD//yeeO//epmA//bioA//ybjG//elfA//wzyE//alkB//prlF//sdhD//waaC//torA//nth//nrdB//acrA//mhpC//pflB//cecR//tdcC//dgcF//zapB//sapD//rlmH//ydgA//pinR//mcrA//xseB//gcvR//atpA//ynjA//secF//
GO_0016075_8	miaA//tusE//
GO_0016078_8	yddG//
GO_0016093_5	rcnB//ydiO//
GO_0016094_6	ygdG//aroL//
GO_0016114_6	osmC//
