#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	tesB//yoaA//iscA//mgrB//
GO_0006880_4	glmS//fliD//tyrR//
GO_0006882_8	yfiF//
GO_0006883_8	trxA//cobT//lgoD//
GO_0006884_4	trmJ//xerC//betI//pitA//hybE//
GO_0006885_9	folA//potB//yidZ//arcA//ygiN//msrA//cdd//cedA//yehX//nagK//recQ//
GO_0006886_5	araA//fimB//manY//trpS//tynA//sapD//lsrK//ampE//yjiY//tatC//ampE//
GO_0006928_3	trmD//opgH//yggD//waaO//yehT//glnS//ldtC//nadB//sapB//rcnB//zapC//speF//moaB//hemF//rplC//cpsG//ldtE//prpR//focB//yfcQ//hycI//metK//ppiC//torZ//hha//rfe//lacI//bsmA//dps//rph//lacI//flhE//flgI//hsdM//yidC//abpA//glpD//polA//trpS//umuD//bfr//alkA//phoE//lptD//
GO_0006935_4	gpp//nrdG//yghW//nadC//yehX//gadW//sgrR//nanC//menD//yjjV//trpD//atpC//artP//cmk//dnaJ//yiaT//
GO_0006950_3	yojI//argT//lpxC//manX//cyaA//dcp//xylF//tcyP//asmA//yihX//tdcG//rpnA//yidC//msrB//proW//ydhQ//ompT//ompN//adhE//mdtE//argB//yfdC//trpGD//qseC//chbC//agaB//dcyD//pstA//hemD//torS//mscM//yccA//cycA//dgcZ//gpmM//emrK//rpsI//hofQ//rimK//acrZ//ynhF//cmk//intF//greA//ygjR//etk//ycgB//rpsO//crcB//gltP//priC//tus//pcnB//prmB//narQ//ygjH//ybiW//yjbG//grpE//tsgA//phnO//greA//wzzB//kdgK//ccmG//fabH//tomB//ygbI//tsx//djlC//hemL//ulaB//rhaD//yhjX//hcaC//nusG//fliM//ygbM//aaeR//prmC//iscS//yehZ//secY//yacG//thiL//yihU//lptB//htpG//waaG//cynS//folE//yihX//envZ//bssS//moaC//ompF//vsr//yahD//ppk//plsC//ruvB//tnaA//creB//secG//murC//ccmA//rnhB//glpG//speF//ung//yahF//rlmC//rpsE//tusA//yhcH//uspG//rffM//ydhQ//trkH//cynX//mcrA//gsiC//secA//rplP//rluC//rbbA//dpiB//sdhD//ydcI//cra//nhaA//nikC//dapA//nirC//ldtB//htpG//truC//yeeY//sbmC//ortT//rlmB//maa//envC//mutM//ynjD//yciH//feaR//rplE//ybiS//gnd//argK//dgoR//rpsP//yejE//rhoL//tyrR//mreC//tdcG//ldtE//intE//phnJ//hyaD//yjhB//nuoN//fabH//trmI//dtd//plsB//yrdA//cheR//napF//abgR//ygfA//ftp//holE//mhpT//rpsQ//mdtM//accD//yegT//yciH//ssuE//yghB//rng//pheA//plsC//murJ//malG//sdaA//kch//yaiW//zraR//barA//gspE//ycjD//ybdO//nudC//yccS//yqiH//queC//ugpE//aidB//ydcM//mdtD//rihB//cysS//basR//fadI//sanA//galF//coaA//elfA//gudP//pnp//yihI//murF//recA//cdh//wecB//putP//msrQ//rlmD//fadE//yobA//yhbS//murR//essD//psd//cbrC//ybaT//ssuD//ydiR//chpS//sodB//trkG//fliK//ldtB//asr//patA//gor//purN//ybiI//btuC//acpS//yidE//yqjI//narP//ais//menA//puuB//epmA//bipA//nlpA//hycB//rlmA//csdE//pncB//iraM//murF//murE//nanK//menF//dacC//dadA//entA//glpC//leuB//hrsA//glpT//ccmF//spy//uidA//glnP//hypD//dtpC//hpf//narY//asd//fecA//modC//rlmE//plsX//yjaZ//ralR//betT//mdoG//astC//moaD//hisA//rlmN//surA//barA//pgsA//dapA//pgaC//glgS//wzb//gsiC//polA//fdhF//mscK//hemD//cyoD//ycaN//umpH//accA//phoE//phoB//hcaD//ykfM//cheB//aroB//lolE//yiaB//rhaM//tatC//cyoC//lsrK//insB-2//gsiD//gatA//tnaB//lacY//yccX//fur//rsmD//lpxC//hofQ//insI-2//galP//yihR//gatZ//lasT//mdoG//murF//rsmE//endA//shiA//ligB//pphB//amiA//dgcN//fumC//yhaV//ybjG//pyrB//galF//araB//arcC//tamB//mutS//ygbI//rplP//ycgB//yghW//fucI//yfdO//hypB//ibsC//nanR//yjaA//ahr//pcnB//uhpT//ldrD//flhE//ycjR//torA//hybF//speA//yegT//ytfR//csgG//emrY//yoeE//yqcC//yjjX//xylG//yjbB//decR//ulaD//fliZ//tsgA//sppA//thiC//dmlR//pphB//pgrR//cspB//alaS//dxr//gpt//adhP//ugd//ybiJ//pntB//slyD//rpoA//insI1//yadV//rrrQ//yahI//bhsA//sdhD//gadX//yqiJ//comR//ydjM//secY//araF//glnD//acrA//lolE//ybbN//carB//glvC//nrdR//dtpC//bamC//rpnA//rplN//yejF//rplP//secY//ybhG//cysN//ygfZ//yjeH//selB//talB//dnaJ//arnB//ybaL//mntH//lolB//entC//decR//gspE//pspG//ogrK//betB//dacA//guaA//fabZ//glrR//yihQ//mhpD//appB//asmA//metC//rutR//rnlA//recR//amiD//yiaF//nrfF//dam//yigB//ydiR//pntA//yihT//speC//rcsD//chbR//mhpT//appY//yaaJ//yqjA//yggF//yajQ//phoQ//btuE//hdhA//carA//hscB//fimI//tufA//rzoR//napA//alaE//leuD//ygdG//
GO_0006952_4	yfeR//gstB//ldrB//yiaM//mprA//waaS//clpP//ttcA//rlmF//torS//atoB//scpC//
GO_0006970_4	frlR//tufA//lpxK//wzb//rcsD//proW//malS//umuD//sufC//dsdX//tadA//arnE//rdgC//chbB//glnS//yafQ//topA//dcuC//yjaZ//nrfA//btuC//dppF//dgcM//nirC//efp//crcB//nuoI//minD//argR//yeaV//yeiG//solA//ilvM//mdtD//ulaD//ychF//intE//ypdA//
GO_0006972_5	ybhP//ascB//pdeR//cpdA//gmk//yhcF//opgG//glcF//dgcM//yqaA//yqcG//sthA//frc//ssuB//
GO_0006974_5	ynbB//ybiH//gyrA//appA//zapC//hdeB//uspB//murE//surE//feoA//ybhR//uvrA//crl//yebC//bioA//ggt//tehA//pth//glcB//gltL//yeaG//nagE//mcrA//dhaR//putA//ghxQ//dnaJ//melB//carA//caiF//gldA//ydjK//uidA//ispF//ampE//flhE//fis//rfaB//gcvH//yeiL//glnK//mdtC//fic//rutB//kdpD//nimR//artP//wcaC//fdrA//rclC//nfsB//yahN//yqjI//ydaV//lpoA//mqsR//yadC//flhA//yfiE//clsA//fimH//efeO//wecC//fimI//dgcT//srlE//gntT//torZ//yahI//glnB//frlR//crfC//bglX//holE//murI//prfC//gpmM//hscA//rbsC//mdtQ//yihT//nsrR//ppsR//lptF//trkG//pyrE//tonB//mdtE//tpiA//agaI//torY//yeiG//rcsD//ribD//secF//ulaF//sodA//aer//ybdN//envY//rdgC//uacT//intF//pdxY//aroA//fadK//yfcF//lptG//yddL//csrA//rpoA//flgB//pliG//uspC//acrD//yfbV//speF//gpr//nemR//ycbU//lysA//folD//cca//talB//abgR//gloA//pdeK//yciA//phoP//cspI//dhaM//pheM//tolQ//ydiR//narG//ispF//cpsG//tsaD//gadE//puuA//purD//bsmA//insE-1//def//glnB//emrE//mhpD//nth//yciH//comR//yciT//galP//zntR//trmL//dgoD//rspB//yfiC//yeaK//nusA//ttdT//abgB//rclC//ynbB//lacI//yahN//recB//wcaB//phnN//yehC//dgoT//qorA//uvrA//yehC//glcF//gph//yfeX//fdhD//fpr//prpD//hybE//kdgR//araB//ldrD//yhaO//ybhI//ssuB//xylE//nuoG//yjaZ//yciH//flgM//rlmG//trpD//waaG//gyrB//frwB//rimK//speG//ycjP//fcl//yjbG//insB-2//leuC//thrS//elfC//mrdA//yhbS//cdsA//yjiY//orn//lpxT//epmC//cusR//nei//pyrD//hybE//nrdR//pyrF//ansA//thyA//nemA//nanR//ugpE//ygjH//lysR//otsA//yfhM//epmA//agaR//apaH//cnu//acrD//hybE//ddlA//mraY//gatY//pdxK//zntR//cysK//yhcN//pbpC//leuO//scpB//fixA//cutA//fkpA//
GO_0006979_4	trmH//tufA//iscS//yhjA//ihfA//hyfR//cysG//ygcO//rnlB//ugpB//ydbK//kbaZ//metL//cysE//mdoG//cdgI//sfmC//panE//chbF//ilvD//lipA//zur//rpsR//rhaD//flgD//ydiQ//leuA//opgB//alsC//queF//grcA//hemD//paaK//avtA//talB//uhpB//nikD//tbpA//decR//arnE//cysH//ybeQ//gatY//cusS//nhaR//cdsA//murB//intF//deoA//rplO//dmlR//ychF//lasT//atpA//nrdR//mscK//folC//yoaB//tatD//hrsA//rssA//lgoR//pnp//sapC//lpxP//feaR//rfaD//coaA//hrpA//entS//aslB//spy//rpsM//ybjX//glpC//gudD//yqgB//malI//folC//zapC//yraI//holD//narI//tyrR//speE//rnr//
GO_0006986_5	phnL//yigB//miaA//frwD//yhdW//rbbA//
GO_0006995_6	carB//sfmH//
GO_0006996_4	elaA//trxC//moeA//hypE//yihL//creC//rutC//ybcJ//kdsC//bssS//ygfZ//bdcA//frmB//hypT//mlaD//rluD//ccmA//aroL//mioC//ulaD//cysN//atoB//fhuB//cobT//ydjL//nrdG//yahN//ykfI//acs//yraK//xylG//ynjA//gltX//udk//codB//alpA//hprS//bdcA//nrdG//
GO_0007010_5	ppiC//
GO_0007059_3	gppA//yiaA//nudB//aroC//nuoG//mazG//aqpZ//ybcF//nanT//flgJ//
GO_0007062_4	kbp//tdh//rclA//nanE//
GO_0007154_3	nuoM//crl//rutD//rnhB//yhaJ//rsmE//uspB//recN//yfiR//gpt//matP//atpC//nikB//pheP//yciV//ggt//ubiF//paaJ//yidD//cadA//fucK//mocA//mutL//greA//rho//pykF//yfcR//oxc//fecD//mqsR//yhgF//napB//ybcF//guaC//rsgA//uhpB//argF//rfaF//ghxP//ompG//kdsA//dmlR//acrE//narX//panD//yciT//sfmD//stpA//rplC//arcA//rplT//ibsC//yiaF//aroK//infC//
GO_0007155_3	ugd//otsA//cusC//mtlR//queG//rhlB//fliD//rimI//casA//tusB//lrp//ykfI//rffM//yahO//nikR//acpP//nikD//ulaR//gcvT//hisS//katG//nadA//lsrG//mltG//ftsQ//yphF//murE//ispF//ptsH//pgsA//ppk//yhdJ//hisB//yggX//miaB//
GO_0007163_3	ybdH//
GO_0007165_3	ttcA//rpnA//nagB//yjcS//nadB//hxpB//ykgA//serB//metR//ydeI//murG//pinE//ygfI//cspE//araB//intF//pheA//hchA//yphB//acrZ//yhjG//ftp//rffM//appA//cysD//modC//mcrB//mmuP//panZ//purL//manA//rhaD//uvrA//argI//gadB//xapA//cbpM//hdhA//aroB//rlmI//ddlA//frvB//glnB//sgcE//lit//pphB//afuC//phnO//acrB//rlmB//map//yhaV//hokE//agaR//abpB//panB//secA//corA//nrfA//ycjD//
GO_0007166_4	mdlA//gpmM//recQ//umpG//
GO_0007215_5	sppA//dgcJ//yceD//pitB//
GO_0007231_4	ydjE//
GO_0007234_5	rluE//
GO_0007267_3	rpsH//feoC//
GO_0007346_6	yjiM//mdh//mtn//
GO_0007584_4	ivy//ygiS//dpiA//glnK//
GO_0008033_9	cheA//fecC//hcaF//ftsK//acnA//bssR//lsrC//ubiI//cmtB//dpiB//aroH//fucA//fabZ//fecC//nagE//yfbS//ariR//hybE//garL//yccS//idnO//rplN//yeiG//sapD//sstT//tufA//udp//ptsI//uacT//malZ//ygaH//ygiN//tolB//yfbV//mdtQ//yraK//gadA//acrB//lacY//guaD//nikB//bioB//proC//rbsB//zwf//dsbB//sgbH//cca//tauC//fdoH//ccmF//uvrC//pepQ//accA//bioD2//mntP//
GO_0008104_4	yqeF//tktA//serS//rrrD//yagI//tpx//citX//yraR//glrK//frr//yraR//ddpA//yeeA//rbsD//rzpD//ycdX//dsbG//groS//yiaA//insF-1//rlmE//acpS//mqsR//rpiA//abpA//glpF//rluF//rplO//xanQ//glnB//sgcC//srlR//hldE//tolA//srlR//insI-1//solA//dicA//kdsD//rplE//menB//trpE//dtpB//rssA//trpD//hrpA//rplX//yahO//mdtI//
GO_0008156_8	hsdM//cmoB//ttdA//carB//gadW//yadC//
GO_0008202_5	csgD//
GO_0008206_5	abpB//
GO_0008213_7	mdfA//rpsA//arnF//bglX//dcyD//oppD//rplO//bssS//
GO_0008216_5	glcC//yafQ//carB//
GO_0008219_3	garR//gloA//phnN//matP//sdaB//rplF//nrdE//yraR//htpX//secF//cysM//rluB//panB//fadE//ompN//
GO_0008272_6	tyrS//yjaZ//melR//dicB//aroA//clpP//folM//
GO_0008295_6	yjiM//ruvB//coaE//
GO_0008299_5	rrrD//dpiA//pcm//yihX//napB//yidK//
GO_0008360_4	ydiK//pdeK//yeiG//otsB//mug//rplI//ybdN//ydaC//seqA//priA//lysA//ivy//napC//galR//feaB//yfeW//
GO_0008361_5	ygfA//tyrB//aer//xdhB//gabP//
GO_0008380_8	tolB//
GO_0008610_5	torR//ldtD//yehB//ydeP//rcnR//lsrC//folA//zapB//gltD//mltD//lgoR//pheP//rcsD//yhdH//speF//ypdA//hyfR//dxr//ftsA//ghoT//dcyD//gpr//rzpD//uraA//ralR//srlD//eutR//yeeY//ulaC//abgB//gspJ//ydjM//ssuD//yfcP//yagG//dcuS//dam//dsbC//gpmA//bepA//yhaO//groS//ttdR//gmk//cpdB//dsbB//sucC//yidH//stpA//fabZ//yecS//clpX//tnaC//ydfG//nfi//plsX//prpR//feaB//rplN//lsrB//ispF//prs//panF//yfhH//ssuC//yqiG//rlmL//
GO_0008614_5	dusB//nrdF//sgcR//emrE//tyrR//motA//ampD//
GO_0008615_6	glpR//mrcB//hybF//queD//gntK//srlA//msrQ//
GO_0008616_8	ybiS//ftp//yhdH//yjiR//glpA//speA//thiD//
GO_0008617_9	nadC//
GO_0008643_6	sodA//yidZ//ycaN//uvrY//cueO//gshB//grcA//ccmE//adiA//cutA//oxc//solA//chaA//sbcD//elaB//selB//hisP//mntH//bioB//cdsA//pflC//xthA//add//speD//ydjE//caiF//glpT//yejB//yiaL//appB//solA//purF//yoaB//cspC//smrA//tilS//degQ//tynA//yajO//yjhI//nrdA//lspA//rlmD//dnaC//ihfB//livM//eco//insK//agp//zapB//yccS//ftsH//paaK//ubiD//ybaL//zapD//ycfH//galM//gmk//rfaQ//iaaA//phoB//ydcS//tag//tldD//cbrA//zupT//insB-2//ppiC//acnB//acrZ//helD//pldB//rapA//tynA//yhjV//pgaC//yajD//nimR//ppiC//nusG//yghU//dgoK//frvB//hybA//sgrT//lpoA//murD//xylB//gatZ//bioC//ybbN//fepG//yigL//cdaR//rfaH//selD//lepA//mdtF//codB//argG//yabI//ybjD//rbsK//ompF//cspA//araH//rdgB//ubiJ//ygcR//phoU//lamB//ndh//aceB//
GO_0008645_8	lgoD//ycbV//waaZ//wecE//ycdX//csiR//alsE//deoR//chbF//frmB//uxuA//ygfA//hycB//ydcI//dnaJ//cysP//yfaX//betB//rfbC//alaC//bamA//mreD//ibsC//gabD//
GO_0008652_5	waaP//arcA//ycaO//rarA//yqaE//tatD//yigB//rutA//yhbY//atpF//pntA//mltG//selA//ruvC//zapB//ilvL//malF//minC//murJ//yfcR//glyS//dsbA//yhgH//ivbL//caiE//shoB//yajL//ccmF//dcuS//hrpA//ygiW//cusA//ybfA//secF//arnF//uxaA//fucI//coaD//dnaN//ttdB//nhaR//arsC//glrK//yfcG//cdh//uxuA//speD//cpoB//gsiC//hemD//moaD//rplT//pgm//fdnH//xapA//yphF//gldA//sdhA//trpS//ilvM//yejA//hcaT//torR//trpA//adiY//prs//feaB//kduI//cbrA//nuoB//zntA//dsbA//hxpB//rpmA//rplD//rfbB//thrA//pcnB//ybgP//livF//qorA//endA//ackA//ppsA//ushA//manA//polA//nagB//elaD//ypdI//metF//pabC//coaE//nanC//ilvM//glmS//cusC//yafQ//hemD//uidR//mazF//mscS//fbaA//ydeO//lipA//rraA//prpR//yrfG//tyrA//ccmC//allB//hofQ//yggD//casD//
GO_0008653_5	rplQ//rpnC//rcnR//emrB//xylF//moeB//aslB//rbsC//phnJ//ycgB//serS//yidP//rayT//
GO_0008654_5	csrA//artI//ymjB//murR//elfG//lptB//cpxA//cydA//recA//paaJ//accA//purB//cyoE//bdm//chbC//etp//paaD//rplO//ycfL//nadC//queD//yagG//frmB//kefG//tyrS//yoaB//ribD//hemB//bcsQ//clcB//cheA//gpmA//hicA//rclA//fre//
GO_0008655_5	ghxQ//iscX//yhgF//yjjU//frr//flgK//yqiJ//
GO_0009050_6	yghB//yqcC//
GO_0009052_6	lsrC//dgcN//malK//solA//sfmA//ibsE//ybaL//
GO_0009056_3	mlaB//garP//yajL//ftsA//atpA//dgcQ//accD//rdgB//mscK//creC//tdcB//ydcM//glxR//mdoG//fucI//actP//mzrA//rlmI//truC//arsB//murB//hisC//cpsB//hisI//alaE//glpA//folM//mdtP//opgB//rlmJ//pgaC//mukB//ampE//hslV//purF//recC//trmI//rfaF//ugpC//pyrL//glpX//fryB//fieF//hybO//waaL//ftsZ//lysR//dld//hns//ydiP//norV//lepB//sdiA//folM//rpsH//htpX//folA//gadE//yehZ//selD//ftsX//hyaA//yebS//aroD//pcnB//thiI//bolA//cobB//yiaF//chbA//lpoB//dusC//rpsE//sucB//nadC//otsB//ybbY//yiaB//sapF//csgF//cof//ybhD//soxS//ygeA//wcaB//fepB//ispH//cueR//fmt//pflB//caiT//livF//yciV//yhjC//lsrA//dctR//malE//cobB//hemF//selU//srlE//lamB//mglB//phnP//fruK//serC//mfd//rnpA//yhfS//hisF//mtgA//rhaA//cfa//nrdI//dnaT//radA//yjjU//yfiF//yhbO//torC//waaL//hypT//moaE//speA//rfaB//potE//recX//osmC//yahB//trpGD//csdA//frlC//pgk//leuS//ygfA//yihS//yqaE//decR//sapF//grxD//mrr//frr//entS//uhpT//maeA//potH//rsmE//potB//deoD//eutR//yjjI//dhaR//yjgX//sdhE//phnC//yjhP//yieF//lspA//elyC//dgcM//luxS//ldtA//glmM//ybfA//orn//lpcA//yieK//mngB//guaD//mntH//cyoB//recQ//treB//tabA//garD//polB//tdcF//mdlB//ccmH//ytfT//rplQ//lasT//ypjD//ypdC//ybdO//yafO//srkA//intE//gntU//lpxL//envY//ilvH//tdk//gltK//cysP//sgbU//gor//glpG//prkB//dmsA//putA//sanA//mltC//rnpA//yhcN//menH//mrcB//cysU//gph//insI1//holA//frdD//cynT//cbrC//mtlA//menC//gltB//menA//bglH//lysP//hybC//tktB//cydC//satP//ispU//narK//malX//gpp//pdeD//holE//secD//pgpB//ispH//torD//hpf//phnM//glsA2//yqgB//rpsK//proS//yqcG//tesB//srlA//ymjB//ynhG//fieF//sspB//uvrD//opgG//tsaB//insF-1//yqiI//nimR//symE//ydcT//nfuA//lptD//glcF//bglH//sfmA//tesB//insI4//allC//thrA//mrp//abgA//hyaD//phr//mutM//ptsH//ppiD//mug//ybjC//zitB//pphA//msbA//rpmH//potB//phoA//speG//rhaR//intE//gpsA//gapA//glpF//potC//lysC//tsaC//rsmD//phoB//hyi//fdhF//ccmA//prfC//aidB//ynfH//elfA//glcC//ygbN//gltD//sseA//yjcS//mltD//rpmC//yihW//ppiC//zraS//ebgA//groS//accB//wzzE//hpf//cusB//mepM//etk//sucA//yejF//astC//melB//nuoB//cheB//gpmM//murI//hypF//leuD//pliG//tgt//tktA//glnK//yafN//chbG//cyoC//phnC//fecB//idi//panE//glgA//infC//purN//lolD//dgoT//rfbD//gudX//yihV//queA//ychF//yiiD//paaG//gatA//rfaB//yjjQ//xapR//sucB//ulaB//fdhE//deoB//rffT//alaE//nimT//fecC//wzb//ydiF//yehT//abpA//eno//glsA1//rsmI//kbp//xapA//ybaK//ybiW//hcaC//uvrC//nlpD//xisR//oppB//alsC//nrdA//lasT//lgt//yoaB//kduD//minC//hyaB//sufB//cyoD//htrE//torD//fau//narJ//eptB//paaC//rplF//yjjV//yfcF//chaA//ftsY//ispU//ilvI//yraN//kbp//yieK//rsuA//rimK//pitA//ygeW//purA//sxy//viaA//emrE//ruvB//yajR//secA//rffM//pyrC//ygiB//
GO_0009057_5	glxK//narQ//rhaB//hisA//fnr//rfbD//ybjN//yidR//yjcE//uxuR//ghrB//paaK//oppA//pdeH//csdE//tatC//chpS//sbcC//yciF//rpsG//ulaG//ortT//ydfG//ddlA//malG//ydfD//cobC//insI1//dmsC//hycA//wcaB//purC//ralR//agaC//uxaA//rnr//glnL//tus//yeaV//gloA//torA//ytfP//mntS//fieF//hcaR//priB//lgoT//tsaE//yjaZ//ygeA//trpGD//astB//rzpD//yagI//
GO_0009058_3	cyaA//yajR//rhmD//pgsA//ybbW//phoB//fumC//metN//tpx//hldE//ycjD//rhlE//ydfH//nuoM//arnE//avtA//casE//der//dcuD//rseB//cstA//fliK//mhpB//entH//citX//zapE//nac//malE//aidB//lolC//pdxJ//fadD//ihfA//sufA//rplC//hisP//sgcE//gsiB//mhpC//rpsG//kdpB//rsmJ//exoX//rsmB//lpcA//miaA//rzoD//chbA//prc//efeO//lolB//aceA//gntR//nrdH//rsmE//pbpG//mdaB//yecS//xylF//gmk//entB//potG//exbB//rfbX//argF//potA//yidE//pdeD//nrdE//gyrB//ghxQ//pspF//rppH//rsmB//elfC//dedD//yibT//glcB//alaS//panF//ftsB//fepA//trpA//prpD//rbsD//aroA//araD//yaiP//ccmG//frdA//adhP//glsA//yfdO//syd//nrdA//ihfA//sufA//hiuH//hofO//dacB//mdh//rpsT//recB//yihO//metB//frmA//yfhM//phoB//arnD//puuB//xerC//yehZ//asr//ebgR//fdnI//fes//pstB//yqaA//yagF//slyD//ydeM//fabR//lgt//modC//ssuE//marR//lpd//pdeL//xisE//frdD//aroC//moeB//ycdY//yccS//moaD//yeiL//dkgB//flgC//mntH//acrZ//treC//patZ//csgE//ptsI//pepD//glxR//caiD//ydfG//rnb//arfB//upp//hupA//glnB//xerD//glsA1//lptF//yhjR//ygcO//yfgO//dnaQ//fliM//acrA//araF//mraZ//mutH//nrdB//dhaK//kduI//rpsQ//thiE//yqgB//argA//bglF//gpmM//yhdX//potA//metF//thiG//yahD//ychF//mioC//sseA//alkB//sulA//thiC//narH//thiP//nhaA//ung//csrA//atoC//pth//yejA//rplO//gcvT//ulaA//puuC//yhfS//potC//yjjG//yidH//obgE//mdtE//ascF//uxaC//kbp//casD//tnaC//rsmD//entE//fepC//insI3//lgoR//setB//ydcS//msrP//ldrA//ubiA//frwD//hypE//nanT//rzpD//ydiP//trmO//rimI//yjaZ//ybhR//rzoD//yieL//hisP//aroE//pgsA//acpH//ftsN//exoX//lsrR//bamC//yjjW//nfi//fadE//nlpD//gadA//fliZ//dnaK//mrcB//flhC//rimJ//ytfR//kbp//sgcR//ibpB//sucC//iscX//csgF//ydcZ//rplI//hrsA//ybhA//holB//iaaA//hybO//serC//ydiF//yddA//nagE//metK//nmpC//mcrB//dcuR//yfeR//rfaB//ybiI//tusE//ibsD//acpS//gyrA//pgpC//baeR//hemH//relE//folD//cdd//pdeK//gatZ//bioD//fabZ//nanE//ogrK//yihQ//yjhB//napC//fimF//ybiJ//hns//rsmG//vsr//rhtB//ptrA//iscU//yigL//cho//yidL//atpA//fabR//pyrC//narY//apaH//yehW//iscU//argS//malG//ruvA//fdoH//yrfG//slt//yciK//nlpA//erfK//tatE//ada//pheS//minE//kdsD//yegS//recJ//yafS//nrfA//yraN//rseC//fdoI//entH//degP//yehP//kefF//mdtN//proW//mhpA//rzpD//yafS//nudG//ihfB//miaA//secA//hyaD//ftsZ//recB//yhfK//epmA//atpH//araG//ynjA//alkA//uxaC//rsmD//aroK//yhjC//yejA//yheT//nagD//uspB//mntH//sucA//sfsA//hokE//dhaL//cpsG//yfaX//yraK//sbcC//xseB//amiA//dadA//yhdX//lyxK//cbpM//afuB//ydcT//ydiF//yfcG//yqeA//pckA//uhpT//ccmD//crl//potH//frwC//thrS//preT//pck//cydB//bluF//ygfZ//ridA//nfo//casE//hybF//hycA//lpcA//phnN//rhlE//malI//waaB//atpG//argH//yejA//mscS//der//dacC//cheZ//tqsA//trpB//ychO//rlmA//flhA//recD//fecA//hisQ//nrfD//tauD//gltP//pepB//ubiF//ydcR//cmoM//nrdI//pflA//rpe//hemD//nrdB//yoaA//fis//fdhD//alsC//dsbA//ycfL//ycbB//dauA//higB//ydcP//hslJ//xylB//ampG//epmB//fdrA//sodC//yqcG//betA//yifB//glmU//rclA//rzpR//tsf//cpsG//xylG//katE//csdA//yrfG//ybcJ//gstA//ompF//purT//flgH//srkA//lpxK//ulaE//rhaD//mqsA//yihL//mutH//nudG//casD//entF//ampD//grpE//serC//lplA//lspA//uxaC//yiaN//mdtC//yneL//yihW//nuoN//gluQ//yjiA//sgcB//dmsA//kilR//nagC//ldhA//rcsB//rnt//malZ//napF//pppA//yehT//ybeQ//mtr//bfr//fumC//leuA//yiaB//acnA//fimE//dnaJ//yegS//rpsD//lysC//dnaC//fadH//feoC//mdtL//sohB//ilvH//yiaL//ychH//cdsA//hipB//rclB//metG//ymgF//ybdH//uxuR//cvpA//hemB//prmA//tpiA//rpsH//ybdM//rpsA//msrQ//dsdC//nhaB//msrP//znuA//fadD//fimH//crcB//pgpB//pyrF//rhaS//chaA//ydbK//matP//fic//narX//recQ//rpsB//lolB//trmB//rfaE//nikE//rluF//idnT//dmlA//iscR//metG//xisE//deaD//yahF//yqiH//hslV//dauA//ubiX//dsbD//fruB//yehT//yehX//setB//tqsA//gyrA//dppC//elfA//ilvH//uspG//shiA//rcnB//wrbA//cobC//waaF//ymgA//ydaV//napF//srkA//ade//mhpB//ihfA//ydjL//ydiV//bglX//miaA//ttcA//cobB//xapR//ppx//uraA//ilvH//dcuR//recA//atoS//kbaY//ybaQ//iscS//aldB//gatY//moaD//uvrB//eamA//ybiA//rpiA//spy//lpxB//ydhK//accC//acrA//yqjA//ygeV//ftnA//frc//aspS//hscC//amiC//rssA//cusA//hisH//yiaO//yiaN//rbsR//pppA//hofC//hiuH//rof//tus//murC//rna//ampD//yehA//cobB//livH//maeA//csgA//ptsG//lplT//ftp//btuB//rplB//metF//yfaU//phnO//yeaK//aroA//rplQ//ibsC//flgA//tsaB//arsR//ulaC//dbpA//ybaL//dppC//tnaA//ydjH//ldtD//narV//ybiA//recN//yiaN//bglH//mazG//csgE//ydcR//pbpG//rsmD//deoC//hyaB//sgcE//amyA//cspG//arsB//rpnA//rimI//hemE//aroE//clsC//sgcX//nagC//osmF//argH//treC//pdeD//rhaS//paoC//ubiH//kefC//glpR//hcaD//arsR//manY//ais//trxC//pgm//rpmC//ibaG//xanQ//ygiS//yfbV//hprR//thiP//ftnB//entA//yhaM//pdeD//rsmB//nagE//mepM//rodZ//hcaF//csgA//rhmD//ydeT//nemR//hybE//uspC//trkH//hemL//yjcO//yfcS//yfaU//pstA//sdaC//rimL//lspA//tyrR//sdiA//yidR//hscA//mntP//glcB//scpC//ribB//ybiA//hemN//arnA//selB//murC//adk//yqjI//hicA//ygbN//tusD//oxyR//rpsJ//nrfG//rnt//flhC//lasT//allC//sdaA//yoaA//araD//fre//gloC//entH//fmt//asnC//cadA//yciE//
