#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	tusA//rsmJ//fixC//lptE//
GO_0010557_7	mmuM//asr//bioP//queC//secD//deoC//yjbH//trmI//fliK//birA//dicB//map//yidR//mntS//rpsO//rdgB//fixA//topA//acs//parE//ulaG//torC//purD//infC//yiiD//yaiV//rplE//srlD//gstB//secY//uvrA//yoeE//pykF//thrC//nudC//glcE//ileS//lgoT//gatA//zur//rnhA//lpoB//murB//hldE//ybjX//dppA//fadL//trpR//ralR//fimI//pldB//queE//hyaC//erpA//yidD//glnE//parC//flgC//pck//gudX//secD//acnB//frdD//accB//fimB//yfjR//prfA//chbA//fhuC//idnO//mglA//dacD//oppB//rpsP//hcp//accB//paaD//lexA//yciH//gltD//frvB//galK//
GO_0010558_7	rsfS//fepE//yieF//hsdR//dgoK//cadB//lsrC//ahr//purN//waaL//livG//betB//acrF//yehC//xisR//yebK//sucA//hldE//ybdO//argO//waaP//atpD//csgG//gltD//mqsR//bioA//ttdR//yphC//ycgR//ynfL//ilvB//elaA//elaA//xanP//ybjI//ycjU//fruA//adiA//yajR//fic//yqiG//patA//tomB//mltC//rsmA//waaU//rlmC//ygeR//insA-1//serA//napD//srlB//yfeR//dppA//nupG//ebgR//prmB//uvrB//zapD//fmt//gpr//atpB//rmf//sbmA//rlmN//ydcR//hisM//dps//feaR//argD//adhE//gspJ//rffC//pdxY//hupB//glpB//trmI//ybiV//seqA//ybbY//tap//kefB//ybjI//pgaB//rsmH//essD//pdeR//lrp//csdE//elfC//ydiF//recT//pgpC//pepD//arnA//intF//phnC//mdoG//pgaC//ynfL//ybaM//feoC//yhhY//opgE//yeiG//ygcW//avtA//narZ//rutA//skp//msrP//ecpR//solA//rseP//adeP//yedP//tufA//agaD//gatD//dppC//
GO_0010562_7	potB//deoC//
GO_0010563_7	rsmF//livF//
GO_0010564_6	yggP//puuD//sapB//fetA//mltA//
GO_0010565_6	yedP//deoD//pyrL//mobA//intS//ygeR//
GO_0010604_6	cyaY//fucO//spoT//mrr//mppA//ung//argR//yebS//yfaU//adhE//cysU//rlmC//queD//uvrY//atpB//yjbE//pal//idi//chaC//ribB//ruvC//mazG//fre//lysC//pncB//yfaL//sohB//fecC//rfbC//acpT//accC//mhpA//surE//feoC//djlC//dnaT//rfaE//glnD//frdA//tdcF//bhsA//acnA//hcp//mreD//lysS//cyoB//cusS//recD//ychH//sgcA//waaL//waaA//aaeA//sucC//acnA//kilR//ycjW//bipA//rhaB//icd//rcsA//thiD//cynS//yrbG//dcuD//fhuB//hypT//nusA//fdnH//elaD//ydjH//gudD//yadM//ampE//selB//rsgA//yjhB//yhdX//yehX//hisG//yhaV//sfmF//glcA//glgP//endA//dicB//ibsE//tatD//gltP//ydiR//rpsE//rplS//eptC//
GO_0010605_6	rpmH//rplX//alaC//fucK//rlmM//lnt//dgcE//gltI//glxR//ubiD//crp//tusE//solA//sgcR//entE//ubiB//acrB//argS//yeaV//arnT//ompR//lolB//lipB//yijE//lpcA//zinT//tyrS//pck//malF//secA//spoT//ugpC//ycaN//citE//frr//fecA//ytfR//macA//insH-6//yqaE//yfbS//zinT//ubiX//entF//tyrS//cusA//nimT//sfmD//yjiR//xanP//argR//purN//yiaF//speC//nikE//kdpE//atpE//rffG//pstS//acrF//rnhA//ydfG//evgA//artQ//rcsB//ymgF//ung//fhuD//wecC//envZ//hyfC//nikE//yebZ//ybiV//cheA//abgT//bamD//speE//ydcI//lplT//oppF//zntR//thiD//yiiM//fabH//arfB//malF//paaH//hcaF//gspF//narK//selB//metQ//pyrH//rsmE//metC//sbp//yejA//yafE//mqsA//lspA//narG//nikE//betI//arnD//narY//rph//purR//glpT//tauB//dppA//gutQ//dacB//ilvE//uacT//deoR//psd//yieH//phoB//pspA//mraZ//torA//uidR//zapD//ybaO//recD//uxuR//zapE//mdtK//alsB//moaC//yfcP//ydeM//yadC//ygaH//modB//ynaE//yjjX//prfB//entF//galS//kduI//rfaF//gpp//
GO_0010608_7	ulaF//yfiR//xseA//rluA//ascB//dxs//ycbV//recD//elfD//rssB//ibsD//mqsR//ldtB//mlc//ccmG//fhuF//oppF//sohB//tldD//elfD//pepT//hyfF//rlmA//rlmC//amiD//flgC//ykgM//yihP//fabZ//yidQ//yqgB//pflC//lipA//rplR//mntP//yeiG//abgB//nsrR//pdeK//sulA//rpnC//ddpA//torC//ydjH//
GO_0010628_7	yfiE//trpC//fdoH//dtpC//agaR//tolR//ftnB//intE//yhbS//trmB//mtlD//srlB//dadA//rihC//insI1//sbcC//potH//intF//dcuD//yfdS//ftsY//rlmD//yhbS//hycB//hemE//yjbE//nrfC//pdeL//yajL//hemE//glnS//acrF//yejF//recE//ydjL//yoaB//pstA//fmt//ydcP//csiD//rzoR//ulaD//elfA//flgI//tdcA//nepI//hupB//waaA//nrdD//ompA//entC//dnaQ//msrQ//uvrB//flgJ//rplJ//argA//cedA//rpsH//atpB//rbsB//wcaJ//yieL//nikA//lsrD//evgS//caiB//rpsL//tnaB//dnaQ//ppiA//iclR//lsrG//lapB//ebgR//relA//ftsE//rfaE//emrK//murJ//sgrR//nrdH//murF//
GO_0010629_7	argD//glcF//hokB//ccmC//lpxP//sucD//pheS//rfaC//lysA//hflK//dsdX//otsB//bioD//ydeO//yebC//rfaB//thrS//gntP//ligA//csiR//tyrS//alsK//dusB//osmE//arsC//etp//fumB//dgoA//mrcB//ybbN//pbpC//infB//lolD//thiI//arsC//rutC//queC//rihC//zapB//kgtP//yfdS//rhtC//aqpZ//rseB//nrdA//tdh//wza//adiY//miaA//dcuD//mreB//glvB//flgE//deoR//rmuC//mdtN//lyxK//yjjX//ybaM//hcaB//ycfL//glpD//casB//dcuD//ygcR//mltD//pheT//tatA//thrC//ydjH//napD//hicA//frlC//tatD//cpdA//hyaB//wbbK//yjjI//mnmE//flgF//ldrD//fliZ//cpoB//basR//yafE//ldcA//dgoR//malG//phnC//aceK//cynT//rbsD//pyrH//ybcL//dcuD//ybcM//fabZ//recO//fbaA//yeiG//frc//murF//yhdX//yraK//tufB//bsmA//rluE//upp//glnH//ycgV//leuA//secB//hycA//sdaC//yphF//astB//clcA//hsrA//znuB//murF//arnE//yihR//ddpA//opgD//livJ//csdA//rfaB//osmF//
GO_0010638_7	gltS//adiY//
GO_0010639_7	amiD//patD//speC//
GO_0010646_5	argE//
GO_0010648_6	rhtB//
GO_0010675_6	panB//yadM//nirD//sapD//araG//yjhP//
GO_0010676_7	lgt//kbaZ//
GO_0010677_7	glyA//
GO_0010699_4	fdnI//ortT//
GO_0010810_5	rnlA//aroF//
GO_0010817_4	ykfI//paaX//yahI//metQ//mltD//cysP//dctA//garK//tilS//yiaO//flhD//garL//yggW//ydcS//
GO_0010827_7	fbaA//
GO_0010829_7	insI4//
GO_0010876_4	yegD//
GO_0010906_6	lpxM//pyrD//
GO_0010907_7	ulaE//
GO_0010911_5	yccA//torY//afuB//
GO_0010921_6	nuoI//yeaD//rbfA//galU//
GO_0010941_5	atoC//
GO_0010948_7	kdsC//proW//
GO_0010951_8	ulaC//ribB//
GO_0010962_7	crr//yedL//
GO_0010966_8	rlmI//
GO_0010967_6	yddG//
GO_0010974_7	rlmB//
GO_0012501_4	fklB//mngA//ppiD//insI1//atpA//ampE//rsfS//rbsA//adiY//ynaE//eutD//gltB//phnH//
GO_0014070_5	yraI//paaZ//
GO_0015031_5	yidA//mepM//raiA//csgB//mdtN//yfdK//asnC//narX//efp//pgaB//pdeH//hipB//ybiH//leuD//macB//ftsY//araE//rplC//alsC//lrhA//insE-1//nirD//dkgA//surE//alsK//yhjV//elfA//hypA//srlR//xanP//yneJ//treC//rffM//rsmG//ssuC//cyoE//mltG//dppA//ssuD//ynfF//pdeH//
GO_0015074_6	ydcP//sfmC//eno//umpH//yeeJ//ykgM//chpS//
GO_0015628_5	betT//rsmI//cas1//ydjL//xanP//
GO_0015669_5	msrQ//
GO_0015670_6	ybdR//
GO_0015672_7	satP//lspA//ptsN//dcuB//ybdH//nrdE//gmhB//purD//btuC//ycbU//hdfR//rffG//fhuD//panE//tehA//surA//argR//fruK//pal//kefG//atoC//nrfA//nrdF//ygaZ//yhaJ//add//elaA//rtcB//elfA//mog//ghoT//insI1//yggW//mdtC//pppA//dmsA//gspE//fpr//trpE//abgA//ygbM//msrC//xylB//
GO_0015673_9	leuC//
GO_0015675_9	rhlB//ytfT//tsr//yphD//osmF//dinI//deoC//yfaE//
GO_0015679_10	cynX//ptsN//
GO_0015682_8	slt//phnM//fadM//cspI//torD//lacY//cueR//ygbL//cysG//yhdX//yehD//tyrS//
GO_0015684_9	dnaE//malI//yrbG//rfaE//cspG//
GO_0015685_8	queC//ubiB//mdtC//pinR//acrZ//oxc//
GO_0015687_7	hslO//bdcR//fadB//gmk//
GO_0015688_6	minE//uvrA//thiM//prpB//btuB//glsB//hflK//glk//asmA//dgcJ//rpnA//recF//uspF//tsx//livJ//gspI//yghO//rbfA//
GO_0015689_8	clsA//pta//ghxP//
GO_0015691_9	yihV//agaC//tsr//pitA//
GO_0015692_8	narX//
GO_0015693_9	rfaG//citG//
GO_0015695_6	acrE//narU//umpG//agaC//gppA//yjhC//maeA//mliC//ftsK//yfiR//xisR//metB//srlE//hisD//gloB//dmlR//minD//ppiA//tauA//fruA//comR//phoP//fucI//malE//queD//speA//alkB//puuP//rpmB//fecA//
GO_0015696_6	ogt//rplE//bdcA//citG//narU//cdaR//ybaK//ybjC//rfaQ//tsaB//relB//hscA//yqiG//lolA//ycjR//cadB//rluB//ettA//sfsB//csgD//mhpT//kdgT//yhhZ//dtd//yfdO//trmL//alaC//galR//glk//alaS//dsbA//
GO_0015697_7	btuF//agp//yjjX//ilvD//eutD//hcaE//yeaK//cbl//tktA//zupT//rutC//fkpB//ygaH//
GO_0015698_7	ais//bssS//nagE//degQ//hemC//elfG//lolE//pncB//thiD//dam//arcB//cheR//mdtQ//acrD//csgD//narJ//gadA//nrfF//eutR//dinI//yejA//pfkA//lpxP//entF//idnO//malF//mglB//uxaA//hisB//perR//mhpC//fucK//malK//casA//trmI//menI//trpB//proX//hypC//fepA//yhbY//
GO_0015699_8	mltF//
GO_0015700_8	ftsW//glpK//
GO_0015706_6	lpcA//lpd//ygeW//
GO_0015707_6	eutK//dnaX//sgcE//ubiB//aroA//yacG//
GO_0015709_6	ccmF//
GO_0015710_8	uup//fhuF//
GO_0015711_6	rluD//menC//kdsB//rof//yqaA//ygbI//dusC//ydcM//pgaD//cobC//infB//ynfE//mdtL//waaH//hchA//ndk//nuoE//yjtD//fdhE//pta//afuB//sfmC//dinD//nagE//glgC//deoB//agaV//rutG//yfjR//yidP//gmk//umuC//mtnN//recG//rcsD//puuD//fabR//hpt//narK//yhbQ//potD//atoS//hyfR//rstB//araD//fepE//sufD//mcrB//fimA//ade//yehW//fucP//ybjN//mraY//pepQ//avtA//ybgQ//pckA//thrA//kdsC//clcB//hisF//rpsN//lexA//ompG//ghoT//coaE//gcvP//rpmG//tnaA//selA//cadC//tbpA//sfsA//rpe//fepB//glgA//fkpB//uvrA//mepH//pncB//rimM//cbeA//otsB//lon//ycdX//dhaR//intA//cheW//sucA//lpd//fryA//nadC//uxuR//tilS//argK//rclR//paaG//phnK//sixA//stpA//tdcC//torI//dkgA//crl//ybaQ//rhaM//gutM//agaC//rtcR//dedD//yadK//pcm//pinE//mnmE//amiC//mdh//yciV//thrL//cyaY//infB//ynfE//rof//zapE//lasT//rzoD//dtpB//ybaM//flgK//livH//torR//waaY//waaL//narL//rnlB//bssR//rplO//dgoA//ldtE//cho//rppH//hslJ//lptA//cstA//
GO_0015712_7	yeeA//
GO_0015718_8	ydiR//iraM//tamB//ttcA//torY//metC//pppA//lpxD//fepE//rlpA//yhbY//gntP//nrdE//hypA//pepQ//eutR//cspC//yhfK//ompW//yedA//kdgK//argG//zipA//pabA//
GO_0015721_7	gcvH//rpmF//
GO_0015724_7	betI//araF//fepB//
GO_0015726_8	ndh//
GO_0015727_7	citC//glvB//
GO_0015733_7	rplT//
GO_0015734_6	yghU//elaB//gloB//
GO_0015735_8	prfA//
GO_0015736_9	purR//
GO_0015739_7	casD//
GO_0015740_9	intS//ftsB//paaZ//fhuF//chbF//pinE//ybcQ//narK//pgi//
GO_0015741_10	gspJ//pflC//
GO_0015743_10	yagI//
GO_0015744_6	melR//fau//ygeW//
GO_0015747_6	proA//
GO_0015748_6	adeD//zapC//fadE//lacI//insI1//yohD//yigL//fumB//murF//potI//manA//menD//napF//ribB//potE//
GO_0015749_7	ruvC//dxr//ynjD//fliD//yfcF//selU//dkgA//tpx//corA//rpsK//bioP//hisQ//yafQ//acs//ygfI//hisH//setA//katG//dxr//bglX//sfmA//cynX//hyi//nrdF//alaS//tpiA//mtr//dsbB//gsiB//rng//plsC//nlpA//leuO//gltI//recE//zntR//yidR//aroK//hslO//frdC//puuD//ymfA//ymfK//tomB//ldhA//
GO_0015750_8	yafE//dctR//ycfS//hprS//yaaY//leuC//yehW//dosP//yadM//aldA//elfA//xylE//gsiB//
GO_0015751_9	ompN//elaA//ygeR//ydcT//pflA//norR//
GO_0015752_9	prmB//csgD//xthA//ymgF//narW//ade//
GO_0015753_9	fruB//hyaB//rsuA//
GO_0015754_9	fabB//nfsB//frdB//
GO_0015755_9	glcB//rne//caiT//hycA//puuE//bioD1//relA//grxD//rfe//dgcT//xseA//
GO_0015756_9	elfG//yaaU//
GO_0015757_9	hupA//nuoF//nac//msrQ//rusA//yihT//ydbK//
GO_0015760_8	rluB//
GO_0015761_9	napF//rihC//pyrH//
GO_0015762_9	paoC//
GO_0015764_7	hprS//sspB//narQ//nlpD//
GO_0015765_8	yqiH//hofQ//ppsA//nrfE//
GO_0015766_8	clpB//purD//clpX//bcsQ//feoC//rluC//minC//hipB//ansB//ebgA//amyA//frlA//cpdB//glnP//
GO_0015767_9	ribC//cecR//fklB//gpsA//
GO_0015768_9	aaeB//dgcN//hemB//argC//hipA//arfA//
GO_0015769_9	ccmH//
GO_0015771_9	secM//rhaA//yieK//araB//
GO_0015772_7	hyaC//zitB//yjiY//flgK//yhgF//sbcB//yiaM//ynfL//hisC//eutK//bglB//ecpR//yjjX//sdhA//tauD//dcuR//fimD//
GO_0015774_7	menC//ykgO//ybcL//ndh//uidR//ycjD//
GO_0015778_7	emrE//
GO_0015791_7	ypdF//mrr//yjcO//nudG//nfuA//osmC//mglB//putA//
GO_0015793_7	iscX//dcyD//
GO_0015794_7	yccA//ydeT//ybhD//yfeR//ortT//
GO_0015795_7	ubiJ//
GO_0015796_7	rplR//aldA//gsiD//bfr//
GO_0015797_7	aroE//caiB//
GO_0015800_7	flgH//pdeK//fadL//rfbB//
GO_0015801_7	uvrC//osmY//preA//acpT//torY//oppA//sfmF//yiaO//
GO_0015802_7	livF//yjjQ//deoR//agaB//ubiE//fkpA//frvB//
GO_0015803_7	sgbE//chiP//envR//yedX//trpS//tdcR//mntP//thiD//pyrF//rssA//mdtC//
GO_0015804_7	rsmE//rayT//rbsC//fumA//nudG//insH-6//nrdD//waaU//hslU//pepD//yjfP//glpB//yihW//yajR//cueR//rsmC//rzoD//ybdZ//tdcB//yaiW//ggt//trpE//cvrA//ykfI//rutE//livJ//recN//hybE//ydjE//yhjV//rplQ//fdhE//yijO//
GO_0015806_6	cysK//
GO_0015807_7	dapF//nirD//fliZ//rplT//rseB//cusR//lpxD//ivy//dgoD//mngR//ppsR//arnA//lgoD//mnaT//map//lepA//leuB//lysO//sxy//rihC//yjcE//dgoD//srlD//narW//livK//ibaG//fur//luxS//valS//pfkB//ldtC//mntS//prfA//waaH//dinB//purB//ribB//rpnC//
GO_0015808_8	rplJ//dcd//
GO_0015809_7	yjfP//yfeO//hisB//rplB//dkgB//panC//
GO_0015810_8	mdtM//codB//
GO_0015811_7	pgk//yadI//cstA//murB//ftsW//
GO_0015813_6	amiC//trpGD//surE//
GO_0015814_7	rfaH//
GO_0015816_6	glsA1//
GO_0015817_7	ycdY//
GO_0015818_7	tamB//rfaE//cptB//yajD//yagG//tcdA//ulaC//
GO_0015820_7	rimK//pgaD//ugpE//pnuC//acrF//alkA//yadG//endA//pepN//
GO_0015821_7	yiiM//ldcA//tusA//yojI//chaA//
GO_0015822_7	rutF//mepS//
GO_0015823_7	narZ//lsrA//agp//glmS//dapA//rplR//rcsB//
GO_0015824_7	uspF//queF//
GO_0015825_8	cdgI//
GO_0015826_7	rutF//ilvA//torC//
GO_0015827_7	narJ//mltB//frmA//
GO_0015828_7	rfaC//aspS//
GO_0015829_7	aroL//rlmA//uxaA//yoaA//betT//aslB//waaL//rhaR//cysP//
GO_0015830_7	prpR//envR//frwB//
GO_0015833_6	eno//dapD//xylB//dcuR//rffC//atoS//thiP//erpA//thrC//lysR//yafN//yihQ//hcaT//gnd//nanC//lpd//ugpA//murG//aldA//lolA//thiH//ygjH//uidC//mdlA//rhaS//mhpA//trkA//yccX//dps//glsB//prpR//waaY//uup//ygeA//paaH//fadM//ackA//aroC//artJ//ynhF//hmp//rhaD//yhhY//yidP//zur//panD//mzrA//rimK//pitB//tusC//argR//rpsN//glpB//yjbE//artM//thiI//dgcE//relA//glpC//tmk//yfeX//argR//hypA//rhsD//hybB//msrB//cysQ//sgbU//roxA//pflC//hdeB//setB//pagP//yfcU//fbaA//gyrA//setB//narX//
GO_0015834_7	ytfR//ilvB//yraH//sapB//leuC//
GO_0015835_6	xisE//ptsG//umuD//mug//
GO_0015836_7	orn//xapR//dgoT//
GO_0015838_8	ibaG//grcA//elbB//menB//rnc//yihW//qseC//etp//amtB//fimZ//fic//argH//rfe//
GO_0015839_7	rbfA//
GO_0015846_6	yrbG//phnG//ileS//map//acs//dapA//tatA//nuoB//folP//ftsE//glmU//ppiA//rfaH//fixC//cdaR//umpH//ybbN//
GO_0015847_7	rimM//sgcA//iscX//rplJ//sbcD//rapZ//fdoG//rutG//rluA//hldE//opgD//caiT//nupC//ompW//thiC//
GO_0015848_7	ygfX//nadC//phnP//malK//rimK//dacB//
GO_0015849_6	ydbD//uvrD//fliM//yeeA//rppH//murF//proV//yqjA//yjbF//map//fdnI//tcyL//dsdX//zwf//glcA//hofO//glgP//yjhB//fadI//cydB//ycgR//priB//mtfA//ulaF//bioP//hisA//yhdJ//gltK//gabD//moeA//rhmD//lldP//pinQ//menA//opgD//thrL//rhaB//recF//kdgT//map//fimF//yrfG//rpnD//galU//rpsT//dsdX//mioC//queG//dhaR//tatE//uup//mhpB//tap//narP//dbpA//sodA//kdgR//garL//bioB//yehB//moaC//glnE//exuT//entC//nuoI//purC//rplW//ttdB//rpsT//paaC//garP//btuR//ycfS//glk//yagI//chbB//ygbM//pabB//fdoI//hyfC//msrA//yfdK//hypF//rfaQ//aes//fryB//decR//lspA//yraR//yhgH//tas//cysI//ppx//dtpC//ppiC//uvrB//osmY//smpB//ulaE//glgC//trmJ//ygiS//dacD//xapB//yhaM//dauA//pphB//rpsA//mlaF//crcB//ubiI//rtcB//citT//dcyD//hybG//
GO_0015850_6	ybgP//entF//pth//srkA//rplL//ydcP//yidE//plsX//glnH//hcaB//flgF//ybgQ//tadA//rclA//pfkB//lgoT//garD//recE//pitB//rfaH//ugpE//tusE//dps//
GO_0015851_6	yhaJ//ccmA//caiB//ycfJ//ybhF//cas2//abgT//gntR//ynfH//ahr//dinG//hybG//
GO_0015853_8	ascG//mtnN//
GO_0015854_8	xseB//adeP//
GO_0015855_7	nadE//ftsE//katG//
GO_0015856_8	fimH//
GO_0015857_6	tdk//uraA//
GO_0015858_7	nikB//tamB//nfsB//alkB//yeeO//hns//yihI//hda//ycjY//
GO_0015860_7	lgoD//sodA//
GO_0015861_9	ygjR//yjhP//
GO_0015862_9	topAI//norR//
GO_0015863_8	hofM//
GO_0015864_8	envY//miaA//
GO_0015871_6	rpsB//purB//gcd//eutN//mdoG//
GO_0015878_6	yfdC//
GO_0015879_9	rpe//
GO_0015882_7	uup//nadB//mltF//
GO_0015886_6	fruA//essD//ydcI//thiH//pdeF//eutN//osmC//paaJ//tsx//
GO_0015887_7	codA//
GO_0015888_6	paaJ//
GO_0015889_6	xanP//flhC//secM//hcp//malZ//caiT//hyfF//
GO_0015891_6	xseB//hyaD//ppsR//evgS//cadA//mprA//essD//accA//cydD//malG//glpB//waaC//ybfA//atoS//rfbX//
GO_0015893_5	ybiW//idnK//ybdN//ydeE//fsr//pyrB//hemL//ptsG//tusB//proP//dut//yjjU//prpD//malQ//fepG//cdaR//cycA//hfq//hpf//zur//ychH//cpdB//speC//aidB//fumC//menF//murJ//mdtN//yjhC//ybhS//dgt//yhgH//frmB//sxy//mioC//potH//nanA//trmI//sanA//rhaD//phnC//iscX//aaeR//ulaA//spoT//nagC//yagI//fabR//rpnD//fetA//mhpR//dfp//nupX//trxC//mqsR//atoS//ompL//polB//fabR//kilR//citT//yibA//fucK//hyi//rtcR//gatC//deoR//umuC//mepA//grxD//nuoF//rffG//rpmF//yagI//yhaV//nrfC//hisI//zapA//ampE//aroB//yraH//tufB//zapD//yojI//cpxP//malE//hsrA//ais//ydhC//corA//patD//tatB//yphC//rhaT//cydC//malY//ssb//
GO_0015906_6	mglA//dpiA//ptsN//helD//yhjD//
GO_0015908_7	sfmA//cyoE//
GO_0015909_8	sapF//
GO_0015912_8	nrdF//
GO_0015914_7	fre//ycjR//ravA//yohD//pphB//tauB//gpsA//
GO_0015920_7	atoC//rcsF//ltaE//opgE//bluR//rcnB//nirC//mnaT//rpsB//
GO_0015931_6	fadD//gapC//yjjQ//yfaU//lrp//ilvC//prpC//kdsA//rlmD//uhpA//elaA//rzpR//
GO_0015936_6	prmC//torA//abgA//tsf//
GO_0015937_7	rplQ//argA//elfC//fadE//
GO_0015939_5	queC//ompC//ispB//waaU//dhaR//
GO_0015940_6	yfjR//yfcV//rnhA//opgD//priA//
GO_0015942_6	ompR//slyA//crfC//eptA//fcl//tdh//hybE//rpsT//hycI//
GO_0015944_4	livF//cmtA//kdsB//mnmE//msrQ//cobB//cas1//
GO_0015949_5	bioD1//mug//hda//yfdR//yqcG//pth//nlpE//emrY//ygfX//greA//cstA//ascB//sapD//ansB//elaB//dsbG//guaB//rtcB//ubiF//frdA//pyrE//arcA//fic//rbsK//
GO_0015950_6	ygcO//mdoG//paaF//
GO_0015951_7	tauD//yhaC//
GO_0015968_6	flgB//
GO_0015969_8	yfaU//fimG//
GO_0015980_4	cbrC//leuE//mgtL//thiD//cbrC//yhgH//dnaX//spy//yidL//tpx//ychF//lexA//yqjH//ppiC//mreD//thiM//yjhB//mcbA//kduD//narP//lnt//yibH//phoR//yggE//radD//ccmH//ftsY//glk//rffH//kbaZ//ftsP//iraP//glrR//rsmC//msrA//dnaE//sfsB//yidE//mltA//yhaM//basS//rfaQ//crcB//ygcW//ubiA//mtnN//bcp//wzzE//rlmA//barA//fdoG//hisH//fepE//malP//fimB//torR//kbaZ//pheP//yaiP//dmlR//gyrA//hipB//nei//pgi//ybgI//yciG//insA-1//mug//yohD//zapB//yqiH//ydiB//yigB//ybhD//insI-1//nuoF//trxA//leuB//gutQ//fecA//rffC//kdpE//potA//mdtA//rplC//cycA//
GO_0015985_9	waaC//speD//ycbB//csdE//
GO_0015986_7	hypE//ribE//argB//appY//
GO_0015988_9	hisI//hybG//ybhI//ygiW//phnO//seqA//gatZ//gsiA//
GO_0015990_10	ddpA//proB//lysA//frmB//waaF//mutH//cydC//xylB//
GO_0016024_7	purF//
GO_0016032_5	pdeL//yfhM//rph//phoP//yoeB//shiA//rtcR//tyrA//narI//proA//rapA//adk//iap//torS//bglX//nrdA//rpsI//malP//
GO_0016036_6	pstS//mhpB//mraY//recQ//ppiA//lspA//
GO_0016042_5	ade//tolC//cmk//hyfA//cysC//actP//dsdA//rsmI//fimZ//zntR//hsdM//ybjI//ravA//motA//melB//serB//rseC//yqjI//artM//ymdB//mpaA//yjiR//ansB//aroK//
GO_0016043_3	glnE//wecC//rpsP//insH-5//recJ//mepS//guaB//secG//elfC//zraR//hypC//carA//flgI//mgtL//fkpA//rpsD//dkgB//yfcF//dcyD//yjhP//azoR//appC//mfd//yciA//pagP//sbp//ytfT//cueR//rhaR//aceB//elaD//thrB//bacA//treR//codB//dgoT//purB//rnlA//prc//kup//dacB//marR//lpxH//argO//viaA//artI//bioF//speD//yafO//phoE//tonB//ftsK//rimI//cobC//atpD//serC//nuoG//yidE//glsA1//hisH//ligA//queG//ybaL//paaD//tqsA//rplC//treA//ynjA//lpxB//modC//rnc//ugpB//rfaQ//bcsQ//menI//rimI//yciV//smpB//hisF//cutA//hypC//rpsR//recA//pyrD//ybjL//gsiB//yhdW//argG//kup//rzoD//argD//guaD//asd//hisF//gcvP//hybG//ruvA//alsE//hslV//yjhG//ybfE//ydcO//rsfS//setB//yeeA//matP//xylR//selB//bcp//elyC//lpxP//exuR//yebC//pgrR//nuoG//folC//ycjW//metF//yidK//alsC//eutK//ndk//pdxA//ybhS//cspA//waaG//folX//citX//nuoM//dicB//crp//ddlB//clpX//cheB//bacA//nhaR//dgcQ//yqcC//hypA//fadB//yibT//ydcS//dcp//waaA//fepA//preT//hcp//arcB//ygeV//acpT//dld//ompR//sfmH//coaD//tcdA//dgcT//umuD//dinQ//ycbU//phnL//rlmD//gpr//aroC//hyaB//metH//rffC//glnP//yddL//glxK//sgbH//waaQ//bioD1//sgbU//malX//yhdX//lysS//sfmH//cycA//ygbL//menC//waaG//rseC//entA//bcp//argO//tatD//tar//csgB//waaF//potI//iscU//yqiJ//bioD2//rpmC//lptB//ygdG//melR//ydaC//fimC//yahN//yhcN//yfeD//amiA//rpmH//dhaR//trpE//yqgB//rplL//kdpC//pinQ//
GO_0016051_5	yghO//mreD//ypdC//tonB//rsmG//yagJ//lysP//rsmB//pfkB//csiD//speB//mdlB//basS//mlaF//hemF//frlA//mdtQ//artJ//gcvA//osmC//hipB//yihU//gatB//djlC//tktA//agaB//alsB//pepQ//tisB//aroB//acrF//ybgQ//gntU//ykgM//cdaR//hybB//oppC//cirA//oxyR//ygiW//hemG//yhhY//dsbA//yecS//surE//yhbX//kdsA//alaS//glmM//agaS//acrB//ugpE//glpA//yehZ//glnH//kduI//glyS//narJ//insI-1//ccmF//galE//trkH//yhfS//frlA//fdoG//gshB//yjiR//gor//yjiM//ileS//leuA//ybiV//garL//cheZ//rplF//nadK//nanA//dppA//modA//ydcT//lgt//fabB//nuoB//narL//mlaC//frmB//tatC//citX//cbrC//umuD//phoP//holB//pgi//trmI//mrp//yjjX//kduI//hldE//clpP//leuO//tmcA//yihU//proS//
GO_0016052_5	gudD//ascB//rluF//htpG//msrQ//yfdR//ynjA//fdoG//gluQ//rbfA//moeB//argR//ybdR//yjbG//ygiW//panE//preA//yfaL//yhbX//cmoB//gadW//iraD//purA//dut//ibsE//glk//ybaM//hslJ//rluE//csdE//nrdA//rstB//paaK//helD//lplT//nagC//arnE//leuD//yafO//yhbX//etp//fadM//glsA//tdcA//ridA//galP//argP//decR//cdsA//yjjG//bamE//ydcT//lolA//insH-5//yiaM//atpE//ykgF//afuB//asr//rpmA//clsB//dicC//dapA//thrS//hsrA//emrE//zapB//brnQ//nadE//yajL//fumB//cynX//yhjX//ybcF//xisR//caiB//rhaA//ygiN//yfgI//rpsH//torR//rpmF//recJ//mrr//ydjJ//rnhB//truB//arsC//hcaB//lon//sufS//gltD//ssuD//rpnC//yjfF//cas1//waaU//cpoB//cysI//tesB//nsrR//ygeX//sfmD//trpB//yihP//nanA//setB//mtgA//ivy//menB//dtd//rpsL//ybeF//astC//dmlR//
