#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	lpxL//coaA//bioD1//fdnG//
GO_0009314_4	eutD//rlmA//csdA//ubiG//sfsA//araA//ygjR//fimZ//paoC//secF//dinG//hisH//dnaN//yidL//yegT//tqsA//yegT//lptF//yehW//ynfK//ibsE//ilvI//wzc//osmC//yneJ//degQ//mutM//dnaT//radA//oppD//yehZ//yjhH//rnc//xerD//elfG//fkpB//dgoT//leuD//ompG//dam//ypdF//ruvB//rhtB//dgcT//syd//bisC//uup//purN//nuoF//ldrA//frwB//ykfI//dinB//pdeD//serB//yggW//setB//yiaT//waaG//puuD//rna//elfD//cueR//prmA//leuD//chpS//btuR//cspG//mdtG//ftsZ//fbaA//rmuC//rbsK//ygdG//rpsI//pitA//uxuB//yjaZ//fadJ//yjgX//slt//rfbD//rhmR//rutR//kbaZ//potE//cydB//zur//atpD//betB//ycfJ//mtfA//
GO_0009372_5	lolA//amtB//hisP//
GO_0009394_6	btuB//ybcQ//rlpA//artP//galP//pyrB//dsdX//
GO_0009395_6	dctR//
GO_0009396_6	ybjN//selU//sfmD//cobC//ulaG//rlmM//sfmF//mngB//yjbF//mdtF//yfiE//
GO_0009397_6	pgpB//hsrA//
GO_0009398_7	topB//
GO_0009401_7	mpaA//fecD//lacI//hemA//yidA//chpB//atoB//mrcB//ccmC//potH//fimZ//pta//dinI//ygbL//yfaL//pstA//pphA//speB//artP//atoC//kdgR//yibF//yedF//hupB//smrA//yfbR//wzc//intS//yjbB//alsA//entB//glpX//mdlA//bioD2//nudC//ydiF//metH//kdgT//preT//mhpD//dicC//nuoI//gatD//eutK//amiD//fimI//puuD//frmR//gltX//cpdA//feoB//pepQ//
GO_0009403_5	zntR//
GO_0009404_4	rpsP//cycA//mtlD//prpC//ybdO//baeS//yggP//rlmD//cpdB//cdd//argT//malG//kgtP//yaaY//rlmC//yqeG//envR//ynaI//srlD//
GO_0009405_4	yiaB//cusS//glpK//
GO_0009407_3	pitB//hcaT//rssA//cyoE//hldE//betI//ttdR//ssb//nadK//lysR//ftsN//minC//pth//dsbC//fumB//tauA//
GO_0009408_4	abpB//cstA//kefF//lolC//cueO//htpG//hha//ycjY//mglA//yieF//hyaC//mrdB//yibA//kdgK//yjhC//waaS//aer//rfe//galP//dnaC//yadG//sutR//bioD2//cutA//tyrA//yfcR//sodA//yceK//topAI//mdtL//ahpC//bglB//lysR//rpnC//epd//bglA//fimB//nanE//yiaO//galS//metC//rhmR//tynA//proA//gltI//oppC//nrfA//ynhF//glnL//pntB//yehW//gsiD//feaB//yraH//ygeX//zinT//mdtQ//frvR//yccX//scpC//
GO_0009409_4	xapA//feoB//ansB//rpmB//uidR//yejB//tonB//glsB//cusR//alpA//yccX//yjtD//mntS//yjaA//deoR//zapE//dut//yraN//
GO_0009410_4	oppA//
GO_0009411_6	tufA//priB//ftsW//argO//hypF//perR//bglF//def//nudB//yejE//ubiJ//yohD//higB//paaD//dfp//pdeH//
GO_0009415_4	aspC//
GO_0009416_5	tus//gsiC//yojI//nanS//arfB//gatC//moaA//ybaO//yhbY//ybiI//uxuR//suhB//yfgO//ygdG//rffM//afuC//frsA//dacD//gatC//
GO_0009423_8	citE//gadE//casC//cho//
GO_0009432_5	dauA//scpC//yihW//appC//artM//tcyJ//arcB//tdcA//dkgA//flgG//srkA//elaD//scpB//sodC//rimJ//ppc//ddlB//mhpB//yibH//plsX//rhsD//ggt//
GO_0009435_9	ibsB//yfeO//yajL//tdcR//aroA//setA//ybcF//preA//dgcE//
GO_0009436_6	cmoB//hslV//asnA//rsmF//
GO_0009437_5	cvpA//dhaR//puuB//nanK//elfG//ydcR//ispU//
GO_0009438_5	mdtI//fic//clsB//mreD//kdpA//yhcD//gph//setC//trpA//fimE//ybhJ//bhsA//copA//folX//uvrY//panZ//ydjL//folX//nagA//fimE//ung//hxpA//uof//oxc//tufA//fhuF//dsbD//rclR//norW//pyrC//
GO_0009439_5	wzb//flgE//rpsJ//
GO_0009440_6	cnu//gdhA//glsB//
GO_0009441_5	opgG//uxaC//ribF//ykgM//ppc//
GO_0009442_7	insF-1//rsmH//yieH//yehA//dtpB//
GO_0009443_5	atpG//ulaE//tyrR//
GO_0009445_5	ulaB//rplF//frlR//trpB//radD//dgcE//ymfK//yihX//rnlA//evgS//
GO_0009446_6	fetB//gntK//
GO_0009447_6	fecB//parE//glcB//manX//yiaT//yjtD//cecR//phnP//
GO_0009448_5	cdh//ydaC//folM//rclA//
GO_0009450_6	glk//patZ//kefC//rplR//
GO_0009451_6	yjiX//ftsA//rep//yghG//ygeA//araD//yjbH//araH//mmuM//glnK//ilvE//bamC//yjbG//treC//ybhS//sgcB//gabP//dauA//ycdY//rpsH//clpS//ybbN//lysU//ynfK//rpsJ//glvB//mraY//hemC//cpdA//glrK//rimO//cadA//lpxP//ampH//ycbX//dppC//dtpB//waaH//prmB//lrp//rcsA//mobA//selA//eutD//sgrT//nac//pitB//hinT//rapA//yciK//dxs//rpsQ//prpB//hha//trpA//nikE//arfA//yidQ//yijE//mtlR//iscX//fimC//sdaB//fumA//yjeI//insA-1//arnB//gntR//zapC//bioD1//ygbI//trkG//cadC//fpr//bfr//nupG//ibsC//fliZ//yqiJ//insH-5//pflA//yccX//potA//
GO_0009453_4	rzpR//
GO_0009454_5	adeD//
GO_0009593_4	fepB//prmA//
GO_0009597_5	hypC//
GO_0009605_3	minE//ygbI//yehU//rplE//polB//dusC//ampH//mcrB//nrdG//xdhB//yjbF//fkpB//sodC//uxaC//thrL//hofN//slyD//cobC//tdcG//mdtG//yidH//iscU//recD//yhjV//yiaT//phnI//ccmG//ymjB//rpmC//glnA//kdgR//uxuR//secM//secM//dhaK//livK//sdhD//ccmG//accA//allR//psuG//adhP//ispB//yecS//trpE//murB//ftsX//rplL//lysU//yjjB//plaP//ynaI//paaX//malF//ydaV//pyrG//pdhR//rraA//parE//argF//mlc//ispA//ynhG//mazF//tsgA//ddlB//rpoD//ruvA//nepI//manZ//manX//dgcJ//lsrR//ftsH//secM//fucA//cirA//
GO_0009607_3	pnuC//bcsQ//fdrA//potC//pheA//cra//yihL//pspA//cysI//mukB//bglA//dacD//ycjP//clsC//
GO_0009615_4	zwf//torZ//insI3//ybaK//pykA//rcsB//pgpC//wcaC//purU//puuE//xylA//ycgV//rusA//torD//
GO_0009628_3	acrR//nlpE//rpsB//ydjM//yaiP//treR//insI1//dgcT//hisB//cdaR//pgrR//lysS//mppA//fimI//otsB//selA//rimK//panZ//yhaO//mdlA//ygcR//speC//tesB//yfbS//hypA//otsB//ybbN//narU//opgG//nth//gspJ//sdaA//ulaF//groS//minE//rof//cysU//ebgA//arsR//gatA//yjcO//rplS//sdaA//galP//pykF//eutD//nuoF//malQ//yjbH//folP//mdtB//nepI//yidA//helD//raiA//purF//hcaF//bipA//fis//rna//pheP//hyaD//nadC//ompL//yfbV//prmA//asd//yjjG//yraK//ybbY//rpmA//treB//cra//agaB//ygeV//fdnH//cpxA//hypC//yafE//glvB//yidH//cspG//yobA//sapF//mgtL//skp//tsaE//arfB//rng//cmk//rhlE//serA//mscK//degS//rpsI//yagI//crl//mrcB//bcr//ulaB//hisP//cysH//parE//lpp//ybhJ//lsrK//ytfE//glgC//yfcV//prmC//dpiB//tag//flgH//yciV//frmB//obgE//zntR//tynA//insK//hdfR//aldB//uxuB//nuoH//bcsQ//atpB//yihX//preT//yeiL//leuE//nuoI//glyS//phoE//cpdA//ruvA//mtnN//yafE//glgC//uxaC//gdhA//rffT//agaB//csiR//opgC//yfgJ//ygjR//mscK//rutF//pdxJ//brnQ//fdhF//mnaT//purU//rseB//dtd//waaS//fabI//yajD//ftsZ//opgB//dmsC//yfaV//cysZ//dacD//yrbG//aidB//dnaJ//yhaO//acnA//degS//gcvR//dctA//hyaB//cdsA//paaH//mnmC//yjgX//kdpB//rpsB//tdcR//ndh//rluF//cpxR//guaD//fadH//caiD//yhaO//pdeR//hypD//cysD//yoaA//betT//folA//betA//dnaK//holA//psuT//uspE//rhtB//hofN//yhcF//gltX//ispB//prpR//oppF//torZ//yfdR//lpcA//lpp//yhjR//rnt//hsdR//alaS//sgcB//bioF//tatD//frmA//mdh//rrrQ//narI//iaaA//ytfP//hflX//tauB//rclR//alaC//dmsB//lsrD//cmoB//yddA//nlpI//
GO_0009635_4	hypA//
GO_0009636_4	dgkA//ydcM//phoR//rpnB//yjcE//narY//murD//narW//hisG//araE//gluQ//dapA//csgD//dgoA//glnQ//envY//selU//dacB//potA//rhlE//trkG//citT//gcl//cbpM//yhgF//fliK//proC//pstB//atpC//mgrB//thrA//
GO_0009637_6	lacI//
GO_0009651_5	ldtA//kefB//rlmN//tolB//ftsZ//mglB//
GO_0009653_3	ftsY//
GO_0009696_4	ascF//
GO_0009697_5	yjjV//
GO_0009698_4	yagU//
GO_0009712_6	dps//hda//asd//yggD//phnI//satP//ttdT//hemG//radA//epmA//
GO_0009713_7	mtlR//yieL//clsC//truC//ygiW//clsB//insE-1//polB//scpC//
GO_0009719_3	lolB//metB//sufA//
GO_0009730_5	sodA//
GO_0009743_5	rnr//
GO_0009785_5	mdtP//
GO_0009850_4	tcyN//pyrL//mcrA//qseC//fimB//dnaG//xerD//nikE//rtcB//serA//rph//yibF//ybhD//
GO_0009852_5	uspC//ftnB//fepC//nepI//yedL//ampD//hemA//pgpA//csgE//aqpZ//hycB//fcl//ydeE//
GO_0009889_5	yidZ//envC//mutS//pheM//ltaE//prkB//otsA//waaS//aceB//mepA//ychO//frdD//yagI//ydjJ//yiaA//ssuE//bssR//narU//mlaC//ghxP//hypT//wecB//ribB//paaZ//ralR//pdeK//mdoG//rfaQ//lolD//accB//groS//sxy//feoA//rnb//trpE//dsdA//nudB//dnaE//ykfM//ugpC//dgkA//ymdB//yigL//btuD//ortT//lldR//yadI//hscA//deoB//decR//yhjR//ybfA//ynbB//malP//clcB//hicA//accB//puuC//groS//idnO//cstA//xisR//patD//argS//ais//glpD//prfC//dnaN//gsiB//ruvB//hexR//tsaE//nrdB//ygeW//yebQ//tolB//iaaA//uxaC//glrR//tdcA//ltaE//paaX//pgi//fabG//yceO//mpaA//ptsI//cadC//fliS//arsC//aroB//argT//murJ//yfiC//kdpE//gloA//ymjB//yqjA//pflB//yfiC//thiC//gcvH//rhaB//coaE//eutR//fimI//tatB//lpxM//kbp//glnQ//ydeO//bluR//csgD//uup//hcaB//yjjI//pyrE//intS//aroE//ydcO//kdgR//hycA//glgP//hemB//glpK//hisA//tusE//mlaB//moaD//yieE//ygeW//ycdY//rep//gspI//ycjQ//rzpD//ibsA//cbpM//uvrY//katE//cysW//malS//rzoR//hisD//pyrE//lysC//nrfE//avtA//glpF//surE//trg//cho//yfcA//chaC//topB//spoT//bglB//rhlE//yefM//uspC//cmtB//ybaM//cysH//ftsX//lgt//uidC//ydcZ//ykfI//dhaR//ffh//ybjG//ybaK//yjhI//tadA//trpD//alkB//ascF//ais//rpmB//alkA//glmM//hslU//rhaT//cysD//yddA//xapA//fepA//amiD//nadK//mdoD//dgoR//gloB//dmsA//frdD//yafN//tsaE//ybgI//ydiF//nagB//asmA//uidA//sufE//yidZ//wecC//cheA//phnL//rpmF//yciG//yieF//yihU//yfdS//tolA//ybjX//cptB//ydiK//corA//fhuB//metF//sgbH//ralR//mgsA//yahI//dtpC//ybaT//gnd//cpsG//fkpA//entS//casE//pyrE//acrZ//hypA//ilvB//trpL//metH//minC//htpX//yjiY//fryB//ymfK//ubiE//aidB//yddM//zapA//dctA//cutA//glpG//intS//yraR//bisC//ydfD//nadK//yjiX//yabI//rof//moeB//phoU//deaD//bglA//torA//csgA//yhaO//yfiC//rsfS//chaA//uxuA//chpS//rplW//hicB//ygiV//ftsK//ybcF//ycgR//hdfR//cheW//argI//yiiM//aceA//ribB//rtcB//sulA//rutF//exuT//ybiH//dgcN//mzrA//ydbK//dsbC//fadJ//ycfS//ymgF//rplY//holC//hscA//tusC//ygiB//yehX//yjfP//holC//rimJ//sucB//malG//rnd//wcaJ//ybhR//mdtG//cmk//yieF//trpB//narI//wecE//nrdB//livK//priC//helD//ygcW//
GO_0009890_6	ssuA//ilvE//bglF//narU//ilvI//ycjP//ygfI//arnT//bssS//abgB//dnaG//rhoL//yhcD//rlmA//yadN//baeS//sspB//coaD//ppx//sdaA//yehC//aceB//bluR//gstA//lptE//rpmE//pbpC//azoR//aqpZ//murQ//yafQ//hybE//yiaA//ydiV//prmC//cdaR//ortT//baeR//cynT//bamA//gppA//purU//mtgA//rnlA//yifB//qseC//shoB//yejA//yibA//hrpA//selD//kdsB//matP//yedF//pbpG//lpd//mpaA//glpR//rpmF//dnaK//aldB//otsB//citG//waaZ//ybjI//rhtA//pdhR//dgcN//gdhA//marA//ffh//rclC//dtd//fdhF//lrp//casC//ypjD//putA//ybiV//pspD//ftsI//argF//nadK//cysP//rfaF//nuoN//chaA//gatA//sixA//proP//thiQ//rlmI//plsX//yehT//fadH//mrdA//sapA//mazG//arnF//gph//ycfJ//fliZ//alsB//yhiM//fimA//rpsB//fucK//dgcF//polB//aroD//yhjC//ugd//ygiV//glgB//tusA//ybdN//agp//bisC//yajL//setC//nrdR//
GO_0009891_6	mltA//rnpA//ygeR//focA//manA//wcaB//uspB//ybiO//yafE//orn//dnaJ//ibaG//rlmM//glsA//yafO//brnQ//trmD//cyoC//cpsB//ldrA//nadB//agaD//ampD//exbD//araH//ispF//ttdB//fecC//leuS//paaZ//chbC//cedA//secF//sbp//sbp//lsrB//nudC//atpE//narK//gntK//yafN//thiM//puuA//zapD//yieH//ydhK//ldrA//cycA//zitB//yjhC//truB//ybiV//rpmA//dacC//msrQ//ybiV//adhP//yajL//ppsR//kefF//acrA//yjcS//thiM//tolR//stpA//dsbB//leuO//ybaO//hycA//lpd//frdC//yjjW//fieF//argD//cptB//nirC//rplS//lpoB//dinB//cydA//osmF//cutC//ykfM//
GO_0009892_5	rsmF//pth//ibaG//aroK//ynfK//ftnA//dcuR//xseB//acnA//lapB//yfaV//hflD//opgH//ybdH//fdoI//polB//ynfL//rpsB//ykgF//yjhI//rseC//kduD//amiB//sodB//cdsA//ibsE//hflX//appY//edd//rpoD//lrp//mdtP//yqiG//sxy//cueR//lptD//ansB//chbB//shoB//fetB//uvrA//yqgF//mraY//gutM//tolQ//wza//frvA//kefF//paoC//hmp//putA//ddpX//sgbU//rfaQ//fhlA//rsgA//gadE//nagZ//deaD//dcyD//intA//atpF//lplT//ycjY//argD//deoC//nuoM//gspE//sufA//iscA//potF//sspA//dgt//psd//rutE//araE//purC//yneJ//bssS//ygjR//crl//panZ//kch//hexR//paaX//hisH//acrR//recX//tdcC//ihfB//hiuH//chpS//uxaC//yciG//purC//katE//rne//pgl//tatD//gltP//priA//yihW//kefF//opgG//atpA//yhfS//cysS//dppA//yicJ//ybfA//ytfP//ghxP//xapB//yhjB//agaW//mutH//thrC//setC//mltG//slyA//btuE//dacA//ynbD//rnr//yiaF//lrhA//yidH//menD//narI//rplY//uvrB//fucP//gadE//glpK//yhhY//clcA//ttdT//hisM//nirB//proA//arcA//nikD//hipA//mdoD//mltG//dcuD//
GO_0009893_5	sfmA//rplX//trkH//rplN//fimG//frwB//ubiB//glnB//pphB//sgrR//ilvH//ybiW//yghW//mgsA//zwf//osmF//xdhB//rpmH//mrdB//leuD//ompT//elfG//gspI//yccA//gudP//yajL//tamB//fhuB//trpE//ybaE//astC//ybjX//torY//rpiB//znuA//nrdE//avtA//ybiJ//lptA//yfcG//manZ//tynA//yebS//yciG//yoeE//ygfI//arcA//mhpB//rimP//yqiJ//yfcS//yjaA//lspA//wcaB//mtgA//prkB//dgcN//insH-6//alkA//yieL//gcvA//narG//thyA//yqcC//yehP//yagJ//csdA//sohB//yjtD//mngA//oppA//rffM//mhpD//cmoM//ddlB//fucI//serA//upp//pfkA//sbcD//pepQ//alaE//menH//yggW//lptD//rutA//minD//ggt//ygaZ//appB//malS//ftsA//dinG//sodC//livM//mdtD//yebC//dkgA//pgk//
GO_0009894_5	nrdD//ybdM//aqpZ//mlaF//frc//insI4//sufB//phr//speG//yjbG//trmI//pitB//sugE//gpsA//
GO_0009895_6	cspD//asnC//gsiB//yciK//
GO_0009896_6	nusG//cas1//cmoM//
GO_0009966_5	ompW//
GO_0009968_6	dsbC//
GO_0009970_6	fhuD//rep//ssuD//
GO_0009972_10	agaV//
GO_0009991_4	allS//fimH//lysA//fabA//ldtD//alsE//tldD//cas1//dsbD//araG//waaA//flgG//mdh//phnP//dauA//sucB//sufB//ushA//ilvM//yidQ//queE//cutA//yidQ//pyrF//mscK//menD//cdgI//rpoH//hofC//ycgV//yfjR//dsdX//tynA//ung//phnM//asnA//ybiI//cbeA//ffh//fhuD//btuD//hchA//ldrA//agaS//truC//menH//fiu//fnr//rlmE//ubiC//exbD//cobU//htrE//sulA//oppD//rbsD//folX//livK//dtpC//zntA//eptB//yfdS//zapC//
GO_0009992_5	rplL//bglF//bacA//glcB//
GO_0010033_4	ompA//ybcF//selB//dapA//fiu//betB//ftnB//nrdH//mrdB//yrdA//cysD//yagJ//nagK//sgcC//fabH//ynfL//frmB//yagI//ybjC//thiH//cueR//yehY//rfaE//pgaC//yphD//ybcQ//potF//acrB//slyA//yphD//yhjV//ybfA//abgA//kgtP//surA//fdoH//hslU//guaC//nudF//agaA//galE//accB//leuE//
GO_0010035_4	yqcC//htpX//yadV//dnaB//purF//rpoD//ibsC//asnA//uvrC//secG//mepH//dmsA//rnlA//yqjA//modC//rcsB//gyrA//csgG//alr//rraB//greB//rlmF//aroE//ubiD//idnK//lpxM//cytR//waaC//sthA//ynfH//ubiF//fadM//kdsC//asnB//holC//ilvH//pspC//tsx//pgm//glnE//recT//pitA//yddG//fkpA//luxS//mtgA//yihT//waaH//holA//hisB//clpS//hicB//yqiJ//hisB//rsmB//yqhD//rffC//rhsD//dtpB//ibsA//ybcL//dkgA//yhcD//paaK//yehU//rnr//ycdX//basS//yciE//gcvA//ftnA//argR//ytfE//gntK//hybO//yiiM//
GO_0010038_5	flgB//bioD//cobS//rclR//ubiB//ycgB//yejB//mdtB//mhpA//xthA//pgaC//pspG//mmuP//prlC//galP//mdoG//yhjR//ynjD//yqiG//katG//tnaB//yfcA//rpmC//yddL//yhjV//ydcM//yhjB//azoR//ynaI//yfgI//yfaL//pepD//mngR//rfbX//queD//clpP//ftsL//rseP//yahO//mraZ//nirB//csdA//kilR//atoS//yejF//
GO_0010039_6	fimI//tusE//pdeH//mdtN//chaC//rpsK//fucA//
GO_0010041_7	xylB//ygiW//leuS//menF//phoR//msrA//
GO_0010042_6	baeR//sbcC//
GO_0010043_6	yiaB//napB//moeA//aceK//ihfA//asnA//
GO_0010045_6	groS//fryC//bacA//
GO_0010106_6	ybdN//
GO_0010124_4	dacA//yecS//secY//ompG//chpB//fecC//rhaM//eptB//lsrA//yfaV//cmtA//nfo//yihQ//
GO_0010133_7	yajR//
GO_0010139_7	sdiA//
GO_0010165_6	fliL//ydeO//cspA//potA//ydhK//dnaJ//clsA//yihW//recE//yfcP//yggF//yjhB//priC//murJ//csdE//fetB//
GO_0010167_5	glpA//ydiK//
GO_0010212_5	ydcM//pgaC//tehB//rpoS//nth//ppx//frwC//yhjG//bcr//hinT//melA//yjfP//aas//cmoM//opgB//leuO//dcuC//pcm//cbpM//lysP//yeiE//dcuS//chbB//hipA//queC//arnD//aspS//hofC//
GO_0010226_6	tusB//
GO_0010243_5	garL//nrdF//icd//glvB//tktB//ortT//rimM//mtlR//ibsC//dgoD//artI//azoR//mdtD//scpB//kdsC//yddM//
GO_0010269_5	mdtJ//
GO_0010272_6	glcF//mliC//feoC//nsrR//ybdH//pal//
GO_0010273_4	thiM//gmk//eamB//ydiB//rpoH//insI4//
GO_0010288_6	creB//
GO_0010312_3	gyrA//
GO_0010332_6	yhhZ//
GO_0010350_6	hybF//rdgC//
GO_0010438_6	oppD//yeiL//rutB//yfdK//
GO_0010447_5	yfcG//tsf//pitA//rhtB//dgoD//uacT//cra//ybcM//miaB//yfdR//nikB//dinG//opgD//yeaE//tatE//creC//cspB//atoS//rppH//yejE//ralR//
GO_0010466_7	yjjI//pitB//
GO_0010468_6	mrdB//ilvN//astB//psuG//ybhP//nupC//dsbG//hprR//narH//cycA//murB//hybE//waaC//ymjB//mtfA//ulaE//thiP//yohD//htpX//hofO//dtpB//folM//priB//phnI//sodC//hemH//hypA//napF//cpxR//fdhE//yejA//dsdC//citT//tabA//icd//xdhB//mreD//glcF//cysM//fsr//ruvC//sbcB//xylA//rdgB//tusD//ndh//narW//insA-2//def//gpr//hybO//murQ//uxaA//zntA//bglH//fliM//yebZ//ypdF//dut//aroG//garP//btuF//yihL//dam//nemR//sufS//frdD//pgaD//hisI//yedF//yejB//nuoM//tdcR//fepA//minD//mdlB//panC//insI3//fliA//gpsA//lpcA//dmlR//ygcR//atoB//gnsB//flhD//yfeR//srmB//dsbG//eptA//rihC//dsbG//yfaE//nuoI//hemL//hycA//potC//cutC//ppk//mntS//rsmG//menH//npr//ynfF//galF//cysC//ybgI//flgH//rmf//hisI//rffM//rpsT//pepT//bipA//yhdJ//kefF//yihP//aceF//pflB//basR//dhaM//lit//narJ//mdtC//mlaC//yhaO//hexR//luxS//cysH//yijE//rfbX//tyrR//rpsM//yjiA//yghB//panD//folE//msrP//lsrG//codA//fadB//ydeT//insB-4//dld//yciH//ampD//glpG//yhaC//fepD//aroA//dinB//fdnH//yhjD//aldB//cueO//ybiA//frlB//lpxP//oppD//galK//fdx//aphA//lolB//metG//yqhC//kdgK//mnaT//proS//frmA//rdgB//kup//mepM//pagP//metH//uspB//hchA//rplK//tolC//oppB//etk//dppB//speA//roxA//cysG//dnaE//cydD//aroE//yfcR//panF//speE//rluC//yedF//hypD//mtgA//mtlD//insA-1//ybgQ//lpp//hyaC//mrcB//waaY//comR//rspB//araF//crr//relE//gspI//mglC//fbaA//lplT//trmL//artI//dtpA//glsA//relB//betB//leuB//yigB//rodZ//nusG//ubiE//sseA//ptsG//glxR//yhfS//tusB//idnO//amiC//alsC//mlc//kdsD//secG//msrA//nac//eutD//rpsK//ygbI//nimR//murR//rlmL//ybaE//pstB//ubiG//wzc//cvrA//exbD//narW//glyS//yccX//gpr//glyA//ribE//rpsB//argT//ubiA//aroB//tktA//tsaB//gldA//yjaA//ynhG//ihfB//ypdA//ypdF//ybbW//tnaB//ftsP//yciK//ygbL//yibT//hupB//sgbH//topAI//acrE//recX//yceD//ycbU//glxR//bioP//pspD//wecA//speE//rpoE//sfmD//sdhC//ybiW//yfcV//recR//paaD//ycfJ//adiC//sodC//aes//cmk//ymgF//holD//prpD//baeR//citC//folP//mutM//ccmA//glnS//hemG//gntT//uspC//yadV//yehA//ftsQ//yeaD//ybiV//fnr//flhE//rplF//eptC//trxA//bcsA//fliD//
GO_0010498_6	clpA//
GO_0010501_7	fhuC//thiD//queD//dsbG//arsR//mtlA//fcl//dapA//fur//
GO_0010528_5	fryA//
GO_0010556_6	dgcT//fadD//fhuB//idnD//ytfQ//yraR//bglF//mepM//araG//ycaO//bamB//prpB//hcaE//hyfA//ybaM//acrF//lapA//galU//topAI//pstB//gltL//yqeA//tsaE//rrrD//ftsB//srmB//cytR//hupA//prkB//cysB//kefF//lpd//yihP//mdtA//hybF//pepB//eutN//frlR//folP//glpG//minC//yebC//rcsF//kdsA//argK//mdtD//cnu//ynjD//yhbO//caiD//lrhA//hisS//rutF//hisM//emrK//rssA//tauC//purB//mtfA//lsrG//dxr//waaP//ygjR//yadN//cmtA//yijE//lsrG//cas2//rhlB//ynfH//yebK//argF//fabI//purA//ydiF//adeP//dcp//yidR//envC//yhhY//fryB//btuF//hisM//ybfE//bglF//yhgH//ybhA//asnA//gpr//arcB//yphF//phnH//yhjG//dcuA//dgcQ//fecC//glrK//xerC//htpG//ynaI//msrP//tatC//pntB//gltP//frsA//ypdI//nemA//shoB//yajL//degS//ompW//uspG//ansB//bglF//yieF//dtd//cecR//mdtA//rcnA//hdeB//fadD//crp//cspE//cheA//betB//zur//btuF//yahF//yphB//yfaL//ymgF//uvrA//kdsA//yahN//dicB//leuD//idnO//insA-1//ilvA//rhtA//gcvH//aldB//nagC//amiD//frlB//yfcA//cof//ssb//prkB//yegT//entD//tcdA//chbF//rpsN//csiD//nikB//nagA//rbsD//ymfA//fkpA//hycI//fabA//yraK//uvrB//ybcQ//fabB//ilvE//sapA//rpmA//yeaD//yodD//yqiI//tas//lapB//rutF//qseC//fimI//tynA//uspF//ddlA//rlmJ//mobA//fimF//ampD//pck//hypC//dmsC//wzc//ubiI//srlD//rclA//ycaO//ybiT//tyrA//gntR//mnaT//tabA//clsC//fliK//uvrD//yjhC//ulaD//ybeQ//moaC//bioA//mtfA//gltD//fliT//fdoH//sbcD//crp//hflK//mltG//lyxK//bioD1//blr//tsr//ogt//ldrA//ybhJ//entB//mlaF//kbaY//ybjL//yccS//rclA//ybiX//gapC//asnC//tolA//proA//purC//dam//rcsC//ispU//tufB//cynX//ushA//higA//yebS//cysQ//trpR//yaiW//yeaV//rhmD//cycA//yfcV//intZ//cbeA//yceK//lrhA//btuF//cyaA//speE//dicC//creC//lgoR//fliS//gadC//chbR//emrE//trg//astB//dbpA//pinR//phnP//pnuC//gnsB//ynfK//bdm//ghoT//tmk//accD//pgsA//yadM//kdgK//murG//lrhA//rimI//hxpA//yfaX//secE//argF//yehC//yneJ//poxB//yfbR//ygfX//frr//zraR//sbp//wcaB//gatD//yjiQ//osmY//lon//aidB//cfa//cyoC//ivbL//trpB//yahB//ybdM//zapC//yfeR//tktA//adiY//fdoI//narQ//mutH//ygjR//hokB//
GO_0010557_7	artJ//leuS//dicC//argH//pyrC//aroP//yihI//frdD//ribD//yedX//purF//dacA//tcdA//yjfP//tabA//puuE//hyi//yihW//fic//yohD//speE//pstC//emrY//chiP//waaZ//ldcA//alsE//rpmH//phnK//fumC//tsf//alkB//flgB//alkB//opgH//mreD//rlmH//yggN//cydD//pheS//cysQ//yiaB//erfK//rseC//sbcB//xerC//gapA//yedP//ispG//yidP//xisR//xapB//pepD//hldE//yafN//rnhA//prc//yiiM//ybbN//recJ//pgaD//adiC//malK//fhuF//nuoF//tyrS//rpmJ//speF//garD//adhP//aas//eptB//ghxQ//aceF//dppC//ydhQ//glnD//exbB//ycfL//folC//rlmI//hofO//
GO_0010558_7	yaaU//gstA//ynbD//ybjG//hypE//ydcP//sufE//degQ//hslJ//gspJ//rpnD//glcF//nadE//ybjC//wrbA//rfaH//yejB//rpmA//fic//mgrB//livG//yfjV//sbcB//sgbH//iraD//phnK//cirA//tatC//lldP//fliM//ybhD//mepH//mscL//rppH//pncB//tdcC//araG//mdtM//xapR//wzyE//panE//ygiB//yhbO//cysE//hpt//relA//astC//exbD//bluF//adhP//yfeD//ynjA//tolC//nuoE//fliL//btuR//actP//yfeW//recQ//mdlB//ddlA//dcuC//afuB//relA//tolQ//ybjL//gltP//ygiS//rnpA//yejA//csiD//ispB//rzpD//aceB//gsiB//sdhC//mepS//eptC//yhdZ//yebG//cysW//idnT//ybjN//add//yegV//pgaB//pyrH//fadH//sbp//chiP//ldtE//dcd//gadC//cas2//pdxY//recC//ymgF//mrp//gntR//hemF//fepD//dhaK//alaA//dgcE//yjfP//trpB//gntP//yiaF//phoA//ynbD//gadB//ftsA//yefM//slmA//sgbU//accB//dgkA//wcaB//clcB//yhcN//
GO_0010562_7	msrA//mnmG//
GO_0010563_7	yjhC//uvrY//
GO_0010564_6	puuP//hybC//hcp//ccmF//xisR//
GO_0010565_6	yahO//curA//rfaD//ybdM//hprS//yraH//
