#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ftsK//napA//nfsB//nrfF//
GO_0009060_6	yehY//fdoH//yiaM//ilvB//feaB//hcp//rbsK//yajQ//torR//yegT//dapB//rnd//pncB//rplM//lipA//era//ascG//xylG//amiB//tldD//kch//narL//agaW//yeiE//queD//ydiF//
GO_0009061_6	tdcF//hisI//rluD//ybdZ//nudC//dinG//ycjU//entE//groL//patD//dgcT//cspD//potB//ibsC//ynfL//nirB//flhD//dnaX//atpE//yfiC//rsgA//pdeK//rph//elfD//speA//sthA//fecD//ybiS//aroF//eutA//fryC//ygbL//moeA//yaiW//puuC//arnT//ssuE//rhsD//ansA//araE//polA//lspA//ybdG//yegS//mmuM//sbmC//yaaJ//fryC//casC//moaC//rpsD//ybiI//yejF//glcF//mgtA//
GO_0009062_6	hexR//yiaL//aceB//cysE//gsiB//gudD//insA-1//casD//pgsA//yadG//rne//bdcA//znuC//lacZ//sufE//queF//yfhH//selD//ygcR//yphD//yjeH//
GO_0009063_5	lamB//hisP//sfsA//yqaE//gyrB//bioD2//kdpB//yaaY//sulA//elaD//lysO//sdaA//rutR//eamB//hyaA//hicB//yhdW//setB//yiaL//katE//cspG//yjjI//arnT//amiA//ygeX//opgC//hemN//prfB//yjgX//curA//casA//nrdF//gntR//mliC//waaS//rpmC//gatC//ligB//yohC//yidL//yeeY//ybiX//yehW//cbpM//tmk//cca//waaU//ldtA//yceD//mglC//ycjR//yjjW//appB//waaQ//hisD//
GO_0009064_6	ccmH//hdeD//bioC//yfaU//hybE//rutA//atpD//mdtA//puuR//nanT//yacG//ccmH//murJ//yjbF//yciF//artQ//mltC//phnO//trmD//bglX//rstB//lldP//codA//mqsR//rhtC//cusF//hypC//ycjQ//lsrB//lexA//hycI//panE//lsrK//nrdI//pta//ligB//hemH//phoR//yghU//yeeY//narX//rnd//yfiC//yfiF//glcB//uxaB//
GO_0009065_7	mhpD//csdA//ldtB//hemA//yfdG//melR//glyS//maeA//dcuC//frvB//rhtB//napD//yhbY//fliT//ilvM//gatD//pldB//amiD//
GO_0009066_6	mdtF//dcp//fadK//cca//amiB//nac//fdoH//rfbC//narX//chbA//paaK//trmB//creC//sspA//ralR//bssS//osmF//mnmG//treB//tesB//tcyN//rho//cadB//entF//ttdT//tusB//mdtA//ushA//nirC//rlmL//mgtA//yeeJ//ptsN//ydcT//nrfD//yagU//rayT//narK//rcnA//patZ//thrB//cusA//cytR//lgoD//mnmC//pdeH//ybgQ//yihL//
GO_0009067_7	ybaO//cfa//arsR//yhbS//yihL//pdxK//azoR//prs//ydhK//yhhY//tamA//elfC//tdcG//yidH//yccA//lpp//kilR//ypdC//dapB//phoB//yagU//tyrR//prlC//appB//yqgB//ynaI//
GO_0009068_7	flgJ//pgaA//tdcE//fliD//ccmC//narI//pstA//ansA//pal//pyrD//cpxP//ftsX//rplC//
GO_0009069_6	yohC//yhhY//hsdM//ibsC//oppC//flgE//ynbC//fruK//moaC//ybgI//insH-6//intQ//gutM//lpxK//clsB//afuB//lysR//mqsA//yeeJ//pncB//norV//fabA//guaD//ssuC//ybdZ//ydiP//nudC//blc//maa//upp//arcB//yefM//cyaA//aidB//bluF//yebQ//
GO_0009070_7	rpsH//cydA//mlaD//fruK//fdx//murC//malI//cptB//mtlD//xthA//rhaA//bioB//entA//pflB//fepD//fhuB//rluF//cyoB//ydiK//pdeD//
GO_0009071_7	rpsD//hsdR//elaD//pheT//tehA//yciK//dusB//ygjR//fau//rfbC//hyaD//patA//mdtP//nagB//
GO_0009072_5	rne//trpGD//adhP//qseB//nrdG//arnA//rsmF//ybcJ//mlaF//fepA//yfcS//fcl//epmC//rplJ//pinQ//bfr//xisE//moaC//cysA//rluF//insK//glcA//yfbR//yjfP//
GO_0009073_6	abgB//yjjB//slt//symE//yqiJ//lpd//araF//yjbB//dppD//trkA//hrsA//eptA//pgpA//paaC//panZ//phoQ//rraA//gntT//mocA//clsB//soxS//
GO_0009074_6	insI1//purA//cpxP//
GO_0009078_6	eutD//ychF//hslU//malZ//rlmJ//yciH//srlE//
GO_0009079_7	kdpF//fimD//xylE//gntK//
GO_0009080_7	rpoE//pheA//rimJ//
GO_0009081_5	yifB//nagE//cspI//yddM//rutR//glpR//rzoD//fre//csgE//nadB//mlaD//pflC//tap//cynS//arnD//ygfA//gltP//atoC//dcuB//prkB//pstB//serB//
GO_0009082_6	pabA//pgpA//rseP//dosP//rpnD//lolD//argG//lysO//rhsD//dinG//ynaI//sbcD//luxS//ydbD//yadM//ubiD//hemD//menB//
GO_0009084_7	kup//wecE//narY//hipA//sanA//glcB//mdlA//yieF//pncB//yfdR//yiaO//fepC//kduI//dusC//cspC//qorA//yijO//lpxD//fdoI//tnaA//yjgX//rseB//clsB//fepA//rpsM//
GO_0009085_8	hcaD//rho//rutF//baeR//yqgB//rlmD//rpsP//pyrC//fixA//tdh//gatZ//glnE//
GO_0009086_7	hemD//hdhA//yjcE//erpA//mngB//yagJ//ppiA//narI//ydfK//
GO_0009088_8	yegV//galP//
GO_0009089_6	rpoD//flgF//cpdA//yegD//zraS//yraI//galK//deoB//mdlA//
GO_0009090_8	dinI//fliG//garR//motA//
GO_0009092_7	zraR//rsmH//rapA//csiR//waaA//dapA//
GO_0009093_7	nfi//lacZ//cbrC//uvrD//phoU//
GO_0009094_6	trmL//modB//yihO//yjiR//
GO_0009095_7	cspE//ybiI//hisG//rutD//
GO_0009097_7	cysB//yehU//gudX//ybdZ//hflD//rseP//yafQ//
GO_0009098_7	sstT//gluQ//ccmH//yjiR//ybjG//yoeE//putP//
GO_0009099_7	lyxK//aaeB//allD//livF//ycjR//tldD//rpmJ//yeiL//dacA//waaF//
GO_0009100_5	envR//rsmD//purU//ung//rfaC//
GO_0009101_6	amiD//
GO_0009102_6	msbA//ccmA//pheP//rlmN//narW//iaaA//gapC//ghoT//aspA//mioC//gabD//obgE//pnp//
GO_0009103_6	nth//rfbD//dinG//ahpC//cusC//tamB//dxr//yejE//dgkA//gpp//sfmD//
GO_0009106_5	orn//dapD//
GO_0009107_6	ygfX//argO//
GO_0009108_6	waaF//tcyP//yafE//nadC//rpmH//kdsA//gapA//symE//hisS//tag//nagK//galE//perR//uvrB//puuC//trmH//yjjU//speB//thiC//rpmB//cyaA//mdtM//dld//yfbV//kefB//frlB//hofP//ilvE//ptsN//fadM//sfmD//rimP//rfbX//yihI//panC//fliM//djlC//ybcQ//tcyJ//ghoS//murP//fieF//ada//galF//gadE//nudB//aaeA//yqaA//xylE//sgcE//aqpZ//phnH//adhP//eno//yidL//ibsE//caiE//glnQ//mtgA//mdtF//rhoL//focB//insB-2//yqiG//mhpA//gdhA//ampD//pgaC//fliG//idnO//chbF//cynS//glgP//cusR//citT//lpxT//yggD//yefM//ttcA//ilvD//paaH//ynfF//moaA//agaI//ygeR//glcD//galP//ybaQ//ptrA//bluF//pgk//tqsA//ihfB//lolB//clpX//soxS//yhdH//cmoM//cydA//gadE//rpsH//glyS//patA//murB//lpxD//kdsA//frsA//cobC//yjfP//msrA//
GO_0009109_6	manY//rbsD//prs//gltX//rpsB//
GO_0009110_5	yeiE//melR//menF//hisA//gatA//waaA//alsC//kbp//rplY//galK//galT//msrQ//tolB//xdhB//yobA//mdlB//yhcN//yohD//argS//pinQ//dhaK//lolE//aceK//ansA//sdaA//ttdT//metC//queF//cusB//recB//mglB//rplJ//orn//dgcJ//ygfI//menI//dnaB//yijE//ftsK//iraP//nadE//cusR//nrdE//rihC//murR//agaR//dmlR//dmsA//dgcM//pgsA//fieF//phnI//cfa//yjbH//dgcM//aroK//elfG//
GO_0009111_5	clpP//dauA//yfaX//ftsN//
GO_0009112_5	ftsW//pitA//yfbS//csgG//cobT//yhdJ//fhlA//yggX//yajD//ftsW//pepA//fixC//cobT//btuC//aceA//paaH//sbcD//acrE//waaS//rpsR//galP//setA//dnaK//pyrG//tyrR//galR//satP//thiC//mltG//ilvA//csdA//acrA//ugd//mscM//ldtD//ompC//
GO_0009113_5	potB//ftsE//flgK//cusA//phoU//
GO_0009114_8	yjjU//
GO_0009116_5	relE//yjiA//mgtA//msrC//iscX//yagI//rsmB//bluF//sfmC//narI//parC//deoR//pbpG//ascF//eamB//otsB//menI//greA//ybeY//tesB//yraI//yijE//yihV//ychO//dsbD//argT//cas2//aroG//xanQ//rzpD//ybhS//atoC//ompT//yaiP//pntB//nupG//cspG//rseC//bglX//uxuA//
GO_0009117_6	ssuA//arsB//lptB//murR//mdtQ//mdtB//bssS//groS//ldtC//ydjJ//emrB//ndh//lrp//intQ//ygeV//mdtM//mscS//lipA//ynhG//ptsP//sufB//chaC//cbl//creC//sucA//dnaQ//yihW//fecC//uspG//asd//gntP//pdeD//glcC//prfA//cobS//hybC//yfaE//yahD//matP//entE//allC//ubiA//argI//ttcA//pcnB//hslR//moaC//lsrK//rpsD//ydaC//mppA//ampD//frlC//ldtD//metL//nanS//ybhR//rtcB//alsC//tsf//rbsA//fdnG//ftsN//torY//essD//epmB//appB//araB//mazF//iscA//glgX//asr//metC//queG//purN//bisC//uspB//yrfG//nrdA//fhlA//arsR//gpmM//tar//hemN//hyfR//znuA//pyrL//bioD1//fadR//erpA//secM//yebZ//osmY//syd//arnE//adeD//cysM//galP//glpF//miaB//pabA//nfo//ybhF//insI4//
GO_0009119_6	waaQ//ptsP//chbB//rpsK//cpxR//oxyR//ilvB//obgE//argH//ydfK//uacT//alaS//cusA//insF-1//mzrA//wrbA//borD//narP//btuC//lyxK//fabB//sdiA//trpGD//pyrF//yaaY//murF//rpiB//recF//elfA//eamA//rbn//patZ//gshA//fhuF//sapB//
GO_0009120_6	cobC//bioD//prlF//yjcO//
GO_0009123_6	agaI//galK//rlmG//bipA//yhdX//xylF//dcyD//nikB//rhsD//araA//fhuC//fliD//ibaG//tig//yghO//pth//pal//amiC//fdx//wecC//fliG//pgsA//elbB//pgpC//otsA//crr//recA//yafS//mscM//ulaG//fecC//ybhI//frsA//envY//sgbE//ompT//fimZ//ydaN//ykfM//yedA//hslR//ftsB//lysS//atpF//rfaD//ssuB//
GO_0009124_7	spy//galE//dsbA//dgcF//zntR//thrB//rfaE//rpsM//glmU//pdeK//ybdO//rzpD//sdhC//ynaI//ycjU//frvA//lpxB//dhaR//zraS//pspC//ybgP//lptB//fadB//sfsB//nrfB//hslJ//hypC//yccX//insB-4//pnuC//hipA//cheZ//osmY//ibsB//hyaC//yihQ//csgG//
GO_0009125_7	dsdA//yhbQ//clsC//sgcC//mdtC//
GO_0009126_7	ydfH//pgsA//glnH//sdhE//dnaB//yciE//mglC//gapA//yqaB//smpB//nuoN//yciG//fdnH//yjaZ//recB//srkA//hypB//efeO//tynA//hflK//cmtA//rpsI//metH//gsiD//feoB//holB//eutA//xapA//trkH//trpR//xisE//cdsA//yjtD//hflD//
GO_0009127_8	rdgB//zntR//selD//yebC//nhaR//arnE//lptD//hfq//ppsR//kdsC//sbcC//ldhA//yhcN//otsB//rsuA//yedX//hokB//yahB//rlpA//wzzE//purD//panD//napC//tpiA//ddpX//preT//yhcF//rbfA//ybhP//rffG//
GO_0009129_7	yehP//dgcQ//yiaO//tdk//basR//rph//mcrA//glpD//crr//mdlB//
GO_0009130_8	pepQ//speD//gudD//nsrR//artJ//
GO_0009131_8	lpoB//fis//frvR//nuoN//ubiB//
GO_0009132_6	viaA//pgaD//sucD//frdA//rplO//yeiL//lldR//icd//yqjA//cas3//hupA//uidA//modA//casB//gluQ//rpmB//lgt//dgcZ//tusC//glpX//sdhE//tas//yihW//prmC//gcvR//
GO_0009133_7	malK//treA//hslU//
GO_0009135_7	wecB//fabB//yfhM//ydjJ//atpE//dsbB//menF//holB//dcuD//fdnG//pitA//yjiA//ppsA//glk//ulaA//tnaB//agaV//alaE//dmsA//melB//rfaH//gmhB//uspG//
GO_0009136_8	paaA//
GO_0009138_7	proQ//tbpA//
GO_0009139_8	comR//hisP//
GO_0009141_6	tsaE//ggt//nrdI//mdlB//hybE//rcnB//patZ//tusC//rlmJ//phnH//nrfF//purF//holC//glgP//rhmR//nudB//iraP//rplA//rplT//rna//idnT//tdcC//yodD//rpsN//alaE//guaA//idnT//ychO//tomB//yjaA//intE//glpA//hsdR//pheS//mobA//cusA//rnt//narP//
GO_0009142_7	dtpC//leuD//thiH//intA//lsrA//pdxB//ftsH//ftsQ//uspC//gcvA//entC//rrrD//yjiR//mrdB//aer//rplP//uvrY//yifB//recT//dmsC//bhsA//hisI//uxaC//yhjB//ykgM//citX//lpcA//hicA//
GO_0009143_7	dppA//truC//hrsA//csgG//
GO_0009144_7	hyfR//menD//wecE//adiY//dacC//lpd//yfcQ//npr//panB//yphC//rraB//potH//rlmM//yieE//yfaU//tatC//scpC//rlpA//pdeH//casC//rpsO//chbA//ilvD//secD//glcE//ygeW//efeO//dacC//arnE//exoX//fucP//
GO_0009145_8	nirB//trpGD//cycA//ynfL//cbl//mdoG//rffM//hybG//mgsA//ebgR//sdhD//mrcA//bolA//sugE//yfiR//glgS//thiD//napF//aaeR//gloB//yheT//ybdZ//sgcX//
GO_0009146_8	sppA//torY//
GO_0009147_7	mmuM//bglF//uspF//panB//
GO_0009148_8	nlpA//aldB//
GO_0009149_8	ung//moaA//
GO_0009150_7	agaI//yjfP//bssS//rffC//ydbK//sucC//ddpX//ygbM//glmU//ybjN//uidR//rzoR//dicB//yggW//gcvR//orn//ftsH//ibpB//insF-1//yoeB//oppC//ftsQ//murA//rhtC//ybcJ//yqiJ//feaR//setC//lapA//argT//glpK//bioF//rlpA//selD//narG//glgS//sgrR//nlpI//cdh//yeeO//nikE//zntA//ydiP//gyrB//mfd//pspG//aer//rpsM//
GO_0009151_7	lgoR//pcm//
GO_0009152_8	ada//zntA//thiI//tatD//amiA//ddpX//metB//aspA//sspA//fieF//atoC//ccmA//yhbX//lpxM//sodC//rhmR//tusC//yieE//hinT//sufC//kup//ygdG//dam//srlR//smpB//prpC//ybaL//ybiO//hipB//artM//fadB//fepE//glpF//fetB//atpF//glk//matP//
GO_0009155_7	glnK//crl//
GO_0009156_8	hyfA//agaD//kdsC//hemG//bssR//groL//yieK//nadC//gltX//nfi//gpmA//zraS//ynhG//hpf//ynjD//mscM//ydcS//yaaA//mipA//rbsK//uspF//add//queG//rfbC//hipA//ftsE//rcsC//rcdA//yciT//gluQ//hemN//mutL//mrp//
GO_0009157_8	ybjN//yqaE//rspB//nagB//
GO_0009158_8	tdk//elaD//narV//eco//rcsC//
GO_0009161_7	trpGD//yaiP//lgoT//ftsK//cyoA//fliT//slyA//nudF//rppH//hyfA//glpC//argT//ydcT//astB//gloA//betT//nikB//ispF//iap//proQ//uup//ulaA//araA//paaG//yeiG//helD//yafC//recT//moaC//sdaC//ycbB//ghoT//gsiD//yjjX//potG//ubiF//tsr//ghxQ//tatB//mdlA//nagK//mnmA//
GO_0009162_7	menE//lyxK//mltC//yejA//
GO_0009163_6	xerC//add//adeD//idnO//rlmE//rluE//gatD//ybaK//tktA//cstA//dkgB//surE//hcaB//rssA//nlpE//entE//yieL//adeQ//amiC//
GO_0009164_6	waaB//mscL//cydA//yneJ//atoB//hybG//cueO//ybaO//acrF//recD//cusF//rzpR//pcnB//
GO_0009165_7	paaJ//rpmH//yoeE//rpsM//bioD1//mntH//nusA//gltI//skp//yneE//fliA//sfmC//envR//waaU//rpsE//argP//ygeR//scpB//bcr//spy//hdfR//rdgC//insE-1//tcdA//essD//fetB//mreB//yeaG//dam//ygaV//narX//eutD//gloA//ydhJ//sapF//allB//yhjR//malQ//narU//pal//intS//ybhJ//msrC//cpoB//waaJ//puuC//cyoC//gsiA//frlA//frwD//ytfP//dnaA//yghG//waaH//gstB//ushA//lpxM//dtpA//flgF//argP//ybcJ//pitB//pgaC//hemA//arcA//rpsG//prs//dgcN//afuC//ygjH//puuP//
GO_0009166_7	torZ//pyrL//ilvI//agaC//dedD//pepQ//pta//ydiQ//torS//ydcO//arcB//nrdD//cysE//fruK//ydaN//mdtB//zapA//mlaD//yhbQ//ynbB//sdaC//fliZ//fadJ//yjjU//trpB//uhpT//secB//murI//polA//metK//cecR//
GO_0009167_8	metN//fdrA//tsgA//ybaE//cptB//selB//uspE//arsB//bioD1//eamB//yfdR//lolC//ccmE//ybcL//sgcB//manA//wecA//mdoG//glcB//phnL//yneL//yadC//ybhA//arnA//ilvA//ycgV//ydjH//pcm//xthA//sufE//yeaE//yghG//uxuR//ycjD//
GO_0009168_9	elaB//yeeA//arnA//purC//dhaK//menA//dnaC//btuD//relA//talB//nfo//epmC//rsmB//metC//emrB//yegS//gatY//rsmB//nrdA//ydcT//fimG//crr//glcC//glnH//treB//lsrG//ompR//gntP//frmR//arnD//
GO_0009173_8	yfaL//ddpX//allS//fau//glrR//pflB//gppA//
GO_0009174_9	yedF//dusB//
GO_0009175_9	rimO//ppiA//yebK//fadI//recG//
GO_0009176_8	rpmE//atpH//patA//
GO_0009177_9	araF//yciG//puuC//
GO_0009179_8	chbB//hyaB//idnO//yjgX//fadJ//pstS//lon//nuoN//chpS//mppA//ompR//cobS//pta//lpoB//ydiR//gatY//ydaV//rpoD//argH//araG//lgt//focB//ynbB//
GO_0009180_9	hisI//
GO_0009185_7	dgoD//preA//flgH//ppk//fliT//ydcO//mglB//glpB//yhdW//yajQ//thrS//glpD//ycdY//rutD//hisD//ddpX//trpD//yigB//secE//tatB//spy//ansB//gsiD//ihfB//
GO_0009186_7	kefG//
GO_0009187_7	bamA//argI//
GO_0009188_8	rluF//hrpA//
GO_0009189_8	ygiN//
GO_0009190_8	nrdE//ybhI//
GO_0009193_8	flhE//
GO_0009194_9	ibpB//
GO_0009196_8	mlc//
GO_0009197_9	rlmE//
GO_0009199_7	kdpD//hisF//recF//rarD//bhsA//speD//rpmH//mglA//pabC//sgcX//insA-1//ldrA//csgB//yfjR//yfcR//dgcQ//agaR//deoD//zur//kdsA//gspF//ndk//leuE//waaB//rhoL//betA//cspE//ascB//ygaZ//iscX//rpsN//
GO_0009200_7	recT//yggN//gabD//thrS//
GO_0009201_8	yqhC//mlaC//fabB//ypdC//asnB//rluE//ynbD//gatY//upp//speD//ybiX//thyA//mepA//cysZ//pspF//rlmF//ssuD//tpiA//wzzB//argF//hiuH//proW//hldE//envY//
GO_0009202_8	gloA//
GO_0009203_8	ldtC//
GO_0009204_8	thiG//hemA//nuoH//
GO_0009205_8	leuD//gntU//treB//gadW//sxy//ldtD//phnK//eamB//rihB//yneL//yjiQ//bfr//yoeE//ldrA//metR//bglX//ulaE//lpxH//narW//hdeD//elfG//yegT//ebgA//galU//hdeA//galU//nemR//metH//yeaG//
GO_0009206_9	dgt//prkB//livH//atoS//tdcE//yhjC//iap//napD//appC//eamB//pphB//ibaG//flhE//menH//adeP//dsbB//patZ//smpB//pgsA//hdhA//hpf//azoR//ybiO//
GO_0009208_8	tauD//blc//
GO_0009209_9	gntP//
GO_0009210_9	ldtB//
GO_0009211_8	rcdA//tauA//yciA//
GO_0009212_9	ybdR//
GO_0009213_9	mltG//thrS//
GO_0009215_8	znuB//gapA//
GO_0009217_9	ybhP//iscS//
GO_0009218_7	hiuH//gltL//dnaT//ldtD//rhmD//eutA//ydeI//yebG//tcyJ//kbp//glcE//pnp//
GO_0009219_7	ssuE//ynjD//ddpA//rbbA//cas3//
GO_0009220_8	secG//paaX//yahD//agp//waaY//flhC//
GO_0009221_8	maa//adiC//phoA//fruA//
GO_0009222_7	ppc//yabI//cmoA//rpnD//nikE//polA//
GO_0009223_7	epmA//rnr//
GO_0009224_9	lplT//pdxB//
GO_0009225_5	radA//aes//cspD//yehB//thrA//ftsH//abpA//appC//sad//arnT//ybaK//rplM//rnpA//fadA//frwB//
GO_0009226_6	gltS//mdtA//rfaE//fucK//setA//nlpD//dinD//ynhG//ygfZ//rclA//ttcA//dtd//wcaJ//
GO_0009228_7	yehZ//dacB//sufA//opgC//exuT//gmk//cydA//cysN//ybgQ//cobU//
GO_0009229_6	yidZ//iap//
GO_0009231_6	aroE//yhiM//bioB//glgB//idnK//ariR//yehU//
GO_0009233_6	gltL//appA//rpsR//mtlD//yihQ//yqhC//oxc//glmS//malF//codA//
GO_0009234_7	lamB//cyaY//tilS//cca//yqaB//bsmA//guaC//talB//lysP//basR//
GO_0009235_5	rihA//folC//ribE//epd//ycbX//cheZ//
GO_0009236_6	waaG//hisF//yiaM//fryB//sad//clsC//
GO_0009237_4	allS//cpdB//mdtF//yneL//cysZ//gcl//ybcJ//rpmG//intZ//
GO_0009238_5	rnlA//torC//metK//yhdW//ribC//yddL//zapC//pheT//aas//
GO_0009239_6	der//hcaF//nrdR//mrdB//ybiA//yahO//lolE//nuoL//
GO_0009240_6	eptB//sdhD//yadN//rraB//aroG//
GO_0009242_6	araA//nadK//pyrC//iraM//eamB//xylF//plsX//citE//glpK//pagP//nagB//
GO_0009243_7	rlmG//
GO_0009244_7	sucA//ybdO//eutN//yibH//efp//arcA//yehW//agaR//dcuA//tnaB//cbrA//dnaX//nrdE//rlmG//aroH//argO//ydaC//murI//paaC//hxpA//ybiS//tusA//yhcH//selA//ynbB//ssuA//ycaO//csdE//ykfM//
GO_0009245_6	pflC//nemR//citE//bioA//yihO//sucD//treR//hisP//bcr//argS//
GO_0009246_6	rpsL//mdoG//elfD//ybjX//fabR//casA//perR//glgS//malE//
GO_0009247_6	hofC//lolA//alr//aroP//cutC//alkB//tus//mltD//ybeY//mtlD//ruvB//lapA//
GO_0009249_6	clcB//yidR//ssuC//
GO_0009250_7	mreC//ybaM//rutC//paaC//chaA//yaaU//mzrA//ribD//napF//xisR//adhE//rnc//hinT//yfjR//
GO_0009251_7	yadV//sucC//lplT//ilvB//argB//sfmC//
GO_0009252_7	rfe//rihC//alpA//ahr//holD//aroA//speG//hxpA//uxuR//abgR//acs//intZ//cobS//uspB//pitA//yihU//yagI//rutD//malI//cdgI//astC//murC//tsaE//intA//tesB//betI//mdtC//leuA//cysN//flgM//rplY//comR//tamA//nikB//secD//melR//yacG//ccmG//ibsA//
GO_0009253_8	appB//cysG//yiaB//ldtA//udp//ompT//yjiQ//pgpA//eutN//lsrG//
GO_0009254_8	sthA//oppA//cbrA//rhsD//bolA//htrE//yjbH//araD//mmuP//agaC//
GO_0009256_7	ydfH//glnD//cmtB//modA//
GO_0009257_8	cas3//rcnB//tomB//mcrA//
GO_0009259_6	tag//yahN//yfeO//dhaK//lpd//ygiS//opgH//rplC//livH//yajL//queC//gltB//trpS//abgA//nikD//srlA//rsmG//eno//luxS//xanP//yeaG//napC//ldtA//tesB//panC//ldtC//artQ//ygiV//nfi//hyfC//recB//diaA//rlpA//hyaC//yehZ//coaA//pdeD//nemR//waaF//yigB//yciH//gatD//hycI//rhaT//hycB//erfK//mepA//mraY//atpC//iaaA//codA//yohC//dcp//fbp//ffh//chbR//shoB//gluQ//agaS//opgH//crp//
GO_0009260_7	alsK//degQ//dtpD//xylG//asd//yijO//setA//rzpD//arsB//lexA//yciF//hflD//era//gspJ//acrA//tsx//ycbU//wcaB//mltF//ccmA//cbrA//pldB//ung//cho//pal//alsE//wecA//yaaU//bioF//ispB//citG//feaR//kup//csdA//pheS//bluF//adeD//hisD//ibsC//malS//glnK//mgtA//hypC//fabZ//
GO_0009261_6	ubiD//nrfF//ydiR//nagB//gatD//ftsL//
GO_0009262_5	barA//acrD//ygeX//fucP//mglC//yqjI//rpmH//yqgF//envY//prfA//rutA//mcbR//insI4//
GO_0009263_6	clpX//mdh//hdeA//rbsB//gabD//chpS//kbp//nrfD//hscC//
GO_0009264_6	dnaJ//alsA//yqgF//yejE//sdhB//
GO_0009265_7	pdeL//mnmG//ispF//glgB//raiA//
GO_0009266_4	nirB//rne//wcaB//mdtJ//yhaM//rpmC//hrpA//yegS//elaA//mscM//cysE//mlaB//casB//ycjQ//hisD//rimP//eutA//metK//kbaY//ygbL//bipA//hypT//pmbA//cspD//yohD//mcbR//dxs//deaD//nudF//dapF//galU//paoC//ynfE//tldD//tcyP//sdiA//wcaB//dsbA//araH//fbaA//agaW//nrdG//cusC//phr//pitA//cecR//eno//yehT//trmD//yjeI//rzpR//ribF//rbfA//dmsC//opgD//pgk//etk//puuB//rnlB//ilvH//rsmH//mocA//yohD//araA//cyaA//prpD//ompC//arnF//holA//rpmC//zraS//nemR//mak//lhr//ydhJ//crcB//ymgC//rnhB//amiB//csgA//yfdR//insI1//
GO_0009267_5	xylA//folE//mioC//gudP//secD//zapD//rnc//uspE//rsfS//artJ//cysK//csdA//chbC//yggN//dcm//treB//tabA//chaA//adhP//yoaB//arfA//tdcA//recB//dacA//melA//perR//
GO_0009268_4	ftsB//prpB//yjbE//kch//cmoA//exbB//glsA1//ychH//yabI//nanK//yeaD//yidP//yeeL//kbaZ//adeQ//cdaR//phoE//flhE//tusB//pnp//lsrD//lepB//deaD//cvpA//frmB//nagZ//cydA//
GO_0009271_4	yiaO//uxaA//skp//
GO_0009273_5	opgH//secD//recJ//bdm//dsbG//ydjH//pgsA//lipB//sucC//dinJ//
GO_0009290_6	murG//nudB//
GO_0009292_4	trpB//yqiI//
GO_0009294_5	ftsH//trpS//
GO_0009297_6	oppB//lpxC//ubiD//hdhA//rplK//potG//nagD//ssuD//yigB//clpP//lyxK//ybdO//folA//srkA//
GO_0009298_7	ndk//arnE//rhtC//
GO_0009305_7	ybdO//
GO_0009306_4	ybdH//tonB//rffG//ddlB//frmB//nlpD//mmuP//
GO_0009308_5	waaY//xdhB//torZ//rclA//gntU//yejF//yigB//yggN//copA//rstB//slt//ftnB//ghoT//ygdG//ascF//ldtA//yhbQ//mppA//kdgT//yehT//yidP//cydA//npr//panF//yaaU//cof//sspA//
GO_0009309_6	atpF//fis//cirA//menF//rffH//ppk//kdsC//rpoH//rpmJ//nadD//nhaR//yafQ//phnO//yiaA//
GO_0009310_6	barA//pepQ//ynfK//yodD//grcA//dtpB//sufC//lgoR//paoC//marR//copA//glsA2//cyaY//
GO_0009311_5	paaG//lyxK//yijO//yacG//crr//tamA//fhuC//nikA//coaD//phoQ//ahpC//metF//ribE//aroB//yehC//focB//tdcC//rlmB//yehZ//rnpA//ppc//dsbD//tsaE//yihU//yihP//ubiA//menH//zur//sufE//potE//speF//cbeA//fiu//nikD//trmO//sgcC//rssA//matP//azoR//bamE//rimP//relB//yaiV//glvB//panD//ydcI//glpT//entB//arnD//sdhA//tdcE//rho//epd//
GO_0009312_6	garL//trkG//dsbB//ydiQ//lpxD//dsbC//yaaA//insI-1//flhE//ldrB//yjjX//lysA//lsrK//puuC//livM//mltF//metK//soxR//garK//btuF//crcB//ygeV//yohD//flgG//msrB//glxR//tar//metN//cstA//ghoT//crcB//hdeD//maoP//cas1//mscM//fadJ//ftsK//yneJ//yehY//speB//yraN//yhbY//
GO_0009313_6	cusA//pphA//ygiS//yahK//uvrA//ybhS//hldE//rpsA//yhgF//yciG//
GO_0009314_4	thiL//hda//uxaB//ykgF//yfaV//aroP//tcyL//metR//tbpA//arfA//cutA//ybcL//smpB//gspF//aldA//ravA//intZ//trpC//ais//napF//uidR//cspI//ptsI//lipB//ydcM//chaC//yhfS//rnr//nudB//lipA//yhbX//fruK//gcl//recE//wcaC//pabB//mdtK//thyA//fic//proB//otsB//ynjA//ppiD//idnT//csdE//abgT//pgpB//ssuA//dtpB//fecC//fadD//tamB//mobA//apaH//hyfR//prfB//infB//frc//ruvC//mngA//znuA//murC//ycgR//mglB//cysZ//yehZ//ytfQ//feaR//yejB//ygeR//fliL//cdh//dxs//sodB//cdd//rzpR//rpsT//fdhF//flhC//csdE//moaD//pinE//yidA//galK//trpGD//yidA//yraJ//glvC//rpsM//thrS//fimA//recX//
