#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rpsH//ynfH//yfaV//dnaC//
GO_0006873_5	ydeE//ycgR//waaB//serA//ftsP//ypdC//polA//wecE//dxs//gldA//xanQ//ompG//folM//purA//bioA//mutS//mhpB//caiD//prpC//bioA//frvA//minD//pinR//yqjI//dtpA//cdh//selD//gpsA//ccmE//yraI//
GO_0006874_8	gstA//
GO_0006875_7	ybeQ//yiaU//yjeH//gmd//yhdW//yjiA//yafQ//osmY//bcr//entH//ypjD//fryA//arfB//betI//mscL//lpp//yjaA//fdoI//yjeI//fepA//cbeA//
GO_0006876_8	azoR//
GO_0006878_9	pinR//abgT//betT//ybiW//hisS//
GO_0006879_9	ftsA//ymgF//rplY//alkA//cusR//ldtE//yfcG//frmA//hxpB//yphF//hisG//
GO_0006880_4	appC//tusE//ybhJ//
GO_0006882_8	intF//
GO_0006883_8	nadB//yojI//malX//
GO_0006884_4	cpxR//comR//argK//cbeA//artP//
GO_0006885_9	citT//ilvL//cycA//citG//thiH//gfcE//pppA//ybhR//xylR//trmB//yhaV//
GO_0006886_5	menB//yehA//thiM//rpoA//gntR//qseB//chbF//cyaA//gloA//ycjW//opgB//
GO_0006928_3	ivy//lysR//topA//hisF//trxA//gadX//ubiJ//ydhQ//hemA//ahpC//rffG//yagF//yraH//sgrT//afuB//accA//potC//yggN//ivbL//ulaC//setC//yeeO//ydeP//helD//ybhF//cynX//sbp//tdcE//nadE//cdgI//aceB//yhcD//fruA//cmoB//aldA//kdgK//lsrG//nudB//cmk//ygdG//yagE//narP//glmS//xapA//
GO_0006935_4	cysI//yfjV//mgrB//torI//fliT//truD//kdsB//phnJ//hemB//ygeX//yhbX//rpnC//glpD//dhaK//hemA//tus//
GO_0006950_3	mnmC//rluA//pgrR//hha//dnaT//elfC//serC//hisQ//ydhC//dgt//hypF//cpsG//arnE//folD//uvrC//ansB//yqhC//cmtB//setB//agaW//rne//mdtO//rfaG//ompC//ivbL//adeD//rsmH//rplM//purC//opgE//talB//holB//gshB//zwf//fau//yajL//nanR//xanQ//yjjQ//ydcO//gpmM//ispA//torR//lysU//galT//dinG//yhjG//aaeA//lpxK//yebG//bioF//sgcR//tdh//dusC//ybiT//cstA//yciT//metB//paaG//hprS//mpaA//yciV//rplD//yebK//glpG//uacT//marR//yfeX//ibaG//kefB//ygiS//ybjD//fecA//cheW//secB//ldtA//rraB//ptrA//fadA//ubiJ//mzrA//fhuF//selD//ycfL//rsmD//cusA//ibsB//pyrL//aaeB//opgE//phoQ//cyoA//msbA//dsdA//ybdZ//dacC//tig//ycbX//gatZ//kefB//pntA//hisB//ptrA//sufD//ydjK//rhaD//sbp//ykgA//ldrB//ubiH//feoC//tap//syd//alsK//chaC//paaD//mdtJ//srmB//lapB//fbaA//macB//ibaG//sseA//srlR//mpaA//queF//zitB//fryA//ugpB//cnu//trmD//mnmG//dam//tdcA//asnC//yoeB//rfaF//osmF//nemA//mrcB//proA//kdpC//ygaZ//fimZ//rhtA//nirC//mdtQ//lgt//fhuF//lpoB//yihR//acpH//yieL//aaeR//rep//yjiY//tig//rimP//cydC//insA-2//sgcB//fadE//yohD//ybhR//rihB//yiaT//dmsB//yjiA//yciK//rsmJ//kefC//frdC//yejB//ydjK//yhbS//cdh//ybhJ//acrD//yieH//yhjV//rhaT//avtA//pdeL//pepB//trmJ//rsmI//ppc//yhgF//dps//uxuB//yphC//lpp//rpnB//insF-1//yphD//ibsC//yeiE//tauA//uhpC//rpoS//moeA//nanK//yieF//ycfS//adeD//fimG//waaC//gatA//pfkA//yjjW//tatE//yagJ//pdeF//rbbA//pdxH//rplW//rtcR//sgrR//ydeM//yhcD//topA//argA//manX//yjaZ//yhhT//cadB//mqsR//dinD//ycjQ//fcl//dcp//dbpA//dsdC//pgaD//yjbB//yedF//opgC//ydcM//araE//lpoA//metH//acpP//qseB//bioH//ybeQ//recJ//alpA//cmtA//menC//yadK//glsA//gatZ//atpG//mngA//narG//dsbD//atpE//uup//citG//kbaZ//ptsI//gatC//ompR//dinQ//arcC//gltB//truC//hcaT//napF//yjcS//gltX//yecS//elfA//ruvB//yajQ//mrr//ydjK//yidC//recR//fryA//tdcG//panD//tag//purT//gltD//ybjG//rplN//mltD//yihQ//polA//yciG//ybgI//lolA//chbR//tatC//symE//tktA//arnB//ddlB//yccX//rpsE//modA//mgtL//rplK//amiB//yphD//hmp//cyaY//hybA//putP//hisB//yagE//rnr//rpsR//yiaB//coaD//elfC//rsmD//exuT//rzpD//ybdR//motA//ftnA//yjiQ//ddpA//wecA//cysZ//yfcS//prpD//lsrK//rfbC//ulaE//gsiD//potC//rof//yfcV//rsuA//elbB//rpmC//otsA//fimZ//yiaF//nudG//dsbC//tsr//ycdX//prlF//ariR//lpxM//oppB//yhfK//fdx//yiaJ//yfdO//rpmB//metG//fumC//rplS//yqcC//casA//ydfK//betT//dedD//leuB//yibT//ybiJ//rzoD//intS//mepH//ygbI//rseB//rfaD//ansB//wzzE//cheR//artQ//hcaC//pphA//icd//aroA//ybjL//insI1//pgaD//tabA//eptC//dnaG//fepA//mgtA//treF//hisH//lysU//ribD//hisA//pspF//secE//dinB//mtgA//nlpA//mntS//pstA//yjjB//potD//glpA//yqiG//ykgM//rplM//plaP//hycH//rimJ//rspB//gfcE//alsE//hofM//rhaR//insI4//rhoL//ygbL//gpp//yneE//dnaE//yqjH//rnlB//trkG//prfB//cysE//rpmA//yehW//envR//ghxQ//bamC//holD//nadK//rlmM//greA//yggW//selU//nuoN//acrR//lptG//mdtO//mdtE//wecA//afuB//argG//waaA//nrfG//yfeD//ilvC//malG//afuC//ymdB//kdpD//ydcS//fumC//ykgO//infB//mug//elaA//ydjE//rhaT//arnA//pyrD//nirC//rmf//dhaR//osmC//pliG//ghxP//rlmL//queE//arnF//ilvA//uhpA//ugpC//nikA//hupB//umpH//hcaE//fadI//ycfH//yehC//argA//
GO_0006952_4	alpA//zapB//menH//grxD//mqsA//yafO//holC//mhpA//citT//intE//ybjX//yieH//
GO_0006970_4	metR//fre//glmM//dtd//hscC//ybfE//ilvC//pspG//yadI//nupX//prs//mltF//gatA//yafE//tsaC//ygiS//rseB//ompN//tatB//caiT//hflC//bssR//yedA//panC//xylF//msrC//thrS//yiaA//ihfB//rspB//thiG//bioB//metH//sspB//glpX//map//yjjW//yhaC//
GO_0006972_5	waaS//lolA//ompC//folD//mhpB//ravA//glpR//gabT//gmk//mppA//dtd//gatC//yraJ//ytfT//
GO_0006974_5	rpmC//mnaT//guaD//mrcA//yebZ//rbsK//murD//cutC//fimB//rzoR//treB//potG//garL//zapB//yagI//proW//ykfI//aspS//iscA//zraS//hslR//alsC//lysS//potC//yfiF//metQ//yqjA//rplD//pdeH//metB//yneL//ydcT//creC//fliL//ftsP//recG//cpxR//mrcA//lpcA//mnmC//ilvL//trpD//mlaC//topAI//alkB//nrdE//cspB//rffG//acrF//nhaA//yagF//lapB//dam//aceK//xylF//rutR//purR//glpG//mreC//ycjD//fabI//fabZ//dicA//viaA//gltI//yqiI//proA//cas1//yaaU//yebS//eutB//cysE//tdcA//ydcS//cysE//yfiR//yhjV//hisP//aslB//infB//rhaT//cca//sufD//yciH//ssuB//lgoT//ybdH//glgB//ybiW//arnD//nanA//polA//waaQ//fkpA//xthA//maeA//gatD//cysW//hofQ//yedX//rsmJ//ygbL//hcaR//endA//udk//bglA//yjeI//mdtF//livM//prfC//purF//ivy//gyrA//yhhZ//ispG//setC//lpp//yhjR//glcD//rsmB//caiE//wecC//prkB//frlR//paaB//cmk//fhuD//rimM//nadB//potC//slt//rsmJ//insB-4//pdxY//trmJ//yeaG//hdhA//cadA//hslU//ecpR//nadB//insI-1//cutC//frdA//ydhC//truA//tolQ//hemH//dinB//gnd//ftp//pgsA//yggW//lepB//wzzB//ycgB//yraI//ftnB//yihR//hscA//argD//lysC//setC//yiaF//helD//yjiX//sodC//ydiO//xerD//pta//pgm//yiaL//hemN//frlA//rsfS//trmJ//dauA//ebgA//slyA//pckA//dsbB//uup//bglB//lysU//ptsP//glxK//tgt//dadA//ykfM//holB//aspA//ydcI//rlmH//rffG//fdhF//yadC//yjbH//agaC//lolC//macA//sgbH//tauA//metB//mobA//queG//aroB//zapC//dicA//leuC//cysN//adeD//pcm//rfaH//ydbD//lamB//pdeF//sfmC//rnhA//rutG//deoR//dapF//dmsB//yqiI//lsrA//rarA//sgcE//ackA//ftsP//aroP//glpC//nrdI//yacG//hycH//hsrA//pliG//ppx//artJ//yhbY//thiQ//leuD//cbl//rihB//psuT//accB//yehX//osmC//
GO_0006979_4	nimR//gspF//nfi//mntP//xylA//dacD//melB//zapB//ligA//fimA//rimO//trpC//nuoB//bioC//yqeG//gpr//frlR//yqiJ//yajL//rrrQ//rplO//ridA//aroL//fecA//hisF//gadA//ftsK//mzrA//rpsD//mnaT//tdcF//dhaL//sgbU//malX//acrZ//pphA//yiaT//hns//xisR//ghrB//fliZ//hicA//nrfB//fnr//bioH//rpnA//pliG//recA//acpP//mdh//xerC//fepB//ddpX//yhbO//bglB//pgpB//yjaZ//rffC//clsC//cof//rbsK//ycjU//atoC//bcsQ//osmC//surA//ccmH//ais//cysH//torC//ybiO//aroK//yhdX//hofP//fsr//nrfC//ydjM//dmlA//dinQ//serA//rpoS//yhjG//yggW//dacC//ybiS//ydaV//
GO_0006986_5	epmB//prpC//yfbR//ascB//tcdA//der//
GO_0006995_6	rsfS//rffC//
GO_0006996_4	fdrA//ydeI//mreB//yeaK//znuA//pbpC//purC//zwf//malK//cyoA//yfbU//clsA//mak//glmM//yafO//ompR//recG//envY//abgB//pepT//gspF//ybdN//tehB//eutA//yfiC//aer//ibsE//yifB//hisA//ppsA//sppA//hisF//zntR//dhaL//ymdB//glnP//mrp//mukB//iraD//
GO_0007010_5	dld//
GO_0007059_3	uxuR//insH-5//yjhH//hisB//dnaQ//entS//sufD//potF//mtlA//feoB//
GO_0007062_4	carA//pabA//tonB//sgrR//
GO_0007154_3	cutC//gltS//pheP//ymjB//hyaD//pdxY//kdsD//mreB//ribA//bamC//ulaD//yiiE//leuD//yijE//rpsK//folA//cysD//fic//waaA//dmlR//yqaA//hyaA//murC//insI1//corA//hemF//ymgA//hisB//rarA//rep//ybfE//abpB//menF//garR//ibsB//rzpR//dsdA//yajD//mdtQ//clsB//intQ//leuO//rrrD//zitB//glpF//yhiM//ydeI//fecD//ydbK//pabC//mntS//ghrB//thiI//nadB//xisR//
GO_0007155_3	yceD//bioC//frsA//yqiI//tilS//pspF//pcnB//arsR//cynT//actP//nuoB//ileS//mngA//rpsL//mdtD//gltX//rnhA//pdeF//hisB//adk//wcaJ//insI1//yiaJ//astB//tilS//insF-1//yaaY//btuF//yghB//galE//livK//cmtA//ybdH//yfiF//panC//
GO_0007163_3	ghxP//
GO_0007165_3	ydjM//rfe//insB-4//fimZ//rhtC//cadA//hofP//ubiB//ypdF//metR//lpxD//trxC//atoC//lamB//panD//ybjI//sspB//opgB//lptE//fimB//argE//yjhG//proX//prkB//rhaR//lyxK//obgE//fabG//cdsA//crl//kdpB//rclC//uvrA//dgcN//rpsA//perR//yeeA//cas1//yidA//cysU//iraM//ridA//yagI//ptrA//norW//trpR//yraN//sgrR//yieF//insB-4//plaP//purA//cyoD//gyrA//ygbN//prmB//grpE//afuB//malG//dinI//
GO_0007166_4	ftsI//cysS//rpsA//malP//
GO_0007215_5	rplN//phoU//fadK//ldtE//
GO_0007231_4	yeaE//
GO_0007234_5	hybF//
GO_0007267_3	apt//ligB//
GO_0007346_6	gatZ//entS//yadK//
GO_0007584_4	tatD//rplT//yehD//fadH//
GO_0008033_9	dtpA//relA//tqsA//arcA//yfhH//ybhP//napC//phnP//ccmH//glpK//yehZ//ampD//yeeO//smrA//pepT//mtfA//yicJ//ycjP//napA//yjaZ//sixA//acpT//trmA//moaE//ddlA//bioD//metC//ddpA//gcd//sdhD//abgR//yraH//gpp//sstT//upp//prmC//ygiV//ydiB//gsiA//ynjD//ynhG//spy//caiT//rsmF//pdxJ//yhaJ//xylH//greA//secA//iclR//degP//malP//mdtF//frwD//ptsH//xerC//
GO_0008104_4	ldtE//gloA//ycbV//mltD//gspJ//dxs//lolE//rzoD//bamB//hypA//sucB//mqsA//pyrF//yjiR//panD//mdaB//ndk//trpGD//trmO//plsX//rplM//purC//yoaB//pncB//yafS//hchA//gatY//stpA//ycfJ//aes//ispB//mprA//glnS//btuD//wrbA//ftsZ//arnE//ygfX//mhpT//gshA//lit//chbC//gntP//mak//sbcB//udk//ybfA//purD//rpsH//
GO_0008156_8	modC//yjjB//yjcS//tusE//aes//fecB//
GO_0008202_5	frsA//
GO_0008206_5	deaD//
GO_0008213_7	artP//hlyE//ybiA//yjhI//rcsD//adhP//yjeI//emrE//
GO_0008216_5	glnE//kefF//bssR//
GO_0008219_3	hdhA//caiF//mhpA//rnr//rbsB//metL//pabC//yehC//ahpC//eamB//rmuC//nuoE//manX//rhtA//ubiG//
GO_0008272_6	opgB//obgE//dmsC//lasT//rplR//napB//rpe//
GO_0008295_6	evgS//chpS//cpsG//
GO_0008299_5	yebQ//grpE//prmC//mmuM//ykgF//panE//
GO_0008360_4	hofM//yadK//ybiS//frdD//ilvE//appA//allC//secM//maeA//fes//arcC//rplT//ychO//nrdB//chpB//pmbA//
GO_0008361_5	nanK//ybiA//frr//sgcC//birA//
GO_0008380_8	rraA//
GO_0008610_5	fhuC//yegT//ybaT//waaJ//uxuR//lptG//pheP//speC//ttdB//glpX//yhaC//nadC//sapD//yiiM//metH//insI-1//uidA//hslR//yaaJ//caiB//uxuR//nlpE//glpB//dgoA//murD//znuC//paoC//lldD//malX//idnD//accD//yhbO//bamC//elaA//insH-6//focB//hofC//ompR//gltB//pal//nikC//nhaR//solA//dgcZ//sspA//rutC//nupG//sucC//ygfZ//nrdH//rusA//ydeO//araG//panC//ytfT//frr//prmA//fdnI//ldrD//yiaF//tdcB//feaR//cydC//rsfS//ygiS//cutA//rffM//
GO_0008614_5	asnC//galK//ldcA//rffG//ybhR//fabH//treB//
GO_0008615_6	yejE//rssA//flhC//sfmC//fis//mdtM//slyA//
GO_0008616_8	ycbV//kdpA//yhhZ//ibsC//ybjC//garL//sseA//
GO_0008617_9	gstB//
GO_0008643_6	uxuB//puuC//cysN//bcp//wecB//lacI//rffG//hcaB//yjcS//cadB//folD//rpmA//cspB//asd//yidA//yqjA//rfaG//nfuA//menE//sfmC//paaZ//panE//dicC//ydcO//hybA//deoR//fadE//citE//mngR//phnK//dcuB//hha//yfcU//rnpA//ddpX//ynfE//ydgA//clsB//ynfE//yqjI//thiQ//bfr//rpoD//yceO//ydjK//ftsI//agaV//cbrA//flgC//hcaF//fucI//mfd//xanQ//rpsA//fruA//speC//hsdM//yehP//dtpD//puuC//znuA//rfaB//yjeH//rlmB//yhdZ//bamA//fcl//narH//metH//moeA//glnE//setA//lplT//afuB//rhoL//mntH//ubiG//puuC//afuC//treC//lacY//tolA//yegS//pck//yieH//ftsW//msrA//caiB//rpsK//acpP//manA//potD//bcsA//srlA//mug//wza//waaP//clpX//cdh//dctA//narK//ydcM//aspS//panB//gcvH//yagJ//ybhS//ahr//rpsD//artI//ybaK//hcaB//yfdS//rhtB//
GO_0008645_8	hisF//pabC//fadI//insI3//ycbB//yiaA//diaA//mscS//insH-5//gltD//galK//opgD//atpH//bdcR//gldA//rraB//yobA//ttdR//cspA//potE//murB//bioD2//ortT//selU//
GO_0008652_5	csdE//dsbB//garR//etk//ribB//yqgB//cobC//pcm//mzrA//argE//tomB//rlmF//ygfI//spoT//ptrA//rplJ//ydiZ//acrD//elfG//trmJ//hcaE//yadM//fhlA//emrD//idi//bioA//trmA//yhjB//yidZ//ilvE//higB//fadJ//frwB//dhaL//ybjI//pfkA//ygeX//hybG//pagP//ttdA//corA//exuT//tsx//glvC//aldA//rrrQ//yeaG//gudP//ppsA//artP//yddG//fecD//folP//tonB//pdxA//osmY//glsA1//ydeP//manA//bioP//yhiM//dnaB//azoR//cdsA//sohB//carA//lptG//entA//yfbV//phr//accB//recA//recJ//rpnA//ulaC//galM//adk//tdh//ybeY//fdrA//ydhK//ytfP//epd//mqsR//dnaX//fepG//ycaO//ccmF//insH-6//fadJ//ybiS//ldhA//yegV//trpL//frwB//ttdA//lrp//xapR//ugpA//adhE//hybE//mdlB//fdoH//rutE//hpf//lolB//livM//mtr//cecR//ebgR//polB//elfD//pdeH//rof//
GO_0008653_5	ffh//nsrR//chpB//yfcS//entF//dctA//fadJ//ydcM//tcyL//gmk//csiR//malP//ymfA//
GO_0008654_5	gdhA//dhaR//agaI//hflX//ppsA//yfeO//cysG//chbG//gabP//yfcV//sodB//yhaJ//allB//citC//ygjH//hybE//arnB//cycA//ibaG//metC//dcyD//fimD//uxaB//queC//yafO//cutC//zupT//rarA//insI4//cbpM//guaD//cca//nikR//cas2//hdeD//
GO_0008655_5	yjeH//focB//pheS//wecE//fliZ//fimF//pspG//
GO_0009050_6	proA//yeaD//
GO_0009052_6	napF//narU//yajD//glpT//ybjX//tusC//fdhD//
GO_0009056_3	mutL//fimF//queF//htrE//cobU//cynS//clcB//cheA//cusB//aspC//yciF//hcaE//hypE//ypdI//mgtL//ribC//dgcM//mltC//lplT//secB//ftsL//acs//lnt//hyfA//ubiF//glgC//gltS//glnL//rfaQ//pntB//cpoB//endA//yccX//yqeG//rarA//yihR//cmk//arnT//carA//prmC//yceO//hypT//fruA//ygjH//yjaA//ribE//treB//allB//rclR//insI-1//phnL//yqiG//yehU//glcF//tauB//ispB//hemG//pcnB//arnF//narG//gpr//ynaI//eutN//gcvP//evgA//dmsC//gldA//torR//yihO//xylH//ybjC//mscL//dmsC//stpA//lpxD//napD//yqiG//tdcR//yjhH//yaiP//iscX//fliL//rssB//kbaY//ghoS//prc//yneE//setC//yfaX//tdcG//nhaB//uvrY//lpxH//hdfR//rpnD//ydiP//sgcR//recR//adeQ//secG//barA//prs//csiD//ybjX//gcvT//glcE//ybhR//rpsN//yjaA//ybhJ//ychF//ygeR//msrB//xylG//dcuS//rraA//yggT//yeeY//wzzE//frmB//rna//cas2//elfC//malF//moaC//glnS//fruB//tatA//yqaE//nmpC//degQ//zapD//yijE//azoR//xapB//rpsG//lysS//yfeO//yciG//gstA//yjiM//dinQ//yqgF//infB//rsmI//gmd//lsrC//iscA//yhaC//tabA//baeS//rmf//pabA//paaB//yehX//ydeI//rpiA//mreC//hdeA//ybhG//recT//ybjI//kduI//yggN//ompA//gyrB//prfC//pphB//bamA//potH//yadG//cedA//parC//malI//agaC//ascG//fetB//xerD//pinR//thiQ//acrZ//yciV//entB//yejB//modC//hinT//fhuB//glcE//rfaD//ykgM//csdE//yidQ//baeS//greA//rplC//fadR//cytR//yqaA//sfmF//lpoA//soxS//priC//znuC//menH//rpnA//glvB//dacC//fimG//nanE//lplT//hcaB//galF//narJ//puuC//msrA//dnaG//hisB//yidE//sgcX//rpsP//frwD//lpxB//rlmL//hflX//proB//hypF//citT//thrL//fecD//yehT//rffM//waaZ//leuS//ompL//ychO//lpxP//lsrR//melB//pyrD//ldtB//yihP//pitB//cysE//ynfL//cheR//cysW//ydeE//pdeL//menC//paoC//mtn//ybaO//mhpB//era//eamA//bfr//ilvL//iaaA//puuE//gudP//astB//yijO//ymgF//dxr//yebZ//eamA//aas//ydjL//yfeX//setC//ssuA//aqpZ//rimL//gabP//sdhA//aaeB//cyoB//ydgA//ygeR//mukB//bglH//pykF//ycfS//nemA//rpoH//argG//rssB//feoB//deoD//ompF//aspC//dkgA//argK//tcdA//thyA//hrsA//ribF//menB//wzb//livH//ppiA//recG//fdrA//rusA//sbcB//sgcA//yehW//cysB//yciV//melR//crr//fre//fecA//entD//adeD//ymdB//dicB//lrhA//glyA//tyrA//diaA//uvrY//yjiQ//adiY//yidA//uof//zapA//dsdX//rpoS//appC//eutD//ydiB//sdhE//ybaM//scpC//gapC//cysD//ycjR//ytfP//ynhG//napD//cusR//nsrR//ynjD//sucA//allD//cho//livK//fabZ//ydcR//yeiL//nuoI//ccmH//chbA//cusR//ais//gabD//nudB//fryB//glpG//nadK//prfA//cynX//rplD//mntH//yqcG//thiQ//frmB//rlmF//livJ//mlaC//yjaZ//pflB//bioC//purT//pspF//cas2//lgoD//hemN//sspB//fadB//bssS//bamC//uxaC//xseA//rfbC//ygbN//fliM//aaeR//prmB//glcD//mnmG//ibsA//rpoA//yjcS//rhtB//frvB//abgA//obgE//rne//ybiY//mhpR//tktB//rpsE//rplN//hflC//rlmL//cdgI//hha//dicA//manA//ybiH//metI//nuoG//fruA//nac//
GO_0009057_5	yjcE//asnA//ydeP//rrrQ//rimO//rhaM//serC//hcaF//glxR//elfC//lpxT//yciA//frmA//lysC//rclC//rnc//feaR//ynbD//lpcA//yjhC//queF//yqiI//nrfF//ygiN//yfaU//mgtA//tehB//fucO//ydhC//sfmH//potF//mrcB//yohD//dacD//yfaX//preA//ybiW//uvrC//eutR//ydjM//marA//mdtQ//dtpB//betB//htrE//rpnB//potF//aqpZ//lptG//lsrC//tdcF//uxuR//aspC//rpsO//
GO_0009058_3	mcbR//tnaB//nuoL//yfcV//blc//rhtC//sapD//galE//fhuC//dgcZ//ybiI//rho//ypdC//ascG//rlmG//iraD//murB//ruvB//mltC//alsA//yqeF//yqhD//narP//mgrB//osmY//trmD//flgA//dacB//xseA//eptA//fdnH//argD//lit//kdpF//glpT//rbfA//yfcU//ybaO//rpsT//mhpB//ubiD//yfhH//rplO//ydiQ//higA//aqpZ//alaC//xerD//paaH//chpS//kdpF//araC//paaJ//grpE//fadK//dkgA//infC//yggW//arnT//atpC//ubiF//envC//pdxY//hemD//paaH//gloA//yhjR//yqiH//ssb//ybhG//hisH//ybhG//mltF//yjhI//kup//rsuA//ynfF//thiM//fruB//ybdZ//zapD//mfd//yadC//ydjE//pal//yjjX//tatC//rpmG//serC//ulaG//rplA//insA-2//waaF//hldE//ade//panD//agaI//ygfX//mdtK//mdtD//tyrB//ynfH//mraZ//fic//yehX//glnB//fsr//lsrA//plsC//tag//hemD//csiD//yheT//rbsC//tynA//cmtB//hycA//lipA//waaG//dcp//tesB//hflX//hofP//dinB//ndk//proB//sbcB//tsaB//recT//hupA//acpH//yjhC//mdtF//infB//araF//rffH//gltI//aroA//higA//maoP//suhB//flgA//lpxH//ompR//mntP//serC//kdpA//zwf//dkgB//rutR//dedD//nirD//mltD//mdh//ribC//deoR//osmY//gadC//yjhI//sufS//soxR//rtcR//ybeY//basR//dppF//ompF//eptA//pnuC//map//hdeD//aroC//atpH//yegD//ynhF//ulaE//bamC//wza//rfaB//trkA//pykA//gadA//nlpA//hofM//nfsB//plsB//dapF//bioD2//waaF//yedF//csiR//yabI//insI4//sdhB//fepG//yhjD//rof//ybcL//amiA//tolR//alkA//ilvA//hybF//mug//abgT//rplK//soxS//luxS//mdtL//ugpB//feoC//ribC//sdiA//tap//cysW//blr//aroG//xylE//hupB//cheW//rpmH//arsR//deaD//aspA//cas2//yidQ//pykA//uup//arcA//hybC//lapA//sgrR//paaK//yeaD//cydB//paaE//sapB//csrA//hxpA//chbA//sgcE//bipA//yfhM//malX//tsx//ycfH//glrR//cbtA//arnD//relB//torA//fdnH//gyrA//gspJ//kbp//ilvA//ydiP//ilvM//yigL//frlC//atoC//tolB//yedL//rluB//yraN//bdm//ydaV//yaaU//ulaC//tar//mhpR//queA//yjhP//potD//pfkB//yciV//artJ//ftsX//pitA//alsB//htrE//purB//ompC//rlmH//atpE//chbB//pppA//uacT//pppA//ahpC//zinT//rseP//dgcF//exbD//dinJ//hisI//yihT//yhdH//amtB//puuR//lspA//tldD//mhpC//pphA//trxA//lpxT//hybB//ugpB//rhaS//garP//insI1//dsdX//lpxM//ligB//holB//roxA//katE//ykgA//moaA//rpsA//yhjC//fes//fimI//rimJ//hscB//ybcJ//tadA//trmH//fpr//ybaT//topB//yhdW//rraB//fieF//nrfG//paaC//mcrA//yqjH//glpD//flhA//gluQ//guaC//sufA//bfr//yjbB//hyaC//ruvC//rnt//amiB//trpGD//tisB//torI//ymgF//aqpZ//glnA//hybF//sodA//appC//srlR//hipB//cyoC//uspB//kdsB//trmL//trpS//cueO//ycjD//ybhG//rfbC//ssuE//mutT//rhaT//phr//ygfA//yhcH//pgaC//thrB//potB//mtlD//yadK//thiE//sixA//znuC//mglB//tomB//puuE//trxA//yghO//narJ//fucP//fiu//rhaA//ytfP//degP//sohB//gutQ//hofM//osmF//puuR//sdhC//yeaD//mlaD//ybdG//yajR//uhpB//yidH//rimP//decR//cfa//ppk//xerC//mdtO//entD//yehX//napD//mdtC//flgM//mraZ//aes//tsaE//iscS//lapA//codA//ykgF//malG//trpB//ptsP//holD//insB-2//adhE//ytfP//holE//tdh//galM//deoC//flgJ//yddG//ldrD//phnN//zapD//ybgP//dctA//fliA//lldD//mscM//yhdZ//treR//sfmC//paaD//gloC//xseA//mmuP//nupX//mutY//ytfQ//tpx//clpP//galP//rbsK//yebZ//dkgB//ytfP//hypE//cysA//gudP//feaR//glnA//mdh//rsgA//sbcD//crcB//nanA//rfaE//flgM//wza//glpA//ispB//flgE//tyrS//tonB//dicC//yidQ//yciA//ycjY//tmk//flhD//dnaJ//yfgJ//purA//chiP//ycjP//curA//torC//sseA//hyfA//ruvA//rplK//ynfL//ilvC//mdaB//cynX//gshB//hdeD//hlyE//ytfR//mdtI//ycdY//recQ//nuoE//elfD//tolB//ycfH//mdtK//rhtC//pnp//dinD//rhoL//insI3//ddlB//flgE//nrfC//pyrH//dauA//greB//cynX//casB//kefG//nuoI//yciT//fucK//yiaJ//yeeO//insI4//lptD//ynbB//narV//ade//prpD//dhaK//uvrA//acpS//pheP//pepD//kup//ccmC//cmoM//mrdB//idnK//ybcL//rfaB//yfdG//rseB//uxuB//malZ//ybdO//fdrA//frdB//yraK//mgtL//mtfA//insA-2//cpsG//tnaC//tdcA//rnpA//rcsF//glnB//crfC//sbp//dmsA//asnS//mzrA//azoR//iscR//lpxB//pfkA//yoeB//mqsR//ydcP//hyfR//potI//shiA//yciK//agaA//nirD//yjiQ//lysO//map//yijE//dnaA//minE//pagP//lysA//dgcF//yhjG//ybfA//mukB//corA//entB//napF//sufS//zapB//cspI//cheY//narK//trmL//glk//purD//dnaX//hypD//pdeR//xylR//ddpA//cysC//sufS//mdlB//proB//hemD//dnaC//cmk//ompW//yfjR//creB//metK//rimM//spy//xapB//bioC//rnhB//hypF//glnQ//ilvL//ykgA//potA//yidE//nrdH//malZ//accC//cas3//yhhZ//ycjP//adiA//plsX//exbB//pdeR//prpC//arnT//pheM//adeD//yaiW//nadD//tusB//murJ//sbcC//gntP//mlaE//ydeP//tomB//rpsL//uspC//yqjA//elaD//tdcG//sspA//ytfQ//tesB//dnaX//rimL//mgtL//rpoA//tar//hinT//ispG//ldtC//yecS//tusB//ibpA//hisH//lpxD//ubiF//thiG//agaR//nrdE//plsX//yjiA//exuR//sfmA//srlB//uspG//bipA//kdgT//tehA//mdtM//hflD//entB//yjgX//yajQ//mrp//eno//ygbN//mutL//crr//hemC//yghW//nlpI//qseC//dppA//gntR//entE//dgoR//ydgA//talB//rpmG//prpD//yfbR//mrdA//ccmA//evgS//gatD//pdeR//putP//ydcT//yneL//garP//dapA//yiiD//frdB//yahK//sdhC//envY//frwD//murR//rseB//mlaC//ybhD//ycjD//mioC//yjjI//kdpC//ugpB//lysO//yadG//yggX//cbrC//eutR//yfeO//cbl//fdrA//csgD//trkG//cnu//tcyP//yedF//queD//pabB//glsA//rnhB//oxc//surE//elyC//truD//mliC//fliS//sdhA//fimI//acpT//speC//xylE//
