#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	focB//tsgA//agaD//ybdM//
GO_0006754_6	ybhI//paaZ//yccS//oxc//sfmC//hrsA//hscA//aroD//phr//ftsK//srlE//sfmF//bcsA//glgS//fre//yfcQ//casA//yiaN//glmM//yoaB//mngB//queA//
GO_0006757_5	atpA//yafN//rcnB//selD//yraK//bacA//pta//trkA//yqhD//metL//ydjE//yebZ//tehA//aroB//queD//msrQ//thiM//yieL//thiP//
GO_0006760_5	gatD//metC//spoT//dnaE//hcaC//ydcT//yddL//acpS//vsr//sapD//sbmA//pdxY//yebZ//ygiV//flgI//yihX//
GO_0006761_7	kdsA//
GO_0006766_4	ydgA//kduI//rpmB//thrA//ssuA//yjfP//pepT//tcyL//add//rnr//dapB//panE//symE//kch//acpT//exoX//fadK//waaO//bioC//wrbA//adhE//ggt//dacA//speC//hsrA//ubiH//exbB//codA//dsbB//treC//yfcU//hypE//ansA//leuS//yhdJ//csgG//yidZ//fliT//tdcE//envC//priB//waaJ//lacI//yiaM//prfA//dgcM//focB//hprR//dinI//ycjW//kefC//amiA//tdcC//yadK//kdsA//gltL//intE//gcd//yhcN//modC//qorA//fetA//yejB//manA//hyfC//ydeT//adeQ//
GO_0006767_5	nemR//acpP//yhbX//tolQ//mhpA//rhoL//rbsB//aaeR//ymgF//rclC//rfbX//udp//dmsB//gph//viaA//ydiR//yhcH//zapC//truC//yihP//galU//aroB//hflX//mprA//gstA//eutR//yfdS//nrdI//yeeO//kefC//narY//puuA//yaiW//waaF//dnaC//araB//rfbB//hemC//rhtB//cusR//rlmJ//entB//plsB//pykF//treR//yfjR//ispU//eamB//tusD//yabI//uhpT//deaD//pheA//waaO//cyaY//dapA//hslR//ccmA//caiD//fruA//yjbB//cysD//yjcS//flhE//exbD//glnA//
GO_0006768_5	ampH//ybhG//ftsH//narJ//sdhE//solA//lsrG//cedA//agaA//paaG//ydeO//tolR//yhbS//
GO_0006771_5	cpdA//fryA//nlpD//yijO//modC//exbD//ligA//yihI//
GO_0006772_6	livG//dnaG//metK//napD//epmC//uvrD//ebgR//thyA//acpS//ykgM//glsA1//ygdG//
GO_0006775_5	yhaC//
GO_0006777_5	tktA//dcuA//edd//dnaG//crr//dkgB//opgE//yggF//tsx//
GO_0006778_5	rlmI//lptG//rrrQ//cydC//thrA//yraH//rclC//rplI//nikR//rhmD//ycgB//yfaU//erfK//xanQ//ygfZ//
GO_0006779_6	galK//minD//dnaJ//pgpB//secY//aroH//argR//zapC//ligA//cusA//dauA//sad//rlmJ//yrdA//fliK//
GO_0006780_7	ldrA//
GO_0006782_7	msrC//pyrC//rimJ//rapZ//hslR//ssb//pdhR//
GO_0006783_5	yebQ//potE//cfa//uxaB//fmt//wza//amtB//sdaC//treF//
GO_0006790_4	epd//aqpZ//yiaO//rcsD//purN//xylG//katE//apt//efp//ydcI//yeaD//ydhQ//oppB//osmY//wecB//tktA//rnr//sppA//xanQ//glpD//deoC//rpmH//yegV//ynaE//fliA//degQ//rrrQ//epmB//kdpA//hofO//pyrB//bdm//agaV//fbp//lrp//bssR//argR//ygeX//thyA//lapA//ulaR//aslB//iclR//appY//araB//rlmF//phoQ//mngA//gloC//rplA//edd//ribF//hsrA//mipA//dicB//rzpR//ftsX//yidP//eutK//glsA2//mfd//yidR//hisG//ghoS//yoaA//ybiY//gatY//tsaC//rclR//araA//hypA//yibH//ftsB//deoA//ccmC//qseC//ybaL//nuoE//ybdZ//arnD//cspB//rpoA//polA//pta//uidC//birA//yggX//yhdJ//rpsR//msbA//napB//narW//afuC//speD//moaD//hemC//gapA//skp//sbmC//fecC//tatA//alsA//dapB//pheM//
GO_0006792_4	ftsB//
GO_0006793_4	nrdG//ymfA//pspF//csrD//kdgR//lpcA//purF//dmsA//wecB//osmE//cydC//mazF//gfcE//sgcX//malI//ddlB//rhmD//hypD//rpsP//emrY//hemD//lolD//sbcD//ynaE//bfr//hofN//hemA//mdtN//ravA//tas//trpC//pitB//ldcC//cirA//yphD//rhmR//fepC//ydcR//malS//entF//vsr//hsdR//cysP//glgP//fdoI//yadC//ridA//nadB//ygaV//cbeA//phoU//dgt//corA//rplE//tdcA//yjeI//gltD//rcnA//ompN//tcyJ//asnB//truC//ldrD//etk//yqcC//yoeE//psd//gcvA//ilvL//sgcR//kefG//rnhB//cysK//zapD//ptsN//fiu//argH//cysN//aldB//rfe//fdoI//frlR//fruK//ybhP//pgi//dcuR//hyfC//gspJ//rppH//dld//hycH//phoU//lsrA//phr//serS//satP//yieH//aroE//yeiE//argP//gadC//ilvH//fryB//ydcS//glsA2//bioF//fur//ynfF//yehA//blr//sanA//dadA//dam//ypjD//xylH//caiF//crfC//nadA//hflC//fimG//fliD//slyA//marR//rffH//alr//frlB//ytfT//dgoT//hrpA//yidL//arcC//cyoD//betA//rfaG//rbbA//narL//deoR//ilvD//gpt//hycB//prfB//rluF//perR//rho//yjaZ//ybiA//ddpA//ybhD//queD//rimL//sthA//spy//eutR//cyaY//mepM//sthA//ilvM//yihU//ldrA//ghxQ//ygcW//dacA//lacI//ackA//btuE//arcB//yraI//slmA//creC//uspF//pyrG//yfdO//clcB//elfG//yfiE//yaiP//hicB//cadA//rhoL//yfcS//fadD//rpsE//ybjL//yqeG//mtlR//tauD//srlA//lacY//nsrR//glpR//malX//pstS//cysI//frdC//yhhZ//srlB//trmJ//elaD//gpmM//ynfL//ptsG//livH//phnJ//ampE//alkA//osmF//infC//flgJ//moaE//recG//ycbB//fliD//recC//ispB//argR//mngR//nuoE//lhr//nrdH//ugd//yhjA//yhfS//yajO//yhbX//yjiM//yeiE//murQ//elfG//fixC//metG//speC//dpiB//glpG//sixA//umuC//yeaV//kduI//rng//gcvA//rlmF//epmC//lpxM//yafN//mutS//waaA//citG//ubiG//rapZ//yadK//rlmE//dgcF//prlF//ychF//lpxT//ssuA//sfmA//nagA//aspA//aroD//djlC//gltP//nirD//pcnB//mdfA//recA//tehA//secA//dcuD//ynhF//ynfL//hcaR//norV//sbcD//rlmE//artI//ymfK//hemL//aspA//bioA//insH-5//ypjD//ubiX//ravA//ftsE//mdtF//mdtP//torA//ftsA//uxuR//ycjU//rfaH//mdtN//rutF//yfhH//rluE//mdfA//bluR//rnb//frwD//ampG//yceK//lacY//ykgO//argI//artJ//dhaL//hslU//yqeG//acrB//waaP//slt//mlaC//setB//clpB//acrZ//hisC//nrdD//mioC//eutK//insI-2//cedA//yafE//dicA//plsC//maoP//clcB//emrY//fes//ydcZ//yghW//wzb//galT//ygeV//greB//
GO_0006796_5	frwC//gpmA//znuC//yhhZ//xthA//trkH//recF//aroD//gldA//nrdR//xdhB//epmA//dusB//agaS//hofP//fryA//cas1//rapZ//gntP//cptB//betI//yadN//nrdF//hofM//ycjY//tcdA//gadA//thiQ//ybhP//yfaU//msrP//rsmI//yqaA//coaE//mngB//gadA//yciH//yhiM//tap//rplT//uspE//rrrD//mdtC//srmB//ycfL//metR//ubiF//ydcP//ybjI//mrr//yghU//ydfK//coaE//fabD//tauC//ccmH//cmoB//lldD//srlB//ykgA//tusA//infB//hslO//pgpC//ugpE//eutA//insE-1//emrK//ydfD//yedA//hflD//acpH//hisF//hsdM//hisB//trxA//pspA//sgcB//narU//hypE//ydiF//yjjU//eamB//holA//fadH//rssB//tsaD//yfdC//yqgF//ortT//ygeX//ccmC//lpd//ubiB//yciK//birA//def//chbG//sgcA//rimM//gcvT//narX//ribD//oxc//livM//feoC//dsdA//asnA//chpS//pphB//dsdX//fdnH//valS//yhdZ//sufB//panZ//speE//yibA//rhaM//rplP//gmk//srlE//gloC//fabB//allS//dppD//ydjM//ung//uspE//gcvH//ydeE//exuT//yfdS//rhaR//mmuP//prfB//radA//potI//speA//sbmA//ribA//gudD//tcyN//tusB//trpB//ulaD//aphA//ibaG//fimA//evgS//waaO//glpB//waaO//uspC//recD//hisD//mglB//yeiL//frlA//nfuA//ogt//bssS//asnB//ybaQ//gnsB//ypdB//rdgC//sgbU//yfdO//yqgF//yeiE//cueO//ahr//fixB//argS//nanC//rluE//acrA//prfC//yhjA//yddA//trpS//pntB//malI//yacG//ygiS//cydB//astC//yfgJ//ispH//yeiE//nrfD//wzzE//setC//dadA//ynfK//ygaV//truA//abpB//tig//kdpF//yghO//yiaT//radD//frc//xylR//yehT//wrbA//atoC//csrA//bluF//insF-1//yadM//menH//folP//folE//cyoE//menH//argP//chbF//ycbB//accD//hrpA//trmB//solA//yjiR//ppsR//glgX//rpoA//yhjA//mrr//appY//recG//ibpB//yiaT//ygfZ//speF//viaA//yejE//lysU//pcm//insF-1//yggD//rdgC//glnH//ydeO//xylB//potI//ycjD//potH//tsaB//hypA//gsiB//pinE//recN//tolB//dsbA//chiP//dusC//rseB//zur//cysQ//ftsI//osmE//ldrB//dcuD//gstA//ybgP//plsB//ydjH//yqiJ//ygaZ//rmuC//cyoB//ydcM//abgA//rzoR//gapA//codB//ybaM//erpA//ybiO//phoU//rzoR//zapE//yibA//marR//menC//hyfC//rcnB//bioD1//hisP//cheA//potB//dapA//cusR//mhpC//araE//rplY//zntA//hisG//fimF//zwf//hprR//yhaV//nusA//bluR//casE//purA//ecpR//moaC//
GO_0006797_5	sad//ssb//
GO_0006798_5	yfgO//
GO_0006799_5	kefC//
GO_0006801_5	selD//rpsP//clpB//
GO_0006805_4	dgcM//ppk//pgsA//mutM//mdtC//panC//gadE//dgoR//yjfP//cysC//afuC//parE//recC//intF//nikE//ytfR//yggX//araG//pgpB//yneE//treF//yjcS//kdsA//xseA//
GO_0006807_3	ydiK//hyfF//lolE//yiaN//agaC//hxpB//trmI//nth//ydcO//narH//baeS//adeD//oppA//paaB//bsmA//yghU//znuB//rimJ//hemF//glpR//tag//rodZ//gph//lgoR//araH//nadA//acrB//cysW//bioA//lexA//psd//phnM//guaD//folM//fhuC//feoC//ydfH//agaW//waaG//lgoR//nikC//yiiD//fbp//amiD//glpD//gltI//rne//proA//secA//ybiV//narV//serB//ravA//glxK//nagZ//agaD//ybdH//ttdR//yidC//nei//deoD//dcm//fliM//arfA//cysQ//hyaC//rssB//dcuD//mrr//rpnD//lptE//rhaS//trpC//artI//fepC//yhgF//ghxP//yeaV//fre//rpnD//rluD//kdgR//ybgQ//uxuR//ybdR//rplL//yhjG//malS//flhD//flgE//rusA//glgA//nagC//elaB//agaS//smpB//ddpA//btuC//araB//gltL//yidZ//ydgA//ldtA//yehA//sbp//rbsC//cas3//csdE//fhlA//tynA//feaR//fruK//ulaB//lpxB//recR//potD//btuB//cof//paaK//ygeR//dmlA//rcdA//proS//xylF//torC//entH//essD//malF//sxy//ynfL//yaaY//cysM//pyrD//nanS//arcA//yojI//ihfB//dgt//tnaA//ydcO//rluE//essD//ydjK//mlc//kdpB//cyaY//ftsE//ghoS//deoB//ydcS//moaE//fumB//pepB//aaeR//entF//lpxP//hycI//gltK//yojI//yhhT//oxc//tatE//codB//mazF//yceK//oppA//mlaC//murA//setA//bglJ//yihL//ptrA//mhpA//znuA//hupB//hisB//putA//thiP//rfe//frdA//ydcS//argT//erfK//proB//narP//ftsY//lysU//fruK//sufE//perR//iscU//nagB//hflD//eno//msrA//kduD//nfuA//fic//yqaB//sspB//ulaG//leuA//cytR//secB//yhhZ//yafO//tyrS//prc//flgD//zapD//ynfH//cadA//ribF//fadR//rffG//galP//torC//narI//zur//yceK//ykfI//yeiG//acrB//acrB//yhaO//cueO//plsX//rpmC//pheM//cynS//cheA//dppB//evgA//ybjD//yhdH//ttdR//znuC//casB//tmcA//hmp//yqhC//yfgJ//caiF//cydD//hybD//envZ//potB//metI//nupG//ybaM//mlaE//dnaK//ybbN//frwB//fadM//garR//frvR//yjbH//gltK//yidA//pntB//appY//ybgI//ybiT//hemA//araH//dgoT//yihP//dtpC//sgcE//xylG//chaA//appC//infB//fabB//eco//acrR//dinI//cho//wecA//rbn//hyaD//ygcO//tpiA//ptsG//fhuF//abgB//ydiQ//mipA//pyrC//sad//phr//artJ//ppiC//fpr//gldA//hisI//intQ//thiC//yagJ//yddM//yhhZ//dnaQ//hypC//dgoA//dcuD//yibA//ssuD//livH//codA//uvrA//nagA//cbrC//yphD//ybhA//ulaC//yiaF//yggN//kdpA//ppsR//fruB//cpxP//katE//tauD//narV//nanK//elbB//nrdB//ilvA//serA//mdlB//bamC//pspF//yiaO//pdeH//dtpB//nupC//nagC//pinE//sixA//gutQ//ndh//hyfA//hprS//rnb//yhjV//rzoR//pyrF//ybbN//yahD//hcaB//ravA//potD//mdoD//lplA//agaA//phnJ//ybiX//thiM//fucP//asnS//yjbF//ghxQ//cysP//gloB//yadC//gadC//ilvM//mdtE//mltF//amiD//rpoE//tadA//rraB//rhaA//iap//lyxK//wzzE//fucK//ybiY//yafN//ftp//hldE//msbA//fdoG//basS//fkpB//trmB//metF//gudX//menH//fdrA//yiaO//thrB//tatE//ftsN//radD//ybeY//hlyE//folM//rraB//srlB//pgpB//aspC//dut//pppA//entS//fliS//mrdA//miaA//ftnB//mdtM//tcyJ//pyrG//yjbE//yaaJ//glmM//efp//borD//ralR//ygbN//dgoK//yraN//purT//actP//rpsM//ybdM//mrcA//alsK//rffM//pphB//mgtL//flhC//ompG//rlmC//gsiA//iscA//yqiH//yagE//bdcR//uvrB//pepQ//nemR//pgpB//uvrB//fruA//chbC//rnhB//rplT//hemD//tonB//glnQ//pepN//zraS//rrrD//dpiB//tsaE//cysK//entA//araA//insH-6//sapA//yfcP//ulaR//melA//cvrA//waaU//crl//entA//hupB//nirB//motA//hcaB//yagE//bacA//prfA//gmk//trkG//yigB//pppA//tyrR//yhjR//alsK//nlpA//fdoI//gppA//rhtB//hybF//adk//ynfL//lhr//nac//rluB//tusA//ftsP//ilvL//cobS//cytR//yfiE//cpdB//ugpC//ompL//yfcP//frlB//abgB//rplY//acrD//fliA//trpC//ydiV//rpsE//yeiG//nirD//mutH//miaA//ytfP//frvR//mgtL//yaiV//gcvR//treA//ygjR//emrK//phnH//emrY//kbaZ//intQ//coaD//yeiL//mltD//nadK//dnaX//pyrG//metK//uidC//syd//ygiV//yihT//cheA//srmB//dcuB//glnE//yfhH//hemG//yehC//nadD//ftsW//zapC//ratA//afuB//hinT//tag//icd//rhaB//yjeH//ydcZ//ompC//gltK//uhpT//frmA//ybhA//epmB//yhaV//ychF//rlpA//dapA//mdlB//lolD//yihO//wecC//yqeA//bioD2//lapA//eutA//fryC//aspA//hsdR//rsmB//cysP//citC//osmE//menE//gadE//nagZ//rfaB//napA//acrA//ndk//arsC//epd//bipA//sugE//yajD//bamC//acrD//pyrB//pta//yeaE//yadK//rfaB//tsr//cytR//ybhI//uacT//ldrB//folP//tcyP//arsR//znuC//artP//fkpB//ldrA//accD//lsrC//rcsC//glpX//solA//udp//yfdK//clsC//leuS//fnr//curA//insI1//ybiY//dxs//hyaC//ulaF//nikB//xylB//tdcG//prs//ybiT//fadE//ffh//trpL//yajR//hypE//msrP//yehZ//pnuC//artQ//mdoG//yfcR//rsmI//lplA//yihW//uidA//mltD//purR//rplR//ymgF//rutB//accC//bluR//ybhA//guaC//thiI//potI//ybdH//nikE//tqsA//yeiL//panE//araE//aaeR//mltG//bamB//idnK//hypE//kefB//gadA//eutD//flgB//tamA//degQ//ybhS//yojI//uspF//ygdG//queE//gpr//ruvC//tolB//glmM//fryB//rbsD//ydhC//polA//yhhZ//wcaJ//pinE//rluB//phnM//adk//mnmA//trkH//rmuC//ruvC//rclA//mrcB//rbn//aspC//nikD//mliC//rplJ//ybaQ//wzc//yhgH//hisA//alaC//phnC//cecR//kdgT//envZ//cheB//appA//yddM//ybiT//yeeY//ynhF//ibsB//uvrY//ydcT//citC//pinQ//tdk//murD//mscK//tbpA//ldcA//sbmC//thiQ//lysU//ilvN//glsA1//elfG//yaaU//ubiJ//cpsG//ispU//rssB//ydeT//menA//murC//ulaE//tmk//rutE//pepA//dnaC//kup//proS//yjiM//setC//rclB//topB//cysN//rluD//hofO//ptsG//yebC//malX//pdxB//yidC//uxaC//gcd//bamD//yraR//thiE//dgcT//yadC//mcrB//rpe//srlR//rdgC//yggD//rfbX//rpsR//gloA//rhtB//rffH//casB//fdoI//cysP//ogrK//rcnR//nrfG//oppA//mgtL//chbF//argG//cfa//mmuP//ompT//trpA//soxS//hcaT//glrR//atpA//tdcR//prc//marA//fkpB//cusF//kdgT//yfaU//pinQ//rclC//cusB//higA//accA//bioA//purU//rpmC//csdE//tus//ydgA//yjcS//yajO//cheB//entB//feaR//ycjY//hcaB//pck//rraA//dinI//minD//exbD//ybjL//rlmA//yehP//rfaF//atpH//rsmF//fimE//hypA//putP//coaA//zapB//kdpA//astC//rplF//talB//acnA//gatA//rppH//hyaD//valS//uxuR//xylA//lexA//frlB//ihfA//intZ//pgi//yggW//clsA//ybhR//yehY//yciG//yfiC//ldcC//ndh//mdtL//satP//hypB//fadD//yfcU//metN//zapB//cysA//plsX//rutR//pgaC//treC//gstB//ftsP//truC//dgoK//aroA//ygfX//lldD//ldtA//fimZ//trpC//nagC//dnaG//ispG//gldA//yjjB//ychF//cysA//fdoI//argH//nadB//frlA//katG//aldB//ilvD//ytfP//zraS//serA//rfbD//mtgA//edd//ulaB//pliG//rluC//hemA//ydbK//yegV//rzoD//gcd//adiA//mepA//hemB//narZ//accD//eno//prfB//frmA//trg//proP//deoB//ung//mgrB//soxS//mdtP//ftsB//mprA//fadB//rpsL//fdnH//sdhC//hflK//asr//trkG//ydiQ//viaA//ykgO//wecA//sapC//mcbA//iraM//yqaE//allS//pgpB//allD//wzb//ybcJ//cheA//nadA//msrP//aceB//rfbC//yebG//hycI//glnA//gadX//yfeW//hyaA//mutS//paaZ//ddlB//pgsA//mdtD//atpB//yqiG//yhgH//yebK//speE//rpe//pflB//ycjR//hycA//bglA//lsrK//ldtA//yhjA//yqgF//wecA//rlmN//mdtL//nuoL//rhaR//dtd//glsA2//umpG//moeA//thiI//fepB//ttdT//zapB//ybaT//crfC//yoeE//ribB//accD//mdtE//narZ//ubiA//kbaY//hslV//macB//dcuA//bioH//tas//ybgQ//hemA//tsaC//ftp//ydaV//msrQ//glgC//fimH//ymgF//torD//livJ//treR//gabP//shoB//rzpR//ybdR//yfeW//moaC//msrC//rsfS//ymgC//carB//aroL//cysW//tatE//ybdH//leuD//rcdA//caiE//bdcA//yjhC//ptsG//uxaB//rsmE//recF//ybhR//ortT//fadR//mreC//hslJ//ybiA//amiB//yjjG//yajQ//rusA//pheA//mdfA//glrK//yobA//cbtA//srkA//carB//yihL//atoS//nadD//cusA//sstT//ubiH//wzyE//pncB//hyaA//ribE//flgJ//ybjL//manY//hyfA//opgG//mazG//yahI//cdgI//atoS//znuC//ugpE//ybbN//nrfB//purB//araH//ymgA//yihX//yaiV//rfaG//agp//rraA//ilvN//ydcZ//nagK//aroC//nrfA//dusC//uspB//gsiC//dapF//yqeG//rhmD//ribD//cydD//queG//flgM//mdtP//phoU//ybiT//thrB//srlD//purN//pgk//fadK//rclC//rdgC//maa//ykgO//gstB//ybiY//dnaB//ppx//fucA//cutA//fliS//intQ//rplW//wecA//glk//ybiX//rseP//rffH//fpr//deoD//ribE//orn//asmA//yggT//ybaT//ldrD//helD//yobA//pstA//ldrB//astB//yqiJ//sbmC//leuO//ybgI//pheS//patD//ebgR//galT//nfi//rep//rmuC//rutG//trxC//ldrB//dppD//hisF//ascG//rbsR//cysB//rimP//insB-2//argD//holD//narL//coaD//ycfS//asr//insI-1//oppD//betI//ybgI//recR//qseB//frvA//lhr//sufC//pdeF//ycgB//ycfS//yejF//efeO//trpA//iraP//lacI//malZ//surA//xylA//sdaA//afuC//nemR//coaD//ndh//ynhF//intE//selD//ppsA//
GO_0006808_4	yfdO//msrB//rpsD//
GO_0006810_4	ybhG//cyoE//nrdF//flgK//hypT//treF//yfaU//flgE//dusB//ibsD//yggD//wecB//glpR//cysC//dgoD//csgF//menC//recJ//cbrC//argP//hybO//proB//adhP//envZ//napB//gadA//hinT//yeaG//mutT//sfsB//azoR//livG//araG//fadH//ybiI//alaE//pdxY//poxB//mltF//sfmH//torR//lysP//eutD//phnC//ivy//ycfJ//sdhB//ilvH//metH//mcrA//wecA//ghoS//yhbO//lapB//rutA//yieE//ydiK//casE//yhaC//recT//chiP//wcaC//citX//pepB//fruA//cyoE//rbsC//iscA//sgbE//cspD//ppx//ykgF//cyoC//iraM//rseP//manX//lysS//yjhB//yjeI//ftsP//rssA//ftp//ybhP//crfC//nikE//gpt//cutC//yeeO//gutM//yggX//rlmB//ugpB//mlaE//fliG//maoP//guaC//mepS//mlaD//ypjD//flgM//alsC//truC//lptF//yciG//ygeA//dxr//adiC//dgoD//yiiE//argH//narQ//mtlR//lgoR//pnp//zinT//lpxH//pabC//flgF//yodD//pdeD//bluF//glpA//malP//yjbE//rplW//rclB//ycfH//dmlA//hipB//chbR//nrdF//mgtL//tus//insB-4//fbaA//rho//intA//emrK//kbaY//ascG//ybgP//blc//rhlE//menC//rihC//ulaE//sulA//serS//glpB//yihP//rpmJ//opgH//dtpB//ybgI//manY//rraB//abgR//hybF//lysP//citG//ydhQ//ybhJ//mdtB//lipA//glnL//trmD//iaaA//ybiW//uhpT//aroK//gatC//bioF//stpA//nanC//yieE//ybiV//ribD//mhpC//btuD//ldtC//nrfD//lpoB//gntK//sdhE//argH//garK//yiaF//secY//gsiC//pabA//rapZ//acnA//motA//yfbS//lyxK//pepT//miaA//ynbB//zapB//sufE//icd//gltS//fdoI//ynaI//ftsY//yfcU//kdsB//ynfK//hybA//glxK//yoeB//cas3//ybfA//sufA//btuB//tusC//menF//yibA//ydaV//hybF//yphC//ybiJ//glk//pstS//ydeE//ygaZ//cspC//dcuC//rmf//rnhA//rutG//ssuD//glrK//trpD//yjgX//yidL//bfr//ccmE//fklB//prlF//tdcF//yiaN//dxs//fruB//nlpD//gcvR//yfcV//rfbC//yhjX//fadL//rpmA//puuR//ybaE//gatA//fliT//narW//citE//mutT//yahF//argC//atoB//waaF//ccmD//truD//ytfR//vsr//ygjH//nirB//pdeK//ftsX//yfbU//rplK//mcrA//glpA//pabA//ybiI//cyoE//ccmD//rzoD//ydeP//ade//trkH//cynT//selD//mdtD//yhbQ//csgG//pfkB//dsbA//ycjP//cysE//nfuA//rpsD//rng//pykA//artM//yjbB//baeS//rffT//artQ//mliC//argH//dbpA//argR//dnaB//sgbH//rfaQ//cirA//rnd//narJ//tcyL//yjcS//treF//gpmA//napC//lgt//serA//yoeB//torI//cpdA//casA//ydcT//clcB//ygbN//yehT//idi//fecA//yoaA//sseA//yfiC//moaA//ymgF//mglA//murJ//pdeR//pitA//potE//rrrQ//coaE//argT//tpiA//recT//tag//menH//qseC//argR//yiiE//ykgM//mglB//zapD//gcvP//ybgI//ypdB//yfcV//fic//gpp//rlmJ//secG//fimI//insB-2//paaB//phoP//minD//flgB//phnN//pitA//fixA//glvC//hslJ//sdiA//rutF//dinB//nuoM//sbmC//yafS//phnH//acpH//rplO//rlmG//serA//hisC//hycA//dgoT//gyrA//yciK//fadJ//dnaJ//atpE//sgcC//dinB//yhjC//ybaK//adeP//potB//ygjK//yjeH//waaA//yjbF//yjhB//murG//clpX//avtA//fecB//napC//surE//bglX//ykgA//fadR//alaS//pntA//rplW//sodB//cpxP//yahI//pgaB//qseC//yhbQ//nupX//fre//flgD//mtlA//tktA//cyoE//yieH//yjcE//opgD//ompT//exuT//alkA//solA//yiiE//hybA//setC//yigB//msrA//rpmJ//yjgX//folD//thiC//bamC//ansB//cynS//ypdA//ydcP//gnsB//ilvI//garL//ompA//apt//tdcR//yhdZ//nikR//hemH//lysP//ygfA//lptA//tcyJ//recC//mpaA//tatD//roxA//potF//rne//rho//nadA//rlmA//iraP//wrbA//bcsQ//ansB//ampE//csgB//dcm//flgJ//ynfF//bcsQ//hpf//epmB//ytfQ//yiaF//yiaF//dnaK//tdcE//fdhE//hxpA//araD//trpE//mscM//rhaM//mngA//yafS//cydD//tusD//acpT//dicC//ubiX//hfq//mmuP//tmk//sppA//gpsA//yghB//sgcB//ychH//yddL//mglC//envC//dnaT//purR//truA//hycH//tgt//kdpD//acrE//accA//dicB//mfd//map//aroH//yqgF//hybC//dinB//potF//deoB//cmtB//rfbC//xylG//speF//adhP//yeaE//glmM//cynS//melR//tsaC//phr//nirB//hpt//yfdO//yiaN//hchA//mcbA//ibpA//lepA//spoT//lacI//appY//tsaE//frmB//eamA//cbrA//fmt//mocA//lpd//cycA//psd//rpsD//ybcL//tdh//gcl//idnO//codB//sodC//citC//mntP//argF//yheT//speE//rhaD//ycgR//flhA//rpmB//queC//cbrC//yciV//trpR//insI-2//recX//glsA1//mepS//gatA//gspJ//ybdR//tgt//ddlA//wza//wzzB//rpoD//xylE//ydfK//yihT//gmk//yajR//gatY//puuD//bioD2//galR//era//cspI//
GO_0006811_5	mraY//frmR//poxB//katG//arcB//yihI//baeR//dsbC//glgC//ypjD//yejF//mfd//yegT//pflB//putA//thiQ//moaE//rpsP//ygcW//sohB//yiaA//ftsY//nth//elyC//frvR//atpD//yfiE//nfo//eutA//ung//selA//fimB//ariR//aceB//glgS//thiL//ulaG//plsX//wcaB//ribE//spoT//asnB//ygcR//rlmI//ygiS//priA//curA//rplX//yiaB//aceF//citX//atpD//pyrB//holB//fimF//hslO//tmk//fklB//bssS//mlaB//glnP//ppiA//ibsC//zapA//yggP//acrA//secA//cvpA//moaB//livF//leuO//lysA//adhE//rfbB//ycgR//putA//hofO//yedA//pyrL//malX//proS//purA//fdx//tatE//rfaH//raiA//sdhB//grcA//ttdA//asnC//pheM//ilvD//agaA//udk//pgpC//yehW//dinD//yciH//glrR//yciV//codB//proP//zntR//bioA//galM//rplL//yiiM//elfD//pabA//lpxL//gshA//yejA//lysP//hxpA//ascG//rfaB//pspA//truA//edd//pheP//thrC//atpE//rffT//ldcA//polB//pepQ//bioD1//sgbU//aroB//aceA//yfiE//kefF//nrdD//cheY//hdhA//yahI//rlmC//ugpE//yrfG//luxS//rpsH//xylE//yodD//ugpA//fetA//rimM//ftsN//gspI//prmA//yneE//lplA//rcdA//elyC//bioC//yjcO//ygiB//prmB//yciH//flgB//phnC//aceA//sufA//nemA//yfcP//yidC//yahB//ortT//metI//hybC//ampE//perR//rhmD//mdlA//tyrB//flgJ//nadA//glpC//yahN//hiuH//dnaC//lipA//pdxK//yneL//shiA//puuE//nuoF//scpB//yeeA//argG//allR//rlmA//yfiC//uhpT//rusA//hmp//yagE//yhjG//gatA//basR//ompF//ybcQ//fabZ//essD//mepH//curA//fetA//araF//rcsC//glpD//folM//rhaM//cra//malE//yfhH//rcsB//waaG//patZ//secF//trpGD//waaJ//hybB//narZ//rcnR//ubiE//yqhC//recF//metK//nikB//yfbR//hsdM//mcrB//purF//araG//viaA//cysG//fdhE//allR//alr//ygiW//ampD//pfkA//ais//srlE//ybjX//kbaY//yobA//tufA//mtlD//opgE//nimR//ygfI//cyaY//map//mltB//ybfA//gstB//fliS//yicJ//acpT//ulaG//yfaL//clpB//tolQ//yafE//nagK//coaD//yqhD//hflK//mzrA//cheR//dppA//yjjX//ycjD//ydcI//nth//fdoH//betI//yfcF//ybcC//rihA//mreC//qseC//ptsI//fecD//hldE//rhaM//flhC//
