#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rpmB//ypdA//xylR//gltD//
GO_0009372_5	ibsA//lasT//glsA1//
GO_0009394_6	fnr//yicJ//yfdR//cyoD//secF//bcsQ//tauA//
GO_0009395_6	rpsD//
GO_0009396_6	bioH//msrQ//folC//xanQ//fumC//folE//trpS//modB//gabD//panZ//rnt//
GO_0009397_6	acpS//glpF//
GO_0009398_7	tsaD//
GO_0009401_7	hrpA//cydD//bluF//yiaB//yhcN//rsmG//pyrB//glxK//aroH//mutL//groL//ratA//nuoL//adhP//ilvI//crl//nikA//tsf//rdgB//mnaT//nuoF//fepD//ftsK//atpA//yraI//gmk//guaB//cusS//glsA//malP//ykgO//cydC//abgA//lptD//rsgA//mscS//epmB//casE//dgcF//pbpC//sucC//tolR//gmhB//miaB//yfdO//dacA//holB//garL//glcA//gatZ//glsA1//fumB//
GO_0009403_5	yidP//
GO_0009404_4	grpE//yjhB//frmR//yfjV//ralR//fadI//puuB//fabH//ygiV//xapA//nanR//ftp//hypE//rbsR//pbpG//nrdB//fimG//rcsC//alpA//
GO_0009405_4	ligA//yjjG//betA//
GO_0009407_3	yecS//entE//lptD//nuoH//ilvA//atpG//recJ//ompN//cusS//znuB//tas//ftnB//yfcU//ydfH//iscS//ubiF//
GO_0009408_4	dsdC//prpC//tesB//dmsC//uhpC//coaD//murP//corA//sfmF//astC//nadK//nadK//yjhP//relE//yfiC//creB//uvrA//fdx//rsmG//ycaO//rcsC//hypC//yciG//rpsL//caiE//argG//pntA//emrE//serA//cpsB//lolB//osmY//elaB//xapR//rutA//cspA//yafN//casE//intE//btuB//mgtL//pyrE//gltL//metL//ybaL//moaC//waaY//hdfR//treC//amyA//aceF//pckA//ddpX//cdd//fixB//wcaB//speG//yfiF//dnaX//rppH//
GO_0009409_4	ubiD//yajO//arnE//gadE//intA//ycbX//argT//hyfA//puuP//yihQ//ydeI//yihP//thrB//proC//yfeD//erfK//hldE//ydjK//
GO_0009410_4	ydbD//
GO_0009411_6	yhcD//cadC//cysI//prc//rimK//yheT//uof//tauC//sdhA//rplX//dcuA//ygcO//tbpA//gcvR//ykgA//grxD//
GO_0009415_4	yojI//
GO_0009416_5	arnT//rusA//trmB//yjiQ//hypC//speB//dmsC//flgM//phoR//ggt//radA//iclR//pdxJ//mgsA//argI//rlmA//tag//hcaF//yihV//
GO_0009423_8	yfhM//yhcH//arnE//ybdR//
GO_0009432_5	btuR//slmA//serS//alaA//aroK//clpS//lpxH//sohB//ycfJ//znuB//srmB//nuoH//mntP//rpmJ//fecB//rpsD//yiaU//gloA//thiD//nirD//mlaD//nuoG//
GO_0009435_9	bamD//ybhJ//corA//nrfG//galS//lysU//yjjV//ung//fieF//
GO_0009436_6	hrsA//sgcB//arfA//znuA//
GO_0009437_5	argP//galR//nudB//etp//grcA//metL//cysH//
GO_0009438_5	thrA//yedP//ybiS//rlmH//frlR//thiM//fepG//xseA//casE//galE//mtlR//hypE//emrB//yibA//nirB//lpxD//rpoA//rhaT//hslR//eptA//pabC//hemE//recJ//purN//raiA//yneL//mnmG//yjtD//lapA//ruvC//
GO_0009439_5	cheR//nagE//mtr//
GO_0009440_6	vsr//yiaN//recT//
GO_0009441_5	opgH//ubiD//cytR//ompW//yfcP//
GO_0009442_7	dhaR//argG//glyA//mepM//cadC//
GO_0009443_5	yhdZ//hyi//chbG//
GO_0009445_5	nlpD//phoE//thyA//btuR//exbB//rraB//rng//mepA//pyrL//fucP//
GO_0009446_6	rnt//ydjE//
GO_0009447_6	qseC//yagG//ycbX//fes//lsrR//waaZ//chbB//arnD//
GO_0009448_5	gyrB//deoD//casC//mnmA//
GO_0009450_6	ldhA//rpoH//yhhY//ada//
GO_0009451_6	ahr//phoE//gltI//thyA//rcnB//thrS//yagE//opgB//ybhS//hemA//ribF//yodD//yagG//yehY//kup//nirC//fliM//sucD//acrZ//sseA//hemG//yebC//garL//priA//appY//tauA//crp//casC//appA//hemF//mdlB//dgcZ//ybjG//yraI//yibF//yeaD//ycjQ//yqiJ//aaeB//mltG//dctA//dmsB//rph//yddA//ribA//feaB//zinT//yidZ//yhjC//carB//rfaQ//phnP//tehA//rtcB//epmB//mscK//pntB//waaH//purR//gpr//rluF//pabC//rsuA//nuoH//rimO//galR//ridA//rhaS//hslO//ybcQ//dppD//uhpC//psuT//gudD//flhA//rsfS//dgoA//ulaA//nagD//fecA//tauD//crp//secF//
GO_0009453_4	arsB//
GO_0009454_5	ushA//
GO_0009593_4	pstB//rcdA//
GO_0009597_5	pyrC//
GO_0009605_3	dedD//ddpX//dcuB//ascG//araC//rtcR//yqiJ//atoC//pliG//fecC//essD//gudX//csgF//yggX//fetB//alsK//yibT//dgoD//seqA//yneJ//rpsE//dsbA//yjbG//sthA//zur//atpD//hyfC//gltI//ydgA//yoeE//ynhG//ybbN//yhaJ//allS//ade//ygfZ//chpB//ybhJ//glnP//caiF//alaA//hofM//ydjM//ugpB//frlC//hycH//fixB//nimR//rnlB//ybiT//dsdC//glsA1//intS//recG//lacY//dcuS//gadB//kefF//yfaV//aceA//mdaB//glnS//bhsA//mdtM//artJ//arcB//trxC//bolA//yehU//carB//uraA//pstS//yhbX//mcrB//amiD//ybbY//dedD//
GO_0009607_3	proW//fdhE//lpcA//ilvE//prmA//ccmE//tufB//insI-1//accB//degQ//ushA//serA//yccX//ybiW//
GO_0009615_4	clpB//fabI//nuoH//ygiS//yidR//artI//paaX//nrdR//yfdC//rsmE//speC//tcdA//wzyE//rbsA//
GO_0009628_3	garK//galT//hscC//gltL//ompW//yedA//dnaB//fdhE//rsmJ//rimL//mhpC//ghxP//tisB//glnB//sgbE//bioC//tynA//fbp//wzyE//fbp//cyaA//thiL//frlB//ftsL//yjeI//ssuB//kefC//mlaD//nlpD//sgcB//agp//yidC//nagB//erfK//yccA//rfbC//topA//yjbB//kbaY//yieH//apaH//prpC//nagA//torD//sfmC//puuR//kdpC//gfcE//yihO//fimZ//ygfZ//ibsA//iraM//flgC//mltF//ybhG//azoR//insK//ttdR//dtpD//ligB//yddM//rbsC//narL//mrr//gpsA//gcvA//dut//yohC//yehW//shiA//galF//gpr//astC//thiI//ubiX//tolB//ychH//phnN//ldrB//nadC//ybiW//gpt//mtlA//bamA//ybhI//yijO//mdlA//rzoD//abgA//fliK//nupC//nemR//tisB//rnlB//yehP//yfgI//sgcC//ycaO//ychF//mdtN//rihB//mdtB//rhlB//metC//yghW//sgcX//yggN//ubiD//artJ//gdhA//asnB//yiaF//yfjV//ybbN//rhsD//yjaA//guaA//sufA//acpT//glyS//insA-2//xanQ//asnA//aidB//mrr//rpsO//yfdG//zwf//bssS//folE//orn//aer//ssuB//mliC//ndh//entS//rseC//yaiW//ygjK//rpnC//galU//ndk//rarD//hisB//yieH//ydiR//hslV//talB//fklB//dhaK//araA//glgB//yceD//dppB//caiT//rutB//pgpA//flgG//selU//lsrR//hisA//cusF//sgbU//yhhZ//nuoM//cysZ//ybjG//baeR//tynA//yihT//oxyR//ygfX//pphA//rpoH//artM//trmI//uvrB//kdsD//fliM//zapB//mak//rmf//rzoR//dppB//cca//abpB//proP//guaC//uxaB//dsdX//oppF//copA//nrdD//yibT//trg//arnT//ispA//ytfE//yhaM//dctA//entD//yjbE//yqcC//lpxB//rnhA//ybgQ//uhpB//opgG//yqiH//ogrK//hofQ//tolB//cca//paaB//gltP//paaB//hmp//agaD//sdhA//rrrQ//efeO//puuB//rodZ//fucK//lsrK//glgB//malZ//proX//glcA//
GO_0009635_4	tpx//
GO_0009636_4	rof//insE-1//yqeA//yfcR//btuE//pheS//dicC//lsrK//yoaB//dmlA//fimE//recF//rtcR//fryB//dhaR//nrfA//gmhB//lpoB//artJ//arnT//holE//hchA//ampE//ridA//hpt//secG//yehB//gcvP//rraB//tamA//yhjX//
GO_0009637_6	yhbQ//
GO_0009651_5	mtgA//lasT//yhbY//topB//aroE//metF//
GO_0009653_3	narG//
GO_0009696_4	aceF//
GO_0009697_5	rhoL//
GO_0009698_4	ibaG//
GO_0009712_6	narW//ompW//holE//sspA//hyfA//tsx//yjfP//rtcB//agaW//dfp//
GO_0009713_7	codB//uidC//malZ//ribB//ymjB//nagB//yraI//cydD//ydcR//
GO_0009719_3	dnaB//yejA//hyaC//
GO_0009730_5	cadC//
GO_0009743_5	dnaJ//
GO_0009785_5	ydhQ//
GO_0009850_4	yqgF//rhmD//yraK//chbC//gabT//zraR//glnE//sspA//guaB//rluD//aceK//alpA//yciF//
GO_0009852_5	epmB//rlmD//rpsI//rpmJ//ybiT//metN//menE//hns//lapA//sdhB//rnhB//fixA//lyxK//
GO_0009889_5	pck//kdpB//nirD//ybjL//atpF//ycfH//artM//yibH//rplA//phoA//hcp//aceK//yjbH//glcF//flgH//frmB//ybjX//infC//phoA//yadG//sapB//nagA//rplB//yqaE//ybeQ//cpxR//polA//gppA//aroH//fabH//hicB//trpB//pdxJ//ligA//ompC//rfaG//tyrR//tnaB//lpxT//abgT//ftsN//truC//lolE//yjiR//yfhM//tolR//lpoA//appY//yjbB//yjcO//macA//ascF//nirC//rrrQ//ydiF//folM//mqsA//rclR//elfD//thrS//artM//rhmD//rpsN//panF//zntA//yihQ//pspC//yghW//glpX//guaC//torY//nanC//ttcA//bioD2//rfe//rplO//glyA//nfuA//rrrQ//ompW//cbl//gudX//abgT//mppA//garK//sbmA//malX//rimI//yhbQ//ygfZ//mraY//hemE//yijE//artJ//mak//ppx//rffH//waaC//coaA//rpiR//proC//ycfS//fmt//yeaD//zupT//argE//glpT//yihR//atpF//rplO//rpsA//lpcA//sgcB//argI//selU//ilvN//rplN//era//yqiI//leuO//uxuR//sgcB//allB//napC//dgoT//yfeX//nupG//hcaT//rcdA//lysR//yjhG//recB//groL//tnaB//dsdX//chiP//nudB//cysN//thiH//alaC//galT//rbbA//glpT//cdgI//artM//ffh//ydeE//tatC//cyoA//yfcV//hisD//hipA//yggX//uof//thiD//thrS//pabA//gcvT//radD//araA//gltB//bcsQ//yhfK//emrY//cmoA//ftnA//ptsH//tyrR//glcA//ybeY//dppB//frsA//mdtN//citT//ydhK//yeaE//bioH//tehB//ybhR//yraR//fliL//yhdX//alsE//bcsQ//cpoB//dsbC//arnB//lolC//mdoG//lplT//recB//murF//lpp//abgR//ygeW//yhhT//ybdG//ynbC//gltB//cusA//lnt//sufE//alsE//feoA//yfiF//acrZ//uhpT//tpx//ydcI//yiaM//ghrB//gltP//lpxM//atpF//ugpE//ybdG//mutT//ygeW//ecpR//gatB//tdcB//lpxT//ppsA//ibsD//dgkA//xylA//trpGD//fbp//ybdO//narW//trmL//ascF//crfC//dgcF//ubiA//sfmA//rplR//ruvB//thiC//ccmE//yehW//mrcA//uspC//nuoG//yieF//csgE//rutR//ygaH//arsB//dacA//yraH//mfd//yqaE//emrB//aceK//rcnA//ubiB//yjjB//rpoE//ccmG//xseB//yadC//ytfR//nanC//atpE//yiaT//yifB//ssuA//narZ//cho//yeaV//gph//fdrA//pagP//glgP//mrdA//ynfL//glcC//sfmD//nikR//coaD//stpA//fpr//lldD//lptG//cyaY//cpxP//ugpB//treF//fucO//yggX//dacC//narK//recB//dnaN//ynaI//exoX//xylF//ilvC//hypB//polA//cysH//rclB//xisE//pdeL//araC//ssuD//zntR//ompR//flgJ//polA//ydhK//ghxQ//vsr//speF//dps//
GO_0009890_6	ddlB//hprR//coaA//clsB//tnaA//yijO//ccmG//citE//rhmR//bcsQ//rutE//fabG//kdsB//prpR//araH//purN//secD//ygeA//yjjB//yahO//aidB//fliK//proW//kdpC//blc//trkA//lpxM//mliC//panE//yibH//epd//flgB//spoT//lpxH//rpsO//pinQ//yieE//cueR//cusR//yjcE//argB//eutD//yaiP//ihfA//hscC//rpsM//fdrA//csgA//yiaF//betB//purC//yeiL//rsgA//cheB//argD//flgA//hcaB//moeB//intZ//relB//lgoD//soxR//gcvP//gpsA//ybiA//nrfA//astC//fumA//phoR//efp//yihU//yidH//waaL//parE//ridA//ppx//nrdA//arcA//rsmE//phoP//napD//sdhE//ugpA//ygfX//tdk//amiB//ydiQ//dsbB//waaQ//phoA//rlmG//recD//frsA//xylR//trpC//thiD//bcp//yaaA//insI1//hemC//adhP//rfbX//sxy//ynbB//yidH//ssuD//ackA//talB//yjeI//yebQ//bglX//csgG//nikB//tauC//thiM//pepQ//hfq//pdxK//adhE//xylB//zitB//
GO_0009891_6	yehP//mak//hsdM//nemR//mepS//mepH//katG//rplY//leuD//acpS//ybbY//rna//putP//narG//yggN//galM//hcaF//argD//flgG//casA//secF//yibF//manY//zinT//torD//dcd//aceB//ilvA//essD//crp//yfdS//tmk//yigL//ulaF//pitB//mltG//rhaD//nanT//iraD//insI1//exbD//ydiR//mdfA//lipA//secD//gltX//rfaD//gfcE//hda//rluF//serS//gatB//yhbQ//cycA//nsrR//entB//dhaL//yjbE//pfkB//secE//ybaQ//sthA//kdpA//frdA//rhmD//dnaA//paaG//waaB//cirA//recG//bglA//iscU//vsr//xapR//phnG//bsmA//orn//secG//rlmB//aroP//sapB//eutB//moaD//
GO_0009892_5	tcyL//aldB//eutB//ybcJ//yahO//yqiH//yjeI//oppC//nfsB//ibpB//talB//cdgI//ydhC//ppsA//rutR//yfgO//yfiR//mraY//ihfA//mtlR//yfcS//recB//gltI//tusB//ftsP//rsgA//dppC//dgcJ//rpiR//rcsB//eco//ldrA//yfbR//rihB//iraM//rspB//rlmB//wcaJ//patZ//ribA//dgoD//frlR//tdcR//xseA//pdeK//mnmC//poxB//ddpX//aceB//btuF//menE//rluA//mhpA//ydfG//ariR//slmA//ade//malF//narW//hypT//crcB//ccmH//waaC//rpsP//ldtE//rplQ//lpoB//paaE//ygbN//sgbE//fbp//mscL//ydiO//ppx//ybaO//rmuC//malG//secB//dnaE//afuC//yfaL//rluF//prpC//ygeR//fimA//yigL//cpxR//yajL//fdrA//hda//rsgA//rfaQ//rfaF//rihC//pabC//yfcF//frwC//pgpB//btuF//leuB//lapA//yehW//emrK//afuB//gcd//gatZ//citE//lptE//fabI//ybaT//fetB//pyrF//sufA//hokE//sapB//thrB//rssB//lsrG//lsrG//pepB//napC//srlE//lptC//hisG//yjeI//flgE//recQ//gnd//fhuC//clsC//gph//ilvD//lpoA//nei//arnT//viaA//gpr//glgA//nanS//ygbI//entS//pheP//metQ//moaE//agaV//ygcR//
GO_0009893_5	zapE//ghoS//ycaO//hycH//frvB//pitB//malP//dgoT//yaiW//leuA//proQ//dxs//folE//ibpB//frdB//arfB//mlc//rimO//speE//chaA//btuF//minE//rhlE//tas//rpmG//yihQ//soxR//bcsQ//yeeJ//pepT//frlA//hycB//elyC//rlmN//priA//yghO//wcaB//yjiY//ynhF//bsmA//potF//mnmC//rpmH//pinE//caiE//aphA//ptsI//rhaM//yhdH//uxuR//prpB//fiu//lpxT//ybgI//yfgJ//mepA//uraA//znuA//proA//dnaB//ettA//folP//rpmC//parC//cspB//ascG//iclR//fdhF//psuG//syd//intQ//mug//paaB//mscL//cho//kilR//dmlR//hofO//yagG//iraD//nrdE//dppD//rng//hcaR//dgcE//fliZ//entD//galP//mdtN//pmbA//rbn//rpsN//rlpA//sulA//mrcA//trmO//yhjR//qorA//rsmH//
GO_0009894_5	uxuB//yieK//guaD//ispU//araC//pncB//zntA//gmd//recN//ycdY//pykF//gabT//yciT//ssuE//
GO_0009895_6	ycdX//pheA//ribD//pgsA//
GO_0009896_6	ybjL//gcvT//ushA//
GO_0009966_5	purD//
GO_0009968_6	yhcF//
GO_0009970_6	miaB//sucB//gadC//
GO_0009972_10	kdgK//
GO_0009991_4	hda//gudP//dsdA//yjjV//yegS//yihR//accB//dkgB//sodB//lacZ//pntA//sdaC//fecB//yciF//nudG//dgoD//zur//allS//fucI//rnc//pdxA//mtlR//proA//ydfH//yjiM//ybjG//elyC//glsA1//lpcA//agaI//tusB//rfe//yhgH//csgF//aceF//yjcS//trmH//trkG//torZ//tag//argI//miaB//rluF//pykF//abpB//yedF//yccS//yodD//ilvA//cas2//fdoG//ygfX//yfeW//cobT//nlpE//cytR//zntA//pdxH//rpsH//murF//eptC//yahN//barA//
GO_0009992_5	oppD//cysZ//cueR//yfaX//
GO_0010033_4	carB//malI//wcaJ//nadC//cspC//yjfP//yjjW//fliT//nanR//yjfP//ruvB//tsgA//rfaB//hdhA//fadB//gsiD//ilvH//yidL//torC//ybcL//ftsL//minE//arnT//hscA//yqjA//hscC//appY//yrdA//yjbG//sbmA//codA//mdoD//rppH//tolR//cpxA//rpmH//truA//rpmF//ygbL//rayT//aroK//mngA//allB//
GO_0010035_4	rfe//ydhQ//dacA//nadB//leuB//appB//pspG//hofO//puuR//rlmH//purD//wecB//yjbF//ftnB//nagD//tcyN//sbmC//sgcE//rbsC//hdeA//yibH//pspA//melB//holA//ruvA//ykgF//dcuS//oppF//cyaY//cpsB//hdeB//elaD//tsaD//fixA//yhdW//nemR//citT//frmR//metC//ycaN//xdhB//nrdI//ybfA//dtpB//cynS//metN//ybaM//torS//wecB//lysR//gatY//yqjH//yghG//mnmC//pth//tonB//ydiZ//yjiR//hemN//icd//bioP//yajO//rpoE//phnP//mnmC//purA//plaP//tatE//yhcF//xdhB//miaA//ynjD//mukB//abpA//tatB//yggW//
GO_0010038_5	ygbM//dfp//sodB//rlmC//pdxK//dinG//mdaB//glcD//fabR//ytfQ//bglA//galK//cydC//rng//cpoB//frdB//tbpA//ynfH//hpf//rplA//gabD//mdtM//arnF//opgH//yjaZ//mntR//csiR//ttdA//yghU//pepA//yegS//kdpC//ftsI//ahpC//recE//cheY//queG//lpxB//torD//cstA//argI//comR//glsA//nudF//folE//
GO_0010039_6	degS//glrK//ydcO//yajO//hyfC//garR//cobS//
GO_0010041_7	hemE//rhaA//rpmG//kilR//mrr//sbcB//
GO_0010042_6	ydeE//yfcR//
GO_0010043_6	grxD//maoP//rhtC//aroA//napC//aroB//
GO_0010045_6	ampG//yhbY//gspE//
GO_0010106_6	cirA//
GO_0010124_4	oppA//rayT//guaC//deoB//yoeE//radA//rsuA//dsbG//eptC//mutY//argE//mntH//cusS//
GO_0010133_7	rimK//
GO_0010139_7	epmA//
GO_0010165_6	deoB//manX//yejE//yraH//ynjA//xylG//hypD//garK//ilvB//uvrC//gloB//lpp//xylA//yjjB//hxpA//cyoD//
GO_0010167_5	trmL//fetB//
GO_0010212_5	insI1//fliM//recD//uof//dhaL//allR//csiR//yafE//fucI//truC//sbmC//hypE//fimH//tcdA//dctA//ftsX//pcm//rpsB//rplP//alr//dut//erfK//dsbD//casD//ybjX//hemF//srmB//murB//
GO_0010226_6	mdtI//
GO_0010243_5	yjeI//dppD//citX//plsX//bepA//relB//ybiO//hyaA//sdaC//ygjR//thiH//dinI//cas1//aroH//serC//ybcQ//
GO_0010269_5	era//
GO_0010272_6	rutD//mscM//gspI//curA//nagE//gadE//
GO_0010273_4	mliC//zapD//xanP//ubiH//rpsA//mhpR//
GO_0010288_6	hisG//
GO_0010312_3	hofN//
GO_0010332_6	ascB//
GO_0010350_6	moaC//yaiV//
GO_0010438_6	mnaT//bdm//mngB//dppB//
GO_0010447_5	rfaH//tbpA//fumC//metE//mntS//potG//hslR//gsiD//nrfC//rspB//yigB//zapD//mdh//curA//nei//rluA//fcl//yciA//xapA//xylG//sapF//
GO_0010466_7	dosP//ulaE//
GO_0010468_6	ybjC//hyfC//gatY//yqcC//tsaC//yjaZ//rsmC//sucA//rfaE//argD//ydiP//atpD//rutB//ybdH//sdhA//thiP//mntP//xdhB//coaA//hyfR//fdnG//araE//cptB//ynbD//yigL//trmH//tehA//aroG//rpsR//aceK//yjbG//fliS//nrdE//pflA//cheW//metQ//ygaV//potG//potH//ssuA//asnS//znuA//hflC//recB//higB//opgG//yacG//ugpC//mprA//phnI//nagZ//yjhI//proC//ygeA//rdgC//nac//sufS//xapA//cvrA//fadK//yehT//cobS//gltS//nikC//nuoB//cpdA//thrC//yqgF//crp//kdpD//amiB//metB//yafO//hypT//idnO//folM//yqjH//tmcA//artP//ubiI//cusS//emrK//sodC//gabD//relB//csiD//fhuF//yfdS//frvA//nuoL//potG//ytfR//hypB//yqaA//nrdG//kefF//dacB//hybG//msrB//rnpA//polB//ispF//csgF//iclR//nuoI//yjfP//tesB//smrA//fimF//osmE//cheW//prpC//fimE//rpnA//argK//rplM//pheM//lyxK//yagU//yheT//hypA//insK//yidZ//narV//argT//fieF//trxA//treF//gloA//iscR//lptE//glpT//mglB//yaaU//adeD//yfcP//slt//wzb//yaiW//frvR//hisG//ada//shoB//ftnA//relB//envR//chbA//mioC//yggW//galU//kbaY//zwf//frsA//pgm//maa//atoC//fimH//hsdR//amiD//gcvP//pinR//dmsC//hemL//zapD//pgk//fabI//lgoR//glpG//dacC//queF//mdaB//ycjU//rpnC//hdeB//yfeW//insB-4//argC//atoS//bglB//wcaJ//afuB//yjtD//yfiR//glcE//mhpT//purU//gyrA//yceO//hsdM//ibsA//envR//ispA//rmuC//mdtE//uup//aslB//rpsE//yfaL//aidB//yhfS//ycfJ//ampE//murD//panC//prmC//lpxC//sbmC//dmsC//yoeB//tdh//lolB//nrfB//csgE//elfA//paaX//nfsB//rnhA//entF//ygaV//arnB//rodZ//yihL//metH//ccmG//nrdI//yebZ//slyA//yjfF//rclA//mcrA//frmB//ibpB//intE//clsB//xerC//waaC//ydjL//qorA//yjiR//rpnB//ygiV//emrE//zntR//pntB//deoA//cpxR//ymgC//uup//sfsA//xthA//pnp//yddG//lpd//galF//yihV//ppiA//mutL//ybgP//glnB//tisB//ybjN//allB//abgB//ytfP//ydeT//rof//dacB//rnlA//rutG//yefM//lpxD//orn//dmsA//aroK//yfgJ//hslU//ypdC//yceD//pheP//osmC//aroP//hybO//treC//narV//frvA//glpT//chpS//lsrR//torI//intA//nudC//hpf//potG//rbsB//baeR//satP//rpsD//glk//lpxB//btuC//ydcM//phnI//kduD//yjhG//ltaE//ibsA//yeeO//rpsH//elyC//fryA//plaP//hcaF//phr//xapB//recJ//hisD//yeiL//nth//
GO_0010498_6	nrfG//
GO_0010501_7	yebS//yehT//rffT//setA//moeA//glnQ//rimO//soxR//yihW//
GO_0010528_5	rfaC//
GO_0010556_6	hflC//ulaA//infB//menI//arsR//psuT//ddpX//ydiK//dnaX//dnaQ//lacZ//aceB//ilvD//uof//otsB//glpG//ftsY//yfcU//rplW//pdeK//lgoT//rihC//hypB//pckA//frlA//artQ//pgpB//yjaA//ycjP//recO//nlpI//yqcG//serC//aceK//ycgB//hscB//metQ//metI//pepQ//rclC//sucC//yjbH//hofP//narY//topA//yqaE//frdA//mdtD//mliC//yeaG//argA//btuE//srlE//frvR//lasT//allR//sad//tomB//insE-1//ubiF//rnc//asnA//argD//yfaV//cueR//phnL//dinD//otsA//fruK//ddlB//ruvB//ychH//yceO//evgS//ybgQ//rplP//dkgB//caiD//chbF//rnlB//zapB//ruvA//rpsI//ridA//yebZ//yahB//fic//rpmJ//murF//gltD//yhjC//ispG//rfaF//stpA//yfaL//fabB//ghrB//trkG//luxS//ybiW//hybE//ydiO//pyrL//frvA//ruvB//cbrA//fcl//dam//mrcA//mrr//ydfK//rsmA//cusB//nfsB//fliA//ldtB//ugpB//csrA//lolD//sodA//fecC//zwf//tnaB//waaJ//acrA//hscB//rlmJ//argD//preT//comR//sfsB//cutC//flgE//yhaJ//argI//ybhA//secD//lapA//wcaB//lon//rfaE//nrdD//yiaO//uvrC//chbA//folE//agaR//ilvB//mrcB//aroL//dtd//rplX//hybC//dsdC//ackA//ygaZ//livG//yiiM//rpsT//cpdA//tehA//nadB//rrrD//rimP//hisD//ydfK//yegV//thiC//hycI//nuoL//mlaE//mlaD//yfdC//mutL//ogrK//mscS//rutA//hycA//mltG//ompR//uvrB//uspB//ybgQ//qseB//yciK//djlC//mdtN//insB-4//gyrA//ulaC//hlyE//hiuH//ccmF//fimI//yedP//prc//bioD1//aceF//ydbK//glxR//yejA//yidE//tdh//mntR//btuD//coaD//caiD//yhfK//ubiB//murQ//srlB//ydcM//fliG//eutR//sspA//malI//caiB//atpE//dhaL//ybdN//yfjR//glcA//opgD//leuC//katE//napF//waaO//gnd//wzzB//mzrA//rpe//uspC//yahO//rzoR//yqeG//iscA//waaZ//tdcF//flhC//thiQ//hiuH//ecpR//ndh//cheZ//uxuA//dapD//nrfF//fepB//tynA//tolA//xdhB//ynfK//ttdB//dgcM//bsmA//rluC//tadA//sapF//phoB//lptA//bioP//metQ//mrdA//frlC//lpxK//tyrB//kbaZ//ubiX//pflC//insA-1//ydeM//cysQ//prmB//yfhH//lnt//lptF//thiP//yfgJ//carB//yraH//artJ//uxuB//sseA//accA//rffC//bepA//yobA//aaeA//gsiD//ybhI//putP//alsA//hslJ//mepS//scpC//phnI//tas//mtlR//flgJ//pntB//greB//dgcE//ygfZ//fabH//adiA//atpH//rlmA//gadX//yieK//tatE//hisB//yqaA//
GO_0010557_7	rhaT//frr//fepE//pabC//dppC//betA//glcA//yejE//narI//murP//ddlA//yjjG//aslB//yafN//frdC//uvrY//yghG//kup//sseA//nfo//adiY//ampH//livG//potG//fhuF//helD//fabZ//fabZ//brnQ//pcnB//ruvC//matP//phnH//frlA//shoB//yaaA//ffh//aldA//aidB//gltI//cysZ//nimR//sgcX//caiT//eutR//hybE//casE//glrK//dgcQ//hypA//ilvB//frdB//ruvA//cysI//cynT//queF//arsR//rutB//sad//rfaG//pncB//mepS//betA//focA//yjgX//secA//waaC//cbpM//avtA//tatE//trg//codB//cysC//sstT//insK//glgA//fryB//ycjQ//ybcJ//eptC//aspA//fryC//
GO_0010558_7	tusE//bcsQ//cbl//dhaM//hpf//yjbH//sodC//pgaD//trkG//leuO//pntA//rfbX//ycjQ//serA//ynbC//rimM//purR//gatD//malK//npr//nfo//hofO//adhE//nupX//rnhA//rnr//yeaV//fhlA//rlmN//rpmJ//fryC//gntK//ydeP//thiP//nrdI//yddM//mdoG//yeaV//exuT//tatB//gshB//yihX//ftsY//yjcS//yoaA//rhaS//atpD//ruvA//torC//rplB//radA//yneL//trmB//lldP//yidQ//livF//pepB//chbA//rbsA//yraN//epmC//kbaY//tdcE//yfcQ//clcA//zntA//tdcE//hcaR//nudF//lptB//rlmN//cadC//yadI//nupG//mreD//ftsA//ybhF//ispB//rfaE//lysO//dhaK//lon//hypB//ssuA//rluC//ppsA//proB//aroF//bacA//yiaL//crr//abgA//mdtL//yegV//fecD//rseC//mug//prfC//treF//sstT//rbsA//sthA//erfK//diaA//ygeX//gmk//ihfB//grpE//yfjV//ulaR//tadA//ghrB//fruK//cmoB//ygfI//elfA//hslO//nfsB//rna//ybfE//
GO_0010562_7	moaE//eptC//
GO_0010563_7	ascF//rplC//
GO_0010564_6	mcbA//hyfR//gltS//sgbH//gpp//
GO_0010565_6	mdtK//ttdB//ykgF//gltP//sutR//csdE//
GO_0010604_6	afuB//fecA//intA//solA//fetA//ybcF//ydiF//dxr//rpnD//trxA//prlC//caiB//dppB//thrL//rlmA//ydjE//kefC//iclR//gor//potD//ugpA//def//cdaR//umpG//hprS//hyi//yhbY//gph//cdh//mrdA//map//cytR//yfgO//dgcE//rpnA//clsC//yagJ//hflX//yihI//yqjI//focB//secD//selB//yieK//tolQ//ygfI//arnD//puuC//yraH//cvrA//yfcF//nemA//yefM//pspG//pdhR//wzb//rcsB//pdxB//rutD//alr//torD//nikB//ppsR//paaK//argI//pepD//gsiB//amiA//ygiB//rcsF//ompG//ycgR//pyrC//waaU//lrhA//entD//appB//srmB//betA//yhdH//msrQ//yqgB//torA//folE//mreB//cysH//yphD//lysP//recE//potE//ybcM//eutD//hofP//
