#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sdaB//cpoB//srlR//xylF//
GO_0009060_6	waaU//ycgR//tdcE//yghB//folM//rnlA//mrdA//lgoD//cdh//dkgA//hslU//rpsB//mdtQ//lolB//atoS//fliD//epmC//ftsZ//rlmG//umuD//holE//umpG//scpC//ndh//mdoD//rffC//
GO_0009061_6	agaC//fliL//yeeJ//csgD//entC//garK//xylF//tus//tcyN//dgcN//btuR//tilS//gadB//nikA//miaA//glnQ//ycdX//ygiB//alsE//umpH//phnG//xisE//yfdS//ypdB//ygbN//ygeA//rfaF//yehX//yjgX//phoQ//uspB//torR//yehY//treR//gudP//clpS//dppC//dicC//sgbH//exbB//pspF//msrB//aroL//clpP//kdsB//fdhD//flgC//erfK//kduI//rep//bioC//malQ//yneL//selB//rtcR//
GO_0009062_6	ybiH//ubiI//htrE//fabR//zapD//lptG//yfcG//ftsY//yhbS//dgoD//bioF//ubiX//yjaA//priB//lpd//raiA//ftsQ//yqhD//pabC//miaB//hisA//
GO_0009063_5	proX//rbsC//dgcJ//yneE//tsgA//lplT//glk//cutC//agaD//ppiA//insI-2//aspA//narW//ybaL//yiaJ//pgaB//rplX//glpT//mglB//flgK//yqiJ//kbp//narU//pyrB//rnd//tdcD//tisB//bcsQ//yfdO//rsmI//mhpC//ydcZ//yaaJ//adiC//yhjX//argG//exuT//recB//kdsB//purU//amiA//tyrB//rsmJ//ilvH//tdcB//arsC//ppx//nhaA//yaaA//treB//tldD//xylG//hemE//yiiD//rfaD//
GO_0009064_6	dacB//kdgK//pbpG//yjjG//wzzB//dinD//hsdM//rseB//betI//zitB//trmA//waaL//argP//wbbK//mqsR//murC//accD//ybfA//rplX//hemN//gyrA//kilR//pbpC//dgcJ//rutB//caiF//yidR//hcaT//ispU//hofN//mqsA//hipB//lexA//rpsR//hisP//ygbL//secE//lpoB//ybdH//thiM//yehZ//chpS//yfeW//ybdN//yhhZ//acs//
GO_0009065_7	rpmE//alaA//dacA//dgcJ//rutD//kefC//mlaE//lspA//minE//cysD//fdnG//sapC//higB//lexA//tpx//ygeA//raiA//ycjR//
GO_0009066_6	ibsA//fliG//yhhT//cdh//yhcN//hisP//ycaN//ycfJ//speG//phoE//poxB//nusG//yegV//torZ//zntA//hicB//yiiE//yceD//idnD//speA//ybbW//polA//puuA//frmB//bglF//dinD//ibsD//pheP//ydfG//yiaU//waaH//garP//srmB//agaW//nanE//potH//ybiJ//ynaE//waaB//bsmA//dinQ//fliS//napB//pgm//rhaA//ushA//rplA//ynjD//
GO_0009067_7	csgA//csdE//pbpC//yhjX//pepB//tauA//mdtF//puuB//cmoM//artQ//torY//actP//dapD//adiC//aroF//bglA//flgH//yoeE//yahI//hupB//narQ//yciF//gpr//murF//rpsK//yafC//
GO_0009068_7	flgK//mdtJ//ggt//phr//acrZ//csgB//gcl//ffh//cysU//yjiY//yedF//dppA//cdh//
GO_0009069_6	yahD//hemG//fliS//argR//surA//hypC//fau//srlR//ybhR//tdcA//uof//pflC//yidQ//rutB//xanP//dkgA//yfjR//ulaB//cysU//intZ//phoA//dnaE//ygiW//gatZ//pabA//tsgA//menB//gpmM//lysR//sdhD//fur//epmC//cpoB//gph//fdnG//hlyE//
GO_0009070_7	mdaB//xisE//dnaX//yagI//guaB//rpoE//tdcA//leuE//yfcV//gatD//nupC//yjeH//yfcF//yciT//allD//rraA//surE//purD//ulaB//dnaE//
GO_0009071_7	ydjM//hldE//hyfC//yijO//ygfA//ftsI//livH//yibF//ligA//tamA//rplI//yajL//rseC//gabT//
GO_0009072_5	bglB//melR//setA//ilvI//agaA//mrdA//idnK//ibsB//ptrA//argS//waaB//puuP//paaH//yggF//rhsD//nadK//rapZ//ldcA//frvB//btuF//psuT//mog//ycfL//pyrB//
GO_0009073_6	rpsL//yphB//ybhS//aroD//amyA//rfe//oppB//moaE//borD//insH-5//casA//pgaD//glpF//yihS//yiaJ//ygfZ//yhcN//glrK//ycdY//alkA//frwB//
GO_0009074_6	phnH//glsA//insA-2//
GO_0009078_6	hybD//pdeK//glcD//menC//pdeD//yceO//yjiM//
GO_0009079_7	menC//rutG//rpsT//yjaZ//
GO_0009080_7	yegD//pntB//srmB//
GO_0009081_5	msrC//rbsC//eptB//sdaC//gntU//csdA//yjjW//yddG//symE//minE//gatY//sdhD//rbbA//lsrB//bioA//ygdG//yidH//cysK//ampG//cobU//mukB//eutA//
GO_0009082_6	ubiI//gcvA//bamB//argF//guaB//caiD//mmuM//mntS//yihX//potB//psuT//csgB//metI//yoaB//potA//hicA//aqpZ//cydB//
GO_0009084_7	bepA//aslB//torC//yafN//cyoE//hofO//ibpB//ydjM//rfbD//alpA//ilvL//sfmA//ybcJ//hscB//yabI//yjbF//chpS//hprR//yeeA//yghO//hisC//dgcT//pgl//rmuC//gadB//
GO_0009085_8	gspI//pgi//hchA//pspD//plsB//tsx//puuD//pbpC//arfB//parE//yoeB//tolQ//
GO_0009086_7	narZ//asnB//envC//ybeQ//moaC//gpmM//cpdA//pgi//speA//
GO_0009088_8	argK//kefC//
GO_0009089_6	yidQ//pspF//nfsB//hisC//rbn//ftsB//phnJ//hybC//frmA//
GO_0009090_8	pdeL//osmE//dpiA//lpoA//
GO_0009092_7	ispG//rna//hybA//recQ//casE//yiiE//
GO_0009093_7	yahK//yraR//birA//dgcZ//kdpE//
GO_0009094_6	dps//rimJ//mrp//tdcC//
GO_0009095_7	gspF//yadC//yceO//gsiC//
GO_0009097_7	hyfF//hemG//puuB//soxS//yjjI//rnlB//relE//
GO_0009098_7	pgsA//ahpC//chpS//msrQ//pdxY//asnB//wecE//
GO_0009099_7	yhcH//gcd//yiaB//qseB//yaiV//ytfT//gppA//ilvA//cysN//dctA//
GO_0009100_5	yqhC//pyrC//glpT//yaiP//rng//
GO_0009101_6	rof//
GO_0009102_6	rbn//yjjX//slt//appY//ygeA//clsC//sdhD//potE//rhaD//pliG//tynA//dinG//yqhD//
GO_0009103_6	evgS//mmuM//gatB//hycI//yjhB//cmoB//orn//guaD//insE-1//ygeA//yneJ//
GO_0009106_5	acrD//patA//
GO_0009107_6	norR//dinJ//
GO_0009108_6	ydcT//gntU//tsaE//bipA//sgbH//bglB//fliM//dnaQ//ebgR//yqgB//fliA//zapE//yqaE//thiD//gfcE//yibA//ubiI//hscC//ygfZ//fadJ//narV//sdhB//rutD//kduI//abpB//dmsB//yadM//osmE//ybaM//ruvB//yggP//holD//uraA//yagG//napB//rtcR//rdgB//tus//gpr//ldhA//fimD//ptsI//bglH//fecC//lexA//hypB//yibT//ygbL//yfgO//udk//ygbI//rutB//proB//paaF//pitA//ffh//yjjV//lldP//aer//idnK//yobA//frlA//mdtF//dgcZ//eutK//rhaB//pgk//pyrC//slyD//agaW//yqaB//dbpA//pepQ//narW//thiC//glcF//kup//yagE//polB//yfeW//ycgB//pstB//rluE//sulA//sugE//talB//gmk//pinQ//cysM//ibpB//asnA//ftsY//tcdA//alsA//proV//ytfQ//gfcE//yadM//yidL//maeA//purL//mreD//yihR//cbrC//nrdF//mipA//flgC//zwf//ampD//torC//
GO_0009109_6	ygiW//rfaG//ydgA//nirC//iscA//
GO_0009110_5	menA//menF//zapA//pnp//queA//osmE//alsC//cycA//rspB//gudP//mreB//trmB//ftsL//yefM//elyC//gfcE//ompR//rhtB//gltX//ybiY//ilvE//fadE//ydeM//azoR//mdtD//ypdI//rutE//ychO//rfaF//yrbG//thiI//rlmF//sfsA//dcuA//bamC//bamA//bglH//nanS//yiaF//moaC//rbsK//hofM//rlmA//bglF//fumC//agaR//hxpA//yciA//ftsQ//nikE//arcA//yciF//yidA//sgbE//tnaB//arsC//rpnD//
GO_0009111_5	ypdA//ydjH//yadC//napD//
GO_0009112_5	ygcR//metF//yggD//insH-6//lplT//afuC//yaaJ//yjhC//hsdM//ydiQ//pyrD//yeeA//argH//xseA//lpxC//entC//yeaK//zitB//mlaC//uidA//potB//bamC//aroE//msrP//bhsA//yebK//yihW//nuoE//emrB//ihfB//cdaR//syd//tpiA//holD//bamE//nuoH//
GO_0009113_5	yddM//mlaD//arnD//ydfK//mlaC//
GO_0009114_8	uxuR//
GO_0009116_5	lacY//rpmF//ilvE//dmsB//emrY//sgbH//malP//mqsA//argI//trpL//ymgC//sodA//cheY//fepC//adiC//ptsP//flgD//pdhR//nuoF//kch//pspA//gutQ//ytfE//relB//hokB//topB//sfmC//ybdR//lysS//pdeD//murJ//codA//yhbX//dcm//rna//tbpA//lysC//dgcE//ssuA//mrp//
GO_0009117_6	livM//iscA//glnD//hemF//ldrA//rfaH//rpiB//cheZ//artQ//rpoE//nuoL//wzc//agp//yaaJ//rdgC//panE//adeQ//gapA//gluQ//sgcB//fdx//glnQ//ydfH//clcA//bioF//rmf//ybhG//glpB//phoE//ulaG//narJ//yajR//puuC//truC//ynhF//eutR//mcbA//ilvM//rhaB//ydcR//sufE//fadR//tsaB//lsrD//upp//yjhI//betA//ddpX//rclB//ppiC//yehP//rlmJ//hrsA//fixC//ypdF//citX//cbrC//hslU//infB//tqsA//waaG//lsrR//phnC//yhdZ//tmcA//thiE//folP//dnaT//yfeW//yabI//mscS//galU//gcvA//nlpA//ycgV//dgoA//rpsJ//ykgM//dmsB//narQ//menH//gloC//tisB//ygfI//ybfA//rnlB//yibT//etk//ribB//folX//artI//glgX//tatD//rpsI//nuoL//hisF//miaB//yiaL//hyaA//tdcA//nagC//mprA//yfaX//tynA//
GO_0009119_6	nanR//lpxD//hdeD//thrA//cpsG//sgcR//waaF//torR//hyaA//acs//yjbG//tdk//metK//rstB//gltL//ybiV//yafC//hscB//otsB//cheZ//rplC//nac//dctA//hslJ//hisF//pdxJ//sad//sppA//nikA//lpd//dnaB//cueR//ybjC//mscM//fucP//
GO_0009120_6	atpG//brnQ//fabH//trkA//
GO_0009123_6	ariR//ycjY//mrdB//mngB//tus//ompW//bioF//shiA//rplJ//pheM//pinQ//livK//rffC//copA//speC//rsmC//radA//guaC//bluR//ada//degS//ycjY//ynfH//kdpE//yggW//yecS//apaH//adiY//hisD//ispB//opgD//mcrB//rnpA//yjhB//waaA//bfr//flhE//frwD//cbrC//glpC//insB-4//fepA//napC//msrC//evgA//ebgR//
GO_0009124_7	bcsQ//frlA//ydjE//cspA//pgaA//mreB//lpxP//glnP//potA//frlA//bluR//pflC//yibF//ulaD//rpoS//ycgV//cdaR//ybjC//cfa//lptC//gyrA//rcnR//ortT//mhpT//mscK//mdtA//proX//nadB//proA//mreC//galM//ygbM//tyrB//phoB//fhuC//ihfA//pstS//
GO_0009125_7	dam//recC//fimE//pheA//kilR//
GO_0009126_7	pspG//acpT//cysE//amiA//yhcF//csrD//soxS//tdcR//rsmF//yadG//ttdT//paaE//rseB//rhtB//thiL//mtfA//ppc//cpoB//csiD//hypB//rhoL//chbA//ydcP//rapZ//sufD//kdpB//hrpA//mscS//tktA//nikC//uidR//nanK//ompC//rpsL//
GO_0009127_8	rlmM//btuR//elaD//hupB//yoeE//rhtC//trkG//hsrA//qorA//yhgF//murR//cmtA//msrB//cysN//yjjW//tsx//ascF//edd//rnr//ftsN//cmoM//gadW//yaiP//ilvI//mhpA//nrfB//pta//putA//yjjB//mutH//
GO_0009129_7	bglF//chbB//fryC//yfiC//rarA//ycgV//gfcE//xapR//murF//pepN//
GO_0009130_8	cas3//yjbH//ybcC//bssR//rpiR//
GO_0009131_8	betA//ymfK//yhjG//hiuH//tgt//
GO_0009132_6	waaP//artQ//idnD//fliZ//ycbU//amtB//ycgB//trmD//hokE//kdgR//nrdA//yfgI//csrA//focA//yohD//leuD//cobU//pdxA//prpC//hha//ribA//hofO//ytfE//xylR//miaB//
GO_0009133_7	yhjA//ybgQ//cas1//
GO_0009135_7	tolA//yegV//def//yadG//dnaB//satP//ispB//sufD//feaB//pheA//nudF//dcuB//rpmA//mnaT//pstB//ybjX//yfiF//betT//umpH//tqsA//queF//rclA//rplF//
GO_0009136_8	uxuA//
GO_0009138_7	tatD//tktA//
GO_0009139_8	fadE//parC//
GO_0009141_6	glxR//hyaB//lapB//dxr//decR//ssuA//feoB//rpsL//phoB//ycjU//rhaM//rpnA//mdtN//sstT//glpX//yciG//rclC//yibA//rusA//sfmA//ugpB//lpoA//yoaA//setC//rhmD//speE//yegD//yieE//ycjR//napD//ygiN//yjeH//ygiB//csiR//artM//hipA//hinT//citC//
GO_0009142_7	nlpA//nlpE//sfmC//fepB//rpoD//ycgB//clsC//secD//gppA//rhaA//rpsR//ygiN//pdxY//afuB//purR//mltC//rsmI//ygeX//nirC//yfcF//srkA//uacT//arsB//fhuC//mprA//sugE//yifB//dadA//
GO_0009143_7	ygbL//puuB//rcdA//nth//
GO_0009144_7	rplS//ugpC//bioB//cirA//mhpD//mdoD//garP//tyrA//srlD//flgA//yieH//lepA//nlpD//rihB//yieK//ribB//yegV//rpmH//flgJ//higA//manZ//eutR//wecC//rhaB//holE//recQ//kdgK//hchA//pcnB//cobT//ulaB//
GO_0009145_8	accD//hybB//blc//recB//hflC//tdcF//zraS//tig//wcaB//kch//thyA//lsrG//minC//tdh//rpmJ//sad//slmA//iscA//rluD//yciT//yehP//rnd//dnaN//
GO_0009146_8	insI3//btuE//
GO_0009147_7	rstB//yicJ//yiaB//rnhB//
GO_0009148_8	yihS//lpcA//
GO_0009149_8	suhB//fdnH//
GO_0009150_7	djlC//npr//pdxA//malQ//yeiE//ttdT//fadR//dmsB//trpS//rlmC//tatC//treF//entS//rclB//hyaD//dsbB//aspC//yedF//nagE//katE//lptD//glvC//apt//lgt//hemA//hokB//ompR//hslJ//pstC//sgcA//yraI//allD//yraJ//asr//patD//slmA//yegT//fadK//pdxA//norW//rimL//hprS//hpf//codB//hypT//mtlA//mdtN//gatB//
GO_0009151_7	ogt//yegD//
GO_0009152_8	hisI//yidD//gatY//rhmD//yhbO//pabC//hemA//gltI//ychF//ybcJ//murC//deoR//lpxT//iscS//yagI//lysS//arsB//yggT//gltX//glsA//xapA//nrdE//potH//ubiA//hycA//ttdB//yijE//ftnB//dnaQ//zapE//hypB//recX//nrdR//cdsA//rsmJ//yaaA//yiiM//
GO_0009155_7	pta//lplT//
GO_0009156_8	tauD//cpsG//glgA//fepG//malP//cbl//nupC//nimT//mntP//cspA//phoQ//pitA//mqsA//polB//ssuB//pdeR//mazG//kilR//phoQ//ldtC//hemN//bluF//thiQ//manY//lysO//recN//phnI//yohD//aroF//nanC//nanK//emrK//ribD//
GO_0009157_8	uidA//rplE//dusB//yafE//
GO_0009158_8	mfd//ygfI//rfaF//pabA//hslJ//
GO_0009161_7	queF//gshA//xylB//pncB//casA//mdtO//purU//ygbM//tag//rplL//araF//mhpA//yajO//norW//xisE//ybiY//malX//mnmG//mug//mutM//fadD//uidR//rplE//amyA//frsA//pgaA//rpoE//narL//dinJ//rssB//yraN//pgi//macB//tusD//zapD//casA//rapZ//asnB//paaD//yajD//rpmG//acrR//
GO_0009162_7	mrcB//cdd//acpS//mrp//
GO_0009163_6	tsaE//cusB//ygjR//rpsR//entB//gcvH//coaA//galM//yidE//ybaT//rbsD//gsiA//phoU//yfdR//yeiG//nusA//osmF//dbpA//cvpA//
GO_0009164_6	ilvA//pliG//pheA//gcvP//gluQ//rpsN//dpiB//bglX//paaE//waaB//glpG//sodB//hmp//
GO_0009165_7	thiE//ydiV//manZ//ydiB//rlmE//ascG//zapE//selB//entD//hyfA//ispG//ligB//secB//ldtA//yfaV//yagU//yodD//ldtC//yiaL//mnmA//htpG//hflX//maeA//tus//mepA//ilvI//rffM//kdsB//ybdR//napA//folX//waaF//yhjB//moaB//agaD//alkA//yciT//ilvM//mzrA//rbn//eutR//araB//relB//rpoH//rsmE//trpS//acs//tufA//dgcE//yceD//ubiC//znuB//yheT//cas1//barA//nudC//mdtL//rimK//hisC//insA-1//amiB//rof//murF//nikR//bglF//rpmF//gltL//rhtC//lacI//groS//murB//
GO_0009166_7	ldrB//yjiM//def//abgB//ptsH//patA//yhjX//gcvT//nrfC//bamB//yeaD//tatA//hcaR//ybhF//leuS//yhjV//fhuB//rcsD//atpA//nudC//folA//mnmG//narG//agp//degP//rsmC//glgA//bglB//dctA//ygiV//pheS//
GO_0009167_8	hofN//melR//rpsL//yccS//abgA//pta//scpC//fdoG//rcsC//lolA//mntH//surE//ldrA//ansA//rtcR//hflD//ratA//sufS//sucB//cysI//rpmF//lepB//ssuA//motA//argE//dnaB//prpC//purR//nanT//lptE//degQ//skp//rplY//hemF//
GO_0009168_9	tktB//ycdX//dsdC//pepQ//tatD//yheT//mtnN//citG//dicB//flgM//nupG//yedX//guaA//gatC//roxA//ydiB//dfp//lsrD//yigL//ybiH//smrA//rimO//yejE//malK//aceF//fliA//abpB//metB//ulaD//lgoT//
GO_0009173_8	thiE//dsbG//rhtC//nac//dnaG//lplA//yeiL//
GO_0009174_9	dadA//alr//
GO_0009175_9	paaE//bioD2//ampE//basS//hyaB//
GO_0009176_8	ybhS//moeA//zapB//
GO_0009177_9	pykA//yceO//garP//
GO_0009179_8	ulaG//idnT//csrD//gudP//puuB//preT//gatY//ssuD//gadW//feoB//nrfG//napF//ldcA//rho//mrcB//argP//ilvN//recT//yedA//glnP//cyoA//proW//yfaU//
GO_0009180_9	phnL//
GO_0009185_7	alsC//narK//rcsF//yiaU//rplL//prmC//csgB//tolR//shiA//zapA//yhaJ//ubiG//hslO//envZ//ssuD//ttdR//yeiE//satP//sfmF//avtA//mltA//ttdA//potI//fucO//
GO_0009186_7	glnL//
GO_0009187_7	yadM//ttdR//
GO_0009188_8	argD//yjbF//
GO_0009189_8	livF//
GO_0009190_8	leuC//abgR//
GO_0009193_8	tatA//
GO_0009194_9	ssuA//
GO_0009196_8	glvC//
GO_0009197_9	yejE//
GO_0009199_7	uxaC//gltI//aas//dkgA//rluA//ykfI//ptrA//aaeB//qseC//rplM//ydiP//cdgI//pppA//ttdB//yiaM//puuD//coaD//ccmE//accD//narP//yhaV//gudD//rapZ//thiG//manX//yibH//ykfI//tsgA//zitB//nudB//nrdF//
GO_0009200_7	frlR//ydiQ//ytfP//hdfR//
GO_0009201_8	arcB//chaA//frr//yjbH//dapA//ydiP//rplB//kduD//ubiJ//yaiW//msrP//pdhR//potB//fbaA//fimD//glnK//yaiW//proS//yahN//ggt//bioD1//hisB//puuR//ygeA//
GO_0009202_8	csdA//
GO_0009203_8	yhcH//
GO_0009204_8	fis//ydfG//cpxR//
GO_0009205_8	mtfA//hupA//ybiW//yadI//rplP//sspA//pbpG//rlmF//eco//ycjR//acnA//murF//aroG//yhgH//yfaE//queA//nimT//ydjL//rnd//malI//yahF//ycfJ//argP//selB//amtB//hyfR//rfaE//pabA//ynjD//
GO_0009206_9	pdeF//ybdH//rssB//arnT//murF//srlA//ybgI//yoeB//fimD//ytfT//paaG//yjfP//ycjY//lhr//yfjR//yihR//yajO//higB//rhaB//glcB//ybcQ//ynaI//ybjL//
GO_0009208_8	hisH//bisC//
GO_0009209_9	dcm//
GO_0009210_9	rlmM//
GO_0009211_8	nikR//acrB//menD//
GO_0009212_9	lacI//
GO_0009213_9	topA//ais//
GO_0009215_8	ycfJ//yidQ//
GO_0009217_9	mrp//gloC//
GO_0009218_7	ybdR//lpoB//chaA//ybiO//mglB//dnaN//nrfA//rplR//lipB//infB//recC//fabI//
GO_0009219_7	ilvD//sdhB//yfeX//ibsE//ynhF//
GO_0009220_8	phoP//metE//fixA//rplK//yhjG//glpG//
GO_0009221_8	fkpA//pdxB//cysN//yefM//
GO_0009222_7	zupT//gpr//marR//ulaC//garD//rffT//
GO_0009223_7	cheA//xapB//
GO_0009224_9	bdcA//yehY//
GO_0009225_5	sspA//dsbD//aspS//iscR//cysN//betI//ytfR//fliA//ruvC//btuE//hupB//pepB//znuB//prfB//tcdA//
GO_0009226_6	dgcN//yebQ//tolQ//nrdI//fpr//gltI//artJ//ydhJ//thrA//fliZ//dinJ//cra//dicB//
GO_0009228_7	ybiH//livH//bluF//nuoB//creB//udk//ydeE//fdhE//narX//dsdC//
GO_0009229_6	rseC//tig//
GO_0009231_6	galS//melB//lacI//maa//ansB//ibsA//csiR//
GO_0009233_6	dgoR//ybjG//frmA//bcp//sxy//tatC//zraR//cbl//gstA//rsmJ//
GO_0009234_7	rffT//rplM//dsdA//ispB//rfaD//ygeR//folE//degQ//folX//dsbC//
GO_0009235_5	trpC//hldE//fhlA//atoS//ompF//csgE//
GO_0009236_6	cysC//tauA//fpr//cynX//hisI//yhjG//
GO_0009237_4	rplY//pinQ//mhpC//paaB//csgD//yfcR//bisC//mltC//yafE//
GO_0009238_5	puuR//nsrR//rdgB//rpsB//yphB//lpoB//tpx//uidA//yghU//
GO_0009239_6	ybbN//ftsK//tcyN//patA//galM//yraR//aphA//intE//
GO_0009240_6	gntT//curA//rrrQ//ybhA//lolD//
GO_0009242_6	recX//aroH//ftsQ//rutC//cspG//envZ//aidB//dicB//yfdK//elyC//ansB//
GO_0009243_7	tus//
GO_0009244_7	menE//bssS//bcr//hypT//kdpE//tauD//eptA//ydjE//yhjC//livM//cdd//hypE//hprS//tnaA//recO//ybiJ//uspB//ybcF//thrC//murJ//hdeA//entC//spoT//yjiR//gcvT//znuC//yoaB//uidA//insF-1//
GO_0009245_6	selA//cadC//ydhK//yceO//ybiA//dxs//malG//edd//malI//mraY//
GO_0009246_6	xylR//chbC//yajR//yidP//bcsQ//cysA//truC//yafN//cheR//
GO_0009247_6	mlaF//frwC//ychF//nuoF//ompR//nrdD//mliC//rhtB//dppB//yfhM//rpsD//chaA//
GO_0009249_6	araF//dinD//thiP//
GO_0009250_7	rnt//glsA2//nuoF//mazF//rplO//trxA//yfeR//hsrA//murQ//cspB//nusA//mdtL//ldrA//rhaB//
GO_0009251_7	preT//frwC//hrsA//yciE//ybbN//dcuD//
GO_0009252_7	ahr//mdlB//proX//dacB//argP//cspI//arsB//ydeI//phnC//envR//napC//mrdB//pyrH//yjhG//rbn//rpmF//arcA//amiB//uspF//murJ//hiuH//sdhD//envC//rpsR//cyoB//dcuA//yhbX//sspA//ugpB//alr//ais//lsrC//napD//trmJ//ivy//nhaB//ycbV//sgcE//nadB//
GO_0009253_8	entD//rlmC//puuR//livK//degQ//oppA//leuD//zipA//queA//lpxK//
GO_0009254_8	hybC//ygeX//fabR//fucA//nrfG//mppA//nmpC//lpxP//manY//ibpA//
GO_0009256_7	nhaA//ackA//yaaJ//ygiW//
GO_0009257_8	tpiA//ykfM//ulaD//moeB//
GO_0009259_6	lrhA//hisH//upp//apaH//thiL//dam//mlaF//rclA//rpe//ymgF//parC//yeaD//adhE//nudG//yehD//dsbA//groL//sfmD//ravA//bglX//yeeO//yqiI//prfB//hemC//galR//yhgF//purT//ldtC//ivy//yjhI//mdtD//ddlA//aroC//puuC//allS//insK//tdk//rnlB//tyrS//tesB//polB//bluR//gcd//hemN//adiC//arnF//insK//nagC//frmB//plsB//cusB//hupA//pal//bluF//ykgM//rfaE//yrdA//argI//rnhB//tdcE//ssuA//
GO_0009260_7	yidL//dnaT//yajD//nadC//yfaX//sfmH//torC//yggX//eptC//mliC//ynaE//flhD//trpB//cdgI//rluE//mdfA//preA//ugpC//rfbB//sodA//icd//yfeX//hisM//kdsA//fhuC//glmS//pheM//ompT//yjhC//ampG//iaaA//katG//yjhH//amyA//fieF//btuD//ubiX//plsC//pepQ//rpsR//dgcQ//yqjH//frwD//sufB//
GO_0009261_6	gpt//erpA//rffH//bioD1//nikE//dsbA//
GO_0009262_5	ibsC//xylE//fixA//atpD//cusB//bioC//pdxK//rnpA//lon//elaD//ybdM//sbmA//selA//
GO_0009263_6	bioD1//yqhC//mutM//kilR//uvrC//aes//carB//tolC//puuE//
GO_0009264_6	ahr//gdhA//atpF//ycjW//sbcD//
GO_0009265_7	ilvA//yadG//yhjV//mioC//xerC//
GO_0009266_4	asnC//crl//nmpC//menE//srlR//bcsQ//aidB//fhuC//talB//betI//waaL//pyrC//exbB//yfaV//htpX//ybdO//patA//ttdT//wcaJ//rpsQ//torI//btuD//fucK//ihfB//ygeA//nimR//yfaE//gutM//yfgJ//yiaM//fbp//yfgI//astB//yhbS//oppD//purF//aslB//truD//aceF//tatC//yafS//nrfG//hisF//mepS//cbtA//polB//hdhA//ratA//dmlR//glxK//yjeI//appC//prfC//phoQ//ydbK//fumB//mrr//tolA//atpE//aer//yggX//zinT//wcaB//purT//fepG//rfe//argE//recJ//murI//moeB//sdaC//mepA//cca//cspI//yihX//ygiN//patZ//aqpZ//rutR//trmH//argA//mlaF//
GO_0009267_5	ddpA//bcp//galP//srlR//proC//uxuA//nirD//uxuA//bssS//secA//alkB//fumA//ubiC//fbaA//glpF//xapA//ddlA//alaE//tcyN//ptsN//sgrT//pheS//nrfB//entH//frwD//rpsP//
GO_0009268_4	yceO//mdlA//yfbS//rclB//livF//maeA//selB//rhaT//ydeT//ribF//ahr//waaB//paoC//uhpC//kilR//dgcT//fdx//ydiB//fryB//opgB//dsbG//rbsB//dut//hdeB//purD//allB//yraR//
GO_0009271_4	gltI//ycjY//dapB//
GO_0009273_5	nlpI//lipB//fadI//waaH//afuC//rpsS//fucP//appA//yabI//thrA//
GO_0009290_6	setB//fiu//
GO_0009292_4	sgcB//mreD//
GO_0009294_5	curA//narG//
GO_0009297_6	dhaM//ybhA//rplL//livG//aroK//upp//ygaZ//hisA//cobT//cycA//cbtA//frdA//nrdH//mnmA//
GO_0009298_7	dgoA//yihP//rlmL//
GO_0009305_7	truD//
GO_0009306_4	yajR//gloC//gloA//modA//comR//folD//bglB//
GO_0009308_5	glnS//lipA//seqA//exuR//rimJ//sodB//hyaA//paoC//dgoT//dgcZ//aqpZ//puuE//rpsD//curA//actP//mtlR//minD//ldrD//mlaD//yebS//rarA//pspG//ydeO//fepA//sulA//higA//oppC//
GO_0009309_6	napD//yhfK//dapB//yfdR//glnK//yphC//dsbA//cmoA//chbB//fecA//murB//menI//ulaG//yifB//
GO_0009310_6	yraJ//selA//queC//opgE//exoX//creB//pfkB//sodC//mak//gshB//pdeD//cbtA//potC//
GO_0009311_5	speF//paaC//fecC//yidH//cdh//dps//alsB//msrB//argO//puuC//yddG//cysE//dacB//dcuR//dhaK//ybiT//cydD//fruA//sapF//yqeF//fpr//metC//bolA//tap//waaU//lpcA//cbeA//rhsD//puuP//rppH//relE//ydeT//smrA//lsrR//ybdM//phnC//ptsP//mtnN//ycfH//ygfI//sdhD//fucK//ypdI//clpB//yfiR//dtpD//glnK//yeeJ//ldcC//trpC//narW//dinQ//umpG//
GO_0009312_6	mltD//ydeO//hycB//eptA//xseB//rffM//cadC//lhr//glcB//phnH//sapA//dsdX//zipA//napA//yjaZ//ahpC//yggW//yfcR//garD//rclC//cyoC//oxc//yidH//envR//ghoT//murE//yggE//carA//ydcZ//sdhE//holC//glnS//cptB//ydaC//lamB//moeA//blr//brnQ//rzpD//ilvH//panE//eutD//
GO_0009313_6	serS//zntA//allB//kdsC//hslR//yohC//seqA//cnu//yqeA//cusC//
