#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	yqgB//csiR//trmL//sohB//
GO_0009992_5	entD//cynT//mdtO//ibpA//
GO_0010033_4	maeA//xylR//yjjV//recT//cysP//dgoT//cyoE//phnI//glnB//napF//accA//ulaD//ugpE//cyaY//hicA//ybcF//envZ//rlmD//ybbN//yfbR//hybA//fadK//acnB//glnH//cbpM//hokE//tcdA//arcC//pdxB//murE//rcsC//ada//ygeX//pdeF//ubiD//cpdB//dnaE//yphF//glcF//mzrA//rlpA//efeO//dcuB//
GO_0010035_4	betI//yafC//fimF//murA//eutA//lapA//ibsE//glvC//grpE//umuD//yihQ//flgF//lipA//ghrB//mutM//mscM//groL//plsB//atpD//ibsE//ytfE//ygbI//acpS//dsdC//cnu//insA-1//hybA//fliK//insB-4//rimI//fadA//pgaC//ligB//potB//cmoB//yagF//pgk//yhdW//glcF//purT//fixC//cpdB//glcF//ilvI//ydfG//rplE//hinT//zapB//hcaF//nlpA//potH//ubiD//recQ//nuoB//garP//rsmB//frwC//arnA//hemG//ynbD//seqA//hisQ//paaJ//rdgB//gltI//epmC//cdd//yfcQ//yfcU//rnb//ygcW//rcsC//asnC//alpA//minE//mmuP//
GO_0010038_5	zraR//rlmF//fhlA//fadB//slyA//dfp//ypdI//ybiI//htpG//dam//rnd//chaA//pgk//hyfC//ybdR//rpmA//hybF//yojI//rhtC//sfmH//frwD//ydjK//kdpA//rfaQ//leuS//mioC//csiR//yeiE//tpx//leuA//rutC//elfD//yiaU//srlA//yqjI//ycdX//rimL//thrC//sspB//cspE//basS//dfp//torI//prfB//frmR//
GO_0010039_6	znuB//mutT//hflX//ibsE//ortT//ugpE//ascB//
GO_0010041_7	recA//ttdR//fabI//waaB//mdfA//ssuD//
GO_0010042_6	yafO//hokB//
GO_0010043_6	yebS//hprR//torC//mntS//rcsF//sucC//
GO_0010045_6	slt//rplA//dgcF//
GO_0010106_6	ruvA//
GO_0010124_4	paaE//feaB//rpmF//pyrH//trkH//yceD//artI//fucK//rplI//clpB//abgB//asnS//thrA//
GO_0010133_7	fliK//
GO_0010139_7	dsbD//
GO_0010165_6	cbl//yidE//ampH//tsaC//ung//cusB//mdoD//deoC//cobC//cstA//lsrB//metL//waaP//yfjR//yhhZ//mazG//
GO_0010167_5	yiaO//livH//
GO_0010212_5	menF//efp//chbG//narK//ygjK//thiQ//yhdW//lsrK//lgoD//ydcO//kbp//waaB//dtpD//kilR//selA//guaB//maeA//nagA//chbG//ymjB//serC//pfkB//gyrA//yiaN//cysU//tyrR//mqsR//panD//
GO_0010226_6	tatE//
GO_0010243_5	ralR//hyfF//hybA//ybdZ//truB//htrE//lpxP//creB//arnF//artP//mtlR//ruvB//yfeR//mdoD//aspS//yhgH//
GO_0010269_5	gadW//
GO_0010272_6	ilvB//csgG//ydiO//yhbY//nadD//malY//
GO_0010273_4	fpr//yiaT//chbA//codB//mdtO//yoeB//
GO_0010288_6	hdeD//
GO_0010312_3	yqcG//
GO_0010332_6	prpC//
GO_0010350_6	recO//arcA//
GO_0010438_6	rlmG//cynS//yrbG//tatD//
GO_0010447_5	ompN//mscK//mnmG//mscM//cysI//ftsX//yphB//mdtN//cadB//ulaG//yfbS//hupB//aceF//ahr//cbl//prpD//csiR//ppsA//rplO//bamB//argK//
GO_0010466_7	ubiG//rpsS//
GO_0010468_6	lolD//amiB//argA//pgpA//ydfH//dhaL//iclR//nrfA//ulaE//holB//rlmD//aceK//gcvR//crp//bluR//uxaC//kdpA//atoC//aroD//abpA//fre//lptE//yhjA//srlB//yhaV//higB//ribE//rbsA//yjhP//tar//yihP//rhsD//cusA//rhaB//ybjN//ydeT//ydiR//fumA//dfp//nuoG//dmlA//yihW//fadH//yjjV//ynfK//hiuH//tsgA//lsrD//cbtA//rluC//moaE//phnO//dcuA//cnu//ybhR//ftsP//yedP//fkpB//sapC//yihP//prfB//nikB//yegV//hemC//bglH//bamE//mtlA//bamB//citX//rhaB//hybB//epmC//uxuA//ftsK//hicB//mhpR//tsaC//iscS//cbeA//nimT//frdC//soxR//rpmC//ftsY//recD//yahB//ybgI//panF//acrB//ydeI//ybhR//gutQ//tag//bluR//mppA//moaD//tnaC//phnM//ihfA//lsrK//yqaA//yqaE//rutE//nudB//bisC//tdcG//hybO//fdrA//fadI//nadK//sfmD//tcyJ//ydaC//leuE//fadR//glxR//adeP//hemH//gadE//dicB//fur//recC//mdtE//torZ//ascB//ygaZ//ykgO//flgM//hybA//mlaC//yiaB//fucO//lpxC//potF//yagJ//tqsA//yggF//glnK//cysA//fepD//coaA//iraM//torC//uvrB//rnpA//lpxB//cbrA//cfa//hrpA//glpK//ybiV//rpmB//gstB//lplT//mepA//yadV//bssR//glmU//perR//glyS//nlpD//galF//yafE//sbcD//mtgA//rep//marR//rpsO//guaA//yjcO//grpE//accB//tcyL//nrdG//sgbE//pykA//csiR//ygeW//lpd//umpH//yegT//sgcX//galF//lptG//flgB//alkA//mug//hemB//thiP//yjiX//insK//bcsA//yaaY//ptsI//ycfH//mdtO//gcvR//sgbH//essD//yibT//hsdM//yeeJ//yihQ//ybgI//solA//rrrQ//dctR//ygbI//paaG//pdeD//treA//dnaQ//yiaL//yggX//ybfE//yihL//paaG//moaE//napF//mmuP//gltX//tcyL//hiuH//asr//rpsL//yedP//bdcA//sfmA//nadE//ralR//trpC//hscA//ycfL//yraN//narG//ravA//relB//lapA//zapE//yciF//msbA//nusG//iap//rffM//yghB//recB//phoU//yijO//yjiX//acrD//rlmB//pflA//mdtG//arnE//ilvL//ymgC//rplF//appB//fimE//hemD//lldR//ghxP//cho//lnt//leuE//guaD//nikE//yojI//ampE//insK//opgE//paaF//purD//pgi//bcsA//trmO//paaG//fixB//gyrA//truA//rlmH//phoU//tsf//murC//ung//ynbB//hemH//metK//fixA//pabC//ybiA//ygbN//ybaT//dapF//rpsR//trpB//pgl//gyrA//nsrR//tatA//rssB//menD//purU//fruA//yafC//cydA//zinT//panD//rclC//mglA//treB//ybjD//rplK//lpxC//holB//flgA//mtn//trpA//
GO_0010498_6	acrB//
GO_0010501_7	fecC//pcnB//thrS//bamB//rplQ//xylF//cysW//ynbC//obgE//
GO_0010528_5	ykgF//
GO_0010556_6	exbB//rclB//efeO//mqsA//uxuA//guaB//ugpB//yfiE//paoC//yihL//argP//cysB//yehD//rpsH//narW//ulaB//yeaD//rutG//btuF//agaA//aaeB//mnaT//dedD//ynfE//abpA//rppH//lepB//citC//rnhA//ptsG//casD//btuF//nagB//ridA//yedX//putP//rpsS//lepB//bssR//dmsC//yfcA//ulaR//waaB//ygjR//entA//srlA//rutF//adk//kdgT//fliK//murR//ggt//chpB//pabC//arfB//entE//dtpC//yddA//tcyN//holD//glpB//umuC//rhtA//chbA//bcsA//galT//yjbB//scpB//sfsB//cusC//tdcE//panF//fimH//rpiR//yacG//mhpD//rffT//srlE//ydiV//pepA//mprA//dnaX//lptE//evgS//fur//yaaU//gsiD//ybcF//cobC//pspD//ybiY//mutL//dxs//moeA//dfp//csgG//ldrA//norV//selU//nikC//gltS//casB//nanC//yhbS//pbpC//alsK//tgt//entF//ibpB//nikB//ydcO//rffC//yciT//acpS//lpd//prfA//lipA//insA-1//lldP//yfcQ//hyfR//mepA//narY//fixC//pgsA//rhaA//shoB//xylR//pitB//dgcM//tldD//rluE//hypB//sufD//yfhM//patA//menB//hdhA//plaP//rfaG//astC//gpt//rpsO//pheT//menF//edd//xylB//alsE//yijE//zur//mioC//bipA//yeiE//sapF//aspS//manY//sutR//purC//yfeO//ynfL//waaG//insF-1//shoB//prs//cpxP//yeeY//betT//oppA//glk//opgC//ykfM//pyrG//wzzE//ldcC//gpt//coaA//ybjC//narV//ybdO//ydcR//yehC//yiiM//ygeW//rlmL//cobT//ssuB//dnaQ//pdeH//ppiA//rlmF//arcB//yhcN//rpsT//ampD//hycA//rof//hfq//rpmA//sucA//yoeE//xisE//dnaB//bcp//tdk//yjfF//rhmD//pncB//nagZ//emrK//mlaB//menA//aldB//ssuE//stpA//fruK//hiuH//tdcF//kdgK//glnK//yafQ//pgaC//adk//map//gshA//tbpA//cheW//rlmJ//mazF//pcm//ybeY//yafN//hipB//opgD//ilvB//ygjH//ftnA//nanE//agaW//msrQ//codB//yhbQ//livK//yfcA//nusG//rffH//nlpA//nanC//focB//rpiR//wecC//ynaE//allS//smpB//nei//gsiC//psuG//xanP//yobA//hyaC//eutK//modC//exbD//ribF//acpS//pcnB//yjbF//priA//ykfI//yihP//nuoF//umpG//flgF//deoA//gluQ//proP//ydaV//ybiT//aer//yfeD//fsr//metG//ompT//rmuC//mobA//mlaE//ftsA//yfjR//mtfA//tcyL//rbbA//yieH//gcvR//yecS//mglC//rpsA//mdtA//rsmE//trpE//cyoC//trxA//cyoB//soxS//ydaN//yddG//rcsA//ulaE//rpsE//murJ//rtcR//alkA//mdlA//prpC//
GO_0010557_7	mdtF//nirC//nlpE//yaaY//feaR//wecA//fadK//yhcH//sgcE//srlA//cbrA//panF//xdhB//fimI//ykgM//zntA//tsf//atpA//fliT//yadI//zur//ytfQ//fliZ//glpR//araE//hda//yebC//zapC//ydhQ//rplX//ybjD//yihQ//malZ//acpP//lacZ//purC//zipA//brnQ//atpF//acnB//yejB//add//glcF//topA//emrE//casA//evgA//ftsN//ybhF//ymdB//mfd//yehY//entS//tusA//galU//yfbR//glcD//ybiX//narQ//gatB//rssB//hscA//erpA//rlmJ//ubiC//infB//tpiA//araG//ygjK//pyrE//rpsE//wecA//lptC//rcsA//nuoF//actP//perR//lgt//hisC//wzyE//malZ//waaH//
GO_0010558_7	ybaK//prmB//radA//ttdT//nei//glvB//bssS//psuG//prfB//ydeP//radD//yihR//hscA//ftsK//yadC//secD//rclA//yhaM//gapA//dnaK//ynjD//ypdB//ushA//uhpB//gloA//ytfT//csdA//ftsW//yihO//rutG//recG//ygcR//narL//srlR//murQ//yejB//metL//mtn//fliL//bdcA//pgaC//murE//ndh//yqgB//torI//yqcC//rlmB//recA//caiF//cysC//ytfE//dsbC//ridA//yhjR//opgG//cmtA//ftsZ//ssuC//fbp//rclA//nrdA//ypdC//yhbQ//queG//caiB//recR//yibT//qorA//araG//rnlB//tpiA//zapC//skp//napD//rlmL//uxaC//ssuB//leuD//btuF//mtn//dcuB//ybdM//gppA//msrB//oppD//xapB//dgcE//hyaD//slyA//deoR//wcaC//lpxL//rpmB//yajR//secD//rplD//crcB//mazF//hypB//ybiO//idnK//ykgF//yfcS//recD//yjhP//sbcC//rlmJ//zur//cysZ//hdhA//sgbE//bluR//ldtB//treR//nanA//cbrC//thiL//fadA//trkH//rnhA//
GO_0010562_7	frlC//pgl//
GO_0010563_7	rplR//sspB//
GO_0010564_6	artP//hfq//hha//fixB//cycA//
GO_0010565_6	gfcE//nuoF//rzpD//sfmH//rfaH//feoB//
GO_0010604_6	gcvP//yehX//ddpX//ynbC//uxuB//galS//sbcD//yfaX//bdcA//sucA//ydjJ//rraA//metQ//fecD//ydeI//glnD//pcm//acrD//hybO//recQ//yidH//ghxP//argS//oppB//adeD//dgoT//yciA//amiA//rpoH//wzzB//secM//ppx//cynT//kgtP//mntH//tolR//dnaX//ivbL//puuC//fabH//rutF//agaI//rsfS//trpR//narV//rdgC//folP//yceK//scpC//rsmG//galE//hslR//abgT//yegD//elfG//citG//fdx//etk//dsbB//zraS//glpT//exuT//nagC//menB//carA//cobU//dcuD//murI//yijE//pflC//gcd//tolB//uidA//treC//glmU//tatB//lipB//rplL//cho//narV//rhoL//fepC//emrK//fdhE//atoC//garR//yahI//yeiG//dmlA//fimD//fepB//thyA//tsaB//
GO_0010605_6	ispH//ygcR//hypT//rpsJ//sodB//ebgR//lplT//cyaA//gltK//waaL//dcp//sseA//ygaZ//hslV//yqcG//ruvC//uspB//wbbK//yqjA//kdsA//rhmD//clcB//potH//cysZ//glmS//setB//cyoA//glk//ygcO//yehT//chaC//araD//argI//panC//yfjR//hrpA//mntR//rfbB//bioD//ymdB//serC//ariR//hyaC//miaA//paaH//dgt//aer//tsaC//wecA//rpsI//lhr//yoeB//paaB//kdgT//rplA//yieH//livG//pitA//fsr//ftsL//yccS//ybiS//xseB//astC//ybaM//nlpE//yibT//mdtG//xapB//yiiM//ulaR//hypE//yobA//glcF//nagB//yciG//ndk//sgcE//thrB//araC//bioB//minE//frsA//cvrA//yibF//glnS//betT//rpoE//ybaL//dusC//kdgT//yihU//frvA//rutR//rlmG//sfmD//tbpA//tyrB//ygiS//nrfC//aspC//sanA//ykgO//yfcR//ybdN//yjjX//ybaO//phoP//groS//mhpT//idnO//azoR//yeiE//glvB//arsB//bipA//tcyL//ubiH//dnaN//waaG//mocA//dedD//eptC//fnr//asnS//opgC//argO//rcsF//ymfK//dpiB//yddA//napB//opgE//rplC//yadG//rpmJ//glxK//yedP//dgcF//maa//yeaE//ddlB//pabC//ddlA//
GO_0010608_7	sapC//sapC//kdsB//dgkA//sutR//tgt//bacA//ruvB//gapA//leuE//yidC//dnaC//ygiV//miaB//yidZ//recA//tsaE//ygbL//pliG//ybaM//dcp//appA//ftnA//hslR//lapA//zapB//npr//fpr//rplR//nemA//ybcC//gltL//yhgF//pgaA//cysK//ltaE//hybB//adiC//phoU//guaB//yidR//pykF//flgG//katE//
GO_0010628_7	gntP//nikR//gspE//ybjI//yddL//purR//lptA//csrA//fhlA//htpG//thiC//argI//ykgM//fdhE//mdtA//msrA//lsrK//puuR//gadX//mnmG//znuC//nupG//fadD//agaA//ompR//ftnB//purR//rpoD//waaL//coaD//glpX//mutH//nanT//sbmA//phoR//rimK//lyxK//mltD//pspF//fimI//rapZ//insH-5//betA//cysG//envR//hcaE//dgcQ//yddG//oppF//yafC//hypT//yqcG//ygaZ//perR//priC//dnaQ//rpoA//pdeF//sufD//feoA//cpxP//murC//gadE//ydcP//alsK//ettA//frdB//yibH//proC//priC//betA//trmJ//dacD//pdeR//mdlB//dgcF//paaC//iscU//scpB//rpsM//ssb//adiC//proS//
GO_0010629_7	zipA//yebG//feoC//setB//rmf//accD//sbmC//dgcF//rffG//yhdH//trpL//kdpF//oppB//menE//relE//yeeY//yqjI//thrS//malX//nikB//priB//nrdE//caiF//rplB//yieL//yiaU//rihA//malQ//hyfR//narU//glnE//lasT//argC//ydjH//insH-6//ppsA//kch//pgsA//malZ//dsbG//lyxK//cytR//yifB//lepB//wzzB//pdxH//sgbE//clpB//lpxT//yjaA//garK//aspS//fadA//msrB//hofP//sucD//yhjB//metB//araC//xapR//mppA//dnaN//gcvT//pbpG//allR//dapD//wzyE//ygbN//fsr//hisD//phnI//norV//wecA//queF//tusB//dut//def//exbB//ridA//hxpA//surE//gudP//rnpA//yegT//ygbN//alpA//napD//ygfX//hxpA//livK//garK//yhjX//cysW//kilR//ycfL//gpt//elbB//cpxA//cheR//tnaA//iraM//lpd//nfsB//hcaD//suhB//bcr//nudF//proQ//ydiK//ydbD//napC//metB//fabR//aslB//sspB//bglH//ydjL//rcsC//mdoD//gloB//purR//umuC//frvB//waaG//insB-4//yagE//ruvB//rhaA//
GO_0010638_7	eptC//rplK//
GO_0010639_7	gmk//trkH//rplO//
GO_0010646_5	artP//
GO_0010648_6	prpR//
GO_0010675_6	xerC//chpB//talB//phnH//xanQ//metH//
GO_0010676_7	folA//ppiA//
GO_0010677_7	yihI//
GO_0010699_4	nikD//rnt//
GO_0010810_5	zapE//rlmH//
GO_0010817_4	ybgP//dkgA//murC//kdpF//ynfH//glxK//aroG//ydiZ//cyoC//dhaL//fur//cysS//soxR//prc//
GO_0010827_7	nanC//
GO_0010829_7	dtpA//
GO_0010876_4	aroB//
GO_0010906_6	qseB//yqgB//
GO_0010907_7	glgX//
GO_0010911_5	yedP//ykgA//caiE//
GO_0010921_6	yeaV//potE//epd//gatB//
GO_0010941_5	hcaF//
GO_0010948_7	pncB//setC//
GO_0010951_8	ybjX//bcsQ//
GO_0010962_7	artM//yagE//
GO_0010966_8	fhuD//
GO_0010967_6	lpxK//
GO_0010974_7	mscM//
GO_0012501_4	yjtD//clcA//rnpA//yagG//murD//pldB//narI//bamE//kbp//topAI//psuG//sdaC//cca//
GO_0014070_5	ymgF//fdnG//
GO_0015031_5	cspC//hdeA//rpoD//ynaE//ulaG//yjjQ//menI//rplT//rimP//alaC//macB//hldE//ubiI//ybhI//mazG//yfeO//murP//hisB//mnmG//mtr//yfiF//menH//rpmH//ybaT//secM//yidQ//yadN//hyaD//gspI//purF//glsB//potB//trmI//tatE//betI//crp//alpA//crfC//yhhY//pykF//yeiE//
GO_0015074_6	ycfH//ompT//ymgF//modB//hxpB//treB//xseA//
GO_0015628_5	cvrA//purN//lgoD//narP//nagE//
GO_0015669_5	tolR//
GO_0015670_6	galU//
GO_0015672_7	pgi//ftsQ//proP//yidL//ibsE//moaA//rpsD//trmO//ycjY//ycbX//ydcS//gsiC//pbpC//blr//lpd//rapZ//xerD//infC//cpsB//mgtL//fmt//ssuD//tar//phnN//wzc//holB//yfcP//argG//mtlD//dppD//entC//rpmH//yihL//aspA//betB//frdC//lacZ//cpxR//sbcD//btuF//intZ//yfiE//hyaB//
GO_0015673_9	lipB//
GO_0015675_9	rarA//msrC//ndh//lsrC//ynhG//mnmA//yfeX//nadA//
GO_0015679_10	htpG//dacD//
GO_0015682_8	purB//bglH//yihP//eco//hcp//fepE//flgC//nrdG//fmt//paaC//dbpA//chbG//
GO_0015684_9	eamA//trkG//deoC//mnaT//ygcO//
GO_0015685_8	wecB//malK//metN//ydeP//ibsC//priA//
GO_0015687_7	aroB//blc//ubiD//zinT//
GO_0015688_6	sodB//pgpB//ghxQ//rpsE//tcyP//trkA//yagF//rutD//agaC//yajO//hslJ//citC//yfaX//ybaK//guaA//wecC//cmtB//soxS//
GO_0015689_8	flhD//carB//nanE//
GO_0015691_9	ompR//ynaI//mhpC//deoA//
GO_0015692_8	scpB//
GO_0015693_9	hypT//ccmE//
GO_0015695_6	xisR//rnr//recF//xapB//ffh//hyaA//oppF//selU//tdcR//ypdI//mazG//sdhA//csiD//aroE//sbp//purA//pgsA//lsrK//yfhH//birA//aceA//speD//pspD//glsB//rffG//ybiX//scpB//rihC//citE//aqpZ//
GO_0015696_6	abpA//ilvE//alsC//ymdB//rlmI//yidE//argE//dut//patA//rhaB//ghoT//dtpA//gltB//mutY//rpsM//alsC//eutN//dppD//pykF//ybiX//phnK//yeeL//hofQ//ytfQ//cpxR//ynhF//djlC//casA//lrp//hisM//cvpA//
GO_0015697_7	minD//uspF//ibaG//casE//glnE//prmA//rraA//cpsG//mdoD//dgcE//recD//ghoT//dgcE//
GO_0015698_7	uhpA//ydiO//recO//csgG//yneL//tesB//metF//ygdG//dps//ldcC//cusB//ybjD//iap//ymgA//fliL//gyrA//dnaJ//mngB//purC//wcaC//cyoE//mntR//wzb//rpsE//ilvC//adeP//paaB//hycB//dadA//aspS//sapB//cueO//ybdN//prlF//yceO//yagI//uxuA//tusA//pinR//yafN//rph//
GO_0015699_8	flgE//
GO_0015700_8	gatZ//rsmA//
GO_0015706_6	hisM//argK//agaR//
GO_0015707_6	yidL//ydjJ//glmS//folC//dosP//ndh//
GO_0015709_6	pitB//
GO_0015710_8	pntA//ydiV//
GO_0015711_6	hxpB//mdoD//yggW//garD//idnT//ybcM//ynjD//yieL//sgcE//mcrA//ynbB//folD//fsr//alsB//qorA//kefG//yajD//ftsB//lpxC//rhmR//yibF//iraD//nuoH//moeA//dosP//exbB//pyrH//phnN//ybbY//fieF//pepT//astC//creC//yihW//dsbD//eutA//puuE//puuR//yajQ//menE//arnF//yaiW//kdsC//menI//cecR//ldrD//tolA//ispA//srlE//pgaC//yfgO//tcyP//ltaE//rpsB//hycB//recT//prs//roxA//mhpA//wcaC//gdhA//yegD//yiaT//abgR//napC//rpiR//purU//rplI//ccmD//argA//lgt//malP//rutF//fur//macA//yahD//ssuD//rssB//hyfC//aspA//kch//zitB//hisD//tadA//acpT//chbR//putA//clpA//rsmA//allS//rlmC//ynbB//parE//rsmA//ibsB//yhgF//ibpA//pdeF//recR//ycgB//rpnB//arnB//secB//bioH//secA//satP//ycfL//tcyN//sgbH//recG//mnmC//dacD//ilvI//dinD//glk//pepD//fryC//dgoA//dmsB//rsmA//patZ//ldtD//pabB//ybhA//bamA//ssuC//gloA//rbbA//ushA//azoR//yqeA//spy//eutD//malG//arnT//pta//kilR//ghrB//nrdB//pspA//yibA//hyaA//secB//yodD//
GO_0015712_7	dnaC//
GO_0015718_8	mglC//secM//truA//mhpT//ydiK//fabI//aslB//paaD//ompN//agaS//ydeI//greA//nrfB//araD//fpr//ydiK//ulaB//arsR//hisI//mscL//yneE//dedD//nlpE//uhpC//
GO_0015721_7	fbp//glsB//
GO_0015724_7	allC//speA//aroD//
GO_0015726_8	hofC//
GO_0015727_7	rplC//ibsD//
GO_0015733_7	argT//
GO_0015734_6	mntH//abgR//csgF//
GO_0015735_8	abpB//
GO_0015736_9	sutR//
GO_0015739_7	glnB//
GO_0015740_9	thiL//frwC//cusR//yeiG//lit//ldrD//ssuB//tauC//yjjQ//
GO_0015741_10	hycA//ybbY//
GO_0015743_10	yhaO//
GO_0015744_6	malP//fhuD//dcuB//
GO_0015747_6	ydhQ//
GO_0015748_6	patA//prfB//yeeO//cusF//yafN//bdm//ybiT//stpA//aldB//serC//prlC//galT//amiA//uxuR//ldrB//
GO_0015749_7	ybiS//fklB//rseC//rfaH//ribC//dgoT//rnt//sgcE//hisC//yiaO//rbsR//aroC//tolC//lamB//iscR//sufS//mtr//kdsD//tgt//ilvC//rlmF//ynfE//rpsG//nrfF//hypD//fliT//hypB//murG//ygbM//rbsK//tbpA//ilvE//cpsB//ymjB//psuT//ompL//cysS//sxy//yihL//ssuC//deoB//kilR//yhbQ//ynhG//cpoB//
GO_0015750_8	kdgR//frmR//speC//ligA//epmC//hscC//yfcF//selD//dnaJ//recD//yjhP//thiG//rluB//
GO_0015751_9	torR//dgoT//pphB//lysU//lysS//dnaK//
GO_0015752_9	sppA//glvC//yqcC//frmB//orn//hrsA//
GO_0015753_9	ompT//tyrB//symE//
GO_0015754_9	ldtE//yfcS//ypdF//
GO_0015755_9	uxaB//ivy//pppA//bamA//thiE//guaB//bamA//yghO//qorA//guaD//caiT//
GO_0015756_9	gltS//yhjR//
GO_0015757_9	ycdX//phnN//ogrK//zapC//ydfD//recA//ygaZ//
GO_0015760_8	hdeA//
GO_0015761_9	lhr//wcaJ//ssb//
GO_0015762_9	prc//
GO_0015764_7	rapZ//nrfB//nrdE//fau//
GO_0015765_8	yadK//mraZ//dnaK//ghoS//
GO_0015766_8	rimK//tdcE//hisI//zraS//rplC//nth//cysG//ycjW//norW//glmU//ibsC//mtr//sanA//artM//
GO_0015767_9	glpF//recR//ytfP//csgG//
GO_0015768_9	ptsH//nanC//btuR//hflK//fdnI//yedX//
GO_0015769_9	glk//
GO_0015771_9	pcnB//dnaG//zapD//murI//
GO_0015772_7	allD//ykfM//patZ//nimR//afuC//vsr//rsfS//ybaE//rarA//mglA//mltC//waaO//tolB//cheZ//nupG//gph//speE//
GO_0015774_7	torZ//rpiR//elaB//gspJ//chbC//yhbX//
GO_0015778_7	ybhF//
GO_0015791_7	casA//yieH//ghrB//cheY//betI//napD//nadD//arsR//
GO_0015793_7	rplJ//nusA//
GO_0015794_7	lpxM//ydeE//metL//yjhG//mepS//
GO_0015795_7	rdgC//
GO_0015796_7	yiaT//bluR//opgB//mutT//
GO_0015797_7	sfsA//trmI//
GO_0015800_7	pepB//tqsA//ykgA//tatA//
GO_0015801_7	ftsH//speC//metH//yehY//agaB//yhbQ//rcnA//deoR//
GO_0015802_7	putP//rutC//ygdG//lepA//greA//tomB//bamA//
GO_0015803_7	rsmG//hdeD//ltaE//ybjX//yiaF//yqjH//cobT//yehT//nadB//citC//yhfS//
GO_0015804_7	panB//yciA//idnD//yajO//galE//exoX//dgcM//ascG//oppC//fliT//aaeR//yphC//argP//wcaB//cheZ//yhjG//yedA//glnE//cmk//sgrT//xylR//uspC//leuS//yebS//obgE//yagG//trpB//betB//bfr//tyrR//tisB//ompN//rlmH//
GO_0015806_6	rclC//
GO_0015807_7	acpT//pyrB//elbB//hofO//tusA//ygjK//cpxP//dppA//treB//umpH//rffG//rplL//yojI//waaJ//mntR//yidZ//sgcX//lapB//cpxR//fliA//pheT//sucA//rplP//rlmL//ybdH//hisP//cobB//panB//nrdI//apaH//ycjD//plsB//fdnI//mepS//pgsA//pspA//acpT//glyA//
GO_0015808_8	sgcX//ansA//
GO_0015809_7	csrA//lsrK//borD//adiY//mdtL//lacY//
GO_0015810_8	ycfJ//trxC//
GO_0015811_7	idi//hdhA//hycH//yhiM//ynaI//
GO_0015813_6	yafC//tap//mltB//
GO_0015814_7	pgm//
GO_0015816_6	priC//
GO_0015817_7	pdxB//
GO_0015818_7	xapR//cheR//menA//ydjH//truA//yraI//cysD//
GO_0015820_7	yigL//yjjW//fetA//ppsA//ybfE//cynT//dfp//ubiF//sgcX//
GO_0015821_7	trkH//dgcN//cheZ//nfi//bglJ//
GO_0015822_7	kdgR//speF//
GO_0015823_7	lptD//bolA//yhbQ//ygeX//gsiB//hslR//uxaC//
GO_0015824_7	yfcA//mdlA//
GO_0015825_8	lnt//
GO_0015826_7	yefM//waaP//rfaQ//
GO_0015827_7	hyaA//pdeK//lldD//
GO_0015828_7	yafQ//relB//
GO_0015829_7	moaB//nuoM//ybjD//ribB//nikE//yihI//yebZ//hrpA//aqpZ//
GO_0015830_7	rnhA//yceK//aer//
GO_0015833_6	rpsR//artP//pepD//osmE//nhaA//rseB//amiD//rseC//aaeR//yqeA//ydeP//mak//ldcA//fabR//vsr//fes//ugpB//appC//moaE//torD//znuA//gadB//abpB//panB//yhdZ//bioD//mtlR//aaeR//recF//cpxR//dtpA//motA//mipA//agp//yhaV//ybdZ//yhjV//hldE//bioA//glpT//cobU//yafO//fadM//ypdA//mrr//ybcL//acpP//yfcS//mlaB//cyoE//tdcF//yjjQ//epmC//npr//ynfF//qorA//speD//carB//rplL//nuoF//kbaZ//fixC//ybhG//insK//pppA//bioD1//cirA//yihX//ebgA//xylA//yfhM//sdaC//yraK//yobA//potI//gpr//allR//tyrA//
GO_0015834_7	trmO//frwB//fdhF//cof//rnhB//
GO_0015835_6	torD//yihO//ycfH//panE//
GO_0015836_7	torI//lsrA//yciE//
GO_0015838_8	guaA//pgrR//helD//nsrR//hypT//yaaA//nagC//rraB//yghU//torC//iscS//ygeA//betT//
GO_0015839_7	thiP//
GO_0015846_6	rsmJ//yhdX//yidC//xdhB//tar//manY//glsB//adiY//insB-4//yafO//sgcA//thiQ//yqeF//rdgB//paaX//araB//yejF//
GO_0015847_7	trmI//yhjR//fimC//ycfH//hns//ycfH//ymgF//mdtN//yegT//feoB//yfiC//fucI//parE//fimA//mhpB//
GO_0015848_7	yiaU//ynaE//leuD//potG//rfbC//aroF//
