#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	feoB//hybA//dtpC//ubiB//
GO_0009893_5	ykgM//yadM//fumB//caiF//minD//nuoI//nimR//dmsB//suhB//trpE//yhaV//alsA//yjiR//yddA//msrB//yqiI//znuC//paaZ//psuT//decR//uxuR//yjfP//dnaX//yjjQ//sodB//metG//cysU//lolC//tatA//yihX//bglF//yraI//rluD//ynjD//lpxK//ybbN//pyrB//hybC//tqsA//hdeA//hflK//emrY//sxy//ydiK//acpP//dusC//acrB//qseB//nadC//ybjL//yfjR//soxR//ndh//xerD//yiaJ//intA//ugpE//pgpC//modB//mdlA//zntR//gsiA//ribF//bglH//ppiA//yaiW//ybhA//rzpD//fau//rutD//holC//rluD//gadW//bsmA//pitB//gstA//ubiE//iscS//accC//ftsN//pstB//artM//gcvT//atoC//dmsA//ycjD//nudF//oppC//nrfE//ftp//malZ//ypdB//fimG//putP//moaE//ubiE//dxs//cysD//tcyJ//
GO_0009894_5	pstB//sfmA//holD//wcaB//dctR//ygeV//intZ//ompL//yibT//pstC//eno//ulaA//nfo//fepC//
GO_0009895_6	tsx//yagI//nagZ//dmlR//
GO_0009896_6	serS//ybdR//dcd//
GO_0009966_5	ugpA//
GO_0009968_6	hcaC//
GO_0009970_6	malZ//rcnB//rimO//
GO_0009972_10	recX//
GO_0009991_4	kdpE//araB//deoR//fliK//ybiI//fepG//wrbA//pphA//yijO//hisA//fepA//flgH//aidB//ydjJ//exuR//sdaB//gcvA//sufB//syd//mazG//mntR//essD//gcvA//garK//ymgF//hcp//pepQ//yddG//recG//arnT//yedP//rhaD//tauD//yehU//clsA//katE//hcaD//sgcR//nuoH//uof//phnC//rdgB//glyS//yqaA//rpmB//rssB//emrK//murQ//mntH//zapA//bglH//aroH//yehP//aceF//rhaB//lit//queD//asd//pabB//yihV//nagK//ssuB//ssuA//
GO_0009992_5	fliD//nudB//ycfS//yibH//
GO_0010033_4	gadE//hisF//chbR//rcsB//ftsH//lnt//ttdR//ttdB//srlB//yeeY//leuB//atoS//hcaT//guaC//rssA//deaD//oppD//yciG//ggt//phnI//dut//lldR//yihI//rep//fimC//mutT//treF//holB//hisB//cbtA//thiL//phoE//yhdJ//sbcB//yjeH//folC//mioC//nrfA//fcl//gloC//greB//gloB//rraB//
GO_0010035_4	yjbH//yiaL//rpnD//ybjG//hrpA//bssS//pal//hxpB//yfbU//hisF//yhjB//fadD//ade//bluR//corA//fadA//purB//mntS//trxA//yihS//rpnC//rihC//yehX//glpG//hofP//adiY//thiG//lacZ//leuO//fis//yfcV//ybiV//cusS//ccmC//yqhC//glnQ//mngB//mscK//rimK//rhmR//malY//mzrA//mglA//entE//phnK//prpB//fabH//thrL//cusB//dmsA//yjbE//dnaQ//nsrR//cmoB//tauD//thiM//lptG//uhpB//katE//phnM//yfbU//puuR//kbaY//dacD//dppB//hemL//rlmB//ycjP//trpA//udp//fdnI//lnt//hofO//dps//asd//nanT//
GO_0010038_5	nrfA//cheW//rna//uxaC//rnd//yagG//agaA//mglC//yehD//ftsH//torI//rpsB//ygjK//tesB//afuC//srmB//tatB//xapA//yggF//yciH//rlmB//dapD//lhr//rcnA//rusA//dhaR//lhr//dgoA//potG//hyaC//yhdH//cmk//ydcZ//yehY//guaB//fruB//ghoS//yacG//asnC//rhoL//afuC//nrfF//astB//glpB//mutS//
GO_0010039_6	yadI//yhhY//rbbA//yidH//kdpE//ibsE//fhuF//
GO_0010041_7	iaaA//ybhJ//ydaC//fimC//sdiA//ydiR//
GO_0010042_6	hprR//rpsQ//
GO_0010043_6	glyA//araF//hcaR//rfbB//yceK//yfcF//
GO_0010045_6	aceA//dtpA//yggW//
GO_0010106_6	purT//
GO_0010124_4	fkpB//bcp//rpsP//fecA//bfr//phnC//rcsC//uvrY//tcyN//mhpT//pdeF//trmJ//yibF//
GO_0010133_7	glnH//
GO_0010139_7	fadE//
GO_0010165_6	mug//pheT//mntP//thiP//lysR//yhcF//gltL//mzrA//torA//phoE//queA//cheA//narX//hokE//queE//mdtQ//
GO_0010167_5	cho//hofQ//
GO_0010212_5	insI1//dnaX//aas//menA//rpoA//ygcO//cnu//adiA//smpB//yfhM//bipA//ydeI//cysM//bsmA//yphD//rssA//mhpC//yahF//ccmE//pphB//mntH//ygbN//yihQ//mscK//clcB//yahK//dcm//bioH//
GO_0010226_6	sapF//
GO_0010243_5	aroK//psd//abpB//ghoS//fimG//mngB//yjhG//sgrR//roxA//phnI//nudF//murP//rpoH//rnpA//hlyE//ibaG//
GO_0010269_5	rsmC//
GO_0010272_6	thiG//dsbB//priA//tufB//nirD//yrbG//
GO_0010273_4	ilvB//apaH//ilvD//cytR//yjjG//garL//
GO_0010288_6	sufD//
GO_0010312_3	mhpA//
GO_0010332_6	srlB//
GO_0010350_6	pabB//yfbV//
GO_0010438_6	trpD//pgpA//astC//flgM//
GO_0010447_5	hemC//glrK//aroP//moaE//folP//frmR//sgcC//yghW//lysP//ymfA//mepH//hflC//rpiA//tauB//murB//clsA//recO//yjbF//lpxP//eutK//nrdI//
GO_0010466_7	ydcZ//nrdA//
GO_0010468_6	gph//yhhZ//yehP//ybdR//mscK//lrp//mhpB//nfuA//lpcA//gloC//waaB//hxpA//ydcM//ybhS//patA//torI//sixA//purR//ilvA//sgcR//alpA//ygfI//patD//aes//ymgF//mrdA//sxy//yqjA//yhaO//ssuE//yahN//bioD1//mzrA//hofQ//hybG//btuR//glcA//nfo//soxS//rpsN//yhdZ//cmoB//yraI//hyaB//yeeO//wcaC//narG//yhdZ//srlA//bamE//sodB//cusR//hyaA//citC//eno//fadL//pflC//holB//xylG//cyoE//wrbA//glpR//ldhA//purL//rssA//yadI//entF//ftsK//astC//nupX//ycbX//ileS//mdtF//allB//trpE//murI//ackA//rhaD//yiaN//cho//atpE//hsdM//pdxK//insI4//nrdF//trpS//rpsH//waaH//ydfH//pitB//ypdF//ghxQ//tbpA//purA//ftsE//yeiG//serB//ygiB//aroK//wzc//yfgI//rsmI//insK//rcsA//frmR//dinG//mdtF//adiC//ligB//ybiO//glpF//holB//uacT//kefF//ygbM//sseA//carA//ykfM//tdcD//mdaB//rpsG//polA//orn//uvrY//dhaR//yhhT//yebQ//ygjH//hybO//yhfK//ybaL//tyrR//rsmB//araC//ydiR//adhE//crp//obgE//rng//mhpA//yegS//rhtA//sgcB//yqeG//deoA//ddlB//rbsD//bioB//cysP//rna//lpd//otsA//norV//pdeK//tolQ//dmsA//gatD//yfcV//pabC//ydhK//cyoD//mngB//grpE//aroP//feoC//gadX//hybO//gadX//fdnI//ebgA//ghxQ//fimH//rpsB//ydcZ//recF//dxr//srlB//mltB//yebC//yehP//astB//setB//degP//yhbQ//rnr//cueO//yahN//ycjQ//kbaY//ttdR//tusD//potC//citG//proB//rhmD//ampE//ydeE//ompR//rpiB//gph//rclR//murJ//fetB//yqeA//yjhB//hemE//paaD//hiuH//hofM//yejF//pck//pncB//yfdG//mazF//narL//fdrA//tatE//rfaB//pspC//relB//cpoB//yejA//sdhB//hybD//cecR//yqaB//kduD//hsrA//suhB//yafQ//acrD//ybhI//rpsL//pgpB//truB//opgE//ptsN//gltX//corA//hipA//pntB//ettA//ygbL//yqhC//rnc//insB-2//ykgM//prs//rcnR//yoeB//dcuR//glpA//narU//mhpR//lyxK//glnS//hlyE//frlB//adk//ybaL//amyA//yedA//tadA//lipA//hrpA//nlpD//argA//cnu//hycB//yoeE//metF//fadM//yeaD//nagE//ppiD//yfcS//dacC//ilvH//rpsN//aldA//recA//melA//flgB//rusA//panE//rbsA//waaS//atoC//talB//rph//arnE//truD//sugE//trmI//ypdI//sgbU//yhdX//thiM//rsfS//comR//ugpB//scpB//yihT//mipA//sgbE//rhtC//yidP//uhpT//aroC//rclA//pdeH//ybaE//uof//ptsN//rutD//queG//cysN//dicA//
GO_0010498_6	uxaB//
GO_0010501_7	ansA//kdsB//ada//appA//yefM//tusE//pdxJ//malX//lpxD//
GO_0010528_5	rfaD//
GO_0010556_6	abgR//sodC//uraA//napD//hyaA//hxpB//panF//fhuB//zupT//nadC//rlmD//rsgA//ftsW//speC//cutA//cysW//zur//ribF//bfr//yejE//cmoA//ycjU//yqcG//acrD//pepA//agaA//kdpC//yhbS//lptD//gapA//tnaA//hyaD//fixA//rarA//ycfJ//sspB//entE//mcrB//holA//hflX//metF//kdsA//thiI//hypT//panZ//yhaM//amiC//kdpA//phnH//ghxQ//rnlA//dut//phr//pgaA//yccS//aroD//yihP//hemC//fdoI//metK//ygaH//dnaA//ibsC//norV//citC//ibsE//cbrC//oppA//bfr//purU//creC//selU//yadV//envZ//yidA//yegV//ybhD//ymgC//thiI//umuD//yciK//dnaE//fucA//xapA//speG//mhpT//panE//rfaE//yghO//apaH//nudF//tpx//recD//rpsK//nanA//surA//dadA//oxyR//malF//secF//yjiA//yfeO//torD//ddlA//uidR//codB//argB//gspJ//qseB//ssuC//msrC//rpmJ//yphC//psuT//yhdX//potC//yiiE//hybC//gatC//nepI//fdnH//trpL//yaiP//alkA//ybcC//sdiA//citX//argT//lptA//ybhR//lpxH//yedA//tsaE//yadI//rplC//cvrA//rplP//elfD//nrfD//rnlB//rcdA//xisE//ubiD//pfkB//valS//btuD//fadL//tdcB//mhpD//yaiP//corA//gluQ//ugd//yafS//hemN//cvpA//cecR//gutQ//cedA//yeeO//rseB//treB//aidB//yfdO//csrD//yfbV//eamB//glnB//casB//dapD//malG//ydbK//yajD//pdeD//purC//napD//ldhA//glk//chiP//yiiM//ackA//ybbY//fryC//sspA//apaH//ulaE//thiM//rhaS//nrfD//yeaD//mpaA//adiY//recC//nrfD//gloA//mngA//yggX//obgE//recD//dnaQ//fic//eptA//chbA//sstT//gadX//napA//epmB//ffh//etp//ydeO//setB//iclR//pspF//rpsN//kilR//mmuM//lpcA//pepQ//hcaB//rlpA//valS//cspG//nagA//frmA//exbD//hyi//mdaB//norV//ssuA//yghU//acpS//ortT//sdaA//lamB//lpd//flhA//mglA//ydcT//potF//mioC//yabI//betT//galT//nrfD//ybgI//ulaR//hisM//cas3//cheW//ptsH//kgtP//casC//cbrC//sdhA//yhjD//pdeD//cobS//ynhG//cysP//yieE//feoA//ompN//mppA//infB//metI//yhaJ//envY//ydaC//hyi//rpmC//tdcG//ydhJ//yhdJ//zapB//citC//cbrA//mpaA//narW//ltaE//plaP//flgI//dacA//yqjA//yjiA//ddlA//fcl//ybiI//yiaM//fecD//kup//aer//bglA//arfB//malG//torD//crp//yiiE//dacD//metK//fimA//trmH//tufA//gcvR//ygiS//uspC//borD//dcd//ynaI//azoR//mipA//ampG//rcnA//
GO_0010557_7	uhpT//csgG//emrK//malZ//rplO//yagE//hypT//rep//yjjU//nrdE//yafQ//gmd//polA//rplY//yhbS//hemH//ycbX//hslJ//ppk//solA//yfhH//yehC//glgX//cas1//creC//murB//feoC//ulaR//ftsE//rpsP//ubiC//ydiQ//rpnC//fadB//rpsQ//thrS//rseB//cueO//pstB//sgcX//glnS//dnaN//hybO//yagU//coaE//ydfD//iscA//sspB//smrA//rhlE//yqgB//tpiA//dnaK//ybdH//ivy//mscK//hyfC//dcm//ftsN//ompA//ybhD//rcsD//mliC//ssuE//queD//nupC//napC//oppF//glpD//yijE//ydbK//minC//fdoH//galE//ugd//rhtA//trmA//phoB//bglH//glyA//ybcJ//tatC//
GO_0010558_7	narG//cstA//torZ//aer//yojI//yphC//deoC//gshB//hemC//bglF//yciE//pepA//yfdK//pgpA//rhaT//agaC//glcE//nrdI//glnE//arnF//yjiR//qseB//rpiR//treB//dadA//rplC//ygiV//astC//pbpC//lyxK//rpoA//modB//glvB//rpnA//yhaJ//hofQ//nrfE//tufA//gdhA//bepA//fklB//aroA//ppiA//aroE//gabT//frsA//ybjI//dcyD//nuoL//exbD//hypE//rffH//ybiA//pppA//lpxH//rpnC//fimB//wcaB//coaD//manA//uxuB//araG//cusB//citE//proA//thiC//cspI//sspB//aroH//ybjG//lysC//mlaB//osmF//rffT//mcrA//pdxK//ompF//mscS//prpR//fhuD//rph//dpiA//dinQ//galR//fadK//eno//elaA//rsuA//phnI//bamB//nadC//thiI//mqsR//ynaI//zntR//hemC//udk//eutN//rlmM//kbaZ//atpF//astB//phr//cueR//parC//iraD//secE//der//rimK//purA//cynT//ybhS//yfbR//nagB//tdcE//nikB//yfaE//pgaB//osmY//rsmF//
GO_0010562_7	phnL//insA-2//
GO_0010563_7	ftsY//tas//
GO_0010564_6	trmO//sfsA//alaS//lpcA//mnmA//
GO_0010565_6	hemA//dgt//fdx//deoR//tolR//yagG//
GO_0010604_6	csgA//glnE//ygeR//torS//pldB//pepA//yqiH//ydbK//alsE//ygiN//ilvM//ycjY//fdrA//etk//rph//cbl//aqpZ//yjjG//dnaT//speE//fimC//ruvC//opgC//lamB//mtnN//ydiK//hisI//rtcB//fepE//yajR//yjgX//dut//dnaQ//cobC//ubiG//ada//rhaB//ettA//fepG//uxaA//dgoK//bfr//pdeH//dinG//insF-1//fdnI//acpH//mtnN//mglB//ppk//fliG//araD//iscA//casA//rclA//mhpR//csrD//cysK//purA//btuB//nth//nudC//cusA//tsaB//intQ//uidA//rusA//yhjV//nepI//groS//tonB//mglA//ompL//aceA//ybiH//rpiR//glgP//rutA//solA//flgB//livK//aroC//fimB//csgF//ycgV//rffG//glpR//yfaL//rpnC//hflC//yjhB//folC//erfK//
GO_0010605_6	aceB//leuS//gstA//queG//proX//ilvC//relA//waaB//glmS//yhjD//rrrQ//fecB//katE//purR//yafC//yafE//hslR//yfcQ//phnL//solA//pabB//oxc//aceB//essD//bioD2//ldrA//dnaB//mdtL//iscX//waaB//ykgF//cas3//agaI//lsrB//erfK//pabC//yehU//ibsA//ygfZ//yddA//malX//rffH//menC//pgaA//ymfA//tyrB//fkpB//yadV//tdcD//gadE//nfsB//yraH//torS//yehX//hokB//glnQ//proV//nrdE//ogrK//rpe//gstB//astC//rsmI//lexA//recE//ycjQ//fieF//yajQ//dacA//umuC//tufB//betB//gntR//focA//ybjD//ydeP//yedF//ilvI//yidZ//zinT//hisM//ydeO//aroL//arnE//modB//narP//uidA//thiC//metI//malP//hypE//btuC//hflD//aidB//fre//htpG//rmf//selD//glgC//ilvB//yfiE//phnM//iraD//iraM//torY//ycjP//yadI//ivbL//ghrB//sulA//gltI//hslJ//gatB//oppD//metI//rnlA//yoaB//yjcS//prpR//yphF//mdtD//dcuD//gadA//clsC//ccmD//ycjD//dacB//menC//ccmG//cspD//mobA//barA//phnO//recB//ravA//rhsD//yhdJ//narX//narY//pagP//phnM//yihR//mscM//hofP//
GO_0010608_7	gadW//thiM//kilR//serB//tus//yfdS//gltK//mioC//cobT//cspC//hyaC//ileS//phoR//ompA//asnA//araC//tyrB//cspE//pal//yhaV//tehB//ribF//astB//lysO//metN//ftsH//ralR//obgE//yiiE//lysC//secD//pflB//ychH//phnM//ybjI//tauC//yidR//opgH//ydbK//frsA//clpB//fimA//msbA//dsbC//
GO_0010628_7	hscB//aceF//pphB//ahr//emrB//dcuR//potH//yggF//dgcT//msrC//lacZ//cycA//yddM//ygaZ//dnaA//glrK//dmlA//rsmA//ydjH//paaX//ascB//nrfE//mak//glmU//agaI//yajD//agaI//btuC//basR//yjbF//queD//opgE//csgF//betI//fdrA//rpmA//nei//apaH//yjbH//cyaY//opgC//prpR//nagC//yfeO//hscA//sufC//nusA//ybbN//rpsP//insF-1//aldA//yfaV//yghG//yaiP//proA//dmsB//ushA//appY//livF//yijO//nusA//bioH//yjjW//aslB//smrA//yjjB//trmA//hisM//yhcF//uup//ybaM//yhjD//holC//gadB//yaaU//rpmC//shiA//hemB//gatB//insI3//hyfA//cpdB//csgD//
GO_0010629_7	ebgA//nrdD//ypdB//argC//bglJ//cpsB//yfcA//zapC//btuD//ybcF//hicA//ghxQ//xerC//nemR//cheR//yobA//yggD//yhhT//cdaR//tilS//insI4//mtlR//uspE//paaG//amyA//nuoN//preT//rplS//pbpG//rseB//mlaF//ymfA//rplP//aaeR//zipA//arfB//tolQ//ytfE//ulaG//waaL//pgl//gcvH//yhaO//yfcS//essD//yciT//rffC//yciF//nanE//tnaA//sfmH//csgD//yihP//cspG//rpsP//ybfE//kdgK//pspG//menH//hslJ//trpL//narX//lpxT//cho//secF//mgrB//nusA//smrA//nrdR//rraA//lplT//tpx//tcdA//nlpI//ygdG//yhfS//hcaB//fdnH//aroD//insA-2//tyrR//gatB//trmH//rnhB//grpE//bhsA//zapE//uspC//ycaO//rcsC//galM//ybgQ//bioP//yjfP//ybjI//add//arcB//trpL//holB//cpxA//aldB//chaA//argT//msrB//lexA//xylF//sufC//recE//matP//fdhD//pflC//recB//stpA//rlmA//yhjG//yaiP//dmlA//pnp//lsrC//gsiA//rpiB//thrC//proV//hyaC//yphB//macB//speD//yjeH//
GO_0010638_7	paaA//lrhA//
GO_0010639_7	lptD//purB//uhpB//
GO_0010646_5	endA//
GO_0010648_6	mutS//
GO_0010675_6	ycjW//pgsA//ydiK//yhcF//nadE//ymfA//
GO_0010676_7	rhaR//yafN//
GO_0010677_7	yfcR//
GO_0010699_4	flgM//yiaJ//
GO_0010810_5	xseA//baeR//
GO_0010817_4	cutC//ibaG//rpsE//gloC//fic//rpnC//ykfM//ydbK//pinE//uspF//dsbB//hscC//dld//yfhH//
GO_0010827_7	oxyR//
GO_0010829_7	yahF//
GO_0010876_4	tdcR//
GO_0010906_6	fecD//ypdB//
GO_0010907_7	sucB//
GO_0010911_5	sgrR//mdtK//glnQ//
GO_0010921_6	opgE//nfsB//dgcM//opgE//
GO_0010941_5	hokE//
GO_0010948_7	fetB//ybeY//
GO_0010951_8	iscS//ybcF//
GO_0010962_7	ampH//insI3//
GO_0010966_8	tauB//
GO_0010967_6	dctR//
GO_0010974_7	hisG//
GO_0012501_4	nlpD//aidB//prpB//mltA//yjjV//alsA//mcbA//dnaB//ypjD//apaH//puuR//narY//icd//
GO_0014070_5	glpK//thiL//
GO_0015031_5	gpmM//mreD//bdm//alaA//rraA//slmA//ybdM//tdh//rffH//dgcT//sapB//mutY//yeaK//paaG//glcF//dtpB//insA-2//yhhT//fruB//rhtA//lyxK//rcnR//appY//ydgA//iscR//yjjI//ogt//lysC//dinB//efeO//sdiA//efp//trxA//nadA//metE//pnuC//entB//ompA//prmA//pepT//hemE//
GO_0015074_6	hrpA//yghU//kefG//ydcI//eutD//fucO//yqjA//
GO_0015628_5	tufA//ralR//leuB//secY//lolB//
GO_0015669_5	nlpE//
GO_0015670_6	panD//
GO_0015672_7	tktB//frsA//cho//fetA//glcD//csdE//sufC//chiP//hisD//rnr//phr//ymfK//mdtB//yphC//znuB//yqcC//infC//tamB//wecE//yneE//prpD//waaU//trpGD//folX//srkA//metB//fadM//fliG//cspE//idi//fecB//hypE//kdpB//yhjC//yfbV//ligA//dsdA//tufA//symE//cmoB//mdtQ//bioD1//aroA//
GO_0015673_9	dhaK//
GO_0015675_9	pinE//psd//waaQ//fkpB//nrdA//tatC//tsr//rbn//
GO_0015679_10	betA//mdtQ//
GO_0015682_8	recD//caiF//tpx//bamB//rihA//cas3//ypdI//fhuD//yadG//gstB//patZ//mdtQ//
GO_0015684_9	fdrA//moaB//rlmM//bdm//pyrH//
GO_0015685_8	hisC//yddA//yaaJ//gatB//dgt//yigL//
GO_0015687_7	cnu//mliC//paaK//mdtI//
GO_0015688_6	folA//mdtD//ldtE//alsA//rhaA//rffT//ubiJ//rbbA//menB//hslJ//rbsD//ybdH//prpC//pgpA//pstS//ygaH//sucB//pdeK//
GO_0015689_8	rutF//yfhH//entS//
GO_0015691_9	rof//menB//allB//pheP//
GO_0015692_8	folA//
GO_0015693_9	rplL//ftsW//
GO_0015695_6	menD//arsR//paaA//hslJ//yiaO//kdgK//udk//rplO//ydiZ//ybaE//intE//garL//ygcR//minE//guaA//hokB//narW//tnaC//yeiG//rplW//argE//ycjY//lpoB//ybfA//cheY//hofC//soxS//lasT//gpmA//livK//
GO_0015696_6	gmd//rcnR//frdB//tyrS//ais//rimK//trkG//rhmR//dgoA//tcyP//cheY//galP//malK//dfp//yjbF//intE//cyoC//rhsD//parE//yebG//yicJ//hcaC//abgR//hcaR//lpxB//sdhD//era//brnQ//glnD//bdcR//ortT//
GO_0015697_7	insA-2//mtlD//sad//phnJ//sfsB//gspF//ugpE//cmoA//ldrA//ldtB//gor//paaG//trpB//
GO_0015698_7	thrS//ogrK//yfeD//dcuB//yehY//mutY//blc//sgcR//rlmD//rpmE//rpnA//caiD//rcsD//fucP//srmB//frr//frlA//yiaN//truD//casD//proV//exbD//kdpF//chiP//moaD//aqpZ//intZ//cysC//yjiQ//sufS//yddM//argR//intQ//pagP//mnmA//ridA//uxuB//yodD//abgR//rplR//yfaL//
GO_0015699_8	waaY//
GO_0015700_8	yghB//uspG//
GO_0015706_6	sucB//mmuM//potD//
GO_0015707_6	yjiR//tpiA//hyfC//hsrA//arnB//yeiE//
GO_0015709_6	rtcB//
GO_0015710_8	dgkA//trmJ//
GO_0015711_6	ytfT//yohD//srlD//qorA//leuA//hemA//lyxK//coaE//frdA//kdsC//metK//uidR//yjiA//wzb//slyA//luxS//yejA//polB//phoA//yihI//secF//puuR//serB//ygbM//lpoA//mdtI//modB//frlR//bluR//yieL//polA//fadB//yqgB//rbsB//torZ//relA//yraK//ydjH//rbfA//glvB//yhjA//manX//nhaA//ygiV//trmA//afuB//yghW//hflC//acrD//yraK//pepA//aas//higB//purF//cyoC//gcvT//hinT//secE//rtcR//ibsD//hycB//kbaZ//eutK//nrdD//rpiB//clsB//idnT//hdeB//ispG//hisI//yiiE//ffh//rutR//nepI//dhaR//wzzB//bioD//nepI//citE//hslR//waaQ//gloC//trmL//hypA//exoX//ccmF//rmf//murQ//sspB//bglX//gadA//ssuA//fruB//dpiB//srlB//cheZ//holB//malX//copA//pyrG//yjjW//wzzE//yphB//yedF//ybaK//torC//pepQ//yafQ//dxs//dinQ//atpD//uxaB//mlaC//gspJ//nagB//rutR//rhtB//dtpA//yadI//elfG//nanE//yneJ//crcB//moaB//betI//gltS//acrA//yagG//prpD//dps//idnD//yfdK//sgrT//prc//waaG//yihU//mglC//idnO//fdoI//ftnA//chaC//ydcS//glpT//yefM//
GO_0015712_7	zinT//
GO_0015718_8	garP//topAI//gcvH//sgrR//yihV//surA//gpp//pgi//rna//chbA//pgpB//uhpA//nrfE//umuC//csgG//argC//mreC//fliA//fumC//nrdF//uvrA//tyrB//puuB//msrB//
GO_0015721_7	yfdS//osmY//
GO_0015724_7	mdtA//truD//dacD//
GO_0015726_8	artM//
GO_0015727_7	malS//glnH//
GO_0015733_7	iraP//
GO_0015734_6	sfmF//eutN//appC//
GO_0015735_8	ubiX//
GO_0015736_9	fmt//
GO_0015739_7	fau//
GO_0015740_9	era//hcaB//purR//sppA//yafN//malS//waaB//fryB//rbsD//
GO_0015741_10	msrC//grxD//
GO_0015743_10	ykfI//
GO_0015744_6	fliD//fepC//cyaY//
GO_0015747_6	bcsA//
GO_0015748_6	hda//ydcR//yihU//araC//ycbV//rimO//cas1//pstA//adhE//mutH//bglA//ydfK//ydfK//srlE//rhtB//
GO_0015749_7	rlmG//rffG//rpsA//aroL//focB//argE//mioC//crfC//gltP//udp//frsA//tsaD//pck//alsA//mltG//lpp//fdnG//ribE//yneJ//mntP//rodZ//gltX//kdgT//smpB//yhgF//yidL//fecB//dtpD//xylF//tauD//nanE//mdtL//malZ//map//bioA//yfiF//hcaR//adiY//lysU//hokE//lon//pdeK//flhD//rpsQ//alsC//
GO_0015750_8	rpnC//cyoC//tpiA//cyoA//flgE//cutA//sutR//asnS//frvA//yiiM//dtd//sfmH//agp//
GO_0015751_9	clpB//dapA//yadG//rsmB//srmB//pgk//
GO_0015752_9	mog//rhlB//prlC//citE//zapB//allS//
GO_0015753_9	matP//hcp//malS//
GO_0015754_9	pdeF//yjaA//glcD//
GO_0015755_9	trpR//hisI//lnt//yhgF//pldB//pmbA//yjeI//yqiH//cynS//malS//alkB//
GO_0015756_9	gadE//ttdT//
GO_0015757_9	cspI//ldtC//yidL//prlC//rclB//prfC//pck//
GO_0015760_8	tcdA//
GO_0015761_9	ldcA//yfiF//cas3//
GO_0015762_9	yqeF//
GO_0015764_7	appC//folP//hisI//menI//
GO_0015765_8	yafC//glsA2//kdgT//cpsG//
GO_0015766_8	mdtG//acnB//shiA//rpmE//gpr//ytfR//ypdB//fpr//nikE//ynfH//cydA//hupA//yfiR//clpP//
GO_0015767_9	galT//dacB//wcaJ//alaS//
GO_0015768_9	oxyR//der//fadH//recG//dcuA//hyfC//
GO_0015769_9	yciK//
GO_0015771_9	uup//flgG//rhmD//cynX//
GO_0015772_7	nadK//speE//deoB//mrdB//glrK//allC//sanA//ppc//pheT//yehC//livK//cysC//dsbB//hns//hda//cysI//proW//
GO_0015774_7	yccS//hemF//hslO//sgbH//tsf//sufC//
GO_0015778_7	ydfK//
GO_0015791_7	lexA//otsA//corA//sodB//pstC//gltK//pflA//htrE//
GO_0015793_7	intQ//htpX//
GO_0015794_7	focA//flgA//dppA//thiD//uxuA//
GO_0015795_7	mltB//
GO_0015796_7	rdgC//hxpA//abgR//npr//
GO_0015797_7	cysE//norW//
GO_0015800_7	folM//ileS//argG//adhE//
GO_0015801_7	rstB//asnS//fryC//lepA//agaS//malP//cysD//mak//
GO_0015802_7	eutD//mntR//greB//nrfG//ygjK//rtcB//prmC//
GO_0015803_7	oppC//ribB//sixA//wzzB//srlE//mog//flgM//rbsB//trxC//rpsT//frlC//
GO_0015804_7	bioC//agaR//osmE//ybbW//malK//ghoS//fixB//rplW//rplY//purA//dapD//yijE//rlmE//yfbS//trpB//uspF//dgcJ//mhpD//ydeI//ibpB//yhiM//yoeB//mltC//aceB//xerD//phr//fimA//ycfS//cysQ//yjbB//ompR//yjcS//lpoA//
GO_0015806_6	rlmB//
GO_0015807_7	hemG//vsr//potD//ygjH//dnaN//hcp//ptsP//yfcA//topA//frmB//comR//rhsD//malZ//eptB//ybjX//waaP//modC//mdlB//flhA//abpA//wcaC//ykgF//ibsC//prfC//yeaV//bssR//nadD//rpsH//bamA//hscB//ydeE//mmuM//ybcQ//cheR//yhhT//dppC//rbn//yegT//
GO_0015808_8	ldtE//yhfK//
GO_0015809_7	ispF//ariR//lolB//ycbX//skp//glrR//
GO_0015810_8	hslU//exbB//
GO_0015811_7	aphA//arnF//hemD//ybbW//dcp//
GO_0015813_6	hypE//rnt//secY//
GO_0015814_7	icd//
GO_0015816_6	rpsQ//
GO_0015817_7	ygcR//
GO_0015818_7	rhmD//aroH//groL//yfgO//gloC//ybjX//galR//
GO_0015820_7	agaD//metR//aaeB//flhD//nikR//nemA//rutF//cysA//yqeF//
GO_0015821_7	amtB//hyaA//yfbU//cysA//dmsA//
GO_0015822_7	tdcB//rhtA//
GO_0015823_7	hcaT//opgE//acrE//frdA//atpG//potC//yjaZ//
GO_0015824_7	sixA//cueO//
GO_0015825_8	yqjI//
GO_0015826_7	zinT//yiaF//mutT//
GO_0015827_7	thiI//nrdD//xthA//
GO_0015828_7	ycfJ//hflK//
GO_0015829_7	nrfA//glgS//tusB//pgaD//ibpB//dhaR//ibsD//afuB//cheW//
GO_0015830_7	sixA//flgF//rcsA//
