#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	hxpA//rzpR//cysS//recR//
GO_0009059_5	yobA//ghrB//borD//ptsG//groS//epmC//yehX//trpA//rhaB//glcA//livK//eptC//yhfK//mntP//caiB//fabZ//artI//nadD//rnd//bisC//purR//ubiB//ilvL//agp//ynfF//fucK//yhaJ//speC//dsdC//ddlB//ddpX//citT//tsaB//metN//rpsA//bglH//nth//yhdZ//rfaH//sdaC//flgF//mliC//kdsA//hflK//btuB//pflC//folE//ftsZ//yhjA//yhjV//skp//mhpC//epmB//ydjJ//ygiS//gmhB//mcbR//ade//hcaB//galP//yqcC//agaA//fliL//cheW//mutS//betA//secB//ygfZ//appA//hdfR//sucB//yidP//mqsA//dnaJ//sbcC//menH//yfeW//ynaI//ynjD//malP//tig//hisF//yjhH//hicB//pstA//asnA//ynhF//yhbX//fdnG//glpD//kdsA//rtcR//rpmG//yccS//holB//mdtO//ybjD//aer//cysM//tnaB//gltX//gltB//pinQ//rmf//rplS//phnI//nadD//pgpA//thrC//arcC//yohC//fadK//ybaQ//sgcX//nfsB//purF//paaA//ompR//ghoS//hofN//glvB//glrK//dhaK//fhuC//speA//tolC//ybeQ//tag//rspB//yihR//aqpZ//fadK//flgA//hdeA//leuO//galT//yjbF//xseA//rimO//ycgV//glgC//guaC//eco//slmA//oppD//hexR//luxS//bioB//casB//lexA//trmA//nrdA//aroE//rnpA//yfbR//mnmC//ushA//rfaF//rhlB//paaX//ybbW//dcyD//puuA//pckA//dam//yfdG//rlmJ//pgaA//yjbB//mreC//mdtQ//ygeV//rcnA//betI//btuC//fadD//deoA//fumC//rhlE//cueO//cycA//gntT//ycfS//lpcA//secY//argC//ycgB//ybjD//yddM//cysI//arsR//ascG//potA//ycdY//casE//arfA//fepD//ascG//dsbG//rsmJ//nadE//kbaY//yidZ//yraK//livF//ycgR//exbB//map//nagK//nfsB//sodA//dam//purB//wcaB//yidK//yieL//yeiG//yjbG//tdcD//xylF//glgS//ygiN//gluQ//fpr//hdeB//rapZ//yibT//rutC//fre//crr//treB//ftsH//yeaV//priC//soxR//galF//agaR//nanC//menD//rimM//mfd//chaC//yebG//ydiP//yfcU//yjiY//coaE//gloA//ygbM//gadX//sugE//gltP//citX//rsmG//sdhE//pitA//bioF//dinQ//sohB//folA//gloA//ybbW//dadA//cpoB//bglJ//murR//frdC//zipA//yhdW//artP//sufD//lpxH//yahI//elfG//yoaA//ubiI//lldD//mglC//clsA//cysE//mzrA//dadA//yadI//csgE//ompG//tdcA//elfA//proC//hycA//yfjR//tatD//yjeH//lpxH//yggX//dgcN//yqcC//ilvD//rplS//metG//aaeB//ndk//rfaG//insK//rlmB//ompG//phnM//dpiA//fabB//cysW//rfbD//ybbN//waaG//rpsO//kdpC//flgC//ycgB//gyrB//
GO_0009060_6	yoeE//hypC//hdhA//fdhD//tcyP//yfeX//pmbA//phnI//pyrF//ydcT//leuE//proP//pcm//yghO//trg//clsA//yfiR//menA//ung//elaB//pspD//trpC//yjjW//tktB//yjjV//fhuF//
GO_0009061_6	cysG//roxA//mlaB//argE//argG//htpX//amtB//frmR//secA//mraZ//fsr//pta//fumC//rsmE//era//rfaB//lpd//yhaO//ompN//lapA//prlC//dpiB//mcbA//hxpB//ygiS//yciA//fucP//trmA//glvB//aspA//chbC//rdgB//exuT//mscL//tgt//tar//caiE//gcvT//lpd//ynjD//lysO//dtpC//xanQ//rutR//hldE//glnH//lpxH//gadA//bdcA//ycdX//rsmJ//rcsB//nuoG//dinQ//agaV//
GO_0009062_6	tyrS//fdoG//yagJ//flgK//clpX//artP//yhdH//mlaE//hypB//hinT//uxuB//nusG//leuS//yqeF//rfbX//ynfK//apaH//ompR//queG//tdcE//aceF//
GO_0009063_5	ulaE//yaiP//yjaZ//dsbB//ydiR//yhiM//nadB//gdhA//recB//tig//rpmA//hyaC//ibsA//feaB//glnE//casC//fruK//ubiH//rihB//xapR//yadN//prpC//yjgX//sucA//purU//tolA//pgl//yagG//gpsA//dsbB//ydhQ//bioH//glpF//yhjC//minD//hemA//hslJ//dedD//insB-4//ydcT//insI1//gcvH//hypE//iap//ilvL//purD//serC//dcuA//pspG//dinJ//ftsP//rpsK//dld//thiL//yddG//
GO_0009064_6	atpA//lpd//glcD//pspG//feoB//pgi//cynX//gntK//prpR//srlA//rhaD//nikE//znuC//gltS//eptA//minE//rutF//tbpA//ais//ilvI//rhlE//upp//ybgI//clpA//fucP//dbpA//lptG//yijO//gspF//yedA//gloC//fkpA//yqaA//murC//yacG//insA-1//ydaV//narH//ppc//bsmA//ftsX//rplQ//pabA//lapA//frdA//glxR//
GO_0009065_7	yeeJ//ygbN//acs//ligA//acpS//prmC//lldR//pepQ//mtlR//ycjU//mepS//yraN//hyfC//groL//guaC//yiaT//erfK//hybD//
GO_0009066_6	rplP//alaC//rplI//apt//sufE//hisP//gstA//sad//pinR//yafC//nuoB//hybF//gpmA//patA//prmC//gapA//xapR//upp//psuG//pgk//aroB//yfjV//rplF//rluB//trmB//secY//osmE//aspA//yraN//lptB//pepD//pabC//betI//yddM//fucA//araC//yjaA//rpsK//cmoM//ndh//pykF//dicC//acrR//lptA//recN//poxB//phoR//ymfA//
GO_0009067_7	speA//relA//dnaT//citE//cpoB//dppA//ppiC//yhjG//murB//phnJ//mgtL//nudF//clpP//pta//dgcE//adhP//yjcE//cbtA//ulaA//dcuA//glnK//kilR//glnS//insI-1//mrp//ortT//
GO_0009068_7	lsrG//yjjG//tynA//aldA//atpC//caiF//yfjR//lpxM//ogt//greA//mscK//wzzE//hflC//
GO_0009069_6	rsmD//yahO//pepD//menF//agaI//pphA//rpsI//artI//dtpC//cmk//murF//thiQ//purA//hchA//murD//sgcB//csgF//insI3//modB//bamB//cbrC//fucP//yqjA//yihR//rdgB//ychH//malQ//tatD//clpS//hslJ//hisS//betI//yhgH//moaB//ygeR//fadD//
GO_0009070_7	eptA//sbcD//nuoH//ymgC//ubiG//entA//galF//cobU//smpB//yeeA//codB//rpmE//exoX//epmC//recC//pdeD//groS//speA//cdsA//sufC//
GO_0009071_7	pdeL//helD//ubiH//tnaC//sfsA//pheM//rsmJ//trpC//ruvC//nlpD//yidL//yagE//rhaS//nrfE//
GO_0009072_5	rpmH//cra//yaiP//yagG//cydC//ybdM//fepB//pykF//pgpC//glyS//maeA//pdxK//mngB//gadA//nadA//queC//borD//nikR//envR//apaH//ycgR//ugpE//thrB//nth//
GO_0009073_6	hiuH//hemG//hisD//mog//cra//ydaV//hemL//ftnA//queE//glvB//livM//tusB//rplR//cbrC//ydiV//smpB//fadH//pitB//fecB//yihV//yiaU//
GO_0009074_6	rimP//recE//rlmH//
GO_0009078_6	yqgF//ygiW//crcB//dfp//ydcI//xylA//hisG//
GO_0009079_7	djlC//trxA//zupT//lrhA//
GO_0009080_7	yqeA//tdcR//hofN//
GO_0009081_5	bisC//ynfH//fadD//idnD//gadE//blc//treF//trpGD//ftsL//ibsE//livJ//livH//rplM//fdoG//lldD//yigL//ycdY//livM//rpsK//hokB//yfcG//amiC//
GO_0009082_6	prmA//yqaA//mdtM//dinD//gsiB//rpmF//fepA//epmC//yeaV//nagZ//trmH//yibF//yqhD//tauC//rseB//yjiA//mcrB//cysS//
GO_0009084_7	tdcR//waaJ//flgM//argS//seqA//gadX//sdaA//hscC//cysH//queG//hemE//elaA//napF//glgP//thiG//ydiP//phoQ//ybiW//stpA//waaP//elaB//elaD//aaeB//dhaL//cysA//
GO_0009085_8	fruK//mhpT//cmoA//lipA//artI//lsrA//sspA//menH//mltB//aslB//tusC//tehA//
GO_0009086_7	mltF//fdhF//yeiG//mocA//prfB//rppH//yghW//pflB//phnH//
GO_0009088_8	nupC//yggN//
GO_0009089_6	yfdC//elaD//phoU//murR//nei//dgcN//bdcA//upp//cbrA//
GO_0009090_8	cspC//thrB//ampG//mglC//
GO_0009092_7	yciV//fucK//mtfA//kgtP//rsgA//gpp//
GO_0009093_7	rhaR//fhuF//dhaR//cysS//ibsA//
GO_0009094_6	nei//rbsC//mcbR//yebK//
GO_0009095_7	aroK//pitA//insB-4//patA//
GO_0009097_7	frdD//ghxP//cspD//uspC//yeiE//era//rhaB//
GO_0009098_7	hcaR//orn//elyC//arnE//insI-2//purF//ycdX//
GO_0009099_7	rna//rimM//prmB//rpsR//glmS//aceF//yagE//uspG//trpR//tcyN//
GO_0009100_5	recO//atpA//cheA//yciA//helD//
GO_0009101_6	sodB//
GO_0009102_6	rfaC//nrfG//sgcA//deoR//agaS//yeaD//ybaQ//prlC//ptsI//def//ydcZ//bolA//pdhR//
GO_0009103_6	ygjH//cobB//exuT//ybcC//ddlA//deoB//alaA//yehT//glnQ//ygjK//glgB//
GO_0009106_5	ydeT//pta//
GO_0009107_6	elfG//sfsB//
GO_0009108_6	moaA//baeS//osmC//flgK//thiH//cspG//yddM//proS//gspI//eamA//intZ//yjiX//narV//ssuE//rof//rlpA//mlaE//csdA//satP//ortT//selB//mscS//selB//frmB//clpX//nuoF//napF//flgJ//artP//tpiA//nrdA//cas2//gshB//pck//dgoK//tdcR//infC//ftsP//mdtC//yibF//nadK//ybaE//aceB//rfaQ//caiT//ubiX//mntR//rcnB//yggD//rlmM//ftsZ//hybC//hpt//entC//rpsI//gcl//lgoD//mutH//frr//rpe//glmM//gsiC//xthA//serS//yegD//ybgI//uidR//xisR//putA//xylA//exoX//flgM//tolQ//rsfS//nadA//ddpX//dapB//fruB//abgB//livF//codA//waaP//rtcB//ftsI//yajO//tatB//ybiH//ygfI//menD//ymfK//ybjI//rsmH//arnE//rapA//cof//ffh//cmtB//bamC//osmF//fhlA//yejE//gatC//ybhR//sspA//marA//nanS//ibsB//chbB//mioC//kdsA//
GO_0009109_6	panF//fhuC//rpsP//yafQ//yajL//
GO_0009110_5	sapF//eptB//pdeH//wecE//yeeJ//ftsP//parE//yccX//mdtB//ygeA//ybgP//nadK//rspB//ybdH//fimZ//ubiF//aaeR//cptB//csgB//ddlA//moaA//yqaB//envY//nei//mtr//dedD//gyrB//relA//metE//galF//rbsK//potC//yjiM//potD//narL//nuoE//frdA//lacY//cheB//glpA//mltA//yqiG//mmuP//yeiG//yggW//spoT//qseC//yhaM//hokB//yceK//rlmG//prpB//mcrA//dcuR//mdtP//hslV//secD//
GO_0009111_5	cbpM//cbeA//ascG//gloB//
GO_0009112_5	yfiC//agaA//fbp//sufA//mutY//glpR//rnc//dinI//znuC//ynhG//miaB//yfeR//wzzB//yjhG//lapA//ydiO//rzpR//rplA//holD//sfmF//fixA//malX//ftsW//rho//uspE//yedP//recC//nuoI//leuD//yggN//gstA//menD//mprA//ppiD//nth//cysB//
GO_0009113_5	bamD//satP//sodA//rfaD//tus//
GO_0009114_8	vsr//
GO_0009116_5	frdA//recO//aroK//hlyE//arnB//ribB//yehX//prpD//ycbU//mutL//sgcB//phoA//ampD//xylR//sfmF//rimM//sfmH//pgaC//paaD//aldB//miaB//csrD//ygiB//yhdX//yjbF//tolQ//prpB//ybaL//yciK//hdeD//yiiD//fecC//panB//ushA//trpR//zntR//yidA//insI-2//dcuC//metH//
GO_0009117_6	sufB//gudX//maoP//hemE//eutB//folD//yraH//poxB//yeeL//thiP//csgD//rutD//solA//ydaC//ispA//paaX//bioC//rutR//rffG//argF//araA//yedP//rhaD//tonB//recT//glnK//yihS//cpdA//eptB//kefB//rimI//waaZ//nhaA//moaA//yaiW//atpC//dhaM//hexR//yehT//chpS//ileS//hslJ//elfG//wcaC//srmB//focB//sdhB//aroL//yhcF//yqjA//yebC//opgH//mnmC//rnb//phnO//mhpC//yrbG//yegT//yedF//hemL//panB//clpP//kefF//fecC//zntA//nrfD//trg//xapA//rpnB//yciK//hokB//pspC//alkB//msrP//lpxP//sfmF//pncB//mtlR//cpoB//ydfH//yaiV//ydcS//mcrB//yfbV//fliA//ldrA//fimB//rpsD//dinQ//paaC//opgG//nadE//ybhD//ruvA//hcaB//dcuA//nei//grxD//flgJ//rseC//yfhH//yehP//pdxY//oppA//
GO_0009119_6	rffM//tgt//rseC//glnS//relA//truD//lpcA//yiaO//tyrS//nagK//mscM//elfD//sad//iscR//rlmB//ibsB//brnQ//lsrD//hinT//rfaF//dtpB//tcyJ//yneL//cadB//gsiC//pgpC//miaB//tdcR//yciE//tusD//sixA//treB//cmoA//sanA//hcaF//
GO_0009120_6	smpB//agaW//rna//hybD//
GO_0009123_6	katG//melR//casA//ymjB//ydcR//casA//xseA//dhaL//rfbX//bcp//glcE//nagA//phoP//rlmA//insF-1//rcsA//lhr//pstB//nlpE//ftsQ//manZ//setA//lacI//sucA//katE//ligA//greA//eamB//hpt//intF//yiiM//bipA//yciK//yjhI//ibsE//yodD//bipA//uxaA//crl//fliA//ybgQ//birA//evgA//ddpA//yehY//fadA//
GO_0009124_7	yehY//degQ//chaC//pnuC//yfdC//hypB//crp//pyrC//glxK//hisC//ghxQ//yjhC//hsrA//wzc//allC//surE//lysA//plsB//opgH//argG//yraK//caiD//menB//livK//metN//flgF//fepB//ytfQ//slyA//iraP//murC//ftsQ//tusC//gnd//nikD//argG//ispU//
GO_0009125_7	frvR//ybjC//trmD//gcvP//mhpA//
GO_0009126_7	preA//rhaB//paaF//yfdC//manY//dgcT//glnK//pphB//yebS//gpr//ydjH//fimB//uof//plsC//glmS//ycaO//purF//astC//ybhF//modA//hisC//bacA//yoaA//rimK//yidK//csgF//nlpI//nrfG//yehW//umpG//citG//hybE//gntP//mhpT//
GO_0009127_8	panB//rsmF//lit//agaC//ampE//srlA//chaA//prfB//gpmA//cpsG//rfaQ//yebC//livF//ibpA//tamA//nemA//yfbR//lpp//oppB//glnH//insI-1//lipB//clpB//agaV//pheT//ssb//dsbA//torD//tufB//rclB//
GO_0009129_7	fucA//ldrD//yciH//dnaK//zapD//fucO//nmpC//chbR//ygfA//prfC//
GO_0009130_8	yieH//queG//mutL//ssb//hemG//
GO_0009131_8	proW//hha//thrA//dapA//trpR//
GO_0009132_6	scpC//thiM//plsB//thiM//fliZ//pinE//degS//ilvH//phoR//xylR//yhjA//pgaC//proV//fklB//dgoT//trkG//trkH//ymgF//rplS//ygaV//appC//entE//elaD//tilS//narZ//
GO_0009133_7	glcB//psuG//ydjM//
GO_0009135_7	ibsC//ligA//tdcG//qorA//rluB//ybjD//sufB//kefG//focB//otsA//glsA1//yidR//yebZ//yigL//dmlR//nudG//glpC//cspE//bioB//oppD//dgoR//adiY//curA//
GO_0009136_8	rffG//
GO_0009138_7	rihB//thiQ//
GO_0009139_8	trpD//rffM//
GO_0009141_6	yodD//hflK//aroE//fimD//casC//frc//insH-5//rep//mrcB//yeeJ//paaD//dbpA//tolA//fkpB//apt//yfhH//yhbQ//cysU//rlmM//leuB//ycjQ//sixA//fhlA//hemF//mreD//fimG//sseA//ygiB//sstT//yjhH//melB//rtcR//cnu//ubiF//sbmA//mhpD//ndk//rplP//
GO_0009142_7	glsA//metH//ibpB//hofP//yhjB//nikB//mnmA//glnP//hemF//puuA//priC//ydfG//insE-1//asnB//hofQ//rpoE//fadI//menC//nimT//casA//yjjV//kefB//rpsB//ybaQ//hcaD//trg//trpS//trpL//
GO_0009143_7	dacB//paaH//rrrD//hybC//
GO_0009144_7	bacA//lpxP//ybiS//mobA//frvA//sgbU//ybeY//rhaS//spoT//etp//nfuA//glnB//yagF//tatB//coaE//menE//rnhA//ydcS//hprS//gmhB//ydjH//elfA//cra//cysB//yhdH//frc//nrdH//hslV//hcaC//flhA//menC//
GO_0009145_8	hycA//frmR//phnP//creB//ilvD//sdhC//recN//mhpT//shoB//thiM//pbpC//emrB//cusA//argF//uxuA//ygcO//bglF//ugpE//ybiJ//iraD//yjiX//hybF//ycgB//
GO_0009146_8	deoD//hscA//
GO_0009147_7	mltA//hisI//fimG//hslV//
GO_0009148_8	malG//ribC//
GO_0009149_8	fimC//fabD//
GO_0009150_7	rpmG//msrB//bamC//fecA//gldA//cstA//mhpT//dgoK//ybiI//malX//tdcA//melA//yohD//sgbU//dosP//puuB//priA//dgcM//ptsI//yiaA//uspE//trmL//topB//dsbG//glgA//frdB//atoC//arcB//sdaA//xylA//mrr//yraI//mdoD//lpoA//ubiJ//torZ//ftsA//ffh//nrdH//livJ//decR//alkB//livF//rsmH//rclR//trkG//add//yobA//
GO_0009151_7	livH//rpoH//
GO_0009152_8	rseP//clpB//yddL//pntB//narV//garR//yjbF//fkpA//ymfA//speC//gph//pntB//hypB//fimB//rihB//ccmA//ubiB//insI1//hpf//yehC//yecS//fliT//yahN//tilS//bluR//ppx//mngB//bdm//frlR//preA//fbp//agaV//zapD//cdh//fabG//pphB//yhdJ//
GO_0009155_7	gsiC//tqsA//
GO_0009156_8	yqeA//obgE//yihQ//panB//mipA//sfmD//minE//asmA//tsaB//lexA//ybdM//rplW//rnlA//priA//wecA//ypdF//hslO//nth//pdeH//glxK//gutM//mltB//sugE//uxuA//zapA//idnO//hslU//alsC//ivbL//kdsA//yqiI//insF-1//ymdB//
GO_0009157_8	shoB//yqhC//mrdA//rhsD//
GO_0009158_8	dkgB//pheT//fadH//nrfG//nfuA//
GO_0009161_7	msrQ//yjiM//fdoG//ppiA//trmO//xylH//ygaH//galS//yfcG//yccS//hofC//gloC//recC//tnaB//frlA//priB//yfhH//clsB//speF//ycjU//ygbI//slt//nikD//aaeR//grcA//tus//mazF//paaJ//fucI//yedX//yibA//glk//yafN//yiiM//hslR//mglB//dtpA//kgtP//ydcR//lpxL//sodC//lsrR//
GO_0009162_7	gsiA//ubiE//mutT//abpA//
GO_0009163_6	yhjD//rffM//sohB//prfA//ynfE//rclB//ubiE//yjbB//ppiC//kdgR//npr//nudG//basR//yggD//uxaC//yobF//dppF//groS//secD//
GO_0009164_6	hemD//ybhD//cysG//hisQ//minE//speE//yddL//slmA//nudC//ydcT//livH//lepB//frvB//
GO_0009165_7	ypdF//yddL//ldtC//bglA//ydcZ//fau//yhdH//plsB//flgF//mscL//cobB//glyS//tusA//asr//nagK//narU//iscU//trpE//yphF//truA//mreC//hisH//nikD//yecS//hfq//ttcA//coaD//yjiY//rimI//mcrA//gppA//galT//iap//ybdR//srlD//yqjH//mdtE//yraH//bcsA//yafC//yjbG//fdoH//paaX//ldtB//hicB//fepC//yafO//hflC//surE//obgE//lspA//mutM//yhcH//evgS//yedF//ytfT//rzpR//rayT//dcuR//hypC//ydeT//sapF//ilvI//kduI//yraH//cmoA//yjfP//tcyN//pnuC//glvC//ydjE//
GO_0009166_7	secE//hyaC//mdtJ//hyfC//gatC//dnaK//ldcA//rapA//csdE//yciG//dppA//setB//qseC//mazG//narJ//lpxL//xdhB//abgT//yqgF//yjjX//garK//pinE//rpnB//lpd//pldB//rplJ//eco//ubiH//cdh//mdtE//ydjK//
GO_0009167_8	yeeO//nusA//bfr//mdtA//yegT//ftsY//glrR//ybeY//umuD//elyC//tsaB//dnaJ//yidP//oppC//allR//lpxB//dgt//pepT//tmcA//folP//murB//yaaA//patA//thiI//rbn//relB//serA//torD//epmA//ycjD//nrfC//tauB//trpC//nth//
GO_0009168_9	infC//parC//rpsM//bglX//flgC//arcC//rraB//moeB//parC//sstT//mdoD//rof//paaK//recG//der//map//phoB//kch//fruA//dxs//idi//obgE//frlB//cecR//phnK//metL//mtr//rplQ//yehT//dauA//
GO_0009173_8	hcaT//yajR//yfcQ//yggT//ompR//gadB//abgT//
GO_0009174_9	cheB//hxpB//
GO_0009175_9	relE//yagJ//kdsD//recX//atpH//
GO_0009176_8	moaA//ycgR//mglA//
GO_0009177_9	fhuC//ugpB//xapA//
GO_0009179_8	znuC//dhaM//yfdC//yedX//birA//yehX//fruA//moaA//yahI//ilvA//acs//tyrR//tsaC//kbaZ//dcuA//uidR//serS//fimE//srlD//metN//cirA//ubiG//glrK//
GO_0009180_9	degP//
GO_0009185_7	rhaS//ytfQ//caiE//yidH//csiD//tolQ//ygcR//dut//hisC//adeD//relB//gudD//cbrA//menD//hslU//zinT//ydhC//yibH//treB//elbB//sgcR//yidH//dnaK//ydaC//
GO_0009186_7	rseC//
GO_0009187_7	srlB//umpH//
GO_0009188_8	ubiF//malE//
GO_0009189_8	pykF//
GO_0009190_8	ibsE//tusA//
GO_0009193_8	yhaC//
GO_0009194_9	yafC//
GO_0009196_8	kdpC//
GO_0009197_9	rluF//
GO_0009199_7	mazG//ispF//lgt//dxs//tbpA//cysM//yjbB//rluD//dgkA//diaA//dnaJ//dps//pstC//tsf//yegD//aroP//sapD//truC//sapC//ftnB//soxS//msrP//ygiN//yebZ//codB//rng//bcr//nuoN//rimP//adhE//acrA//
GO_0009200_7	yhaC//nanR//rpnB//ftsK//
GO_0009201_8	sapA//oppD//mcrA//gstB//yieK//prs//yajQ//nuoL//yaiP//dnaT//yhdJ//gltL//hupB//eutN//dbpA//kilR//nudF//truB//betB//rpoA//zraR//rffH//oppA//yiaJ//
GO_0009202_8	leuO//
GO_0009203_8	acrB//
GO_0009204_8	atpC//hemN//caiE//
GO_0009205_8	gloB//hdfR//tdcG//mdtK//ldtC//yihP//waaO//metK//fliT//opgH//aceK//yggT//ogt//caiF//cra//trpL//gph//bhsA//rplT//yibT//rnt//ychO//yjhC//ldrB//mipA//rutC//gudP//bluR//ttdA//
GO_0009206_9	pphA//sgcR//uhpA//dbpA//paoC//yfeW//rseP//yidD//livK//srkA//otsA//ybhA//paaE//lolA//xylA//yafQ//xylB//folP//glyS//mnmC//groL//caiB//ilvD//
GO_0009208_8	pstS//ilvB//
GO_0009209_9	iscA//
GO_0009210_9	cbrC//
GO_0009211_8	ndk//fabD//dtpA//
GO_0009212_9	nrdD//
GO_0009213_9	modB//ybiI//
GO_0009215_8	yraN//fecB//
GO_0009217_9	rcnB//clpX//
GO_0009218_7	dxr//ydfD//soxS//yadI//mntH//flhC//lpcA//alsK//garP//torI//rpmH//lipA//
GO_0009219_7	sfmF//kup//phnK//ygiV//dnaE//
GO_0009220_8	shoB//bglH//insB-2//rmf//gudX//bioP//
GO_0009221_8	eutD//exbB//entE//fixA//
GO_0009222_7	yhdJ//slyA//dsdC//yiaU//rnr//ubiB//
GO_0009223_7	allR//ssuE//
GO_0009224_9	tsaB//trpL//
GO_0009225_5	hemA//ptsG//yrdA//coaA//cydD//phoU//pdhR//ghrB//oppD//gabT//ygiN//hybC//yaiV//mlaB//mobA//
GO_0009226_6	xapR//lpcA//ygaV//fucP//arnD//ribD//gpmM//pstA//nudB//argO//tsaD//acrE//murP//
GO_0009228_7	astB//pheS//hcaE//mglA//fucP//hyaD//dsbG//mdtQ//waaL//iscX//
GO_0009229_6	rnlB//argC//
GO_0009231_6	uvrC//btuB//ygaZ//ghoT//rnb//yjaZ//yraK//
GO_0009233_6	glmU//gyrA//emrY//xylF//rffT//tnaC//mngA//rnlB//asnS//bioA//
GO_0009234_7	rplJ//araG//kbaZ//napB//pgaB//psuT//yehW//yihQ//rffH//ydcM//
GO_0009235_5	ackA//mutY//znuB//sodB//pbpG//matP//
GO_0009236_6	putP//nudF//kduD//puuE//ssuC//rsmC//
GO_0009237_4	ulaE//rnlB//wzzB//cfa//ydeE//opgC//norW//ygfZ//metF//
GO_0009238_5	murR//ppiA//glxK//speC//bssS//queG//rpmB//srkA//roxA//
GO_0009239_6	yhbQ//argF//mepH//ugpE//rluA//rcsD//dgoA//murR//
GO_0009240_6	ytfR//dppC//hemH//tpx//rplM//
GO_0009242_6	hypA//metR//cvrA//fpr//yjjV//tehB//yfbS//ygfI//kdsB//tdcF//prfA//
GO_0009243_7	rclR//
GO_0009244_7	hsdR//dnaQ//relE//ligA//mtn//yhdJ//rlmB//stpA//atpB//yrdA//ynaI//nrdA//pyrF//cspI//cadC//nadC//yhdJ//ygdG//topA//clpS//yghU//garR//uidC//secM//tdcR//seqA//bssS//alkA//glmS//
GO_0009245_6	ybiW//lpd//bepA//tamB//fepE//cof//yraH//ugpC//argE//fliG//
GO_0009246_6	slyD//atpD//feoB//ftsB//yagJ//mepS//speF//mutT//hslU//
GO_0009247_6	murP//wecA//tusA//ppiD//hofQ//holB//dgoA//potI//yejB//aaeB//yfgI//ftsA//
GO_0009249_6	moaC//pheT//phoP//
GO_0009250_7	mdtL//fruB//hypA//rsmA//pabA//frdC//fucK//glgX//lsrD//relA//ybdR//ybgP//yjeI//lepA//
GO_0009251_7	rcsD//holB//rlmA//ansB//ccmG//uvrA//
GO_0009252_7	rluB//yaiV//lysA//gcvA//yafN//lldD//ydiQ//arnT//ppiA//rpmJ//napF//yjhC//pdeF//ilvI//ulaE//sfmD//sugE//gadE//rnb//rnpA//prkB//yiaN//sufE//ygjK//lsrK//deoB//hcaF//fliZ//ribE//poxB//ccmH//acnA//fepC//ygcO//tsgA//lrhA//gatC//insH-5//cydA//
GO_0009253_8	mtr//cpoB//yiaF//uidC//iraD//manZ//yehP//valS//yjbH//fetB//
GO_0009254_8	allD//ydiF//fixA//ftsX//ridA//mak//acnB//thrL//puuC//ycaO//
GO_0009256_7	glvB//trpE//azoR//rhaR//
GO_0009257_8	hcaC//tnaA//deoR//kdpC//
GO_0009259_6	cbpM//alsE//yfgI//otsA//tusA//dnaK//aroA//zupT//gmk//ampD//pta//cyoD//ompN//insB-4//lpxL//hypD//rhaD//yfiE//uhpA//leuB//erpA//hcaC//fdnI//cheZ//glpC//menF//thrC//rbsC//fimG//rpsK//lsrA//rpsQ//yjcE//fadB//yfdK//prfC//clpA//aspS//zapE//folD//queA//kdpF//setB//nlpI//birA//glnK//hybC//rpsN//fliS//lpd//ytfQ//sapA//dgcQ//rpmJ//fliT//yfbU//lysC//gltL//mukB//dgoT//hns//
GO_0009260_7	sdhD//ycbU//queD//udk//sad//yghB//frmA//amiD//ycdY//ubiD//yoeE//uidC//cysP//prfC//pspG//rnhB//rpoA//puuA//bamC//basR//degQ//shiA//cspD//gloC//nrfG//tusE//soxR//nanC//hinT//rayT//araE//srlD//rihC//ychF//prfC//ydiF//frwB//rpsI//pdxA//rclR//parC//crr//murE//ibsA//
GO_0009261_6	ybiI//fepA//rhaB//cpxR//cysS//rpsQ//
GO_0009262_5	ybjI//ppx//waaA//nikA//aroD//yecS//dnaQ//narI//nudB//ghoS//deoB//katG//adiC//
GO_0009263_6	decR//rbsR//ybjN//nei//dnaC//aphA//ybaQ//iscA//rfaF//
GO_0009264_6	yibA//puuP//mnmG//tnaA//yagG//
GO_0009265_7	aceB//xseA//mepS//malK//rsuA//
GO_0009266_4	acpT//hcaB//ycjD//coaD//ygaH//ybhD//norW//rfaF//sppA//rplM//csrA//gnd//yfaE//yjfF//yeiE//yahD//cdsA//pheP//pgk//yhhZ//ugpA//ygbN//tauB//zapB//gltS//gatA//prfA//arcB//proB//hybG//bluR//frsA//groS//gntP//nusA//ansA//gltK//yjcO//adhE//sgbH//gloB//yajO//fetB//clpS//argE//ytfQ//hdeB//yddL//adeP//recN//glnL//artI//map//acrA//livM//tldD//hisQ//umpG//atpF//hybC//narX//gabP//ibsE//degP//mfd//pal//sstT//rfaF//fimF//fabD//cyoD//rnt//rluD//ybiO//lyxK//yebK//yadC//casE//tatD//ilvN//ldrA//lsrD//
GO_0009267_5	yfdO//potE//pykF//kdpE//ycaO//topB//thiI//dgoR//lipB//mhpT//ygcW//rhmR//ahr//pgrR//rlpA//fadJ//nfuA//hcaD//prfA//cyoE//yacG//ycbV//yaiW//yhaV//fryB//gspF//
GO_0009268_4	rcsC//exuR//dsbG//yidD//murA//fruB//xylB//sixA//panE//feoB//ppsA//ycjY//sfmA//yjaA//hemE//araF//eno//hmp//proS//exuT//ftsZ//hybE//gntK//ygeA//yaaA//ycgR//purF//
GO_0009271_4	codB//ytfE//araH//
