#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	arfA//lsrK//deoC//pepA//
GO_0006812_6	tbpA//cyoC//luxS//ydfH//psd//yfcU//mrr//ftsH//fepE//ybaL//dppA//rfbD//pgpB//arnA//cbtA//fkpA//gnsB//rzoR//ygiV//yeaD//rzoR//mepS//potF//iscS//sad//yedL//ycaN//cpdB//elfA//recG//hflX//yihV//topB//yciG//yhbO//srlA//recF//murR//cusR//atpA//nikC//cdaR//nuoE//sdaC//hcaC//rutD//talB//yjbG//yraR//ybhJ//ybcL//entA//focB//purL//insH-6//gatD//creC//cycA//insI-2//ptsH//baeS//thiE//folP//clcA//rep//mdtI//lsrK//tldD//hypD//rfaB//truC//rzoR//xylA//ycjD//panZ//gshA//dedD//ompN//paaH//proP//prlF//gstA//acrD//cyoD//mlc//trxC//bglX//glpA//yobF//dacA//recX//radD//mdtL//dsbC//xylF//narY//adeQ//nudF//nuoB//yjfF//oxc//fic//rspB//gsiD//talB//ytfP//rplB//ivbL//cyaA//ybhA//chbR//fhuC//csdE//yejA//plaP//sfmC//yggW//ubiF//waaZ//pckA//yeiE//rpoE//qseC//cysH//ilvI//cas2//icd//yfiC//rpsK//rclC//rpoH//lpd//cyaY//fimE//uhpA//uhpC//yjbH//yeaG//sdhA//emrY//sodC//dmsC//maoP//ghoT//puuD//menE//creB//gloC//ssb//moeA//gatB//cysH//betB//ptsI//mnaT//pitB//rapA//atpF//ynbD//narJ//gmd//betB//relE//envZ//elbB//sgcR//prfC//leuO//ynfF//arnD//rpsE//
GO_0006813_8	fepC//dhaL//cutA//ptsH//truD//xisE//sgcC//bssS//pdeK//asnA//galT//fklB//trpC//rpiA//yohD//aroE//ftsP//
GO_0006814_8	murE//skp//lpxH//yneJ//yhbO//cheY//yeaV//elfD//hemB//
GO_0006816_9	ybiH//
GO_0006817_8	hpt//ddlA//mtn//yfcS//cmoM//gatY//glnB//frwD//cadB//
GO_0006820_6	murP//phnN//cpdB//gstA//dapF//xapR//citG//lnt//ilvA//secD//thiH//eptC//yobF//bglA//folC//bcsA//ycfL//rclA//fklB//aslB//mscM//essD//nudC//pgk//yjjI//lpxB//rffT//entE//hybE//insE-1//phnM//metR//lpxH//menE//uvrY//cusA//yqcC//exuT//epd//pldB//tdk//lysA//entE//gsiC//uvrY//fimB//ygfZ//atpF//kilR//hypF//xylB//yciK//yhbY//rfaH//pyrG//chiP//insI4//sucC//ydiK//mrp//pspA//mlaC//purL//avtA//hyaC//rlmJ//ymjB//preA//ccmF//glpX//tusC//hisI//proQ//fdhD//coaE//ygeW//pspD//hcaR//ndh//nadK//hyfA//atpF//ybaQ//lolE//tauB//yoaA//nlpE//eptA//uidA//cas2//fumB//yfbU//clsC//narX//rutE//flgD//mntH//ydiP//sbmA//plsB//ulaR//mltC//fliT//malQ//yraK//pdhR//ydjH//yajL//pspG//murB//bamA//ydiV//rplO//speC//frvB//ybgI//tyrA//yfiE//accC//deaD//acrB//yneL//dgoT//idnT//ygcW//cysA//yebG//tamA//clsC//waaS//tdcC//hyaA//mnmC//tadA//dusB//blr//cueR//fimZ//ppc//cspG//radD//nuoL//ftp//lysU//ynfE//rnhA//yfjR//ynhF//rpmE//def//fabA//opgE//yehY//udk//murP//cvrA//sgcA//der//csgG//ydcZ//bhsA//mrcA//waaG//znuB//grcA//aaeR//ybcQ//hflK//tolR//glgB//deoB//ydjM//nrfB//ygeR//gnsB//btuR//frwD//
GO_0006821_8	lptE//betA//dinI//
GO_0006824_8	gntT//satP//dtpC//ptsG//
GO_0006825_9	mdtE//chaA//parE//opgB//ssb//mreD//ycfL//
GO_0006826_9	glvC//dsbA//zapB//pheM//rplM//greB//nagZ//selD//astB//yciH//melB//pyrE//murB//yjhP//afuC//lsrG//tufA//
GO_0006828_9	mmuM//ftsH//narP//
GO_0006829_9	lhr//aroK//treC//ispA//fhuD//alkA//pyrC//flhD//metG//
GO_0006833_6	edd//
GO_0006835_8	argS//yjaA//zitB//gloA//hemF//trg//hha//recO//era//ruvA//yahF//envY//ldtE//selU//
GO_0006836_5	rhsD//adeP//phnO//metN//bamE//alsK//cmk//leuO//sfmA//gyrA//
GO_0006846_7	glpC//umpG//
GO_0006847_8	rraA//
GO_0006855_6	lsrD//maeA//insI4//nagE//dgcN//ydaC//leuB//ybjC//rpsB//tmcA//ydcT//brnQ//kdpF//yneJ//ulaG//iraP//recN//phoP//rlmD//recF//opgB//ompR//dppF//yggE//cysU//purA//ibsC//cmtA//mntH//yihQ//nth//hdhA//gatA//hybD//parE//dinQ//yfdR//ymgA//hofP//glpX//artI//lpcA//ybdM//sspB//ygeW//hofP//phoR//ibsD//rihC//dppB//norV//ogt//recQ//rutA//mscL//ycaN//nfo//rzoD//
GO_0006857_7	fdx//acpH//speD//ybiH//yihO//opgH//garP//mltF//dgcT//agaV//yiiD//flhA//mepA//deoD//mcrB//ynaE//rimP//purA//lysC//ttcA//trpC//lacZ//elfA//rplB//ycjP//yjiR//gor//
GO_0006862_7	yafC//
GO_0006863_7	lsrK//scpC//purB//dinD//spy//eutR//sodC//ghrB//
GO_0006865_6	treC//uvrC//pdxJ//rpsR//ivy//greA//yphF//aroA//nepI//treR//malZ//ampE//ispG//ptrA//gyrB//evgA//selB//clcA//yqaE//tisB//aslB//dinQ//arcB//csgA//yehC//citT//glnK//tabA//yhhZ//ycfJ//ibsC//glcE//dgcE//pykA//ybaL//priA//lacZ//bioD2//hpt//ratA//ecpR//arnF//ugpC//lplT//appY//wzzE//sgcA//iaaA//hsdM//motA//deoC//flgA//dapB//cspA//pldB//yihR//yjbB//yobA//rtcB//rcnB//purU//comR//pppA//moaE//mnmE//blc//ygeV//yhcF//phoA//feaB//deoD//cof//hcaE//
GO_0006868_7	fliD//ycdX//ftsP//
GO_0006869_6	insA-2//ygaV//mak//msbA//uhpC//purL//idnD//rmuC//hypT//cydC//fucA//nupC//recN//araD//pgpC//uidC//ydhQ//hprR//yfeD//pbpC//pnp//yafO//fliG//
GO_0006873_5	ybiA//ompT//menF//argC//yebK//ygiW//narU//ydaV//yajD//chbB//potD//sseA//yggD//yidE//ybaE//rpmH//elfA//yidE//uvrB//pstA//ycfH//phnM//ygbL//queD//cfa//paaE//ftsQ//dacB//ygfA//srlA//
GO_0006874_8	yciH//
GO_0006875_7	mqsA//dnaB//lipA//puuP//kefC//manA//nikB//appB//ibpA//nfi//wcaJ//pheA//sfmF//opgB//kduD//ptsP//yjiM//gntP//narZ//csgB//hycB//
GO_0006876_8	pepB//
GO_0006878_9	yehZ//amtB//abgA//srlE//fucP//
GO_0006879_9	ygdG//yneL//vsr//solA//araH//lpp//rhlE//glnP//xylF//arnD//lepA//
GO_0006880_4	csiD//glcB//idi//
GO_0006882_8	dsbB//
GO_0006883_8	hypA//yhjA//hemE//
GO_0006884_4	xylH//dtpD//nuoF//ydeP//yjjW//
GO_0006885_9	nanK//mdtK//rfaG//hisQ//yfcF//yfcU//rssA//nikE//ompF//yhdH//ldtA//
GO_0006886_5	dcm//yihT//fadK//rsmG//rpsN//sutR//umpH//pspF//yagI//rbsD//aceB//
GO_0006928_3	ratA//yhdZ//yhdJ//mdtC//znuB//yohD//lptB//shoB//mdtQ//fucI//yebQ//lplA//recG//sdaA//yphC//ahpC//rsmJ//yqaE//mepH//yjbG//gatD//minC//menH//folC//mtlA//sfmH//cusS//dpiB//metL//mdtE//galT//pphB//dinI//rffH//ygfA//rfaH//nuoF//leuD//cdd//yobF//thiL//focB//eutR//fruA//
GO_0006935_4	sxy//erfK//cas3//secM//gppA//moeB//ymgC//tdk//ybdO//ftsN//fetA//gutQ//minD//yfhH//ybiV//nikD//
GO_0006950_3	adk//rplP//leuA//dtpB//hdhA//osmF//glgC//dcuB//envR//xerC//allB//yagJ//uvrD//pfkB//mlaB//pphA//yhjC//ruvA//bdm//fdnH//dapF//zwf//rimI//rhoL//ydjJ//yfiF//borD//yfcQ//yajL//yihT//proB//ebgA//rzpD//wecC//appB//folA//ydcZ//mgtA//ydiV//hofC//ompC//wzzB//rraB//ulaF//nlpA//srlA//cysI//artI//paaH//leuS//mrdA//cpsB//hdfR//fliK//yagG//araB//hyaD//ybjN//thiC//ogt//yjeI//ypdB//ackA//pck//mutS//arcA//greA//ascF//aroD//narQ//yagG//ydiV//sxy//araF//mobA//srlA//wcaC//mutY//mmuM//mraY//cycA//rnt//bglX//yhdZ//preT//rpsI//lpxC//yidR//nuoG//pgaA//gcl//fkpA//mreC//mdtA//insF-1//zapC//pgpA//lldD//ydiB//lsrC//cof//dapA//yqjA//fixC//appY//tilS//yhbX//gloC//ygaH//xisE//csgA//csgB//ybjL//clpB//kdpA//cra//yegS//preT//csgD//bglH//yhaM//preT//kbp//nfuA//appC//ybgI//fiu//ybjX//nusA//yieL//yciK//yneL//adeQ//fimA//nimR//hemG//rpmE//yraR//idnO//rluC//glnK//umuC//ynfF//nadA//rpmB//uidR//hrsA//pfkA//rnd//tar//malI//dctA//crr//btuC//trmH//rclC//ygiW//arfA//argA//fhuD//ssuC//lolA//truA//bioB//dcd//abgA//rayT//sufD//phnN//ptsG//clcA//malE//rhtA//rcsA//yajR//pflB//ulaD//folD//elfG//lysP//murA//araC//dsbB//hxpA//yahN//ubiX//yphC//ycfL//araB//ldrD//hycA//ydiV//cpdB//yhhY//rplA//dicA//yehX//yhiM//casB//ompR//yccX//hupB//decR//yfgO//ymdB//ybcC//mdtF//rfaE//rcnA//hyi//katE//glnA//yedL//trpR//dgcF//thyA//cbpM//ibsE//ilvI//symE//ttdT//chbB//cynS//poxB//ldtA//arsR//mlaB//ushA//mscS//yraN//dapF//mgtA//mdtI//adeD//hiuH//glyA//agaB//pgpB//ydiQ//ppc//argD//proS//nuoF//tatA//ndk//rfbB//rluA//tsf//flgJ//sfmA//uhpB//envC//topB//glrK//psd//leuD//clcB//trpS//phnI//fdhD//aaeR//rodZ//narZ//asnS//cysK//ligA//recN//xylA//insF-1//ccmG//proQ//treC//gltB//purT//ycjU//yghB//ascB//tyrB//lldR//aas//arsB//hisG//otsA//recO//rpsS//ugpA//mhpR//bioP//yciE//pykF//yjiY//hisI//betI//rhtC//iscS//ortT//cyaY//cpoB//atpF//hofO//nagE//rpoD//yfcU//sdhB//ebgA//creB//rzoD//corA//ompW//rtcR//mltC//gabT//potD//treA//mltG//appC//ynhF//nagA//rutR//otsA//zupT//slt//ydiB//fiu//plsX//rzpD//elyC//adhP//yafC//araB//cobC//yadG//dcuA//lsrG//thiD//erpA//fiu//rzoR//lon//rplP//birA//mpaA//yhjG//ftsQ//uidC//cynT//ybbW//torY//ynbD//ydfK//elyC//rfaF//rplW//amtB//yqgB//dsbC//speE//cpdB//pitB//tpiA//nuoE//csgF//metH//yggP//trpD//ybaQ//nudG//sgbU//raiA//tamB//norR//sbcC//pstA//lysP//rpsO//aroF//ulaB//moaB//selD//pdhR//yfcG//ybaE//abgA//yqgB//nagZ//lysC//mrcB//uvrA//yiaN//hybC//ftsZ//ompF//era//hybF//ynhF//mrdA//artP//manX//nikC//nrfA//argG//cpxA//luxS//fimI//lit//csiR//menE//dnaA//phoB//sppA//tas//epd//tauA//acs//pstC//aidB//yegV//mdtL//htpG//gdhA//yejA//ygdG//artQ//gadC//agaS//perR//mdtG//mdtC//yfhH//hypA//rlmG//cusB//infB//ydcT//rho//gyrA//yiaT//galM//srlB//hypF//lepA//yaiV//gltK//yihI//holC//pheM//cytR//feoC//waaP//hyaD//flhE//narQ//hyfR//nrdR//cdd//tmk//moaD//rplD//cbtA//dusB//ssuC//zinT//wzc//dgcM//paaC//fsr//cusF//yjhB//rlmA//lysS//cysA//dgoR//yghG//hisH//mlc//ssuE//yfaL//glpG//metB//rplC//fadR//hipA//
GO_0006952_4	lnt//clsC//sapC//yfiE//hofO//pykF//yieF//ompR//dapD//secD//cho//argR//
GO_0006970_4	moaD//cmoA//yhjA//yiaA//suhB//dtd//prs//smrA//yahD//rhaT//fimI//rffM//flhA//narK//afuB//ygfI//ybiJ//ybiV//yrdA//dam//caiD//priA//ackA//cbl//chpS//ldtC//menB//nirB//yiaL//frr//manY//rzoR//eutD//ampG//sfmD//agaB//idnK//yfcU//
GO_0006972_5	afuC//pdxJ//ygiS//glnE//yfcG//rpoH//miaB//rsmB//yhdJ//mdoD//waaF//etp//acrD//cydD//
GO_0006974_5	metF//ygiN//emrY//avtA//arcA//ftp//gsiD//surA//aqpZ//yghO//ndk//lysC//rng//ompC//caiD//uidA//menC//rbbA//polB//yhgH//fecA//dhaK//relA//cnu//fiu//katE//tamA//mnaT//xseB//adhP//yjfF//mutY//nrdE//nusA//narX//yiiD//yqhC//flgD//chaA//mdtK//rluF//ybiT//focA//napA//sgrT//yeeA//yhhZ//fucK//yhjD//mdtJ//csdA//fabG//yfcV//rfaF//ridA//hrsA//yehW//yceK//mzrA//torC//folM//fucA//torC//cedA//glpA//nagK//abgA//msrP//recG//bioF//ydjJ//yfdS//proQ//waaS//yibT//frlR//dgcE//fadB//rpsN//mlaF//panD//yghU//ibsB//hcaB//sufB//mppA//znuA//kgtP//frwD//paaC//pitA//cca//malX//recC//malX//ilvI//yneE//ykfI//cpdB//sgrR//ompA//gmd//tig//ydfH//norV//sgcE//pgpA//fkpA//sbp//pyrB//rfaF//cysQ//hpf//slyD//dnaB//dgoR//ychO//ynfH//folC//ybiA//ydiQ//fucI//znuB//narU//cobB//yadC//rclC//yhdW//ykfI//tusC//yfcQ//rplS//elaA//epd//cynT//clpB//gstB//tolR//ybjC//csgF//tonB//lplT//mrcB//nfuA//parE//dnaN//yahK//rpsJ//yciT//proV//glgS//mnmC//fumC//nanK//yneL//ymgC//zwf//bacA//gcd//lsrB//wcaB//mdlB//thiL//rlmD//nanR//yahN//trxC//exbB//yhbY//rplL//gutQ//gapC//gntP//rpsE//talB//ppk//alkA//prfC//pspF//rclC//ydeM//pstC//dgcF//minE//rlmA//hisD//puuA//mocA//glpF//xapB//gadW//kdpE//yhjR//trpD//ydeP//rnt//dgoA//waaY//malG//tyrS//sbcC//speE//gatZ//msrQ//hyaB//casE//tauB//hofP//ltaE//dicC//manX//rimL//ilvA//ybjG//yhbY//gloB//pspF//cysZ//araD//mliC//yccS//dinG//cobT//hemL//feaB//hyaA//proX//prfC//zapC//dsbA//hrpA//zupT//rrrD//polB//rhsD//speA//trpB//rlmH//tcdA//mltB//aceA//malS//dnaN//hcp//yjjW//rpsR//
GO_0006979_4	dicB//tadA//rtcR//dnaE//phoB//eutD//iclR//ilvI//fiu//mtn//sbcB//rraA//fliA//elaD//fryB//mrcA//dcp//prmC//arsC//ftsN//yceO//xseB//yjtD//cheB//tig//rssA//tauD//ibaG//ascF//priA//kdsC//rhaA//nrdH//dicB//eutB//yoeB//rpsI//uvrB//appY//yfaE//trmJ//glgA//ydeE//thiL//agaR//menD//pepT//tusE//iaaA//maa//ykgO//tyrR//ispF//lpp//yggW//qseB//yjiQ//abgT//nudB//ygiV//nhaR//tauB//rfaC//ubiG//holA//yihO//rimO//yfaL//prpB//dgoT//glpT//narK//ahr//ddpX//yeeL//birA//amiB//rutA//tsaB//entF//gntK//mtgA//feaB//yfhM//pspF//aroL//
GO_0006986_5	ybdO//nusA//scpB//yfbV//appA//otsA//
GO_0006995_6	phnL//fixA//
GO_0006996_4	yieE//hemH//rffT//hisP//dkgA//rfbX//iap//rlmA//nac//rfbC//hdhA//nanR//marA//potF//kgtP//ibpA//tmk//yrfG//curA//fdoH//yebZ//pgaC//sulA//phnN//ynfK//ydaN//ygfX//hokE//rplK//curA//yidP//yeeY//holE//sapA//hemN//psuT//cheB//yeaV//otsB//
GO_0007010_5	prpB//
GO_0007059_3	argB//glgP//cdd//yqcC//rhmD//sufD//rffM//mazG//cysZ//fdoG//
GO_0007062_4	yjiR//frmA//yraJ//puuC//
GO_0007154_3	cirA//dapA//lysO//napF//uvrD//ycgB//amtB//ligA//narU//dsbG//eamA//yehU//msrA//kdpA//scpC//phnO//paaE//yagI//gspF//rhtA//evgA//yhfS//mtlR//ypdA//deoR//baeS//guaA//rho//elfD//csiR//ridA//bioB//cmoM//rpiA//ygeR//hpf//ynhG//prfC//aceB//lysR//rimM//tnaB//chbF//glnE//pspD//psuG//agaR//tar//dctA//csiD//pcm//ldrD//potD//ldtC//potA//
GO_0007155_3	nuoN//mrdB//mmuP//livM//hofC//waaU//yjjU//aas//pdeH//gcd//malF//gfcE//tpiA//elfD//nupG//nfuA//bamA//mcbR//acs//frwB//pnp//yfiR//lapA//yidA//ldhA//rlmD//pheS//cysS//uspG//epmA//napD//dgcT//sdhD//ygjK//rplM//
GO_0007163_3	rpiA//
GO_0007165_3	xanQ//acrF//pepD//pdeD//wbbK//miaA//yjjU//yraJ//evgS//yiaL//map//mdtF//fimH//dpiB//bioC//codB//ruvC//arfB//iscR//satP//hslU//fruB//mrdB//manZ//fimA//phoB//tcyN//rpmF//ttdR//gshB//ydcP//ftsE//abgA//yihI//ldrA//pyrG//yedX//atpF//codB//narH//frdC//frlR//yjfP//yiaL//yjaZ//yjjX//rpsP//rseP//rutE//gloA//recO//ghxQ//pykA//eptB//elfG//nrfF//dut//ydfH//mdtI//hyfA//
GO_0007166_4	caiB//mglC//hycA//fucO//
GO_0007215_5	ompG//ycfL//hisC//atpA//
GO_0007231_4	psuG//
GO_0007234_5	hisF//
GO_0007267_3	glvC//rpsT//
GO_0007346_6	metC//fruK//prpD//
GO_0007584_4	maoP//ycjR//hcp//clpS//
GO_0008033_9	lsrR//yagE//hypF//yjcS//pheP//tcyJ//btuR//wcaB//srlB//hybD//tnaC//tusD//ypdA//murF//rbn//npr//purU//casA//atpH//map//ybiA//elaA//nagA//yhgH//trkH//hyaB//acrE//rseP//uxuR//mglB//elfA//recG//lolA//gcd//ydaC//yciV//rfaB//melR//cas1//lsrD//ygbN//pckA//tyrA//pphA//rcsA//dnaC//xthA//pdeL//cobC//gsiD//umuC//yhgH//hycA//hupB//yhbS//yadC//
GO_0008104_4	rpsL//lamB//hofN//tpx//yhdZ//torS//lpxH//yieL//gutM//cdaR//purA//cobC//yfhM//acnA//hcaD//sstT//gmd//dtpC//hofO//mdtN//yqeG//thrC//pepB//yfeO//cdaR//yibA//yajR//acrR//mmuM//thrL//bglX//tufA//ftsQ//waaH//hcaE//plsB//ubiA//nrdI//bolA//folA//grpE//ycjY//panB//ldcC//tusD//fixC//paaJ//aas//ygaV//
GO_0008156_8	mtr//puuD//dapB//cheR//leuD//kbaY//
GO_0008202_5	dgoT//
GO_0008206_5	hybD//
GO_0008213_7	melB//opgC//rpoD//ykfM//acs//yagF//fimH//ycgB//
GO_0008216_5	rbsA//trmJ//bglB//
GO_0008219_3	rseC//xseB//hslU//yjjI//mdh//rssB//baeR//metE//ybjN//yodD//hisC//yccX//yafE//minE//ygcO//
GO_0008272_6	rfaC//tdh//gsiA//ldcC//tktB//cmoM//lldR//
GO_0008295_6	yadG//fimI//dut//
GO_0008299_5	ybcQ//mrr//tpiA//dppB//yfeX//yhfK//
GO_0008360_4	nanT//rlmG//cbrC//yahO//nlpA//crr//narJ//mazF//tsgA//ybjD//pitA//mug//mglC//elbB//ydhK//gltI//
GO_0008361_5	yidH//yneJ//gpsA//priC//flgM//
GO_0008380_8	cysD//
GO_0008610_5	rutE//potB//carB//ycbV//torS//galT//clsC//yqcG//rplW//dcuB//cmk//cfa//nuoI//prpC//dmlA//ypdC//guaD//cytR//norR//cmoA//yrfG//elaB//nudF//rpsT//ribD//phnK//yrbG//argD//tyrR//fepB//gspF//cysC//rutA//tas//yibH//pyrC//ftsP//torA//arcA//yneE//fixB//sbcD//yjjB//ubiJ//yqjH//rdgB//csrA//sstT//mcrB//dinG//cfa//citX//prfC//waaF//ribE//envR//fucP//wcaC//ynfL//entB//yobA//yfbU//hyfR//diaA//cbtA//yiaJ//fur//
GO_0008614_5	iaaA//narP//ssuC//cydA//umpG//treC//surE//
GO_0008615_6	ybjC//insA-1//frwC//deaD//gspF//araA//rpmA//
GO_0008616_8	phnJ//degQ//rplD//yibF//dkgA//yccS//ulaE//
GO_0008617_9	lysA//
GO_0008643_6	galM//mdtO//csiR//atpF//flhD//hemB//dapD//gspI//pyrL//stpA//yjbF//csgD//hyi//ccmD//ssb//tatB//rplC//opgB//sdhE//pspG//chbR//ffh//ampG//prfC//napD//ssuC//xylE//sufA//agaA//sutR//ispB//marR//kdgK//napB//cdd//mraZ//dnaE//fepG//ygaH//pncB//potA//yehB//ydcZ//yegT//yiaT//ybjC//pheT//fliM//rpsD//lexA//ybaE//yedL//livJ//hyfA//ulaD//rffG//xdhB//gpp//yhdX//nrfB//rutA//ydjK//iscR//obgE//dnaE//yhcF//leuC//appC//ygjK//livK//fdhF//glpR//agaA//mhpT//fes//cynX//yfeO//rpsA//cas1//topA//erpA//napD//pgaC//pbpC//cdsA//gltL//ilvH//yidR//nfsB//ybcJ//hcaE//wcaB//glnL//fau//yiiM//ymfK//rpmC//yddM//hcaF//plsB//sufC//insI-1//ytfR//eamB//phoR//hybG//frvA//xylR//ynbB//lepA//ptsN//rep//cusB//livJ//
GO_0008645_8	yqeG//uxuB//yjiY//hcaB//uxaC//mtr//yegS//tnaA//leuD//sdaC//rlpA//plsC//lipA//trpB//fabB//gldA//ybcL//sgbU//fadD//bisC//aidB//tdcB//nrfD//greA//
GO_0008652_5	gor//panD//opgE//yfdG//phnM//plsX//tauA//norR//symE//fadJ//rraB//cpsG//yegT//pgm//secY//yhjA//dsbB//dedD//cysD//mltC//dacD//sbcC//hypE//yciG//mug//dmsA//mliC//glpK//napD//ihfB//bamC//iraD//entS//hybF//prpC//fumC//surE//clcA//hybA//bdm//srlA//ybcM//hupA//trkG//aas//ccmG//dgcE//trxC//menB//cyaY//chpB//mprA//yeeJ//yajO//ugpB//glmU//creB//cusA//mipA//rpnC//polB//yhcH//frlB//yibH//hyaA//katE//ihfB//yfiC//ygaZ//sufS//rsmD//gltK//mdfA//copA//gntP//rep//flgK//crr//mgtL//paoC//acpP//cho//ecpR//serS//valS//yiaU//pepT//hcaB//clcA//tatE//yadG//araG//metN//oppB//tmcA//purC//aspS//nuoB//dcuD//emrD//csgF//malE//slyD//yhiM//ghxP//tamA//yqjA//dbpA//holC//hinT//rpnC//pspF//fucP//yidL//
GO_0008653_5	ycbX//dosP//citT//yibH//lysU//bamA//hypD//gatA//yjjI//tehB//yfbR//gatD//elaD//
GO_0008654_5	yegT//ydjK//plsB//ulaA//ppiC//hycB//lacY//nuoM//agaB//hfq//yraN//thiQ//rof//glpC//kefG//obgE//glgP//yqaB//casB//lolA//ycjQ//norV//dnaA//norV//thiG//dps//fimG//yibF//ompR//rihB//chbA//cueR//kduD//nirB//alr//
GO_0008655_5	lpcA//sfsA//melA//comR//argD//cspD//plsC//
GO_0009050_6	hycI//dinG//
GO_0009052_6	ycfL//hyaD//nuoH//rutG//nikE//yaaA//ygiN//
GO_0009056_3	dtpB//prmB//rplT//torY//ykgM//nepI//rihA//lpxP//rpsE//yqaB//folM//ygeW//codB//ydfD//cedA//pabC//csrD//ruvC//hokB//entD//yraR//yidA//actP//yacG//leuD//rcsB//cdaR//mdtJ//ybjC//recC//rstB//yciA//casB//ldtC//nagK//yhaV//yhjG//narP//sdhC//pgaD//rpnC//mraY//livH//umpH//yciG//cspI//flgA//ydeP//puuR//bglJ//fabH//yhaO//rclR//hcaD//yqiI//treB//mpaA//trpC//bssR//rutF//xanQ//gadA//hypA//purR//eutB//rimJ//hisG//asnA//mngA//yggN//rffG//fimH//yoeE//gltL//emrB//bdcR//ymfK//uxuR//ftsZ//ytfT//lysR//sbmA//trpR//ispF//mliC//yidQ//napA//tauB//potG//msrP//bamD//accB//ynbB//mtn//rluF//yedL//ykgM//elfD//agaC//queD//rplI//ssuC//yehT//umuD//cyaY//ycfJ//rlmI//lsrA//ybcC//glnA//tolB//ybiJ//ivbL//agaW//elfC//ycfJ//plaP//yhjA//ompW//metH//yhjR//bdcR//phr//nusG//phr//torR//yqiI//hrsA//gabD//glsA2//rfbB//ydjL//ygeX//scpC//ibaG//secY//cynT//uspC//yehA//ispB//yehY//bamE//moaA//frdB//yfbU//blr//mscK//ydcI//psuG//intZ//mdfA//arnF//livM//yfdO//aaeA//sxy//yeeJ//ivbL//dcm//fumC//tonB//mdtJ//metF//envZ//insI-1//wrbA//epmA//paoC//garK//lsrC//serS//elbB//fucO//manX//tisB//ftsH//dgcN//agaB//mhpB//fecD//ygfX//mhpA//melA//rplW//yphB//pdeF//astC//greB//rlmC//icd//yehB//bcsQ//deoD//mlaF//yebG//codB//rihB//marR//phnC//yiiE//erfK//tmk//mnmE//nemA//caiE//ymgF//bssS//alkB//ydfH//sbp//ykgF//mutT//yhbS//yehC//ybdH//tsaE//psuG//nupC//nupX//sdaC//xthA//rzoD//insB-2//speE//nadK//tnaB//tomB//iap//mcrA//yahB//kdpA//mocA//ghoT//cysC//nrdA//yhhT//narQ//ybjN//yhaJ//yicJ//uxaA//ybeF//rplJ//bepA//yggN//prc//fruK//prkB//ygfZ//yeeO//narG//yghB//bioF//ybhP//lldR//lsrG//xapB//ydeI//gshA//nrfG//adhE//phnN//higB//mscS//hemB//yphD//ybcQ//waaP//sbcD//speC//metH//caiE//hypT//pgpA//coaE//fruK//sucA//deoA//sufA//fucO//yjeI//dtpD//tdcC//exbB//ygbN//ynhF//citG//yacG//mltC//sufD//rclR//yrbG//hxpA//nrfA//soxS//rclB//rsmG//acrE//lgoR//dam//mlaC//yghW//btuC//pgm//yehZ//yciT//insK//fucK//garP//yddM//proA//cvpA//trmB//raiA//era//yqiI//frlC//lldR//agaW//rpmA//purB//cadB//elfC//dgoR//manA//gcvP//blr//csgB//rpsH//dsbD//ydiO//gltD//rhtB//uspE//clsB//mglC//rpsM//nikC//yedF//rpnB//rhlB//yeeO//phoE//lepB//lamB//sfmF//mppA//mntP//fhuC//dgoK//yhbX//gapC//rfbB//rfaE//ftsY//ppiA//pdeF//yjjQ//rhtA//yedX//narG//cysK//tar//xdhB//caiE//avtA//comR//lldP//xisR//ybhA//ybaT//yhcN//otsA//hemG//mscL//yfaX//murQ//gpp//ubiB//cadB//cadB//asr//waaU//ykgA//baeR//selB//pdxA//hypE//argK//greB//ytfQ//ykfI//folD//hemE//dfp//yggD//yfaV//yihO//rplE//yphB//hyi//waaG//speD//treF//kbaZ//ssuC//rplK//rhtB//ygiN//bipA//trkG//ybiX//rplK//preT//uspC//rcdA//
GO_0009057_5	argD//ghxP//pitA//mgsA//fadL//xylF//ibsA//frdD//rzpR//soxS//yhdH//dhaK//fadA//eutR//fixB//nadC//tonB//rnt//tdcF//phoR//tdk//rpsN//ppk//cspE//opgD//thyA//zapB//mngB//trmA//rspB//ybcC//rcnR//fcl//hisQ//argC//norV//lacY//dtpA//trpR//torR//yehX//betI//yobA//hemN//ridA//yrfG//abgB//ssuB//menD//chpS//degP//bcr//yajD//sutR//
