#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	deaD//waaL//hslO//fadJ//
GO_0009120_6	arnB//waaS//nadE//murD//
GO_0009123_6	clpB//cysD//torZ//yhhT//yhcD//lptE//yqaB//hiuH//gatB//modC//hda//dgoK//yahN//thrC//pyrH//ldtE//rhmR//abgR//rhaM//add//pgi//gutM//rseP//yagI//chbA//glmM//ccmH//hiuH//yiaB//yneJ//parE//ompW//yhjC//yciT//sfmF//ampG//ispF//ascG//dps//yaaY//aroE//hemL//lpoB//hypC//lpxD//napD//
GO_0009124_7	rpsB//creC//gapA//frvA//mmuM//bioP//rutF//serB//agaB//rpsG//ydcT//yehU//paaZ//truA//trmA//uvrA//smpB//nrdI//fhuF//ldtA//lapB//waaH//insA-2//fabB//cspI//ybjX//ycjP//glpX//proB//rpoA//ulaR//insE-1//hcaC//fhuD//ldtC//rho//yedF//
GO_0009125_7	tauC//murI//serB//dppF//gloC//
GO_0009126_7	argI//yheT//fecA//lacI//yqaA//mocA//ldrA//rpsK//truB//idi//polB//amiD//deaD//yjfP//rfaF//yqjA//treR//emrK//rpmB//fre//cmoB//ptsH//mioC//rutE//yhdJ//speD//ybeF//rplB//manZ//yaiV//metG//pdeL//pstS//xseB//
GO_0009127_8	cmtA//garP//rapZ//rpsA//yqiG//gpt//intS//mltF//deoR//fliD//bolA//yjiR//selD//ybeQ//tcyJ//norW//yigL//ravA//ribC//coaA//ygbL//def//tas//lsrG//ybbN//argP//yfaL//tatD//cyoC//sfmA//
GO_0009129_7	yfcU//ubiX//ybbN//hcaD//sfmA//rplE//yddG//hslV//rtcB//yfcA//
GO_0009130_8	murG//purA//fadD//mazF//nadD//
GO_0009131_8	rsmD//ssb//pgsA//fliK//yeaE//
GO_0009132_6	yieE//yajL//tsaD//rfaH//asnS//sfsB//tonB//tnaC//tas//aceF//ynbB//mdoG//arsB//uxuR//hexR//cyoC//cmk//lamB//alaS//ybhA//ilvI//dxs//envC//pdeR//ybhA//
GO_0009133_7	acrZ//syd//glgS//
GO_0009135_7	aroA//spoT//cytR//hybF//lldP//umuC//greA//bluR//wzc//pgpA//rffG//yihO//tsf//sucC//puuP//rpoE//maoP//ymfA//erpA//cusA//lolC//seqA//murE//
GO_0009136_8	glxR//
GO_0009138_7	rbsB//orn//
GO_0009139_8	potB//rmuC//
GO_0009141_6	yoeB//ygiV//yqaE//tsaD//mltD//mdtI//gloC//glpD//ycfH//mhpD//csgD//yjhG//yfcF//yadG//setA//dgcF//sufD//napF//menA//ydiO//ydcS//dcuC//pheT//araD//rbsB//nuoI//ftsX//yhcH//envZ//yddL//nusA//potD//rpoA//fic//metG//lsrD//kgtP//bioF//
GO_0009142_7	ahpC//znuB//ftsL//yjiM//ompN//gltS//etk//patA//fhlA//tatC//guaD//argA//hslU//citC//groS//thiP//sodC//marR//agaA//rimM//rlmN//csgF//aroF//mnmC//kup//yggF//fucA//hflK//
GO_0009143_7	yfaX//yjhH//srlR//rtcR//
GO_0009144_7	fcl//rph//trmJ//yfdR//ccmG//dinB//lsrG//rtcB//rplT//acrE//ompA//ycfJ//phnP//ybiW//purN//nlpA//rfe//opgB//mntS//agaV//cvpA//maoP//cyoB//trpL//yehC//serS//xylE//waaA//mrdB//yhfS//yfcR//
GO_0009145_8	tmcA//glnP//ubiA//wcaC//mntR//fucP//cbtA//ribC//tqsA//waaP//hyi//yieH//fadA//ampG//agaS//lpxH//ygfA//mutT//murA//mmuM//pepQ//lexA//aldA//
GO_0009146_8	speA//rraB//
GO_0009147_7	adeQ//yadM//ynfL//avtA//
GO_0009148_8	ldtA//mipA//
GO_0009149_8	recA//glgB//
GO_0009150_7	ppk//uidR//yfdS//glcA//ykfI//rcsA//potI//arnE//mreB//nagE//yggX//bsmA//mazF//yiaO//glcE//oxc//gadA//thiL//alkB//lplA//frc//hslV//coaA//crp//cas1//rpsD//abpA//mnmA//cheB//ycjY//opgH//gapA//ptsI//ygdG//slyD//ycfH//ssuA//bacA//rpsQ//menI//tdcF//mdtB//yebK//trmO//yfhH//mdtF//yfjR//hybF//
GO_0009151_7	plsX//nsrR//
GO_0009152_8	prpR//lptE//yphD//tamB//sgbE//xdhB//phoU//rsuA//yjhG//rcsA//cheW//ettA//rhaB//yfcA//uxaA//gsiA//torD//yrdA//dmlA//iscA//spoT//aer//chiP//yfaX//cirA//malX//secB//dcuC//ompA//waaY//hofO//tisB//nsrR//potH//clpA//mutT//slt//
GO_0009155_7	sucA//cydD//
GO_0009156_8	iaaA//kdgK//sodA//ccmE//ygjR//rfaE//ffh//mnmC//nadB//tbpA//malG//yeeA//yedA//ulaG//bcr//etp//yraN//yhaJ//truB//dgoD//csdA//ada//rpoA//bioD1//cusA//lacI//rplC//sthA//cdsA//ydeT//gshA//sbmC//ppiC//
GO_0009157_8	shiA//xthA//yhgF//xylB//
GO_0009158_8	lsrR//yebK//gntP//glpC//sdhD//
GO_0009161_7	intQ//flhD//ybaE//ppk//tsaB//rplA//osmY//aaeR//rssB//chpS//ybhG//rcdA//dnaE//pckA//argF//cysH//tatD//mhpR//fimD//pdxB//yjbG//apaH//ygjH//hipA//yibT//waaG//sixA//ycbB//mgtA//rspB//secD//gcvH//hupB//yagG//nanT//yidE//ccmC//insI4//yhdH//ydaC//dppF//fhlA//
GO_0009162_7	yhdH//yfaU//fepC//dgcT//
GO_0009163_6	nhaB//bioF//cheZ//hyfA//ydeE//ulaR//tesB//sufD//btuB//ymgA//glnD//gor//trxC//ygjR//mrdB//lpd//carB//yodD//rlmL//
GO_0009164_6	etp//rpoS//dinD//galM//mlaE//metI//napA//dusB//ubiE//yhdX//gloB//hisB//ilvE//
GO_0009165_7	hicB//tusE//bisC//yieH//poxB//yjhH//cobU//nadB//gatB//cheY//bsmA//rpsP//amiB//proV//bisC//rfaC//sfmA//menB//nfuA//entC//mtn//murR//yggT//ubiJ//yhjG//rfaG//queD//cdaR//ydeM//yaaU//hyfR//ybdZ//yjtD//ybdH//cyoC//emrD//tdcF//yagE//lldD//ruvA//atpH//ybjX//nagZ//hemN//cysC//glyS//srlD//ibsE//flgC//ydfG//nrfD//ymjB//glpG//cyoB//matP//yejA//gpsA//atoB//yeaD//uidA//aroK//dtpC//gapA//malI//zapB//xseB//yaiV//pgk//bioC//dhaL//thiM//
GO_0009166_7	ompR//casD//trmO//ydfD//pyrG//envC//yceO//zipA//yhcH//uvrB//gcvA//yjbF//ybaQ//ymjB//feoC//djlC//rpsH//psuT//nanS//glpX//cpxR//nuoE//ariR//wcaC//rpsP//rseB//yegT//ivy//kdpD//eptA//gdhA//
GO_0009167_8	ralR//chiP//murG//entE//pntB//sufB//lysU//pykA//yghG//dkgB//aldA//ydjH//prkB//dacD//gntT//lepB//birA//waaY//ypdF//satP//waaC//ybhP//ychO//hypE//srkA//dgcM//serS//yceK//plsB//manZ//fre//sbmC//dacD//sfmF//
GO_0009168_9	hisB//fadR//proB//ydhJ//entF//ybjD//symE//sapF//menH//glpR//holA//fliK//uhpT//uxaB//acrE//marA//dhaM//pta//atoS//yqiH//yghO//ade//mnmE//argR//chbC//yieE//yehA//lacZ//frdD//rsgA//
GO_0009173_8	rpoD//folD//rbsB//uvrY//dmlA//mtlA//hinT//
GO_0009174_9	ytfE//lolB//
GO_0009175_9	hokB//rfaQ//rbn//fimF//glpG//
GO_0009176_8	mdaB//msrB//ffh//
GO_0009177_9	chbB//ulaE//waaO//
GO_0009179_8	ybiH//clsC//bdm//mprA//rnlB//yhcD//maoP//bssR//pspA//yiaA//holD//ghoT//xseA//livG//wcaB//dapF//mreC//proX//leuE//lepB//yajO//degS//gpmA//
GO_0009180_9	uhpC//
GO_0009185_7	rssB//acnA//add//minC//glnL//dsbB//truD//yihT//ybaE//rfbC//yraR//cdsA//dcuD//mltG//waaZ//purR//yjeH//dinJ//yiaA//tisB//rsmA//xseB//phnG//hchA//
GO_0009186_7	dgkA//
GO_0009187_7	fmt//aceK//
GO_0009188_8	recX//fadJ//
GO_0009189_8	opgG//
GO_0009190_8	tas//atpF//
GO_0009193_8	paaD//
GO_0009194_9	gudP//
GO_0009196_8	yaiW//
GO_0009197_9	ilvB//
GO_0009199_7	dsbD//yejB//cyaA//rapA//amiC//pbpC//mltG//btuC//lgoR//paaE//aer//ybdO//panD//ydcO//bamB//garD//agaV//edd//recF//yhfS//bcr//rhtA//cysU//emrE//flgF//glpT//xisR//patD//dcuS//yfcR//ynfE//
GO_0009200_7	hypT//gntT//evgA//nrdG//
GO_0009201_8	ypdB//elfA//yehA//ppiD//moaA//phnP//metF//yhbO//guaC//fixC//psd//htpX//rplP//gntU//ycbU//ygfZ//ais//cadC//crp//slt//rhtA//yfgO//tatC//fliD//
GO_0009202_8	yidZ//
GO_0009203_8	dapD//
GO_0009204_8	mtlA//yjbF//queG//
GO_0009205_8	thiQ//ycfL//alaA//pepB//rpmC//maoP//atpG//ftsZ//glrR//oppD//menF//clpS//tyrS//xthA//yraN//hemF//ycfL//pabA//treR//infC//rplF//ynaE//metC//torD//bioB//amiC//mobA//rpoS//cpdA//
GO_0009206_9	yiaN//nikC//xerC//rusA//nadE//exbD//dinJ//yihX//mltA//pykA//ybaE//elaD//waaP//glpG//wzzE//mltC//ygiV//insI3//nikB//ndh//trpD//trkG//yphB//
GO_0009208_8	era//uhpB//
GO_0009209_9	malE//
GO_0009210_9	apaH//
GO_0009211_8	asr//ybiW//ygeX//
GO_0009212_9	yjbH//
GO_0009213_9	yegV//cbrC//
GO_0009215_8	prlF//sufA//
GO_0009217_9	znuC//ybhR//
GO_0009218_7	mhpT//tusB//ygcO//hyaC//phnO//lexA//ais//yhaC//yigB//yoeB//pgsA//fepG//
GO_0009219_7	yibF//exoX//mdtB//ivbL//pagP//
GO_0009220_8	fic//malK//opgE//grxD//dmlA//moaB//
GO_0009221_8	narK//ydhK//cspA//rzpD//
GO_0009222_7	nimR//lpoA//glcB//sdaC//yqiJ//acpS//
GO_0009223_7	hypB//agaD//
GO_0009224_9	murB//ybdH//
GO_0009225_5	ydcP//secA//yqiJ//ahr//kilR//rhaM//zwf//garK//mrp//sfsB//pldB//xseA//yhdH//dgoD//fre//
GO_0009226_6	argC//pepA//yieK//der//nusA//cheA//ytfQ//ybhA//yihU//ydcM//recT//ydeT//yhjC//
GO_0009228_7	yadG//torI//yraR//ibsE//appC//gltI//yjfF//dsbB//yfdC//sodA//
GO_0009229_6	fabH//yehB//
GO_0009231_6	nuoF//pck//hisA//garK//murG//tehB//ppsA//
GO_0009233_6	hemL//yjhB//fhuD//gpt//mcrB//yfeR//torZ//mdlA//yiaL//hypD//
GO_0009234_7	nagZ//ynfF//pdhR//ymgF//ratA//lpxB//cueO//ycjY//gshA//intE//
GO_0009235_5	csgA//rpoA//aroK//yjcE//hisH//ttdA//
GO_0009236_6	ulaE//ybiO//tonB//lplA//frdB//yieK//
GO_0009237_4	atpG//rluD//umuD//malG//dgt//flgD//agaA//yfdC//mhpD//
GO_0009238_5	ybiW//ygfA//dnaX//uspF//nrfG//rhtC//sgcC//thiQ//ansA//
GO_0009239_6	adiC//flgJ//glyS//apt//pdeH//leuC//yeiG//cmoM//
GO_0009240_6	pspC//trpR//yfaV//glpF//metK//
GO_0009242_6	cspA//fruB//glyS//malQ//dapA//ydcS//yihQ//kdsD//ldrA//yebZ//rnlA//
GO_0009243_7	eutB//
GO_0009244_7	sufE//yafS//phnK//prc//moeA//yhcF//smrA//yegS//lhr//ttdB//cobC//otsB//ccmE//agaB//ubiB//tdcG//opgB//grcA//hicA//mgtA//pdeL//fepB//cvpA//borD//argH//yrbG//rzpR//purN//ypdB//
GO_0009245_6	secM//bioA//rarA//glpT//nikB//insA-1//atpC//yieK//grpE//nadC//
GO_0009246_6	adeD//iscS//cpdA//potF//fhlA//ypdC//ftsI//yfcV//mdtB//
GO_0009247_6	hisI//ascG//lplA//argC//pdeK//moaA//msbA//parE//alsE//yghW//codA//ymfA//
GO_0009249_6	pheA//carA//cyoC//
GO_0009250_7	soxR//rpsN//mgrB//cdgI//dicB//yidL//alaA//polB//miaB//lrp//ybiW//glcC//rplB//hipA//
GO_0009251_7	ybgP//hofN//glnH//glvB//aldA//dxs//
GO_0009252_7	cptB//phnL//dgoK//flgK//ybhF//yfcQ//dcuB//tusD//dadA//fucK//cdaR//fdnH//xseA//gapA//cspB//fabR//ppiD//mrdA//gfcE//hyfF//sanA//pykF//gsiD//ubiG//mfd//envR//rpmE//rspB//hxpA//mlaC//araD//pheT//ydcZ//ppk//dacC//pspD//chaA//efp//folC//
GO_0009253_8	yadN//rplI//yjcS//argT//rffT//hisD//gor//opgC//atpG//kdsD//
GO_0009254_8	fryC//hcaC//rbn//holD//yfiE//dacA//flgE//fliM//nrdA//rsuA//
GO_0009256_7	rhaS//norV//hpt//mlaF//
GO_0009257_8	yciA//lptG//yedA//marA//
GO_0009259_6	aroF//yfiE//cyoB//envZ//rfbD//rplP//ybhP//trxA//gudD//paaB//speC//metI//rplF//uvrY//chbB//eutB//malQ//lit//uspB//srlE//insH-5//ridA//yaiW//mdtQ//zapD//tdcB//glpA//exoX//sfmC//agaS//yahI//hicA//rpsL//murR//trxA//folE//cmk//nmpC//ubiD//guaC//cfa//sbp//frlR//rluC//elyC//kdsB//glnD//betA//rnd//rplW//cspG//yedA//crfC//caiE//cysA//cysB//chbR//nrdH//yiaJ//yegD//argC//
GO_0009260_7	deoA//truC//ybgI//ppiC//sutR//gpp//mlaC//dcyD//fryB//sixA//rpiA//ydiP//ydfH//ydjE//kch//ygiS//yojI//yahO//lon//ybeY//ybeF//yfcQ//tsgA//cydA//manY//yigL//hcaB//ribA//rpoA//alkA//rfaH//appC//yobF//ydaC//topB//ftsW//envY//mcrB//tdcE//yiaJ//yidE//cadA//edd//nuoE//
GO_0009261_6	gfcE//caiF//ppk//prmA//ptrA//greB//
GO_0009262_5	ompN//truB//yfhH//nlpD//yfeO//dgoK//ykgA//ugpB//fabH//fliM//fadJ//purT//ymdB//
GO_0009263_6	ompT//hcaT//nmpC//phoU//sfsB//helD//ybaL//uhpB//trxA//
GO_0009264_6	skp//yadG//nfsB//malE//rhtB//
GO_0009265_7	crp//miaA//yebG//rbsC//rlmM//
GO_0009266_4	casB//glcD//cspE//yiiD//ndh//luxS//syd//dgcE//mepM//mdoD//yegT//yqiH//setA//ybhG//dxr//mdlB//ykfI//yfdO//ldtE//prlC//paaG//rffG//ung//ynaI//hscA//speD//cusF//dosP//bdm//degP//rplM//yedA//treR//lon//recG//rhsD//nimR//rhsD//adhP//ralR//sbp//rarA//ybaE//trkH//gmk//yhhT//fhlA//znuC//ptsI//tas//fepE//purD//sppA//srkA//hokE//mog//rutE//icd//ugpA//sufD//hypE//puuB//yabI//rzoR//entA//cobB//ligB//hyfF//ftp//argI//fadM//kdpA//ghrB//mngA//hsrA//ycbX//ushA//ftp//feoC//rpsR//lepB//cdgI//
GO_0009267_5	yfdK//ybhF//yqhD//yghB//thiM//ridA//intQ//mcrB//lptG//mtfA//pspA//cirA//aceB//rplC//rhtC//murP//hipB//insK//ybaT//cusF//eamB//pagP//bcp//yfdO//yeiL//dnaX//
GO_0009268_4	prc//dgcF//casD//cobB//xylE//sapF//flgF//surE//yhfK//dtpA//flgG//aidB//eutD//oppD//feaB//syd//waaJ//yhaM//ybiY//ssb//rhsD//aroG//dsbB//yhhT//tadA//mgtL//metG//
GO_0009271_4	yicJ//ulaR//hybO//
GO_0009273_5	paaE//fimC//rseB//yciT//yjbG//srmB//pgpA//yecS//lpcA//cdd//
GO_0009290_6	rluD//ecpR//
GO_0009292_4	dgt//yebC//
GO_0009294_5	ybaM//mraY//
GO_0009297_6	barA//yjjV//lolA//rssB//ubiA//ydcS//tldD//srkA//panD//mngB//casB//proC//rbsA//ybaO//
GO_0009298_7	srmB//narG//nikA//
GO_0009305_7	garL//
GO_0009306_4	xisE//dgt//lsrC//hcaR//mlc//cydC//hisS//
GO_0009308_5	mocA//ygbN//yadV//yidA//bcp//holA//yhcF//acs//hicB//puuB//yhcF//cyaA//gsiC//atpF//fabB//rplR//ddlB//mngR//rpsO//yadN//thrB//dacA//vsr//alsE//ppc//topB//tilS//
GO_0009309_6	ybhD//otsB//recF//mutY//yggF//accD//fabI//vsr//hslU//sfsA//mocA//deoD//ygeV//ycjR//
GO_0009310_6	flhA//gntU//lpxC//dinB//rapA//yhjX//pbpG//rraB//cmoM//grxD//rutE//cbpM//modB//
GO_0009311_5	thiQ//yadK//tdh//yjhB//cydD//pdxA//ravA//acs//yhgH//atpA//dacC//yjiY//hipB//deoB//thiP//trpL//pabB//narP//pagP//potI//fryC//hypF//yefM//folX//dnaA//ispF//setB//tadA//folC//insB-4//narL//rrrQ//srlE//rpmH//znuB//aroK//ybdH//yobF//gspF//gadW//tsaE//ribE//norR//pppA//chpB//nusA//efeO//yqaE//rssA//yagE//infC//pdeD//yehA//
GO_0009312_6	hflK//potA//iaaA//moaB//mug//trpR//kilR//btuE//rfaE//yefM//iraM//narQ//yejF//hdeD//glxR//dcuB//rnt//cysA//fucI//asr//yciF//rhoL//ybiA//mdtG//katG//tusA//yciK//paaC//mscM//iscA//ybgP//rof//pdxH//uhpB//cra//ygfX//ribC//leuA//ldcC//uup//ybdO//mscL//
GO_0009313_6	phnG//yohC//yggT//ispH//gnsB//ybcQ//rclA//htrE//lpxP//pyrG//
GO_0009314_4	ybbN//yqjA//dusB//abgT//argO//glk//ybjC//yrbG//ynfH//yiaN//fimC//rsfS//yaiW//yfbS//trpD//mhpC//dnaG//fryC//envZ//glmS//rpiB//ymfK//livJ//araF//flgJ//psuG//murQ//ruvA//moaB//pppA//ybfE//frlR//surE//rhaT//grcA//entB//yagE//cueR//tmcA//ynaI//mrcB//ynfF//aaeA//mtlR//hslR//iscS//pstA//ibsE//hypA//iscX//panE//nupC//ldrD//trkH//chaC//flgG//rutC//gshB//tdcE//uhpB//znuB//yecS//dusB//exuR//gmd//cdsA//rpmH//dapD//rseB//mdtP//cmoB//rlmB//gltB//ssuC//yahF//sufC//yajD//flgH//pta//zraR//yhdJ//srlA//lgt//hisS//lrhA//yfiE//lsrK//yieH//fruA//nuoE//astC//ompW//
GO_0009372_5	yjeH//citC//nrdG//
GO_0009394_6	yajQ//galR//kdpD//rsmJ//ghxP//aspS//shiA//
GO_0009395_6	crcB//
GO_0009396_6	minC//kdgT//kduI//fucO//mdfA//amiA//luxS//rhaB//truA//lpd//yeaV//
GO_0009397_6	wcaJ//ynhF//
GO_0009398_7	sgcA//
GO_0009401_7	entC//nrdF//menH//glcB//yhcH//srmB//kdpE//ggt//mukB//ydcP//tilS//cstA//wecE//ampH//emrK//ydcR//mnmA//cspA//tdcG//apaH//sdhD//rsmF//greB//yhaC//ycfJ//tmcA//flgE//atoC//bluR//yidD//bglB//pppA//cysB//mobA//yebQ//ilvH//gsiA//ybdH//fumA//cspB//rffH//dut//ilvI//ybjN//aaeB//caiB//ybjD//stpA//frwB//emrY//ompC//tcyL//
GO_0009403_5	xylG//
GO_0009404_4	mdtN//pabB//ynbC//wcaB//malG//frvR//fimI//gabD//ygfA//artI//insB-4//nhaR//sgcR//ycfL//nrdE//ribA//borD//narK//mcbA//
GO_0009405_4	dnaC//alsK//maoP//
GO_0009407_3	mscM//yjjW//ybcJ//ykgF//uvrY//bioH//mpaA//idnT//yihL//dgcF//mdtD//narI//shiA//ftsA//rraA//yibF//
GO_0009408_4	glxR//ahpC//bdcA//rsmJ//potF//pagP//yfcA//citT//yibH//ftsY//yfdK//pyrH//rfaF//trmJ//feoA//hldE//glpG//ftsN//iscR//pntA//rusA//pfkB//csdA//yagF//pdeF//yebZ//yhaV//bamB//sucD//yifB//prfC//bamB//yhgF//yidD//yobF//hns//yibT//diaA//mrdB//yjgX//hslO//rutB//yieL//rlmG//rcnA//rbsR//yadV//cpxA//murE//yeiL//dppD//hslR//rpsO//crp//hflK//malK//waaF//mdtI//cysW//yciA//
GO_0009409_4	ytfT//frlB//yceO//modC//lldR//melR//ybaT//garK//ssuE//ydhK//tynA//aas//rplN//rspB//treA//wrbA//evgS//flgA//
GO_0009410_4	pdeR//
GO_0009411_6	ogrK//rpiB//ibsE//secF//gntT//melA//srlA//yedA//dut//yibH//ghxP//fhuB//yhhY//uhpA//ydiV//ftp//
GO_0009415_4	scpB//
GO_0009416_5	asnS//fimC//baeR//hpf//thiG//phoB//thrA//yihI//nagA//yciG//ygjR//mprA//galU//purL//yghW//rrrD//bglH//recN//appY//
GO_0009423_8	menA//exuR//ycjQ//msrP//
GO_0009432_5	kduD//dadA//nrdE//prc//elfA//eptA//zapA//aceF//kdpF//rof//yadN//yeiL//gltP//mpaA//yehC//yidA//eutA//cbrC//lolE//rssA//phnK//yciG//
GO_0009435_9	nirC//rsuA//mtfA//cysM//hcaB//cpdB//zraR//btuF//glnS//
GO_0009436_6	csgA//mltD//ahpC//spoT//
GO_0009437_5	perR//yieF//cheZ//fimI//yjjV//aidB//uvrY//
GO_0009438_5	mdtB//ygiV//nlpA//ldtD//ygbM//narJ//parC//miaA//narI//ftsY//glcF//wecE//ibsC//dmsC//adeD//ccmF//phnO//rpe//narJ//potH//hfq//tynA//flgM//ykgA//elbB//grxD//qseC//uidC//galE//tcyL//
GO_0009439_5	fkpB//ilvL//dppB//
GO_0009440_6	tap//dtpA//gmd//
GO_0009441_5	nrfG//flhA//leuC//nikR//aroK//
GO_0009442_7	yjbF//fieF//hrpA//fadD//csgE//
GO_0009443_5	ybiJ//cpsB//yfaU//
GO_0009445_5	iaaA//ydiQ//yegD//katE//rbsD//rsmC//potH//menI//sfmA//yjiA//
GO_0009446_6	tdcF//ycaN//
GO_0009447_6	ynfF//xylH//araB//ileS//paaH//udp//ykgO//adiC//
GO_0009448_5	ccmE//ygbL//priB//entH//
GO_0009450_6	ackA//frsA//rnt//ycdY//
GO_0009451_6	ybcF//rpsH//fimA//hyaC//insB-4//nirB//pagP//insA-1//tadA//rplA//malE//uof//rsuA//kefB//rho//fixA//paaB//amiB//rhmD//rfbD//endA//yehY//ydfD//glyS//pth//thiH//qseC//mdtM//hybA//yhcH//artJ//purR//ymdB//yjiA//rsmA//norR//narY//yjhB//abgB//kdsD//tnaA//frlR//lptC//mltC//katG//pgrR//paaX//msrA//crcB//pbpC//ibsC//torZ//tomB//lptD//selB//rne//truA//yraK//appY//queA//glsA2//dcuC//aroE//lsrA//lepB//pldB//ytfT//argI//dapB//ilvA//rpmC//yehD//modB//nrdD//acrE//sohB//hyaA//gsiB//dxr//iclR//mscL//pdxK//yihT//
GO_0009453_4	dgcM//
GO_0009454_5	metH//
GO_0009593_4	eptB//dosP//
GO_0009597_5	phnN//
GO_0009605_3	yajO//yfcQ//bssS//ugpC//rpnA//narU//ugpE//infB//adiY//yiaF//modC//hscC//yggE//mepH//murE//glcA//rph//mtlA//zipA//coaE//mepS//rpsJ//parE//grpE//symE//acpH//gspE//yhdW//rplQ//cmk//hcaD//kbaZ//yhjV//pepA//waaY//nrfD//purR//fadL//nfsB//cpxR//dgoR//ygfI//lptG//rsmE//ldrA//yraI//mdlA//ybhJ//hrsA//rhaT//ygeV//rdgC//hcp//insE-1//znuC//dcuA//arfB//lapB//cspE//yiiE//yfgI//pstC//alsB//pepA//dgcE//nhaA//thiL//rlmE//acnA//hslO//ackA//pheM//aspA//ggt//rusA//lysS//ynbD//
GO_0009607_3	pncB//prpR//sufB//tufA//csdA//tcyN//clsA//nuoN//glgX//hcaB//cbl//aspC//tdcA//ftsI//
GO_0009615_4	ampH//bamB//lnt//sdhC//flhD//hsrA//phnC//ybiO//lipA//patA//csgB//pdxJ//pdxA//rimK//
GO_0009628_3	yahF//cusR//ydgA//proP//yidP//tas//pnuC//nuoF//iscS//yhhZ//ispU//argE//ybbN//speG//pgi//ogrK//hyi//parE//xthA//bssR//ygbL//uof//glpA//fucO//yjbF//fadK//rlmC//pgaC//holA//mppA//secF//fsr//deaD//rsmF//kdsC//rcdA//cusF//rhaA//nudG//cyoC//sufD//basR//leuD//allS//nlpD//slyD//yjjQ//rseC//rfe//rnt//mlc//hpt//alkB//intE//ycjU//yobA//flgE//phoU//fadM//fruB//ybcM//speC//phnJ//carA//rlmA//frr//efeO//hsdR//lolC//frwD//mglC//yraR//chpB//frdB//gmk//ykgA//truC//rlmN//tdcG//lptC//ftsI//ycjD//yihR//hcp//galU//mhpT//metI//nrfC//gltK//yidR//afuC//pphA//cas3//ubiJ//trmJ//mmuM//hemE//mhpT//serS//rplM//yraK//rpsJ//yehB//treA//afuC//sapF//rplE//ychO//ynaE//slyD//cvrA//sdaA//lysP//yqeA//murF//trmB//ihfA//torS//fiu//tehB//potB//atpF//ychH//arsB//flgE//yojI//hokB//gltP//dsdA//psuG//dppD//rhaB//ybaO//glpK//yneL//miaB//folE//secG//yiaB//lgt//rfbC//iraP//ynhG//yiaT//aroF//purB//pheP//potE//gltB//yahB//yiiD//yqiI//aspS//nagA//pcnB//ttdR//livH//lspA//yjaZ//gltB//ybcQ//paaE//cyoE//rep//cysU//tcyP//cysW//rph//rtcB//ssb//fbaA//eutB//accA//rfaG//agaD//yidP//rraB//rpoE//wecC//yraR//pgk//lexA//fur//lplA//pbpG//fpr//cyaY//lgoT//ycdY//btuC//dmsA//ybaK//yggP//uidR//ydcP//ubiE//radA//gspE//aspC//aroC//nagK//secA//xapB//ybaT//hybO//hybC//priB//barA//era//mglA//ypdB//ybgI//arfA//gnd//cusF//hypC//araE//ackA//cmtB//nagD//radA//yddG//hycI//xylR//epmB//ettA//mhpR//yifB//prfA//fieF//
GO_0009635_4	cspA//
GO_0009636_4	mngR//ynbC//ymgC//alsC//cyoA//mioC//rimP//upp//pfkB//bamC//fdnG//gluQ//grxD//kilR//nimR//caiD//hypA//ypjD//hofP//lasT//dsbA//ibsE//ybgQ//chbR//ydhC//msrA//xisR//prfC//arnA//yoaB//mdtL//
GO_0009637_6	syd//
GO_0009651_5	def//ftnB//amiB//sfmF//fabA//mglC//
GO_0009653_3	ravA//
GO_0009696_4	azoR//
GO_0009697_5	kdpC//
GO_0009698_4	gntK//
GO_0009712_6	rplM//pitA//dnaN//rcsD//hflD//hypA//yeaV//nudF//yfhM//ribF//
GO_0009713_7	pinR//sfmF//ykgM//pmbA//malF//rarA//yiaU//yqeG//artM//
GO_0009719_3	rnhA//amiD//hflC//
GO_0009730_5	ycjR//
GO_0009743_5	yfbS//
GO_0009785_5	aroK//
GO_0009850_4	lysA//phnJ//yojI//ybaE//entH//surA//yciK//cbtA//atpC//trkH//phoB//tsaE//sgbH//
GO_0009852_5	alaS//pepQ//fdhD//zntA//yfdO//acpH//yqeF//yjbH//lysP//nrdH//rcnR//yagJ//tsaD//
