#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	yjiA//fre//ydjL//fabZ//
GO_0006808_4	pta//dedD//sucA//
GO_0006810_4	cbpM//ynfK//hyaC//yhbX//selB//ais//napF//gadW//hybE//crcB//nrdG//sapF//ulaE//acpS//dicA//metR//entH//cpxR//rplS//dtd//trxC//rhmR//betB//ygaV//gltP//yhhT//ssb//mraY//argH//yjiX//ribE//ydjK//gmd//ydeT//wcaC//frsA//ydiO//malG//raiA//xisE//deoR//csgB//accB//ldtD//rlmL//hscC//yidC//malE//hybA//gcvP//ccmE//ppiC//lpp//spoT//vsr//deoD//pepN//gnd//frvA//pta//mdtC//nikA//arnD//srmB//atpD//fur//pspF//queA//yjcS//leuD//yfgO//livH//astB//prkB//lysS//coaD//yagE//rfaE//hemE//csgB//nfsB//eamA//degQ//dhaL//asnB//yfiC//mdtP//pdxB//eptB//pspC//barA//metH//srmB//nagZ//grcA//cysQ//dacC//lptC//yeaV//rbn//mobA//hybD//yhbS//mltD//rimL//rarA//hyi//afuB//hha//ppiC//hicB//citC//melA//norW//rayT//sugE//truA//hyaC//fliD//ralR//lgoT//dusC//xanP//bioC//rbfA//pdxK//cbtA//ttcA//cadB//ybfA//gcd//rluA//cpsB//macA//phr//ndk//clpS//argO//bcp//srlE//puuD//cadC//clpB//hybB//yhjV//dnaA//argO//rbsA//trpB//aroB//frdA//cfa//rpsH//torY//dcuS//lolA//yidP//lsrR//glgP//cysU//flgA//phoU//serC//galM//ghoT//gapA//deoB//trkH//gatB//ydbD//opgE//sgcX//xylB//puuD//lpcA//rbsB//tsaD//rnpA//ygjH//ftsN//dacA//garK//rplT//ydeI//marR//nupX//cheB//ycjP//yfcS//rplL//mgtL//narG//hxpB//xdhB//rtcR//melA//phnP//ydiK//proQ//ydeO//yhcN//hprR//feoB//mreC//mmuP//secM//ilvI//alsC//pyrG//ftsH//yjeH//nsrR//rlmL//atpD//fdnG//ygcW//cpdB//dkgB//secE//rrrQ//ybdR//proV//ybgP//nadK//lepA//ybdO//uvrA//phoA//cusC//rfaH//yobA//citE//hdeD//creC//betA//mocA//hybA//msrC//ubiA//rnlB//ydeI//sbcD//gadB//lptA//cspC//waaY//mntP//bioC//pyrC//satP//yfaL//flgB//proC//yidA//recG//plaP//motA//yphC//fcl//tisB//yieF//mltA//rpnA//thiC//proW//panC//prc//fhlA//yaaA//poxB//rnd//mobA//bipA//xisR//glnE//nadC//rsmG//frdD//tsaC//alaC//pykA//yciT//glmM//flgC//ulaE//mnmA//mngB//focA//rnhA//nagB//yaaA//mepM//gudP//asnA//lsrD//tqsA//deoR//cptB//ybaM//treA//yoeB//gapC//ldtC//fmt//tauA//luxS//bamD//manA//nhaA//pstS//aphA//soxR//dicC//pgrR//degS//tsaB//ydcO//cspA//hisD//recJ//yqaE//ygjK//hypF//srlD//gltD//aspS//yedL//mrr//mcrA//aceK//gsiA//insB-2//nrfE//gltI//yjiY//ybiT//ycfL//puuP//metN//galK//aroA//ldrA//ynfE//atpD//rcsF//yafS//flgE//hupB//ybaO//yciV//lldD//sdaA//asmA//uspF//gatA//fadA//recO//adeD//ygeR//ribB//yqiG//ypjD//ybaO//dsbC//lacI//fur//yeaD//ftsI//rffG//abgT//pgpB//ftsZ//ftsX//uacT//dgcT//bhsA//gntP//xdhB//potG//flhA//umuC//dsdC//rpmE//fucI//dgoA//yeaD//spoT//rlmJ//thiP//fcl//nrdE//elfA//surE//insH-6//sxy//accB//ybhG//sthA//ybhJ//hemF//metH//ribB//yheT//nusG//cysN//yihX//glgS//cysG//gldA//flgI//frwC//putA//mhpD//yciH//dicB//ftsX//sgcX//cyoE//rffH//elfC//argH//ulaG//paaE//ilvE//pmbA//rfbC//rplP//csgA//rnb//ldtD//murB//dapA//rutR//arnB//frmB//yqjI//emrE//yiaT//ydcZ//gadE//lldP//yqiJ//ybdM//msrB//mltF//ybdR//hpf//ydjL//xylB//rpsG//arsC//recO//rplB//ftnA//yehC//wzzE//folP//hcaF//deoR//trmH//glgB//tsaC//tisB//dapF//valS//hrpA//yqiG//betA//fbp//treA//fryA//abgB//rseB//fdnI//rng//srlR//arcB//speC//wcaB//borD//soxR//thrC//fnr//uidR//der//flgG//rplE//fau//bioD//kdgT//nmpC//cyaY//narY//selB//flgA//ftsL//ycfH//pgi//glcC//aes//insI-1//waaP//rzpR//ybiS//rplI//yifB//rhtB//rhtB//thiE//mmuM//yfeX//rnlA//uhpC//torC//lpxB//pgpB//yciG//ruvC//rimO//yihV//amyA//rho//oppB//ynbD//bdm//rpmE//gppA//ggt//ycfJ//cspA//pstS//yjiQ//ybiA//paaX//ubiI//rhaT//xylF//lpxH//nagZ//sucC//ybhR//hipA//cobC//rhtC//nhaR//oppC//ubiG//acpT//ybiV//hybG//manZ//murG//norV//ada//ilvH//ftsB//rluD//brnQ//cyoC//zitB//dapD//dnaX//moaB//cmoA//ychO//pagP//rhoL//yebC//msbA//tus//aroF//chpB//ibsB//creB//ytfR//potF//cheR//aroH//oppD//livF//tauC//cpoB//cheZ//iraD//dinI//ycfL//bioD//gloA//sohB//rluB//rpsS//pcnB//yjcE//galE//adiY//ssuA//insF-1//mhpA//
GO_0006811_5	yjhH//tusA//ubiJ//pdxA//ycbB//dxr//csdA//pta//rsmD//kgtP//glmM//sulA//mrdB//dosP//fepA//ymgF//ulaF//tsgA//rsmG//sgbU//malE//ybiV//argF//glnL//rclA//dgcM//arnF//gppA//agaR//rpmA//nupG//feoB//sufD//yjhI//yfaX//phnN//glk//yqhD//nrdR//ytfR//yqiI//fdoH//sufC//abgA//amiA//sufC//mgrB//eutK//argA//yhgH//lrp//ydhJ//slyD//xylE//efeO//hyaD//narZ//ybdM//cadC//waaB//ubiG//rplK//cas2//rplA//pliG//yhdX//infC//dgoK//ppiC//yfiC//glmS//gyrB//amiC//kbaZ//rsmA//rluA//yjjX//pyrH//srlB//hemN//nagA//rpsO//ttdB//ypdI//rutF//kbaZ//ugpC//gltP//gyrB//glcE//thrB//phnI//pstB//pstA//yidH//secY//dedD//asnC//metH//yccS//emrD//topAI//rfaC//trmB//prs//insH-6//yagF//yqhD//sucB//guaB//cadC//abgB//ycfJ//pgi//pstB//mdlA//malX//barA//yhdZ//dnaN//rcsF//tomB//bcr//fabA//dicB//tdk//rpmB//hemB//dcp//rfe//hyaB//emrY//nrdG//dicA//sutR//rpnA//ccmA//cysD//rfaB//yedA//malE//sucB//rspB//ybeQ//tolR//fau//yneL//prmC//waaG//xylH//adeQ//nuoN//slmA//ppiC//rplJ//rplA//uidA//yhdW//smpB//aroP//kdgR//dsbC//hybO//kdsD//glpF//rnt//fadI//psuG//ompF//nudF//ybjL//ymdB//pinQ//ybgQ//pyrE//aceA//yegD//leuO//dnaQ//frlA//ydcS//secG//yahN//elaA//gcvA//yqaB//ycfH//lepB//yeeY//fabI//torI//torR//yahK//livJ//fhuD//puuR//ssuC//rpsT//rpnD//rplQ//tatE//murA//folA//ypdI//tdk//sbcD//phoR//bipA//preA//xisR//entD//avtA//lacI//hsrA//gutM//mglB//sgcE//sodC//bioD1//ydhJ//ybhJ//tktA//setC//ldtA//intF//sdaA//trpR//ugd//rhlB//ulaG//acrB//radD//nuoL//asd//mglC//glcE//xylR//aas//sdaB//ftsI//murQ//yjhP//hslU//ygfZ//surA//rnhB//glcD//yjeH//thiP//yhcD//dmsA//hyi//puuD//ybbY//fdoH//garL//rnlB//cbrC//yihU//agaA//thrS//yidC//mdtM//yfcF//ampE//frmB//fixB//ribE//trmB//tyrS//wbbK//pykF//tauB//yhdZ//rof//btuE//cbrA//fdrA//paaZ//frr//dinI//deoC//galF//nudB//ddlA//tsgA//hslO//
GO_0006812_6	waaY//pitB//yhhZ//rlmB//sucB//adiY//rffG//lplA//yghO//pgaA//queC//proQ//cbeA//sucC//sufS//selU//alr//tdcA//fixB//yiaB//ldtC//yihS//rlmJ//ldtE//cysG//nac//tatB//frr//yggP//ampG//rcnR//rpsQ//ygcR//alkA//rusA//yciF//uidA//ushA//yhbY//fadD//recG//narZ//artQ//ibpB//pgaD//mtfA//yhbS//murF//rhlE//bglJ//yidA//tatE//prmA//cysG//yegS//yccA//ybdO//rplO//recJ//radA//acrD//yidR//ycdX//murI//murE//ypdC//rpsT//murC//yidD//sfmA//paaK//intZ//aes//modC//gsiA//hisP//yhcH//glnP//mlaE//yahD//appY//malS//thiM//emrE//exoX//vsr//coaE//yiaU//psuG//yfeD//envR//ybjG//ybcJ//bamB//lpxH//clpB//phnL//mrr//ykgM//fklB//malI//abgA//ycfJ//leuA//queD//murG//intS//yhhY//baeR//yodD//aroE//gpmM//paaJ//avtA//nikR//dsbG//rpoA//ulaR//cho//ccmE//ispH//menE//dinB//xdhB//ispG//yahN//rlmL//acrB//fimD//dacA//rimO//intF//actP//gntT//acrA//ychO//sdhE//ribA//prpC//sppA//rutB//ftnB//rrrQ//pntB//ulaR//ubiE//ascB//recR//csgE//gabD//tauC//fdnG//pflB//ybiT//tbpA//pstA//yjeH//cysB//ftsQ//cysD//zipA//trpGD//envZ//hprR//tar//mrp//dacC//hpt//surA//hflD//ybiV//
GO_0006813_8	chbA//tsr//yfgO//menI//bioD2//ybjC//pbpG//gor//thiQ//yggD//agaD//opgG//lysP//cdd//nrdD//dnaC//yfhH//
GO_0006814_8	rlmN//rhmD//yagE//chbB//mutM//rpiR//lldP//yahO//nupX//
GO_0006816_9	pyrB//
GO_0006817_8	rusA//mdtO//yhiM//trmI//yidC//garP//metK//dcuR//ytfT//
GO_0006820_6	chiP//sfmC//cheB//tnaC//yoaA//mhpA//yhdJ//dnaE//hslU//ygiB//ftsK//yedX//mrdB//ybhF//tolR//rplO//ssuB//pheA//aldB//yfbV//nanT//lldP//exoX//nirB//aroE//menC//insI4//yjhH//ibaG//atpC//ybdN//ispB//flgG//fadB//glcF//ynfH//pepB//tmk//yggP//upp//arnF//ybiJ//gatZ//cptB//mlaD//mdtB//sapC//hyaB//ycjU//slt//xseA//gppA//hisB//ydcR//ybhS//mglB//lexA//groL//baeR//otsA//yidD//ppiA//yjiM//napD//rplA//yfaL//paaF//leuS//rcsB//dosP//ispB//selU//ydfH//plaP//glpB//ibpB//lnt//abgR//paaG//hokB//melB//ibpA//accB//amiD//ybjG//bioD//yadM//syd//dapA//yaaJ//rlmA//comR//argF//malI//yebZ//mltC//agaR//ahpC//pyrE//flgC//ampH//gsiC//rssA//hemN//alr//sapB//lysU//dsbD//argG//ompN//fetA//nepI//aroB//rluB//mrr//patZ//ldcA//ibpB//msrQ//cadB//paaH//rpsR//gapC//yjiR//fre//yfcV//speF//aes//pstC//bamD//torY//cas3//baeS//pyrF//metG//amiB//tar//gltD//rplY//ptrA//secF//cca//dsbD//gcvP//rsmI//ybjG//fimF//ivbL//epd//accB//sdhC//csiR//iscA//yidH//ycjY//ulaR//patA//aroA//kdpE//yihV//ycfS//nrdF//dgcZ//lyxK//xanP//nikB//ybhP//hemL//frwC//rsmI//fdhD//ybhJ//cusA//sad//helD//rplI//setC//
GO_0006821_8	ilvD//malI//marA//
GO_0006824_8	ispU//rclB//yhhT//speD//
GO_0006825_9	iraD//gstB//galT//rpsI//ycbX//pstA//yphB//
GO_0006826_9	msrQ//rimL//panB//pinR//atpE//insE-1//dapD//bacA//yajR//allS//ybjD//potF//lamB//dbpA//hycA//hybC//rsmD//
GO_0006828_9	rseC//araD//secY//
GO_0006829_9	tolC//citT//yihU//yqiJ//flgB//yjiX//rutC//phnG//paoC//
GO_0006833_6	kdpB//
GO_0006835_8	ybfA//rpsA//rlmN//rpoE//gcvT//glvB//insI1//hypC//dnaK//aqpZ//matP//rluD//ydcR//mltC//
GO_0006836_5	ddlA//lldR//cheB//rplI//rpsH//wzzE//ftsL//clpA//fdoG//dapA//
GO_0006846_7	yihP//ybjD//
GO_0006847_8	kilR//
GO_0006855_6	ybiV//thiE//fucI//ycjD//msbA//perR//narU//htrE//lpxC//adk//yagI//ecpR//potA//emrK//abgA//msrP//moaA//ymfK//aroE//puuB//ydhK//mutT//glsA2//hypF//umuC//rhlE//purB//sbmC//uhpC//rpsM//araA//glnS//xylF//fis//rpsN//pbpC//rplE//yihX//ypdF//ychF//rlmG//phnP//yfeW//uxuB//pheP//tyrR//ldtE//hybG//yodD//hscA//potI//fadL//barA//aroE//alsC//lptC//waaY//iscA//
GO_0006857_7	alpA//eptB//sdiA//fnr//argS//hyaB//rluB//leuD//viaA//xylG//lpd//chaA//yfbR//dnaK//tsaC//rpoH//yihL//nsrR//btuD//galF//trkG//ypdI//uxuR//dhaL//clpX//phnP//mutS//
GO_0006862_7	pgi//
GO_0006863_7	hemG//insI-1//hisQ//malZ//glnA//rclC//rlmH//waaA//
GO_0006865_6	gntP//livG//qseC//bioD2//ygiB//alpA//xapR//envC//hcaD//ycbX//yhjV//yagJ//hinT//fimE//greB//yhjB//torY//fnr//cspC//pth//truB//uxaB//csgA//yraI//yoaB//kch//ubiA//atoC//ytfE//ynhG//bisC//hokE//yjiQ//cdh//acrF//arcB//torR//fadD//hycI//ppsR//yqaA//osmY//zapB//ybhD//murB//dsdX//priC//malI//cbeA//cbrC//acrR//rpnA//cecR//add//csgG//ftsI//greB//pspC//matP//yjbE//hypA//ypdI//queD//mrdB//ldtC//folC//uxuA//eamB//acrB//bioP//yciK//yiaL//mgrB//
GO_0006868_7	ybgP//gfcE//gcvH//
GO_0006869_6	yidD//rpmB//agaD//narG//glsA//hyi//lspA//lrhA//trpR//hybB//recF//marA//yhaV//yjhB//glcF//dhaL//gspF//dmsA//proA//fruK//fepB//astC//clsC//
GO_0006873_5	fhuC//mmuM//ybhD//ettA//yohD//fabB//uhpC//ldcC//cpoB//yjbE//yijE//dnaQ//mioC//hypA//idnO//pabB//wecC//adeP//ndh//soxR//ebgA//murD//ycaO//menH//fadI//metQ//hflX//insA-1//ynfE//phoE//
GO_0006874_8	phoE//
GO_0006875_7	nrdG//setA//sdhD//gntU//hdeB//yciH//ldtE//ytfT//yoaB//dtpB//lldD//hfq//alkB//yjjQ//cpdA//marR//afuB//ridA//copA//dgcN//napD//
GO_0006876_8	flhC//
GO_0006878_9	btuF//dnaJ//dld//cysS//ymjB//
GO_0006879_9	csgE//selU//nfsB//frlR//deoB//srlB//cytR//hsdM//sapC//dicA//waaS//
GO_0006880_4	yeeO//pbpG//melR//
GO_0006882_8	dusC//
GO_0006883_8	murE//lpxM//ybaO//
GO_0006884_4	glxR//pdhR//nlpI//gspI//murJ//
GO_0006885_9	cysA//oppF//infC//sgcC//mtlD//ydhJ//nrfF//ribC//fdx//sgrR//ymgC//
GO_0006886_5	hybF//ybiX//rapA//rpsE//ynhF//pdxA//secB//shiA//yqaB//yafO//eamA//
GO_0006928_3	cysP//pepQ//yfdR//hcaC//amiB//btuF//trpGD//aceF//rluB//nusG//bdcR//casA//ydeP//cof//def//uacT//ilvE//ade//murI//serS//oppC//yjjU//pgm//dut//elyC//ygeW//nhaB//btuE//mdtO//thrC//ybiA//rpsB//lolE//ftsX//yhdZ//flhA//frvA//gcvP//gstA//nanR//yjcE//malY//yeaE//yhcN//
GO_0006935_4	metH//yhcN//metG//yjbH//ydcI//parE//hha//clpA//lsrB//ychO//manZ//maoP//envY//yjjV//yqiH//sfmD//
GO_0006950_3	gspE//nikD//menA//aphA//rlmH//hxpA//rpsP//fliA//narQ//fhuC//opgD//tolB//truA//yqiG//yajL//phnM//yqiI//malE//greB//atpD//hicB//fimI//yfeW//cusC//rsuA//ykgA//rtcR//csdA//aroF//waaH//glvC//yagE//yhhT//yahI//yebK//dicC//yjhG//acrB//rzpR//fucI//lpxD//ybiA//ulaB//glcB//fdoI//cadB//yagE//cpxA//fic//ydfH//fabZ//mgtL//rplT//rzpR//oppC//lexA//aceA//gltD//ftsK//pnp//tdcG//rplI//phoU//bisC//kdpC//dsdC//ybiX//pnp//asnB//fixB//elaD//ybbY//hchA//yfgI//pncB//agaC//gpp//nhaR//yqeA//mraY//aroK//proC//ybaO//mdtQ//ogt//fucI//alr//dgkA//serA//ascF//eptA//prkB//fadH//pyrG//yidD//ompF//fdoH//lpxB//sbmA//torY//rhtC//rpmJ//mreB//ygaV//wecC//ydjH//aer//ssuB//ycjP//ybaL//pepB//hofQ//yagG//ddlB//tomB//fadE//rplX//argE//nagB//lsrR//ypdB//infC//tusD//chaA//gltK//nfi//potF//rhtC//cheZ//mutH//yjhP//serC//gabP//folP//yegV//fumB//frdB//yhcD//rplN//cusS//asmA//fadE//zapB//menE//ridA//lacY//proX//murE//tktB//hmp//kdgR//crl//phnP//tsaB//nadC//uvrC//ygiB//mglA//folD//gabD//ybcQ//aldA//deoB//dgcT//yadG//ygjK//fhlA//sad//bdcA//bluR//fadM//rppH//xanQ//lptE//suhB//kdsB//rfaB//clcB//yhjC//glnA//yfgO//rcsC//gmk//zapA//moaB//pgaC//yjiQ//baeS//dicC//gabD//pepA//fliS//codA//ais//dcyD//narL//hofN//nagA//fimA//bglH//ycaN//cynT//tatB//pepB//mdtO//tar//rhaS//agaC//ybjI//uvrD//rsfS//kch//ptrA//glnP//yohD//recQ//dapF//hyfC//lolD//phoB//ybfE//ubiE//glpR//gcvH//treC//mnmE//fadK//frwD//nhaA//rplL//lysP//menF//nac//torD//yieE//ygcO//dld//cas2//metL//yaaA//aceA//prlF//rlmB//yidR//yieL//ydiV//arnB//sgcR//iscR//sapF//sdhA//thiI//queE//acrR//nth//mdtL//napA//epmA//mdtQ//glnK//rplX//mngB//selB//atoC//ubiJ//nrdI//trpS//yobF//hisM//arnB//xthA//hycA//comR//arsC//cdh//feoC//mrr//araB//aroE//yafS//hdfR//yjjG//metF//cydC//galR//sgrT//tisB//dgcJ//pliG//ulaB//rsmA//yihX//thyA//dfp//asnA//fumB//glrK//nhaA//rimP//dsbG//yhbS//yajO//yfgI//ydiP//ariR//msrP//rsmI//aaeR//tdk//tufB//mrcB//ybhI//lldR//ybiH//rzpR//ccmD//yfgO//kefC//yjaZ//ribE//yehX//pepA//gadA//cca//nemR//mtn//glpF//rlmI//fruA//tolR//putA//pphB//yahI//yjbE//yggF//ccmF//aspA//tdcA//pepD//rplP//nlpD//intQ//fhuB//dcyD//rfaH//arnT//recE//speA//ariR//paaE//dpiB//aer//ribD//frvR//arnF//clpS//yciF//rcsC//hxpA//yhjD//elbB//ygfI//putA//dapA//paaK//marA//exuT//yidL//ivbL//ruvB//alsC//dgkA//yehA//recN//thiE//aroD//ydcP//ygaZ//bamA//secD//lpcA//dpiB//mdtO//clcA//ribF//yddA//yfeO//argP//copA//hyaC//recN//frvR//malX//aroA//ycbV//focB//ubiG//ydiK//chiP//curA//ligA//hipA//ybjG//paaD//basS//gmhB//fepE//glxR//yiaA//lpxM//nirC//setA//ilvI//dsbC//ykgO//metG//corA//surA//mocA//hyfA//cysI//yqjI//potF//dgt//mrdB//dnaE//sdhB//tusD//yphD//araH//lysA//ygjR//potI//ppiC//ygiB//ybiX//thyA//ilvC//xylH//yiiM//cho//serS//ftsY//tktA//appB//ydiB//waaC//gntR//csdE//lysC//rplL//yjhP//eutN//cysC//yfeW//yigL//tpx//eutN//yebG//cusC//prfC//deoC//mppA//frdA//ubiG//nrdD//cspB//gor//yehB//yeiL//dinJ//pphB//yhbO//yjiY//infC//yqaB//ispA//pykF//bsmA//msrC//abgA//prfC//
GO_0006952_4	hisA//ydiZ//pmbA//groL//rpsD//cysI//argT//yfdK//glpB//sfsB//ftsY//miaB//
GO_0006970_4	uidR//yhbO//yfeX//gcvP//lepB//yraJ//hdfR//frmB//ybcM//raiA//hisP//yceD//amiC//cdd//panD//ypdF//umuD//waaP//ubiB//uvrC//rbsK//tusA//argF//nrfG//rnc//gadX//wcaB//ftnA//insF-1//hicB//ytfT//ompF//phr//adeQ//fadK//dld//rhmR//lon//
GO_0006972_5	glnP//phnH//cysM//yciV//trmA//pabC//lspA//cdh//purF//napC//alaA//yfgI//yafS//xylH//
GO_0006974_5	opgD//dbpA//psuG//ydbK//ytfT//cysZ//waaP//emrY//rplT//rfe//rlpA//prfB//rimK//pepB//zupT//yeeA//eutD//degS//ydeM//lysO//glnQ//slmA//dnaN//fruK//trmL//ssuB//ubiF//atoS//ispG//fkpB//hcaC//ygeR//ygfZ//tonB//potC//hyaD//tusD//dmlA//trxA//wrbA//pspG//galE//yfcF//rof//iscU//ubiG//xdhB//tusA//aspS//pdhR//lasT//yihP//ldrD//aroH//glnE//lldP//ychH//gltD//corA//phnN//cdaR//emrY//yraN//lpoA//pflA//btuB//narV//yehU//lamB//cspE//rfbB//yfiC//ybjI//entA//tisB//tauB//yiiM//ymgC//insI-2//hypA//lysO//roxA//mdoG//ampD//fruB//mngA//yggT//ttdT//pckA//yciA//cmk//hycI//lrp//tolA//glnD//menE//treR//fucP//dicB//grcA//viaA//pyrL//arnB//selA//ydbK//matP//gntK//modB//ydiR//yeeJ//yhhT//mog//malI//trpGD//crcB//ibpB//kdpA//tsaB//cysK//phoP//asd//dsbB//thrS//ybiY//fepC//holD//sucC//lolC//rhlE//accC//srkA//recE//yijO//bglA//amyA//hchA//yoaA//aceA//hdfR//atpD//lsrG//rhmD//yjjV//yaaU//ytfQ//uxuR//clpP//ycbV//panZ//feoB//spoT//soxS//mutS//rnc//pgaB//yjiY//mutS//rffT//purR//betA//malP//rpnC//ygiN//hypT//ycjU//nadB//fucI//ilvD//mdtI//ychO//yieK//yqaA//yhjV//malG//cmtA//hprR//pagP//dapF//garK//bioP//folC//ftsX//erpA//frlB//yaiP//rluE//moaB//rlmD//tig//uvrA//icd//appC//elfG//fixC//ldtC//pflA//hrpA//pabA//rcnR//yneE//ykfI//torC//opgH//waaS//rbsK//kdpD//cysA//cas2//rplK//yqgB//trmH//nrfA//ymgF//pheP//rhaM//ispA//gadW//envZ//acrR//fmt//argP//hyfR//gadX//ybhJ//dinG//cutC//baeR//phnG//asnB//hprS//hybE//rng//folE//uvrC//ybjN//rlmN//pgi//yfdR//fdoI//yajD//sucC//ftsP//yobA//yraJ//ettA//tusD//
GO_0006979_4	nrdE//ybbW//rpmH//lgt//yciG//xdhB//frdB//nrfA//ortT//cydB//rfaD//fhuB//argF//eutK//cof//dut//purC//gntR//yfaL//rbsK//ampH//surE//rhlB//thiD//opgH//thrB//rplK//rplI//tatC//dinQ//deoR//recC//aes//yigL//gshB//gluQ//setA//ilvL//yqgF//ygfA//rpnD//ppsA//npr//yfiR//fumC//ydiK//ycfH//bcsA//mdtE//prmA//intZ//sufD//ratA//sgcB//glsA//bcp//bsmA//dppF//aldA//agaC//dnaE//cspI//yggE//dacC//yfcU//amtB//yrbG//emrB//ycjR//cysE//rlpA//caiT//soxR//yiaL//fiu//modC//amyA//yhbS//slmA//cbtA//mocA//prfC//glmS//cdh//ybaQ//hiuH//
GO_0006986_5	deoD//mhpT//diaA//ygdG//glpF//ymgA//
GO_0006995_6	ghoS//caiT//
GO_0006996_4	ribD//fepD//tolQ//yjhI//rffG//nanS//fhuC//glpF//rzpR//pykF//paaD//rhtA//rhaB//ubiB//nrfC//rzpR//mgtA//icd//yneL//yjjU//ralR//ygbM//dsdX//nikA//roxA//pdeL//rhaB//bamB//agaW//sbmA//zwf//ykgF//mglB//lspA//elfA//tsaC//menB//lptE//dnaT//
GO_0007010_5	nhaA//
GO_0007059_3	asmA//lapB//tyrB//ghoT//trpE//fixA//cpxP//holC//rnlB//sgcE//
GO_0007062_4	yjbG//glgX//clsA//ansA//
GO_0007154_3	ppx//yajQ//folD//gadW//rplA//proX//glgP//nimR//appB//minE//dgoD//casA//yihT//ybiJ//nagZ//btuE//yhaM//bamE//recE//setB//tauC//stpA//ghxQ//rnlB//proV//galT//galT//iscA//iscR//symE//kefC//betI//yjeI//ade//ydcI//metC//tbpA//glmM//yijO//xisR//crfC//mhpT//smrA//yfcQ//cspC//ydhC//cbrC//fliA//yfeD//gabD//fabZ//glnP//waaC//wecA//yejF//
GO_0007155_3	hchA//rnpA//mdoG//fliZ//metK//thrS//pfkB//yddL//xanQ//mrcB//lit//udp//oppA//arfA//aidB//fadR//speE//yeaG//nrfD//rhlB//ygfX//tmcA//murE//ansB//mutH//metQ//aqpZ//patA//galF//murA//leuS//rpmH//yiaJ//hofM//potG//
GO_0007163_3	ribA//
GO_0007165_3	gadA//ilvC//ldtC//glnE//frmB//rluA//yqiH//yjbF//hisD//aceF//yejB//greA//slyD//tsaC//mrr//zwf//tatB//tcyP//yjjU//ybdG//mdtQ//rpmE//pgl//rutC//nuoM//nupC//endA//fnr//nusG//yfdO//dicA//srlB//aroD//yohC//gadB//gudP//trkH//ilvL//sfsA//holE//cynX//fabR//ycjW//npr//ptrA//ushA//cpoB//rhtB//flgF//gntR//cueR//ygiV//ycaN//gutQ//cbtA//mngA//ais//ascG//yqiH//asd//
GO_0007166_4	prfC//nlpI//serC//ybcJ//
GO_0007215_5	rsmI//mlaE//sixA//rplR//
GO_0007231_4	mngA//
GO_0007234_5	hcaC//
GO_0007267_3	citT//glnE//
GO_0007346_6	gdhA//mdtJ//pppA//
GO_0007584_4	rimL//gstB//fumA//ybbY//
GO_0008033_9	puuC//hslO//atpA//adhE//phnN//creB//rlmB//thiC//sgbE//lpcA//rnpA//uvrC//tdcC//ybaE//csgB//lon//rplE//ansB//kbaZ//tolB//hldE//rbfA//rsmI//alaS//matP//clcB//gyrA//dusB//alaC//nhaB//argK//proW//sdhE//yidC//yiiD//glnE//trxC//nanT//yajR//mutM//cysA//speG//gsiB//rhaS//ushA//ccmH//gfcE//rbsC//clsA//yhjB//rbsC//kbaZ//chbA//ygfI//rpsO//vsr//
GO_0008104_4	yfaX//sufS//yehD//ybhD//yfbV//yhdH//dnaX//cstA//yqiG//galM//yhdJ//uhpT//aspS//nanK//ybdO//ygjK//menC//fepD//cyoE//gldA//lysR//lipB//ybdN//ftsK//fabB//sfmH//pdeH//aroB//proA//hemF//rnb//ravA//kdgT//borD//malG//pstS//sbcC//glnH//envZ//hemH//gatB//rbfA//lpp//trmH//dcd//flhC//sgcA//wzb//rpe//
GO_0008156_8	rpsJ//tauA//cycA//yidH//tauC//syd//
GO_0008202_5	gcvH//
GO_0008206_5	oppA//
GO_0008213_7	mutH//fliZ//epd//purC//frvA//hofN//hflX//nrdA//
GO_0008216_5	btuF//ynaE//paaJ//
GO_0008219_3	argA//hofN//cho//map//ydiO//rcsB//pheT//yhbO//yaiW//yebQ//trpL//thyA//ybaE//ogrK//gluQ//
GO_0008272_6	queF//trmH//nagB//torC//rlmM//ychH//cysC//
GO_0008295_6	pepN//ymjB//ydaC//
GO_0008299_5	sdhD//yggX//ybfE//kup//pnuC//ycbX//
GO_0008360_4	mdtA//dcuA//hycA//cspC//uxuA//sgcR//codB//flgA//rhtA//pgaA//chbA//hisM//cyoC//xseA//hyaB//bssR//
GO_0008361_5	rrrD//cmoB//secA//rayT//basS//
GO_0008380_8	rof//
GO_0008610_5	ydiV//aslB//pth//fecB//msrA//hflC//dacA//narU//sufE//yiaU//fabI//yebS//murF//betI//torA//rraA//mutS//btuC//cysD//pepA//idnD//tyrR//hupB//menI//mdoD//xylE//ihfA//ybdN//metG//dcuR//mdtN//lysC//ompW//proP//dinG//xisE//trpL//ilvM//rcdA//lolA//mreB//ldtA//cyoA//rarA//cobU//fabI//proS//sapC//pntA//xdhB//katE//malP//gcvP//yfiC//ybhS//aqpZ//cytR//glnD//glmS//pgi//insE-1//atpC//yraJ//yjbH//ynfF//mscL//tig//
GO_0008614_5	pbpG//bamA//feaB//abgT//ybiT//yhiM//galP//
GO_0008615_6	lolC//yefM//purF//ndh//cysM//nfo//pmbA//
