#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	helD//dcd//cheW//gltP//
GO_0009119_6	sodC//dppA//rpoS//roxA//aaeB//treR//flgE//ydcZ//mutS//yigL//malE//frr//eptC//mngA//yedL//rhaM//macB//mutH//ybdG//dmlA//yphC//eco//aidB//yjiA//araA//ybiW//trmH//tldD//scpB//lptC//yahO//folP//alsB//clpP//fic//
GO_0009120_6	dnaK//sdhC//rlmC//bcr//
GO_0009123_6	panB//malF//sthA//atpB//yeaG//lsrB//xapB//fepE//ybdH//hpf//pstA//gstB//yceK//eno//tcyJ//hdeB//gntR//ychO//ydfK//garD//wbbK//dmlR//uxaC//nagD//rsmJ//elaB//pntA//gadW//fadD//glgC//ybdG//yiaN//rcsB//cbpM//lsrC//lsrB//rplD//ydjH//nikA//chaC//yfdS//fetA//cho//feaR//nac//ivbL//
GO_0009124_7	focB//nrdF//tdcF//cadB//rplL//proV//ubiC//speE//tdcA//hxpB//basS//malI//ygeV//ompL//cbpM//tsx//gcvT//queA//codA//lplT//pdhR//ybdZ//rpnD//sufD//sbp//fic//pliG//yeaV//fliT//feoC//ybbN//ycdX//panE//tdcD//ldtC//citT//cynT//
GO_0009125_7	murE//tolB//malE//gltP//yciG//
GO_0009126_7	rcnR//hyaA//hdeD//feaR//idnD//amiD//fadH//rodZ//plsC//aas//pcm//mscS//mutY//wecB//recE//ybcM//puuA//yciE//ykfI//flgB//ygfX//pdxY//cyoA//epmA//narV//nusG//rfbD//yhcF//dgoT//degP//yobA//rpnC//narH//csiR//
GO_0009127_8	chbB//yehY//aroK//pdeR//frr//pgaD//uxuR//ibpB//glxK//amiC//ugd//citX//mgtL//sdhA//guaD//argG//pflC//yeeA//rhlB//abpA//dmlA//sdhD//thyA//pnp//flgC//iaaA//frdC//flgE//yggP//sdaA//
GO_0009129_7	bglA//torS//murP//panC//ndk//ytfR//cas3//pphB//rluD//xisE//
GO_0009130_8	ygaV//lolC//glnK//waaY//potI//
GO_0009131_8	pldB//ptsN//potF//prpC//ghxQ//
GO_0009132_6	fadE//pepD//yahI//uhpT//ydaV//udp//ybdG//yfiF//hemE//rraB//rph//fliK//glpC//trmH//menH//moaA//mqsA//dhaK//waaF//arnA//ydiF//trkA//ftsW//aqpZ//narQ//
GO_0009133_7	ynaE//sodB//eptB//
GO_0009135_7	ybdM//folP//xerC//yeeY//trmL//appC//ydcR//panZ//groL//cobC//mcrB//nadC//oppA//aldA//yjiA//hisD//acpS//garP//rlmH//sodA//yahF//hyfC//sgcB//
GO_0009136_8	yafS//
GO_0009138_7	gpr//sgcC//
GO_0009139_8	hrsA//ybbY//
GO_0009141_6	frwD//lolE//ileS//arnA//holE//rluC//frwC//hyaB//clpP//kdpF//yafQ//pbpC//leuC//fecA//yfaL//sapA//kch//yebS//atoS//dinD//yiiE//mgtL//mdtI//nrdF//dinI//gfcE//melB//bolA//ydiQ//hybA//ortT//sgcA//ydjE//rlmN//artJ//zapB//cho//mcrA//
GO_0009142_7	priB//infC//yahD//ftsY//asd//lhr//lgoT//cutA//hemG//ydaC//mltF//yciH//nagK//abgT//aroG//thrC//ompA//hns//ydbD//iaaA//emrB//dsbG//yagJ//fumB//aer//pdxB//msrQ//gldA//
GO_0009143_7	rpsT//treF//pgaB//yrbG//
GO_0009144_7	bioA//hemN//ybhG//satP//ilvB//hcaR//yhcH//galR//rnb//ampG//sucA//fadR//gsiC//yafN//yqiG//yrfG//hlyE//miaB//queA//cspI//atoC//nrdD//plsB//rpsQ//ldrD//ddpA//eutN//polB//nrdG//intS//agaR//
GO_0009145_8	yfdC//cydB//gatA//wecC//pepA//yqhC//lldD//emrB//yhgH//hokE//yrfG//alkA//slmA//rlmF//rffH//rhoL//lacZ//aroD//ynbD//yfgJ//mgsA//iscU//yggN//
GO_0009146_8	dgcT//gcvA//
GO_0009147_7	rnb//ascG//hsrA//rmuC//
GO_0009148_8	idnD//queD//
GO_0009149_8	lspA//gadA//
GO_0009150_7	sufA//fruB//mutT//npr//fryA//rsmH//lldD//cueR//ydaN//btuB//gntK//hpt//gatB//acpP//pinQ//yeeO//glgA//hprR//ydaV//ubiG//yfcV//borD//ybfE//torA//rpsI//elbB//pabA//fre//creC//potA//yihV//iscA//recX//chbR//sdhC//yojI//groL//yciH//cyoE//gppA//alaA//cstA//frlA//pdxB//gntT//glpG//hrpA//flhD//
GO_0009151_7	adk//rsmC//
GO_0009152_8	yfbU//btuF//hyaB//ybaM//hcaD//deoR//nei//murQ//amiC//gntT//thiE//adeD//yeiG//yhjA//fadR//mlaD//mdtK//cdaR//yagU//nhaA//fadR//argA//dmlA//ibsA//sdhC//rpsN//appC//nuoN//mngR//holE//waaL//appY//glpT//yhaO//paaK//mntH//argS//
GO_0009155_7	ecpR//fliG//
GO_0009156_8	murB//ggt//pinE//ribB//nagK//potE//yeaK//lpoA//ulaD//asnC//nusA//hprS//hsrA//ybjL//glnH//yneE//arnD//ubiE//yhdH//bglF//lptB//dcuD//yieL//fdoG//arnB//fdnI//mppA//rplY//rplB//cyoD//fieF//eutK//ldtE//
GO_0009157_8	yghW//xylG//iscS//pspA//
GO_0009158_8	tdcA//cadA//amiB//mnmE//ybgP//
GO_0009161_7	ykfM//dusB//yfeD//aspS//folM//malG//prs//kbaZ//ydaC//metF//lplT//ftnB//ymfK//sxy//yghB//barA//cusA//lgoD//rcnB//ygiV//ybdH//mrcB//phnJ//xylH//yfeX//yraJ//fimZ//cysH//sgcX//dgkA//yicJ//ubiB//ytfR//dgcE//pepA//opgG//zitB//ydiF//puuR//malX//dnaA//yagI//
GO_0009162_7	ttdA//yjjV//rluE//dinQ//
GO_0009163_6	ubiA//fdrA//cyoD//dacB//surE//cyoD//ibsD//lgoD//yegV//yjbF//rsmH//bioC//frdD//fumB//yeiL//chpB//btuF//cpdB//glsA2//
GO_0009164_6	exoX//narY//tdcF//fabR//artM//nupX//argT//folC//pnuC//ldrD//puuD//hypD//yehX//
GO_0009165_7	holB//flgM//smrA//btuR//yoaA//icd//galK//frvA//rhaR//ybiS//hofN//gcl//ybbW//ruvB//mfd//hha//yahD//rdgC//dmsB//ldtE//rsmA//yiaO//yjjB//yjhG//nlpA//recA//nadK//eamA//viaA//ycgB//melR//emrD//ybjD//dcp//ibsD//potH//ynhF//artI//mscS//mltD//aas//lptB//yjbH//gsiA//cyoD//fadM//ubiA//ispA//ycbV//msrB//phnH//ascG//umuD//rpsT//arsB//phnI//rep//pyrF//hinT//araH//guaC//fadJ//kdpF//nagD//dhaR//coaE//ispG//tnaC//phr//dnaK//yagG//
GO_0009166_7	uspB//era//fdoG//sfsB//yagI//hslV//mazF//hycI//ompG//murB//yqiJ//speA//malQ//menB//queA//yehA//btuD//agaW//ykgO//yehX//alpA//clpX//ycfJ//ybdO//lptB//yjhB//hsdM//gudP//hxpA//thiE//fdhD//
GO_0009167_8	murJ//mtn//cusA//ycfJ//rlmC//ibpB//glgP//pdxJ//hprR//dinB//glpF//araC//glmM//arfB//yjjB//cytR//tehB//lysA//def//argB//btuC//entF//gshB//secA//cysK//mscM//sufC//rmuC//yibT//ybdM//kgtP//yidQ//agaW//ftsP//
GO_0009168_9	yfgO//cbrA//argH//abgR//fryB//ydeO//ycbU//iap//gsiD//mazG//flgG//recE//nuoH//narU//yidL//fre//thyA//grcA//yahK//metR//secD//mhpT//mdtA//trmJ//chaC//dnaJ//dhaL//ubiJ//gatY//allR//
GO_0009173_8	ynjD//rsmA//miaA//ssuA//ppk//pdxK//yhgH//
GO_0009174_9	pepB//caiF//
GO_0009175_9	gntU//trmD//sufB//purN//ompL//
GO_0009176_8	ptsP//fepA//perR//
GO_0009177_9	tatC//moaE//norV//
GO_0009179_8	pyrL//fimA//ybhJ//fixC//eutN//asd//hxpA//mdtP//glcF//mdtF//appY//crcB//ykgA//yobA//btuC//yraI//phoA//syd//dcuB//waaQ//nusA//frc//hprS//
GO_0009180_9	efp//
GO_0009185_7	yjbG//yagG//dpiB//rpnD//rfbB//iscS//ymgA//ulaC//trpB//fimD//arsC//fdx//rnlB//greB//ybgQ//yagF//hisG//crl//gltI//zraS//glnS//rhaS//lysP//gcl//
GO_0009186_7	ytfR//
GO_0009187_7	purL//poxB//
GO_0009188_8	waaA//aas//
GO_0009189_8	aroC//
GO_0009190_8	yjhP//ykfI//
GO_0009193_8	cnu//
GO_0009194_9	idnK//
GO_0009196_8	zraR//
GO_0009197_9	yaaU//
GO_0009199_7	pabC//yebZ//fcl//pphB//fpr//yqjH//ftsE//mutM//hokE//minD//yijO//phoA//yfdK//der//murD//melB//hflC//dsbC//sspB//ptsG//dhaL//ghoT//modC//fau//cusB//srlA//ybhA//fkpA//xerD//rpmE//yciE//
GO_0009200_7	fabH//macB//chaC//hdeA//
GO_0009201_8	pstA//cspG//fumC//sfmD//cfa//yfgI//lpcA//puuC//wecA//sxy//dsbB//yehW//smrA//ftsN//pncB//gadB//hsdM//sbcC//rpsS//abpB//mraZ//rppH//waaG//mdtB//
GO_0009202_8	yjjI//
GO_0009203_8	pth//
GO_0009204_8	flgA//acnA//glnD//
GO_0009205_8	fliG//rplW//pspG//opgB//dgcF//cydC//ldtD//umuD//dcuD//ymgC//satP//ulaG//panB//rhaS//gltI//fsr//yjiM//rcsA//sgcX//cyaA//agaW//ubiE//rpsM//zipA//ybgI//fixB//nanK//bfr//deoC//
GO_0009206_9	rfbC//hemN//truD//msbA//acpT//yaaU//rapZ//setB//srlR//nhaB//pmbA//narG//ydfH//flgE//mioC//yieK//ychF//ydfD//xseA//exbD//sbp//ydjH//bcr//
GO_0009208_8	ybcM//ahr//
GO_0009209_9	yagF//
GO_0009210_9	paaC//
GO_0009211_8	afuB//ampH//yneJ//
GO_0009212_9	yieK//
GO_0009213_9	ebgR//trkH//
GO_0009215_8	ynfH//baeR//
GO_0009217_9	asd//mppA//
GO_0009218_7	yfdO//hicA//crl//rsmG//sseA//phnL//moeA//tsaC//rarD//pyrB//rpsP//rpoH//
GO_0009219_7	kdgT//prfB//puuP//tdcA//csgE//
GO_0009220_8	agaI//fucP//ybiV//frr//mltF//dnaX//
GO_0009221_8	alaE//leuD//ogt//ybdN//
GO_0009222_7	glnQ//mliC//lpxP//prpD//ygfZ//cutA//
GO_0009223_7	proQ//leuB//
GO_0009224_9	cmoA//fecC//
GO_0009225_5	radD//galF//guaB//nrdH//copA//alsB//ttdT//purF//rcnR//metE//gabP//tonB//ygfZ//yejF//hemB//
GO_0009226_6	umpH//gdhA//sanA//yafC//yfaE//gmk//potB//mgrB//yefM//yeeL//kdpF//cas3//msrC//
GO_0009228_7	hyfA//hdeA//hypC//nadE//plsB//tqsA//maeA//ygcR//xseA//pitB//
GO_0009229_6	insF-1//aldA//
GO_0009231_6	dinQ//rplJ//dcp//uhpC//mglA//gltD//abgT//
GO_0009233_6	argO//accA//rtcB//gspJ//treF//borD//queF//glnB//ppx//ubiE//
GO_0009234_7	uacT//glmU//relB//tcyN//wecA//cdgI//cbrC//patD//yfcP//ldcA//
GO_0009235_5	gatA//rng//uvrA//yedX//moaC//tadA//
GO_0009236_6	preA//csgA//speB//ppx//mazG//aroA//
GO_0009237_4	rbsR//ydhJ//rpsG//ybjI//yfiF//alpA//helD//cydA//rpsB//
GO_0009238_5	gloA//elaD//clpS//yqiI//pgaB//sgrR//pgpA//tauB//ssuA//
GO_0009239_6	dcm//poxB//nanR//mltD//recQ//rplJ//rlmN//cysG//
GO_0009240_6	yadM//pheM//yeaG//yahI//nanK//
GO_0009242_6	insH-6//hisB//ygjK//folA//tatC//pyrF//yabI//uacT//ddpA//mqsA//gmd//
GO_0009243_7	cysN//
GO_0009244_7	wzc//uspC//tsaD//yjhB//adk//lpxK//tusE//prpC//rluE//lldP//glnK//glpK//ykgO//acrA//hycB//rplQ//nrfA//glxK//nhaA//dxr//ypdF//recJ//prkB//yidQ//hybO//fruK//ykgA//rssB//dgcN//
GO_0009245_6	ompF//rpoD//mhpD//rutG//epmA//rfaC//surA//potE//fliA//yjbE//
GO_0009246_6	fdx//fieF//avtA//waaU//glnE//rffG//rutE//rplJ//ldtB//
GO_0009247_6	cptB//yhaJ//murE//ldrD//cvrA//yneL//tyrS//rcsD//sgcX//dtpA//ulaE//glnS//
GO_0009249_6	aidB//gmhB//cdh//
GO_0009250_7	hyfA//dtpC//gudX//yejA//thrA//dgcF//argI//rfaF//hisI//yieH//yaaU//smpB//hybE//fdoG//
GO_0009251_7	cpsB//polB//dsbG//dcyD//nusA//dtpC//
GO_0009252_7	hisG//glgX//pdeL//rfaQ//casC//hscB//yfcA//rpsK//csgE//xylF//dcm//uup//ygcR//rbn//rhsD//kbp//glnL//fabI//ybiA//ebgA//lolC//xylA//ada//yehU//hdhA//rraA//fabG//ftsA//mfd//mhpT//phoP//rssB//fepG//rpsO//yfaE//yraH//cpsG//insB-2//ispF//
GO_0009253_8	yneL//fic//thrL//rnlB//mdtE//malP//bglA//add//alaS//lpoA//
GO_0009254_8	purT//pdeL//rpsE//glvB//lplT//narV//yhcN//ligA//yceO//greB//
GO_0009256_7	sodC//bdcA//ddpX//puuD//
GO_0009257_8	yciH//speA//tauB//asnB//
GO_0009259_6	narI//rspB//cysA//rplL//priA//yihI//ybaM//yceK//rpnB//ycbX//ybiW//hcaC//yjeI//yiiD//ispU//ampH//bssS//ydjL//rapZ//ykgA//rpmC//norW//sodB//sbcD//rsfS//adk//ariR//lysR//lldD//gapA//dinD//treB//zraR//leuC//pspC//rlmL//ggt//glxK//arcB//fliT//btuC//galE//ygbM//gltD//sapC//waaO//cadB//yehP//cmoM//malF//nac//blr//garR//yraJ//yfcA//murQ//ccmA//mutY//fimE//rpnC//aroL//
GO_0009260_7	amiD//tpiA//ppiA//lgoR//alsK//gntU//yraN//yfaL//yhjA//yehC//epd//asr//rffC//cdsA//dcuB//gpmA//hyaA//btuR//metE//bssR//acrZ//napF//aspS//yfgJ//puuA//fabD//yjgX//ydhC//acnB//yafQ//proX//ribE//phoA//insB-4//narV//preA//kdpF//lldD//thiH//mtlA//yhjG//yciA//fiu//rclA//
GO_0009261_6	dppB//gcvP//sgcC//yjgX//nikA//csrA//
GO_0009262_5	gluQ//ydiR//nuoB//proQ//plaP//dnaC//tolQ//yfbV//hisM//dcuB//mrdA//cusB//holB//
GO_0009263_6	ycjD//yhjX//holA//waaG//hslR//pinE//panF//yfaL//cdaR//
GO_0009264_6	hxpA//rclR//aaeR//rffC//nirC//
GO_0009265_7	trpD//fadR//ltaE//lpoA//pgaB//
GO_0009266_4	bamA//appB//pntA//galR//recX//speA//yhcF//rsmA//rimP//atpC//nfo//yjjV//waaG//rhtB//pepQ//mngB//norW//fliG//rplE//rfbB//ycbV//murE//cysP//alaE//dgoA//ybiX//rpsO//yidQ//melB//ydgA//yqhC//pliG//cysP//rfaQ//pckA//pgrR//bioB//fdoH//rarD//yraJ//hcaT//yqjA//frvB//fnr//ispA//dgcZ//mcbA//mltC//eutN//rffC//dadA//yaiP//pbpC//flhD//grcA//wecC//ruvC//yiaM//etp//gsiB//mngA//cysC//rpnB//moeB//mepS//pepT//hda//bfr//dps//leuA//torY//secY//copA//tauD//yefM//vsr//rcdA//fes//hipA//rsmE//araG//btuB//
GO_0009267_5	uhpA//yegS//csdA//fabG//pgaD//agaD//rsuA//rstB//yqgF//alaS//coaD//prpR//yahB//nusA//ilvC//amiB//nusG//insH-6//insI-1//yqaE//gatA//cysH//cheA//insF-1//mazG//fbaA//
GO_0009268_4	aroP//sapF//appC//ydeM//tatD//rplB//gntP//cheA//bioD2//tdcC//rnb//dctA//ccmD//accD//fmt//ybiS//rssA//udp//pyrC//pgpC//yajL//napB//fruA//dapA//yfcR//dinI//wzzE//
GO_0009271_4	flhC//mrr//mutY//
GO_0009273_5	insI1//flgG//mtgA//hicB//yegS//qorA//hycA//yccA//gmhB//fryA//
GO_0009290_6	hslV//gspF//
GO_0009292_4	murG//yibA//
GO_0009294_5	waaF//yccA//
GO_0009297_6	mdtO//clsC//hofP//deoA//ybjI//amiD//sodB//lgoR//cadA//argO//lolA//pstA//yeeO//rplC//
GO_0009298_7	icd//frwD//manZ//
GO_0009305_7	ynfK//
GO_0009306_4	nuoM//cho//decR//otsB//ackA//potG//yafS//
GO_0009308_5	sufD//gabP//yjiX//groS//speF//ypdF//lgoD//rtcR//dld//xerC//amtB//ptsH//yebC//alaS//ydcR//sucA//zapE//chbG//norV//yidR//rffH//deoR//galM//casD//lptA//fabI//dgcT//
GO_0009309_6	ghoS//hcaC//yfaU//ydaN//zitB//mhpT//fepC//yjhB//astB//tsaC//yaaU//yfcS//murA//btuC//
GO_0009310_6	ynaI//ascG//elfC//nhaA//eutB//carB//norW//lepA//dgcE//ydeE//frmB//gph//ynbC//
GO_0009311_5	cusA//cadC//hlyE//patA//tar//araC//lpxP//patD//moeA//ybjX//fecD//secB//ttdB//kilR//fruK//lsrD//ybiY//xdhB//mreC//phnC//secD//ybdN//dadA//ybjI//fliD//ratA//entB//agaS//aroK//osmC//pepD//dgoA//otsB//priA//dgoK//cysS//psd//alsK//yciE//entD//ascG//kdpD//uspG//serS//rpsM//pmbA//rsmF//potE//yehP//uidC//ghxQ//xylR//lsrG//
GO_0009312_6	yiiE//umuD//alr//ybdG//lgoR//dsbA//murR//ribB//alkA//lacI//nanR//oppA//phnN//gstA//yihV//cfa//arnF//hyfR//yghU//dld//lgt//purN//nikE//sufA//bluR//hisG//aspC//ampE//rppH//thiM//citC//hemA//djlC//fmt//tcyJ//insE-1//napC//hscB//gdhA//nikB//rsmH//evgA//
GO_0009313_6	umuC//tldD//xseA//rimM//rsmH//dnaG//rbbA//srlE//treR//efp//
GO_0009314_4	ybiI//flgE//yihL//lysO//yhjR//ykgO//ybeQ//idnK//speB//rlmM//rimP//nuoN//paaC//tgt//rnd//ispU//macA//clsC//cydA//yidQ//hisS//sdaA//cysQ//minC//ygfX//srlD//ybcJ//alaC//rutF//lrhA//sodC//dosP//uof//sodB//mliC//dicB//trpD//sseA//birA//ydiZ//gntU//zipA//rbsB//yraJ//ogt//ftnA//hldE//ydeT//pgpA//ydiV//ygeV//bglJ//mntS//guaB//frdB//rlmE//murI//yqiI//topAI//sodA//ydiR//mngB//nuoN//mltF//yieE//treB//panB//uspG//proX//tsaC//mdtA//rcdA//dinI//polA//ydhC//trkG//lpoB//mntH//fadB//lptG//malZ//hyi//dnaQ//purL//cbtA//entF//mcbR//ydaN//fabR//cmtA//fepE//yegS//
GO_0009372_5	yiaB//ybgI//mhpD//
GO_0009394_6	npr//exuR//rnc//yeaE//yobA//moeA//trmH//
GO_0009395_6	pykF//
GO_0009396_6	folC//lptG//yjiM//pdhR//yhdZ//gntU//kefB//gpmA//mraZ//gsiA//casC//
GO_0009397_6	pspA//glgX//
GO_0009398_7	ogrK//
GO_0009401_7	yddG//fryA//hdeD//ydiK//thiP//ruvA//sufA//yeaK//sppA//glrR//yidH//yaaA//ubiF//mdtA//holC//glmM//mdtQ//yhiM//ydbD//yheT//narK//mdtD//nanT//mtr//nepI//mtlA//ispF//paaK//yjcO//gloC//garK//sdaC//phnN//ppc//norW//aaeB//ggt//nlpI//lsrD//yqiJ//hofO//gntU//btuE//tdcC//nupG//cca//yihT//yiiD//cptB//rhlE//yjcE//hyaA//
GO_0009403_5	mukB//
GO_0009404_4	rbfA//oppB//potB//flgF//sbmA//wcaB//narW//waaY//prfA//caiE//nrdG//bhsA//lacI//dacD//ttdB//alsE//ycfS//acrA//ampG//
GO_0009405_4	bcsQ//ygcR//bolA//
GO_0009407_3	csgB//ybbW//mqsR//hycA//mppA//speA//cyoE//zitB//deaD//cspB//sfmD//htpG//rof//ridA//rdgC//nrdE//
GO_0009408_4	panF//ydjE//caiF//ydbK//cpxP//yjhG//pgk//rffH//mtlA//coaE//rfbC//ulaE//rnlB//yfbR//acnB//csdE//znuB//birA//secF//ltaE//era//tap//lpxC//nanA//fieF//allC//recT//mtr//frmB//hokE//rimO//zupT//hisC//nanA//afuB//sspB//kup//glmU//tauD//gltB//clsB//hycI//puuB//fdoG//luxS//speB//fau//htpX//hflX//yrbG//dinI//yhdX//yhdJ//map//yiaO//nimR//rluD//rnlA//wecA//gcvP//
GO_0009409_4	rusA//betI//agaR//gntR//kefB//malX//nemR//napA//panE//smpB//bepA//ldcA//xylA//serS//dgcQ//flhD//mntH//yfcQ//
GO_0009410_4	yoeE//
GO_0009411_6	yfbR//tusD//patD//narU//yhhZ//yfcV//ynbD//ydfD//exuT//intA//yicJ//rpmG//sfmH//frsA//cpsB//csgB//
GO_0009415_4	rpmC//
GO_0009416_5	lasT//mmuP//ogt//rpmB//ybhR//paoC//iaaA//prfC//ynfL//rhaB//norR//tcyN//alsB//ynaI//dctA//sgcB//rplN//purC//ynaE//
GO_0009423_8	glcE//tolC//fruK//asmA//
GO_0009432_5	arnB//dacB//ftsY//cyoD//etk//sbp//cysI//gloC//groL//dmlA//glpF//ytfR//thiG//purB//focB//yibH//rpoA//rihA//ykfM//citG//tamA//ydcM//
GO_0009435_9	artM//sdhD//corA//atoB//recJ//truC//tsaC//dppF//mdtE//
GO_0009436_6	abgT//mpaA//greA//argP//
GO_0009437_5	csgG//ptsN//rpmB//ydcM//mdtE//araF//yqiJ//
GO_0009438_5	metC//pntB//ibsA//mreB//ggt//cho//kdpC//ybcC//mntH//emrY//ubiX//glcE//uspG//ubiG//tusA//dnaQ//yhaO//greA//ydiP//rluC//frwD//tusB//xylA//abgA//narL//yeiG//yciH//paaD//rusA//selA//
GO_0009439_5	napA//ndh//tolQ//
GO_0009440_6	yieE//mdtA//coaA//
GO_0009441_5	cstA//allD//truC//xylR//exoX//
GO_0009442_7	cysI//aroH//ulaF//tadA//ldrA//
GO_0009443_5	rstB//murA//puuE//
GO_0009445_5	carB//cysW//ychF//yciG//tyrB//dinD//yejF//hupB//ydhQ//cusB//
GO_0009446_6	lptF//dgoK//
GO_0009447_6	srmB//nepI//lipB//metB//yqgF//cydA//argI//yahF//
GO_0009448_5	ghrB//zntR//betA//hypA//
GO_0009450_6	mhpD//yhgH//eutA//manZ//
GO_0009451_6	ydfD//tmcA//malY//yhjD//metF//yehT//csrD//rlmA//ppsA//serA//lgoD//ytfP//ybjX//nuoF//tisB//nudB//greA//yjcE//ybdM//lldD//yfbV//yjjW//yhjC//csdA//dam//birA//hxpA//yrbG//rcnR//tolQ//pepT//eutK//proS//ytfP//narH//galU//fnr//tsx//sucD//nrdA//hslU//ybhR//tnaA//ycbX//modA//rplS//trkH//folC//epmC//galT//yejA//yneL//livF//hybB//dapD//hypT//nrdB//yidC//glgC//rarA//helD//cobT//carB//sbmC//ybjL//glcB//cdaR//nrdI//mioC//lhr//pphA//priA//recF//lgoR//rof//ybdH//arcA//rfaH//yehY//crcB//nadA//idi//tusA//
GO_0009453_4	ybhI//
GO_0009454_5	cspC//
GO_0009593_4	gatZ//mgsA//
GO_0009597_5	znuC//
GO_0009605_3	yjiQ//cobT//udp//hprS//mak//mepM//xerD//ybfE//fliM//hisA//mdtB//dgcF//prpC//yehX//torD//waaL//ybdN//paaG//minE//msrP//nikD//aphA//pbpG//yigB//pyrD//rbn//eptA//add//hycB//mdlA//pmbA//hofM//chbR//ribF//tisB//proX//yehP//yigL//lhr//alaS//yebG//ynfH//exoX//rpsH//der//dinB//yraK//ydeE//ruvC//chpS//yraN//nadC//ssuA//yjhB//fkpA//prpD//ada//yhdX//caiB//murP//csdA//kgtP//mdaB//hcaE//yddM//yhhT//gatB//surE//lldR//yeaD//bglA//ynbB//yiaA//ebgR//tcyJ//fabG//waaY//
GO_0009607_3	sfsB//ygeX//glgC//hipB//ompG//glcF//insH-6//fimD//gnd//thiL//sbmA//amiB//ytfP//xseA//
GO_0009615_4	atoC//borD//ibsB//bcsQ//fadR//setA//yhbS//vsr//ccmC//ribF//ydiB//yjiQ//glpT//caiT//
GO_0009628_3	wzyE//insI1//ycfL//mnmA//rnd//tnaA//ascF//iraM//setC//mltA//pyrC//mobA//flhE//yidQ//ccmH//dhaK//ldrB//mnmE//ydiB//zinT//fetA//recF//yqaE//cusC//yagU//tsgA//mcrA//metB//tpiA//lsrD//entC//asd//ynaE//ybiO//pgm//proV//aroC//holC//holB//dbpA//ribF//marA//recO//tqsA//puuR//topAI//thiI//yejA//pgm//ygiW//secE//entA//tolC//ftnB//glnQ//sucA//kefF//ypdC//fabB//gppA//yoaB//suhB//ychO//uxaC//kch//ynbC//orn//tsaC//aas//leuO//aroB//msbA//paoC//rffM//rseC//hcaF//yccX//nadD//fecD//insE-1//tauA//treA//mtnN//yfhH//ptsN//tehA//cpxP//nikA//cynT//yqaA//lon//proS//yqeA//mdtB//cadB//aceA//ftsL//ccmF//glcA//dcuS//yebG//menB//ybdZ//tdh//bamD//csgA//fabR//dadA//trkH//ccmH//ygaV//opgE//fbp//ynaE//frdD//bsmA//aldB//ydjK//folA//ygfX//yijE//ygiN//phnP//rpoH//fklB//yjbF//dicA//bioP//casC//aaeB//tyrR//galE//bamD//artQ//pdxK//fdhF//uvrA//rpsN//acrR//ldrA//pgaA//yggF//ttdA//tsaD//cedA//add//hyfA//insB-2//rsmF//msrQ//hflD//phnC//tnaA//ynfK//rpmF//cbl//fpr//intS//lptF//wzzB//mntS//queC//ydhQ//metI//elfG//nrfC//folX//sbcB//asmA//yfhM//selB//mscS//rpiR//kgtP//ftp//yqhD//feaR//fliD//blr//ygcW//yaaY//etk//mltA//menE//sapD//bdm//pliG//torS//paaA//gpmA//purC//hlyE//acpS//rpsQ//pncB//mrcA//yjjI//yigB//acnB//yoeE//puuB//aroC//insB-2//ppk//ttcA//solA//ykgF//deaD//rpsG//ynjD//ybhI//rusA//rep//cyoC//surE//ycgR//aspA//citC//galF//fnr//pckA//bdm//gfcE//ansB//groS//lyxK//iraD//rplC//yneJ//yeiE//
GO_0009635_4	ribA//
GO_0009636_4	cynX//betA//dcyD//murE//narZ//recO//malX//leuC//dgcJ//cysD//aaeA//aceF//rapZ//ygiS//hinT//crl//melR//znuB//mutH//livJ//nupX//zapA//murC//pyrG//glpA//cptB//cbl//ycjW//ydiQ//clpB//hemC//
GO_0009637_6	cyaY//
GO_0009651_5	hypT//dgcJ//tatA//ldtE//waaQ//fadE//
GO_0009653_3	gpt//
GO_0009696_4	ihfA//
GO_0009697_5	cpxP//
GO_0009698_4	allD//
GO_0009712_6	mtlR//def//prc//mppA//fklB//yefM//nrfA//ulaA//cptB//amiC//
GO_0009713_7	yieE//aroA//betB//allB//paaB//sodB//menE//dgkA//yaaY//
GO_0009719_3	tdcD//yejA//cdh//
GO_0009730_5	ftsE//
GO_0009743_5	patD//
GO_0009785_5	hipB//
GO_0009850_4	bdm//nemA//narW//ydcT//dacA//rplE//thrA//yidZ//mioC//degS//wza//corA//kbaY//
GO_0009852_5	cynX//gapC//trmB//secA//aidB//hokE//paaE//phoR//umuD//marA//rpmH//sohB//ydeP//
