#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sgcA//yjtD//frsA//pcm//
GO_0009442_7	nupG//folA//cpsG//ybaT//acpH//
GO_0009443_5	ulaD//lplA//iscX//
GO_0009445_5	glpB//yahF//sgcC//rfaE//trmJ//holD//cmtA//ygeX//nlpD//truC//
GO_0009446_6	lldR//hokE//
GO_0009447_6	emrB//nimR//adeQ//hchA//ispH//cspA//clcB//pntB//
GO_0009448_5	nsrR//atoB//yagJ//sbcD//
GO_0009450_6	xylE//rpsR//nanK//potE//
GO_0009451_6	lsrR//pmbA//fkpB//leuD//yehD//feoB//astB//pspF//kdgR//yafO//yfdC//gabD//ygbN//pspF//rnr//rluA//mraZ//yohC//yceK//ompF//cysK//dctR//tynA//paaH//kch//yieL//infC//ptsP//recB//dsbG//rffH//caiE//bhsA//panF//yobA//ypdF//kch//ymjB//hcaD//patD//ddpA//livF//rplA//cbtA//ybaQ//araD//glcA//metN//radA//yfeO//mazG//ybdH//pdeD//ybbY//yhdZ//sfmF//cysA//yfaV//lolE//prs//cysC//argE//frdA//secG//purF//rpe//ratA//fimH//proS//ecpR//cheZ//pgaC//ybcJ//yqgB//waaS//rplQ//guaB//xseB//rsmJ//degQ//ybdH//fhlA//ycjU//
GO_0009453_4	aceB//
GO_0009454_5	aes//
GO_0009593_4	appC//dcuR//
GO_0009597_5	gadB//
GO_0009605_3	ybdH//lpd//rne//cof//trpD//pspA//thiG//ppc//tyrA//paaG//thrB//yjhB//hha//ldtE//paaD//frc//fliM//torC//sxy//hyfF//tufB//glnD//nikD//sgcC//ybeQ//ygfI//ftsZ//ptsN//insE-1//ybdH//abgA//wza//rpiR//tcyL//mdtD//cyoB//bioD2//emrY//iscU//lsrG//gpp//xerD//yebC//livM//yehC//narH//chbB//rpmJ//yhjX//dnaA//gntR//hybG//yhaJ//slyD//sfsA//rcsD//fcl//yaiW//ldtE//trpB//phnM//dusB//pta//uvrC//sufB//yneL//gnd//hslV//ybiS//curA//hemB//hupA//moaE//dcuD//cadC//ushA//nrdG//
GO_0009607_3	bamE//rof//menC//pyrB//gpsA//glpX//queC//cysD//rcsA//yddL//cysN//nrdR//hisA//stpA//
GO_0009615_4	ybjX//ybhS//dapD//ftsZ//nimT//gadX//cysP//pdeH//tehB//chaC//serC//mngR//hdhA//fhlA//
GO_0009628_3	recG//uspC//yqhD//rdgB//mutS//yggW//glnA//pyrB//exbB//rihC//sstT//cdaR//yfiE//cadC//torI//yihV//intA//waaU//fadR//rnlB//wzyE//yfeD//yphF//cvrA//lacZ//polA//aceA//nemR//mglB//pdhR//aroK//yggT//flgA//ycjP//rodZ//livG//csdA//rimM//rfbD//yjjB//ygiW//yjcO//dcuB//holD//pgpA//bhsA//proX//oxc//amtB//yqhD//waaQ//yehA//mdoD//ymgA//yggE//hha//tauC//tyrR//intF//casC//sgbU//insF-1//rfaB//dauA//rbsK//deaD//garR//ttdR//bipA//ugd//cusR//hisS//yddA//bdcR//sfsA//lolB//murB//thiH//fdnG//mipA//ptsN//casA//ygcW//rnd//ldtE//mrdB//yraI//envZ//prpB//ccmC//fliS//waaS//fimB//arnD//ybdZ//rcnA//puuP//baeR//uhpA//dcyD//phnL//menD//dsbA//agaI//cpxP//glpA//flgC//fpr//hprR//gpt//sgcE//ftnB//ycfH//ulaR//glcE//glyA//preT//rplA//recB//tatC//moaA//mutM//cysZ//speE//mdtA//frlB//argF//mdtK//caiF//speE//csgE//nadC//cysI//gnd//fdoI//lpxP//narU//cysC//hyfR//mrdA//artQ//thiD//dedD//rsmE//rutR//ycbV//sgcB//puuR//birA//cas1//gltI//msrQ//mukB//nudC//ycfS//emrB//purT//mdtP//frlA//tauC//dgcQ//minE//pyrB//actP//yqjI//yfaE//frlA//hcaF//rlmJ//pdeL//paoC//phnM//ycfL//pliG//tdk//essD//ycdY//ilvC//pitA//melB//hflD//ycjP//ftsL//ais//glsA//ytfP//kgtP//rhaA//elbB//glpA//fcl//tmcA//selB//hiuH//allB//acrB//iscU//comR//gspJ//hipB//trmH//recB//fhuF//ybiW//panD//mlaC//rlmN//kdgK//rhaS//yjjQ//torZ//rayT//rpsA//yehT//efp//fnr//nanC//rcsF//hpt//paaH//flgG//zupT//xerC//rlmB//yeaV//cmoM//aslB//mdtM//mscS//pabC//
GO_0009635_4	ampH//
GO_0009636_4	dinQ//yihI//lapA//menI//tdcG//lptA//mgtL//yehY//csgA//rhsD//yghU//ompR//fecD//rbn//glmU//evgS//potG//yigB//gltK//nrdG//cyoA//priB//ampD//rodZ//ymfK//udk//gspE//thiE//allS//yphD//yciF//
GO_0009637_6	yebS//
GO_0009651_5	pdxA//pinR//garP//paaG//yadN//ftsH//
GO_0009653_3	ddlB//
GO_0009696_4	cyoA//
GO_0009697_5	narU//
GO_0009698_4	symE//
GO_0009712_6	cvpA//mdtK//narG//yfcU//add//rcsC//narY//lptF//livF//cutA//
GO_0009713_7	rutR//ilvD//ymgC//yhjD//recF//fhlA//ptsG//melA//frmR//
GO_0009719_3	yqaB//glcC//hofO//
GO_0009730_5	livH//
GO_0009743_5	tsaB//
GO_0009785_5	fhuF//
GO_0009850_4	ycjQ//tsaC//yiaO//tar//alaC//proB//rspB//stpA//cutC//amiB//intE//queF//hslR//
GO_0009852_5	prpD//chbB//yfdR//cptB//pspF//aroF//allS//hisS//allC//murE//rihC//pdxJ//apt//
GO_0009889_5	insE-1//glpB//rimL//fimF//uhpA//patA//infB//manX//yfhM//ybiS//secY//rho//arfA//nrfF//atpD//rffH//speC//ybhI//yehA//gcvR//ssb//rcsC//exuR//ybjG//rsmH//obgE//truC//map//selB//panC//ascB//yhgH//gntP//mnmE//pspF//cbl//ppc//ybeF//yqhC//hisM//spy//ilvN//nac//rnr//lptG//mreD//psd//sodA//mrdB//pheT//ribF//btuD//ompG//tolR//ahr//uvrB//ybaQ//yjjI//hybG//ybcF//ybiT//insH-5//nfuA//ldcA//gpp//ugpC//yhbY//yfeR//metR//uxaA//mzrA//yddM//lsrB//rfaB//efeO//aroF//pstS//wcaC//deoD//yhjA//rhaT//yifB//yaiP//fadJ//ydaC//rplB//mltD//pdxA//alsK//trpD//dtd//nrdD//cadC//insI-1//lysR//epmA//alkB//hlyE//yjjG//mraZ//lldP//fbaA//metK//ykgM//yjhG//pdeF//fecA//ybhD//bioA//hha//gadE//fimA//elfD//guaB//glpK//speA//uidR//cpsB//tesB//csiR//mug//ribB//gmd//wzzE//yeaK//cvpA//uvrY//rlmD//arnF//idnT//mdtE//waaU//gspE//kgtP//trpB//uvrC//dsbG//codB//ghxQ//mdaB//emrB//uspE//fmt//nikC//adk//yhcF//frlA//ccmF//rutG//rlmE//clpX//ldcC//matP//wcaJ//yqhC//yiaU//ubiF//glpK//ubiC//yafO//rapZ//bamD//ssuC//yhjV//nrdG//trmJ//lit//glnL//purL//nimT//recX//yhdJ//yqiG//dxs//sanA//xisR//mgrB//yebK//flgH//araE//arnD//rmuC//hofN//pta//uspG//pdeH//hipA//yeaV//uvrB//mhpC//mltF//ybfA//livK//dauA//ykgF//rpnC//rsmA//rng//kbp//ybdZ//fliS//aroA//potB//metI//lysU//purU//cusF//dppF//qorA//nagZ//kdsD//frr//ddpX//sspA//mdtJ//ptsP//atpE//yedF//recG//potG//hipA//araC//yggW//alaE//rclA//purA//hslV//ccmD//ccmC//yiiD//tusD//ascG//fdrA//hxpB//ybiI//yidL//ldtB//rof//mdtE//phoE//gntR//wzyE//dadA//pitB//kdsD//mlaE//yccS//ybhD//ogrK//rluE//torS//appY//rpmC//phnM//yhgF//nuoN//malF//cspD//preA//ybcM//holB//cdsA//yeaG//galU//yqiG//gpr//thiM//yegV//yibH//cadA//ibsB//slmA//ftsX//rutC//hflD//hdeB//glyA//rlmD//agaB//mnmG//ynaE//ygiW//iap//rcsD//aroF//torR//deoA//yghU//malG//glk//sucA//arcA//hdeA//xylF//paaH//ribC//insI3//ytfP//srlE//dinJ//rcnR//fklB//murI//entB//cobC//sbcC//bioH//rarA//yahF//ddpX//rlmF//thrC//rpsG//argR//clpB//aroA//
GO_0009890_6	gntK//ampG//mcbR//galU//mtn//dxr//ytfR//frvA//nikA//yohC//rpsR//metC//trmL//kduD//fadD//luxS//tktB//dgcM//sdhE//ycjR//cbeA//coaD//ugd//ftsB//umuD//prmA//rep//tusD//yhjG//amiD//yiaA//cmoA//endA//nlpE//rpoE//ybiI//queC//yfeW//yhiM//mqsR//rlmA//nirB//valS//waaL//ycfJ//cyoD//mdtE//fkpB//gutQ//rpsQ//ddlA//grcA//ralR//yahD//fimC//rcsB//purA//gltI//accD//dnaK//acpH//rffG//gapA//potB//dgcZ//cpxA//crp//polA//araC//rluE//yqjI//satP//znuA//rclC//cobB//dsbG//alsC//nrdH//mhpB//ygiV//envZ//rhtB//orn//yphC//efeO//zapE//treF//aroL//xapB//galU//rlmI//dhaL//ubiD//ispB//yhdZ//yieH//fabB//ubiB//lapB//ilvH//rssA//dnaN//yafO//sufB//tynA//gspE//ydjM//msbA//ispG//ybdG//gcvA//ydeO//gpr//fdhE//rplI//yjcO//arnD//arcB//aphA//eutN//sodB//
GO_0009891_6	yciG//fryB//iraD//folD//purT//yahB//ybcQ//pstS//sgbU//hyaB//yggE//gspE//cpxA//dhaL//acpP//dcp//kbaY//eutR//srlD//luxS//uvrB//yccS//gutM//cpdB//menI//lolA//hyaC//lpp//pitA//azoR//gloA//miaA//hemN//aidB//bamA//secB//map//dgcZ//sbmC//rlmN//artJ//ghxQ//arfA//narI//glvB//chaC//fliZ//ydhJ//leuE//ascF//recB//ftsP//yfhM//ybaK//helD//trpS//malX//ravA//yhgF//gntK//rsmF//yfbU//puuB//lit//cmoB//pyrL//ubiD//yfaX//yjbH//yehC//sspA//pdhR//fabZ//deoR//fadH//yhgH//ydcO//aceA//yggX//putA//aroH//proA//emrD//
GO_0009892_5	yegV//ibsE//yhbS//yghG//yghW//guaD//chpB//ftsB//pyrG//yciH//rutA//phoB//tolA//btuD//frwC//rhsD//arfB//yjjQ//rpe//tehB//cmtA//paaB//abpB//grcA//degQ//mdtJ//zapC//hofP//yfcV//yqhC//ydjL//alaA//kbaZ//pdeF//barA//murB//hsdM//glpC//opgE//dacB//aroH//opgD//ssuC//glpB//sutR//yjhC//glsA2//argR//ompT//yegT//dcd//treF//yidL//bipA//ruvB//rsmC//cra//asr//yfcS//dnaA//rbfA//yecS//rplK//dnaN//livH//cpsG//yjaZ//yjiA//mog//malX//putA//ycfS//malF//yfdC//cysU//nanA//lsrG//hemH//mnaT//uvrA//glcF//cmtB//yajL//atoB//agaA//tgt//acs//edd//hybA//lysU//ychF//thrB//tar//yqgB//ampE//kdpA//nudB//hofN//xseB//ykgO//gppA//ampD//frlR//yjbB//paaH//gldA//ilvD//fliL//xylE//rpsQ//cmoA//fimZ//dgt//citE//cpxR//hchA//glnK//kup//lysC//lplA//csrA//thiI//recR//argR//nrfG//ybiO//ypdF//ygeX//acrZ//ddpA//ygjR//trxC//narJ//citC//mngA//fliT//hisB//hemB//flgH//ribB//prpR//yraK//rplL//pyrB//deoC//fliD//
GO_0009893_5	zntR//fadM//sgcE//hypF//sspB//osmF//purB//metL//insA-1//truA//rpsQ//agaD//cydC//gsiA//ubiE//hfq//pgm//ybjX//melR//ykgA//rcsD//osmF//nrdF//tisB//ymgA//tbpA//cadA//yqjI//tauA//acrZ//macB//gfcE//rhlB//nfo//fumB//mrp//ubiF//thrS//yjbE//zupT//emrK//hisB//sanA//rlmD//zapD//tqsA//yaiV//pgaC//rpmF//yghG//hybD//acrZ//pepA//truD//osmE//focB//malY//thiG//ubiC//helD//frvB//hypD//yjiX//selD//ybcL//rcsC//nemA//mhpA//paaJ//ykgO//mak//glgS//yadC//lacZ//ilvE//cfa//cydA//rpsA//rdgC//uof//epmB//gatD//ybiJ//hycA//ydfH//xapR//pabA//yihV//ynhF//aspS//wcaC//iscR//pinR//nhaA//atpE//yciA//pstA//aceF//yheT//
GO_0009894_5	frdA//sodB//dmlR//ygjH//pdeD//ynbD//nrdG//aes//dgcJ//rpnC//rnc//lptE//gpmA//cas1//
GO_0009895_6	leuO//malE//yfaL//rpiR//
GO_0009896_6	ulaG//uvrD//polB//
GO_0009966_5	tufB//
GO_0009968_6	lolA//
GO_0009970_6	yihU//yiaJ//cho//
GO_0009972_10	alsE//
GO_0009991_4	glvC//abgR//mdtK//rluC//ftnB//pgl//rnpA//pal//menH//evgS//dtd//relE//yegT//fabB//fre//gcl//prlF//aspS//ydiV//ybfE//ydiP//pheS//copA//iraP//tdcR//xthA//kdsB//clcA//yieL//yihW//rlmH//ccmC//lamB//priB//mntP//ydeT//yneE//uvrY//rapA//hisC//ftsP//galK//chpB//msbA//gyrA//dmlA//alr//lptB//zapE//hemL//barA//mrdB//bioB//btuR//acrR//exbB//yafQ//rnr//rplJ//queC//fecA//tktB//zraR//
GO_0009992_5	opgE//yadM//ydeI//rzoR//
GO_0010033_4	macA//tcyP//sufC//dacB//dnaC//mdoG//ftsI//waaC//ygfZ//nrdB//hypT//dapF//tyrA//glcF//mdtO//mntH//yohC//lacY//tamB//yebC//yoaB//ppc//yhaV//nrfG//cho//ydjH//gapA//pstC//ptsN//selU//rpmJ//sufC//sbcC//mreC//sdhB//tcdA//kdpD//sfsA//miaB//creC//eamA//entF//prfA//
GO_0010035_4	ecpR//osmY//manA//ogrK//pyrE//csiD//narK//rclB//ushA//yibH//mglB//caiD//paaZ//cspB//frmA//ghxP//kdgT//ydeP//atpB//dpiA//alsE//nikE//dxr//pal//kdgK//selB//rbsC//hisC//tcyL//mrdB//ynfF//eptC//tldD//sgcE//uxaC//yjhH//roxA//fryA//rpoH//rstB//entA//fliT//fucI//nikC//yhjV//nikE//yaiV//ldtB//potI//hinT//mipA//rffC//folE//gabD//fadD//ykgM//hyfA//ygcO//rffH//recD//dgoR//ribA//envR//mdoD//bdm//ftsH//aroA//lpxK//dedD//osmE//gltP//ugpA//fixB//abpA//tdcE//rfaG//
GO_0010038_5	rdgB//trpS//cheW//tsaD//yjbE//ybeQ//dppD//yfeD//yieL//cecR//fliG//zapC//pdxA//nanA//tauA//rpmE//hybG//epmB//iap//hypA//rhmR//ydeO//mtn//tcyJ//cpoB//yedX//guaB//uspE//zinT//gltP//ribB//waaJ//yabI//hflC//fryC//gntR//aqpZ//ybaO//wecE//rfaB//atpC//hsdR//pbpG//ybbN//rpnA//
GO_0010039_6	ybjX//dps//trpE//folD//aceK//metI//uspB//
GO_0010041_7	eutD//pcnB//rbsD//ygcR//ppsR//rfaD//
GO_0010042_6	treR//rplF//
GO_0010043_6	yedA//dnaC//frmB//fepA//fepE//ulaG//
GO_0010045_6	mutM//iaaA//lpxL//
GO_0010106_6	gpt//
GO_0010124_4	ynhF//nac//clsC//acnA//hypC//rodZ//yfbU//tdk//torR//fecA//pepB//yehZ//yjjQ//
GO_0010133_7	prfC//
GO_0010139_7	pykF//
GO_0010165_6	yiaT//syd//yfdR//napB//ygaH//lptB//dnaK//potG//yahF//mdtN//ynjD//menA//wrbA//fimB//atpG//nemR//
GO_0010167_5	psd//purB//
GO_0010212_5	gatA//ydjM//ydiZ//mngA//hybA//cyaA//murA//idi//flgC//clsC//glpD//aceK//ygiN//ettA//nagE//mdtF//argT//aceB//amiA//cheR//tusC//rcnA//prs//chbA//srlA//thiI//lpxH//agp//
GO_0010226_6	yneL//
GO_0010243_5	ptsP//gsiC//thrA//acnB//leuD//ratA//uvrB//rhaT//raiA//ybaQ//panZ//holE//argD//coaA//msrP//surA//
GO_0010269_5	xapB//
GO_0010272_6	atoC//hyi//entE//mepH//yggW//hslO//
GO_0010273_4	torS//rpmC//panD//fucI//nhaA//dinD//
GO_0010288_6	ydiZ//
GO_0010312_3	mepM//
GO_0010332_6	frdD//
GO_0010350_6	galK//pgk//
GO_0010438_6	pdxA//cas1//mfd//rlmJ//
GO_0010447_5	marA//alsC//ychH//pinE//cvpA//rcnR//sad//yjhH//csgA//gntU//tufB//tauB//ygfZ//malK//gntU//fliZ//trpD//hdfR//acnB//cmtB//tauD//
GO_0010466_7	rsmA//yfcA//
GO_0010468_6	mrr//mntP//murE//cbl//kdpB//sspA//ycgR//nanA//iclR//rbsB//allB//trmJ//kdgR//dhaR//dnaC//yggW//narK//yggW//yedX//ycjP//dinD//sucC//tatE//sodA//ribE//pgpB//dinG//yehD//atoB//gntU//mnmE//ptsI//napB//edd//hisB//pphB//fabG//fucI//pdxK//kdsD//sbcC//secM//rcnA//patD//potF//pgpC//lsrG//setB//emrB//thiG//dsdA//ftsN//dhaR//nrfE//yadI//yraH//glgP//opgH//mdtK//glmS//yagG//ydeM//yphD//glpB//yciA//fimD//xylG//proQ//cheW//trmH//lplA//ydbD//panC//mgtA//hybE//cysG//gnd//tas//trpE//hemC//mdtQ//uxaC//yobA//fadL//fbaA//ivy//mdoG//ychH//rlmH//ydhJ//lsrG//insI3//murJ//murJ//ycjU//rcsC//mutL//dtpB//sgcC//bamB//rseC//nupC//pagP//paoC//lrp//rrrD//obgE//bamE//ydcO//dgoR//rplF//mcrA//ldhA//hyfR//xthA//yfiF//lptE//nagZ//kbaZ//setC//orn//yieK//insA-2//kefB//ghxP//selU//citE//mprA//mhpT//trpE//ghxQ//dut//thiD//hipB//ftsZ//mdtC//ompL//malY//yfjR//malQ//elaB//recN//ais//fecC//treB//lacI//gluQ//yidQ//uup//glmM//waaO//hokB//miaB//sdaA//fdhD//ftnB//bioD//yobF//murI//insF-1//uxuA//hicB//matP//srlA//thrB//mrdA//rpsL//bioD2//nrdG//waaB//citG//treF//yidC//puuA//fimZ//menE//sppA//nanK//dgcQ//yddM//pheS//rcsF//astB//pta//lapB//slyD//trpA//alpA//focA//rnt//bssS//dsbA//rbbA//rplC//pgrR//srmB//hybF//gltL//murD//cheA//sgcB//yhaJ//fabH//thiE//kch//abgB//macB//xisR//dcm//fdrA//xylA//uxuB//ydfG//gnd//curA//fryB//lysU//ykfM//yhdX//ydaC//pdeL//uvrD//phnG//insI-1//ykgF//yqaB//ppiD//speB//gcvR//ilvC//yeaV//trkH//ycfH//sapB//treB//trpR//waaC//moaB//thrS//argK//rcsF//rpsI//recX//ydiQ//hofO//dnaA//bcp//bioA//speC//dctA//hslR//proB//lasT//setA//glgP//ygiV//yhaC//yejA//tehA//sdaC//yfdC//serS//pntB//yehX//murR//nikA//ugpA//ppx//wecC//sad//sbmA//ltaE//clpX//entD//sppA//thrA//ybjG//spy//frvR//cho//hupB//ynhG//yjaZ//eamA//ruvB//yihX//kefB//ugpB//yhaC//murI//ybiJ//nanE//tyrR//gntT//thrS//cptB//tnaA//argR//yidH//minD//eamB//ynjD//eamA//pykF//ydjJ//thrB//tyrA//hinT//rsmC//thrS//yfhH//hemL//ppk//feoC//argK//gcvA//mtlR//dcm//
GO_0010498_6	torR//
GO_0010501_7	hofM//insH-6//zapA//flhE//rpmB//envR//yjiQ//dsdC//mdtA//
GO_0010528_5	zntR//
GO_0010556_6	ynfF//hcaB//panB//tpiA//tauC//ycfJ//bamD//pdeK//ygeX//iap//lptF//potE//elbB//iraD//yhgH//cpsB//ompW//ldtD//ybgP//ydeI//nimR//pntB//cysS//deoC//pspG//artJ//leuB//hxpB//cspC//dgoK//hisB//frsA//hflX//rluA//trkH//cusA//tsaD//dhaK//ampG//opgH//uxaB//yigL//yecS//insB-2//cusC//modC//glsB//creB//rlmH//ispA//accA//sfmA//mazG//waaZ//dpiA//ytfR//csgD//yhfS//pphB//spoT//lptG//metL//paaJ//fecC//torD//modA//rsmJ//marR//ymfA//glvB//bglA//ghoT//ygeV//yjgX//gadB//ydjL//mhpR//ldrD//insB-4//ybaK//curA//nimR//mcbA//cydD//rcsF//yciE//plsC//queF//mazF//minD//yidC//torZ//cyoD//frdC//ybiO//uhpT//gltX//ybhJ//yhhY//ompT//napD//mdtO//epmC//hyaA//lacZ//curA//alaS//lpxT//tnaC//menA//lepA//yobA//aceK//frdC//cobS//lpxT//amiC//phnG//recE//yhcD//pspF//guaA//mglA//aroC//trmA//nuoM//roxA//srlD//srlA//yfbV//yphF//rplW//flgJ//fadH//ydfD//mdh//ygiW//menD//bamB//lyxK//phnM//ndk//entH//gcvT//btuE//fucK//lysR//recE//mdh//coaE//ssuA//glsA2//vsr//malG//rnpA//nirC//frdB//rpsK//ilvB//yadN//gntP//waaJ//ycfH//ytfT//yqeF//ybiH//efeO//rpiR//rodZ//rsmD//murD//cusC//tusC//asnS//yiaF//focB//purT//dxs//bioC//yifB//ydcZ//dgoR//cadB//hycB//bglX//trmJ//hdeA//uvrD//gsiB//iaaA//nuoM//matP//ycaN//nanS//bglB//rimI//yagU//insH-5//fau//fimG//potA//gloB//ydeT//coaE//rpsJ//hybO//tcyN//aes//thiM//yahD//yphF//lolE//yjjQ//argG//yqaB//cydC//azoR//nrdA//hprS//yqgF//fau//lolE//crr//cyoA//fliZ//ybcQ//rluF//hslV//yfcG//alaA//crcB//betA//ydeE//eutD//ubiF//yedP//ccmF//intE//acpT//ibsC//aldA//mdtN//ybjC//mltD//arcA//yqjH//lnt//chbC//rnhA//ybaT//yggT//malG//fixC//yagF//lnt//nsrR//borD//hdfR//aroL//rfbB//yfhM//livF//ligB//lit//brnQ//bacA//ybdM//yajO//ihfB//dnaK//clpP//ung//bhsA//wzb//citE//gatB//paaZ//yhbQ//sgbH//kdsD//mngB//sufS//flhE//rfaB//mdtB//exbB//ppiA//ycjR//aroH//ygfZ//sgbU//yafN//intQ//yjjU//hypA//ridA//tusE//adk//rrrD//cmoM//ybbY//atpF//pbpC//hupA//pgi//murC//rplK//pgl//thiG//yphD//queA//glgC//
GO_0010557_7	gpmA//mtnN//ompL//aceB//srlA//chpB//deaD//artM//frvA//pinR//yaaJ//uspC//lolC//chbF//preT//yefM//napC//erpA//yceO//yoaB//ftsI//yjjU//proV//kdgT//yqaB//essD//gntK//yggT//ycdX//grpE//fes//ygbN//rpsI//ycjQ//wecC//maeA//ybdH//mnmE//dgcJ//mntP//sapA//fimF//gabT//cmoB//nmpC//coaD//yqhD//dppB//hicA//fdhD//ndk//osmF//fecB//plaP//frdB//ilvM//ubiC//pck//xanQ//fepB//yagJ//ybdZ//glgS//yihR//gpt//yjcO//uvrB//ompA//cpxP//mazG//ligA//amiD//nupG//hofQ//lysU//lpoA//ybiT//gluQ//napD//acrD//waaP//fdoG//
GO_0010558_7	murI//yhfS//nhaR//mngR//prmC//yggN//ycfS//yhfK//hdeD//panF//yddA//arnA//rhlE//tusE//yafS//thrB//adiY//efeO//mdtA//ldtD//mdtD//lpxT//yqjI//tcyN//mlaC//cutA//bacA//deoR//fimF//yccX//ftsX//uup//nagD//pspF//kefB//pepT//yhdX//dapB//flgC//yggD//pbpG//wcaJ//insH-5//aroB//wzyE//kefF//uxuA//ydaN//sspB//mscK//rutB//ymgF//glpR//ybhP//yedL//ftsH//rsfS//rhaB//yihS//paaB//bamD//mmuP//lacZ//slyA//lolB//yeaE//cutA//ltaE//nrfB//ompR//hofM//rplB//mscM//glpR//fkpA//tolA//malS//adiY//slmA//lpp//elbB//araG//fes//phnG//yqjA//kdsD//dps//murB//sgrR//rfaG//dxr//yhjB//dctR//yiaN//betA//pdeK//rplR//yqiJ//cof//fdoG//hupB//mntH//ycbB//acrF//speA//yahF//thrB//ybaM//lolC//phnJ//crl//sanA//oppF//entF//phoA//pstS//paaK//hpf//acpP//cycA//
GO_0010562_7	ldtD//yabI//
GO_0010563_7	potI//galM//
GO_0010564_6	tusA//rfbC//ampD//lhr//moeA//
GO_0010565_6	melR//yqgF//ynjA//cpdA//greB//perR//
GO_0010604_6	yhbX//ptsP//dsbA//gudP//dtd//cdsA//mglA//ompL//tsaD//cyoD//metC//mdtC//bioD2//ldhA//insK//hemC//entD//casC//yqiI//mnmE//priC//mdtA//yjjW//puuC//cadA//ptsN//yqiJ//ygeX//ppc//aroL//hemL//tqsA//bssR//ascB//pdxJ//nadA//potC//mdtA//puuA//pdeL//setC//psuT//sutR//zapA//potA//ydbD//abpB//sgrR//gsiA//yjhP//cysQ//astC//caiT//ybiX//gltK//rimL//fabH//kdpE//ugpC//rsmC//yajR//accB//ulaF//pal//lon//aroL//lplA//rimJ//rcdA//zinT//mmuM//mhpB//yddL//waaJ//dtpA//ileS//hyaA//treF//kefG//yfcP//cca//crr//trpL//nsrR//ralR//rfaB//wzzE//malE//phnJ//araE//ltaE//ileS//yfbR//
GO_0010605_6	hupA//cyoC//msrA//rhmD//rpiA//ihfB//nirD//nuoN//yeaK//uxuA//yjjG//ybhA//rpmC//ydhK//mprA//glrR//metN//ulaD//pgk//fdnH//dicA//yeiL//frsA//hyi//alkB//csgF//ligA//ivy//phnH//phnO//prpD//ytfP//pntA//ligA//ygaZ//yhaM//glsA2//ygjH//cspI//dgcQ//lldP//galT//yidH//insB-4//mltB//maoP//lpd//yijE//manX//glmM//nepI//dgoA//rpsR//rsmG//tdcA//nanE//pabC//gnd//yidE//rutC//carA//hdeA//srlE//rplT//intZ//paaC//mltB//yjjG//nuoF//dnaQ//gph//frwB//ilvL//rpsL//yhjD//cueR//yihI//yqaE//aphA//gstB//ulaR//rpsN//csrA//tdcC//pth//pyrC//aceK//hycB//perR//rffM//rbsB//cyaY//torA//intE//yfeO//uhpB//ygfX//fkpB//gstB//eamA//eamB//chpB//rpsG//asd//cpxA//ubiE//ttdA//lapA//menD//dinD//nemA//tnaB//yihO//ffh//mepS//ribA//pdhR//aroH//xapB//yihR//glpC//nupX//zapD//yafS//oppC//moaB//dgcF//yidZ//frmR//yfdC//ynfE//hcaC//rlmG//yedA//tufB//casE//cof//queF//hypE//bepA//thiI//yeiL//ftsL//lptE//
GO_0010608_7	crcB//surE//entB//yfaX//kdgR//frlA//hypC//feoC//cspD//secE//fabA//essD//hemN//pcm//thiG//livH//ybiT//cycA//bglX//iscS//ybjN//recR//otsB//menA//nupG//arsR//cdh//crl//gluQ//yagU//soxS//lsrG//ghoS//sspA//sgcX//yigB//trpS//cusF//yebQ//potH//ahpC//yraJ//add//glyS//
GO_0010628_7	grxD//hmp//yaaY//ynbC//bamC//bcp//wza//chaA//ilvM//mazG//bglJ//purU//queG//pgpC//rzpR//rayT//lplA//yjfF//mobA//fsr//mppA//dppF//ygiW//yjcO//yjiQ//cusS//alaE//blc//ybbN//trxA//trmO//feaR//fliZ//uvrD//frdB//yijO//speE//yehU//yqiH//hyfC//cpxA//gadA//rspB//metF//gloC//feaR//ldhA//folA//dppA//sgcC//hisA//ptsI//pabB//puuE//rcdA//torI//mepH//ynaE//yebG//cysM//appY//ldtE//znuC//dcuR//bluF//cysK//thiL//glrR//yebC//aaeA//hyaA//deoD//rsmA//hscB//hsrA//pitA//mlc//sapB//speD//yggT//rluD//nanA//rsmC//
