#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rcnB//feoC//nrfG//yfdG//
GO_0010041_7	ybgQ//gph//rplI//yieK//nirD//yrfG//
GO_0010042_6	mdlA//syd//
GO_0010043_6	yfgI//rlmA//ynhF//aidB//alkB//yghG//
GO_0010045_6	ftsE//yojI//rffM//
GO_0010106_6	hdhA//
GO_0010124_4	mhpC//potB//arcC//ytfQ//yjjB//flgI//ftnB//nupG//ettA//tamA//nikA//ymfA//xylR//
GO_0010133_7	osmY//
GO_0010139_7	yoaB//
GO_0010165_6	pldB//etp//bamD//ompT//acrD//mrcB//ubiX//ruvB//sapB//adiY//guaA//rutR//hypT//nirD//hflC//pliG//
GO_0010167_5	hslR//asnA//
GO_0010212_5	asd//hcp//garR//frlA//cueO//adiC//nuoL//tldD//ttdR//pbpG//ttcA//higA//mfd//srlD//trpC//pphB//ybiJ//purR//nadA//hxpA//rpmB//tisB//rplR//frdA//yjjI//fhlA//uhpC//ymgC//
GO_0010226_6	kbaY//
GO_0010243_5	holC//greA//yhhY//ybcL//gpmM//fepA//xthA//mdtA//mdtN//pck//cobT//queD//dcuS//tdh//ydeI//rfbX//
GO_0010269_5	yiaN//
GO_0010272_6	thrC//dppC//lldR//borD//nanT//rffT//
GO_0010273_4	csrA//rluA//glgX//lptG//ghoS//tdcD//
GO_0010288_6	tusA//
GO_0010312_3	yqiG//
GO_0010332_6	wecC//
GO_0010350_6	ybiH//cueR//
GO_0010438_6	bglA//ybjD//nhaB//yagF//
GO_0010447_5	preT//crl//proA//rsmI//sgbH//dnaC//leuB//yqeF//phnL//yohD//xapA//mltA//rplJ//norR//adhE//alpA//crr//yggD//tcdA//thiI//sgcB//
GO_0010466_7	torR//lpxC//
GO_0010468_6	yjhI//idi//blc//narW//afuB//yajO//afuB//blr//bglJ//gudX//rsmA//etp//yidZ//yhdH//ybjD//rne//pitA//kefG//yfcQ//ompT//mdtM//yafC//csgG//srkA//rplO//dcp//lpxT//eutA//der//cadA//yjiM//mppA//thrL//eco//fdhF//tsr//yfcG//gatA//ycaN//ydjM//rpmA//tomB//hisQ//folX//fucP//waaZ//ybaM//dadA//cutA//nlpE//yahK//hiuH//ssuB//yggN//murP//araA//yfiE//clcA//lptG//yehC//ybiS//hupA//dnaJ//ybdZ//yciH//pdeF//sfmC//fur//tdh//flgF//hiuH//adk//fabG//yfeO//cheY//ybiV//dctR//trmL//purL//dpiA//potH//dnaJ//folM//prc//degP//cpsG//trpL//rpnB//suhB//ldtD//ascG//murR//abpA//frdD//yraK//cbpM//ycdX//yjcS//yghO//artI//proA//yagI//trpB//fliT//cmtB//rsmC//proB//dtpC//glsA1//ushA//yahK//ybaL//gatZ//fimF//yhhZ//bsmA//paaH//nanE//napC//recD//pdxY//mcrB//opgD//dnaG//lapB//dxr//ghoS//ydiQ//rihA//fnr//lgoD//smpB//ybjN//ybcJ//sulA//ubiH//fetB//mdlB//luxS//yfcG//epmB//dinG//tmk//yahN//cobC//sfsB//rihA//araD//ycdX//holE//entB//malZ//csiR//holB//rpsK//yeeO//btuF//rhaR//cysH//rrrD//yneE//metC//trmJ//trpE//ybdM//dnaK//dsdA//insI-1//fadK//msrQ//tusD//sbmC//moaA//cra//btuR//dcuC//rpiR//gntU//nrfA//hisI//ybdZ//ccmG//casB//yciK//ycgB//pgl//zapD//ynbC//caiB//baeS//tdk//glgS//yqaE//ogrK//plsB//rpsD//xerD//pstA//rcsD//ettA//ygeA//nhaR//bglA//pal//secG//nuoN//uidR//queC//fadD//lpoA//cutC//sucA//ygfZ//speD//cysE//yahB//ynfF//basR//lrp//rfaD//rbn//rplF//yedA//xylH//dsdX//ubiA//rimJ//acrA//manX//eno//fhuF//cusB//sbmA//frsA//rlmD//lgt//prlF//dcuD//ydeM//menC//fdoG//argE//gcl//yjcS//livG//ibaG//yhdX//hokB//potH//thrC//sspA//hscA//livG//gpr//ascB//gor//arsC//gltP//thrL//hdhA//infB//ybcQ//bcp//rnhA//fecD//livH//yiaB//hdeA//ymdB//yajO//yjjG//epmB//hslJ//yfcV//rplM//aroL//rimL//rpmJ//ygeV//sdaA//dcp//rluD//parE//pdxA//ghoS//napC//yggF//ispU//yjeI//hokB//dgcF//rnt//crcB//ggt//ftnA//ybcF//fadK//gltI//rep//hemD//yiaU//mipA//mqsR//cysD//hyfA//rseB//rhsD//accA//garK//cvpA//waaJ//yihI//mhpA//elfD//gluQ//tcyL//nrdH//lysO//
GO_0010498_6	trpA//
GO_0010501_7	nirB//yidZ//ortT//relA//secY//mutM//yegV//prlF//uxuA//
GO_0010528_5	ldtC//
GO_0010556_6	minE//hflC//gudP//fadK//ppc//dcuB//kilR//fkpA//intZ//entF//pck//yddM//glcB//mnaT//yraJ//lysA//purT//puuD//ompA//yqiG//pgk//ecpR//ppiC//rhtC//mepH//norR//elaB//ytfP//ydhQ//lsrC//waaS//mug//patD//nrfD//alkB//hisS//hofQ//bglJ//folP//rng//rsmI//araH//argF//cysD//cysI//dgoD//xylF//ydcS//rpsK//rfbB//cynX//chaC//ydaV//dacA//yqeG//nfi//hybD//fryA//fumC//dtpC//mutH//rseP//fsr//ypdA//qseB//dcuC//waaC//ygjR//mrp//lacZ//yhiM//ygaH//lplA//zitB//fdnI//rseP//roxA//rpoS//xseA//yhcN//ilvL//fbp//csgA//zapB//ldtD//bglH//wzzE//ygiS//minD//adiA//insB-4//accD//pflA//mliC//pabB//rplS//otsB//rnhA//csiD//yjjW//glnS//rodZ//mlaE//mliC//stpA//rimO//folE//dcuA//lpxM//waaH//deoC//lpxB//yafE//yhcN//cyaY//ldrD//purF//rpsS//evgS//nupX//yiaA//flhC//htrE//hflX//lacZ//sbcB//yejA//rspB//bcsQ//fadJ//ggt//hxpB//rluE//msrC//hofP//gatY//pitA//yafN//agaA//fiu//yfaL//kduI//nanA//ecpR//yidL//sdaB//prlF//efeO//barA//pinE//yebC//rhaA//crfC//adeD//pheP//rfbB//rpsO//sdhB//hofP//galU//tusA//araE//mltC//lgoT//hicA//garK//osmC//rplJ//yiaU//cnu//wzzB//gltX//adiY//sgcB//nlpE//cbpM//chiP//yebG//secB//nikE//recT//cysB//dgoK//mreB//dppA//cysB//yhaO//valS//citT//ygbL//mdh//dgoT//def//artM//rmf//fimC//evgA//puuB//fkpA//envZ//btuE//cspD//ygjH//lldR//add//gadB//rffT//caiD//mtfA//argK//bisC//pppA//arcA//asd//lamB//idnO//ytfR//exuR//ybeQ//araE//yraN//yfhM//nanR//yjbB//opgH//yfeR//ypdC//yhaJ//ygeV//gadA//yhdX//psuG//hiuH//ykgF//ydcP//yeeY//lepB//yhaV//narH//yjeI//frvR//cysQ//mdlA//trpGD//yhcF//clpP//pstC//btuE//glcE//cra//hemD//mmuM//sfmF//yhjA//caiE//fdnH//hybA//glgP//rihA//waaP//upp//pdeL//agaR//proP//rseC//coaD//folE//gyrA//glpT//msrQ//puuP//rlmI//ltaE//menD//yfbU//araD//btuR//codA//panF//proP//fhuC//rrrQ//holA//groS//entD//tag//mgtA//uspB//ftsZ//acrE//ghrB//argF//xseA//waaF//dmsC//mqsA//ygfZ//alaC//nikB//rplB//ldcA//ghxQ//tamA//lsrG//pgrR//hemL//mltB//ogrK//dsdC//purU//yceO//tatC//
GO_0010557_7	ssb//narH//pyrH//fliL//glvC//flgH//phoR//ybjD//dacB//ssuB//flgF//ybaT//yadN//fabR//ycjW//spy//torD//pheS//xseB//ycjY//lpxT//ccmD//accA//galM//cspE//argA//narZ//eutD//mnmA//hdfR//lptF//rpoH//ymfA//hslU//yfdO//prlF//yidZ//murJ//nrfC//aceA//arnA//macA//fucA//ilvC//yiiM//cas2//yeeA//aroP//mqsA//rsmG//glsB//evgS//yiaM//fixC//zupT//srlD//ais//ivbL//pbpG//dld//radA//ptsH//crfC//tatC//ytfP//ascG//gadC//ccmC//hdeA//brnQ//pepQ//narW//entC//menC//hofO//metR//ldcA//artM//cca//alsA//cfa//cysS//
GO_0010558_7	yqjI//paaB//mcbA//rplJ//minC//gfcE//sufS//phnN//yecS//pcm//hicB//yfbU//ttdT//yfcG//dtpA//ydiQ//flgI//zntA//eptB//rlmL//folE//cmk//iscX//yqeA//agaI//ubiX//truA//tehB//ykgO//yhbS//aaeB//dctR//panZ//yeiE//yhbY//metG//narW//idnK//ubiX//mhpA//nrdR//insB-2//ggt//ftsN//proQ//entF//guaD//modB//amiC//tsaE//frvB//lasT//ybcQ//mog//mepH//kdsB//cspB//rnc//lpxB//bglB//mppA//dgoD//ilvD//polB//dnaE//ydjE//purR//yadI//dsdA//hyaD//rne//lapA//yjeH//gsiC//arcB//yehZ//hybC//matP//gltB//rsmA//uraA//mtn//ldtC//napA//fepG//ybhF//torZ//sufC//torD//kdpB//glnH//moaD//mdtD//hycI//fimH//mdoD//kdsB//tyrA//insI-1//ftsB//pdeK//manZ//acrR//fabZ//ftsY//cusC//aspC//plaP//tabA//rng//crl//yjbF//dgoT//flgI//lacI//panZ//ycfJ//asd//insI4//plsX//
GO_0010562_7	fau//basR//
GO_0010563_7	lon//lnt//
GO_0010564_6	exbD//ndk//yjiY//glxK//cpsB//
GO_0010565_6	yfiE//ulaR//flgE//cpdA//tdcB//rzpR//
GO_0010604_6	tnaC//insB-4//napD//umpH//mtnN//eutD//ynhF//hokB//fre//nuoI//fic//ftp//cpxA//yfdO//aceB//cof//actP//kbaY//tatD//kch//rof//yhaJ//ugpB//yfhH//yhcH//purD//uxaB//ssuD//nsrR//chiP//fadD//mnmA//fetA//srmB//yefM//yegS//nagK//frdC//tnaA//fliG//grpE//yfcR//secG//psuG//mtnN//hsrA//waaC//rffC//yfaV//alaS//hyfR//fieF//ykfM//manA//dcp//fdoI//waaB//yijE//rhlE//gudX//yjjI//proC//adiC//recX//yrfG//hda//cysE//mgtA//yhcF//glnA//sdhE//rfaF//gltS//idi//alsE//flhA//cpsG//uraA//rbn//yggT//nadB//rutG//ydeM//lysA//mdtE//rutB//yahN//ubiA//truC//sdhE//moeA//trmI//paaG//
GO_0010605_6	mglC//yhaC//uvrA//bdcA//purT//intS//bioF//dgt//ruvC//cfa//ravA//pspF//flgC//flgF//mglC//borD//ubiJ//glcD//xapB//yiaO//waaJ//insE-1//bolA//tdh//yhcN//cheY//yjiA//adhP//pgrR//treF//clsB//bsmA//frlA//yoeE//tbpA//yoeE//exbD//yadC//rluE//kdpB//bglF//fliM//rpoE//paaX//yacG//rimJ//dnaB//ispA//rplD//treR//hisG//srlR//basS//trmB//tmcA//wcaJ//trkH//msrB//gcvA//mcrA//hfq//ubiC//paoC//yedL//thrC//wcaJ//ycgB//fimF//waaC//patD//yjhB//ybdR//intE//macA//pyrF//rng//yibH//rlmH//dnaQ//paaX//yqiG//priC//zwf//pdxB//rhaM//dxs//mscL//ubiA//ydcO//mdtE//yeaE//hscB//yjhC//ssuB//allC//rhtA//zupT//lamB//sthA//yeeL//tisB//atoC//flhD//ulaF//nrfC//kgtP//cobT//smrA//hypE//yebS//rplM//gapC//rbsD//lptB//zipA//yhcF//ppx//cyaY//yjiQ//metF//arfB//gloC//ftsE//rlmA//yhdH//yegT//csgE//mcrB//phoE//rplL//lldP//mrr//mdlB//sapD//glmM//sseA//gatD//waaF//gdhA//gloB//cheB//rdgC//hipB//cutA//
GO_0010608_7	yodD//yfdC//yphD//ftsW//yehB//allB//uidC//ldrD//ulaA//ymgA//dut//bdcA//artJ//rplC//proB//rfaQ//lysP//aspS//efp//norV//chpS//dicC//kdsA//ispB//entD//lysR//rsmA//yccX//hisS//serA//prpD//tatE//pdeL//ybhA//rpmF//hycI//mzrA//pdeK//atpA//yejA//dcuC//mtn//tdcG//secG//
GO_0010628_7	glxK//amiC//lspA//ypdA//dnaQ//yrfG//yeeL//tsgA//fdhF//mhpB//pitA//ybiO//ybcF//emrB//ymdB//uxuR//ybhP//hyaC//rcnR//rffH//phoR//fetB//casB//yidL//cytR//cdh//yaaJ//puuA//ldtA//ydeO//serS//tehB//ycjY//rpsJ//mtlA//fabG//yfdK//wecA//eptC//kefC//rplE//panD//sfsA//rffC//wcaJ//gutQ//mtnN//yfcQ//ampE//surA//rutB//ompC//ldrD//srlE//malK//setA//sufS//yehB//yneE//hxpB//nepI//sfmF//preA//dmsB//gdhA//gpp//flhD//dxs//gcvP//ypdC//lsrC//ybcQ//emrB//ydbD//sanA//tdcC//caiD//rplT//dinG//rfaC//rcsB//xylE//matP//
GO_0010629_7	edd//rpmA//malG//livH//secA//hemB//fucO//mtlR//coaD//ileS//topA//hisF//hipA//ybhP//topB//malY//yiaA//yaaU//pyrD//xthA//bolA//yghG//yeeY//dtpA//ulaF//hofP//yciV//oppB//hflX//hchA//fre//msrQ//suhB//plsB//pyrE//recB//agaV//dgoR//efp//yhjX//araE//higB//ycaN//waaS//dgoR//pliG//lnt//folE//ybcF//lsrG//hisH//recD//dacC//motA//potC//dmsA//yceD//rsuA//slyA//crl//holB//trkH//yihS//ldrD//ribE//yfjV//yfcS//ileS//yddA//yihS//sdaA//bioD2//yfaE//miaB//yidP//rhsD//cmk//glcE//cusC//yfbS//hsrA//xylB//yfgI//gpmM//ibsE//ddpX//mipA//fre//nrdG//rpsD//sfmD//glpB//plsB//yjhG//sanA//ahr//argP//ybiY//atpB//murP//eptB//cmk//rpmB//nikE//galT//aspC//purA//yiaM//hemF//yehZ//yhbS//kch//rutF//tusB//cpdB//ygfZ//purA//dicC//ydfG//pspF//cas1//entE//nmpC//yjiM//lptD//tdk//fliL//yjbE//
GO_0010638_7	tnaB//mhpR//
GO_0010639_7	fryB//fpr//cyoC//
GO_0010646_5	mscK//
GO_0010648_6	ygfX//
GO_0010675_6	fimI//hybG//kefF//menA//mdtB//cysK//
GO_0010676_7	argP//cydB//
GO_0010677_7	mqsR//
GO_0010699_4	yehP//artP//
GO_0010810_5	ycgV//yjjQ//
GO_0010817_4	smrA//yfeD//lptD//trpD//glcC//rraA//dgt//napC//ydbK//moeB//yceD//rfaB//crcB//djlC//
GO_0010827_7	puuP//
GO_0010829_7	fabZ//
GO_0010876_4	elbB//
GO_0010906_6	cysH//ttcA//
GO_0010907_7	modC//
GO_0010911_5	alsE//ghrB//lepB//
GO_0010921_6	cyoB//ycdY//tufA//modA//
GO_0010941_5	serA//
GO_0010948_7	fdoG//ygeX//
GO_0010951_8	mprA//agaA//
GO_0010962_7	mdtK//yhdH//
GO_0010966_8	pepT//
GO_0010967_6	adeD//
GO_0010974_7	cutC//
GO_0012501_4	rpmA//ghoS//oxyR//araC//pgaB//dnaE//arsC//fetB//mocA//gltB//setC//yeeY//ypdI//
GO_0014070_5	yceO//yfcG//
GO_0015031_5	parE//araA//entA//thiE//ybdG//entA//lpoA//malX//thrL//pdxY//dgoA//flgG//yedX//frlA//flgA//lnt//cysP//deoB//alpA//queF//cpsB//galR//sfsA//fimB//hypD//hsrA//csrD//erpA//osmE//rpoH//rep//rpsH//trpR//rimO//frwD//livH//yjjU//dfp//ybcL//setC//yrfG//
GO_0015074_6	fixA//cobC//pth//yiaN//talB//speF//gapC//
GO_0015628_5	metN//ybaT//elaA//parC//rep//
GO_0015669_5	nlpA//
GO_0015670_6	codA//
GO_0015672_7	kdpA//ygjK//yfjR//acnB//ynaE//mobA//amiC//dgcJ//yjhB//wecB//yfjV//waaH//dcuS//yedL//yqaA//dgoT//tmcA//mgtL//ydiV//yecS//feoB//hslJ//cdaR//map//lpxC//bioD2//preT//hslJ//ygfA//glvB//coaE//ydcI//mtgA//cycA//rsmH//ubiD//yihI//aqpZ//prs//gloB//rzoR//ais//nanS//
GO_0015673_9	prmC//
GO_0015675_9	hflX//lpxB//murP//ogrK//qorA//zapC//gntU//agaV//
GO_0015679_10	ynhF//rfbX//
GO_0015682_8	sgbU//hsrA//rne//ydcS//queF//frmR//galP//dicB//sspB//prs//hisS//ddpX//
GO_0015684_9	yojI//arnB//elfA//yeeY//livF//
GO_0015685_8	mlc//sgcA//setC//cyaY//rlmJ//yihP//
GO_0015687_7	trpS//lptA//tsaB//yigL//
GO_0015688_6	mtr//mocA//pbpC//gabP//yfaL//torA//lon//udk//menH//allC//bdm//puuP//fdrA//nagA//eutR//phoE//xylB//rhsD//
GO_0015689_8	pyrL//blr//yeiG//
GO_0015691_9	moaA//ygeV//ebgR//chbB//
GO_0015692_8	fruA//
GO_0015693_9	katG//speE//
GO_0015695_6	hcaB//ygbL//nac//asmA//accC//ygjK//rsmJ//ilvE//rpmA//folE//lepA//tsf//gntR//ihfA//umuD//epmA//ftsE//glvC//allC//wecC//katG//lysR//phnI//yggW//hcaD//gstB//hscC//uidC//hybA//citC//
GO_0015696_6	kdpC//malX//hslJ//motA//yfiR//zntR//ygbI//fhuB//sgcC//mrdA//manA//arsR//mtlR//hisA//menI//leuS//mgtL//caiD//aroC//yggX//idnO//yadN//uidC//sucC//yafQ//btuB//prfC//mcbR//hslJ//malS//aspA//
GO_0015697_7	tyrS//aspA//yijE//pdeF//leuA//hypA//mraZ//rpmG//trpR//casC//insK//nrdR//gabD//
GO_0015698_7	csrD//alsB//mrcB//ttdA//ispB//dgcN//acrE//sgbE//yihP//dsbB//yaaJ//gltS//purR//ybiT//serS//gadE//galP//pgaD//yadC//afuC//xylE//garR//cof//cspC//hisS//tdk//hybD//ycjQ//ybdZ//ettA//acpP//nuoH//wzyE//yggT//cheB//rhaR//panE//cysE//fryC//tolB//nirD//
GO_0015699_8	yfeR//
GO_0015700_8	hfq//yihS//
GO_0015706_6	truC//tomB//groL//
GO_0015707_6	uxaC//dgkA//yebZ//ftsQ//narK//cysU//
GO_0015709_6	suhB//
GO_0015710_8	yhaC//mdtL//
GO_0015711_6	yjjI//nikC//cirA//yhaO//hicB//galF//ybcF//ilvE//nirC//aqpZ//rimM//tsaC//cysD//ybhR//galK//yajR//sgbE//ygaZ//yehP//lolD//cusC//rnlA//yegD//rspB//yhgH//ygdG//nemA//adiY//recC//insA-2//matP//fadB//otsA//pckA//gadX//rplI//rseB//yfaV//phnH//yohC//gsiD//panF//yegD//btuD//bamE//mepS//plsX//qseB//manZ//narL//ychH//trkH//pyrF//aroP//nfi//yohC//rfaE//tdcF//gloA//lspA//mdtG//trmL//dsbD//chiP//ydhQ//pinR//yraN//scpC//glyS//yggD//ybiV//ydhJ//frlA//dmsB//ygbI//xanQ//symE//xapR//ompW//yohC//sgbE//dapF//speF//gntR//ccmF//mfd//agaS//tolB//tonB//adeQ//ydcR//ulaE//lpxB//yhcD//yiiM//rluA//flgM//xerD//lsrK//diaA//radA//cas2//yccS//aroE//fucK//mprA//ilvH//agaB//rutF//dsdX//fimG//tcyL//hdeA//yggT//yihO//yfcU//murC//xapA//galE//tomB//hemG//metR//katG//fabI//ileS//cspA//feaB//phnM//hyaD//ygbM//cynT//sufB//cpoB//cpxR//rpmB//ibaG//cspB//hyfA//gltB//chbG//cheA//basS//ybeY//ispF//
GO_0015712_7	hybE//
GO_0015718_8	dacD//yegT//hisC//tdk//thiP//hipB//ftsQ//asnA//gloC//lgoD//ygiW//ybjD//tufA//ompL//hdfR//yraI//treF//gpsA//exoX//trmI//entC//gstB//mcrB//setB//
GO_0015721_7	nagB//mrdB//
GO_0015724_7	casE//mak//ilvH//
GO_0015726_8	mraY//
GO_0015727_7	pckA//cyoB//
GO_0015733_7	recF//
GO_0015734_6	lysO//rlmA//hflX//
GO_0015735_8	insH-5//
GO_0015736_9	napD//
GO_0015739_7	argP//
GO_0015740_9	prfB//pdeH//fimZ//qseB//napD//ilvI//dut//shoB//rplE//
GO_0015741_10	pgrR//mrdB//
GO_0015743_10	murI//
GO_0015744_6	glcC//yciG//cbtA//
GO_0015747_6	argI//
GO_0015748_6	soxS//narG//greA//mscM//gcvA//gapA//eutA//malI//fiu//rpsA//melA//ratA//pgpB//ttdB//sucA//
GO_0015749_7	flgI//guaC//cnu//perR//gph//clsC//pth//fliA//gltL//yqjH//araA//yfeD//gluQ//xseA//hycA//yoaA//ldtD//nuoN//bioD//bluF//yhdH//chbG//gltX//pinQ//lolB//feoA//pyrL//minE//tpiA//rpsG//msrP//tdcF//srlA//fabZ//cspB//lptG//ubiX//glnE//ybjC//ampE//dpiB//amiC//rnr//gntK//ldtB//
GO_0015750_8	rimJ//truB//smpB//yfcP//lpxL//wcaB//polA//lgt//appY//alsA//ybiW//uidC//yhjA//
GO_0015751_9	bluR//yehX//bacA//macA//miaB//gatC//
GO_0015752_9	glpT//sixA//manA//nrdA//modA//kduD//
GO_0015753_9	ibaG//yjeI//rraA//
GO_0015754_9	ynfE//fadE//lgoD//
GO_0015755_9	cadA//adhE//paaZ//bglA//ycgR//acnA//waaS//malG//pyrE//secA//nagD//
GO_0015756_9	fryB//ihfB//
GO_0015757_9	purT//ytfR//ssuB//insE-1//djlC//sufC//eptC//
GO_0015760_8	sfmD//
GO_0015761_9	fdnI//hybA//tmk//
GO_0015762_9	kdsA//
GO_0015764_7	rplT//msrB//gmd//ihfA//
GO_0015765_8	bglF//zraR//xylB//flhA//
GO_0015766_8	idnO//rfbX//yihW//ycjR//yihO//parE//dnaJ//ydeI//greA//blc//tdcR//etp//ratA//leuE//
GO_0015767_9	dcuB//dtpD//rplY//dinG//
GO_0015768_9	degS//trpC//gstB//casB//wza//glcA//
GO_0015769_9	gadC//
GO_0015771_9	yebS//plsC//tyrA//hflX//
GO_0015772_7	nac//rdgC//rpnC//yccS//yfjV//rbsR//livK//eutB//tusA//yrfG//yjbG//baeR//rffH//moeB//rbsA//aas//ytfR//
GO_0015774_7	clpB//ybiV//nsrR//emrB//hybB//metC//
GO_0015778_7	rpsD//
GO_0015791_7	miaA//ptsI//tsx//allB//yahD//dapF//ybjN//bglF//
GO_0015793_7	recR//napA//
GO_0015794_7	rfaG//ispU//hdeD//yqeF//manY//
GO_0015795_7	coaE//
GO_0015796_7	hlyE//tamB//cvpA//nuoH//
GO_0015797_7	nuoE//dinG//
GO_0015800_7	nlpE//clsC//treB//purA//
GO_0015801_7	rlmI//rpe//abgR//ligA//fadK//yebC//abgB//gltL//
GO_0015802_7	hflK//tpx//yiaL//bssS//paaD//nagK//gpt//
GO_0015803_7	osmF//mdtD//srmB//sdiA//dcp//feaB//lamB//sgcR//yiaA//hypC//fimD//
GO_0015804_7	ppiA//tnaB//marA//pagP//sgcE//soxS//murB//leuB//rpmH//maeA//yehD//ygiW//fadB//pyrG//rspB//guaB//mzrA//nikB//glyS//yjjU//dld//ulaF//minC//narH//cas1//phnG//menB//malY//pabC//pinE//proB//ulaR//glrR//
GO_0015806_6	rcnR//
GO_0015807_7	murP//helD//thiL//cadB//xseB//yihL//fabR//pinQ//mntP//ackA//yjeI//erfK//aspS//sufC//mtlD//ydiQ//mqsA//panB//holE//yqeF//aroK//clsB//uxuB//hisF//ybcQ//yccX//ydcZ//casC//ybgP//hypF//narX//mdtB//fcl//chaA//ydjE//dsbG//ulaC//hcaD//
GO_0015808_8	acpP//hflC//
GO_0015809_7	agaR//rnc//crr//aidB//eutB//mntP//
GO_0015810_8	menH//aaeA//
GO_0015811_7	kgtP//entB//cspA//yeaK//nuoN//
GO_0015813_6	cynX//serB//galK//
GO_0015814_7	dmsA//
GO_0015816_6	waaO//
GO_0015817_7	sufA//
GO_0015818_7	fklB//trg//nadC//yehX//feoC//casA//rseP//
GO_0015820_7	chbG//rimK//garD//iscS//paaJ//fadD//citT//ybcQ//yfbS//
GO_0015821_7	tabA//hslJ//hiuH//cspI//sutR//
GO_0015822_7	fucA//uhpT//
GO_0015823_7	marA//rhaR//puuC//clsA//yeiL//aroC//rna//
GO_0015824_7	recE//rpsM//
GO_0015825_8	aes//
GO_0015826_7	yahI//aroK//sgcE//
GO_0015827_7	gatZ//rffH//dkgA//
GO_0015828_7	cobU//mdtF//
GO_0015829_7	insA-2//galU//oxc//glgA//ampH//coaE//kdpC//puuA//lipB//
GO_0015830_7	dsdC//recG//rfe//
GO_0015833_6	pgl//acpS//napB//queG//topA//arnD//ahr//srlR//fkpB//cusC//folM//ecpR//arnD//pstB//yraH//frvA//sufE//ycjW//cusS//garL//fabG//abpA//ydiZ//uvrA//pstC//ffh//rfaG//alsK//potA//purR//rph//yajL//mrcA//seqA//allS//yijO//yceO//waaL//seqA//adeP//prpD//gshA//mdtF//puuD//rsmD//rtcB//manZ//xerC//fepB//alsE//mfd//ptsN//insH-6//rimK//bcsA//dxs//cirA//rpmC//ybdO//fixB//yneE//fdhF//cobB//yfcP//yjbE//lptD//folM//yjjX//dsdA//ompW//cyoB//iaaA//hybA//suhB//yohD//casC//phr//elaA//
GO_0015834_7	ahr//tus//murF//xanQ//fadK//
GO_0015835_6	pgrR//allS//ytfE//insF-1//
GO_0015836_7	astC//yjjQ//dcuC//
GO_0015838_8	deaD//rpoE//oppC//lldP//ghrB//bioP//gltL//kduD//yafS//dusB//ssuC//rtcR//insI-1//
GO_0015839_7	ibaG//
GO_0015846_6	msrB//hipB//sbcC//ybhD//insI4//gapC//aspC//btuR//ompL//yehU//clsB//fepD//cysN//wecA//yacG//hfq//sgcE//
GO_0015847_7	hicA//fimE//yajD//ulaD//yhbS//yafC//hflC//infB//cas2//nirC//rhoL//rpnA//accC//yhhT//aceK//
GO_0015848_7	pheT//psd//lysU//nudG//osmF//yhcH//
GO_0015849_6	atpB//yahN//parC//baeS//dcuB//yehB//rbsK//idi//bioD//nrdA//ascG//fadD//ypdF//rnc//allR//gdhA//aceA//arfA//setA//efeO//zapC//ompC//alkB//norR//codB//hemF//ygeA//prpR//aer//treB//yehB//dmsC//yhcH//uxuA//sucD//lepA//dcyD//qorA//mreC//envY//hmp//insI-1//opgH//flhA//treB//allR//epd//pspF//groL//cmoM//yjbH//scpB//yeiE//kdsC//tsf//araG//ybhJ//uidC//ubiX//flgF//cysA//ttdR//ubiH//rfaF//murJ//lacZ//nsrR//ygjK//napC//cyoA//pyrD//yadG//wrbA//map//mhpD//eutR//gshB//tatE//ugd//adiY//osmC//gltL//hybF//hicA//asr//menF//ybgQ//chbB//bamD//ispA//yjiQ//ppc//gntR//yeaK//mcbR//pstS//mlc//hisH//erpA//tsaB//pppA//mepS//lipB//allS//thiH//yjiR//chbB//potC//hofO//cmk//yaaU//acrB//rplW//pphB//bioP//
GO_0015850_6	rfbB//epd//yjiY//mprA//srlR//fumB//gutM//soxR//yehU//recQ//aaeA//afuB//yabI//ssuB//ghoT//pgpC//msrC//paaF//yadK//narG//galE//oppB//leuB//
GO_0015851_6	yibT//groL//waaO//yqiG//luxS//hha//guaC//hupB//yehP//fnr//emrB//qseB//
GO_0015853_8	agaD//gmhB//
GO_0015854_8	accD//pspF//
GO_0015855_7	kdpD//arnE//ccmE//
GO_0015856_8	glsA2//
GO_0015857_6	sodA//hemF//
GO_0015858_7	rluD//allC//chbC//rng//narG//msrB//ybdR//murJ//rcsA//
GO_0015860_7	umpH//mipA//
GO_0015861_9	rpoA//ydcO//
GO_0015862_9	flgD//panB//
GO_0015863_8	yihL//
GO_0015864_8	dhaR//kduI//
GO_0015871_6	gcvH//xylA//rlmH//yiaN//uvrD//
GO_0015878_6	speD//
GO_0015879_9	mraZ//
GO_0015882_7	minE//intS//frdD//
GO_0015886_6	thyA//mepM//recJ//speB//ybdG//wcaC//nudB//cynX//mdtM//
GO_0015887_7	ldcA//
GO_0015888_6	mgrB//
GO_0015889_6	ilvA//gabD//rpnB//elbB//yfdR//glcB//chbA//
GO_0015891_6	trkA//eutR//glnB//argK//glgX//appY//aroC//puuD//casC//arsC//lsrG//agaA//crr//rfaB//dauA//
