#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	zapA//yggT//narK//murR//
GO_0009074_6	fepG//ompF//waaB//
GO_0009078_6	yaiV//hypE//rpsR//yccS//yeeO//ybhA//rffT//
GO_0009079_7	topA//nlpD//msrA//hyfA//
GO_0009080_7	ymgF//citC//rplF//
GO_0009081_5	bssR//hisF//ybiT//ygbL//perR//cydC//entD//cmoA//gnd//proB//ydiK//zntA//mdoG//folC//thiM//chiP//nrfE//apaH//yaaY//evgA//melR//ribF//
GO_0009082_6	rlmA//cdaR//yejF//speC//hyfA//paaH//yfaL//xdhB//nadB//pgpB//mraY//msbA//baeS//ydgA//higB//recE//speC//dpiA//
GO_0009084_7	cysK//ppc//cynS//panF//smrA//tufB//tolB//mlaF//ompW//dcp//cdd//tisB//guaA//artP//uup//kdsA//viaA//glpK//xapR//casC//murF//tamB//aidB//yhaJ//atpE//
GO_0009085_8	groL//thrL//rpsN//asd//tusB//eno//gntR//dnaB//metH//speF//uvrA//thrS//
GO_0009086_7	gfcE//ykfM//rutG//pdeF//entA//tonB//ydcR//opgC//hycA//
GO_0009088_8	ydgA//lgoR//
GO_0009089_6	satP//hokE//ispB//modC//kefG//sdaA//acrF//ycjW//rhtC//
GO_0009090_8	ansB//ygeV//nirD//asnS//
GO_0009092_7	rutB//iscS//fur//yadI//sdhE//holA//
GO_0009093_7	yjaZ//pspG//serB//thrC//cpdA//
GO_0009094_6	fliM//htpX//yddG//satP//
GO_0009095_7	trkG//queA//minC//murI//
GO_0009097_7	tolQ//mlaF//rep//ynbB//glsA1//rbsD//waaP//
GO_0009098_7	dcuC//tolC//hofC//yagJ//nimT//srlR//hcaT//
GO_0009099_7	ilvL//afuC//mgtL//grpE//yfdC//yraI//yciA//tolA//hicB//lgoD//
GO_0009100_5	rpoD//yqgF//ralR//ptsP//dcp//
GO_0009101_6	dnaN//
GO_0009102_6	nagZ//rnlA//yfiR//gsiD//glpD//tus//lptC//ybjC//clpP//nepI//flgG//tpx//gsiA//
GO_0009103_6	yjjI//speG//rbsC//dgcE//mtlA//cheW//proQ//ndh//aceF//ppk//ygiV//
GO_0009106_5	bcp//seqA//
GO_0009107_6	zapE//cusS//
GO_0009108_6	fruK//yahI//sapA//appC//gabD//dicA//flgB//waaC//ulaR//ybhP//ygbN//hofM//narL//bglX//dgkA//dppA//maa//fadR//yrfG//thrS//asnB//yeeA//rfaE//alsK//rbsB//gnd//frwB//ygeX//dam//tqsA//ybiA//ycjW//rsmH//glsA//potE//sodA//yddG//eutR//puuR//smrA//dsdC//gsiB//ynhG//panD//cheR//cheB//flgK//avtA//surE//kdgR//yidQ//ygcO//afuC//brnQ//lpoA//scpB//dmlA//ompG//zntA//ybjI//yieE//yafS//frwD//msbA//prfA//ybaK//uraA//ogt//arcC//paaX//waaL//atpE//rpmA//insI3//yehB//pdxJ//ulaB//ubiE//mog//casD//fixC//uspF//ynaI//tadA//parC//minC//fumA//rfaB//malZ//aroE//btuC//rluA//tatC//narV//arnD//kgtP//ydcM//pgaB//insI3//rbsA//appY//speC//hupA//aceK//rplQ//alaS//ftsN//hybB//ampG//hscC//
GO_0009109_6	yodD//mdh//yaiV//malS//rfaF//
GO_0009110_5	lapB//sodB//nfuA//rpe//aroK//rfaF//tusE//valS//cydD//fhuD//leuE//glgX//insI3//argS//pdxB//sodC//yjcO//yoeB//yfhH//tdh//yihQ//sstT//rodZ//menE//potG//insI-2//yfeW//coaE//rimM//icd//glpF//xylE//ihfB//prlC//cfa//pykA//pal//rpiR//nimR//phnJ//citT//fadB//thiC//entC//yidP//rutG//kdpB//hsdM//narI//citT//tolR//gyrB//gpmM//aroB//ftsN//mrcA//cutA//
GO_0009111_5	torS//livF//flgB//allC//
GO_0009112_5	codA//cpsB//secG//yijO//efeO//sbcB//pcnB//uspG//lpxL//ubiA//nth//serS//recO//sbcB//yqeA//glnB//fmt//yjfP//surE//rcsB//artI//rpiA//fabR//ubiH//rnr//yoaA//rlmG//bisC//cpxR//pheA//fhuD//nanK//ybdH//ydiF//btuE//cvrA//
GO_0009113_5	xapA//rlmC//deoB//casB//yeaG//
GO_0009114_8	yobF//
GO_0009116_5	tyrS//mog//bioD2//garD//flgE//trmJ//ortT//cysA//yhjA//csdE//yhaM//hypC//elbB//arnD//yggF//ruvC//minC//fdhF//sbcB//hscA//prmC//trpS//rna//minE//bioP//yieE//dgoK//focA//yihI//glgS//essD//pck//ghxQ//lpxD//ynbB//sgrT//phnM//slyD//rplA//glcD//
GO_0009117_6	rfbD//lapA//ytfQ//argO//fklB//ftsP//fau//rhaR//mscL//ydiP//ycgB//csiD//fadR//zntR//xerC//endA//lsrA//mglC//uhpA//hisQ//gltP//ompA//mglA//glyA//cstA//rluA//csrA//norR//kch//infC//ndk//lsrA//rnb//allD//hcaD//yahI//nudC//ibsD//csgF//yajQ//adhP//dgcQ//ybjL//cpxP//rimL//guaA//agaW//nrfE//yeeO//ycjQ//gatC//trpGD//ettA//secG//entS//csgB//ribB//macB//hslJ//yaaY//fimD//hofP//yhjX//soxR//hrsA//flhA//yciE//hofM//zupT//osmY//evgS//rclC//lgoR//abgA//narI//rluB//mntP//argK//lasT//cynS//aceK//glgC//yfiE//yceO//sugE//alsC//secG//agaI//napF//fucA//yiiD//hexR//gapA//gltS//yigB//prmB//chbB//yqiI//acrD//sufE//ydhJ//aceA//agaC//sfmF//
GO_0009119_6	htpX//ptsI//yedL//serC//narX//dppA//btuF//murR//flgA//sapA//cpxP//tsf//tabA//sgrT//mltC//yhaO//yhbQ//eamB//yfjR//rnhB//garL//uspB//marR//yfaX//rpsH//fucA//nadA//tqsA//yhfS//metE//lsrD//dpiA//livH//higB//lsrG//
GO_0009120_6	gutM//ychH//alaE//puuB//
GO_0009123_6	pppA//flgD//garK//ubiF//ydiB//pcm//hyi//phr//bioC//dosP//dgcJ//yafC//ydcI//yqeA//ansA//rcsF//ytfQ//ybgQ//cueO//cysZ//cysM//dppD//hmp//ymdB//ulaE//ynaE//fnr//pepB//yfcA//mqsR//rzoD//arfA//yhjG//intA//aceF//ydeI//rsgA//yadM//nimT//yhiM//dmlR//mdtF//aroB//yfcQ//ygjK//pitB//
GO_0009124_7	rpoD//aspC//efeO//cobS//rimO//nanE//gatD//fecB//pldB//queG//arsB//insK//fryA//garL//eutK//rfe//deoD//ispB//rluA//xapA//lit//yhcD//hda//rfbD//ackA//gatY//cysA//rnlB//bamD//opgH//pitA//ubiG//yfjV//flgC//envZ//paaK//dgoD//
GO_0009125_7	dauA//ycfL//wzyE//folD//gpp//
GO_0009126_7	oxyR//pepT//cfa//waaL//ftsI//wecC//fryA//fdnI//yfdK//iscA//fkpA//pldB//fliM//rfaG//raiA//yieK//paaG//nlpI//ybdH//crfC//eutB//manZ//yadM//elaD//priC//rfbC//uspE//rseC//uspF//yciV//deoB//yciG//rcnA//adeP//
GO_0009127_8	hda//msrA//pgm//yfbV//chbB//yqjA//kdsB//arnA//phnK//nikE//proC//fdrA//mrr//evgA//lsrA//bcp//gshA//cheA//lnt//yahI//ompC//aaeR//ydfK//agaB//xylH//minE//galT//sulA//rpsP//metF//
GO_0009129_7	birA//argD//yajD//nrfA//gpr//gatB//lptF//pgaD//relA//sulA//
GO_0009130_8	ydcT//miaA//ibaG//tig//kdgR//
GO_0009131_8	narH//glgC//putP//ttdB//tcyL//
GO_0009132_6	yiiM//rbsC//ydhC//yjeH//mppA//yebZ//rsmI//caiB//lysU//insA-1//putP//tktB//livK//yfgO//trpE//sbcB//rbsR//purB//gabP//ibsA//flhE//rhoL//mrcB//citG//gatB//
GO_0009133_7	dnaE//ydeT//malF//
GO_0009135_7	cdd//hpf//trg//citT//yoaA//smpB//yqiI//rseC//yggF//yjhH//tamB//fklB//agaS//rimM//hdhA//galP//modA//cysP//nlpI//waaP//ftsY//sdaA//yjiX//
GO_0009136_8	fucI//
GO_0009138_7	ibsB//ydcS//
GO_0009139_8	kch//recF//
GO_0009141_6	ygfA//cheR//gadW//leuB//nlpD//ycaN//fliS//yidR//mdtG//qseC//rhtA//nuoF//yjiQ//dgoK//pphB//maa//hcaC//hcaD//mngA//fdnH//waaS//yihO//mgsA//pepQ//gpsA//yhjV//recX//mgrB//hisM//argR//rimO//holA//greB//dadA//waaG//tdcR//ybjN//cbtA//
GO_0009142_7	surA//lacZ//minC//dsbG//metI//ahr//lptA//yjbH//nfuA//lpxC//erfK//gspF//ompR//hlyE//pspD//yehD//relB//casC//ygfX//pgaD//pcm//deaD//ybbW//folP//yidP//ybhJ//thyA//ibsE//
GO_0009143_7	gntR//mdtG//nanK//dtd//
GO_0009144_7	yciH//ygeW//rffC//yjjG//galE//nimT//pdxY//ghxQ//rseP//hemL//pfkB//yjhB//yiaL//fcl//rfaB//agaA//ubiE//yqjA//sgcE//tus//rbsB//yjhG//aldA//recX//pldB//yggD//mrr//priA//hypE//tynA//murB//
GO_0009145_8	yihL//insA-2//ybiX//yfcU//accD//ompW//ycjD//folD//sufS//murF//cutA//bioD//sgcA//yfcP//aspS//chiP//hofN//selB//pitB//hscC//tsgA//fiu//nrdB//
GO_0009146_8	djlC//selA//
GO_0009147_7	ccmH//adiC//glpR//glrR//
GO_0009148_8	dacA//entA//
GO_0009149_8	clpX//tatA//
GO_0009150_7	hycB//gudD//yieF//murE//dgcT//potD//alaC//clpS//pepN//acnA//ygfX//cysP//frlA//uvrC//betA//suhB//nudG//purF//cycA//hyfC//trpD//guaB//yebG//fbp//aroC//cspD//lysP//yahB//rpsJ//ygeR//fadK//waaJ//purT//recN//dacD//gltB//kbaZ//nuoH//deoD//cbtA//idnT//argG//gltX//dcuD//dcuA//cusR//scpB//proS//
GO_0009151_7	yoeE//livH//
GO_0009152_8	glcA//pitB//sapA//lacY//mdtC//dinI//opgD//wecA//ydfH//ydiF//yhdZ//yjcE//lpxL//hisS//rpmC//ruvC//atpC//melB//metI//glyA//cfa//hisQ//ybfE//yjtD//murG//gltK//fliT//argE//ttcA//ttdA//ybjX//yccS//baeS//zraS//acnB//hupB//gcvR//
GO_0009155_7	ygdG//sfmD//
GO_0009156_8	alaA//clpS//yadC//araD//rlmG//ydhQ//gluQ//manX//yqcC//nfi//trpR//rmf//wzc//ptrA//sdaC//rutG//ulaE//preT//yibF//sgcE//torA//fimF//mscK//rmuC//nagB//essD//der//ydiK//glyS//yhaJ//yjbE//betB//xapB//
GO_0009157_8	pntB//ygbL//lplT//gdhA//
GO_0009158_8	otsA//napF//miaA//ispH//csdE//
GO_0009161_7	nrdF//puuD//yehC//dcuS//rsgA//yijE//sfmH//bioD//ychO//yfeD//dhaR//cycA//fliD//entH//napA//exuT//adk//mrcA//oppC//eutB//pspF//aceF//argH//ybiY//srlE//artI//tdcB//nuoB//metI//rutE//alaS//ubiA//yghB//rrrD//sspA//rpmC//chbG//malY//gcvP//nanS//miaA//hicB//
GO_0009162_7	uvrB//flhC//glk//hemB//
GO_0009163_6	lpoA//ycgV//pspG//ybgI//flgC//oppC//feoB//glpX//treF//purN//rho//rplM//rclR//ghoS//deoA//secF//tdk//fucA//glyS//
GO_0009164_6	ppc//rplI//feoC//pspC//exbD//alaA//insI4//mngA//yhfK//ygeV//sixA//slt//metN//
GO_0009165_7	blr//clpA//dgoR//dtpD//erpA//bacA//hemE//speC//glcB//leuD//malK//malP//ompN//cyaA//grcA//ddpA//pdeD//argK//tqsA//lpxB//yggT//ccmE//gadC//hxpB//ynfH//yaiV//ftnA//msrP//arnA//panD//waaL//acnB//waaB//dgoD//katG//yfcA//guaA//rutE//nrfE//gadC//yfaX//folP//yfbU//ilvC//sdhA//proQ//fecA//yadV//mdaB//tqsA//yehY//ynaI//arfB//yhhT//pstA//argP//ybhJ//nanR//csdA//acpH//xisR//secB//nei//cstA//gsiB//qseC//oxc//lpoB//purB//waaB//yjjU//
GO_0009166_7	rpsK//tolC//rpoA//glgX//allB//rluB//yeeL//yraJ//lipA//elfA//mcbA//eutB//insH-5//envC//rzpR//mocA//ftsB//metL//cbrA//lgoD//nagE//menI//dtpD//spoT//yacG//dhaK//hupA//dppC//ydeM//mscL//yqjI//
GO_0009167_8	apt//wcaJ//yhiM//rlmI//rtcB//ldtB//yahD//potG//uvrC//sdhD//yibT//fadK//guaA//dnaE//yedF//cysA//ptsI//kduI//yagJ//udk//yieE//casD//ligB//rplD//cpoB//sufB//thiL//prkB//hypE//ssuE//lasT//ybaL//kdpE//yoaB//
GO_0009168_9	gapA//yagF//iraD//ynjD//yiaB//csdE//entH//ykgM//rnlA//dnaJ//treF//rfbC//iraM//rstB//sfmF//waaY//agaV//rpsE//tgt//dgkA//citG//lpxP//sppA//znuA//allD//yfiF//cheZ//yjjQ//livJ//yjgX//
GO_0009173_8	sgcB//yieK//rfbD//bluR//ilvC//fadL//sdhC//
GO_0009174_9	rlmF//potH//
GO_0009175_9	nagC//mlaB//hpf//rng//tolA//
GO_0009176_8	ssb//rffG//mngB//
GO_0009177_9	rimP//gatC//tsf//
GO_0009179_8	bioP//yggP//feoA//yhbQ//ykgF//fmt//pdxK//acrR//soxR//lpxK//umpH//cvpA//aroE//gadA//aroL//bioC//cysB//uspB//argI//opgG//rzoD//gloB//dmsA//
GO_0009180_9	mdaB//
GO_0009185_7	rplE//tamA//ppiA//ybdZ//ccmC//argA//agp//ldcA//tolR//basR//rpsN//nadE//glmM//xseB//ynfH//yneL//srmB//pldB//bioD//tsgA//cpxA//rspB//prlC//gutM//
GO_0009186_7	der//
GO_0009187_7	oppA//xanQ//
GO_0009188_8	ubiH//cspC//
GO_0009189_8	yjhI//
GO_0009190_8	blr//rpoS//
GO_0009193_8	citC//
GO_0009194_9	dsdX//
GO_0009196_8	lysA//
GO_0009197_9	ydeM//
GO_0009199_7	rhmD//dapF//entC//csrA//gsiD//yjhB//kefG//yciE//shoB//glgX//fliT//pdxH//garD//caiD//hcp//hemL//glcD//hokE//ydiV//pdeL//malG//yqgB//dinB//fliD//dacA//gmd//dnaG//yafS//waaH//sxy//yebG//
GO_0009200_7	fucK//yjbF//ibpB//intQ//
GO_0009201_8	dkgB//yedX//folD//narQ//nagE//ghxP//glnA//tisB//ybaE//sodC//hflK//ilvH//fruB//fdnG//yohC//mltC//ompA//fruA//fbp//puuA//intS//trpR//putP//rhtA//
GO_0009202_8	hmp//
GO_0009203_8	ilvH//
GO_0009204_8	gcd//murP//iscU//
GO_0009205_8	fadM//recO//gcvP//yjjI//trmL//alsA//ychO//yehP//glyA//paaB//glyS//murF//rna//pgpA//pta//bssR//glnQ//putA//nhaA//adiA//rsmI//gadW//mcrA//pgm//tag//ybhF//yidQ//ydjE//fdhD//
GO_0009206_9	mtn//gltB//potA//mrdB//tauB//pspF//dnaK//glyS//yjfF//ibsB//lacY//lipB//degP//cspI//ssuE//fumB//narP//mutT//eutA//eamA//ttdR//ybjI//fecD//
GO_0009208_8	rluE//secY//
GO_0009209_9	rpsJ//
GO_0009210_9	fruA//
GO_0009211_8	rfbC//hdhA//flgE//
GO_0009212_9	yggD//
GO_0009213_9	btuE//nimT//
GO_0009215_8	fliT//kdpC//
GO_0009217_9	sdhB//fepG//
GO_0009218_7	fabA//yceD//yjbB//ygcO//aroP//yghU//ldtC//rpsP//wcaJ//ssuD//paaC//prlC//
GO_0009219_7	fis//frlC//flgM//ycgV//ghoT//
GO_0009220_8	menF//rsgA//hyfA//dinJ//ppk//lplT//
GO_0009221_8	cyoC//ykfI//crp//ycbB//
GO_0009222_7	malI//yhjR//flgE//yojI//gatY//speC//
GO_0009223_7	yojI//htpG//
GO_0009224_9	kdsC//uvrD//
GO_0009225_5	acrB//otsA//ybiA//glgP//gadE//hyfA//dnaC//rzpD//yaiW//rsmD//nadC//lgoD//phoE//rsmI//grxD//
GO_0009226_6	prmB//frwD//dkgB//ssuD//codB//xseA//glsB//codB//fliK//uhpA//qseC//nhaR//adeP//
GO_0009228_7	yieK//mrcB//xerC//wecC//secF//ybfA//fabD//yibT//sugE//gapA//
GO_0009229_6	fliG//norV//
GO_0009231_6	tdcF//hemG//casD//tsaC//srlR//mtr//emrD//
GO_0009233_6	yahI//hprR//afuB//yqeF//ascG//bioD//alsC//treR//ahpC//hybB//
GO_0009234_7	yhbX//rpnB//yfiF//purR//rbsA//deoR//mdtM//waaC//csdE//ackA//
GO_0009235_5	lasT//ampG//minC//rfaH//mdaB//dgoA//
GO_0009236_6	slyA//add//zitB//lpcA//gatD//glnH//
GO_0009237_4	rplE//yihI//appA//ilvD//rsmH//malQ//yfgJ//atoB//ydcS//
GO_0009238_5	xdhB//fliA//rutB//dusC//ygcR//leuS//truC//artJ//yeaD//
GO_0009239_6	eutN//yadN//fepG//dfp//hpt//aldA//pdeK//rbsR//
GO_0009240_6	yciA//narX//rarA//ampE//nagB//
GO_0009242_6	priB//fimE//lit//yojI//tolC//rplF//tig//mhpB//hemD//hdhA//galU//
GO_0009243_7	lpxD//
GO_0009244_7	tusD//fruK//nagA//ymgF//dps//yadC//pepD//yehB//tauA//osmE//fadK//pgm//agaB//asmA//surA//gadE//cusA//acpH//murE//yehZ//lysP//dsbG//cysA//nuoI//ebgA//rnc//sbcC//dxr//rpnD//
GO_0009245_6	allC//dgcZ//ydcI//dnaC//plaP//ghoT//garR//pstS//fecD//murD//
GO_0009246_6	recJ//uxaC//mlaE//treC//lptG//clpA//bipA//yphD//ydhK//
GO_0009247_6	cydC//btuB//trkA//pgrR//frlR//ibsB//hinT//ruvB//lit//pflA//ybiA//entC//
GO_0009249_6	alsK//glrR//pdeK//
GO_0009250_7	hflK//fhlA//cpdA//adeD//bsmA//narH//sspB//nrdR//rbsD//epmB//thrL//ymgF//wcaC//recC//
GO_0009251_7	treF//cbeA//ynfH//atpC//curA//malE//
GO_0009252_7	flgG//rayT//rpiR//sseA//yjjQ//tolA//yeaK//cysC//glyA//ygaV//osmE//der//secB//intS//rmuC//hdfR//murE//ompW//modB//asnA//yiiD//hypD//hldE//ydcZ//umuC//lldP//ydeE//aroF//rstB//ycfJ//yjfP//psuT//poxB//bolA//ybgP//fucI//infC//arsC//dnaX//
GO_0009253_8	entA//hisC//ccmF//ubiI//rpiA//rbn//fepD//dacC//yfcV//cas2//
GO_0009254_8	norW//fepD//ibpA//ftsB//phnM//rseC//mglB//mdtM//nimT//glgA//
GO_0009256_7	uvrA//ruvB//trkH//yedL//
GO_0009257_8	ydhK//blr//mlaD//ycaN//
GO_0009259_6	yehP//yihT//rpmH//dnaC//dcuD//cadA//atpB//solA//basR//cysG//rpoD//recR//tnaC//yabI//yagJ//yraJ//intS//cydC//dmsB//ghxP//ydfK//acpS//sdaB//rzpR//cstA//napF//rlmB//parC//nanK//malS//gntP//xseA//dhaR//cobT//fimB//nudF//glnQ//pphB//sgcC//hcaD//sodB//ubiB//ygbM//ybhA//rssA//dcuB//paaH//arnE//hyi//bamD//qseB//hycH//hslU//hemC//dinI//gapC//proC//nrdD//aceK//phnL//cysN//
GO_0009260_7	yjjI//ebgA//cbrA//nikD//kilR//nadE//ynaI//trmL//cpxP//csrD//gcvH//btuR//ydhC//hdfR//clcA//corA//mscK//exuR//dnaQ//ptsI//ydiK//paaK//rbbA//srlE//mtgA//zapE//hyfA//fdx//cspC//pspD//nfi//lacY//wzb//pgpB//nupG//trmA//argK//rpsJ//kbaZ//hipA//narL//tabA//rpsL//yhaV//
GO_0009261_6	hflX//truB//mtlR//pflB//hupA//hybF//
GO_0009262_5	csrA//tolC//mreD//amyA//dsbA//yahB//ompG//ubiE//ynhG//moaC//ymgA//mscS//nanC//
GO_0009263_6	dtpA//kdsC//arnE//ilvE//yhaM//glrK//mntH//hcp//feaR//
GO_0009264_6	hybB//ibpB//pyrH//greB//dusC//
GO_0009265_7	uidR//yjbG//bglF//phnP//mhpB//
GO_0009266_4	tauA//mug//gntT//tas//yfcS//iscX//ydjJ//rhlE//glcA//fucO//murG//tmcA//yajR//gntK//sgcC//exuR//pntB//potG//iscX//yfiC//chbR//yfaE//ytfQ//thiP//cusB//ydfD//atoS//hisF//narZ//tktB//fhuF//insA-1//yceD//ibpB//nemA//yfdO//nrdA//yebK//dnaN//intZ//ycdX//yfaE//ampH//minE//rpe//mtn//glyA//mepA//yccX//bdcR//garP//gstB//preA//thrB//fpr//yhjX//yadN//bluF//cheW//rne//cytR//srkA//eutA//nrdR//fadB//sfmC//marA//aaeA//hprS//hxpB//pgpA//pdxJ//menB//infB//srkA//ccmH//slyD//perR//treA//cobU//ffh//rplC//
GO_0009267_5	treA//ybjI//hofC//dsbB//def//sutR//rdgC//uidA//yggD//cheY//ybdG//yafO//pspG//pdeK//murA//ybhF//cadC//rplI//yeaV//rplQ//ybaK//yahN//tcdA//tesB//cra//dcyD//
GO_0009268_4	dsdA//yidR//yadC//recB//sdhC//metG//yraR//qseC//rbfA//pinQ//yhcH//frdD//csiR//glcF//pgpB//oppB//yagF//nrfE//pheS//potC//yaiW//ulaB//rsgA//mntR//yaiV//yfbU//mrdA//
GO_0009271_4	glrR//motA//prmB//
GO_0009273_5	ybfE//borD//yieL//xisE//dosP//viaA//entD//flgE//rfbX//trpS//
GO_0009290_6	ygaV//yhbS//
GO_0009292_4	frwD//csgD//
GO_0009294_5	mppA//sgbU//
GO_0009297_6	ompL//fimC//ybbY//cobT//hha//cutA//yajQ//rpiA//panF//rpsT//yijO//yjjQ//cysA//tdcR//
GO_0009298_7	ccmG//speG//gstB//
GO_0009305_7	tusD//
GO_0009306_4	ycbX//hchA//manZ//cspG//ebgA//gnsB//csgG//
GO_0009308_5	yjjX//rnhA//yiaN//rfbD//yihT//fdoG//sdhD//glxK//clpS//clsC//yraK//elaB//bioA//kch//fabA//focB//ftsI//glxR//argC//allB//pal//glsA1//rpmC//lolD//rof//kdpF//queG//
GO_0009309_6	uacT//dusB//btuF//yadV//gspF//ybaO//tmk//ydcR//agp//clpA//rffT//mnmG//hfq//ribF//
GO_0009310_6	envY//pgpC//dld//yraI//mltB//bacA//glpX//rep//lasT//yghG//lpxM//xanQ//lacY//
GO_0009311_5	lptB//ybhD//potI//rlmN//mrcB//cysA//yadC//tpiA//hldE//hyaA//aroP//hisP//dicC//ugpE//yfdG//yqcC//hisC//rplY//potG//idnO//yhhZ//frlR//nagB//rnc//narP//ygbM//dpiB//rcnA//ssuB//ddlB//bamE//mcrB//phnN//selB//dsdC//pdxA//trpD//umpG//yphC//xylB//yjcS//ybhD//ynbD//lpxK//gshA//narQ//ygeR//ydcM//gcvH//flhC//soxS//paoC//lsrD//
GO_0009312_6	dcuA//mgtA//fruK//lapA//degQ//mhpA//rimM//fepG//hybO//rlmL//fabG//fetB//proV//eptC//sbmC//ybdM//cysH//yajL//uvrD//mdtM//casB//yehC//mdtB//rluD//rcnA//fimF//yoeB//relE//btuC//dsbD//yhfK//preA//fryC//tesB//sucC//fabB//dgcF//ycfS//yiaO//pgaB//rfaE//ettA//
GO_0009313_6	gcvR//endA//panB//ddlB//ugpA//wzyE//flgM//phnK//fucA//amiA//
GO_0009314_4	manZ//era//zitB//glgP//bioP//proC//ybjN//folA//ybiT//flgG//cyoB//brnQ//degS//torC//yidR//recE//alaE//rcsD//fdnH//hypF//yraI//ldtD//recG//ybjX//thrB//hypF//ybgP//uspG//flhA//rrrD//baeS//rpsA//ais//ccmD//ybaK//queE//livM//speF//guaC//azoR//ascF//ldtD//gapC//rph//frlR//ispG//mrdA//yehY//moaD//rlmL//tnaC//rseB//rhlB//thiQ//yeiL//intS//yafN//sgbE//waaY//treR//gpr//sohB//yfaU//atpC//deaD//abpA//lsrK//ddlB//iraM//dinD//rutC//cadA//rpnC//yhhT//nrfB//fdx//dgcJ//ompG//ydfK//dsdA//abgB//bdcA//xanP//fryA//glpG//mhpD//msrB//asmA//hyfF//rimP//cysZ//yfcA//
GO_0009372_5	lsrD//ynfE//fucP//
GO_0009394_6	waaP//trpB//sfsB//rseC//yhdW//yajD//ynjD//
GO_0009395_6	ascG//
GO_0009396_6	glnE//agaS//hemD//rbbA//cbeA//hdfR//rcnB//ltaE//cycA//fliT//yaiW//
GO_0009397_6	purL//gfcE//
GO_0009398_7	ibsD//
GO_0009401_7	nhaA//adeD//malS//chpB//yadM//paaX//pdhR//nikD//minD//adiY//proB//iscA//hchA//mdtO//ltaE//insH-6//ydiF//pdhR//tktB//gadW//srlD//manY//ydiP//cheW//tabA//tdcD//uxuA//gyrA//xerD//modB//carB//mdtB//agaA//yhjR//purC//gspF//nanT//yciF//rmf//lpd//galP//ydgA//mdtC//rnb//fepA//rcdA//ycfJ//ansB//syd//flhD//nei//dnaX//
GO_0009403_5	rfaG//
GO_0009404_4	ftsI//mreD//murG//yfiR//malY//glcA//yicJ//dsbG//patD//ydjK//prmC//cheR//ybgI//crp//fepC//yaiP//epd//ybjL//rpoH//
GO_0009405_4	ptsG//ybhP//manZ//
GO_0009407_3	gcvH//rhaB//caiT//fruA//afuB//gyrA//poxB//zraS//speD//astC//ispF//hybB//yghW//rhtB//trxA//yfgJ//
GO_0009408_4	znuA//phnJ//mqsA//roxA//ilvH//tas//pgpC//rpoD//crl//gutQ//ilvH//etk//erfK//melR//flhE//uof//tsaD//ldtC//lpxH//recO//ccmC//fliS//mnmE//yeiL//hflD//entA//ushA//sbcC//pykF//pntB//clsA//cysG//fdx//frc//agaI//ilvN//mog//icd//paaD//dnaB//opgC//argD//dapF//actP//ydbK//yqcG//mltA//gadB//deoB//sapA//gntT//envR//trmH//epmA//cysQ//rplF//malI//ydiO//dinB//mhpA//
GO_0009409_4	iraD//casC//mdtL//rsmB//epmB//lolA//ypdF//mreB//alsC//gpp//gshB//cheB//rpsM//glnK//abgA//yjbG//pspF//wcaB//
GO_0009410_4	cdgI//
GO_0009411_6	mhpT//etk//proV//yhjD//agaI//pflA//srlB//flgI//eamA//cmtB//ycdX//rpoH//fecD//gshB//rfaG//pgm//
GO_0009415_4	codB//
GO_0009416_5	pheM//fliS//lpoA//fepE//insB-4//secY//aqpZ//yjiX//evgA//rcsC//gdhA//uidC//prpD//hemH//hofN//mlaE//yadK//wbbK//waaA//
GO_0009423_8	wzyE//ravA//ybaM//sfsA//
GO_0009432_5	lpxT//yiaF//lacZ//pinQ//intF//mmuP//ybaO//phnI//frmB//gabP//relB//cedA//yggD//dhaK//rutA//fabR//glpR//ydiF//ybaK//glsA//erfK//ydiB//
GO_0009435_9	sbcB//birA//dhaR//bamB//cynT//lgoD//bdcA//lpp//kefF//
GO_0009436_6	frmR//atpB//rng//potC//
GO_0009437_5	ynbC//tusD//pgpB//rfaG//exoX//dhaK//ptsH//
GO_0009438_5	mdtG//vsr//ubiC//msrB//yebQ//nadA//hslU//hcp//ydjE//ydcZ//yhbQ//araB//rho//cysE//citG//lolB//cobT//cusF//panE//fadB//ycbU//sdhA//fieF//yhjG//ytfT//ftsP//mltB//arcB//nei//hflC//
GO_0009439_5	mhpA//hcp//thrL//
GO_0009440_6	mutT//thrC//yhaV//
GO_0009441_5	yidC//ydaV//atpF//gudD//pgi//
GO_0009442_7	yagE//nagD//rplW//menC//rpsJ//
GO_0009443_5	appY//tolA//gadC//
GO_0009445_5	yfiR//yfcR//opgB//dnaQ//yqaB//yieK//purD//minD//tusC//hiuH//
GO_0009446_6	hdhA//ascG//
GO_0009447_6	ribE//nepI//ftsA//hsdM//puuP//yibH//puuB//fimZ//
GO_0009448_5	yiaL//adiC//upp//yjbB//
GO_0009450_6	yijE//rbsR//mlaD//topAI//
