#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rcsC//ftsN//idi//rpoH//
GO_0007155_3	pckA//thiI//lysS//yrfG//fkpB//copA//purC//feoA//alsA//pfkB//mntS//fdhD//yqjI//iclR//pgpC//gcvR//phnP//ydaC//garD//uacT//dut//znuB//iscR//hypF//lplA//yihT//aaeA//cyoE//gcvH//aaeR//yhaV//infC//dapD//elbB//ilvB//
GO_0007163_3	entC//
GO_0007165_3	yfeD//gadA//tktA//yhjC//fadD//yidQ//torI//mak//sfmD//hscC//secG//chiP//uacT//moaA//yhbS//lacI//chbF//mtlA//lolE//uxaB//trpR//rluA//frwB//mcbA//mdtI//hflD//sfmA//yehY//lysO//rpoS//aroB//cysB//grxD//dcm//seqA//pgaC//mtfA//puuD//rof//ppiC//slyD//gloA//atpF//degS//degQ//zraS//holC//proP//rdgB//ftsN//dtpD//ltaE//dppB//glxR//ettA//panE//leuO//gcvT//sgbE//bolA//
GO_0007166_4	ybhG//trkH//pgaB//sgbE//
GO_0007215_5	dcd//queC//livH//adeQ//
GO_0007231_4	cdd//
GO_0007234_5	hyfR//
GO_0007267_3	yegD//puuD//
GO_0007346_6	rffT//mdtE//tdcD//
GO_0007584_4	glpA//rbsA//abgB//rlmM//
GO_0008033_9	tus//suhB//lamB//ada//feoA//eutN//argE//nudB//mutS//melB//hdhA//waaF//rnc//rrrD//yfbU//epd//ssuA//sfmA//astC//hisB//cysG//queA//cspB//tnaA//nlpI//nanR//yjtD//leuA//arcB//bioD1//smrA//menF//ydgA//mdlA//xylG//mutH//hisA//hycH//hycA//dgcM//yadC//flgE//glnE//gutQ//yghW//mdaB//ihfB//baeR//tatD//yfbV//garL//tgt//yajL//entS//speE//fhuD//
GO_0008104_4	argA//yjiX//add//rplM//argB//ispH//ymgC//secY//yfeW//secA//yidK//cycA//purB//pdeR//eutD//eutK//rffM//mrr//rsfS//lepB//kdsD//waaZ//frmA//mscM//phoA//ttcA//frlR//mdtK//nudG//gadC//mngR//rhlE//flhD//fruA//trmB//puuE//bioF//yhfS//argS//cvrA//yodD//yeaE//pgi//holD//ygbL//galM//glnE//ycfL//selD//
GO_0008156_8	rhlB//katE//rlmB//srlD//fimF//rtcR//
GO_0008202_5	csgF//
GO_0008206_5	yidP//
GO_0008213_7	rmf//dacC//yidL//tolR//accB//btuR//cydC//solA//
GO_0008216_5	cysM//ampE//metH//
GO_0008219_3	yiaU//gltB//fliM//ilvN//glsA2//clpB//rraB//osmC//hypB//lolE//sxy//rne//tusB//phoR//pyrL//
GO_0008272_6	wcaC//sad//folP//rihC//ynbC//chaC//fnr//
GO_0008295_6	aceF//msbA//ibaG//
GO_0008299_5	rayT//mppA//add//yjfF//secY//insI3//
GO_0008360_4	ykgA//nei//yhbX//nuoE//glsA//bamB//yraJ//ubiX//yjhI//miaA//lysC//cutA//asnC//murJ//folX//tsaE//
GO_0008361_5	yihX//hslU//rlmI//iaaA//fimE//
GO_0008380_8	paaJ//
GO_0008610_5	adeQ//cycA//copA//map//fhlA//mdtQ//rbsA//emrB//gpmA//cas2//leuB//tpiA//rseP//fur//bamC//yghB//yeaK//kduD//lrhA//yfgJ//prfA//cysH//gldA//cheA//eno//efp//hmp//mdh//sapA//thiP//tatE//nagK//tynA//dacC//trmB//lysO//pnuC//yceK//ghrB//uraA//uhpT//insI1//ydaV//uup//gntP//napD//uspE//asmA//clpX//nrfE//ompW//msrA//nei//fnr//mrdB//yghG//uhpT//murB//ldtC//rcnR//sufE//nrdI//uxaA//yciV//ugpB//rpmF//proQ//
GO_0008614_5	opgB//murA//clcA//yajQ//lhr//cysM//rpmJ//
GO_0008615_6	yidR//mltF//sbp//cmoA//tdcG//glnE//pdhR//
GO_0008616_8	ansA//fadK//pykF//yfcV//ydjE//carB//csiD//
GO_0008617_9	rcnB//
GO_0008643_6	hipA//ygeX//yghU//yqjI//ydjH//recC//sbcD//chpS//yghU//alsK//psuG//etp//yhcH//yibA//hpt//lapA//yhjB//cpdB//yihQ//mngA//plsB//elaD//rutF//ypjD//fsr//dsbB//glpD//fau//yifB//pcm//ynjD//dgoA//rpsD//intA//def//csrA//tsgA//rluE//ydcS//dppA//nrfD//ydiZ//asnA//degQ//pgaA//secM//ynhF//uacT//yahF//dinI//gcvH//insI-1//asd//nagE//hyaC//yfaV//yodD//yejF//yfdO//yhgH//lpoA//clcA//yiaN//phnG//gnd//carB//tolA//yaaA//paaK//pyrB//ppiA//yeaD//kup//murE//yibF//afuB//gntU//lpxB//ftsW//yhdJ//leuC//pheT//ilvB//bhsA//rseC//eptC//hemG//hscC//pdxB//srmB//greB//tar//bsmA//mprA//tolB//ydcM//infC//fliT//yjjI//fau//kdgK//gsiC//relE//tyrR//sdhE//yaiV//minE//hflK//yibH//asnS//uvrD//brnQ//lipA//bioD1//
GO_0008645_8	tolC//hipA//hinT//ruvB//stpA//artI//cueO//agaV//paaG//fabB//rplK//sufS//srlD//dmsA//yahK//hinT//rhoL//yqeA//xseB//panE//ptsG//yadG//ybhF//zupT//
GO_0008652_5	treC//ldhA//hcaT//ivbL//nanS//pdxA//chbC//torD//insE-1//creC//fmt//phoB//thiE//yijO//rplM//mppA//acnA//mak//aldA//rclB//ybjC//iap//acpS//ptsH//ibsE//pgaB//ftsY//pinE//sstT//pdxJ//poxB//sthA//pdxJ//bglF//ycgR//holC//acpT//yghO//scpC//tsaE//leuA//glnK//insH-5//arnE//flgE//yccA//proP//glxR//hisM//narZ//patZ//fdhE//intA//sufB//hcaB//ybiX//dkgA//fimF//ftsH//lpxL//secB//rnd//yedF//mutY//yiaT//aroB//ygjH//puuB//lsrA//cspG//ykgF//nrfE//cpxA//cusR//yehA//fhlA//mdtL//yqcC//ubiJ//hofM//cedA//priB//adiC//sgcR//ycfJ//pgaA//caiB//yiiD//rpsS//argI//sapC//eamA//leuB//potI//dgcN//cusS//ydjL//yjiA//cusS//idi//carA//ydfH//yjaA//yeaK//ccmC//nrfC//rcdA//amyA//nadC//glnS//ppiA//fadH//cysQ//nadK//
GO_0008653_5	kup//emrY//lit//ligB//rpoH//uxaC//gshA//araA//nanE//yebC//fdnH//fepG//nrfD//
GO_0008654_5	aroA//pgaA//paaB//dnaB//trmB//comR//yiaO//mcbA//hdeD//gpsA//menA//cspA//opgE//pyrD//dgcE//aaeB//dmsB//cmoA//solA//yebQ//intF//ibsB//tadA//cvrA//gudP//serC//yhdH//yacG//nagC//elyC//ybiS//ygbM//hslR//rseP//flhA//
GO_0008655_5	phoE//rplO//cytR//lysS//csgB//rpsP//tamB//
GO_0009050_6	yhaJ//ymfK//
GO_0009052_6	mdtG//mltF//ynaE//yidK//cbpM//rnhB//rffM//
GO_0009056_3	metG//amyA//gcvR//ftsN//torR//srkA//yfiF//rbn//gatZ//astC//yibF//glmU//rseB//waaC//glpF//hyi//moaD//rbsK//epmC//malE//yjaZ//gltB//mreB//amyA//mdoG//lplA//degS//pstB//pheP//sohB//mdtA//tpx//dcuC//xylH//glpF//bdm//ybdO//cadB//yjbF//yibF//comR//tolA//rna//nrfD//osmF//ydiP//cyoC//atpG//yfgJ//csgE//yraN//sdhC//uspF//sfsA//kdpB//ispH//insB-2//potG//wzzB//dpiB//yedP//mltG//uhpB//tatB//ybiW//garL//mntR//cspD//rnd//sfsB//ispF//yhdW//alkA//ygcO//livM//bioC//malQ//ribA//pgaB//yajQ//phnC//hsdR//trmB//csiR//bdm//phnM//ydcM//ahr//dinB//aqpZ//umuC//ytfE//ygfZ//speE//xapR//entF//agaI//yafC//lon//rutR//baeS//recT//ybgP//yghU//znuA//mcbR//murP//uup//hybB//hypB//curA//rutC//fadA//yadK//setA//solA//ubiE//frdA//yjjU//cheA//livH//bdcA//purC//mazF//ycjW//focB//hemG//nac//oppC//acs//ldtB//ybjD//cydD//ynfL//dtpD//topA//uhpB//hfq//rsgA//aaeB//infB//csgD//csrA//glnH//appC//nlpE//folA//ykgM//rpnB//pepT//pgaB//livG//dapA//srlA//xseB//rhtB//nuoN//hofO//yobA//ldrD//narY//aroC//ybaK//fryA//ridA//cueO//nirC//frc//ccmA//bioD1//ubiJ//secD//treB//ligB//dacC//nadD//lsrB//guaC//gyrB//hupA//elfC//hmp//hisA//emrK//essD//glnK//sanA//chbR//yfcS//garR//ybiI//gltS//rplW//elfC//narZ//nadD//der//dnaT//patZ//csiR//hemH//birA//dgcJ//yjjW//ydeP//eco//sixA//paaK//ftsY//grxD//accA//truA//hemB//ychH//yedF//yehA//symE//kdgT//mlaC//rnlA//ydiP//znuC//rpsB//ampD//frvA//cdsA//yidD//trpGD//yibA//nadD//ybaL//pdeK//fruK//rbbA//sgcC//metL//gppA//dsbB//roxA//rmuC//purR//sgcX//purD//appC//glcE//copA//fliK//lepA//recD//tomB//yfdS//tag//trmB//hybE//entC//pdxA//tauD//rzpR//malZ//hexR//ycjW//uidR//setC//yfeD//fetA//fadL//rarD//potC//adiC//gpp//paaG//xisE//yfhM//pnp//yehA//fsr//polB//tatE//ychH//yfeW//djlC//erfK//ydjJ//dtpD//pfkA//cbeA//feoC//casC//rep//tusC//oxyR//aer//infC//mcbR//spoT//djlC//aroP//menA//rpmE//atpC//ligB//glsB//yfaU//rodZ//phoP//surA//pepN//paaG//mepM//murI//nimT//yjjU//cbl//dusB//kch//yfeX//spoT//leuD//hofN//lpxP//glpG//ycjW//mdlB//rfbX//yijE//frwC//phnH//yadI//pyrC//envC//apt//focA//relB//dtpC//rlmN//galU//yccX//yneJ//xylB//prlF//slyD//sbcD//ahpC//narJ//yagE//mukB//yagU//rsmE//insH-6//ubiG//pheP//gcvH//prpR//flgE//srlD//yfdG//clsC//psuT//csrA//ilvM//insH-6//mltF//nac//rplY//yebQ//moaD//thrB//gltL//ccmE//recR//pagP//flgC//yahN//yadI//rhmR//rbsD//crcB//fiu//oppD//waaB//tsaE//ftsK//surE//trkH//yijE//ydjK//arnF//yfcS//rpsD//lsrB//potI//yjiR//dgcJ//gltK//hiuH//dacC//prc//cydD//adk//ghoS//mzrA//crcB//btuB//dcm//galF//glcE//rapZ//adk//yehD//frdA//pstC//tauA//napA//metR//bioC//rplM//
GO_0009057_5	gph//ynaI//potH//vsr//yfgI//erfK//eamB//uidR//ybfE//recB//trpL//bioB//metR//ybcF//yebZ//malE//yiaM//xylA//nikC//tusE//yahB//hxpB//fabH//tktB//araH//yjeH//chbC//gspJ//aaeR//dnaT//rcsF//aroF//ytfT//pckA//hemC//mdtC//dhaK//tdcB//csgG//oxyR//prfC//lgoR//recQ//ddpA//lptG//slt//glgP//sufE//tynA//pdhR//sgcA//ybeY//argF//ybcL//
GO_0009058_3	grpE//hslV//trmA//dusB//mscS//basR//rdgB//mprA//intQ//soxR//fdhE//secM//arsR//ybdR//fic//rluD//skp//ygiS//lptE//csgG//ybjI//yeiL//zraR//sdhE//gstA//entS//pflC//rep//miaA//cptB//nuoG//yneL//birA//marR//mrdB//hcaT//dmlR//lsrK//sspB//trmI//glpB//ypdB//artI//hybA//ytfT//frmA//ispU//mlaE//yeaE//hybC//zupT//rluB//fadK//hmp//truB//setC//yoaB//fhlA//cysZ//rlmJ//yaaA//baeS//potA//gatZ//rhaD//aroE//osmY//chaC//zur//potF//flhE//nikA//adeQ//waaJ//cydD//frmA//rbsB//yadN//bcsA//pyrD//thrA//garD//yodD//rnd//rbsB//nlpI//uof//hdeD//rbsC//tldD//yojI//rhaT//kdgK//dcuD//acpS//bioB//ydfK//gatZ//prmB//glsA//ribB//hemB//sad//yoaA//rpsO//pitB//leuS//ftsH//araA//xanQ//treR//ynfF//nlpI//ycaN//ynjD//rspB//yoaB//rimI//rsfS//recQ//agaA//pspC//tdcD//sgbH//tig//mdtA//yhgF//bioD//yqiH//recQ//waaB//sgcE//yidE//hchA//alkB//parC//insI3//abpA//erpA//rpsI//dgcT//xthA//hybO//trpC//miaB//speF//hpf//lgoR//rbsA//mukB//gdhA//ribA//menC//gltX//menE//panZ//sgcA//fimE//ycgR//ymfK//argK//hcaR//allC//ldtD//hofO//holC//gph//minD//ribB//pmbA//rhtC//cpdA//marR//kbaY//nuoG//phoQ//fimC//aroP//yagU//narJ//ynjA//zur//greA//artQ//miaA//pflC//yfeW//accD//topAI//ybhA//sthA//sodC//ybiW//mutM//gatB//atoS//narW//yadM//nupG//sfmD//ydcM//focB//glcD//chbB//ybfA//ampG//metE//yhaO//mdtE//yhjC//puuD//eamA//ytfR//thiM//deoD//yedL//cheY//alkB//gshA//ddpA//yeaG//intQ//recC//holC//betT//flhE//cysM//adeP//ulaF//yeaK//nepI//ilvD//rplI//intF//xapB//appY//lpxC//cadA//malS//recR//glpK//dcuR//nrdB//ravA//csgE//hcaR//chbB//nhaA//ybhR//livH//acs//rpoS//dhaL//gapA//rph//dmsA//astC//hyfC//yjaZ//pheA//frdC//skp//csdE//prmA//pepA//ldtB//xylF//acrR//ssb//yheT//putA//manA//rpsA//sgrT//kbp//srlR//secB//hlyE//yafE//fdhF//agp//tusD//cpoB//srmB//leuB//nanA//patA//dcuC//nuoG//pinE//nhaR//gdhA//modB//hokE//rutR//menE//sdiA//dppF//gcvA//yehD//yahO//ompC//trxC//uxuR//murC//cpsG//ybcJ//yhjV//yacG//gluQ//trpL//yadM//gloC//iclR//ccmH//waaQ//kefG//fis//gntT//hisQ//ybdO//hchA//fimZ//fdnH//rsmI//cysQ//yddG//idi//yddG//dauA//rcnB//evgS//crcB//nuoL//cyoB//hicB//ulaR//cusR//waaQ//dsbA//menD//bglX//pgl//argS//tyrA//hyi//tauC//sdhC//sfmH//aroG//sodB//yibA//yqiJ//nhaR//glgB//rhtA//mltG//dmsC//oppF//tsr//hda//ilvD//metL//yqiH//gmhB//yibT//gatD//ycbB//rzpR//cvrA//mqsA//rnr//erpA//yfaX//rhmD//rcsC//uhpB//ubiI//fimD//ribE//fadK//yhdZ//rlmI//dhaR//fimZ//dicA//tolB//bcp//insE-1//fimH//yadG//dsbC//mepA//setB//yhjX//tcdA//folC//yceK//fes//frc//glpA//tsaB//speE//frdC//citX//bcsA//wrbA//pbpC//yhaM//rbsA//fixC//queG//rffC//cusC//yafQ//gsiB//def//proS//yohD//plsX//yrfG//pyrL//rluE//caiD//ariR//dpiA//pth//phnC//yadM//crp//rutE//yahK//bioH//argC//glyA//fadJ//bepA//hisC//mrp//atpF//mnmG//betB//yadC//pabA//yjcS//tbpA//glpK//pphB//yafC//cyoD//spoT//gpt//yhdX//rclA//mpaA//degQ//dgoA//glrK//mqsA//yoeB//tsaD//queA//btuR//rplX//melB//yehT//hupB//yrfG//patZ//thiP//umpG//truD//pcm//polA//waaH//torC//yggT//leuO//pinR//arnA//rplC//mhpB//curA//ybcJ//rihA//yphC//mrcB//nlpI//ppx//mazF//ydiQ//ybcC//tauA//cmk//yqhC//pspA//moaA//rutD//frvR//evgS//rimI//hofO//ygeA//lgoR//dsbB//flgF//folX//narX//yfcS//fdoI//oppA//frmA//mpaA//tonB//tnaC//rhlB//recT//dnaT//carB//ybaL//paaH//ulaE//rhtB//ybdH//elaB//yiiD//dgcQ//yciV//gloC//ugpE//rpsS//hrsA//yfcR//ldhA//waaB//bfr//xisR//lacY//bluF//rpsR//cof//uvrY//coaE//hisA//cyoA//uxaC//hofM//dfp//ndh//cheR//ldrA//hisI//recQ//ygjR//yjjW//yfbR//ubiI//artQ//paaC//pdeH//yeaK//sucA//rnhA//rsmB//apt//atoB//potE//carA//narW//intS//cysD//cysI//ybiO//copA//rplN//hofN//kdpF//dedD//yphB//tusC//nrfC//ydaC//phoR//yadK//rpsG//barA//ydcI//mutY//qseC//rdgC//ibsC//flgI//kdpF//umuD//dcuB//lipB//rsmD//yeiL//envZ//dcuS//fhuC//ydiF//ygaH//nfo//msrB//dgcM//higA//talB//yqhD//radA//ykfM//uraA//xerC//galM//rcsB//tig//elbB//psuT//trmO//nrdF//xylB//nrdA//yhaO//pstC//yfcA//gntT//thrB//mepH//dauA//gcd//ydiQ//lsrR//phnM//nuoI//cas3//yobF//hflK//dcuC//yebG//cytR//lsrG//recJ//cspG//baeS//mqsR//lexA//moaA//sfsA//uspF//ldtB//fadK//thiD//yieK//fadL//rne//ybeY//elyC//rfbC//aroA//aroC//tsf//yciK//hchA//pabB//umuD//panC//rpsD//msrP//xylE//ypdC//yifB//coaA//slt//yegS//sdaB//mglA//mdtN//yidE//paaE//argP//gyrA//ynhG//fucA//macA//ogt//spoT//rpmB//dsbA//gfcE//mutL//ybjI//nikE//pepD//fetA//yahI//clpX//der//rpsH//garP//ygbN//livG//panE//yehT//mfd//tusC//hisD//yidC//patA//cueO//ydeT//mlaD//rhtA//menF//hcaE//flgB//seqA//frvA//mlaB//sdhA//lptG//rhoL//waaU//bioF//trpA//pgpC//higA//pflC//flgM//ycfS//leuE//ynfE//gsiA//sbmC//tdcF//cpsG//rtcR//ygcO//yfbS//dpiA//trpL//bcsA//dacC//pgpB//xdhB//grcA//sufS//yfhH//agaW//rnhB//tdcR//torC//ycfH//hipB//hisI//cpdB//sbmA//tauB//grpE//cbl//nanS//nrdI//thrA//gatD//yphB//cpoB//prmC//menF//
GO_0009059_5	adeP//selA//tusA//cutA//yjbB//yggN//ghoT//agaB//gspE//yddL//def//yebK//glmS//lysU//pgl//nei//allB//fnr//gloA//yceD//atpH//secM//yecS//ynjD//fepB//xdhB//narP//speA//gntR//ubiX//dnaE//yebG//yhfK//ompR//rfaG//glmU//cpdB//fhuC//nudC//pepQ//upp//putA//ubiH//scpC//yjjQ//cysG//ydcI//menH//tatB//ycgB//argP//lptG//apaH//ibpB//ydeM//rssB//ibsB//mug//luxS//glpD//ytfE//pspC//insK//thrA//hypF//mepH//ppiD//lptD//creC//secB//nrfF//lhr//proX//rplK//opgG//xylF//tolA//yjfF//rbsB//yadN//ssuD//dsdC//yhcD//hflD//yigB//ybhA//intQ//moaE//hupA//fabZ//yfbR//yqjH//thiM//deaD//nrdH//xanQ//narW//cdsA//hofP//yagG//hipA//ypjD//ppsA//hycH//tolC//iraD//btuR//ycbX//murG//hprR//gshA//potF//curA//hcaT//yabI//yafE//ssuC//prpB//ibsC//qseC//eutD//dnaJ//adeQ//treB//ydaN//cpoB//gldA//pabA//plsB//ribC//casC//mrcA//yaaJ//abgB//trpD//yagI//yjhH//hscC//rfaF//znuB//frr//araG//agaW//alsK//trmI//mreD//glcE//viaA//rnd//fimB//sbmC//slyA//nudB//yehU//yhcH//hisB//artI//gcvT//pdeL//hisG//gor//flgI//yhjB//ydiO//rclA//prfB//rarA//ybaQ//kdgT//purD//malY//treR//radA//sbcB//infC//rplN//hcaF//hyaD//insI-2//pabA//livM//ygfZ//kefG//serS//pstA//ycjY//yoaA//yhbS//hcaE//rhmR//queE//otsB//ndh//malE//serB//yidK//atpD//ymgF//proA//yjiM//yfeW//tdh//yfcR//cyoE//ftsK//chbF//ccmA//entH//rcdA//gnsB//mrp//mcrA//dhaK//trmO//aroL//deoB//otsB//rlmE//fabI//ppiA//rplW//rlmE//purC//yjbB//cycA//minD//purR//arcB//mutY//lplT//sgcR//fadL//rtcR//fepE//flgE//fumC//ydhJ//argO//menB//ycbB//appB//mtgA//ydcM//abgT//ygbN//sufB//kch//dinD//dgkA//ygjK//alaA//srlD//zapC//uxuA//yjjX//aroA//glpA//ypdA//rlmJ//dnaE//epmC//manY//dusB//ccmA//frc//zinT//yjcS//hsdR//eutN//pyrC//rlmH//nrfF//rna//ubiD//gspI//nrdH//fau//rpsE//mhpB//rlmF//yjgX//yqcG//yohC//queC//nupG//yhfS//uxaC//ygfZ//yciK//hisG//cutC//betT//ymjB//flhE//fecC//fdoH//ompF//gmhB//yjeH//fliA//gudD//gadB//nrdD//aspS//aspA//maoP//ftsZ//pfkA//hmp//nhaB//opgB//yiaT//lamB//dapF//trpR//serB//pphA//
GO_0009060_6	xylB//yfeX//yidE//yciA//caiD//epmA//agaI//yjjB//clsC//araF//yphC//rhaD//yphD//ubiD//ung//gph//zraS//patA//hisC//bamD//proS//glnQ//queE//bhsA//tsr//mqsR//
GO_0009061_6	malX//nanE//fimD//gntP//uspE//yehT//gmk//xisR//ytfT//cbeA//yfeX//tsaC//yeiG//viaA//uxuA//norR//purA//bamE//waaU//frmR//yfcU//yggX//cyaA//coaE//lit//yejE//ykfI//cpxR//yddL//ybeQ//diaA//katE//ribD//udp//dosP//yaaY//garR//glsB//flgF//hslJ//dgoT//abpA//pphB//ycjW//mqsA//uxuR//opgE//ilvM//citT//yqgF//thrB//ptrA//rhaM//rfaE//uvrA//
GO_0009062_6	ybdH//potI//malS//kbaY//aspA//cdsA//nuoH//nagK//mepM//metC//mhpA//mprA//ybhA//nfi//cas3//ilvD//xerC//rlpA//ptrA//garD//ompW//
GO_0009063_5	pstB//hybO//waaQ//ybjX//chpB//tcyN//atpD//pbpG//agaC//rimK//ychF//treA//narH//sbp//bipA//rfaE//ycjP//yfiR//ybcJ//dinB//ymdB//fdnG//ygeA//waaG//higB//yheT//relA//cobB//ddpA//melR//pdeD//fdoH//astB//tdcR//rffC//rhtB//sdaA//hflD//hemF//bacA//mutT//brnQ//prmA//ybaO//fdoI//yjjX//cdsA//fepC//argH//aphA//malI//manY//higA//ybfA//lpxB//
GO_0009064_6	yagI//agaW//yacG//uidA//arfA//eutB//plsX//yoaB//ispA//kefC//moaC//mdtN//folD//rplR//yhgH//yehT//rbbA//rng//yadV//paaJ//ypdC//tdk//araF//dinG//betB//mraY//yqgF//yibF//araA//ybcL//alaA//yqaE//mdtG//araA//acpH//yjhG//nikD//ydbD//yfcG//pdeF//pflC//pflB//yqgB//ubiB//mdfA//rbsR//
GO_0009065_7	symE//ttdT//hisB//melA//lpoA//tyrB//rof//zntR//hcaB//agp//ybhA//tonB//yiaU//yfeO//mngB//frlC//codA//ubiE//
GO_0009066_6	pstC//uidA//ygiN//garL//lsrG//wzyE//ykgM//surE//rhaD//ygaZ//lspA//flgA//cptB//yahD//proC//ygfA//ybjD//nirD//cedA//dapF//ftsY//serC//ycaO//trxA//rcdA//menF//allR//murD//cheZ//rplM//asmA//yadN//sgbE//gyrB//cysW//dinB//ygjR//ligB//alkB//ais//flhE//atoS//lplA//trmA//dnaQ//cysB//rpsK//groL//
GO_0009067_7	rimK//bluR//mtlA//yacG//hypF//galK//cbpM//lpxB//insK//dnaJ//yghO//frsA//rhsD//mutH//rstB//trkA//tmcA//glsB//preT//hslR//argI//fabB//yiaO//ynhF//ybfA//essD//
GO_0009068_7	cadC//pgaD//fepA//rng//alkA//casB//cptB//hemN//hybB//kdpD//tufB//bglJ//mqsA//
GO_0009069_6	coaD//bdcA//accD//lolC//ydfG//pheM//yigL//rfbC//yhhT//nfuA//cysU//yfiC//exoX//yajL//cobT//metE//yjjG//puuP//rpoH//idnK//ghrB//ynbB//bglB//nfsB//deoD//focA//scpB//mdtK//nrdA//rusA//ettA//lpxL//baeS//exbD//menB//phnI//
GO_0009070_7	cysK//trpL//eamB//yafC//hrpA//mdtK//nfi//mdtG//rsmJ//yahF//queD//zitB//fecB//bioD1//hemB//rlmJ//cheZ//trmB//insA-1//yihV//
GO_0009071_7	arsC//sufC//fliZ//fruB//ascF//yjhG//ftnA//rnb//feoA//fliT//htpX//ispH//sbcC//ubiG//
GO_0009072_5	ptsI//agaW//insI-1//yiaB//sapA//frwB//ribD//insI1//mog//idi//fimZ//alr//folD//sgcB//sdhE//gpr//grpE//trpE//aspS//paaF//hxpB//cysG//insB-2//yjhH//
GO_0009073_6	ybeY//fecD//rhmD//dnaK//hisI//gatD//nfi//cobS//yefM//kdpD//hpt//gntK//yiiE//cmk//ydfK//ydhQ//gcvT//flgI//idnD//ybjG//cyoE//
GO_0009074_6	opgE//hybD//tolB//
GO_0009078_6	gshB//fdx//prmC//allB//kdsC//mdlB//yibT//
GO_0009079_7	ratA//clpB//nanE//pyrD//
GO_0009080_7	hscC//ymfK//srlD//
GO_0009081_5	dgcQ//dnaE//matP//mnmG//sgcX//yibF//xapR//pyrD//aaeA//mak//hybG//tolR//rep//atpA//sucB//ybiY//mraY//cyoD//tcyJ//yfdC//srlA//mdoG//
GO_0009082_6	bioB//flhD//soxS//fnr//rutD//helD//yfdG//smrA//mepS//feaB//aceB//bdcA//ribB//metI//sgcE//casB//phnI//yaaA//
GO_0009084_7	rfaF//atoC//ulaR//ycaN//glcF//hisI//cydB//mcrA//yjjG//gyrB//paaB//recB//clpX//potG//cysZ//xerC//ispH//tufA//mtlD//yggN//gyrB//fabZ//narP//cmoA//bolA//
GO_0009085_8	plsB//torA//relE//yfjV//aslB//hofO//metN//npr//ybiS//msrP//yiaL//ansB//
GO_0009086_7	insI-2//garP//prmA//rsmB//zapE//rspB//paaE//qorA//lysU//
GO_0009088_8	yiiE//pck//
GO_0009089_6	tamA//blr//fklB//rpsR//nagE//mtfA//ybaO//modB//ldrA//
GO_0009090_8	basS//ttdA//hfq//dppA//
GO_0009092_7	epmA//rpsH//gsiB//xseB//ybaE//hisP//
GO_0009093_7	xerC//pgk//mrcB//yfiF//dnaA//
GO_0009094_6	bdcR//rlmJ//deoD//yhdJ//
GO_0009095_7	fbaA//narZ//yghB//appA//
GO_0009097_7	rutC//xisR//qseC//ybhJ//pmbA//yhbQ//nanT//
GO_0009098_7	setA//casE//nimT//rpsA//ybhG//ddpX//mlaD//
GO_0009099_7	folE//rhaS//yqgF//rhaS//hflD//pnp//ubiI//hofM//trpD//hybF//
GO_0009100_5	cstA//cptB//mhpA//melA//ydfK//
GO_0009101_6	gsiA//
GO_0009102_6	zapC//rimL//insB-4//yhbX//glpD//kdgK//mscS//hofP//yjhP//ydiZ//soxR//mreB//csgE//
GO_0009103_6	xanP//torC//flhC//mgtA//ispB//glgS//pabA//appA//purF//sapA//yneJ//
GO_0009106_5	nuoF//xanQ//
GO_0009107_6	cydD//rsmG//
GO_0009108_6	wecB//caiB//proQ//ttdR//lyxK//ygfX//rpnC//sgcC//nrfD//lsrA//ugpE//ycgB//rhoL//yadM//dapD//gpmM//polA//deaD//dacC//dinJ//yafQ//lit//argE//hrpA//bioB//sapB//recR//yafO//sfmA//lolC//prfB//rplI//clcB//nlpE//pyrC//amyA//gcvT//uhpB//speD//fklB//mrcB//yjfP//uidC//ibsB//agaS//dhaM//nanA//tdcG//rutB//citE//exoX//znuA//tcdA//gatB//prs//polB//hybC//yjaA//rdgC//dgcJ//hxpB//dgcZ//degQ//dinI//yiiE//mtr//carA//ybcJ//ldtE//ygfI//sfsB//dtpB//rnhB//rffT//dgcJ//aceK//rutD//cynT//uidR//aspA//mglA//fadD//queE//yidK//insK//ruvA//cho//cpxP//aroG//narG//dhaM//yfaE//pliG//gloA//trpA//narX//mak//mdtJ//ppiA//rpsN//ycfH//lysR//cysK//rsmB//yqiI//trmL//yebQ//yneL//narX//purB//
GO_0009109_6	flhE//ptsI//dsbG//yfjR//lolE//
GO_0009110_5	hchA//pdxH//talB//phnP//clpB//yafC//ghrB//fucK//cmoM//iscS//ybhS//uxuB//gnsB//ycfS//glcF//paaG//alpA//folP//clcA//gmd//fsr//yehA//rsmF//basS//ravA//flgJ//dcuR//putA//recE//rpsL//dppD//uxaC//rzpD//ibpB//uidR//puuD//mdtN//rnb//xylB//cusF//nikB//pldB//aspC//mutM//treF//ytfE//rsmG//mdtI//waaJ//yqjI//gsiC//rpsJ//gpmA//hlyE//tdcB//recD//nudC//
GO_0009111_5	preT//ebgR//higB//galS//
