#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	hldE//gntU//arnF//menH//
GO_0006811_5	agaV//yeeJ//tatC//nikD//cydB//mgtA//yfiC//pyrC//cho//deoD//fau//hsrA//yjjB//mdtG//basR//rimI//upp//aspC//zraR//tatE//fucI//fruK//aroH//mqsR//mrp//sbcD//feoC//yehP//degQ//rbsA//cysW//kduI//ulaA//lgoD//qseC//yfeO//cysU//glnL//hcaT//flgI//yafS//tmcA//sodA//yceK//greA//artP//selA//gcvA//cysK//queE//allD//ybaL//yaaU//yhjX//pstS//sspB//ydfD//paaG//yejF//ykfM//fepB//yfaX//sdhB//yqaA//ydiF//yacG//ybiA//clpX//fdoH//murQ//cobB//yhcH//secM//rbsD//dusB//artM//rclA//lipA//fimG//dgcT//hiuH//metR//ampE//ygeR//plsX//caiE//fadE//gmd//yfdO//prs//nadC//yoaA//leuB//chbA//ydcP//phnM//yehC//gltS//yegS//btuD//cpxA//ydeM//marA//hprS//hsdM//zupT//rluC//lsrD//fimF//dgoR//hycB//dhaK//glrK//mhpA//gpmA//dgcM//hyaA//sufD//ydfG//yehY//cysG//tpiA//hpf//gntP//relE//mdtO//narY//rhtA//sgcB//glmM//polB//rcdA//secB//ytfT//iraM//fur//baeS//cmk//pykF//mgtA//sugE//msrQ//yciF//ygbN//yihU//melA//ppiA//mscM//rmuC//gph//fhuB//pyrD//ubiD//ushA//skp//ygeR//yedX//betI//rssB//hycH//moaE//metB//pstA//gpp//nrfC//ispF//glpX//lpxH//frlB//satP//arcC//ibsD//pdxY//sfmC//secD//leuS//xylR//arnA//plsC//cspI//ybcJ//betI//lamB//xylB//lysS//ybaT//purR//narP//epmA//trmD//chbF//umpH//rnhA//ubiD//emrB//bcp//osmE//bhsA//fruB//radD//ybdM//atoS//uup//plsX//yfcQ//secY//btuR//yfjR//ytfQ//ybcJ//oppD//betB//pbpG//treR//yjhB//tar//mhpA//alsK//yafE//pdxJ//yeaK//agp//nhaA//hisM//aceK//rluD//aspC//rluC//treA//mngA//dinD//guaA//rpmJ//sgcA//cueO//sbcC//agaD//dsdX//rfaC//dgcT//pitB//potG//srlB//msrA//sbcD//rluB//ampG//dapA//nhaB//amiD//amiD//napD//minD//hcaF//flgA//ascF//rpnD//rplF//mcbA//mtn//cecR//yjiY//srmB//mdtI//recT//rfbD//yahD//recR//ugpC//hyaC//mdfA//deoD//ghoS//cycA//opgH//oxyR//cirA//ilvD//waaH//cpdA//arnD//clsB//fadR//kch//ydcZ//syd//hybO//
GO_0006812_6	allD//diaA//leuC//cdh//mhpR//rfbD//yiaJ//ldtC//insI-1//rbsC//dapA//rlpA//ybcF//galS//yiaA//rplY//nuoH//ttdA//bglF//ybhS//rfaE//yieE//insB-4//phnH//cspG//potB//gntP//sgbU//deaD//fes//ycgR//lolE//epmC//baeS//rraB//yraN//nmpC//pagP//rodZ//csgD//rlmI//ccmC//wecE//yfeW//acpT//frr//paaH//msrB//ybdR//yghW//fixA//frdB//rihA//yehY//eco//hslJ//exbD//zipA//bamA//cyoD//cysA//rfaF//yacG//ispB//yqhD//gutQ//dapA//pabA//prpD//ydiF//bhsA//nrdA//yfeO//tpx//fadK//cobT//rnhB//ybcF//rlmI//ybjI//recJ//chbA//zapB//pspA//ompW//ptrA//rhmR//pyrL//chiP//hns//ibsE//gatD//malK//ygeA//ydeT//dkgB//nimR//sfmA//frvR//rfbB//evgA//fimE//prfC//yhgF//yhjV//ttdR//lptF//bssS//puuR//yadG//frvR//ybeF//rpsT//panC//znuB//yehX//rfe//rlmJ//ubiC//ravA//rffG//mcrB//cusB//chbF//mgtL//potH//serC//yafQ//crfC//hpt//glcF//allB//folE//murC//yihR//yadV//fryC//mfd//rplN//yqjI//pheA//rutR//phoP//cspA//gpmM//fecB//sgbH//glcA//guaD//aceA//yeiG//gyrA//hycH//yneE//secM//solA//kilR//nusG//ogt//nagA//fpr//aspS//ubiJ//uhpT//tsaC//bglB//ivy//nirB//murF//aceF//mltF//
GO_0006813_8	ybjC//ybcM//phnO//fucP//rpoH//nupG//hpt//rpsJ//holD//priC//nagB//paaD//asmA//hybD//dhaM//mazF//yidQ//
GO_0006814_8	amiC//nlpE//yphB//pck//nagK//hokE//cydD//mdtE//atpC//
GO_0006816_9	yafS//
GO_0006817_8	hns//tauB//yciK//mfd//mzrA//cyoD//cspI//fdnI//lsrD//
GO_0006820_6	glxK//prfB//hrpA//lamB//fetB//sdaC//ybdZ//rseB//yeiL//def//ycgR//aspS//psd//yejF//ftsH//rpsJ//ycaN//mdoD//dsbB//secB//ymjB//cpxR//yajO//uraA//tatB//dxr//lysA//ydeE//lplT//ribF//csgB//fepC//pepA//melR//yjiQ//rpmB//nadE//ruvA//secE//treF//ygiN//mntP//bioC//ompF//rimO//pth//yadV//manY//zitB//rstB//ftsE//ydfK//yhjR//wecB//yahD//cvpA//dmlA//yjfP//pntA//frwC//artI//mmuM//ccmG//dcyD//crr//fdoH//nirB//yedA//dnaT//ftsN//lpxH//ypdF//arfA//gatA//yrbG//clpX//uxuA//yhiM//aroA//fepB//cyaY//rlmB//panZ//rpsB//ttdA//clpX//bglJ//fadL//ydiZ//mreB//tyrR//yohD//pck//birA//intZ//cydB//pepT//norW//bssS//dnaQ//tauA//rspB//rpsS//yhjX//yidA//xapA//xanQ//flgI//rcnR//pykF//ydcR//ydcM//crp//yieH//ygcW//ilvE//glvB//setA//dgoR//aceA//pgl//sspA//rplK//ybiV//waaG//yiaL//recX//cytR//dnaA//birA//dsbB//lolC//rrrQ//spoT//nuoL//citX//dcuB//prs//perR//pabA//rpsJ//mtlD//fieF//narJ//tyrR//rluD//bamE//hofM//cysA//glsA2//yceK//ybaE//rpsO//mnmC//gntR//narI//uof//setA//yjiQ//hyfA//ybcF//entE//comR//tsaE//nudG//corA//aroF//tcyJ//yddA//fixC//bamC//yhjA//atpD//cheR//speE//rfaD//ydaC//
GO_0006821_8	spy//tyrR//gmhB//
GO_0006824_8	casC//ydeT//cydD//cysG//
GO_0006825_9	flhD//tcyL//proA//asnB//raiA//basS//ascB//
GO_0006826_9	iraD//tktA//mqsR//purR//argK//yqaE//yhjR//murG//iscA//xylR//rihB//mhpA//ldrA//intZ//narL//tdcR//paoC//
GO_0006828_9	glsA1//aphA//mtr//
GO_0006829_9	fkpB//fes//lspA//queA//rhaD//tsaB//yifB//arfB//ybaQ//
GO_0006833_6	hypE//
GO_0006835_8	insK//murQ//tus//yehP//frlC//metB//xylA//arnF//alsC//nupG//yigB//murC//ybdR//rpoD//
GO_0006836_5	thiL//cheW//proQ//yfdR//elaD//yhcF//dpiB//ubiX//cbrA//yjhI//
GO_0006846_7	slmA//yfeW//
GO_0006847_8	rpsS//
GO_0006855_6	macA//tatC//ridA//flgJ//yhhY//casD//wrbA//aroE//ilvC//ftsI//glsA1//leuC//mog//ffh//ypdF//yehC//ribA//cysB//rbsR//betB//ccmD//ygbM//recC//yacG//pdxY//ybfA//pncB//ybhP//yrbG//sapD//ytfE//lsrA//miaB//nusA//tsgA//adhE//ydjJ//preT//mnmA//yiiD//rfbB//yhbX//rlmD//uhpT//ygbN//aceF//rlpA//yeaK//xerD//lacI//yiaL//gadX//fepA//iap//suhB//yibF//pgaD//fadE//
GO_0006857_7	parE//glsB//tpx//bluR//yphD//dcuD//galE//ogt//ghxQ//mgtL//wecA//citC//actP//dacD//dgcT//yeaE//tktA//ydiO//arnF//fau//hcaT//fucA//cstA//cydA//yegD//flhD//lptF//
GO_0006862_7	ydeT//
GO_0006863_7	mdtG//fhuB//ydhC//yfcP//asnA//fadJ//erpA//ydaN//
GO_0006865_6	bluF//mdtQ//tolB//queE//ruvB//uxaC//srlE//djlC//guaA//dinJ//ycjW//avtA//ssuE//valS//tabA//rclR//rutC//eco//hyaC//ybaT//rplW//rarA//afuC//topAI//nanA//bglJ//rfaE//ubiB//yqcG//bluF//narX//metC//yidL//manA//opgG//mcrB//yehT//yqgB//gpsA//ydcP//ibpB//yjbB//caiD//fic//gatD//trxA//fruA//cusR//pabC//oppC//yoaA//hisC//mutH//frwB//fetA//gsiA//queG//mak//greB//uvrC//ybeQ//mmuP//yhbS//borD//lolA//mcrB//gltB//yddG//mngA//ychO//glpG//uhpT//bluR//
GO_0006868_7	grcA//norV//yfbR//
GO_0006869_6	ecpR//pspG//ybaQ//relE//ygfA//rhtA//ompT//allD//betB//nfuA//glpC//dhaL//glnE//agaI//yggT//rpsD//helD//mntH//ydaV//rhlB//fruK//dosP//qseC//
GO_0006873_5	potA//ilvD//pntA//gfcE//manZ//fepC//rstB//bamC//yoeB//aldB//bhsA//higB//pdxB//yccS//ymgF//kgtP//lpxL//livK//yghG//argF//kduD//hyaA//sbmC//tas//frmA//pspC//lexA//nrdG//smrA//yahK//
GO_0006874_8	rplR//
GO_0006875_7	yfbS//nimT//rlmA//melB//yccX//lexA//wecB//comR//ynjD//appB//mtr//yciH//gsiD//eutK//argG//rpsI//melA//xisR//mtfA//narW//yhjD//
GO_0006876_8	yraI//
GO_0006878_9	eamB//glgA//puuB//argG//tolC//
GO_0006879_9	malF//wzb//seqA//ccmA//ygiB//tdcR//sad//rutF//ygjK//cusR//ycaO//
GO_0006880_4	evgS//dgoR//cheZ//
GO_0006882_8	ydeM//
GO_0006883_8	sgrT//panC//yhjX//
GO_0006884_4	pta//chpS//cutA//ybbY//frmB//
GO_0006885_9	nadC//hldE//pyrF//aceK//ibsB//cyoE//yehY//fryC//epmA//oppA//cptB//
GO_0006886_5	metN//citG//poxB//hsdR//rpmJ//edd//adiC//nrdE//pyrB//paaK//alpA//
GO_0006928_3	idnT//glgC//glcA//glmM//lptA//rlmG//nirB//tap//ygjR//hcaR//acrF//argF//argR//bglH//yeiE//pgpA//hybG//panB//rpsR//rzpR//yjbG//slyA//gltB//exoX//pdxH//eamA//nrdI//aaeR//yidP//ybcJ//ldtE//gstB//rnb//sucC//hslR//potG//kefC//fadK//ybhF//hycB//yqeA//yjiR//purA//ydiB//
GO_0006935_4	yieF//sbcD//glgC//glcC//xisE//dapD//tag//hybA//ydiF//atpD//rplF//srlA//hsrA//iraM//cho//phnO//
GO_0006950_3	cpsG//thiI//pdxH//yfbR//lpxT//npr//yhdZ//ilvI//paaK//higB//rlmI//lpxB//der//dnaB//nikD//paaK//greA//lpxH//fruA//amyA//fumA//tusE//murR//ybhJ//ptsP//arsB//zapA//tusC//dgcJ//phoA//rplX//cynX//hfq//glpX//zapB//ycjY//frwC//moeA//ybdR//ydhK//guaA//degP//xylR//tadA//aroP//ribB//cueR//entB//norV//lgoR//argC//mdtB//lptD//aceA//torA//nudG//mtnN//dgcE//yhbX//dppB//xerC//tolR//yehT//ybdO//manY//gudX//fimA//bioA//add//yciV//ygbI//efeO//ybdM//clpB//dacD//yghW//yecS//uidA//rfaE//nanR//hybC//ilvL//glyA//cspC//ampH//feoA//trmL//yejF//ynbD//ftsK//rhaT//ydaC//ycfS//ttcA//ptsI//rimI//rpsT//yeeA//rrrD//yiiD//dicB//xisR//yiaN//ydcT//entB//lpp//ynfL//pmbA//arcC//gcvA//menH//cheW//pfkB//xapA//tyrR//oppF//arnD//glyS//ygeV//ypdI//ybhA//mglB//yoaB//galS//ppc//csgA//setA//ybiO//ftsL//tus//artP//metI//yggE//moaA//ratA//nrdF//glgX//sad//yigL//uhpC//yqeG//adeQ//nikC//aaeR//yggW//nrfB//nadD//yhbS//codB//atpG//phnP//mraZ//yciV//folE//solA//queA//ybiX//rlmB//xthA//rbsA//nth//yadV//tauB//fklB//znuC//rhlE//zur//bisC//rfaH//uidC//ybaM//hybF//tdcR//kch//cytR//rfaF//cecR//cmoM//lpxK//mngB//truC//yiiM//mtn//ulaC//cysE//rimP//phnJ//frvA//csrD//fes//mhpB//waaJ//yaaY//atpC//lipB//pncB//udk//blc//sufE//cspA//fecC//ybiV//adeQ//yihI//lacZ//yjhC//yceK//srlB//cheR//mscM//cspE//yiaJ//pgaC//exuT//tktB//lrhA//pabA//gltP//uspE//fkpA//phnN//cusS//dacA//secA//nanC//hofM//mreB//pppA//aroA//dnaC//wecC//rpmH//waaQ//recG//blr//mobA//narX//priB//mscM//def//garR//glpC//uxaB//caiF//yebQ//hflK//ychH//yeaD//nlpD//cysI//envC//ycjQ//rbsA//manA//lldD//aceB//emrB//cpdB//mutS//opgB//yedP//arcA//osmY//flhA//dgt//rnb//atpF//ydfK//fhlA//iaaA//sstT//scpB//nrfA//hisQ//appY//rsmI//ydjE//ftsP//cirA//ftsZ//yggF//yjjU//leuO//galU//ampH//aroF//aaeR//yajQ//uhpT//yhaM//idnT//glgS//dsdA//rpsM//fumC//phnO//glrR//yjhH//insH-6//ppsR//folC//narI//entF//waaY//ubiG//ompN//pgi//yoaA//yibH//lptG//queE//insI-1//lpxM//torA//tcdA//leuS//citE//thyA//agaI//mdtB//yadM//pyrB//yciA//tsaE//napA//narU//moaC//ynfK//yidL//cyoD//rpoD//gcd//nagZ//puuC//ybcC//hybD//mhpR//ybdG//kdpF//nanS//rodZ//ygeX//lysC//yahK//menB//avtA//fsr//deoA//purD//ubiD//sfsB//dinD//basS//cusF//ccmF//dacA//uvrC//yphB//ycjW//cueR//fabG//hrsA//mobA//gstB//ybhG//gph//ldrB//ahpC//queA//cysH//ycjY//wrbA//tsr//yghO//acnA//rpsM//yggT//yfaL//asd//yhjD//trmD//mdtL//cyaY//yehT//bcsQ//lptD//groL//glvC//pdeF//xanP//dgcM//yqiG//ttdA//ulaB//yihI//entF//dppA//srlD//ybiI//ychH//ybbN//marA//bglB//ydiQ//yahD//mazG//fhlA//rplS//yqiI//lapA//pal//uspE//ybgI//rsgA//hybO//yhhY//alkB//dnaN//fimI//idnD//wzb//dapD//ariR//eutN//ppiD//ycdY//ssb//araE//yfeX//argB//rpsP//mntP//der//crcB//mocA//ygeW//yfhM//napB//clpB//seqA//csgA//ansB//obgE//glvC//creC//trkH//gcvR//polB//ubiH//hypD//glnQ//yfbV//yebK//trmD//recA//queF//rfbD//rpsA//preA//yfbV//trpD//purB//macA//acnA//gshA//yoeB//hisM//yqjA//ydeM//aslB//prpC//ftsW//frvB//rlmN//thiQ//yggX//mdtQ//yihR//yiaF//hemN//fliK//rplF//
GO_0006952_4	frlB//glyA//dgoD//yefM//wzb//metF//ynhG//ycgR//hycB//zapE//narX//nagD//
GO_0006970_4	fimD//fdhD//malP//tdcC//deoD//cspG//ydeT//speG//yfeR//ygiB//era//hxpB//ariR//lit//yehY//cpsB//pdeK//gcvP//fimF//yicJ//yadK//ampH//ralR//dxr//frdD//arnA//tabA//cobB//intZ//ttdR//nanR//yieH//thrB//ygjH//tatE//moeA//mcbA//ccmF//
GO_0006972_5	yrbG//rlmG//lgt//tdh//shoB//yjbH//glpB//pflC//yhbS//araG//birA//hiuH//dmlA//zapB//
GO_0006974_5	argC//der//flhC//erpA//hycI//manA//cedA//narJ//xerC//mdtM//hypT//mlaF//yehC//cyaA//hyaD//agaV//dsdX//yfcF//frvB//rsmH//chaA//ulaB//hflX//curA//fis//pinQ//adhE//rutC//rarA//entS//ubiX//gpp//pgaC//garL//narY//thrA//sgcA//glnE//thiL//mdtD//cbrC//cysK//purA//chbA//tauC//fabG//lasT//mdtK//dnaC//glsA//mhpA//tdcA//sdhA//aqpZ//exbB//recT//udp//cobC//rpoA//gadW//waaU//yjiA//fdhE//glyS//nudC//metR//yfcP//nanK//dnaA//hdeA//pepB//serC//ygaV//topAI//csgA//yiaN//fimE//csgA//umpH//ortT//gabT//carB//dosP//kefF//zntA//fepC//yihS//ileS//selD//cdh//perR//nikD//yihU//tmk//fabG//eutB//rcsD//serA//gltX//ydaV//opgD//moeB//flhE//dxs//frvA//ycbB//dosP//oppF//tusE//fbp//livG//sbmC//prmC//mscS//yeaV//lpxL//narL//yhjC//panC//nikC//yfeW//livH//ung//prs//minC//melA//pstS//uvrC//torA//glsA//rluA//yjbG//hha//cyoE//yciK//ychO//yhdX//ompA//nth//msrB//ibsE//rfaG//ldtA//acrZ//barA//nrdB//aspC//bcr//nlpI//xylR//pdhR//exbB//glxK//yahN//agp//yhaC//etp//chbA//leuB//pabB//cmtB//lpcA//ghrB//pgm//speG//yphB//yijE//fur//frwB//hcaC//cusB//eutR//yhaJ//ygfI//deoC//ilvD//kch//dppB//rplC//kdpF//frwD//macA//feaB//nudF//argF//ydcR//hdhA//nagK//pmbA//rsfS//ychH//gadB//yaaA//ygaV//recF//alsK//nuoG//flhA//pnuC//cytR//ypdB//yqcC//yrfG//ubiI//yhgF//rutG//gltL//pyrE//leuC//bdcA//srlA//malS//ygcR//rbbA//ddpA//ygbM//yfgI//ycbU//yfaL//astB//ravA//hypE//ygfX//atpF//dapB//yaaY//xthA//tdcA//rrrD//entC//rpoS//gntT//cysZ//gltP//tusB//pgaB//cmoB//bioB//pstA//holC//gltS//ydaN//agaB//livF//glyS//yraJ//
GO_0006979_4	argB//fabG//ulaD//aroC//hybC//yafS//yfiF//bamD//puuA//sdhE//argB//torY//nadE//hypA//yeeO//ltaE//pncB//melR//ybaM//ybfE//rluD//ymgA//ruvA//ppx//yehZ//yhbY//nrfF//plsB//clcA//queF//hisQ//yajR//pppA//galF//lysU//paaA//aroB//hyfC//oppF//rlmE//dmsC//cysN//malQ//kch//preA//hha//essD//thiM//exuT//nuoM//lplA//nrdD//valS//zipA//acnA//hpf//ptrA//rihC//lsrB//mog//ivy//allB//yeiE//glcC//phoA//yehU//lrp//leuD//manX//fmt//gstA//rpsA//frlR//bamA//cpoB//sufE//tyrS//ygdG//yojI//yhgH//rpsJ//hisF//nagB//caiT//nuoI//ydcM//
GO_0006986_5	modC//putP//ebgR//yhbQ//waaF//yjjW//
GO_0006995_6	nadC//selB//
GO_0006996_4	flgJ//puuD//cstA//ybaO//garR//chpB//sufC//chaC//ssuE//rcsD//lptG//rseP//agaI//rbsK//cfa//fliT//glcD//sdhA//dsbD//greA//bioC//etk//yhcH//preT//pcnB//yqjA//erfK//nfo//chbC//soxS//wrbA//ldrB//alaE//rutE//appY//cirA//hscC//pdxH//ulaE//
GO_0007010_5	pinE//
GO_0007059_3	uvrA//yqaB//bioP//yaiV//yahD//yggN//oxyR//ldtC//adeD//fixC//
GO_0007062_4	ogrK//yehU//lpxK//phnJ//
GO_0007154_3	rnr//mtgA//rng//xylE//dinQ//oppF//gshB//cyoA//crr//yggF//kdgT//wcaJ//hmp//fepB//lpxC//ypdC//rzoR//ftsW//glcA//cbl//yihU//frdD//pinQ//ribD//chiP//truD//rcdA//yraR//rho//ybdG//cyaA//lpxC//epmC//gcvR//trkH//yidA//atpF//yfgO//insB-2//rfaB//ftsA//appA//yiaL//rlmN//cyoA//brnQ//rfaG//aceB//rmuC//fucA//sdaC//arcA//ssuC//csgE//leuB//
GO_0007155_3	accC//nhaR//creB//rseC//mrdA//yjjX//tnaC//yfjV//yebC//rhoL//phnJ//rpsA//kbaY//yfhH//yedX//yiaF//mfd//gnsB//mdtF//mdlA//gyrA//nuoL//kbaZ//alsE//hdfR//pcm//feoB//yeaE//mepA//sdhA//yfcP//ftsE//ybhP//yihI//ydeI//
GO_0007163_3	yagU//
GO_0007165_3	ygbL//alsA//sucB//rbfA//essD//hycH//fepC//yehU//tusB//kdpE//ccmD//yfcA//yhaM//yahB//cyoC//murG//hmp//nudC//rodZ//cfa//cpoB//ampE//mtfA//rlmJ//aphA//waaP//yfdR//ykgA//nfsB//hofC//hyaD//atpF//yghO//treF//nupC//araE//pepD//yihI//hiuH//galE//cmtB//rhlE//yfdG//speA//ycjY//paaE//yciK//sfsA//emrE//ygjR//rzoR//yaaJ//aceF//garK//insK//yhjR//uxaA//puuA//dacC//accD//
GO_0007166_4	lasT//yggE//wcaB//metB//
GO_0007215_5	iscA//bioD//cueO//nimR//
GO_0007231_4	fadH//
GO_0007234_5	recO//
GO_0007267_3	araB//pheA//
GO_0007346_6	phoR//ykgM//arsC//
GO_0007584_4	nuoL//rsmB//cobU//uvrD//
GO_0008033_9	yjjX//oppA//rof//ftsX//mprA//purF//truC//frmB//rpe//ycbX//rfaD//parC//pykA//ytfR//lsrA//gatA//rbsD//bacA//malX//tehA//sulA//yddM//sixA//potH//aphA//setB//hypE//nudF//dam//csiD//aes//mutY//folP//rsgA//dpiB//ugpE//queG//sgcX//bssR//zntR//mqsA//waaZ//ttdA//mglC//purL//acrZ//tyrA//garD//rhaB//endA//rlmC//tsaE//ycfH//alaA//deoB//hsrA//
GO_0008104_4	rluD//yieF//sfmA//flgF//clpB//yaiV//ssuC//bolA//yfaL//cyoC//purN//intF//feaR//mutS//yejA//uof//nrdD//rbsD//topA//dpiB//tsaC//xanQ//nadA//gmhB//bipA//yfdG//ydjM//rseP//envZ//panE//insB-4//mnmA//yqcC//puuR//yraK//dedD//rluE//dxr//rhtA//cspC//arsR//ygcW//holA//cusS//dcm//sgrT//rlmC//pepN//pepD//
GO_0008156_8	hofO//ykgA//yfjR//argA//malG//ycgB//
GO_0008202_5	fliL//
GO_0008206_5	ydcI//
GO_0008213_7	atpB//asnB//symE//rnc//waaA//tsaB//livG//lsrC//
GO_0008216_5	gatA//caiE//aceK//
GO_0008219_3	puuC//bdcR//pgpC//arnD//ynfK//aidB//csgG//moaA//rna//rplT//eptC//bioH//pheA//yqeG//rplP//
GO_0008272_6	ycjP//cheW//yehD//alkB//ydhK//aroK//uxaC//
GO_0008295_6	ratA//paaC//ghxP//
GO_0008299_5	hrpA//nfo//yieH//thiD//bamB//ampE//
GO_0008360_4	mmuP//eco//maa//ydbD//hemA//uacT//lysS//araG//flhA//yiaJ//rpnC//dgcQ//ftsZ//xapB//yiiE//hisI//
GO_0008361_5	hfq//lrp//edd//waaY//phnP//
GO_0008380_8	entH//
GO_0008610_5	atpF//yedF//yhcN//kefB//arnE//yggT//mltC//smrA//nusG//ytfP//fdoH//cbeA//ogrK//rzoR//napD//rsmJ//ybeF//mhpD//lacZ//ygaZ//yibA//frvR//ligA//dadA//trkA//ravA//pphA//amiB//ttdT//ompW//bhsA//ypdI//fsr//paaK//lsrD//rlmE//fliM//nanR//ydaV//yihT//nrfF//amiB//puuC//radA//lacY//malG//yccS//tktA//gudD//fimI//rarA//hns//frmB//yehU//sstT//fimA//waaC//yadV//yfdG//yjjG//pphA//rsgA//cydC//ftsZ//alpA//fryB//purB//
GO_0008614_5	hyfA//rfaD//ycgV//ccmH//frlC//fimA//ybiI//
GO_0008615_6	yidP//wcaB//ftsB//ybhJ//fabI//metG//ycfJ//
GO_0008616_8	nadD//galR//ascG//fepE//yihT//tehA//nlpE//
GO_0008617_9	fau//
GO_0008643_6	ldtD//recG//viaA//tqsA//pgaA//entD//gntT//ycaO//dacA//yfdC//rplY//yddM//gpp//aceF//mtnN//ycfL//rimP//bioB//ydfH//yccX//sohB//dtpA//ygbL//glmU//purN//yiaM//ampD//mgrB//priC//yijO//eamA//npr//tdcD//dnaC//zraS//ascB//yiaM//murE//phnI//narW//ybeQ//elfA//fdx//hisA//cadC//manX//rna//csgB//frwB//asnB//perR//ybiX//intE//ydcS//ompN//atpG//narP//fre//ttcA//phnL//xanQ//eutR//livH//rutC//asnB//ydfH//recG//ybhD//yghB//mliC//otsB//yihX//fliD//lipA//hybA//menF//ycbB//ybbY//araD//ridA//yagE//fimC//rfaG//fliD//epmB//rimL//patA//ribD//hofP//dacB//paaE//rcsC//fumA//fabD//yciE//mtnN//talB//dgoR//fruA//hrpA//scpB//rraB//ibsE//glrK//degQ//agaI//bamD//frdA//garL//ybhD//trmD//dmlA//gmk//amiA//
GO_0008645_8	aroK//ribD//yadN//csdE//ycbB//chbC//yagF//ssuE//tpiA//murA//mnmC//yfaL//exbB//pldB//yqeF//mug//rseB//glsA2//sufA//pheS//potF//yjjI//cyoC//rrrQ//
GO_0008652_5	fhuB//gmk//zupT//speF//bioD//norR//panD//mscM//nikE//ggt//rpnD//fliD//rcnB//kdpE//kdsA//hdeA//yjhH//dkgB//nhaA//metK//fabI//uspC//ybiW//mscM//rnr//entE//pheM//rcdA//acnB//ftsK//fdoG//opgB//cas2//panC//nusA//tcyP//ppiC//trpB//mhpR//degQ//arnD//yajO//pdeL//deoB//iscX//menA//ynhF//tcyN//rsmD//yihI//nrfG//rimL//fsr//alaC//mutS//ychO//ftsH//rpoA//apaH//rfaG//dctR//rclR//thrB//zapE//nrfB//fadL//murG//rcsC//dnaX//menF//rpsA//hybC//fucO//hypC//recJ//atpB//leuA//ygcO//hycA//emrY//yafS//nimT//tdcD//ydjJ//aaeA//aceK//sufB//rpiR//frwB//lpxB//dppF//araE//yhgH//hisB//mtr//csgF//ykgF//selA//yahN//ynaI//hyaC//hupA//ssuD//fetB//spy//ycjR//sthA//moaC//potI//menH//fliG//astC//oppA//dnaX//
GO_0008653_5	pyrD//sufD//nfsB//fruB//hyaA//metI//yecS//fliK//arnT//ygiV//nuoE//iscR//cheY//
GO_0008654_5	ftnA//glnK//pdxH//elfG//yiaA//fadK//ilvM//xanP//argO//hpf//ygcW//ecpR//ygbM//tktA//metI//tatC//rplX//yidK//yahK//rlmG//srmB//hofM//acnA//csdA//mgrB//hcaR//yeeY//yiiE//yfjV//degP//fucP//yafN//yfcP//pstS//bssS//
GO_0008655_5	gltD//coaD//yjhI//glvB//fdx//cysZ//ibsE//
GO_0009050_6	ybgI//srlB//
GO_0009052_6	cyoB//ihfA//adk//hrsA//pntA//evgA//btuB//
