#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	crl//yaiW//mtr//dnaG//
GO_0006811_5	cysS//bluR//yacG//puuP//ynbC//potH//bglH//ogrK//amiA//sufA//murC//hemG//ygeA//mdlA//bglA//gspJ//manX//putP//argA//yqjI//ydcI//malG//argE//idi//rplS//aqpZ//phnC//accB//grpE//mfd//ydeM//queC//frsA//patA//gntT//sapD//gshA//pth//paaE//alkB//hyaC//moaC//yibF//yqcC//spy//opgE//cueO//yhgH//proS//pdxJ//topA//aaeA//hupB//rutF//ydjE//flgJ//glyS//mnmG//yagJ//ybdR//ibaG//ulaD//yihU//rnpA//yhgF//mngA//hybA//pnp//rnd//kduD//sdaB//nfuA//aldB//narZ//exbB//yihI//insB-4//gcvT//wcaB//holB//pgk//sad//lpd//ygeA//yiaB//dxr//prkB//yfgO//ydiK//yneE//yaaY//flgD//ompL//pck//yjjG//djlC//psuG//ghxP//yhdH//glnS//hyfA//ldtC//bglF//dnaN//serA//mdtO//recF//thiM//folD//prfC//yqiG//nadK//gyrA//ypdF//cspI//dmlR//glcE//yfjV//yoeE//rpsO//baeS//bioD2//fkpA//ispH//dapD//uidA//higB//hiuH//crl//ychO//folA//hyaB//cbeA//rplJ//selA//kdpB//napB//lysS//topA//btuC//yhdZ//ydiO//dhaR//ybhP//glnA//ynhG//roxA//evgA//ybcJ//aes//ydcR//nusA//phoB//pinE//chbC//cysZ//eutA//ybjI//elfC//preA//mltB//yagJ//dgcN//grcA//exuR//proV//hemL//lepA//napC//rph//sixA//potG//ybiT//ybaO//lpxP//trxC//clcB//ybhF//ydiV//pgm//yfcV//gntR//tgt//hemL//yieF//lacZ//aphA//cirA//tomB//bioP//sufA//frwC//comR//ybiA//fimG//dnaX//rfbX//agaD//fecA//dnaX//pbpC//acrA//sgbH//dsbC//dtpB//iraM//aroG//uhpA//rutR//apt//yqiG//yhaV//gntR//ansB//flgD//nadD//argI//ugd//purF//citG//ettA//thiQ//fabH//dicB//mrcA//yiaU//ytfR//ggt//menF//tas//ybaK//acpS//pflA//aspC//obgE//rlmD//yoaA//ssuD//cecR//argI//basR//nagD//livF//mntH//norR//cysS//mdtQ//skp//waaP//rhlE//tpiA//kdpE//ydfD//paaG//cfa//ydiP//fes//ydcZ//aer//thrS//nimT//ybfE//add//tsr//bcp//mglC//agaV//ibsC//gnsB//ycjY//ghoS//astC//gntT//hypB//hicA//rlmB//mzrA//abpB//ibaG//leuA//pgpA//nmpC//fabB//rssA//cueR//cyoB//yaiV//
GO_0006812_6	yraJ//bglA//tpiA//marA//grcA//ybhA//mhpC//cpdB//rlmL//pgaD//ilvB//flgM//fliL//sbmA//cspB//rpoH//ivbL//eptC//solA//mrp//acnA//rbsC//proB//ybcQ//qseB//gpt//asnC//paoC//yhdW//yjeI//yhjC//nfuA//ygfZ//xylB//yfcF//ilvI//araC//uacT//pyrE//cysP//rpsR//pgaD//mqsR//tolC//luxS//pdxH//cadC//aroG//rbsC//malZ//glyA//yjiQ//yccA//borD//aroD//nrdB//ybaT//yraH//ilvI//ibaG//fau//gldA//lon//pgsA//queD//xdhB//cusR//rpoS//lpxH//glnP//clpS//waaL//phnK//napD//dut//aspA//ilvH//yejE//flgK//ghrB//rfaC//rhtC//yghU//pdxY//zraR//araD//thiG//gapA//dmlR//yggX//osmF//ydhC//recD//fadL//ybiA//ubiA//tehB//yhiM//bepA//bcsQ//waaL//nanE//hofC//cirA//casC//speD//uspC//rhtC//ycfJ//patZ//rpsL//dedD//leuA//mscS//asnS//patZ//araE//fimE//ggt//thiI//ygfI//gatB//glmU//rplL//aroE//zntR//fsr//lpxD//nrfD//murG//dicC//tatD//fucP//galM//uxaC//priA//dsdA//aldA//purF//galT//csgF//tauA//frdA//ssuC//rlmN//alsC//zapB//argS//fucP//leuE//phr//acrZ//yhjG//mlc//cedA//trmA//yfcF//insI-1//waaO//aroP//tyrR//folM//tufB//ybeF//casE//rnd//lysP//lolD//oxc//pspA//ybeY//
GO_0006813_8	nmpC//dnaN//purU//mrr//matP//ridA//ybjX//phnM//feaR//mog//feoC//ygdG//shoB//yidA//ibsC//sbcD//tolR//
GO_0006814_8	yciK//bioP//prpR//fdhD//fhlA//modA//hupB//argS//xisR//
GO_0006816_9	paaA//
GO_0006817_8	yhjA//ydeE//feoC//nagA//znuA//rlmI//yceO//fdhD//ydcZ//
GO_0006820_6	hcaF//pspA//thiD//rplR//yehZ//clpX//yhcD//stpA//rseP//glnL//paaF//potA//yghB//yceD//ynjA//lplA//guaD//ssuA//hrsA//yihO//yhjX//dfp//hscA//ybjL//metN//mog//maeA//rzoD//nrfB//ygeW//frlB//ompF//dsdA//yqhC//nupX//tolC//fimA//nudB//mreB//umuC//ygcW//dsbA//rcnA//ttdT//pstA//plsX//menC//nanA//ccmC//tgt//zapE//dacA//tyrR//yraN//mdtI//nrdF//bcr//nadD//casC//thrL//yiiE//chbA//phoB//rlmG//ybjG//xylE//yidR//fdnG//mhpD//clpA//bioP//hokB//wzc//cbrC//tolQ//dapA//wcaB//yfbV//ptsN//yagU//elaA//yjfP//hsdM//ddpA//yidQ//fadA//yihT//cusS//nrdG//recG//iscR//yhjA//kdpF//dacB//dosP//dinJ//macB//glnS//glyS//yeeA//glpD//bdcA//recG//uxuR//lysC//rfaQ//ydjH//cspD//rpsQ//asd//grxD//carA//rhsD//bssR//yhdJ//ydfH//smrA//insA-1//yieL//flgH//yfaL//yajR//cobC//rpiA//ybhI//ybiS//argT//ulaA//ygiV//aqpZ//rrrQ//aas//flgF//spoT//iaaA//sseA//eamB//nrfF//rpmJ//hslU//cydD//yjcO//yjcO//mdtF//yjbH//mprA//lptF//yghW//pheM//tyrB//rplS//setB//mepM//rpsG//ibsD//tyrB//malK//fliK//basS//ypdI//potF//lacI//yihR//cpsB//pinE//cecR//rpmF//trmL//cbtA//yciT//lolD//plsX//waaL//yrdA//rraA//glsA//ybcC//
GO_0006821_8	dppF//yaaY//pheS//
GO_0006824_8	mrcB//rnb//ybiI//opgD//
GO_0006825_9	sxy//hcaT//dam//ais//yohC//yqjH//rnt//
GO_0006826_9	glpR//yebG//opgE//araG//yjtD//tatE//rimL//yjiR//bcsA//ydbD//hflX//pnp//gcl//tmcA//rfbC//queC//ldcC//
GO_0006828_9	amiA//phnO//bglH//
GO_0006829_9	torC//citT//uspG//iclR//rcdA//holC//ybbY//gcvR//cydB//
GO_0006833_6	yihT//
GO_0006835_8	katG//insA-2//bamA//apt//pphA//cspC//napA//chpS//fbaA//preT//puuB//panE//yohC//rssA//
GO_0006836_5	envC//mak//yfeX//rplN//rdgC//gltB//fre//puuB//yceD//yqjI//
GO_0006846_7	ulaC//osmC//
GO_0006847_8	ralR//
GO_0006855_6	tatE//glgS//ybhR//tatD//nlpA//ydcI//argI//sdhC//dsbA//yeeO//yneL//opgG//gldA//fiu//dkgB//mdtB//yhdJ//ygfA//agaW//paaG//gltX//ycgR//znuB//yciK//qseC//yahD//rtcB//sspB//rplX//ybaK//yidE//folM//ftsL//yibA//ptsP//rng//lhr//pdeD//gloC//aroP//yedF//sdiA//thiL//ispG//glvB//fau//nac//hofN//epmB//rclA//yqhC//ymgC//ytfE//mazG//dtd//aroH//mcrA//pgaA//
GO_0006857_7	yhiM//garL//hyaB//paaG//wzyE//yedX//araE//lolC//tusE//fucA//gabT//ybcL//deoD//gspE//fimA//ibsE//parE//zipA//map//pdeD//yhjG//lacI//rcsA//bglH//pckA//gsiC//yjhI//
GO_0006862_7	ydaN//
GO_0006863_7	ydiQ//ymgC//ilvM//bioC//bcsA//xerC//lgoD//tonB//
GO_0006865_6	murB//yihO//lpp//cysH//ycjQ//xerC//feaR//argK//uspB//flgB//metL//hisQ//fadI//argI//mdh//aceF//yihI//fmt//ydeE//ppiC//glcF//elfD//tus//grcA//ttdB//treR//yfcV//flgH//ivbL//agaW//amiB//tldD//ampD//rpsO//puuE//aspS//betA//panF//mdtA//proP//glpK//rmf//ybhA//nagE//tisB//ybiT//yieK//cysS//surA//ggt//rcsB//ratA//yiaB//rrrQ//proB//dusC//cmk//ybaM//tcyP//recE//flhE//ycjR//ortT//yciT//eco//pgaC//trmI//queF//ptsI//dtpA//gcvH//rutG//ybhS//
GO_0006868_7	hiuH//glnB//tcdA//
GO_0006869_6	fecA//ydcZ//kbp//recE//ygiV//gatC//ompN//serC//ftsB//coaD//hdhA//glnA//nhaB//def//eptB//yedA//gapA//wrbA//ibsB//yafE//napD//cyoE//wrbA//
GO_0006873_5	nfo//ybaT//ynhF//yijO//ygeV//yiaF//yegT//rpoH//paoC//uxuA//ybiX//gcl//ybiI//ampH//rffG//ymfA//yagI//lolE//yfcG//avtA//ygeW//malX//msrB//wzyE//aas//agaB//grpE//viaA//cydB//mrr//
GO_0006874_8	atpC//
GO_0006875_7	fepC//fhuB//uhpT//yfdO//nrdD//ftsZ//recE//iscR//dcuR//gltP//allD//flgE//yhgH//entB//rimK//hisC//katG//ampH//frdC//livF//accB//
GO_0006876_8	rbsA//
GO_0006878_9	ycfJ//yhbY//dkgB//ykfM//exbB//
GO_0006879_9	betI//rnb//hisS//flgG//yiaJ//yhfK//pal//sbmC//shiA//allR//minD//
GO_0006880_4	uxaB//thyA//yjiY//
GO_0006882_8	lptB//
GO_0006883_8	pdeL//nadC//valS//
GO_0006884_4	rppH//sapF//fadM//zraR//proP//
GO_0006885_9	patA//yihV//phoU//priA//gatZ//envR//hisQ//insI-2//nanE//fhuD//envY//
GO_0006886_5	arnF//chbF//betA//bamA//rof//dps//paaE//cysZ//yhjV//rsmB//pspD//
GO_0006928_3	yjjI//tyrS//fadR//thiG//purN//pdxA//hscB//zwf//ybbN//nrdG//lsrD//asnB//guaB//gadA//moaA//rpoD//sucA//ygiW//greB//rfaG//yedL//rep//chpS//cysU//asnA//moeA//treF//tsaC//pepT//rhaA//waaG//malY//cptB//mraZ//ppiD//fdoI//sgbE//rpsN//gsiC//rcnB//rlmL//pntB//ybiO//murC//
GO_0006935_4	insA-1//ptrA//yaaA//carA//ybiA//malI//hybO//plaP//hxpA//mscK//ybbY//trpS//ascG//idi//dppC//cmoA//
GO_0006950_3	flhC//cheR//mdh//rplY//hemA//hexR//ybeY//rffC//lasT//dinD//rlmE//yfbR//glrR//ssuC//ilvA//mpaA//nanC//rseP//rpoH//rlmB//sgcR//yobA//dbpA//dnaT//argE//ycbB//hisQ//dtd//casC//dgcM//rng//nagE//ydiK//garD//hslO//rlmM//tpiA//malE//arcB//gor//fdhF//lysO//hypE//bioD2//dhaK//yjbE//ratA//ptsH//fkpA//rpsK//pckA//pgaC//mepH//ihfB//xthA//yojI//araB//ybgP//emrB//cbpM//potH//alpA//ybfA//tktB//ompL//rutD//wzzE//abpB//syd//ygaV//greB//glpK//lysS//arnB//garP//yciA//lyxK//tdcR//yciE//dgoD//gpr//tynA//pphA//ftsP//dhaR//pyrF//hslU//dacA//ralR//aaeA//nirD//srkA//panF//dnaT//ydcT//waaY//frlA//exuT//deoD//paaX//hybC//sapA//pinE//cbrA//mscL//crcB//ydiK//ymfK//rcsD//glgC//appB//thiE//hybB//ettA//yfdG//ulaF//prkB//dnaA//nadC//ppiA//guaA//thiM//caiT//sugE//soxR//hslV//murE//yahI//rpe//chaA//bipA//glvC//srkA//yoaA//cspB//nadA//fecC//serC//tonB//csgB//yhcD//yedP//tufB//cysW//treA//guaD//rlmD//emrY//cyoB//bioC//yihV//fmt//rimI//ftsY//ydcP//pgpB//prpC//yiaF//mug//yjiA//grpE//csgB//yjhH//ydfD//ymdB//rutD//queF//mnmA//ftsN//udk//murE//xerD//ybbY//hyaA//galE//panB//mltC//rof//prpR//carA//parE//sugE//nadD//cas2//murJ//zur//bamB//ralR//trmA//asnB//metE//ygjR//narZ//dtpB//rplP//dnaB//ydfK//yccA//rcsF//atpE//galU//dut//tmcA//ygfI//epmB//ubiC//pheA//cadC//kdsC//rbsK//yciA//nrdE//mtfA//yfcG//hinT//hycH//atpG//zapD//dosP//holC//ribA//flgI//yqhC//proV//sdhD//bluR//etp//dcuD//cysG//sapF//yggF//ompG//phnO//sbcB//mazG//spy//macA//pstB//ydjK//mrcB//mrr//yjjQ//tnaA//rplR//ompF//trpR//cedA//araG//glyS//rarA//tolC//aaeB//narU//potG//asnS//moaA//hinT//cpdA//fadA//btuC//copA//agaR//opgG//rhaB//insI-1//casC//ubiA//yadN//sapA//nuoN//alsB//gntT//ushA//iaaA//gudD//rtcB//essD//hda//fabR//yadG//glpR//ribC//ybhS//trpA//bsmA//uspB//casB//fimA//melB//cydA//uidA//gcd//aroK//rpmJ//ppc//fabB//adhP//appY//ftp//cysB//gspF//tufA//dam//treB//panE//flhA//rof//hemB//nrdG//waaS//dppB//yegD//asnC//ebgA//yjcE//crfC//leuB//rpiB//mnmE//folE//kdpD//chpB//kdsA//rne//frwD//pykA//ybdH//paaX//rpnD//srlA//dkgA//dacC//erpA//amiB//zapB//pyrL//yegT//acpS//gltD//guaA//pdxK//fadK//fliA//ldcC//waaJ//mscL//secA//gntR//frlB//cpxP//paaA//ybdH//argG//agaW//ymgA//emrD//ansA//yqiG//ppk//yfbR//yiaF//yphB//gldA//glcA//rimL//agaW//cheR//atpA//entC//elyC//cpxR//rpnC//cutA//ydjJ//thrA//ydiK//ravA//gpsA//yabI//rffT//dnaJ//yihS//cdaR//mqsA//cadA//uvrA//ydaN//zitB//evgS//pnp//tatA//ybiA//atpH//yjhP//seqA//mdtD//sfsA//mrdB//agaD//mltC//fadH//ssuE//sapA//speF//clcB//hicB//adiY//abgR//sbp//cspD//bisC//flgE//codA//rpsK//azoR//cytR//cpsB//yehX//tdcD//rsmC//yqiH//queC//thrB//fliT//rhlB//mglC//ltaE//aroG//pdxA//wzc//rfaB//clpA//argR//tamB//kilR//sfmF//mdlA//ibsC//ttdT//ftsH//yeaV//aroE//dgoD//xylG//parE//adhE//slt//hcaE//def//pykA//yajD//mdtN//hcaB//sufC//tauD//fic//sbcB//thiQ//alsK//djlC//gudP//yfcS//phr//oppC//livK//cysN//yhiM//glnH//curA//puuP//ydjE//yjjB//tusC//pspF//rhoL//ruvB//ibsD//panD//thrA//dgcZ//fpr//obgE//
GO_0006952_4	yoeE//dut//rlmG//yjtD//tnaC//dgcT//nrfC//emrD//zapD//carB//hha//kilR//
GO_0006970_4	fliK//glcC//yggT//pdhR//atpD//cho//mreD//ybiS//pal//yihQ//ulaG//qorA//rlmA//tnaC//betI//xylE//flgC//rffT//cho//allD//gstB//potE//gadC//ypdF//xapA//yddM//yddG//tbpA//gcvA//arsC//malG//nrdA//mhpA//puuR//ruvC//yhjR//zapC//nrfF//
GO_0006972_5	sthA//wza//galF//pfkA//yggW//mdtF//torI//dusB//mraY//ghrB//waaO//mnmC//trg//ybhG//
GO_0006974_5	bglX//dkgA//rutR//sanA//ygaH//melR//sucB//wzb//ccmH//cyoE//yiaO//ygbN//comR//ybcM//lolA//ftsW//ybdZ//cbrC//gshB//waaL//rimO//cnu//yqaE//purC//sfmD//murC//paaZ//ackA//elbB//narI//glnH//yidZ//napF//pdxA//holE//yhjA//rof//cas2//xisE//galK//fadE//kdpB//rluA//asr//gph//pdxH//ybhS//yieH//ugpC//ilvN//tqsA//metQ//ymjB//folM//nrfB//nanA//livJ//yoeB//yhdH//pepQ//yohC//prlF//murJ//yeeJ//yhdX//ruvB//bioF//nuoE//intQ//ghxQ//kdpB//argH//gyrB//tcyL//sugE//fimA//ung//setC//waaH//mppA//ldtC//glvC//yhgH//srmB//alkA//fabD//mdtE//hofM//flgG//glnP//panC//rbfA//ubiJ//polA//pheA//mtnN//lolB//rplE//ugd//sdhB//torI//htpG//dpiA//dusC//yciG//purC//rzpR//wza//ynfH//xseA//cho//dcyD//kup//yjiY//dgcZ//trmI//mnaT//rlmL//deaD//insE-1//cho//ftnA//yieH//cueR//kdpC//glpG//yodD//parC//yajR//idnO//tonB//csgE//gppA//glpX//fabI//dppF//uxuR//yahF//hisA//mhpA//ibsA//aroL//aroE//mngR//fadH//epmB//ebgA//folM//mqsA//mnaT//wecC//dgcM//mcbA//atpH//tolC//yhgF//yecS//ibpB//nrdD//yhbS//fhlA//lpxB//lpxD//yfbV//yojI//yhdX//ydiB//pspC//phoU//serS//rpiA//yihO//treA//sfsA//yihV//ppsA//ykgA//pspC//sodC//tomB//fruK//gltX//truD//ilvI//nrdA//bioD//hicB//dmlR//dtpC//cycA//mhpB//yojI//glpD//mtfA//aroD//dtpB//ssb//fau//rplA//radD//hyfR//yciE//yjhG//lolA//flgM//yhdX//yadC//tar//gltS//fixB//tusE//tdk//ybiJ//rnc//rarD//ftsX//rpiA//phnG//ompA//yfcS//tqsA//gpsA//potA//dgoA//ubiJ//murA//amiA//ychF//yghW//murE//ykgM//mglA//pstA//dnaJ//orn//mepA//ssb//phoP//gsiD//mcrA//pdxH//aldA//recA//fucI//dsbB//insB-4//
GO_0006979_4	mlaB//yjcE//rimO//iaaA//ugpE//glpD//dapD//accA//rpsD//gph//flgG//oppF//lgoD//narH//ruvA//qseB//metL//lldR//citE//entF//thiG//rfbC//yfgO//mprA//livM//rihC//thiL//livH//lptE//glk//cpoB//hybD//cynX//tus//bepA//ppiC//gspF//arsB//hcp//pphB//panF//fliD//murA//cusA//trxC//feaB//gmk//yghB//folA//nirD//hyaB//leuC//groS//araA//ftsA//puuD//ydcO//napF//cusC//ybjX//arnB//ftsL//ccmC//fecD//frwD//waaU//bioD1//sufE//hflK//yfbV//dam//ycjQ//cydD//ibsC//recR//flhC//dusB//yhhY//yfaL//ybiH//glcB//ybcM//ftsK//pyrB//ygiB//hokE//
GO_0006986_5	ascG//xylR//ybjL//fimC//ydiQ//norR//
GO_0006995_6	kdsD//gudX//
GO_0006996_4	pspC//yadM//trpE//phr//dcuD//dctA//pth//narH//hprS//ftnA//dcuA//yraK//tolB//rffG//fliK//mcrA//aldB//secB//tdk//bisC//bioF//crfC//ygbN//relB//hyfC//talB//wcaB//rhaA//hiuH//yoeB//ykgO//rluA//acpH//vsr//caiE//asmA//yahI//osmE//rlmI//
GO_0007010_5	nuoH//
GO_0007059_3	yraN//tolR//yjcO//fumB//leuS//alsK//phoR//mcrA//gspF//ftsI//
GO_0007062_4	hofQ//thiM//iclR//narZ//
GO_0007154_3	gsiC//mobA//add//yraK//cdsA//treA//osmE//tar//srlB//feaR//xseB//msbA//mobA//mdoG//trmH//yadV//flgG//yehW//tnaB//gadA//glpD//ttcA//yojI//eno//wecC//hisQ//pbpG//ghoS//sufA//cytR//rbsA//msrA//hrpA//cysA//sucA//mhpD//paaB//tsx//paaZ//panE//yggX//ybdR//yebZ//minC//ffh//xanQ//edd//yggP//rpnD//ycbB//mltF//nanR//ftsB//eutD//feoC//
GO_0007155_3	xylB//yqeG//metI//ybiT//cysU//ynhF//yaiW//ygeA//yigL//pinE//rhsD//ynfH//yqhD//mtgA//yqjH//yggX//potB//treR//kdpD//yegV//yidC//potH//ydfK//dcuC//frvB//wzzE//ybeF//waaJ//glnB//dnaB//codA//hprS//hofQ//yobA//rnr//
GO_0007163_3	tyrR//
GO_0007165_3	mmuM//pfkA//yjjG//rbsR//csgG//gyrB//rpmC//qseB//yddA//bsmA//acpP//dedD//prc//rffG//frlA//ypjD//yjfF//setA//malY//ynaE//pflC//mrp//insI-2//torD//rseB//gatD//cueR//hda//relB//mocA//cysZ//oxc//rzpD//yfaL//rfbB//galS//crp//mgrB//mlaE//dgkA//ybiY//lapB//fhuF//fabB//afuB//mukB//menB//dicB//ybaO//sfmA//proA//waaA//dsbA//yqiI//raiA//rimP//chbR//ynfH//rbn//folP//
GO_0007166_4	rpoE//atoS//pyrG//hinT//
GO_0007215_5	yjhP//cysQ//panE//clsC//
GO_0007231_4	relE//
GO_0007234_5	yhhZ//
GO_0007267_3	yrdA//rnt//
GO_0007346_6	pitB//cytR//diaA//
GO_0007584_4	cheR//rpmF//dgcZ//osmF//
GO_0008033_9	agaI//fcl//setA//ybjX//creC//mnmC//rpoD//nuoE//satP//rmf//yacG//chbC//artP//glcB//mdlB//yjhC//hdeA//lpxL//livF//phoP//ascF//mukB//ralR//epd//edd//hofC//yajD//mreC//ompC//preA//trxC//livG//topB//gcvP//eptA//cra//yohC//cspA//yciT//glmS//glmM//zwf//hypT//lsrG//betI//dacC//rfaD//smpB//gudP//purF//gutQ//mcrB//envZ//yhdZ//nfo//hofP//
GO_0008104_4	arsC//dcd//flgI//ynfF//orn//lpxL//potE//argR//waaF//ispH//ampH//dinB//ynaI//xerC//pinQ//yihS//recE//rnpA//ftsZ//waaQ//yhhZ//sbp//citE//ydcR//dxr//ydhK//xdhB//chbF//artQ//adiY//ispF//mzrA//moeA//nuoB//pabB//yggE//kdgK//ycjQ//sufB//metE//ldtC//putP//flgD//ybgP//yaaY//alaA//tcyJ//phnI//argT//
GO_0008156_8	flgH//cheW//xylH//cysI//eno//waaZ//
GO_0008202_5	hda//
GO_0008206_5	tcdA//
GO_0008213_7	cbeA//pepB//hflD//crfC//hcaT//argI//yahI//insH-5//
GO_0008216_5	ybbW//flgD//fkpA//
GO_0008219_3	hprS//agaS//gcl//cmtA//yhbY//rpnA//xapA//glgP//dosP//gshA//mepA//ybbN//ggt//caiT//helD//
GO_0008272_6	ulaB//tsr//mog//purD//yggF//adeD//yadV//
GO_0008295_6	yqjA//yfcV//tyrR//
GO_0008299_5	hofQ//sdhC//mdaB//rlmJ//insI-1//zraR//
GO_0008360_4	yqaE//pepD//cmtB//ghxQ//dcuR//cysU//mioC//msrB//plsC//dgkA//iaaA//yihP//cvpA//ybcC//sucA//torZ//
GO_0008361_5	tatB//paaJ//rutB//rraB//ulaG//
GO_0008380_8	dppC//
GO_0008610_5	crl//apaH//fcl//gloA//yehZ//ispU//kbaY//ilvL//nagZ//ascF//nuoL//tusE//hflD//dcm//rapA//dpiA//sgcX//waaB//gyrA//glpD//yjeI//hyfF//seqA//yohD//emrD//gatB//symE//phoA//recG//alpA//ybcF//hisC//ynhG//tdh//argK//cyoB//yjeH//lgoT//ybbW//rbsK//nanT//mdtA//citE//mgtA//cobC//ydjE//rplO//tehA//fepB//mmuM//murI//ygbL//yeiL//nhaR//surA//lexA//pbpG//ydiO//norW//polA//nusG//hofO//ascB//lolC//nuoL//bolA//ygjR//
GO_0008614_5	ybfE//chpS//yhcN//nemR//dppC//ldhA//cydB//
GO_0008615_6	ttdB//nfo//yoeE//rne//murA//sbcC//ypdF//
GO_0008616_8	rhaT//obgE//acnA//menA//fecA//rhaB//yfdG//
GO_0008617_9	fabR//
GO_0008643_6	thiH//yjiX//crr//ycgR//wza//abgT//barA//glpX//ansA//rapA//ybcJ//ebgA//lpxL//abgB//tauB//nrdR//rpe//hyfA//selU//arcC//ycaN//glvB//kbaZ//fliM//opgE//pepT//nlpD//ydjE//ygiW//lpxK//rcnR//ybgI//ydhC//lsrG//exoX//sthA//dppB//ygjR//ompL//uspC//ais//moaA//tabA//radD//gpmM//ycfS//panE//puuA//yeeY//psuT//era//plsB//dkgB//sufD//yebZ//rnhA//nrfF//lipB//matP//acrA//yhhY//thrA//alkA//yibT//ynfF//selD//yigL//exbB//rpsM//envR//narX//moaC//proX//gsiA//yfeO//atpC//ydiK//menE//nrdR//ubiX//yfdR//flgA//yjtD//speE//yeaG//ycfL//purF//entD//mutT//ybiT//dppB//rclB//cusR//galU//yibF//dnaK//tar//menB//astC//mepH//yqcG//nlpA//wzzB//lexA//mobA//yhbY//yajD//nrdE//tdcR//dppA//apaH//gph//fdoI//secF//
GO_0008645_8	rbbA//garR//purA//tauA//recA//mscS//rseP//rnlB//ygcR//apt//proX//ubiI//recF//trmA//erfK//proC//csdA//fhuF//ugd//insK//srlA//acnB//holE//hyfF//
GO_0008652_5	panF//yaaY//frlR//cadA//intQ//trmL//lysS//nrdA//ldrA//zupT//feoA//yciH//epmC//rplN//hisQ//yoeB//gcvR//hscC//sthA//rplF//mtlD//cmoM//ycaN//ygjH//helD//acrA//uhpB//sbcC//secD//flgJ//yddM//fkpB//ldrA//decR//ygcW//ispH//nac//pgpB//epmA//cysW//pepT//aldB//rhsD//hflK//alsA//degP//fumA//fkpA//yaaJ//yedP//prpD//mocA//yqiH//argF//seqA//atpA//ddlB//csgD//casB//speE//rsmC//yciK//adiC//yneJ//ushA//ydhJ//setC//menF//dgcM//appB//macB//oppF//adeQ//dam//yjbH//yqhC//dacB//bglB//hisG//fadK//rplT//paaX//frmR//sppA//gmhB//pal//yjiA//nfo//xseB//aslB//rseC//gadC//atpC//trmL//nadA//xseB//tus//yebG//yhiM//cbrC//ybcQ//ulaD//fdoG//cas2//purC//gcl//ydjK//cusS//waaS//opgD//yafQ//lrhA//entA//nudG//
GO_0008653_5	rplT//ycfH//ssuA//tauA//yhgF//rnpA//pdeF//eutB//truB//ynbD//sbcD//cysK//rfaQ//
GO_0008654_5	yfcA//rpsK//cheR//pliG//xylF//yciA//entH//rtcR//dnaT//xthA//yfcU//ybbN//yceO//proS//btuD//xthA//trkA//rhsD//rimL//mscK//argC//tnaA//hcaD//citG//ycjD//hokB//rpsQ//yddG//allS//etp//fdoI//yiaJ//wzyE//rplI//scpB//
GO_0008655_5	yoeE//ldrA//ssuC//sulA//mngB//rseB//yejA//
GO_0009050_6	fkpA//nimR//
GO_0009052_6	fruA//cysA//galP//uspE//gapA//elfG//hemD//
