# From /Users/Daniela/Documents/CCG/datasets/GOs/scripts/get_uniq_lowest_levels_v2.pl on Tue Oct  2 15:34:09 2018
# Input = /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/v2/all_go_levels_extended.txt
GO ID	GO level	Total Genes	Genes in GO	GO name
GO:0009057	5	54	amiD,ampD,ampH,bglX,cas3,clpP,clpX,csrD,dacB,deaD,endA,ftsH,glgP,glgX,hicA,hofM,hofN,hofO,hofP,hofQ,malP,malS,malZ,mazF,mcrB,mltA,mltB,mltC,mltF,mpaA,orn,pnp,prc,relE,rhlB,rna,rnb,rne,rnhA,rnhB,rnlA,rnr,rph,rppH,rraA,rraB,sbcB,slt,symE,tatD,yafQ,ycfH,yhgH,yoeB,	macromolecule catabolic process
GO:0043412	5	232	aceK,acpS,acpT,acs,ada,alaS,alkA,alkB,apaH,arcB,argK,atoS,baeS,barA,basS,birA,ccmC,ccmE,ccmF,cheA,cheR,cheY,cheZ,citC,citX,cmoA,cmoB,cmoM,cobB,cpxA,creC,cusC,cusS,cyaY,dam,dcm,dcuS,def,dgcE,dgcM,dhaM,dosP,dpiB,dusC,elaA,elaD,envZ,epmA,epmB,epmC,era,etk,etp,evgS,fepE,fklB,fkpA,fkpB,fmt,ftp,glmM,glnD,glnL,glrK,gluQ,hchA,hemC,hflX,hipA,hprS,hrpA,hsdM,hyaD,hybD,hycI,hypD,hypE,hypF,iap,iscS,kdpD,lasT,lipA,lipB,lplA,manA,map,metE,metH,miaA,miaB,mnaT,mngB,mnmA,mnmC,mnmE,mnmG,moeA,narQ,narX,npr,nrdI,nrfE,nrfF,nrfG,ogt,patZ,pcm,pcnB,pflA,pgaB,phoQ,phoR,phr,pphA,pphB,ppiC,ppiD,ppk,ppsR,prmA,prmB,prmC,psuG,ptsH,ptsP,qseC,queA,rcsC,rcsD,rimI,rimJ,rimK,rimL,rimO,rlmA,rlmB,rlmC,rlmD,rlmE,rlmF,rlmG,rlmH,rlmI,rlmJ,rlmL,rlmM,rlmN,rluA,rluB,rluC,rluD,rluE,rluF,roxA,rsmA,rsmB,rsmC,rsmD,rsmE,rsmF,rsmG,rsmH,rsmI,rsmJ,rstB,rsuA,sdhE,selD,selU,sixA,slyD,smpB,srkA,sucD,sufE,sufS,surA,tadA,tag,tcdA,tgt,thiI,tig,tilS,tmcA,torS,trmA,trmB,trmD,trmH,trmI,trmJ,trmL,trmO,truA,truB,truC,truD,tsaB,tsaC,tsaD,tsaE,ttcA,tusA,tusB,tusC,tusD,tusE,uhpB,uspG,wzb,wzc,wzzB,wzzE,yajL,ycaO,yeaG,yedL,yehU,yfiC,yfiF,yhbO,yhbS,yhdJ,yhhY,yiiD,yjtD,ynbD,ypdA,ytfE,zraS,	macromolecule modification
GO:0043413	4	1	manA,	macromolecule glycosylation
GO:0098732	6	4	acs,cobB,dhaM,pgaB,	macromolecule deacylation
GO:1901360	4	765	aaeR,abgA,abgB,abgR,acrR,ada,add,ade,adeD,adk,agaI,alaS,alkA,alkB,allB,allC,allD,apaH,apt,argR,argS,arnA,aroA,aroB,aroC,aroD,aroF,aroG,aroH,aroK,aroL,arsR,ascG,asnS,aspC,aspS,atpA,atpB,atpC,atpE,baeR,bioA,bioB,bioC,bioD,bioD1,bioD2,bioF,bioH,birA,bolA,btuR,caiF,carA,carB,cas1,cas2,cas3,casD,casE,cca,cdd,cecR,cho,chpB,cmk,cmoA,cmoB,cmoM,cnu,coaA,coaD,coaE,cobC,cobS,cobT,cobU,codA,codB,cof,cpdB,cpsB,cpsG,cra,crp,cspA,csrD,cueR,cyaA,cyoE,cysB,cysG,cysQ,cysS,dam,dbpA,dcd,dcm,dcuC,dcuR,deaD,decR,deoB,deoC,deoD,dfp,dgt,dhaR,dicA,dicC,dinB,dinG,dinJ,dmlR,dnaA,dnaB,dnaC,dnaE,dnaG,dnaJ,dnaN,dnaQ,dnaT,dnaX,dsdC,dtd,dusC,dut,dxs,endA,eno,entA,entB,entC,entD,entE,entF,entH,epd,epmA,eutR,exoX,fabG,fabI,fadA,fau,fbaA,fcl,fdrA,feaB,feoC,fes,fhlA,fimB,fimE,flhC,flhD,fmt,folA,folC,folE,folM,folP,folX,frlB,frlR,frvR,gadW,gadX,galR,galU,gapA,gcvA,gcvR,ghoS,glk,glmM,glmS,glmU,glnS,glrR,gltX,gluQ,glxR,glyS,gmd,gmk,gnd,gph,gpmA,gpp,gppA,gpt,greA,greB,guaA,guaB,guaC,guaD,gyrA,gyrB,hcaB,hcaC,hcaD,hcaE,hcaF,hda,hdhA,helD,hemA,hemB,hemC,hemD,hemE,hemF,hemG,hemH,hemL,hemN,hexR,hicA,hicB,higB,hipB,hisA,hisB,hisC,hisD,hisF,hisG,hisH,hisI,hisS,hiuH,hofM,hofN,hofO,hofP,hofQ,holA,holB,holC,holD,holE,hprR,hpt,hrpA,hsdM,hsdR,hupA,hupB,hycB,hyfA,hyfR,hypT,ihfA,ihfB,ileS,insA-1,insA-2,insB-2,insB-4,insE-1,insH-6,insI-1,intE,intQ,intS,intZ,iscS,lasT,ldhA,leuS,lexA,lhr,ligA,ligB,lipA,lipB,lrhA,lsrR,lysS,lysU,manA,mazF,mazG,mcrA,mcrB,mdh,menF,metE,metF,metG,metH,metK,mfd,mhpA,mhpB,mhpC,miaA,miaB,mioC,mlc,mnmA,mnmC,mnmE,mnmG,moaA,moaB,moaC,moaD,moaE,mobA,mocA,moeA,moeB,mog,mprA,mqsR,mrr,mug,murR,mutH,mutL,mutM,mutS,mutT,mutY,nadA,nadB,nadC,nadD,nadE,nadK,nagB,nagD,nanR,ndk,nei,nemA,nfi,nfo,nfsB,nrdA,nrdB,nrdD,nrdE,nrdF,nrdG,nth,nudB,nudC,nudG,nusG,ogt,orn,paaA,paaB,paaC,paaD,paaE,paaF,paaG,paaH,paaJ,paaK,paaX,paaZ,pabA,pabB,parC,parE,pcnB,pdeK,pdxA,pdxB,pdxH,pdxJ,pdxK,pdxY,pepA,perR,pfkA,pfkB,pgi,pgk,pgl,pgrR,pheA,pheS,pheT,phnN,pinE,pinQ,pinR,pncB,pnp,pntA,pntB,polA,polB,pphB,ppk,preA,preT,priA,priB,priC,prkB,prlC,proA,proB,proC,proS,prs,psuG,purA,purC,purD,purF,purL,purN,purU,putA,puuR,pykA,pykF,pyrB,pyrC,pyrD,pyrE,pyrF,pyrG,pyrH,pyrL,qseB,queA,queC,queD,queE,queF,queG,radA,radD,ralR,rapZ,rarA,rayT,rbfA,rbn,rcdA,rclR,rcsA,rcsB,rdgB,recA,recB,recC,recD,recE,recF,recG,recJ,recN,recQ,recR,recT,relA,relB,relE,rep,rfaH,rfbB,rhaR,rhlB,rhlE,rho,ribA,ribB,ribC,ribD,ribE,ribF,rihA,rihB,rihC,rimM,rlmA,rlmB,rlmC,rlmD,rlmE,rlmF,rlmG,rlmH,rlmI,rlmJ,rlmL,rlmM,rlmN,rluA,rluB,rluC,rluD,rluE,rluF,rmuC,rna,rnb,rnc,rnd,rne,rng,rnhA,rnhB,rnlA,rnpA,rnr,rnt,rph,rpiR,rplA,rpnA,rpnB,rpnC,rpnD,rpoA,rpoH,rpoS,rppH,rpsI,rpsK,rpsL,rpsO,rpsP,rraA,rraB,rsmA,rsmB,rsmC,rsmD,rsmE,rsmF,rsmG,rsmH,rsmI,rsmJ,rsuA,rtcB,rusA,rutA,rutB,rutC,rutD,rutE,rutF,rutG,ruvA,ruvB,ruvC,sbcB,sbcC,sbcD,selA,selD,selU,serC,serS,sfsB,sgcR,smrA,spoT,srmB,ssb,stpA,sucD,surE,symE,tadA,tag,tatD,tcdA,tdk,tgt,thiC,thiD,thiE,thiG,thiH,thiI,thiL,thiM,thrS,thyA,tilS,tktA,tktB,tmcA,tmk,tnaA,topA,topB,torI,tpiA,trmA,trmB,trmD,trmH,trmI,trmJ,trmL,trmO,trpA,trpB,trpC,trpD,trpE,trpGD,trpS,truA,truB,truC,truD,tsaB,tsaC,tsaD,tsaE,ttcA,ttdR,tus,tusA,tusB,tusC,tusD,tusE,tyrA,tyrB,tyrS,udk,udp,uidR,ulaR,umpG,umpH,umuC,umuD,ung,upp,ushA,uspG,uvrA,uvrB,uvrC,uvrD,uxuR,valS,vsr,xapA,xapB,xdhB,xerC,xerD,xisE,xseA,xseB,xthA,yafC,yafO,yafQ,yagI,yahB,yahF,yaiV,yaiW,yajD,yajO,ybaQ,ybcC,ybcF,ybdZ,ybeF,ybeY,ybhD,ybhP,ybjD,ybjI,ycaN,ycdX,ycfH,yciT,yciV,ycjD,ycjW,ydaC,ydaV,ydcI,ydcM,ydcR,yddM,ydeO,ydfG,ydfH,ydiP,ydiZ,yebG,yebK,yedX,yeeY,yeiE,yeiL,yfaX,yfbR,yfcF,yfdG,yfeR,yfhH,yfiC,yfiE,yfiF,ygbI,ygdG,ygeV,ygfA,ygfI,yggW,yghO,ygjH,yhaJ,yhaV,yhbQ,yhbY,yhdJ,yhgH,yhhZ,yhjB,yhjC,yiaU,yibF,yidL,yidP,yidZ,yieK,yigB,yihL,yihW,yijO,yjhI,yjiQ,yjiR,yjjG,yjjV,yjjX,yjtD,ykgA,ymfK,yneJ,ynfK,yoaA,yoeB,yqgF,yqhC,yraN,zraR,zur,zwf,	organic cyclic compound metabolic process
GO:1901361	5	126	abgA,abgB,add,ade,adeD,allB,allC,allD,cas3,cdd,codA,cpdB,cra,csrD,deaD,deoB,deoC,deoD,dgt,dut,endA,eno,fadA,fbaA,feaB,fes,gapA,glk,glxR,gpmA,hcaB,hcaC,hcaD,hcaE,hcaF,hexR,hicA,hofM,hofN,hofO,hofP,hofQ,hycB,hyfA,mazF,mazG,mcrB,mdh,mhpA,mhpB,mhpC,murR,nadC,nagD,nemA,nfsB,nudC,orn,paaA,paaB,paaC,paaD,paaE,paaF,paaG,paaH,paaJ,paaK,paaX,paaZ,pfkA,pfkB,pgi,pgk,pnp,preA,preT,putA,pykA,pykF,rdgB,relE,rhlB,rihA,rihB,rihC,rna,rnb,rne,rnhA,rnhB,rnlA,rnr,rph,rpiR,rppH,rraA,rraB,rutA,rutB,rutC,rutD,rutE,rutF,rutG,sbcB,surE,symE,tatD,tnaA,tpiA,udp,umpG,umpH,ushA,xapA,xdhB,yafQ,ybcF,ycfH,ydfG,yfcF,yfhH,yhgH,yibF,yoeB,	organic cyclic compound catabolic process
GO:1901575	4	403	abgA,abgB,acnB,acs,add,ade,adeD,adhP,adiA,adiY,agaI,agp,aldA,allB,allC,allD,alsE,alsK,amiD,ampD,ampH,ansA,ansB,appA,appY,araA,araB,araC,araD,arcC,ascB,asnB,astB,astC,atoB,bglX,cadA,caiB,caiD,cas3,cdd,cdh,chaC,chbF,chbG,chbR,clpP,clpX,codA,cpdB,cra,csrD,cynS,cynT,cynX,dacB,dadA,dcyD,deaD,decR,deoB,deoC,deoD,dgoA,dgoD,dgoK,dgt,dhaK,dhaL,dkgA,dkgB,dsdA,dut,ebgA,edd,endA,eno,envY,eutB,eutR,fadA,fadB,fadD,fadE,fadH,fadI,fadJ,fadM,fbaA,feaB,feaR,fes,fixA,fixB,fpr,frlA,frlC,frmA,fruK,ftsH,fucA,fucI,fucK,fucO,gabD,gabT,gadA,gadB,gadW,gadX,galE,galK,galM,galT,galU,gapA,garD,garK,garL,garR,gatD,gatY,gcd,gcl,gcvH,gcvP,gcvT,ggt,ghrB,glcB,glcD,glcE,glcF,gldA,glgP,glgX,glk,gloA,gloB,gloC,glpA,glpB,glpC,glpD,glpK,glsA,glsA1,glsA2,glsB,glxK,glxR,glyA,gnd,gntK,gpmA,grcA,gudD,hcaB,hcaC,hcaD,hcaE,hcaF,hchA,hdhA,hexR,hicA,hinT,hofM,hofN,hofO,hofP,hofQ,hybA,hycB,hyfA,idnD,idnK,idnO,kdgK,kduD,kduI,lacZ,ldcA,ldcC,lgoD,lgoR,lldD,lpd,lrp,ltaE,malP,malQ,malS,malZ,manA,mazF,mazG,mcrB,mdh,melA,melR,metC,mhpA,mhpB,mhpC,mltA,mltB,mltC,mltF,mpaA,mtlD,murQ,murR,nadC,nagA,nagB,nagD,nanA,nanE,nanK,nemA,nfsB,nimR,nudC,orn,oxc,paaA,paaB,paaC,paaD,paaE,paaF,paaG,paaH,paaJ,paaK,paaX,paaZ,patA,patD,pepA,pepB,pepD,pepN,pepQ,pfkA,pfkB,pflB,pgi,pgk,pgm,phnG,phnH,phnI,phnJ,phnK,phnL,phnM,phnP,pnp,poxB,ppx,prc,preA,preT,prpB,pta,putA,puuA,puuC,puuD,puuE,puuP,pykA,pykF,rbsD,rbsK,rclR,rdgB,relE,rhaA,rhaB,rhaD,rhaM,rhaR,rhaS,rhlB,rhmD,rihA,rihB,rihC,rna,rnb,rne,rnhA,rnhB,rnlA,rnr,rpe,rph,rpiB,rpiR,rppH,rraA,rraB,rssA,rutA,rutB,rutC,rutD,rutE,rutF,rutG,sad,sbcB,scpB,sdaA,sdaB,sgbE,sgbH,sgcE,slt,speA,speG,srlD,ssuD,ssuE,suhB,surE,symE,tatD,tdcB,tdcD,tdcE,tdcG,tdh,tesB,tnaA,tpiA,treA,treC,treF,tynA,udp,uidA,ulaD,ulaF,ulaG,umpG,umpH,ushA,uxaA,uxaB,uxaC,uxuA,uxuB,xapA,xdhB,xylA,xylB,yafQ,yagE,yagF,yahI,ybcF,ybcM,ycfH,yciK,ycjR,ydeO,ydfG,ydiP,ydiR,yeaE,yeiG,yfcF,yfhH,ygbL,ygeX,yhaM,yhaO,yhgH,yibF,yidR,yieK,yihQ,yihR,yihS,yihT,yihU,yihV,yijO,yjhG,yjhH,yjjU,ykgF,yneL,yoeB,ypdC,yphB,yqeA,yqeF,ytfP,	organic substance catabolic process
GO:1901440	4	1	ydcS,	poly(hydroxyalkanoate) metabolic process
GO:0042618	5	1	ydcS,	poly-hydroxybutyrate metabolic process
GO:0009056	3	416	abgA,abgB,acnB,acs,add,ade,adeD,adhP,adiA,adiY,aes,agaI,agp,aldA,allB,allC,allD,alsE,alsK,amiD,ampD,ampH,ansA,ansB,appA,appY,araA,araB,araC,araD,arcC,ascB,asnB,astB,astC,atoB,bglX,cadA,caiB,caiD,cas3,cdd,cdh,chaC,chbF,chbG,chbR,clpP,clpX,codA,cof,cpdB,cra,csrD,cynS,cynT,cynX,dacB,dadA,dcyD,deaD,decR,deoB,deoC,deoD,dgoA,dgoD,dgoK,dgt,dhaK,dhaL,dkgA,dkgB,dsdA,dut,ebgA,edd,endA,eno,envY,eutB,eutR,fadA,fadB,fadD,fadE,fadH,fadI,fadJ,fadM,fbaA,feaB,feaR,fes,fixA,fixB,fpr,frlA,frlC,frmA,fruK,ftsH,fucA,fucI,fucK,fucO,gabD,gabT,gadA,gadB,gadW,gadX,galE,galK,galM,galT,galU,gapA,garD,garK,garL,garR,gatD,gatY,gcd,gcl,gcvH,gcvP,gcvT,ggt,ghrB,glcB,glcD,glcE,glcF,gldA,glgP,glgX,glk,gloA,gloB,gloC,glpA,glpB,glpC,glpD,glpK,glsA,glsA1,glsA2,glsB,glxK,glxR,glyA,gnd,gntK,gpmA,grcA,gudD,gudX,hcaB,hcaC,hcaD,hcaE,hcaF,hchA,hcp,hdhA,hexR,hicA,hinT,hmp,hofM,hofN,hofO,hofP,hofQ,hybA,hycB,hyfA,idnD,idnK,idnO,katE,katG,kdgK,kduD,kduI,lacZ,ldcA,ldcC,lgoD,lgoR,lldD,lpd,lrp,ltaE,malP,malQ,malS,malZ,manA,mazF,mazG,mcrB,mdh,melA,melR,metC,mhpA,mhpB,mhpC,mhpD,mltA,mltB,mltC,mltF,mpaA,mtlD,murQ,murR,nadC,nagA,nagB,nagD,nanA,nanE,nanK,nemA,nfsB,nimR,norV,norW,nudC,orn,oxc,paaA,paaB,paaC,paaD,paaE,paaF,paaG,paaH,paaJ,paaK,paaX,paaZ,patA,patD,pepA,pepB,pepD,pepN,pepQ,pfkA,pfkB,pflB,pgi,pgk,pgm,phnG,phnH,phnI,phnJ,phnK,phnL,phnM,phnP,pnp,poxB,ppx,prc,preA,preT,prpB,pta,putA,puuA,puuC,puuD,puuE,puuP,pykA,pykF,rbsD,rbsK,rclR,rdgB,relE,rhaA,rhaB,rhaD,rhaM,rhaR,rhaS,rhlB,rhmD,rihA,rihB,rihC,rna,rnb,rne,rnhA,rnhB,rnlA,rnr,rpe,rph,rpiB,rpiR,rppH,rraA,rraB,rssA,rutA,rutB,rutC,rutD,rutE,rutF,rutG,sad,sbcB,scpB,sdaA,sdaB,sgbE,sgbH,sgcE,slt,speA,speG,srlD,ssuD,ssuE,suhB,surE,symE,tatD,tauD,tdcB,tdcD,tdcE,tdcG,tdh,tesB,tnaA,tpiA,treA,treC,treF,tynA,udp,uidA,ulaD,ulaF,ulaG,umpG,umpH,ushA,uxaA,uxaB,uxaC,uxuA,uxuB,xapA,xdhB,xylA,xylB,yafQ,yagE,yagF,yahI,ybcF,ybcM,ycbX,ycfH,yciK,ycjR,ydeO,ydfG,ydiP,ydiR,yeaE,yeiG,yfcF,yfhH,ygbL,ygeX,yhaM,yhaO,yhgH,yibF,yidR,yieK,yihQ,yihR,yihS,yihT,yihU,yihV,yiiM,yijO,yjhG,yjhH,yjjU,ykgF,yneL,yoeB,ypdC,yphB,yqeA,yqeF,ytfP,	catabolic process
GO:0090487	4	1	fes,	secondary metabolite catabolic process
GO:0070085	3	2	arnT,manA,	glycosylation
GO:0097502	4	1	arnT,	mannosylation
GO:0019748	3	29	cbrA,cbrC,cvpA,entA,entB,entC,entD,entE,entF,entH,fadA,fes,mhpB,paaA,paaB,paaC,paaD,paaE,paaF,paaG,paaH,paaJ,paaK,paaX,paaZ,ybdZ,ycbX,yihU,yiiM,	secondary metabolic process
GO:0009758	2	1	malX,	carbohydrate utilization
