#
#      RegulonDB is free for academic/noncommercial use 
# 
#      User is not entitled to change or erase data sets of the RegulonDB 
#      database or to eliminate copyright notices from RegulonDB. Furthermore, 
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly 
#      or as a whole into other databank systems, without prior written consent 
#      from CCG-UNAM. 
# 
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp 
# 
# Citation 
# 
#      Gama-Castro S. et al. (2016). "RegulonDB version 9.0: high-level integration of gene regulation, coexpression, motif clustering and beyond". 
#      Nucleic Acids Res. 2016 Jan 4;44(D1):D133-43. doi: 10.1093/nar/gkv1156. Epub 2015 Nov 2. 
# 
# 
# Contact 
# 
#      Person: RegulonDB Team 
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp 
#          (regulondb@ccg.unam.mx) 
# 
#

# Release: 9.1 Date: 04-07-2016
# ___________________________________________________________________________
#
# Columns:
#  (1) Transcription Factor (TF) name
#  (2) TUName (regulated)
#  (3) Regulatory effect of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the regulatory interaction
#
AccB	accBC[accBp]	-	[null]	Weak	
CRP	mpl[mplp1]	+	[AIBSCS]	Weak	
CRP	mtlADR[mtlAp]	+	[BPP, HIBSCS]	Strong	
CRP	murQP[murQp1]	+	[AIBSCS, BPP, GEA]	Weak	
CRP	murQP[murQp2]	+	[AIBSCS, BPP, GEA]	Weak	
CRP	nadC[nadCp]	+	[AIBSCS, GEA]	Weak	
CRP	nagBAC-umpH[nagBp]	+-	[BCE, BPP, GEA, HIBSCS]	Weak	
CRP	nagE[nagEp]	+-	[BCE, BPP, GEA, HIBSCS]	Weak	
CRP	nanA[nanAp]	+	[BPP]	Strong	
CRP	nanATEK-yhcH[nanAp]	+	[BPP]	Strong	
CRP	nanCM[nanCp]	+	[AIBSCS, BPP, GEA]	Weak	
CRP	nanCMS[nanCp]	+	[AIBSCS, BPP, GEA]	Weak	
CRP	narQ[narQp]	-	[GEA, HIBSCS]	Weak	
CRP	nirBDC-cysG[nirBp]	-	[AIBSCS, GEA]	Weak	
CRP	nmpC[nmpCp]	+	[HIBSCS, SM]	Weak	
CRP	nrdAB-yfaE[nrdAp]	+	[AIBSCS, GEA]	Weak	
CRP	nupC[nupCp]	+	[GEA, HIBSCS]	Weak	
CRP	nupG[nupGp]	+	[BPP, HIBSCS, SM, AIBSCS, GEA, BCE]	Strong	
CRP	ompA[ompAp1]	+	[GEA, HIBSCS]	Weak	
CRP	ompF[ompFp]	+	[AIBSCS, GEA]	Weak	
CRP	ompR-envZ[ompRp2]	+	[BPP, HIBSCS, SM]	Strong	
CRP	ompR-envZ[ompRp1]	-	[BPP, HIBSCS, SM]	Strong	
CRP	ompR-envZ[ompRp3]	+	[BPP, HIBSCS, SM]	Strong	
CRP	ompR-envZ[ompRp4]	-	[BPP, HIBSCS, SM]	Strong	
CRP	osmY[osmYp]	-	[GEA, HIBSCS, IHBCE]	Weak	
CRP	oxyR[oxyRp]	+	[GEA, HIBSCS]	Weak	
CRP	paaABCDEFGHIJK[paaAp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	paaZ[paaZp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	patZ[pkap]	+	[AIBSCS, GEA]	Weak	
CRP	pck[pckp]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	pdhR-aceEF-lpd[pdhRp]	+	[AIBSCS, GEA, HIBSCS]	Weak	
CRP	pncB[pncBp]	-	[AIBSCS, GEA]	Weak	
CRP	ppdD-hofBC[ppdDp]	+	[AIBSCS, BPP]	Weak	
CRP	ppiA[ppiAp2]	+-	[BPP, GEA, HIBSCS]	Strong	
CRP	ppiA[ppiAp3]	+-	[BPP, GEA, HIBSCS]	Strong	
CRP	ppiA[ppiAp4]	-	[BPP, GEA, HIBSCS]	Strong	
CRP	preTA[yeiTp]	+	[AIBSCS]	Weak	
CRP	proP[proPp2]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	proP[proPp1]	-	[BCE, GEA, SM]	Weak	
CRP	prpBCDE[prpBp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	prpR[prpRp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	psiE[psiEp]	-	[BPP, GEA, HIBSCS]	Strong	
CRP	ptsG[ptsGp1]	+	[AIBSCS, BPP, GEA]	Weak	
CRP	ptsHI-crr[ptsHp4]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	ptsHI-crr[ptsHp5]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	ptsHI-crr[ptsHp2]	-	[AIBSCS, GEA, HIBSCS]	Weak	
CRP	ptsHI-crr[ptsHp1]	+	[AIBSCS, GEA, HIBSCS]	Weak	
CRP	putP[putPp4]	-	[GEA, HIBSCS]	Weak	
CRP	puuDRCBE[puuDp]	-	[HIBSCS, IEP]	Weak	
CRP	raiA[raiAp]	+	[AIBSCS, BPP, GEA]	Weak	
CRP	rbsDACBKR[rbsDp]	+	[AIBSCS, GEA]	Weak	
CRP	relA-mazEF[relAp2]	+	[BPP, HIBSCS, SM]	Strong	
CRP	rhaBAD[rhaBp]	+	[AIBSCS, BCE, GEA, HIBSCS]	Weak	
CRP	rhaSR[rhaSp]	+	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak	
CRP	rhaT[rhaTp]	+	[AIBSCS, GEA]	Weak	
CRP	rmf[rmfp]	+	[AIBSCS, BPP, GEA]	Weak	
CRP	rplM-rpsI[rplMp]	-	[AIBSCS, BPP, GEA]	Weak	
CRP	rpoH[rpoHp5]	+	[BCE, AIBSCS, BPP, GEA]	Weak	
CRP	rpoH[rpoHp4]	-	[AIBSCS, BPP, GEA]	Weak	
CRP	rpoH[rpoHp3]	-	[AIBSCS, BPP, GEA]	Weak	
CRP	rpoS[rpoSp]	?	[BCE]	Weak	
CRP	rpsF-priB-rpsR-rplI[rpsFp]	+	[AIBSCS, BPP, GEA]	Weak	
CRP	sbmC[sbmCp2]	+	[AIBSCS, BPP, IHBCE]	Weak	
CRP	sdhCDAB-sucABCD[sdhCp]	+	[AIBSCS, BCE, GEA]	Weak	
CRP	sdhDAB[sdhDp2]	+	[BCE]	Weak	
CRP	secB-gpsA[secBp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	serA[serAp2]	+	[GEA, HIBSCS]	Weak	
CRP	serC[serCp]	-	[GEA, HIBSCS, SM]	Weak	
CRP	serC-aroA[serCp]	-	[GEA, HIBSCS, SM]	Weak	
CRP	sfsA-dksA[sfsAp]	+	[HIBSCS]	Weak	
CRP	sodA[sodAp]	+	[AIBSCS, GEA]	Weak	
CRP	sodB[sodBp]	-	[AIBSCS, GEA]	Weak	
CRP	sohB[sohBp1]	-	[AIBSCS]	Weak	
CRP	sohB[sohBp2]	-	[AIBSCS]	Weak	
CRP	speC[speCp]	-	[GEA, IMP]	Weak	
CRP	spf[spfp]	-	[HIBSCS]	Weak	
CRP	srlAEBD-gutM-srlR-gutQ[srlAp]	+	[AIBSCS, GEA]	Weak	
CRP	sxy[sxyp]	+	[GEA, HIBSCS]	Weak	
CRP	tdcABCDEFG[tdcAp]	+	[BCE, BPP, GEA, HIBSCS, SM]	Weak	
CRP	tnaC[tnaCp]	+	[AIBSCS, BCE, GEA, HIBSCS]	Weak	
CRP	tnaCAB[tnaCp]	+	[AIBSCS, BCE, GEA, HIBSCS]	Weak	
CRP	treBC[treBp]	-	[HIBSCS, AIBSCS, GEA]	Weak	
CRP	trg[trgp1]	+	[AIBSCS, BPP]	Weak	
CRP	trxA[trxAp1]	-	[BPP, GEA]	Strong	
CRP	tsx[tsxp2]	+-	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak	
CRP	ubiG[ubiGp]	+	[GEA]	Weak	
CRP	udp[udpP]	+	[BPP, GEA, HIBSCS, SM]	Strong	
CRP	ugpBAECQ[ugpBp2]	+	[BPP, HIBSCS]	Strong	
CRP	uhpT[uhpTp]	+	[BCE, BPP, GEA, HIBSCS, SM]	Weak	
CRP	uidABC[uidAp]	+	[GEA, HIBSCS]	Weak	
CRP	ulaABCDEF[ulaAp]	+	[BCE, GEA, SM]	Weak	
CRP	uxaB[uxaBp]	+	[HIBSCS]	Weak	
CRP	uxaCA[uxaCp]	+	[HIBSCS]	Weak	
CRP	uxuAB[uxuAp]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
CRP	uxuR[uxuRp]	+	[GEA, HIBSCS]	Weak	
CRP	xseA[xseAp]	-	[BPP, GEA, SM]	Strong	
CRP	xylAB[xylAp]	+	[AIBSCS, GEA, HIBSCS]	Weak	
CRP	xylFGHR[xylFp]	+	[AIBSCS, GEA, HIBSCS]	Weak	
CRP	yaeP-rof[yaePp]	-	[GEA, HIBSCS]	Weak	
CRP	yaeQ-arfB-nlpE[yaeQp]	-	[GEA, HIBSCS]	Weak	
CRP	ybiT[ybiTp]	+	[AIBSCS, GEA, HIBSCS]	Weak	
CRP	ycdZ[ycdZp4]	+	[AIBSCS]	Weak	
CRP	ychH[ychHp]	+	[AIBSCS, BCE, GEA, SM]	Weak	
CRP	yeiP[yeiPp]	+	[AIBSCS, GEA]	Weak	
CRP	yeiW[yeiWp]	+	[AIBSCS, GEA, HIBSCS]	Weak	
CRP	yhfA[yhfAp]	+	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak	
CRP	yiaJ[yiaJp]	-	[BPP, GEA, HIBSCS]	Strong	
CRP	yiaKLMNO-lyxK-sgbHUE[yiaKp]	+	[BPP, GEA, HIBSCS]	Strong	
CRP	yjiY[yjiYp]	+	[AIBSCS, GEA, SM]	Weak	
CRP	ykgR[ykgRp]	+	[GEA, HIBSCS]	Weak	
CRP	zraSR[zraSp]	+	[AIBSCS, GEA]	Weak	
CadC	cadBA[cadBp]	+	[BPP, GEA]	Strong	
CadC	cadC[cadCp]	+	[GEA]	Weak	
CaiF	caiTABCDE[caiTp]	+	[BPP, GEA, HIBSCS]	Strong	
CaiF	fixABCX[fixAp]	+	[BPP, GEA, HIBSCS]	Strong	
Cbl	ssuEADCB[ssuEp]	+	[BPP, GEA]	Strong	
Cbl	tauABCD[tauAp]	+	[BPP, GEA]	Strong	
CdaR	cdaR[cdaRp]	+	[GEA]	Weak	
CdaR	garD[garDp]	+	[GEA]	Weak	
CdaR	garPLRK-rnpB[garPp]	+	[GEA]	Weak	
CdaR	gudPXD[gudPp]	+	[GEA]	Weak	
ChbR	chbBCARFG[chbBp]	+	[BPP, GEA]	Strong	
ComR	bhsA[bhsAp]	-	[BPP, GEA]	Strong	
CpxR	acrD[acrDp2]	+	[BPP, GEA, IC]	Strong	
CpxR	aroG[aroGp]	+	[BPP, HIBSCS]	Strong	
CpxR	bacA[bacAp]	+	[ICA]	Weak	
CpxR	bamE[bamEp]	-	[ICA]	Weak	
CpxR	cpxP[cpxPp]	+	[BPP, GEA, HIBSCS]	Strong	
CpxR	cpxRA[cpxRp]	+	[BPP, GEA, HIBSCS]	Strong	
CpxR	csgBAC[csgBp]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
CpxR	csgDEFG[csgDp1]	-	[BPP, GEA, HIBSCS]	Strong	
CpxR	cyaR[cyaRp]	-	[BPP, GEA]	Strong	
CpxR	degP[degPp]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
CpxR	dgcZ[dgcZp]	+	[BPP, GEA, HIBSCS]	Strong	
CpxR	dsbC[dsbCp]	+	[GEA, HIBSCS]	Weak	
CpxR	efeU_1U_2[efeU_1p]	-	[BPP, GEA, HIBSCS]	Strong	
CpxR	ftnB[ftnBp2]	+	[BPP, HIBSCS]	Strong	
CpxR	ldtC[ycfSp]	+	[BPP, HIBSCS]	Strong	
CpxR	marRAB[marRp]	+	[BPP, GEA, HIBSCS]	Strong	
CpxR	mdtABCD-baeSR[mdtAp]	+	[BPP, GEA, IC]	Strong	
CpxR	motAB-cheAW[motAp]	-	[BPP, GEA]	Strong	
CpxR	ompC[ompCp1]	+	[AIBSCS, BPP, GEA]	Weak	
CpxR	ompF[ompFp]	-	[AIBSCS, BPP, GEA]	Weak	
CpxR	ppiA[ppiAp1]	+	[BPP, GEA, HIBSCS]	Strong	
CpxR	ppiD[ppiDp2]	+	[HIBSCS, SM]	Weak	
CpxR	psd-mscM[psdp]	-	[ICA]	Weak	
CpxR	rdoA-dsbA[rdoAp]	+	[BPP, GEA, HIBSCS]	Strong	
CpxR	rpoE-rseABC[rpoEp1]	-	[AIBSCS, GEA]	Weak	
CpxR	rpoH[rpoHp1]	+	[GEA]	Weak	
CpxR	rprA[rprAp]	+	[BPP, GEA]	Strong	
CpxR	sbmA-yaiW[sbmAp]	+	[AIBSCS, GEA]	Weak	
CpxR	skp-lpxD-fabZ-lpxA[hlpAp]	+	[GEA, HIBSCS]	Weak	
CpxR	slt[sltp7]	+	[AIBSCS, GEA]	Weak	
CpxR	spy[spyp]	+	[BPP, GEA, HIBSCS]	Strong	
CpxR	tomB-hha[tomBp1]	+	[BPP, HIBSCS]	Strong	
CpxR	tsr[tsrp1]	-	[BPP]	Strong	
CpxR	ung[ungp]	-	[BCE, BPP]	Weak	
CpxR	yccA[yccAp]	+	[BPP, GEA, HIBSCS]	Strong	
CpxR	yebE[yebEp]	+	[BPP, GEA, HIBSCS]	Strong	
CpxR	ygaU[ygaUp4]	+	[AIBSCS, GEA]	Weak	
CpxR	yidQ[yidQp]	+	[GEA, HIBSCS]	Weak	
CpxR	yqaE[yqaEp]	+	[AIBSCS, BPP, GEA]	Weak	
CpxR	yqjA-mzrA[yqjAp1]	+	[BPP, HIBSCS]	Strong	
Cra	aceBAK[aceBp]	+	[BPP, GEA, SM]	Strong	
Cra	acnA[acnAp2]	+	[GEA]	Weak	
Cra	acnB[acnBp]	-	[GEA]	Weak	
Cra	adhE[adhEp1]	-	[BCE, GEA, ICWHO, SM]	Weak	
Cra	aroP[aroPp1]	+	[AIBSCS, GEA]	Weak	
Cra	aroP[aroPp2]	+	[AIBSCS, GEA, ICWHO]	Weak	
Cra	betIBA[betIp]	+	[GEA]	Weak	
Cra	betT[betTp]	+	[GEA]	Weak	
Cra	crp[crpp1]	+	[BPP, GEA, SM]	Strong	
Cra	csgDEFG[csgDp1]	+	[AIBSCS, BPP, GEA, SM]	Weak	
Cra	cydAB[cydAp5]	+	[AIBSCS, BPP, GEA]	Weak	
Cra	cyoABCDE[cyoAp]	-	[AIBSCS, GEA]	Weak	
Cra	edd-eda[eddp1]	-	[BPP, GEA, HIBSCS, SM]	Strong	
Cra	eno[enop1]	-	[BPP, GEA, HIBSCS]	Strong	
Cra	eno[enop2]	-	[BPP, GEA, HIBSCS]	Strong	
Cra	eno[enop3]	-	[BPP, GEA, HIBSCS]	Strong	
Cra	epd-pgk[epdp]	-	[BPP, GEA, HIBSCS, SM]	Strong	
Cra	epd-pgk-fbaA[epdp]	-	[BPP, GEA, HIBSCS, SM]	Strong	
Cra	fbaB[fbaBp]	-	[AIBSCS, GEA]	Weak	
Cra	fruBKA[fruBp]	-	[AIBSCS, GEA, NTAS]	Weak	
Cra	gapA[gapAp1]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Cra	gapA[gapAp3]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Cra	gapA[gapAp4]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Cra	gapA-yeaD[gapAp2]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Cra	glcC[glcCp]	-	[AIBSCS, GEA]	Weak	
Cra	glk[glkp]	-	[AIBSCS, GEA, HIBSCS]	Weak	
Cra	gpmM-envC-yibQ[gpmMp]	-	[AIBSCS, GEA]	Weak	
Cra	hypF[hypFp2]	-	[BPP, GEA, HIBSCS]	Strong	
Cra	hypF[hypFp3]	-	[BPP, GEA, HIBSCS]	Strong	
Cra	icd[icdAp2]	+	[BPP]	Strong	
Cra	manXYZ[manXp]	-	[AIBSCS, GEA]	Weak	
Cra	marRAB[marRp]	-	[AIBSCS, GEA]	Weak	
Cra	mpl[mplp1]	-	[AIBSCS, GEA]	Weak	
Cra	mtlADR[mtlAp]	-	[BPP, GEA]	Strong	
Cra	nirBDC-cysG[nirBp]	-	[BCE, GEA, HIBSCS]	Weak	
Cra	pck[pckp]	+	[BPP, GEA, HIBSCS, SM]	Strong	
Cra	pdeL[yahAp1]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Cra	pdhR-aceEF-lpd[pdhRp]	-	[AIBSCS, GEA]	Weak	
Cra	pfkA[pfkAp2]	-	[BPP]	Strong	
Cra	poxB[poxBp]	+	[GEA]	Weak	
Cra	ppc[ppcp]	-	[AIBSCS, GEA]	Weak	
Cra	ppsA[ppsp]	+	[AIBSCS, BPP, GEA, ICWHO]	Weak	
Cra	prpBCDE[prpBp]	-	[AIBSCS, GEA]	Weak	
Cra	ptsHI-crr[ptsHp2]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Cra	ptsHI-crr[ptsHp1]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
Cra	pykF[pykFp]	-	[BCE, SM]	Weak	
Cra	sgrST-setA[sgrSp]	-	[AIBSCS, GEA]	Weak	
Cra	tpiA[tpiAp2]	-	[AIBSCS, GEA]	Weak	
Cra	zwf[zwfp]	-	[AIBSCS, GEA]	Weak	
CreB	creD[creDp]	+	[AIBSCS, BPP, GEA]	Weak	
CreB	malEFG[malEp]	-	[AIBSCS, GEA]	Weak	
CreB	talA[talAp]	+	[AIBSCS, GEA]	Weak	
CsgD	csgBAC[csgBp]	+	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak	
CsgD	csgDEFG[csgDp1]	+	[BPP, GEA, HIBSCS]	Strong	
CsgD	dgcC[adrAp]	+	[AIBSCS, BPP, GEA, HIBSCS, SM]	Weak	
CsgD	flgMN[flgMp]	-	[BPP, HIBSCS]	Strong	
CsgD	fliAZ-tcyJ[fliAp1]	-	[AIBSCS, BPP]	Weak	
CsgD	fliE[fliEp]	-	[BPP, GEA, HIBSCS]	Strong	
CsgD	fliE[fliEp1]	-	[BPP, GEA, HIBSCS]	Strong	
CsgD	fliFGHIJK[fliFp1]	-	[BPP, GEA, HIBSCS]	Strong	
CsgD	iraP[iraPp1]	+	[GEA]	Weak	
CsgD	nlpA[nlpAp]	+	[BPP, GEA, HIBSCS]	Strong	
CsgD	pepD[pepDp3]	-	[AIBSCS, GEA]	Weak	
CsgD	wrbA-yccJ[wrbAp]	+	[BPP, HIBSCS]	Strong	
CsgD	yccT[yccTp]	+	[BPP, GEA, HIBSCS]	Strong	
CsgD	yhbTS[yhbTp2]	-	[BPP, GEA, HIBSCS]	Strong	
CsiR	csiD-lhgO-gabDTP[csiDp]	-	[GEA]	Weak	
CspA	gyrA[gyrAp]	+	[HIBSCS]	Weak	
CspA	hns[hnsp]	+	[BPP]	Strong	
CueR	copA[copAp]	+	[BPP, HIBSCS, SM]	Strong	
CueR	cueO[cueOp]	+	[BPP, GEA, HIBSCS]	Strong	
CueR	moaABCDE[moaAp1]	-	[GEA, HIBSCS]	Weak	
CusR	cusCFBA[cusCp]	+	[BPP, GEA, HIBSCS]	Strong	
CusR	cusRS[cusRp]	+	[BPP, GEA, HIBSCS]	Strong	
CusR	cyoABCDE[cyoAp]	+	[HIBSCS]	Weak	
CusR	yedX[yedXp]	+	[AIBSCS, BPP, GEA]	Weak	
CynR	cynR[cynRp]	-	[BPP, HIBSCS]	Strong	
CynR	cynTS[cynTp]	+	[BPP, GEA, HIBSCS]	Strong	
CynR	cynTSX[cynTp]	+	[BPP, GEA, HIBSCS]	Strong	
CysB	cbl[cblp]	+	[BPP, GEA]	Strong	
CysB	cysB[cysBp]	-	[HIBSCS]	Weak	
CysB	cysDNC[cysDp]	+	[BCE]	Weak	
CysB	cysJIH[cysJp]	+	[HIBSCS]	Weak	
CysB	cysK[cysKp1]	+	[HIBSCS, SM]	Weak	
CysB	cysPUWAM[cysPp]	+	[BPP, GEA]	Strong	
CysB	dgcZ[dgcZp]	+	[AIBSCS]	Weak	
CysB	hslJ[hslJp]	-	[AIBSCS, BPP, GEA]	Weak	
CysB	ssuEADCB[ssuEp]	-	[BPP, GEA]	Strong	
CysB	tauABCD[tauAp]	+	[BPP, GEA]	Strong	
CysB	ybdN[ybdNp]	+	[AIBSCS]	Weak	
CysB	yciW[yciWp]	+	[AIBSCS, GEA]	Weak	
CysB	yfbR[yfbRp3]	+	[AIBSCS]	Weak	
CysB	ygeH[ygeHp10]	+	[AIBSCS]	Weak	
CysB	yoaC[yoaCp1]	+	[AIBSCS]	Weak	
CytR	cdd[cddp]	-	[BPP, GEA, HIBSCS, SM]	Strong	
CytR	cytR[cytRp]	-	[BPP, GEA, HIBSCS, IC]	Strong	
CytR	deoCABD[deoCp2]	-	[BPP, GEA, HIBSCS, SM]	Strong	
CytR	nupC[nupCp]	-	[TAS]	Weak	
CytR	nupG[nupGp]	-	[BPP, HIBSCS]	Strong	
CytR	ppiA[ppiAp2]	-	[BPP, GEA, HIBSCS, IC]	Strong	
CytR	ppiA[ppiAp3]	-	[BPP, GEA, HIBSCS, IC]	Strong	
CytR	ppiA[ppiAp4]	-	[BPP, GEA, HIBSCS, IC]	Strong	
CytR	rpoH[rpoHp5]	-	[BPP, GEA, HIBSCS]	Strong	
CytR	rpoH[rpoHp4]	-	[BPP, GEA, HIBSCS]	Strong	
CytR	rpoH[rpoHp3]	-	[BPP, GEA, HIBSCS]	Strong	
CytR	tsx[tsxp2]	-	[BPP, GEA, HIBSCS, IHBCE, IC, SM]	Strong	
CytR	udp[udpP]	-	[BPP, GEA, HIBSCS, SM]	Strong	
CytR	ycdZ[ycdZp4]	-	[AIBSCS]	Weak	
Dan	ttdABT[ttdAp]	+	[BPP, GEA, HIBSCS]	Strong	
Dan	ttdR[ttdRp]	+	[BPP]	Strong	
DcuR	dctA[dctAp]	+	[BPP, GEA]	Strong	
DcuR	dcuB-fumB[dcuBp2]	+	[BPP, GEA]	Strong	
DcuR	dpiBA[dpiBp2]	+	[BPP, HIBSCS]	Strong	
DcuR	frdABCD[frdAp]	+	[BPP, GEA]	Strong	
DeoR	deoCABD[deoCp1]	-	[HIBSCS, SM]	Weak	
DeoR	deoCABD[deoCp2]	-	[HIBSCS, SM]	Weak	
DeoR	nupG[nupGp]	-	[GEA, HIBSCS]	Weak	
DeoR	tsx[tsxp1]	-	[BCE, GEA]	Weak	
DhaR	dhaKLM[dhaKp]	+	[GEA]	Weak	
DhaR	dhaR[dhaRp]	-	[GEA]	Weak	
DicA	dicB-ydfDE-insD-intQ[dicBp]	-	[GEA]	Weak	
DicA	dicC-ydfXW[dicCp]	-	[BPP, GEA, IHBCE]	Strong	
DinJ-YafQ	cspE[cspEp1]	-	[BPP, GEA, SM]	Strong	
DinJ-YafQ	dinJ-yafQ[dinJp]	-	[BPP, HIBSCS, SM]	Strong	
DnaA	aldA[aldAp]	-	[BPP, GEA]	Strong	
DnaA	dnaAN-recF[dnaAp1]	-	[BPP, GEA]	Strong	
DnaA	dnaAN-recF[dnaAp2]	+-	[BPP, SM, GEA]	Strong	
DnaA	guaBA[guaBp]	-	[BPP, GEA, HIBSCS]	Strong	
DnaA	nrdAB-yfaE[nrdAp]	+	[BPP, HIBSCS, SM]	Strong	
DnaA	polA[polAp]	+	[BPP, GEA]	Strong	
DnaA	rpoH[rpoHp4]	-	[BCE, HIBSCS]	Weak	
DnaA	rpoH[rpoHp3]	-	[BCE, HIBSCS]	Weak	
DnaA	yjeV[yjeVp]	-	[BPP, GEA]	Strong	
DpiA	appY[appYp]	-	[GEA, HIBSCS]	Weak	
DpiA	citCDEFXG[citCp1]	+	[BPP, GEA, HIBSCS]	Strong	
DpiA	citCDEFXG[citCp2]	+	[BPP, GEA, HIBSCS]	Strong	
DpiA	dpiBA[dpiBp]	+	[BPP, GEA, HIBSCS]	Strong	
DpiA	exuT[exuTp2]	+	[BPP, GEA]	Strong	
DpiA	exuT[exuTp1]	+	[BPP, GEA]	Strong	
DpiA	mdh[mdhp1]	+	[BPP, GEA]	Strong	
DpiA	mdh[mdhp2]	+	[BPP, GEA]	Strong	
DsdC	dsdA[dsdAp]	+	[GEA]	Weak	
DsdC	dsdC[dsdCp]	-	[GEA]	Weak	
DsdC	dsdXA[dsdXp]	+	[GEA]	Weak	
EbgR	ebgAC[ebgAp]	-	[GEA]	Weak	
EnvR	acrAB[acrAp]	-	[AIBSCS, BPP, GEA]	Weak	
EnvY	ompC[ompCp1]	+	[IMP]	Weak	
EnvY	ompF[ompFp]	+	[IMP]	Weak	
EvgA	acrD[acrDp]	+	[AIBSCS, GEA]	Weak	
EvgA	emrKY[emrKp]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
EvgA	evgAS[evgAp2]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
EvgA	evgAS[evgAp1]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
EvgA	frc[frcp]	+	[AIBSCS, BPP, GEA]	Weak	
EvgA	gadE-mdtEF[gadEp]	+	[BPP, GEA]	Strong	
EvgA	safA-ydeO[safAp]	+	[AIBSCS, BPP, GEA]	Weak	
EvgA	ydeP[ydePp]	+	[AIBSCS, BPP, GEA]	Weak	
EvgA	yegRZ[yegRp]	+	[AIBSCS, BPP, GEA]	Weak	
EvgA	yfdX-frc-oxc-yfdVE[yfdXp]	+	[AIBSCS, BPP, GEA]	Weak	
ExuR	exuR[exuRp]	-	[GEA, HIBSCS]	Weak	
ExuR	exuT[exuTp2]	-	[AIBSCS, GEA]	Weak	
ExuR	uxaB[uxaBp]	-	[GEA, HIBSCS]	Weak	
ExuR	uxaCA[uxaCp]	-	[AIBSCS, GEA]	Weak	
ExuR	uxuAB[uxuAp]	-	[GEA, HIBSCS]	Weak	
ExuR	uxuR[uxuRp]	-	[AIBSCS, GEA]	Weak	
FNR	aceEF[aceEp]	-	[GEA]	Weak	
FNR	ackA[ackAp]	+	[GEA]	Weak	
FNR	acnA[acnAp2]	-	[GEA, HIBSCS]	Weak	
FNR	acrEF[acrEp]	+	[AIBSCS, GEA]	Weak	
FNR	adhE[adhEp2]	+	[GEA, HIBSCS]	Weak	
FNR	aer[aerp]	+	[AIBSCS, GEA]	Weak	
FNR	aldA[aldAp]	-	[AIBSCS, GEA]	Weak	
FNR	ansB[ansBp2]	+	[BCE, SM]	Weak	
FNR	arcA[arcAp1]	+	[GEA, HIBSCS]	Weak	
FNR	arcA[arcAp3]	-	[GEA, HIBSCS]	Weak	
FNR	aspA[aspAp]	+	[GEA, HIBSCS]	Weak	
FNR	aspA-dcuA[aspAp]	+	[GEA, HIBSCS]	Weak	
FNR	aspC[aspCp]	+-	[GEA]	Weak	
FNR	bcsBZ[bcsBp]	+	[AIBSCS, GEA]	Weak	
FNR	cadC[cadCp]	+	[AIBSCS, GEA]	Weak	
FNR	caiF[caiFp]	+	[BCE, GEA]	Weak	
FNR	caiTABCDE[caiTp]	+	[AIBSCS, GEA]	Weak	
FNR	citCDEFXG[citCp2]	-	[AIBSCS]	Weak	
FNR	cydAB[cydAp3]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
FNR	cydAB[cydAp4]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
FNR	cydAB[cydAp1]	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
FNR	cydAB[cydAp2]	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
FNR	cydDC[cydDp]	+	[GEA, HIBSCS]	Weak	
FNR	cyoABCDE[cyoAp]	-	[AIBSCS, GEA]	Weak	
FNR	dcuB-fumB[dcuBp]	+	[GEA, HIBSCS]	Weak	
