# conformaciones_activas.txt
# generated: 2018-08-14 11:48:25
# RegulonDB: 10.0, release: 18/06/18
# Manual processing: Edited MalT effectors column to include ATP and maltotriose as one effector. Changed all lines without a regulated TU tu TF_inactive.txt. All lines in TF_inactive.txt that had a regulated TU were moved here.
# Transcription Factor name	 Final State	Effector Name	Effect	Transcription Unit name	Evidences	Evidence type
CRP	CRP-cAMP	cyclic-AMP	+-	cdd	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	+-	cytR	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	+-	dadAX	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	+-	deoCABD	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	+-	dusB-fis	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	+-	ldtB	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	+-	nagBAC-umpH	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	+-	nagE	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	+-	nupG	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	+-	ppiA	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	+-	rpoH	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	+-	tsx	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	+-	udp	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	+-	ybiT	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	+-	ycdZ	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	aaeR	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	aceBAK	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	ampDE	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	araJ	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	azuC	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	bhsA	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	casABCDE12	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	cdd	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	citCDEFXG	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	comR	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	crp	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	csrC	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	cyaA	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	dpiBA	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	exuR	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	gadAX	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	gadBC	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	gadEF-mdtEF	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	galE	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	galET	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	galETK	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	galETKM	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	gcd	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	gdhA	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	glnA	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	glnALG	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	gltBDF	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	hfq-hflXKC	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	lacZYA	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	lpd	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	malI	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	manA	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	metK	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	metY	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	mlc	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	narQ	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	nirBDC-cysG	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	nupG	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	ompR-envZ	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	ompW	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	osmY	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	pck	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	pncB	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	ppiA	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	proP	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	psiE	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	ptsHI-crr	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	putP	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	puuDRCBE	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	rplM-rpsI	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	rpoH	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	serC	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	serC-aroA	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	sodB	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	sohB	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	speC	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	spf	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	treBC	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	trxA	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	xseA	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	yaeP-rof	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
CRP	CRP-cAMP	cyclic-AMP	-	yaeQ-arfB-nlpE	[IHBCE|W|Inferred by a human based on computational evidence],[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction],[APPH|S|Assay of protein purified  to homogeneity],[APPP|W|Assay of partially-purified protein],[HIFS|W|Human inference of function from sequence],[IEP|W|Inferred from expression pattern]	Strong
