# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	icd//
go_0015909_8	yigL//
go_0015912_8	metH//
go_0015914_7	pyrB//
go_0015920_7	ddlA//waaA//
go_0015937_7	glpK//pdxK//opgE//scpC//
go_0015940_6	pgl//
go_0015944_4	galT//tdcB//chbG//
go_0015949_5	clsA//betB//alkB//lpxP//selA//yfbR//gltD//fabB//ribC//ravA//queG//yjhH//ansA//epmA//galT//phoA//thiE//torA//
go_0015950_6	acnA//
go_0015951_7	tsaB//mcrB//
go_0015968_6	
go_0015969_8	truB//ravA//
go_0015976_2	dfp//
go_0015986_7	
go_0015990_10	pabA//rbsK//
go_0016024_7	glpC//
go_0016032_5	cmoA//
go_0016036_6	arsC//bglX//
go_0016042_5	
go_0016052_5	bacA//yahK//phnM//mnaT//
go_0016075_8	psd//
go_0016078_8	deoA//
go_0016094_6	ribF//rffG//
go_0016226_5	galM//rbn//chbF//dhaM//
go_0016259_7	hisA//
go_0016260_8	mltD//wzc//ung//
go_0016310_6	rlmB//dhaM//gpp//idnD//yeiG//fabD//rffH//glgX//rimK//glpB//yqaB//fadE//mnmA//sgbU//citG//umpH//cpsG//
go_0016311_6	yagF//patZ//frlC//udp//idi//waaQ//pnp//aroB//eptC//eutB//rpe//rluD//paaB//speA//tsaB//ssuD//polA//ydiF//rsmD//waaS//purT//rdgB//pflB//xylB//ribB//mhpB//surA//bglA//hyaA//acpS//lpxH//aldA//glgP//yahK//alaC//rluE//ruvA//rlmI//birA//yagE//
go_0016458_3	
go_0016485_6	araB//umuC//
go_0016540_7	rph//frlC//
go_0016579_7	surA//
go_0016998_5	gabT//
go_0017001_5	ilvD//
go_0017003_8	alsK//
go_0017004_7	chbF//
go_0017013_7	
go_0017038_6	
go_0017148_8	thyA//ilvH//acpT//nfsB//mhpC//
go_0017189_7	kefF//
go_0017198_7	lpxD//
go_0018012_8	hisC//
go_0018023_7	murI//
go_0018063_8	tktB//
go_0018070_8	ldtE//fabG//
go_0018104_8	xthA//nagZ//frc//yegS//acpS//
go_0018105_8	fbaA//
go_0018106_8	
go_0018108_8	dgcZ//
go_0018117_8	
go_0018125_6	hisS//
go_0018131_6	fdhF//
go_0018160_8	btuR//
go_0018206_8	der//
go_0018247_9	fadK//
go_0018283_6	
go_0018298_7	ubiD//
go_0018307_7	phnO//
go_0018315_8	prmC//
go_0018339_9	caiB//
go_0018345_8	nanA//
go_0018364_6	eda//ada//
go_0018378_9	
go_0018393_10	murE//
go_0018394_9	hcaC//
go_0018410_8	epmA//
go_0018909_5	mtgA//
go_0018937_4	frdC//
go_0019042_6	mpaA//
go_0019068_6	
go_0019076_6	
go_0019217_7	
go_0019242_6	yjhG//
go_0019243_7	fadE//dgcM//lysS//argS//
go_0019249_6	pgm//
go_0019250_7	serB//
go_0019262_6	leuD//citG//rsmB//ribB//dhaK//
go_0019264_7	katG//
go_0019272_9	adk//rhaD//
go_0019284_7	aceB//torZ//
go_0019285_5	argG//pyrD//
go_0019288_6	ppx//gpp//patD//tag//
go_0019290_5	
go_0019292_8	betA//
go_0019294_6	glcE//serB//argG//arnB//
go_0019299_6	ispH//
go_0019301_7	ubiE//ahr//mdh//aroC//trpA//fes//rsmD//
go_0019303_7	alaS//bglB//
go_0019305_7	adiA//
go_0019309_7	ydiO//
go_0019316_8	trmA//glpD//ssuD//
go_0019318_5	nadD//
go_0019323_6	pcm//waaZ//waaP//dacD//purA//entB//ddlB//
go_0019324_6	tadA//fcl//nth//ruvB//mhpB//
go_0019343_8	tsaD//
go_0019344_7	lpxM//
go_0019346_7	thiC//
go_0019353_8	glnA//aceF//speE//queD//
go_0019354_6	glyS//
go_0019379_5	lpxL//
go_0019380_6	thiM//torY//
go_0019388_7	metC//
go_0019391_6	mcrA//
go_0019394_7	moaD//
go_0019395_5	yfdR//
go_0019404_8	dgcM//birA//
go_0019413_6	dsdA//trmD//
go_0019419_4	ndk//
go_0019427_7	lpxH//
go_0019430_5	menF//alr//asnS//
go_0019432_7	xapA//
go_0019439_5	nrdB//garR//
go_0019447_8	gcd//
go_0019450_9	rffH//
go_0019464_7	waaB//asnB//moeB//narY//pgsA//hisS//
go_0019480_4	mngB//
go_0019509_7	
go_0019516_4	wzc//wzc//
go_0019521_6	argC//idnK//
go_0019542_6	mak//
go_0019545_6	sucD//
go_0019546_9	murB//
go_0019563_7	paaA//fadJ//ogt//
go_0019568_7	purA//cdsA//
go_0019569_7	srlD//frmA//panE//
go_0019571_8	ulaG//dusB//rffC//
go_0019572_8	coaA//
go_0019584_7	
go_0019588_7	cueO//rhaA//
go_0019592_8	gudD//
go_0019595_8	aroL//
go_0019607_6	fdhF//phnL//
go_0019622_6	argI//tdh//folD//
go_0019629_7	lpxC//kdsD//
go_0019632_5	abgA//fadM//puuC//trmH//
go_0019634_5	eptA//
go_0019645_6	glpC//speD//opgB//
go_0019646_6	idnD//ppiC//bglB//abgB//
go_0019664_6	pheS//fabH//
go_0019665_5	nagB//
go_0019673_6	lpxB//
go_0019676_3	cysD//
go_0019677_8	
go_0019679_7	dhaM//narY//fruK//
go_0019686_6	arsC//
go_0019698_7	leuD//fadE//yggF//panE//ltaE//fadH//
go_0019700_6	ybhA//tauD//frlC//phnG//
go_0019740_2	ycaO//cysH//gadA//pfkA//epmA//aroL//
go_0019752_6	
go_0019805_6	mhpB//
go_0019835_3	
go_0019852_5	thrA//rffG//bioD//
go_0019854_6	dut//apt//
go_0019856_7	cobB//
go_0019858_7	tynA//
go_0019859_7	queG//
go_0019877_6	cysI//nudG//fadE//
go_0019878_9	coaD//
go_0019935_6	glyS//cysE//
go_0019985_8	polA//cysM//
go_0019988_7	gutQ//
go_0022417_4	gloC//
go_0022610_2	roxA//
go_0022611_3	rffG//dapB//frc//
go_0022900_4	pgaB//pinE//
go_0022904_5	aceF//yeiG//bcsA//
go_0023014_4	mutL//nadD//dgcZ//
go_0030001_7	epmC//rbsK//rnt//
go_0030007_8	kefF//
go_0030026_9	
go_0030091_6	waaF//umpH//nrfD//lipA//
go_0030153_5	
go_0030162_7	
go_0030163_5	uvrB//nudF//arnA//dhaL//
go_0030244_9	
go_0030258_5	gcd//
go_0030260_7	
go_0030261_8	
go_0030307_6	
go_0030308_6	queC//bioC//
go_0030388_5	sbcB//wecC//yjhG//
go_0030488_6	gor//gltD//ilvB//cheR//sodA//ychF//idnO//mog//rnpA//bioA//
go_0030490_10	
go_0030497_7	yegS//dmsB//
go_0030541_4	
go_0030573_6	ligB//
go_0030632_8	mcrB//torC//melA//recO//
go_0030641_8	tgt//avtA//
go_0030643_8	
go_0030961_9	murG//
go_0030980_7	ascB//lpoB//waaP//
go_0031118_8	narH//
go_0031119_8	trmD//hemA//bacA//pfkA//uxaB//nrdB//
go_0031125_10	thrS//
go_0031162_5	chbG//
go_0031167_6	deoA//idnD//selB//miaA//nadB//polA//
go_0031280_6	cysG//
go_0031297_7	
go_0031342_5	
go_0031346_7	
go_0031365_7	mhpC//
go_0031400_8	
go_0031439_9	
go_0031460_7	rhaA//miaB//entC//torY//purL//miaB//
go_0031554_7	
go_0031555_8	
go_0031556_9	
go_0031564_8	aroC//
go_0031638_7	
go_0031648_5	
go_0031669_5	
go_0031670_5	
go_0032025_6	plsC//
go_0032026_6	murE//
go_0032049_8	deoB//nudB//aldB//
go_0032055_6	
go_0032091_6	
go_0032147_9	
go_0032150_8	
go_0032194_8	mnmC//
go_0032196_3	fes//
go_0032238_6	hisD//
go_0032259_3	argE//deoB//truA//cyaA//
go_0032261_6	icd//
go_0032263_7	phnM//cmoB//
go_0032264_7	gcd//kbaZ//
go_0032265_7	rfaD//
go_0032272_7	
go_0032297_10	
go_0032298_10	
go_0032324_6	dnaE//cobB//pdxH//
go_0032329_7	kdsA//speG//
go_0032359_7	
go_0032412_6	
go_0032413_6	
go_0032414_6	ispA//
go_0032445_10	wecB//cysS//
go_0032462_7	folA//
go_0032466_7	
go_0032467_7	
go_0032506_4	
go_0032508_8	ychF//amiD//tdk//cpdA//
go_0032774_6	abgB//
go_0032775_6	paoC//waaO//cobT//
go_0032781_7	
go_0032784_8	
go_0032790_6	bglB//
go_0032885_7	
go_0032951_8	
go_0032955_6	
go_0032973_7	dnaE//
go_0032978_7	
go_0033014_6	icd//nemA//
go_0033051_5	yfeW//
go_0033120_8	
go_0033194_5	gcd//kefF//metB//
go_0033195_5	cysE//
go_0033212_10	sufS//dam//
go_0033214_11	araA//purF//
go_0033228_8	speA//argF//eptA//
go_0033317_7	iaaA//ycjU//menI//recR//
go_0033320_6	hemE//
go_0033345_8	sdhA//tktB//
go_0033353_5	phoA//
go_0033359_7	puuD//mtn//
go_0033384_6	nirB//
go_0033388_7	dacC//
go_0033477_5	pnp//
go_0033499_8	kduI//gntK//mraY//mhpC//phnG//
go_0033518_6	fabZ//
go_0033539_7	selA//
go_0033542_7	ung//
go_0033543_8	yfiC//
go_0033567_6	
go_0033585_7	pdxA//fucI//
go_0033611_8	cobU//
go_0033683_7	
go_0034194_8	adk//rsmE//dxr//
go_0034195_8	hisG//
go_0034198_6	nrdE//rnd//
go_0034203_6	pdxY//
go_0034204_5	sodC//folA//
go_0034213_6	lipB//
go_0034214_7	ttdB//hisI//glpB//
go_0034219_6	nfsB//betB//pldB//ubiH//rnb//leuS//tig//aspS//yfeX//nrfD//ldtD//rnt//rhaM//eptC//cadA//argC//guaD//rsmD//iscS//phnP//der//ilvA//hyaA//alsK//ldtC//trmI//mutT//proB//tatD//
go_0034220_6	nanK//betA//rluD//tilS//pgpC//bacA//
go_0034224_6	
go_0034227_8	yjiA//
go_0034258_8	tdh//
go_0034260_5	
go_0034289_7	der//
go_0034337_3	yidA//
go_0034355_7	uvrA//arnT//metK//eutD//
go_0034401_5	
go_0034414_9	csdA//
go_0034421_8	mngB//
go_0034470_8	glgX//
go_0034552_7	
go_0034599_5	aroH//mpaA//hyaB//dut//abgB//
go_0034605_5	ampD//hisI//
go_0034614_6	folX//
go_0034620_6	tmcA//
go_0034628_9	ackA//dgcZ//ilvC//fucA//fcl//
go_0034635_6	prmC//
go_0034644_7	rlmD//
go_0034661_7	
go_0034775_7	etk//gltB//
go_0034983_9	menC//ddlA//
go_0035235_6	tpiA//slt//pgm//
go_0035307_9	
go_0035335_8	yqhD//menE//
go_0035344_8	deoC//paaB//
go_0035350_6	ogt//
go_0035429_8	metE//gmhB//ilvB//prpD//ybiV//lplA//
go_0035433_7	ppx//
go_0035434_9	moaA//
go_0035435_9	ilvE//amiD//rfaD//ahpC//
go_0035442_7	sdaB//rluC//tadA//mutY//gabD//ttdB//nrdF//
go_0035443_7	hpt//folX//acpS//
go_0035444_9	dkgB//trmO//pdxK//gmhB//
go_0035461_6	dgcT//
go_0035524_8	ycaO//
go_0035552_6	yieH//
go_0035553_6	argF//
go_0035556_4	
go_0035600_8	pgaD//
go_0035672_6	rluB//yrfG//truD//
go_0035725_9	glgP//cysQ//metG//narH//ldtC//
go_0035784_9	ldhA//
go_0035864_6	
go_0035873_8	ftnA//hcaD//
go_0035999_5	nirB//moeA//glnE//
go_0036001_7	fadD//
go_0036047_9	eptC//
go_0036049_9	fabB//
go_0036088_6	mtn//
go_0036104_6	nagA//phnI//
go_0036172_6	gatD//
go_0036214_3	
go_0036265_6	ushA//
go_0036289_9	mltB//gpmM//
go_0036448_6	yagE//paaZ//
go_0036460_5	
go_0036506_5	
go_0036525_7	
go_0038083_9	trpD//entA//
go_0040033_9	
go_0042026_4	frdA//kdsA//nadK//gatZ//
go_0042126_5	ubiG//
go_0042128_5	
go_0042150_7	epmC//
go_0042157_5	
go_0042158_6	kdsA//frlB//
go_0042177_7	
go_0042182_5	queC//
go_0042219_6	
go_0042245_7	glcB//ribB//fabZ//
go_0042254_5	coaE//
go_0042255_6	
go_0042274_5	alaA//
go_0042304_7	
go_0042351_7	wecB//
go_0042355_8	polB//argC//nadC//torC//glcF//ppiA//
go_0042371_7	fbp//
go_0042413_6	paaF//fadK//
go_0042450_7	pdxK//phnI//recF//malY//alsK//idnK//
go_0042454_7	aroH//
go_0042493_4	waaG//araB//recJ//hemA//fucA//paaA//waaA//oxc//ulaG//mocA//purD//ubiC//yjiA//
go_0042538_6	puuA//cadA//fkpB//
go_0042542_5	dmlA//gcvH//rlmD//purC//
go_0042545_5	fabD//
go_0042594_4	rsmA//pheA//pdxY//sucB//
go_0042619_6	
go_0042710_4	rnb//ubiX//glpA//rluC//panD//ugd//sucB//murI//
go_0042732_6	paaK//
go_0042744_6	dapA//cobU//
go_0042759_7	folD//
go_0042773_6	arnB//
go_0042777_8	
go_0042780_10	hisH//aroF//
go_0042817_5	hcaE//
go_0042819_6	glxK//
go_0042823_6	mdh//rsmI//dcm//ftnA//
go_0042838_6	yihS//glcB//mutM//proC//
go_0042840_7	rnb//mdh//prs//sbcB//avtA//kdsD//
go_0042843_7	hcaC//gstA//
go_0042846_8	wcaJ//
go_0042852_9	rluD//
go_0042867_8	mhpC//
go_0042873_7	fucA//
go_0042882_10	idnO//pfkB//
go_0042884_7	ogt//aroL//cysM//
go_0042885_8	ssuD//
go_0042891_6	fkpA//tdcD//paoC//ycaO//sthA//waaA//valS//
go_0042906_8	ulaG//rnt//pta//
go_0042908_5	rlmJ//
go_0042914_8	gdhA//
go_0042918_6	rsmI//pdxB//
go_0042919_6	
go_0042920_6	thrS//
go_0042928_7	
go_0042930_7	thiM//folD//moeB//rpiB//yjiA//rnd//fadA//yciV//sdhA//lysC//
go_0042938_8	moeB//uxaA//yfaU//
go_0042939_8	lysC//
go_0042941_8	ssuE//
go_0042942_6	ymdB//sucA//
go_0042953_6	
go_0042956_8	lipB//gadA//
go_0042968_8	surA//puuB//gcvT//
go_0043039_6	ddlB//pldB//mazG//
go_0043041_6	aroB//tdcG//
go_0043085_5	ychF//rluD//gabT//
go_0043086_5	tsaE//
go_0043093_3	rihB//lsrG//epd//pldB//
go_0043097_6	argS//yeaE//
go_0043099_7	aes//
go_0043100_6	epmA//
go_0043102_5	dmlA//
go_0043103_7	yfcF//
go_0043137_6	pepD//adhP//
go_0043150_8	
go_0043157_6	dhaL//
go_0043164_6	ybjG//otsB//dam//ribE//glcD//recJ//yggF//
go_0043165_6	glmS//proC//
go_0043171_5	bioB//fadE//cysN//pcm//cobU//
go_0043200_5	
go_0043201_6	
go_0043213_7	fbaA//glxR//
go_0043254_5	
go_0043335_3	hisD//sdaA//ppiC//hyaB//kdsB//
go_0043433_5	apaH//ppiC//menA//
go_0043442_6	pyrG//
go_0043456_6	ispH//
go_0043462_6	truB//
go_0043470_6	
go_0043471_6	
go_0043488_5	argE//puuA//waaS//
go_0043547_7	
go_0043571_7	arnT//
go_0043610_4	cynT//guaD//abgA//
go_0043686_7	mraY//
go_0043687_7	dapF//fadD//citG//pabC//pyrD//
go_0043708_5	sdaB//
go_0043709_6	sodB//
go_0043711_5	
go_0043952_7	
go_0043953_7	pgsA//
go_0044010_5	ahr//waaO//bglA//ilvD//rbsK//ftsI//
go_0044011_4	sucC//
go_0044036_5	sucC//acnA//recO//
go_0044038_6	hycB//lysS//
go_0044092_4	
go_0044179_5	
go_0044208_7	ispG//
go_0044238_3	glxK//insI-1//alaA//rlmH//
go_0044248_4	
go_0044255_4	
go_0044262_4	gatD//cheR//
go_0044273_5	uxuB//
go_0044275_5	panD//
go_0044349_6	
go_0044355_6	paaZ//
go_0044532_6	
go_0044659_7	yrfG//
go_0044718_6	ddlA//
go_0044764_3	
go_0044780_6	adeD//
go_0044781_5	
go_0044787_5	xapA//
go_0044874_7	
go_0045004_7	deoC//asd//metH//
go_0045013_7	
go_0045226_7	panD//mtlD//cysE//speC//wrbA//mtgA//
go_0045333_5	paaH//nrdA//
go_0045337_6	garK//
go_0045454_4	dgcZ//queD//waaH//napB//bioH//upp//kbaZ//
go_0045471_5	argD//hyaC//
go_0045717_8	bioD//dgoA//
go_0045719_8	
go_0045723_8	
go_0045727_8	
go_0045732_7	
go_0045733_6	yjjG//fucK//
go_0045819_8	
go_0045828_7	
go_0045848_5	
go_0045859_7	
go_0045861_8	
go_0045862_8	
go_0045883_5	
go_0045892_8	hdhA//rutE//ubiH//frc//fadA//
go_0045893_8	rlmH//paaB//
go_0045900_9	
go_0045903_5	uxaB//
go_0045912_6	psd//hemH//napB//
go_0045926_5	
go_0045936_8	
go_0045947_9	gntK//glcB//
go_0045975_9	
go_0045990_6	
go_0046037_8	nadE//
go_0046040_8	tyrA//
go_0046047_8	paaH//
go_0046050_8	cyaA//rlmI//dgoA//
go_0046052_8	paaH//
go_0046061_8	panB//
go_0046076_8	thiM//
go_0046081_8	yfcG//yagF//
go_0046086_6	eptC//
go_0046098_7	speC//
go_0046100_7	lgoD//
go_0046101_6	dxs//pepD//
go_0046103_9	mhpB//
go_0046104_8	psd//
go_0046115_10	hemG//
go_0046133_8	gdhA//kefF//
go_0046166_6	guaB//
go_0046168_6	gpmM//yfdR//
go_0046176_6	adk//polB//puuE//nrdD//
go_0046177_7	paaJ//rffT//rfbD//rfaD//
go_0046181_7	pgaC//
go_0046183_7	waaC//dmsC//ribA//
go_0046187_6	entE//
go_0046196_5	etp//
go_0046210_6	ilvD//iaaA//menF//
go_0046214_6	rluE//
go_0046256_7	hemC//ynfE//
go_0046271_5	tdcB//
go_0046279_6	sbcB//
go_0046292_4	acs//
go_0046294_5	tauD//hinT//
go_0046296_6	manA//fbaA//glpA//
go_0046306_6	moaE//ftsI//
go_0046323_10	aceA//
go_0046325_8	
go_0046336_6	mdh//
go_0046342_8	accA//
go_0046348_6	fabG//adk//
go_0046365_5	pykA//
go_0046392_7	hisS//purC//sufS//yagE//
go_0046397_6	
go_0046416_6	kdsC//
go_0046452_6	purN//
go_0046459_6	yegS//
go_0046470_5	
go_0046474_6	csdA//galT//dam//folM//pcm//ydfG//
go_0046487_5	thyA//
go_0046501_6	purB//
go_0046618_6	rluD//yfeW//ftnA//panD//pdxY//queC//
go_0046654_7	gpmM//cysE//hisH//torY//ftsI//
go_0046655_5	yeaG//
go_0046656_6	glpD//ribB//tdk//pgm//torZ//adk//
go_0046657_6	yajO//
go_0046677_4	ybhA//treF//dgcM//phnH//menD//birA//nanA//ampH//phoA//malS//yajO//asnS//mhpC//tpiA//adeD//narG//fes//fadA//rluC//mnmC//rutA//rfbD//ispF//dnaQ//fucK//hisC//paaZ//narG//aroH//yciA//slyD//
go_0046685_4	hpt//dcyD//
go_0046686_6	folA//
go_0046688_6	mcrB//adhE//
go_0046690_5	talB//pdxA//
go_0046710_8	chbF//
go_0046718_8	gadB//pdxH//
go_0046777_8	waaJ//dgoD//ubiI//
go_0046834_6	kbaY//
go_0046835_5	serS//aceA//pinE//rnb//citG//yjiA//yeiG//leuB//mtn//rlmA//ribE//torC//tdcD//aes//yeaG//glpD//tpiA//hyi//pdxJ//galT//gltD//
go_0046836_7	aroE//
go_0046839_6	chbG//
go_0046855_6	menA//
go_0046892_8	
go_0046901_7	prs//
go_0046939_7	dacD//fucO//apaH//adiA//
go_0046942_7	galU//hemE//yjcS//
go_0046944_7	proB//
go_0047484_6	
go_0048034_6	argG//
go_0048255_6	
go_0048473_8	gpmA//
go_0048518_4	
go_0048870_3	xdhB//
go_0050427_5	ligB//
go_0050667_6	mcrA//sdaA//
go_0050779_5	glmU//
go_0050790_4	astC//metG//
go_0050821_5	ilvD//nrfC//
go_0050918_5	ynfH//alkB//
go_0050919_5	yeaG//
go_0051050_5	
go_0051083_5	thiL//
go_0051085_5	cysD//asnA//
go_0051090_4	paaF//
go_0051091_5	rutC//
go_0051131_7	
go_0051143_8	idnD//
go_0051156_5	rrrD//
go_0051171_5	
go_0051188_5	betA//
go_0051191_6	allD//
go_0051205_6	
go_0051224_6	
go_0051252_6	
go_0051258_7	
go_0051260_7	frmB//dmsB//
go_0051270_5	
go_0051271_6	idi//truA//
go_0051274_8	
go_0051276_5	
go_0051289_8	waaC//dut//acnA//glyA//truA//srlD//upp//acnA//aes//ribC//plsB//treC//scpB//moaE//sdhA//rlmH//upp//cdd//metK//hcp//hisC//yjhH//ycjU//ribA//rsmD//pgsA//umpG//paaB//nrdB//serB//clsC//fumB//
go_0051301_3	solA//yjiA//frlB//wrbA//kdgK//paoC//serS//rutA//
go_0051302_5	
go_0051304_4	fucI//
go_0051338_5	
go_0051345_6	
go_0051346_6	tsaC//
go_0051347_6	
go_0051349_6	
go_0051353_6	moaA//
go_0051391_8	nrfC//
go_0051409_4	allC//
go_0051410_3	yciV//
go_0051452_10	xthA//
go_0051453_9	asnB//
go_0051454_10	hchA//dgcT//pgaC//yagF//plsB//
go_0051476_7	waaH//
go_0051484_7	serS//
go_0051495_8	
go_0051595_6	torC//pagP//
go_0051596_6	fadH//entF//panB//aceB//
go_0051599_4	
go_0051603_6	nfi//ampH//
go_0051604_5	valS//aspC//garD//
go_0051607_4	rfe//glgB//
go_0051649_4	
go_0051668_4	
go_0051692_6	ansA//gpmM//
go_0051704_2	menB//menE//
go_0051715_4	
go_0051716_3	
go_0051726_5	
go_0051781_6	yghU//
go_0051782_6	
go_0051977_7	
go_0051983_5	
go_0052131_6	
go_0052547_6	
go_0052653_5	
go_0052777_7	etp//fabD//
go_0052778_6	bcsA//
go_0052837_6	bcsA//
go_0055070_10	gloB//
go_0055072_10	fadM//etk//
go_0055085_5	rffC//rfbB//pta//pepD//dhaM//nemA//glpX//sad//hemC//ulaF//hcaE//aceA//speB//galU//eptB//rlmG//sdhA//lpxC//mngB//hisC//plsB//gltD//nrdF//entC//murQ//dapB//alkB//ilvD//queA//aroL//adhE//umpG//pdeH//rne//citC//yagE//rlmB//nadC//ribF//ispU//gpt//leuB//bglX//ubiG//tsaD//paaG//dapD//sdhC//dcm//truB//eptA//mrcB//tdk//nrfA//argK//ldhA//aldB//nadD//gmk//rutB//hyaB//mnmA//leuC//maa//dusB//ascB//waaF//tgt//adhE//hemG//trpS//guaC//murD//dxs//glyA//frc//polB//yigL//sufS//gor//
go_0055086_4	pgpB//pyrC//
go_0055114_3	kdsC//rlmL//ilvC//xapA//ubiF//fabB//metG//roxA//cpsG//rnpA//waaB//garR//yccX//pykF//yidA//gltB//xthA//murG//add//ahr//ribC//yjhH//glpX//aldB//dfp//tktB//phnN//wcaJ//dgkA//mraY//wzc//rnpA//wecB//pyrF//nfi//ghrB//glmS//narY//apaH//mutT//dcm//hcp//pck//dld//
go_0055129_5	mog//argA//gcl//
go_0055130_8	acpH//hmp//
go_0060003_10	ldtB//ubiF//
go_0060274_5	insI-1//
go_0060326_5	sodA//
go_0060566_8	
go_0060567_8	
go_0060699_8	
go_0060702_9	dgoK//
go_0061077_4	glpD//waaH//trmA//glmU//galT//
go_0061475_9	sdaA//
go_0061504_8	waaJ//
go_0061610_5	pdeH//
go_0061615_7	pfkA//ubiA//
go_0061720_5	dld//cfa//dnaQ//
go_0065002_6	metH//
go_0065007_2	proA//
go_0070084_7	pdxB//
go_0070178_5	argB//
go_0070207_8	hcaB//aroK//sdaA//
go_0070298_8	
go_0070301_6	rhaB//rsmD//
go_0070329_5	nrdA//
go_0070413_7	cysS//
go_0070415_6	idnK//serA//
go_0070417_5	ribA//
go_0070453_7	argB//
go_0070475_7	sucD//dgkA//def//argK//scpB//glcF//fabA//ileS//sdhC//tdk//rsmE//lpoA//mngB//yigB//gpsA//queG//rsmC//nudG//purN//
go_0070476_7	treC//ascB//
go_0070482_4	proB//
go_0070574_9	narY//prpD//thiG//citX//
go_0070581_8	
go_0070588_9	
go_0070689_6	cmoA//pyrF//
go_0070726_5	uvrB//metB//
go_0070778_6	agp//gloB//
go_0070894_6	
go_0070930_7	
go_0070981_6	frdC//
go_0070989_4	dhaL//
go_0071139_6	
go_0071218_6	ndh//
go_0071229_5	
go_0071230_6	citC//
go_0071236_5	menE//purF//adk//
go_0071237_6	
go_0071243_5	ligA//
go_0071248_6	
go_0071249_6	
go_0071250_6	
go_0071266_6	patA//
go_0071271_7	ycaO//
go_0071276_7	
go_0071280_7	coaD//
go_0071284_7	
go_0071286_7	
go_0071287_7	
go_0071288_7	thiM//rsmF//
go_0071289_7	nagA//
go_0071291_6	atoB//
go_0071292_7	tnaA//
go_0071294_7	arnB//
go_0071310_5	
go_0071421_9	uxaC//allB//napA//
go_0071422_7	frdD//abgB//moaD//
go_0071423_8	hemG//
go_0071454_5	ulaF//purF//
go_0071456_5	
go_0071467_5	
go_0071468_6	galT//ynfF//ldtD//fcl//
go_0071470_5	
go_0071474_6	metF//selB//argH//
go_0071500_5	katG//
go_0071502_5	
go_0071555_4	gdhA//purA//yggF//umuD//gdhA//ssuD//thrA//gph//
go_0071577_9	pykF//allC//ynfF//waaL//dkgA//ppsA//
go_0071705_5	
go_0071731_5	
go_0071732_6	purT//
go_0071769_5	
go_0071805_4	tyrS//deoC//paaH//tadA//alkB//yciV//cpsB//yeiG//nadB//
go_0071806_6	pheS//hcaB//
go_0071807_8	
go_0071897_6	glnS//yfaU//bioF//folC//sgbH//leuS//
go_0071915_9	lpd//
go_0071932_8	yigL//
go_0071934_6	yeaG//
go_0071945_7	
go_0071951_8	astC//
go_0071963_4	
go_0071973_6	guaB//
go_0071977_5	
go_0071978_7	
go_0072321_6	
go_0072323_7	
go_0072344_7	hyi//abgA//
go_0072348_5	fadI//
go_0072488_7	fdhF//
go_0072511_7	garD//
go_0072531_6	cdd//
go_0072581_9	pdxB//
go_0072714_5	
go_0075713_7	
go_0080111_4	dadA//mtlD//
go_0089705_7	
go_0089709_7	deoA//rluF//
go_0090071_6	
go_0090116_7	phnI//
go_0090143_4	
go_0090305_6	fbp//rsmJ//bglB//umpH//frlB//coaE//aroH//gloB//metL//polA//selD//yjjG//coaD//cmk//lpxK//dsdA//carA//pgpA//mtlD//truD//purB//ndk//fabB//coaE//metG//cfa//rluA//rluD//entF//queC//ushA//glnS//udk//tag//mog//galK//hdhA//fumA//lpxP//waaQ//rimK//rffT//
go_0090313_8	
go_0090347_6	
go_0090352_6	
go_0090357_7	
go_0090358_8	
go_0090501_7	pldB//srlD//purA//hisF//ldhA//rrrD//hisA//serC//ldtE//gpt//proC//adhE//
go_0090502_8	asnA//nudC//trmD//gltD//atoB//pgpC//aceB//entE//dmsB//moaA//yjjG//fadE//nth//nfi//tcdA//fabG//folE//
go_0090503_8	pgaB//pykA//opgE//gutQ//aroL//murA//thrS//tsaC//sodA//
go_0090529_5	
go_0090540_10	ribC//
go_0090549_5	
go_0090609_6	ogt//
go_0097056_7	rsmJ//
go_0097264_6	trmO//
go_0097304_7	aceB//
go_0097339_7	hcaF//
go_0097428_6	rnd//fabZ//
go_0097502_4	cysH//
go_0097510_7	ansB//
go_0097533_5	
go_0097638_8	trmD//
go_0098002_8	
go_0098655_7	araD//rbsD//dcm//guaC//prs//fadA//lacZ//der//thrS//otsB//glpB//glmS//pgm//ndh//apt//
go_0098656_7	dfp//
go_0098707_10	
go_0098708_8	phnP//ubiF//
go_0098710_7	folD//amyA//
go_0098713_8	pta//bioA//
go_0098719_9	
go_0098732_6	argC//
go_0098795_9	trmH//
go_0098869_4	yihT//wecB//fadD//wzc//fucA//pgm//fabZ//dcd//lpd//mtgA//fes//bglX//speG//uxaC//panB//
go_0099131_7	rhaM//
go_0099132_7	moeA//kbaY//betA//galT//dgkA//metH//orn//ygeX//
go_0099133_8	pldB//hcaE//aroA//pgsA//nfi//ogt//uxuA//paaJ//fumA//garL//fadI//speA//
go_0101030_8	pnp//
go_1900190_5	aroB//
go_1900191_6	
go_1900192_6	
go_1900231_6	astC//
go_1900232_7	
go_1900233_7	mug//
