#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct 10 15:03:56 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/datasets_bnumbers/gos_bnum.txt
GO_0000018_7	b0972//b1692//xisR//b2897//
GO_0007154_3	b1034//b3689//b4381//b4129//b2212//b3491//b3960//b3191//b2105//b3781//b1478//b3232//b3006//b0674//b1201//b1584//b3789//b3826//b2735//b2184//b2521//b0853//b3719//b3141//b1533//b3428//b2253//b1297//b0383//b0208//b2306//b4399//b2264//b0983//b2367//b3860//b2079//b2867//b0307//b0776//b1038//b1696//b3833//b3736//b1010//b2409//b2061//b4550//b1883//b3463//b3306//b0265//b4316//b3903//b4468//
GO_0007155_3	b0914//b0340//b2865//b0826//b2162//b0467//b1388//b4305//b0937//b3775//b1096//b1387//b4347//b3203//b2993//b3590//b4483//b0143//b0466//b2532//b1663//b1105//b3178//b3624//b4073//b0083//b3687//b2600//b4381//b2981//b4098//b4687//b3342//b2015//b3049//
GO_0007163_3	b1853//
GO_0007165_3	b0194//b3786//b1677//b0125//b0737//b2011//b2029//b2366//b3047//b2888//b1638//b0423//b4384//b1619//b2998//b3386//b3203//b4225//b0423//b0406//b2556//b2385//b2023//b0998//b0601//b0325//b3955//b2470//b4161//b2622//b3641//b2103//b2469//b0194//b1892//b3361//b0304//b0794//b0440//b3717//b1740//b3509//b3172//b3310//b2155//b2130//b4187//b2997//b0305//b4309//b1590//b2796//b0718//b2143//b0318//b1145//b1113//b0726//b0264//b3347//
GO_0007166_4	b0638//b3930//b0693//b3512//
GO_0007215_5	b4383//b0048//b2715//b3260//
GO_0007231_4	b3904//
GO_0007234_5	b3010//
GO_0007267_3	b3563//b4043//
GO_0007346_6	b1202//b2787//b4485//
GO_0007584_4	b4125//b1281//b3546//b4409//
GO_0008033_9	b1696//b3244//b2091//b1218//b4151//b3361//b2897//b0226//b2793//b2975//b3110//b3232//b0307//b1054//b3163//b2798//b2109//b1207//b0532//b1263//b3751//b3478//b4306//b3247//b1184//b0827//b4027//b0386//b0879//b3784//b0603//b3981//b3752//b3403//b0480//b0365//b0504//b1289//b3737//b4586//b0256//b2796//b3907//b3780//b3540//b2751//b3725//b0642//b2592//b3867//b0171//b0068//b1253//b2206//b1384//b4203//
GO_0008104_4	b0771//b2614//b2500//b2577//b0758//b1602//b1614//b2193//b3244//b3035//b3133//b2262//b3963//b3637//b4079//b0573//b1245//b1831//b1015//b3730//b0830//b0597//b3518//b1956//b4358//b4133//b2437//b0846//b1082//b3719//b4015//b2125//b3241//b0239//b1165//b3312//b2748//b0170//b4240//b1922//b3934//b1740//b3671//b3974//b0153//b3251//b2901//b4115//b0110//
GO_0008156_8	b2716//b2677//b1633//b1266//b2506//b3832//
GO_0008202_5	b0465//
GO_0008206_5	b4036//
GO_0008213_7	b0535//b3637//b1258//b0041//b0783//b1224//b3400//b4378//
GO_0008216_5	b1622//b0162//b2797//
GO_0008219_3	b1943//b3846//b0030//b2285//b1096//b2630//b4304//b3139//b3344//b0010//b2519//b3011//b1439//b3782//b3047//
GO_0008272_6	b1594//b1520//b0855//b0112//b3543//b2437//b1879//
GO_0008295_6	b3878//b0570//b1539//
GO_0008299_5	b2520//b1178//b3357//b1447//b3834//b0633//
GO_0008360_4	b0942//b3784//b1347//b3126//b3238//b0068//b0730//b3310//b2528//b4033//b3167//b0426//b3584//b3833//b2938//b2571//
GO_0008361_5	b2263//b2052//b4252//b3432//b2996//
GO_0008380_8	b4194//
GO_0008610_5	b3406//b0239//b3349//b0979//b0188//b2053//b1178//b2193//b2017//b4520//b2414//bioD1//b2838//b0090//b2430//b1441//b3599//b2943//b0912//b1878//b0099//b3566//b2839//b4050//b0357//b2741//b3481//b4194//b1336//b0880//b0557//b1127//b0900//b0161//b1109//b3882//b0726//b1741//b0803//b3167//b0368//b2537//b0124//b2893//b0301//b1477//b3199//b3522//b1741//b0841//b1280//b0191//b0369//b1926//b2670//b1349//b1718//b2308//b4193//b3040//b0027//b2730//b4291//b0871//b2148//b0162//b3533//
GO_0008614_5	b2179//b4478//b2798//b3082//b0104//b2023//b0228//
GO_0008615_6	b3743//b4468//b3893//b1397//b4094//b4506//b2793//
GO_0008616_8	b1827//b2955//b3234//b3105//b1328//b3556//b1317//
GO_0008617_9	b1041//
GO_0008643_6	b4125//b0007//b4084//b3899//b4299//b0462//b3894//b3006//b3320//b2338//b2770//b2150//b2518//b2103//b3192//b4154//b1430//b2896//b1165//b1112//b1245//b1350//b1162//b0312//b1492//b2202//b2627//b3737//b4618//b3117//b1234//b3558//b1398//b1207//b1261//b2957//b3543//b3512//b2704//b3073//b2378//b2382//b1093//b3909//b3917//b4324//b2207//b4375//b0526//b0094//b0441//b2761//b2113//b0429//b1473//b4144//b0428//b2544//b1224//b2753//b3010//b1824//b0844//b3917//b2170//b4173//b2198//b3918//b4159//b3919//b3974//b2927//b4042//b4024//b2762//b2567//b2261//b1953//b1448//b2147//b3307//b4203//b0116//b2757//b3025//b0604//b3958//b1625//b3493//b1621//b4524//b3515//b0214//b1756//b3132//b1990//b2980//b3916//b3729//b2306//b3701//b3668//b2662//b1713//b2418//b3849//b4166//b2423//b2965//b3073//b1815//b2491//b2828//b3835//
GO_0008645_8	b3163//b0422//b3894//b0635//b2871//b0155//b4120//b0586//b0928//b1832//b1477//b0758//b2105//b4401//b3296//b2202//b2756//b0090//b1512//b1127//b0633//b0755//b3414//b0262//
GO_0008652_5	b0191//b4381//b3421//b3457//b4252//b3132//b3132//b4539//b2314//b3008//b1921//b1709//b1105//b2922//b3900//b1518//b3582//b3775//b4090//b3576//b0158//b3591//b0968//b2385//b3105//b0649//b0757//b4363//b0812//b3281//b0911//b1508//b1767//b2498//b1349//b1552//b0328//b0678//b1041//b1881//b0755//b3635//b2883//b4392//b2023//b0382//b2725//b2913//b0863//b0630//b3918//b1633//b3316//b2435//glsB//b3139//b4323//b3591//b2114//b0347//b3143//qorA//b0853//b0006//b3351//b0185//b3426//b2531//b2106//b2062//b4152//b0683//b1342//b4373//b0593//b1812//b2292//b2147//b0830//b1112//b3067//b1798//b3895//b4513//b1508//b4092//b0401//b0983//b1410//b1723//b0586//b3269//b1329//b3986//b0212//b0240//b2518//b2129//b0225//b4254//b3925//b4003//b4358//b0634//b1009//b4266//b3748//b3989//b1072//b2344//b3904//b1319//b0564//b2236//
GO_0008653_5	b0441//b0740//b0185//b4471//b2789//b2128//b2241//b4116//b2069//b3393//b0607//b4100//b2943//
GO_0008654_5	b3456//b0779//b3023//b2674//b1902//b3165//b2508//b1166//b3667//b3268//b2329//b0356//b0946//b0550//b1434//b2023//b1618//b4386//b0486//b3136//b0474//b1882//b0956//b2314//b2164//b4702//b0460//b1225//b2066//b1466//b4084//b1220//b0429//b4179//b0098//
GO_0008655_5	b1035//b1347//b0134//b0413//b3676//b0972//b3936//
GO_0009050_6	b4269//b4035//
GO_0009052_6	b3725//b0573//b1166//b0524//b4046//b1107//b3721//
GO_0009056_3	b0031//b3517//b3993//b1112//b3361//b2697//b3021//b3601//b4288//b1698//b0545//hiuH//b3949//b1035//b0294//b1272//b0184//b1222//b3703//b1131//b2661//b0958//b1412//b4453//b2802//b2835//b1175//b3298//b1888//b0846//b4146//b2048//b3223//b1518//b1748//b1827//b3519//b3451//b4665//b2255//b0466//b1804//b3588//b4326//b1275//b3839//b1041//b0824//b0476//b1780//b3185//b2961//b0824//b3588//b4602//b3909//b2927//b3562//b1866//b2157//b1206//b2213//b3699//b2386//b2058//b3011//b1186//b1821//b3367//b2451//b0535//b0156//b1260//b0446//b1258//b2556//b3953//b1159//b0272//b1812//b4544//b2963//b1109//b2386//b4305//b4222//b2349//mltG//b3053//b2619//b3156//b1831//b4040//b3687//b0400//b2870//b3072//b2510//b2263//b4116//b2939//b3430//b0784//b2424//b4304//b2943//b2748//b2064//b1445//b2926//b3572//b0254//b3037//b2258//b0469//b1245//b2584//b0078//b3232//rpnB//b0154//b1785//b3601//b1545//b0433//b2690//b1960//b4559//b3829//b3387//b3883//b1710//b1247//b0611//b0739//b3070//b3035//b3234//b3457//b3582//b2933//b4528//b3075//b2753//b3824//b3931//b3622//b3654//b0755//b0002//b4119//b0047//b1049//b1236//b3300//b3594//b2556//b1701//b3456//b0064//b2631//b0133//b2801//b0900//b3140//b0492//b2370//b3206//b1783//b3872//b4249//b2624//b1091//b2425//b0110//b0490//b1679//b1684//b2704//b1914//b4178//b4073//b0557//b3722//b2634//b0683//b3421//b4220//b1189//b1343//b3365//b4347//b2503//b0733//b2798//b0914//b4099//b2569//b3993//b3206//b2619//b3428//b3193//b2943//b4112//b2023//b3125//b0276//b1516//b3343//b2954//b2934//b2241//b0993//b1676//b3994//b3401//b0802//b2481//b2209//b1124//b2441//b3629//b4301//b1037//b2159//b2291//b3188//b3626//b3850//b2082//b3317//b1126//b3447//b0368//b3469//b0528//b2762//b0678//b0876//b2456//b1292//b0644//b2913//b0896//b1207//b1748//b1250//b0033//b0152//b1468//b1897//b1096//b1738//b1575//b2611//b1818//b3787//b3729//b2430//b4237//b1128//b0983//b1277//b1119//b1531//b1276//b2261//b4125//b0892//b1199//b3910//b4138//b0226//b0318//b1379//rpnA//b0486//b2595//b2821//b3131//b0887//b2742//b2811//b2409//b2026//b3498//b3952//b3720//b3178//b0524//b4291//b2521//b0179//b1197//b3441//b1593//b1597//b4262//b0419//b3176//b3624//b2538//b2498//b2568//b4245//b1606//b0357//b3089//b3543//b1071//b0052//b4000//b1090//b3480//b2939//b0341//b4041//b0240//b3682//b3686//b0450//b0967//b0182//b0998//b3648//b1656//b3194//b1061//b4090//b3528//b3687//b3168//b2998//b3811//b3477//b1103//b3244//b2780//b1679//b0807//b2674//b2232//b3241//b2023//b2095//b1197//b1317//b0792//b3376//b0927//b0974//b1540//b3020//b1307//b3010//b4478//b0595//b0339//b0697//b4388//b3932//b3028//b2256//b0770//b3746//b4249//b0942//b3519//b0113//b3671//b1841//b3909//b3384//b3943//b0099//b2994//b0531//b2027//b0710//b3952//b3628//b2831//b0695//b3706//b2470//b0981//b4222//b3298//b1778//b3844//b0859//b2563//b2748//b3835//b1238//b3509//b1896//b1600//b2027//b0611//b3365//b3832//b2067//b2759//b0778//b2991//b1413//b3287//b1778//b4193//b3358//b3252//b3399//b2954//b0853//
GO_0009057_5	b4464//b1306//b0025//b3986//b0009//b3630//b3643//b0963//b3117//b0420//b0357//b2424//b2520//b1749//b3888//b3365//b2838//b3846//b0750//b2947//b1339//b2540//b1301//b0799//b0674//b0862//b0619//b2497//b0415//b3578//b3450//b2065//b4064//b0022//b3408//b4318//b2561//b0677//b2757//b2995//b3805//b2106//b3833//b3766//b2483//b0982//b0040//b1650//b0085//b2799//b3071//b1507//b0022//b3401//
GO_0009058_3	b1352//b3336//b4301//b1392//b3860//b0231//b4289//b1881//b3131//b1282//b0970//b1686//b4238//b2066//b3431//b3376//b1652//b4195//b2810//b1013//b2336//b0167//b1882//b1265//b1891//b3685//hxpA//b2330//b4147//b0854//b2168//b3455//b2779//b2662//b0465//b0932//b0184//b0175//b0918//b3300//b0570//b0653//b2183//b0709//b2615//b1992//b1883//b3125//b0051//b3243//b2436//b4501//b1424//b0608//b1092//b2575//b4393//b0857//b1557//b4539//b2159//b3236//b0996//b0449//b1511//b3456//b1100//b1927//b2163//b1515//b3172//b2069//b3985//b2787//b0024//b4705//b3234//b2991//b0782//b3670//b1066//b0532//b1135//b2179//b4315//b0905//b0167//b1735//b2316//b3454//b3697//b2611//b1002//b0584//b2757//b0273//b2323//b3298//b4687//b0983//b3918//b4557//b0368//b3910//b1391//b2483//b3728//b2789//b2622//b4235//b2389//b2701//b0599//b1703//b4192//b3883//b2925//b2561//b0806//b0758//b2515//b2146//b2268//b0678//b4173//b3288//b2575//b3615//b2292//b1994//b4391//b2992//b1079//b1244//b2442//b2813//b4245//b1025//b1780//b3500//b1919//b1234//b2976//b2147//b1291//bioD2//b3005//b0214//b0049//b1035//b3170//b3294//b2216//rpnB//b1879//b0073//b3850//b0524//b1853//b1683//b2510//b2219//b0921//b1922//b3299//b3297//b0198//b3230//b0844//b0420//b0912//b1563//b2380//b1976//b2364//b0064//b4070//b1767//b0877//b3355//b2584//b0110//b3344//b1037//b2344//hprS//b2528//b2792//b2132//b0368//b2751//b0173//b2742//b2830//b2350//b1508//b1849//b3497//b2702//b1038//b2314//b2284//b4133//b3138//b1888//b1256//b3622//b3479//b0092//b3478//b0575//b2753//b4252//insI4//b1736//b4094//b4355//b3704//b1376//b0284//b1307//b1225//b3616//b2217//b2154//b4129//b2399//b1071//b0904//b2955//b1724//b2469//b0034//b3264//b2587//b2536//b2580//b0708//b4077//b0545//b3637//b4261//b0597//b1710//b2599//b1866//b1010//b2130//b0058//b1058//b0998//b0511//b3846//b2183//b1814//b2407//b2624//b0577//b2906//b0751//b3883//b3225//b3251//b4019//b3729//b3201//b2916//b2896//b1135//b2733//b2542//b0601//b1992//b2265//b0880//b1163//b0940//b4198//b2354//b3046//b2385//b3470//b2830//b2913//b0983//b0089//b0241//b4173//b0892//b2184//b1349//b4255//hexR//b0731//b0683//b3479//b2264//b1279//b1703//b2581//b0220//b2897//b4025//b2924//b3972//b1508//b1661//b1841//b1439//b0920//b4118//b0871//b0657//b3516//b0440//b0722//b4224//b2125//b4041//b2265//b1186//b2421//b0722//b4231//b1713//b0172//b3993//b0521//b2263//b1656//b2378//b3945//b1895//b3331//b3407//b3124//b3542//b3683//b1018//b2760//b4682//b3116//b4355//b4125//b1676//b2560//b2914//b2058//b3360//b1282//b2168//b4149//b3625//b1395//b1058//b0571//b4339//b3926//b3056//b0709//b3974//b4189//b0591//b1871//b3066//b1166//b1422//b4162//b4467//b3260//b1678//b0730//b4258//b0433//b0693//b2134//b2837//b2146//b3020//b1917//b2516//b0824//b0243//b4016//b3562//b1635//b2869//b2580//b3834//b1384//b2103//hxpB//b1178//b2962//b0428//b1780//b3406//b2212//b1732//b1448//b3732//b3290//b2634//b0685//b3566//b1761//b0990//b2165//b4046//b2741//b4520//b4137//b3228//b0863//b1597//b2133//b1656//b4172//b0628//b1827//b2047//b2631//b1218//b3037//b4242//b1945//b2584//b2340//b2417//b2441//b1600//b0755//b2519//b3095//b1467//b0397//b0087//b0032//b0071//b2828//b1206//b2253//b4052//b2041//b1182//b0265//b0231//b3652//b1833//b1123//b3509//b3742//b3179//b2162//b2076//b0305//b2029//b1022//b4005//b0529//b0836//b3775//b4513//b1739//b1241//b3682//b0281//b1125//b2430//b0983//b1535//b3685//b4191//b0611//b2258//b3343//b0857//b0810//b3928//b0694//b0792//b4262//b3765//b3465//b2552//b2255//b3908//b0048//b3877//b3081//b0830//b0925//b0655//b0603//b1842//b4118//b2704//b2283//b3775//b4014//b4478//b3541//b2573//b3892//b4161//b3590//b2554//b3265//b0033//b1117//b4586//b3683//b4069//b2752//b3169//b4111//b0518//b1774//b3092//b1176//b0185//b3297//b2060//b2726//b2942//b4111//b2234//b4141//b0778//b4453//b2144//b4080//b3744//b3521//b1220//b0904//b2327//b3513//b3564//b3209//b2930//b3744//b3707//b0423//b0697//b2802//b1207//b1861//b0650//b4359//b0949//b2349//b1864//b2711//b3998//b0880//b1701//b0839//b0577//b1105//b1263//b0729//b2892//b0835//b3746//b0208//b3514//b1206//b0612//b4266//b0125//b0629//b4383//b1826//b3844//b0590//b2575//b1394//b3741//b0611//b1212//b0490//b0546//b1130//b1897//b3653//b2335//b1302//b1832//b2283//b2990//b2817//b3172//b4346//b1576//b2153//b3688//b0443//b2526//b3745//b3880//b0080//b2813//b2701//b0723//b3878//b2387//b3520//b1360//b0696//b2581//b2506//b2335//b0028//qorA//b1473//b2981//b1069//b0184//b0333//b0188//b2608//b1688//b2290//b0847//b0382//b3721//b0422//b3571//rpnD//b0194//b3832//b0116//b3702//b0741//b4175//b3177//b1429//b3083//b3850//b0088//b4602//b2569//b1206//b2306//b4352//b0073//b1021//b3052//b2754//b4207//b2211//b0386//b1412//b3689//b0429//b3950//b1350//b2890//b0329//b3066//b0931//b3624//b2579//b0754//b2958//b1637//b2109//b2794//b1677//b1538//b4346//b2421//b1279//b0110//b0081//b0959//b4290//b1506//b2282//b0111//b0191//b0183//b1831//b1856//b3138//b2791//b1058//b0168//b0528//hexR//b1434//b3496//b1206//b3620//b2264//b3926//b3597//b2178//b0738//b4480//b3866//b0892//b4101//b3625//rhmD//b1002//b4095//b1330//b2971//b1197//b3268//b1434//b0078//b3251//b1478//b3967//b2578//b0724//b2242//b1801//b1808//b0874//b4478//b0447//b1238//b2418//b1399//b0830//b3636//b3361//b1253//b3035//b1540//b2416//b3404//b3804//b1441//b3744//b3825//b4153//b0320//b2023//b3769//b2777//b0080//b0742//b1874//b3052//b2282//b4128//b3138//b1919//b2257//b1737//b2724//b3152//b2496//b0344//b1175//b3030//b2615//b4097//b4137//b0287//b4354//b1066//
GO_0009059_5	b3549//b3192//b4224//b0577//b3615//b3621//b3949//b4192//b1047//b4036//glsA1//b1693//b0517//b2424//b0861//b0091//b2812//b2867//b3442//b0141//b4245//b1244//b2707//b0348//b2258//b1738//b0438//b3350//b2756//b3729//b0960//b0739//b3364//b2520//b0051//b0312//b0080//b2095//b2828//b2601//b0483//gapC//b3478//b2235//b0681//b2571//b0345//b1014//b1828//b1686//b0812//b1002//b0447//b4476//b1924//b2514//b3648//b3901//b0481//b2604//b4313//b0635//b0981//b4137//b1741//b2689//b1094//b1340//b4112//b3224//b0118//b3149//b0679//b2184//b0693//b2514//b2047//b3955//b0376//b3916//b0624//b4094//b3407//b3400//b3068//b1307//b0578//b1830//b3185//b0997//b3702//b3327//b1729//b2027//b4467//b1413//b3305//b3714//b2405//b0603//b3985//b3961//b3942//b0793//b0978//b2794//b3918//b2897//b1610//b0550//b2507//b4471//b3568//b3359//b2005//b0304//b3262//b2945//b2240//b3608//b3831//b3399//b0211//b3556//b4246//b0357//b0237//b2266//b0589//b2785//b0737//b2100//b2926//b2134//b0448//b0031//b1118//b0570//b3601//b1545//b2465//b2048//b0483//b1854//b0421//b3222//b2197//b0303//b2531//b1652//b3297//b3142//b3187//b1475//b4337//b2716//b2024//b1701//b1187//b4146//b0518//b2716//b0810//b0083//b1759//b0315//b0685//b3955//b0103//b2392//b4050//b1350//b2595//b0357//b4532//b4209//b2739//b2245//b3839//b0141//b1262//b1799//b3869//b2682//b4112//b1852//b3279//b0699//b4231//b0514//b0091//b1477//b2916//b2781//b2708//b3521//b3179//b1210//b0242//b4239//b4484//b1702//b3451//b1166//b0002//b1270//b2763//b3965//b2676//b3494//b1863//b2785//b2757//b3632//b2569//b4090//b0101//b4392//b3628//b2718//b0524//b1260//b3180//b3887//b2905//b3985//b3916//b1222//b3167//b3143//b2392//b2608//b4119//b1736//b4209//b1281//b1492//b4375//b1482//b4665//b2665//b0256//b0415//b1235//b3131//b0096//b0030//b1175//b0925//b3105//b1734//b1913//b3811//b4032//b0783//b2015//b4112//b2476//b1249//b1692//b2283//b0531//b4241//b3227//b0171//b2606//b2888//b3386//b0636//b4383//b0812//xisR//b3986//b3116//b1389//b0838//b1018//b1476//b4232//b0807//b1745//b1697//b2699//b4510//b1564//b4097//b3297//b2198//b0967//b2297//b3390//b3180//b4565//b2929//b0727//b1340//b1637//b0268//b2179//b2242//b0178//b1487//b3622//b1538//b0938//b1323//b3813//b0941//b1274//b1693//b0269//b0794//b2929//b3670//b0463//b0993//b2894//
GO_0009060_6	b1653//b3190//b0076//b2370//b0074//b3605//b1826//b1360//b2297//b0367//b2518//b0123//b4070//b0988//b0960//b0403//b2574//b0830//b0175//b1842//b2477//b0638//b1014//b0995//b0836//b3084//
GO_0009061_6	b1468//b3009//b4039//b2078//b0524//b1920//b2817//b2559//b3034//b3163//b1563//b2246//b2213//b0597//b3533//b0556//b3734//b3606//b0228//b3778//b2837//b4265//b3193//b1960//b2011//b4067//b4141//b0067//b2441//b2208//b2835//b0313//b0588//b1105//b3654//b0998//b0831//b0047//b3503//b2594//b4554//b2423//b3241//glsB//b1098//b0644//b2082//b1407//b1039//b2387//b3534//b0256//b1776//b0399//b3793//
GO_0009062_6	b2819//b3549//b0597//b1210//b0936//b0585//b2414//b4532//b3261//b1782//b1191//b1212//b4040//b3191//b0882//b3989//b3766//b3330//b2497//glsA//b1238//
GO_0009063_5	b2206//b4092//b1034//b4120//b1990//b1249//b0491//b2518//b3393//b1281//b2496//b1782//b3455//b3385//b3558//b4131//b1139//b3178//b0210//b1377//b2502//b4249//b0924//b3410//b0469//b3699//b1440//b1025//b0168//b1145//b3950//b4377//b3297//b1187//b1178//b3037//b4144//b0420//b0852//b3201//b0859//b1978//b1696//b4471//b3421//b1023//b0920//b0990//b0730//b2133//b1260//b2711//b4340//b1829//b3828//
GO_0009064_6	b0584//b1386//b1013//b0795//b3405//b0528//b3566//b1832//b0194//b2004//b1114//b0930//b2095//b3234//b2673//b2164//b2310//b2290//b3426//b2569//b1337//b2869//b2253//b0602//b1841//b1506//b1344//b4252//b2686//b0727//b3200//b3238//b1676//b0448//b3745//b1482//b3201//b0242//b2207//b1774//b3583//b2289//b2509//b0635//b0152//b1048//
GO_0009065_7	b1827//b3788//b3305//b3528//b3183//b0300//b0156//b3271//b4162//b4375//b4040//b3035//b0649//selU//b0612//b3749//b3084//b0676//
GO_0009066_6	b1830//b0090//b2493//b1042//b0423//b0123//b1398//b3907//b1021//b3292//b1681//b0891//b4144//b3110//b4315//b3441//b1199//b1335//b2257//b0069//b3806//b2843//b0526//b0015//b1848//b1107//b0514//b2060//b2604//b3636//b1209//b2389//b1317//b1292//b0598//b2086//b1192//b0198//b1536//b3477//b1413//b1218//b0882//b3553//b3720//b0474//b4380//b2315//
GO_0009067_7	b2837//b1269//b2890//b3580//b1178//b1277//b1863//b0756//b1433//b1884//b4191//b2334//b1735//b1298//b1227//b0393//b0254//b1756//b1525//b1783//b0975//b1360//b1576//b3905//b1872//b3998//
GO_0009068_7	b4161//b2082//b0518//b4665//b0264//b2486//b1710//b1973//b3073//b0681//b1037//b2354//b3729//
GO_0009069_6	b3629//b3734//b3475//b3173//b3633//b2782//b2387//b0410//b3128//b3699//b0997//b1386//b4520//b3601//b2121//b3647//b1835//b0083//b1330//b3127//b2922//b0592//b3965//b2411//b3145//b1878//b0512//b4075//b1783//b1301//b2170//b2132//b0386//b4173//b2498//b4288//
GO_0009070_7	b0182//b3292//b3754//b3912//b1314//b3189//b2676//b1262//b0171//b3008//b1808//b3231//b1550//b1060//b3341//b3092//b0661//b3396//b2208//b1554//
GO_0009071_7	b2138//b0593//b3632//b4059//b0103//b3235//b2888//b2064//b0844//b1866//b3966//b2252//b2103//b4214//
GO_0009072_5	b1192//b1468//b0173//b1205//b3179//b0674//b1200//b1701//b3167//b3447//b2276//b3152//b2246//b1024//b1499//b3486//b3326//b0486//b2921//b1176//b2146//b1514//b3500//b4371//
GO_0009073_6	b3019//b0490//b2383//b1697//b0709//b3629//b1761//b0586//b0859//b1341//b0363//b0624//b3887//b1297//b0167//b4120//b2269//b2474//b0939//b2894//b0732//
GO_0009074_6	xisR//b3850//b3477//
GO_0009078_6	b1569//b2458//b3811//b0171//b2076//b2753//b3011//
GO_0009079_7	b2423//b1386//b0512//b3786//
GO_0009080_7	b3170//b3603//b0124//
GO_0009081_5	b0487//b3339//b4403//b0089//b1197//b2540//b1421//b3869//b2314//b2845//b2741//b3281//b3469//b2105//b1588//b4258//b1025//b1511//b3910//b0406//b4393//b3823//
GO_0009082_6	b3771//b0693//b2062//b2418//b2103//b0945//b1612//b1473//b1823//b0298//b2374//b3271//b2830//b1569//b3980//b3216//b3780//b3724//
GO_0009084_7	b1103//b3628//b3049//b1476//b3566//b0171//b0534//b3049//b3745//b0905//b4305//b3019//b3048//b2571//b3717//b2663//b2295//b0161//b4109//b4401//b2564//b1258//b1812//b3063//b1776//
GO_0009085_8	b0783//b2341//b1117//b1593//b1919//b1285//b4255//b1048//b0795//b0981//b2606//b0260//
GO_0009086_7	b1279//b2718//b3839//b1620//b1280//b2716//b1748//b0062//b2502//
GO_0009088_8	b0241//b3793//
GO_0009089_6	b0019//b2029//b0221//b4041//b1888//b0460//b0839//b3209//b2512//
GO_0009090_8	b0742//b0629//b3469//b4050//
GO_0009092_7	b3196//b4175//b2976//b2316//b1334//b0815//
GO_0009093_7	b3659//b3020//b0315//b3583//b2610//
GO_0009094_6	b3783//b0095//b3331//b3312//
GO_0009095_7	b0903//b1818//b1981//b1395//
GO_0009097_7	b4388//b3583//b4081//b3130//b2067//b3206//b1887//
GO_0009098_7	b1654//b4484//b3480//b3447//b1634//b1801//b4378//
GO_0009099_7	b0675//b0377//b4070//b2818//b1660//b4356//b3572//b0941//b1319//b0314//
GO_0009100_5	b1852//b2526//b3291//b3793//b3389//
GO_0009101_6	b0399//
GO_0009102_6	b0621//b3455//b1379//b4483//b1184//b0333//b1084//b2624//b3940//b4016//b4415//rhmR//b0478//
GO_0009103_6	b1427//b1943//b3071//b1410//b2109//b4260//b3179//b1644//b2811//b1919//b2901//
GO_0009106_5	b1481//b0929//
GO_0009107_6	b0891//b2159//
GO_0009108_6	b1645//b0661//b2329//b2553//b0060//b0889//b1709//b2686//b3704//b2781//b3780//b3297//b2546//b2889//b3266//b0089//b0813//b2701//b3438//b0386//b3453//b0912//b3996//b0824//b2364//b3105//b0624//b1481//b0179//b2601//b3676//b0823//b0195//b3391//b0311//b0602//b3021//b1772//b3543//b2609//b3934//b3670//b0793//b3521//b1467//b2503//b3172//b3878//b2367//b2133//b4381//b1266//b2328//b4381//b3769//b0162//b1058//b0504//b0571//b2232//b0676//b1761//b0262//b2212//b3084//b2381//b0726//b2497//b1707//b1109//b1600//b2678//b0194//b1848//b0484//b3415//b2327//b2514//b1061//b0638//b3316//b0924//b3237//b3897//b3234//b0805//b1710//b4393//b0822//b2023//b2845//b1407//b2037//b1540//b2867//b3785//b2382//b4261//b0806//b1611//b2922//b1686//b2784//b3298//b1274//b2893//b0336//b3534//b2947//b2168//
GO_0009109_6	b0930//b0680//b3390//b1225//b1704//
GO_0009110_5	b2877//b3124//b1285//b0242//b0064//b0149//b3153//b3551//b2834//b3232//b0968//b0020//b0912//b3136//b1235//b1303//b3319//b3469//b1763//b0121//b2717//b1522//b3533//b0179//b0036//b3687//b0822//b2415//b0870//b1338//b4093//b1970//b4125//b1783//b4032//b4222//b3926//b0125//b3997//b0508//b0173//b0004//b4155//b0026//b1387//b3546//b2725//b3008//b3464//b1611//b1635//b3113//b1411//b0481//b1876//b0512//b0819//
GO_0009111_5	b0697//b2029//b4323//b3844//
GO_0009112_5	b2203//b3800//b0934//b3053//b2844//b4373//b0733//b4662//b4005//b0003//b3950//b2195//b2715//b0097//b3195//b0089//b1924//b2095//b1538//selU//b3244//b3359//b3176//b0771//b2328//b2874//b3249//b2347//b1882//b0620//b2364//b0570//b1448//b0638//b1290//b1664//
GO_0009113_5	b3204//b3607//b1281//b3268//b4225//
GO_0009114_8	b1482//
GO_0009116_5	b1282//b1779//b1238//b2573//b2347//b2946//b0526//b2508//srkA//b1482//b0405//b2350//b1203//b0637//b0031//b1610//b2687//b4073//b2831//b3326//b0459//b2260//b0550//b2697//b2998//b2957//b2774//b4367//b1769//b1284//b0598//b0268//b4026//b1466//b3305//b2803//b0819//b0518//b0764//b3895//
