# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	dgoK//
go_0015937_7	mltF//lysS//araB//hyi//
go_0015940_6	puuA//
go_0015944_4	wzc//thiC//slyD//
go_0015949_5	alaS//prpC//xthA//iaaA//mug//waaL//ribB//ttdB//yihS//malZ//aroL//epmB//cobB//aspA//frmB//ppiA//ybjG//fklB//
go_0015950_6	ssuD//
go_0015951_7	hemL//ushA//
go_0015968_6	
go_0015969_8	phnM//rpiB//
go_0015976_2	ychF//
go_0015986_7	
go_0015990_10	lacZ//glgA//
go_0016024_7	hypB//
go_0016032_5	dapA//
go_0016036_6	tgt//fabA//
go_0016042_5	
go_0016052_5	dgoA//hpt//edd//trpC//
go_0016075_8	metH//
go_0016078_8	leuD//
go_0016094_6	acs//cobT//
go_0016226_5	atoB//ldhA//roxA//rsmH//
go_0016259_7	thrA//
go_0016260_8	patA//waaC//miaA//
go_0016310_6	gadB//murD//mnmG//torA//nirB//pheA//malS//mnmG//xylA//murC//bfr//gdhA//cof//ppiC//cpsG//umpH//menA//
go_0016311_6	mug//wzc//rhaB//adhE//carB//udp//bioF//der//ligB//wzc//psuG//gpmA//gltX//ygeX//recF//bioH//ribB//pdxY//paaE//nrdB//dapB//mtn//phnL//pheS//birA//dgcM//etp//mnmA//dhaK//gcl//opgB//aceA//tmk//rluB//fau//argK//kdsA//bglX//phnN//wecB//
go_0016458_3	
go_0016485_6	mdh//plsB//
go_0016540_7	gpsA//proC//
go_0016579_7	der//
go_0016998_5	ispF//
go_0017001_5	ispU//
go_0017003_8	cfa//
go_0017004_7	ubiG//
go_0017013_7	
go_0017038_6	
go_0017148_8	citC//fkpA//thrA//rluE//dapB//
go_0017189_7	kdsC//
go_0017198_7	deoB//
go_0018012_8	nadB//
go_0018023_7	udk//
go_0018063_8	glmU//
go_0018070_8	pyrB//dxr//
go_0018104_8	sdaB//tynA//treC//cysI//entD//
go_0018105_8	ahr//
go_0018106_8	
go_0018108_8	ymdB//
go_0018117_8	
go_0018125_6	ymdB//
go_0018131_6	yeaE//
go_0018160_8	paaF//
go_0018206_8	sgbU//
go_0018247_9	allB//
go_0018283_6	
go_0018298_7	ftnA//
go_0018307_7	treA//
go_0018315_8	pphA//
go_0018339_9	pabB//
go_0018345_8	ppiA//
go_0018364_6	rbsK//rpe//
go_0018378_9	
go_0018393_10	wzb//
go_0018394_9	hcaB//
go_0018410_8	mltF//
go_0018909_5	garR//
go_0018937_4	fucO//
go_0019042_6	ltaE//
go_0019068_6	
go_0019076_6	
go_0019217_7	
go_0019242_6	trpD//
go_0019243_7	rffH//thrS//dgoK//uxuA//
go_0019249_6	gdhA//
go_0019250_7	pheT//
go_0019262_6	abgB//panE//maa//waaQ//pyrD//
go_0019264_7	pfkB//
go_0019272_9	proC//opgE//
go_0019284_7	deoB//pphA//
go_0019285_5	kbaY//gabT//
go_0019288_6	hcaD//mobA//nanA//cysE//
go_0019290_5	
go_0019292_8	yhdJ//
go_0019294_6	fucK//lysU//dxs//sthA//
go_0019299_6	ldcA//
go_0019301_7	pheA//allC//uxaB//abgA//yqaB//guaA//deoB//
go_0019303_7	add//rhaB//
go_0019305_7	dgoD//
go_0019309_7	ispA//
go_0019316_8	lacZ//yfaU//rlmL//
go_0019318_5	lplA//
go_0019323_6	hcp//rlmJ//yeiG//rutA//ddlB//dapA//galM//
go_0019324_6	aceA//maeA//sbcB//ahr//folE//
go_0019343_8	rutE//
go_0019344_7	ddlB//
go_0019346_7	pheA//
go_0019353_8	pdxH//fabZ//ascB//mtlD//
go_0019354_6	fkpA//
go_0019379_5	ilvC//
go_0019380_6	yfeX//tdcE//
go_0019388_7	guaA//
go_0019391_6	dxr//
go_0019394_7	argK//
go_0019395_5	fbp//
go_0019404_8	hisA//ppc//
go_0019413_6	pbpC//fucA//
go_0019419_4	fadI//
go_0019427_7	ubiH//
go_0019430_5	aspS//napC//malS//
go_0019432_7	eptB//
go_0019439_5	tatD//mpaA//
go_0019447_8	gldA//
go_0019450_9	ahr//
go_0019464_7	chbF//cysG//yagE//nrfD//adk//fabB//
go_0019480_4	malS//
go_0019509_7	
go_0019516_4	rimK//cynT//
go_0019521_6	kduD//torY//
go_0019542_6	putA//
go_0019545_6	paaG//
go_0019546_9	bfr//
go_0019563_7	cysM//ttdB//tyrA//
go_0019568_7	sgbE//hyaC//
go_0019569_7	fadJ//clsA//kdsB//
go_0019571_8	folD//hisC//arsC//
go_0019572_8	psd//
go_0019584_7	
go_0019588_7	kduI//ssuE//
go_0019592_8	clsB//
go_0019595_8	rnpA//
go_0019607_6	cysK//ileS//
go_0019622_6	gcvH//nagB//truA//
go_0019629_7	chbG//hemD//
go_0019632_5	ppk//ychF//ybjG//waaH//
go_0019634_5	coaD//
go_0019645_6	hemG//gntK//rlmL//
go_0019646_6	rfe//waaG//hisA//mhpA//
go_0019664_6	ulaG//pdxH//
go_0019665_5	ymdB//
go_0019673_6	aceF//
go_0019676_3	aceA//
go_0019677_8	
go_0019679_7	nadA//dsdA//poxB//
go_0019686_6	hcp//
go_0019698_7	yegS//gpp//pnp//plsB//fadI//gpsA//
go_0019700_6	dcd//folC//yeaE//yjhH//
go_0019740_2	pcm//hinT//rsmD//cyoE//epmC//fucA//
go_0019752_6	
go_0019805_6	ispF//
go_0019835_3	
go_0019852_5	lpxH//hisA//kduD//
go_0019854_6	pphA//pdxA//
go_0019856_7	fkpB//
go_0019858_7	gpt//
go_0019859_7	hycB//
go_0019877_6	luxS//bioA//metH//
go_0019878_9	gpp//
go_0019935_6	gstB//glxR//
go_0019985_8	aroG//uvrA//
go_0019988_7	frdB//
go_0022417_4	paaF//
go_0022610_2	moeA//
go_0022611_3	dapB//tadA//lpxK//
go_0022900_4	bglA//paaG//
go_0022904_5	gmhB//dmsC//dacC//
go_0023014_4	garK//orn//argF//
go_0030001_7	rbn//nrfB//udk//
go_0030007_8	paaJ//
go_0030026_9	
go_0030091_6	dgkA//kdsB//fadK//paoC//
go_0030153_5	
go_0030162_7	
go_0030163_5	aroH//aspA//lpxC//umpH//
go_0030244_9	
go_0030258_5	sdhA//
go_0030260_7	
go_0030261_8	
go_0030307_6	
go_0030308_6	nadC//dapF//
go_0030388_5	recJ//uxaB//bglX//
go_0030488_6	cdd//aceA//adk//tatD//lpoB//hemF//dgoK//lyxK//wzb//nagK//
go_0030490_10	
go_0030497_7	polA//ulaD//
go_0030541_4	
go_0030573_6	gpp//
go_0030632_8	rpiB//arnT//ynfE//hemA//
go_0030641_8	lpoA//glpC//
go_0030643_8	
go_0030961_9	aroL//
go_0030980_7	puuA//speC//fadH//
go_0031118_8	citC//
go_0031119_8	tynA//paaA//rfaE//mutS//malQ//mltA//
go_0031125_10	plsB//
go_0031162_5	dhaK//
go_0031167_6	ispB//psd//waaB//hmp//btuR//miaB//
go_0031280_6	nanE//
go_0031297_7	
go_0031342_5	
go_0031346_7	
go_0031365_7	bcsA//
go_0031400_8	
go_0031439_9	
go_0031460_7	ruvA//slyD//guaD//mdh//sdhC//rihB//
go_0031554_7	
go_0031555_8	
go_0031556_9	
go_0031564_8	relA//
go_0031638_7	
go_0031648_5	
go_0031669_5	
go_0031670_5	
go_0032025_6	waaU//
go_0032026_6	ubiH//
go_0032049_8	araB//lplA//rbsK//
go_0032055_6	
go_0032091_6	
go_0032147_9	
go_0032150_8	
go_0032194_8	puuB//
go_0032196_3	glpB//
go_0032238_6	dmsC//
go_0032259_3	gloC//dgcM//rsuA//lsrG//
go_0032261_6	glgB//
go_0032263_7	adeD//aroK//
go_0032264_7	pykA//gpt//
go_0032265_7	ftnA//
go_0032272_7	
go_0032297_10	
go_0032298_10	
go_0032324_6	kbaY//caiD//tyrS//
go_0032329_7	yhdH//rnb//
go_0032359_7	
go_0032412_6	
go_0032413_6	
go_0032414_6	truB//
go_0032445_10	yjjX//lpxH//
go_0032462_7	glcF//
go_0032466_7	
go_0032467_7	
go_0032506_4	
go_0032508_8	queF//folE//rsmG//ldhA//
go_0032774_6	aroD//
go_0032775_6	rlmC//rhaA//aroF//
go_0032781_7	
go_0032784_8	
go_0032790_6	gor//
go_0032885_7	
go_0032951_8	
go_0032955_6	
go_0032973_7	rsgA//
go_0032978_7	
go_0033014_6	mepS//leuB//
go_0033051_5	pdxJ//
go_0033120_8	
go_0033194_5	paaF//tmk//birA//
go_0033195_5	glyS//
go_0033212_10	moaD//ttdA//
go_0033214_11	ycaO//murQ//
go_0033228_8	putA//rutE//waaA//
go_0033317_7	purN//tsaC//pgpA//gltD//
go_0033320_6	mdh//
go_0033345_8	nagB//cysG//
go_0033353_5	scpB//
go_0033359_7	thrA//leuD//
go_0033384_6	paaA//
go_0033388_7	fadI//
go_0033477_5	guaD//
go_0033499_8	fadD//hchA//lipA//ndh//pgk//
go_0033518_6	acpS//
go_0033539_7	mutY//
go_0033542_7	glmM//
go_0033543_8	tdh//
go_0033567_6	
go_0033585_7	yfdR//galM//
go_0033611_8	fabB//
go_0033683_7	
go_0034194_8	puuC//cysI//mog//
go_0034195_8	rfe//
go_0034198_6	rlmF//trmH//
go_0034203_6	umuC//
go_0034204_5	rlmL//surA//
go_0034213_6	gdhA//
go_0034214_7	pgpB//gshB//murC//
go_0034219_6	lpoA//aroA//lpxC//fadD//ascB//dapF//dmsB//paaE//rutC//kdsC//yihX//paaH//yahK//cpsB//narH//frdA//pdxJ//ascB//thiH//tehB//narY//glnA//dnaQ//zwf//lpd//solA//ydiO//dxs//ubiC//
go_0034220_6	glpB//mhpA//coaE//mltF//asd//yqaB//
go_0034224_6	
go_0034227_8	rlmI//
go_0034258_8	trpB//
go_0034260_5	
go_0034289_7	nadD//
go_0034337_3	metB//
go_0034355_7	mhpA//murB//nadC//rsmB//
go_0034401_5	
go_0034414_9	waaZ//
go_0034421_8	thrS//
go_0034470_8	rnb//
go_0034552_7	
go_0034599_5	hycB//narV//gldA//hisC//thiC//
go_0034605_5	poxB//talB//
go_0034614_6	ychF//
go_0034620_6	pgl//
go_0034628_9	tdcB//bcsA//ssuE//ubiA//pldB//
go_0034635_6	guaD//
go_0034644_7	mocA//
go_0034661_7	
go_0034775_7	thiC//ybjG//
go_0034983_9	hemB//paoC//
go_0035235_6	aroD//ulaG//pyrD//
go_0035307_9	
go_0035335_8	hyaA//agp//
go_0035344_8	torC//tsaD//
go_0035350_6	argS//
go_0035429_8	yigB//bioA//mtn//ygjK//hypB//tsaD//
go_0035433_7	yieH//
go_0035434_9	paaE//
go_0035435_9	ttdA//lldD//gph//cof//
go_0035442_7	pabA//rfbD//sgbH//tdcG//hisF//pykF//gpmA//
go_0035443_7	suhB//ydfG//rhaA//
go_0035444_9	dut//acpH//glpK//xdhB//
go_0035461_6	umuD//
go_0035524_8	torY//
go_0035552_6	sucB//
go_0035553_6	atoB//
go_0035556_4	
go_0035600_8	sucB//
go_0035672_6	garD//nhoA//rluD//
go_0035725_9	nrdD//caiD//purT//pdeL//nagA//
go_0035784_9	argK//
go_0035864_6	
go_0035873_8	glxR//serC//
go_0035999_5	hemA//guaD//glmU//
go_0036001_7	hisC//
go_0036047_9	yggF//
go_0036049_9	hcaE//
go_0036088_6	glpB//
go_0036104_6	tauD//argC//
go_0036172_6	mnmG//
go_0036214_3	
go_0036265_6	pdeL//
go_0036289_9	apaH//dmlA//
go_0036448_6	hemD//yciV//
go_0036460_5	
go_0036506_5	
go_0036525_7	
go_0038083_9	glgA//preT//
go_0040033_9	
go_0042026_4	nrfB//rsmH//add//yjjX//
go_0042126_5	yihX//
go_0042128_5	
go_0042150_7	yciV//
go_0042157_5	
go_0042158_6	rnpA//surA//
go_0042177_7	
go_0042182_5	nagA//
go_0042219_6	
go_0042245_7	selB//rsgA//gcvH//
go_0042254_5	mnmC//
go_0042255_6	
go_0042274_5	trpA//
go_0042304_7	
go_0042351_7	aroK//
go_0042355_8	adeD//cpdB//waaG//menE//valS//entB//
go_0042371_7	gcl//
go_0042413_6	narH//trpB//
go_0042450_7	torA//umpG//hemB//lacZ//hyaC//yjhH//
go_0042454_7	ileS//
go_0042493_4	proB//cyaA//purC//glyS//rutC//nrfC//deoC//solA//fabA//truC//cpdA//ascB//entF//
go_0042538_6	truD//pgpC//cmk//
go_0042542_5	ribA//rffG//ssuD//fadJ//
go_0042545_5	entB//
go_0042594_4	trmH//aroL//guaA//cpdA//
go_0042619_6	
go_0042710_4	entC//yjjX//ubiH//ahpC//nadE//ubiG//murA//umuD//
go_0042732_6	poxB//
go_0042744_6	aroF//rpe//
go_0042759_7	ldcA//
go_0042773_6	nudG//
go_0042777_8	
go_0042780_10	abgB//ldtE//
go_0042817_5	rsmE//
go_0042819_6	dmsC//
go_0042823_6	ndk//recF//purL//preT//
go_0042838_6	preT//glgB//phr//dhaM//
go_0042840_7	trmD//hyaC//gpmM//puuD//ushA//caiD//
go_0042843_7	sucB//aroF//
go_0042846_8	argG//
go_0042852_9	proS//
go_0042867_8	tsaD//
go_0042873_7	psuG//
go_0042882_10	purA//tdk//
go_0042884_7	gloA//udp//eptC//
go_0042885_8	argH//
go_0042891_6	fadB//purU//suhB//ftnA//aroL//arsC//argS//
go_0042906_8	dmlA//cyoE//pfkB//
go_0042908_5	rffH//
go_0042914_8	rutE//
go_0042918_6	arnB//ansA//
go_0042919_6	
go_0042920_6	torA//
go_0042928_7	
go_0042930_7	adeD//nudC//gph//lpoA//hcaE//yrfG//tyrB//truC//fabH//idnO//
go_0042938_8	metE//hemE//hemC//
go_0042939_8	cdh//
go_0042941_8	sucC//
go_0042942_6	pgsA//scpB//
go_0042953_6	
go_0042956_8	metH//lyxK//
go_0042968_8	ldhA//speD//tmk//
go_0043039_6	ppk//lipB//ubiF//
go_0043041_6	epmB//lacZ//
go_0043085_5	nfsB//luxS//yigB//
go_0043086_5	surA//
go_0043093_3	slt//napC//yciA//puuC//
go_0043097_6	lpxL//orn//
go_0043099_7	ttdB//
go_0043100_6	lpxL//
go_0043102_5	narY//
go_0043103_7	yjhG//
go_0043137_6	pyrF//ftsI//
go_0043150_8	
go_0043157_6	rsmJ//
go_0043164_6	garK//yihV//aroA//hisD//narY//araA//tktB//
go_0043165_6	paaH//patA//
go_0043171_5	chbF//lipB//cyaA//yqjH//mmuM//
go_0043200_5	
go_0043201_6	
go_0043213_7	uxaB//dosP//
go_0043254_5	
go_0043335_3	menA//frlC//cpdB//aroF//abgA//
go_0043433_5	fabG//slyD//kbaZ//
go_0043442_6	udp//
go_0043456_6	thiD//
go_0043462_6	phoA//
go_0043470_6	
go_0043471_6	
go_0043488_5	rlmG//gloA//thrC//
go_0043547_7	
go_0043571_7	dam//
go_0043610_4	betA//malQ//ybiV//
go_0043686_7	fruK//
go_0043687_7	pyrH//rlmL//ycaO//ydfG//phoA//
go_0043708_5	otsB//
go_0043709_6	ppiA//
go_0043711_5	
go_0043952_7	
go_0043953_7	rpe//
go_0044010_5	hisC//rsmC//glpX//sodC//menA//mutL//
go_0044011_4	betB//
go_0044036_5	pepD//pdxH//hypB//
go_0044038_6	dmsA//sucD//
go_0044092_4	
go_0044179_5	
go_0044208_7	queA//
go_0044238_3	malS//ansA//aroK//dhaK//
go_0044248_4	
go_0044255_4	
go_0044262_4	udk//puuC//
go_0044273_5	dhaK//
go_0044275_5	ttdB//
go_0044349_6	
go_0044355_6	kdsC//
go_0044532_6	
go_0044659_7	rlmB//
go_0044718_6	yjhH//
go_0044764_3	
go_0044780_6	thrA//
go_0044781_5	
go_0044787_5	nfsB//
go_0044874_7	
go_0045004_7	aroK//ybjI//menH//
go_0045013_7	
go_0045226_7	frlB//rne//otsB//rlmH//mltC//yagE//
go_0045333_5	thiI//thiC//
go_0045337_6	cdsA//
go_0045454_4	yfiC//speD//lpoA//arnB//rlmJ//waaU//rfbD//
go_0045471_5	rfbD//pdxB//
go_0045717_8	tehB//iaaA//
go_0045719_8	
go_0045723_8	
go_0045727_8	
go_0045732_7	
go_0045733_6	prpC//pyrC//
go_0045819_8	
go_0045828_7	
go_0045848_5	
go_0045859_7	
go_0045861_8	
go_0045862_8	
go_0045883_5	
go_0045892_8	glcF//ugd//hyaB//phnL//gabT//
go_0045893_8	glmM//lpd//
go_0045900_9	
go_0045903_5	rsmH//
go_0045912_6	pdeF//yhdJ//trmH//
go_0045926_5	
go_0045936_8	
go_0045947_9	acnA//ydiB//
go_0045975_9	
go_0045990_6	
go_0046037_8	rffM//
go_0046040_8	sseA//
go_0046047_8	sseA//
go_0046050_8	mngB//waaB//mug//
go_0046052_8	pflB//
go_0046061_8	opgB//
go_0046076_8	hemF//
go_0046081_8	lplA//ndk//
go_0046086_6	mngB//
go_0046098_7	aroG//
go_0046100_7	maa//
go_0046101_6	queG//pck//
go_0046103_9	glpC//
go_0046104_8	glyA//
go_0046115_10	mtlD//
go_0046133_8	rpiB//nadB//
go_0046166_6	edd//
go_0046168_6	glnS//hycB//
go_0046176_6	hdhA//fabA//thiL//bioA//
go_0046177_7	ispH//narH//tig//ribC//
go_0046181_7	glpD//
go_0046183_7	trpA//truC//asnA//
go_0046187_6	menB//
go_0046196_5	fumA//
go_0046210_6	sodC//purA//ftnA//
go_0046214_6	rnpA//
go_0046256_7	fruK//tdcG//
go_0046271_5	paaH//
go_0046279_6	yfcF//
go_0046292_4	queF//
go_0046294_5	frlB//rhaB//
go_0046296_6	hemN//wzc//hcaB//
go_0046306_6	rsmJ//mnmE//
go_0046323_10	rsmH//
go_0046325_8	
go_0046336_6	nrfC//
go_0046342_8	maeA//
go_0046348_6	menH//nanK//
go_0046365_5	trpD//
go_0046392_7	rffH//dgt//scpC//glgX//
go_0046397_6	
go_0046416_6	nrdF//
go_0046452_6	recG//
go_0046459_6	nrfC//
go_0046470_5	
go_0046474_6	purN//sdaA//waaH//panD//fadK//wzc//
go_0046487_5	lpcA//
go_0046501_6	adhE//
go_0046618_6	valS//rfe//alaS//birA//hemC//fabZ//
go_0046654_7	ubiH//nadC//aes//sucD//cmk//
go_0046655_5	rihB//
go_0046656_6	ftsI//yieF//speE//gcvH//waaG//metL//
go_0046657_6	rfbD//
go_0046677_4	pheT//hemC//nudB//mhpB//folM//chbF//acnA//rsmB//metL//betB//pta//ribB//nirB//rsmE//tilS//glmS//ansB//fucA//adiA//tdcE//glcF//waaY//bioA//mhpD//rnd//gltB//ispG//yagE//folM//tgt//atoB//
go_0046685_4	rlmM//pgpA//
go_0046686_6	treC//
go_0046688_6	metK//hcaB//
go_0046690_5	rluC//ispU//
go_0046710_8	lipB//
go_0046718_8	rsmB//aroA//
go_0046777_8	metC//bacA//epmB//
go_0046834_6	ldtA//
go_0046835_5	ybiV//bfr//tehB//aldB//rfe//hcaC//galU//waaQ//curA//puuC//accA//apt//gldA//tynA//add//rsmH//chbF//rsmH//fadB//nudB//cdh//
go_0046836_7	rsmF//
go_0046839_6	ilvH//
go_0046855_6	ltaE//
go_0046892_8	
go_0046901_7	arsC//
go_0046939_7	tdcE//tyrA//otsA//yqhD//
go_0046942_7	yihX//glnA//pykF//
go_0046944_7	fadJ//
go_0047484_6	
go_0048034_6	hycB//
go_0048255_6	
go_0048473_8	valS//
go_0048518_4	
go_0048870_3	garR//
go_0050427_5	puuE//
go_0050667_6	cysE//miaB//
go_0050779_5	frmB//
go_0050790_4	eptB//wecB//
go_0050821_5	pnp//epd//
go_0050918_5	panE//panE//
go_0050919_5	adhP//
go_0051050_5	
go_0051083_5	mnmG//
go_0051085_5	argG//ribF//
go_0051090_4	bioC//
go_0051091_5	araD//
go_0051131_7	
go_0051143_8	amyA//
go_0051156_5	lpxC//
go_0051171_5	
go_0051188_5	murE//
go_0051191_6	pyrD//
go_0051205_6	
go_0051224_6	
go_0051252_6	
go_0051258_7	
go_0051260_7	proS//nadA//
go_0051270_5	
go_0051271_6	kbaY//recG//
go_0051274_8	
go_0051276_5	
go_0051289_8	phnM//metG//dmsA//ltaE//aroL//cmoA//gpmA//poxB//murB//narG//dapB//puuE//ilvA//rihA//dadA//gor//purN//glgX//yccX//hcaD//eutD//hemD//nth//ligB//pyrC//iaaA//panD//tadA//paaF//lacZ//lacZ//truD//
go_0051301_3	plsC//tatD//torC//uxaC//dgt//cynS//dld//fbaA//
go_0051302_5	
go_0051304_4	yjjG//
go_0051338_5	
go_0051345_6	
go_0051346_6	dgcZ//
go_0051347_6	
go_0051349_6	
go_0051353_6	ruvB//
go_0051391_8	thiI//
go_0051409_4	fucI//
go_0051410_3	adhE//
go_0051452_10	cfa//
go_0051453_9	ushA//
go_0051454_10	folX//udk//dgoK//araB//mnmC//
go_0051476_7	pgaD//
go_0051484_7	cysS//
go_0051495_8	
go_0051595_6	ispB//btuR//
go_0051596_6	ppiC//nudC//trmD//thiL//
go_0051599_4	
go_0051603_6	ldtA//fabH//
go_0051604_5	opgB//rlmA//glgP//
go_0051607_4	kdsD//thyA//
go_0051649_4	
go_0051668_4	
go_0051692_6	guaB//hyaC//
go_0051704_2	aceA//gshB//
go_0051715_4	
go_0051716_3	
go_0051726_5	
go_0051781_6	sdaB//
go_0051782_6	
go_0051977_7	
go_0051983_5	
go_0052131_6	
go_0052547_6	
go_0052653_5	
go_0052777_7	ilvM//yrfG//
go_0052778_6	folP//
go_0052837_6	yfdR//
go_0055070_10	cpsB//
go_0055072_10	menI//yqaB//
go_0055085_5	purN//malY//lpd//truD//dmsA//trmL//puuA//fucO//rpiB//kbaZ//nadD//fumB//gmk//deoD//rnpA//serS//rsmJ//aceA//pdeL//mrcB//moeB//recJ//aceB//trpA//etk//adhE//deoC//guaA//lpd//nadD//mrdA//purD//alkB//hisS//cynS//valS//dgoA//yagF//lpd//fucK//dapF//yfcG//cysS//aroL//maeA//ydfG//waaO//dcyD//ahr//psd//hemF//glnA//pheS//rsmC//recF//malP//panC//trpD//gpmA//glcD//fbaA//ispG//selA//speF//ilvA//gmk//mnmC//frmA//mltA//ybjG//dnaQ//hisH//dusC//tsaE//deoC//rlmG//rluB//ribD//tehB//fes//
go_0055086_4	puuE//serS//
go_0055114_3	wzb//galT//yfaU//lysC//ldcC//dadA//mtgA//patA//chbF//malP//wecB//udk//paaZ//sdhD//mazG//citC//aphA//moaA//metG//acpH//hemH//deoA//patA//glpC//rhaD//malS//wecB//bioD//rfbC//accB//speF//gloC//nrdA//serC//ulaG//epd//cof//zwf//frc//rsmJ//recO//cpsB//rph//gnd//
go_0055129_5	cysH//ilvD//spoT//
go_0055130_8	kduD//fadB//
go_0060003_10	nrdA//idnO//
go_0060274_5	paoC//
go_0060326_5	queD//
go_0060566_8	
go_0060567_8	
go_0060699_8	
go_0060702_9	leuS//
go_0061077_4	mhpC//aroK//waaA//rrrD//gstB//
go_0061475_9	rhaB//
go_0061504_8	gabD//
go_0061610_5	rlmL//
go_0061615_7	gluQ//mobA//
go_0061720_5	nudB//speE//torZ//
go_0065002_6	gcd//
go_0065007_2	aes//
go_0070084_7	hemG//
go_0070178_5	selA//
go_0070207_8	maa//sucD//pdxK//
go_0070298_8	
go_0070301_6	narI//allD//
go_0070329_5	ydiO//
go_0070413_7	fau//
go_0070415_6	dgoA//allC//
go_0070417_5	ogt//
go_0070453_7	glmU//
go_0070475_7	ldcC//pdeF//purN//yfbR//rlmM//hisH//thyA//gor//arsC//umuD//xdhB//tauD//glgP//uidA//acpH//ispG//citX//yjcS//psuG//
go_0070476_7	trpD//panC//
go_0070482_4	sthA//
go_0070574_9	proA//rsmF//abgB//talB//
go_0070581_8	
go_0070588_9	
go_0070689_6	puuE//ilvC//
go_0070726_5	ppiC//fadB//
go_0070778_6	ybjG//sufS//
go_0070894_6	
go_0070930_7	
go_0070981_6	metK//
go_0070989_4	gstA//
go_0071139_6	
go_0071218_6	sodC//
go_0071229_5	
go_0071230_6	argK//
go_0071236_5	cysS//ung//mutS//
go_0071237_6	
go_0071243_5	allD//
go_0071248_6	
go_0071249_6	
go_0071250_6	
go_0071266_6	ispU//
go_0071271_7	birA//
go_0071276_7	
go_0071280_7	purA//
go_0071284_7	
go_0071286_7	
go_0071287_7	
go_0071288_7	ruvA//aspC//
go_0071289_7	rutD//
go_0071291_6	sad//
go_0071292_7	yagF//
go_0071294_7	aceA//
go_0071310_5	
go_0071421_9	nadA//treF//pdxB//
go_0071422_7	gcvT//cdd//dkgA//
go_0071423_8	hisI//
go_0071454_5	ldcC//fabG//
go_0071456_5	
go_0071467_5	
go_0071468_6	plsC//coaA//gabT//ispF//
go_0071470_5	
go_0071474_6	aroB//pyrC//rffM//
go_0071500_5	mraY//
go_0071502_5	
go_0071555_4	argK//waaS//abgA//rbsD//hpt//rlmL//hemB//rsmB//
go_0071577_9	moeA//dcyD//acnB//narG//gudD//waaB//
go_0071705_5	
go_0071731_5	
go_0071732_6	araB//
go_0071769_5	
go_0071805_4	yfaU//gudD//yagE//glnA//xthA//wecC//ldcA//glgA//coaA//
go_0071806_6	metH//lpxC//
go_0071807_8	
go_0071897_6	paaJ//wrbA//sthA//mhpC//recF//rimK//
go_0071915_9	yciA//
go_0071932_8	glgX//
go_0071934_6	ampD//
go_0071945_7	
go_0071951_8	ltaE//
go_0071963_4	
go_0071973_6	deoC//
go_0071977_5	
go_0071978_7	
go_0072321_6	
go_0072323_7	
go_0072344_7	mhpB//yigB//
go_0072348_5	entF//
go_0072488_7	alkB//
go_0072511_7	cdh//
go_0072531_6	trmO//
go_0072581_9	yagE//
go_0072714_5	
go_0075713_7	
go_0080111_4	rihB//mhpA//
go_0089705_7	
go_0089709_7	hisC//def//
go_0090071_6	
go_0090116_7	acnB//
go_0090143_4	
go_0090305_6	gph//nrdB//fumA//insI-1//fbaA//spoT//lpxP//mltF//dosP//lgoD//pepD//zwf//dnaQ//ynfF//rbsK//queF//ilvM//bglX//napA//dnaQ//oxc//icd//arnA//pabA//ilvD//acpH//nrfA//rffG//alr//truB//pck//dcm//cpdB//solA//tesB//gatY//murF//nudC//narI//allD//betA//ldtC//
go_0090313_8	
go_0090347_6	
go_0090352_6	
go_0090357_7	
go_0090358_8	
go_0090501_7	gshA//umuD//nudB//ttdB//acnB//gcvH//gpt//hyaC//pdeL//dxr//yieH//waaA//
go_0090502_8	fbp//yagE//narZ//tcdA//mazG//gpmA//ygjK//rluE//truA//ilvN//waaJ//ppx//galU//malQ//mhpB//yieH//lyxK//
go_0090503_8	lpxL//rutB//pheA//murC//torC//kbaZ//rpiA//hcaD//ispU//
go_0090529_5	
go_0090540_10	torZ//
go_0090549_5	
go_0090609_6	pgaD//
go_0097056_7	apt//
go_0097264_6	xthA//
go_0097304_7	kefF//
go_0097339_7	bacA//
go_0097428_6	glyA//rsmF//
go_0097502_4	metE//
go_0097510_7	ribB//
go_0097533_5	
go_0097638_8	speC//
go_0098002_8	
go_0098655_7	ilvA//uxaB//glgA//hcaD//trmJ//folA//pdxH//fadJ//sucC//fadB//cof//fadA//gcl//add//dgoA//
go_0098656_7	sdhC//
go_0098707_10	
go_0098708_8	pfkA//aroH//
go_0098710_7	sucC//metK//
go_0098713_8	acnA//rffG//
go_0098719_9	
go_0098732_6	glgA//
go_0098795_9	rffG//
go_0098869_4	rlmI//preA//ilvA//hcaC//dmsA//fumC//bcsA//glcE//nadA//yjjX//cynS//nanE//ygjK//entC//cpsB//
go_0099131_7	alsK//
go_0099132_7	cobT//scpC//yahK//gpp//gntK//ttdA//nadC//entH//
go_0099133_8	phoA//astB//mmuM//ychF//umpH//yfcF//amiD//pabC//waaO//cdh//mutM//hyi//
go_0101030_8	selA//
go_1900190_5	fucO//
go_1900191_6	
go_1900192_6	
go_1900231_6	lpxD//
go_1900232_7	
