# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	dgcZ//
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	dinB//
yfdX_frc_oxc_yfdVE	carB//folD//folP//
yfeCD	
yfeKS	
yfeYX	ydjG//
yffB_dapE_ypfN	trpB//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	sodA//
yfiP_patZ	cobU//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	aspC//
ygaXY	
ygaZH	katE//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	murQ//pgaB//prpE//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	leuA//
yggX_mltC	rrrD//
yggX_mltC_nupG	gluQ//aceE//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	mhpA//acs//
ygiM_cca	pabC//
ygjJK	metL//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	maa//recO//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	lpxL//ahr//sucD//hyi//glyQ//nadR//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	fruK//
yicJI	speG//
yicR_rpmBG	
yicR_rpmBG_mutM	dcd//
yidHGF	
yidKJ	
yieEF	mdh//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	pbpC//torZ//
yifNO	
yigGF	
yihLM	
yihPO	fumB//
yihUTS	nudL//metA//purU//
yihVW	lipB//
yihXY_dtd_yiiD	def//mtgA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	otsA//nrfB//araA//umpG//eutD//ilvE//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	atoA//ubiE//
yjiHG_iadA	rsmE//
yjiML	
yjiPQ	
yjiXA	rutA//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	garR//tyrA//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	epmC//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	hisF//
ynfB_speG	trmL//
ynfEFGH_dmsD	lpxM//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	cadA//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	ilvI//
yqaE_kbp	
yqcC_truC_yqcA	yccX//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	trpC//purL//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	ogt//
yrbG_kdsDC_lptCAB	glf//bglX//menD//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	ybjG//epmA//
yrfG_hslR	galT//
ytfQRT_yjfF	waaZ//
ytjB_lplA	bioC//
znuCB	kdsB//
zraSR	
