# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ilvN//
yfdX_frc_oxc_yfdVE	trpE//tdcE//thiC//
yfeCD	
yfeKS	
yfeYX	menF//
yffB_dapE_ypfN	yjjX//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	xdhB//
yfiP_patZ	allA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	malY//
ygaXY	
ygaZH	accC//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	gmhB//plsB//pgl//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	yidA//
yggX_mltC	speG//
yggX_mltC_nupG	iaaA//pdeF//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	aldB//tdcG//
ygiM_cca	paaH//
ygjJK	lacA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	cysE//fucK//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	manA//waaB//ubiG//trmO//tdh//dacD//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	insI-1//
yicJI	yggF//
yicR_rpmBG	
yicR_rpmBG_mutM	murQ//
yidHGF	
yidKJ	
yieEF	malP//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	gshB//hcaB//
yifNO	
yigGF	
yihLM	
yihPO	scpA//
yihUTS	yfdR//prpB//purK//
yihVW	speC//
yihXY_dtd_yiiD	ubiF//frdB//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	ushA//hyaA//truA//mrdA//nudI//ssuD//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	ldtD//dgoD//
yjiHG_iadA	ackA//
yjiML	
yjiPQ	
yjiXA	serS//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	nfi//ada//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	fadJ//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	ispG//
ynfB_speG	abgB//
ynfEFGH_dmsD	glmS//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	acs//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	rdgB//
yqaE_kbp	
yqcC_truC_yqcA	btuE//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	cyaA//kdsC//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	pphB//
yrbG_kdsDC_lptCAB	yihV//rluD//gloA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	uidA//murA//
yrfG_hslR	fcl//
ytfQRT_yjfF	citD//
ytjB_lplA	uidA//
znuCB	nudG//
zraSR	
