# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	trmD//
yfdRST	dacA//
yfdX_frc_oxc_yfdVE	ispE//sgbE//waaJ//
yfeCD	
yfeKS	
yfeYX	kdsB//
yffB_dapE_ypfN	gpmA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	bioH//
yfiP_patZ	talA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	aroH//
ygaXY	
ygaZH	fbaA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	pheA//lyxK//waaF//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	ndh//
yggX_mltC	udp//
yggX_mltC_nupG	ldtD//hycE//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	lysU//sseA//
ygiM_cca	pykA//
ygjJK	hemH//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	tpiA//rluA//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	prpB//coaE//ribC//mcrA//truA//nagK//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	gpsA//
yicJI	folX//
yicR_rpmBG	
yicR_rpmBG_mutM	putA//
yidHGF	
yidKJ	
yieEF	uxaA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	ushA//kdsB//
yifNO	
yigGF	
yihLM	
yihPO	phnJ//
yihUTS	lldD//argF//frlC//
yihVW	ilvA//
yihXY_dtd_yiiD	prpB//patD//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	pheS//ndh//pheA//ahpC//nudL//fumC//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	kdsC//guaD//
yjiHG_iadA	trmD//
yjiML	
yjiPQ	
yjiXA	argB//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	dfp//moaA//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	thiD//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	tdk//
ynfB_speG	nrdD//
ynfEFGH_dmsD	otsA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	gmhB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	chbG//
yqaE_kbp	
yqcC_truC_yqcA	murB//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	mtlD//pfkB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	prs//
yrbG_kdsDC_lptCAB	ppx//proS//bacA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	ispD//pyrI//
yrfG_hslR	gstA//
ytfQRT_yjfF	tauD//
ytjB_lplA	prmB//
znuCB	bioF//
zraSR	
