# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	galK//
yfdPQ	
yfdRST	ampC//
yfdX_frc_oxc_yfdVE	dnaE//arnT//yieF//
yfeCD	
yfeKS	
yfeYX	umpG//
yffB_dapE_ypfN	sthA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	purK//
yfiP_patZ	mutT//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	fcl//
ygaXY	
ygaZH	ynfH//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	menI//lldD//tilS//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	cmoB//
yggX_mltC	argI//
yggX_mltC_nupG	recJ//adeD//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	citC//citC//
ygiM_cca	glpX//
ygjJK	tynA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	hcaD//tatD//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	yfcG//ispD//panD//ampD//rhaA//chbG//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	cysQ//
yicJI	kduD//
yicR_rpmBG	
yicR_rpmBG_mutM	tag//
yidHGF	
yidKJ	
yieEF	lpxD//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	eno//adeD//
yifNO	
yigGF	
yihLM	
yihPO	rffM//
yihUTS	purA//mhpD//lpxC//
yihVW	hyaB//
yihXY_dtd_yiiD	nudC//cpsG//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	cysQ//kefF//fsaB//wzb//mpaA//srlD//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	thiE//rfaE//
yjiHG_iadA	rlmD//
yjiML	
yjiPQ	
yjiXA	yfeW//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	fabZ//glcF//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	tehB//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	argC//
ynfB_speG	polA//
ynfEFGH_dmsD	aes//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	lpxL//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	glnA//
yqaE_kbp	
yqcC_truC_yqcA	phnJ//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	rnpA//fumB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	paaI//
yrbG_kdsDC_lptCAB	dapD//ilvA//paaG//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	rhaA//accA//
yrfG_hslR	uxaC//
ytfQRT_yjfF	uxaA//
ytjB_lplA	moeA//
znuCB	lyxK//
zraSR	
