# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	bglX//
yfdRST	lsrF//
yfdX_frc_oxc_yfdVE	yidA//hcaD//yegS//
yfeCD	
yfeKS	
yfeYX	polB//
yffB_dapE_ypfN	pphA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	trmI//
yfiP_patZ	ilvI//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	patD//
ygaXY	
ygaZH	cysD//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	lgoD//caiB//fadJ//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	sucA//
yggX_mltC	torY//
yggX_mltC_nupG	thiK//dam//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	lpxT//purA//
ygiM_cca	tilS//
ygjJK	gcvH//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	lsrK//solA//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	tktA//hypB//murC//nudJ//ung//paaJ//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	gmk//
yicJI	pphA//
yicR_rpmBG	
yicR_rpmBG_mutM	patD//
yidHGF	
yidKJ	
yieEF	cynS//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	frmB//paoA//
yifNO	
yigGF	
yihLM	
yihPO	lpxL//
yihUTS	waaO//ldhA//rfbB//
yihVW	nagK//
yihXY_dtd_yiiD	adeD//maeB//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	moaD//glcE//lysC//ynfG//waaH//nrfA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	glmS//alsK//
yjiHG_iadA	hisI//
yjiML	
yjiPQ	
yjiXA	rhaB//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	truA//dusB//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	purD//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	gstB//
ynfB_speG	dapF//
ynfEFGH_dmsD	hcp//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	dusB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	proC//
yqaE_kbp	
yqcC_truC_yqcA	arnC//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	pgaD//nirB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	speB//
yrbG_kdsDC_lptCAB	rffH//bioA//rlmL//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	hcaE//ppx//
yrfG_hslR	pncB//
ytfQRT_yjfF	glpB//
ytjB_lplA	rlmH//
znuCB	dxr//
zraSR	
