# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	otsA//
yfdX_frc_oxc_yfdVE	rfbC//rsmF//ldcC//
yfeCD	
yfeKS	
yfeYX	mhpA//
yffB_dapE_ypfN	dld//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	murF//
yfiP_patZ	clsA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	hisG//
ygaXY	
ygaZH	moeB//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	ilvC//garD//waaB//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	treF//
yggX_mltC	gatD//
yggX_mltC_nupG	gcl//purK//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	glgP//cysD//
ygiM_cca	ung//
ygjJK	epmB//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	uxaB//thrA//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	cysM//yqaB//carB//dapA//alaC//yihV//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	glpQ//
yicJI	pheS//
yicR_rpmBG	
yicR_rpmBG_mutM	mnmA//
yidHGF	
yidKJ	
yieEF	solA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	upp//glnE//
yifNO	
yigGF	
yihLM	
yihPO	ydiF//
yihUTS	yqhD//glpK//lysC//
yihVW	metG//
yihXY_dtd_yiiD	dkgB//serC//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	hyaC//purC//murD//ddlA//epmC//aceA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	dam//eptA//
yjiHG_iadA	dmsB//
yjiML	
yjiPQ	
yjiXA	aceF//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	dmlA//gpsA//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	sucB//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	miaA//
ynfB_speG	cof//
ynfEFGH_dmsD	asnA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	rutE//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	ybiV//
yqaE_kbp	
yqcC_truC_yqcA	dcyD//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	glk//rlmB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	napA//
yrbG_kdsDC_lptCAB	fabD//nudI//ampC//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	ushA//hcaD//
yrfG_hslR	trpA//
ytfQRT_yjfF	truC//
ytjB_lplA	mobA//
znuCB	nrfD//
zraSR	
