# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	gph//
yfeKS	
yfeYX	pdxA//
yffB_dapE_ypfN	aceF//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	nudL//
yfiP_patZ	ppx//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	fdhF//
ygaXY	
ygaZH	gadB//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	bioA//glcD//yagE//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	efeB//
yggX_mltC	thrC//
yggX_mltC_nupG	arsC//efeB//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	yjcS//yqjG//
ygiM_cca	ftnA//
ygjJK	lpd//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	yfcG//puuC//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	nagK//phnP//nanM//carB//phoA//frdD//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	miaB//
yicJI	entF//
yicR_rpmBG	
yicR_rpmBG_mutM	chbF//
yidHGF	
yidKJ	
yieEF	eptC//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	pabA//dfp//
yifNO	
yigGF	
yihLM	
yihPO	dcm//
yihUTS	allA//ilvC//dgoK//
yihVW	bglA//
yihXY_dtd_yiiD	ampC//ygjK//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	paaY//talB//fbaA//ybaS//sdhD//menF//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	allA//ynfG//
yjiHG_iadA	efeB//
yjiML	
yjiPQ	
yjiXA	yggF//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	pabA//ldtA//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	dcyD//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	mazG//
ynfB_speG	fumA//
ynfEFGH_dmsD	yjhG//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	ispG//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	ygaP//
yqaE_kbp	
yqcC_truC_yqcA	hemH//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	eutB//rluD//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	waaH//
yrbG_kdsDC_lptCAB	fadH//nanK//maa//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	dadX//pgi//
yrfG_hslR	thiK//
ytfQRT_yjfF	lsrG//
ytjB_lplA	rutA//
znuCB	garR//
zraSR	
