# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	thiI//
yfdX_frc_oxc_yfdVE	waaA//azoR//cysN//
yfeCD	
yfeKS	
yfeYX	rlmE//
yffB_dapE_ypfN	arnB//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	clsB//
yfiP_patZ	yajO//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	fes//
ygaXY	
ygaZH	tilS//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	trpC//mpaA//napC//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	rhaM//
yggX_mltC	glyQ//
yggX_mltC_nupG	nrdF//bglB//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	wrbA//araB//
ygiM_cca	trmO//
ygjJK	yfbR//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	argD//nadR//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	ispH//pdxB//rdoA//purM//trmA//yohF//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	yieH//
yicJI	speC//
yicR_rpmBG	
yicR_rpmBG_mutM	accC//
yidHGF	
yidKJ	
yieEF	asnA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	pdeL//frdC//
yifNO	
yigGF	
yihLM	
yihPO	cysH//
yihUTS	btuR//aroH//glcB//
yihVW	tgt//
yihXY_dtd_yiiD	dut//sgbE//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	aroG//fadD//preA//pyrF//pyrH//malY//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	cyoE//insI-1//
yjiHG_iadA	sdhA//
yjiML	
yjiPQ	
yjiXA	xylB//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	yieF//kbaY//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	mhpA//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	gabT//
ynfB_speG	zwf//
ynfEFGH_dmsD	astE//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	speG//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	nrfB//
yqaE_kbp	
yqcC_truC_yqcA	trmA//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	waaP//paaF//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	speA//
yrbG_kdsDC_lptCAB	bglB//uxuA//allB//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	lacZ//yohF//
yrfG_hslR	mutS//
ytfQRT_yjfF	yfaU//
ytjB_lplA	glcF//
znuCB	gabD//
zraSR	
