# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	btuR//
yfdX_frc_oxc_yfdVE	ndk//lysU//tdcD//
yfeCD	
yfeKS	
yfeYX	ilvE//
yffB_dapE_ypfN	aceA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	yajO//
yfiP_patZ	rfaD//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	glcE//
ygaXY	
ygaZH	mhpA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	hisH//rlmB//sdaB//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	pyrD//
yggX_mltC	gpmA//
yggX_mltC_nupG	tdk//allB//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	dgcM//uidA//
ygiM_cca	slyD//
ygjJK	rluA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	eutD//uvrC//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	folE//dgoA//psd//ybbO//rluB//gadB//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	hisI//
yicJI	ilvG_1//
yicR_rpmBG	
yicR_rpmBG_mutM	dgoK//
yidHGF	
yidKJ	
yieEF	trpS//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	udk//argI//
yifNO	
yigGF	
yihLM	
yihPO	aroE//
yihUTS	cpdA//rluD//kbaZ//
yihVW	yfaU//
yihXY_dtd_yiiD	ynfG//tcdA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	yfeW//mhpA//galE//epmA//menD//selB//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	pgi//scpA//
yjiHG_iadA	yjhG//
yjiML	
yjiPQ	
yjiXA	avtA//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	ulaE//der//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	lipB//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	dusA//
ynfB_speG	pgaD//
ynfEFGH_dmsD	aspS//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	pgaD//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	rlmL//
yqaE_kbp	
yqcC_truC_yqcA	etk//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	hyaC//puuA//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	uxuA//
yrbG_kdsDC_lptCAB	wecB//pdeF//pabA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	cheR//rihC//
yrfG_hslR	ppiA//
ytfQRT_yjfF	argC//
ytjB_lplA	leuA//
znuCB	yniC//
zraSR	
