# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	wzb//
yfdX_frc_oxc_yfdVE	accC//rnb//glpA//
yfeCD	
yfeKS	
yfeYX	hcaD//
yffB_dapE_ypfN	alkA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	gcd//
yfiP_patZ	dinB//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	ycaO//
ygaXY	
ygaZH	spoT//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	nhoA//uxaC//cobT//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	panB//
yggX_mltC	ilvC//
yggX_mltC_nupG	waaF//thiC//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	rluC//rhaA//
ygiM_cca	arnB//
ygjJK	mltA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	rluC//accC//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	napC//nagB//appA//ybhA//waaO//thiI//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	ahpF//
yicJI	dgcM//
yicR_rpmBG	
yicR_rpmBG_mutM	alkB//
yidHGF	
yidKJ	
yieEF	hisA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	waaQ//guaC//
yifNO	
yigGF	
yihLM	
yihPO	prpB//
yihUTS	ruvC//napB//rlmH//
yihVW	moaD//
yihXY_dtd_yiiD	cdh//glpB//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	nfsA//ftnA//cysQ//pagP//hemL//insI-1//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	dapE//speB//
yjiHG_iadA	pncB//
yjiML	
yjiPQ	
yjiXA	fabZ//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	lpxC//sgbU//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	hemN//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	sbcB//
ynfB_speG	atoD//
ynfEFGH_dmsD	prpB//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	accC//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	dcyD//
yqaE_kbp	
yqcC_truC_yqcA	lldD//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	rhaD//rlmJ//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	rnd//
yrbG_kdsDC_lptCAB	ubiG//carA//eutD//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	ada//galU//
yrfG_hslR	ldtE//
ytfQRT_yjfF	ygaP//
ytjB_lplA	suhB//
znuCB	pgaB//
zraSR	
