# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	sbcB//
yfdPQ	
yfdRST	ygeX//
yfdX_frc_oxc_yfdVE	purL//hisH//rnpB//
yfeCD	
yfeKS	
yfeYX	cdh//
yffB_dapE_ypfN	amn//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	queC//
yfiP_patZ	ackA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	rhaA//
ygaXY	
ygaZH	amn//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	ispG//menA//mrdA//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	rlmC//
yggX_mltC	cysM//
yggX_mltC_nupG	ssuE//ligA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	rutB//epd//
ygiM_cca	ycjG//
ygjJK	srlD//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	glpC//leuC//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	fkpA//recR//glnE//mmuM//entC//serS//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	waaP//
yicJI	phnI//
yicR_rpmBG	
yicR_rpmBG_mutM	coaD//
yidHGF	
yidKJ	
yieEF	betA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	atoB//glgP//
yifNO	
yigGF	
yihLM	
yihPO	waaF//
yihUTS	maeB//aroE//astC//
yihVW	tnaA//
yihXY_dtd_yiiD	lpoB//sdhC//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	sbcB//pyrB//ubiD//dgoA//rlmB//def//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	waaU//gltD//
yjiHG_iadA	waaQ//
yjiML	
yjiPQ	
yjiXA	thrC//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	cpsB//eda//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	ldtD//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	roxA//
ynfB_speG	wecC//
ynfEFGH_dmsD	gldA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	gsk//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	ackA//
yqaE_kbp	
yqcC_truC_yqcA	bglX//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	fcl//ubiG//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	nadA//
yrbG_kdsDC_lptCAB	rhaA//mpaA//hcaE//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	fucK//wzc//
yrfG_hslR	metK//
ytfQRT_yjfF	citC//
ytjB_lplA	nrfC//
znuCB	allE//
zraSR	
