# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	cpsB//
yfdX_frc_oxc_yfdVE	dnaE//cysH//ispG//
yfeCD	
yfeKS	
yfeYX	gatZ//
yffB_dapE_ypfN	dosC//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	alr//
yfiP_patZ	napB//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	ahpF//
ygaXY	
ygaZH	dhaL//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	nrdD//tdh//lpoA//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	prmB//
yggX_mltC	paoB//
yggX_mltC_nupG	mhpF//adeD//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	tpiA//purL//
ygiM_cca	gltB//
ygjJK	ilvE//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	yfiH//tdh//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	purF//wzb//adk//mutS//kdsC//lyxK//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	yggF//
yicJI	thrB//
yicR_rpmBG	
yicR_rpmBG_mutM	wecB//
yidHGF	
yidKJ	
yieEF	garK//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	ribC//thrC//
yifNO	
yigGF	
yihLM	
yihPO	pgk//
yihUTS	fkpB//dmsB//cysM//
yihVW	waaC//
yihXY_dtd_yiiD	murC//poxB//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	rsmE//puuA//frc//dxs//rhaM//bglA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	mutH//napA//
yjiHG_iadA	cysJ//
yjiML	
yjiPQ	
yjiXA	pykF//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	nrfD//acnB//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	rnpA//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	hchA//
ynfB_speG	ppiA//
ynfEFGH_dmsD	bioH//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	proB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	serS//
yqaE_kbp	
yqcC_truC_yqcA	lpd//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	hcp//nadE//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	uvrA//
yrbG_kdsDC_lptCAB	waaL//ybbO//adhE//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	bacA//glnE//
yrfG_hslR	gltX//
ytfQRT_yjfF	pgaD//
ytjB_lplA	asnA//
znuCB	rhaA//
zraSR	
