# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	aroE//
yfdX_frc_oxc_yfdVE	moeA//pgl//ynfF//
yfeCD	
yfeKS	
yfeYX	yjeF//
yffB_dapE_ypfN	gapA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	atoD//
yfiP_patZ	phnG//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	dacA//
ygaXY	
ygaZH	purF//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	accB//astD//ruvC//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	thrA//
yggX_mltC	lysU//
yggX_mltC_nupG	paaH//fabA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	treA//efeB//
ygiM_cca	ppsA//
ygjJK	ravA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	trmJ//abgA//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	phnG//puuC//cysM//hcaE//rdgB//cadA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	trxB//
yicJI	dusC//
yicR_rpmBG	
yicR_rpmBG_mutM	entH//
yidHGF	
yidKJ	
yieEF	insI-1//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	xdhB//dusA//
yifNO	
yigGF	
yihLM	
yihPO	manA//
yihUTS	otsA//dapA//prpB//
yihVW	puuA//
yihXY_dtd_yiiD	idnD//thiH//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	hdhA//yfdE//folK//arnB//aroH//rluD//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	ychF//astA//
yjiHG_iadA	ppx//
yjiML	
yjiPQ	
yjiXA	cysK//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	gadA//rsuA//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	gloA//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	rpe//
ynfB_speG	idnO//
ynfEFGH_dmsD	moeA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	tilS//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	cysC//
yqaE_kbp	
yqcC_truC_yqcA	pnp//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	def//hisS//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	rpe//
yrbG_kdsDC_lptCAB	torA//rsgA//mrcA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	cynS//ppc//
yrfG_hslR	glgA//
ytfQRT_yjfF	paaC//
ytjB_lplA	umuD//
znuCB	hypB//
zraSR	
