# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pphB//
yfdX_frc_oxc_yfdVE	sdhC//fsaB//cynT//
yfeCD	
yfeKS	
yfeYX	purF//
yffB_dapE_ypfN	dcm//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	dusC//
yfiP_patZ	napB//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	nirB//
ygaXY	
ygaZH	menA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	nudE//aspA//argB//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	malQ//
yggX_mltC	pdeR//
yggX_mltC_nupG	glmS//adiA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	astD//nirB//
ygiM_cca	mrdA//
ygjJK	asnA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	kdsB//pphB//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	recG//hpt//yfdR//pgaC//rsmE//pheT//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	tnaA//
yicJI	yceF//
yicR_rpmBG	
yicR_rpmBG_mutM	yieH//
yidHGF	
yidKJ	
yieEF	rfaD//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	speC//cobS//
yifNO	
yigGF	
yihLM	
yihPO	lyxK//
yihUTS	cysD//galU//phnI//
yihVW	frmB//
yihXY_dtd_yiiD	hycC//waaH//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	paaA//dhaM//uxaA//tcdA//frlC//preT//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	aes//ribB//
yjiHG_iadA	citE//
yjiML	
yjiPQ	
yjiXA	ldcA//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	glf//allD//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	phnP//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	acs//
ynfB_speG	ynfG//
ynfEFGH_dmsD	cmk//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	dinB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	hemN//
yqaE_kbp	
yqcC_truC_yqcA	ribC//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	ghrB//alkA//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	mrdA//
yrbG_kdsDC_lptCAB	dacA//cyoE//ldtC//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	ydfG//arsC//
yrfG_hslR	menB//
ytfQRT_yjfF	panC//
ytjB_lplA	lysU//
znuCB	nudI//
zraSR	
